"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",31.9539682539683,"Up",274574000,-205839000,68735000,-33042000,-33042000,35693000,-3890000,-3486000,-404000,31803000,31803000,-11184000,20619000,20619000,20619000,20619000,208032000,208032000,166718000,166718000,85156000,8195000,468101000,94488000,433708000,107943000,321093000,4672000,528196000,996297000,179445000,96181000,83264000,198079000,209425000,83362000,38162000,45200000,292787000,490866000,270202000,-9867000,249386000,-4290000,505431000,505431000,996297000,20619000,5421000,3231000,-2160000,27111000,-1721000,0,-1721000,-577000,402000,-979000,-577000,24813000,24813000,840000,25653000,41114000,209825000,48417000,0.25033,0.12999,0.07509,0.04079,0.0207,2.34817,2.3632,0.97118,0.2106,0.65038,0.64014,8.66082,15.94269,1.52721,0.02582,0.06063,0.0436100000000001,0.0502300000000004
"32","2018_Q1",34.716393442623,"Up",258112000,-201383000,56729000,-33935000,-33935000,22794000,-3518000,-3420000,-98000,19276000,19029000,6147000,25176000,25176000,25176000,25176000,222280000,222280000,145385000,145385000,86372000,8727000,462764000,97098000,431523000,105768000,321074000,4681000,528621000,991385000,157854000,82387000,75467000,171033000,209621000,79012000,31237000,47775000,288633000,459666000,272280000,-10757000,274562000,-4366000,531719000,531719000,991385000,25176000,5263000,-3892000,-5308000,21239000,-6086000,0,-6086000,-865000,25000,-890000,-865000,14288000,14288000,-40000,14248000,28057000,210021000,10516000,0.21978,0.08831,0.09754,0.04735,0.02539,0.4177,2.7057,0.86449,0.21185,0.7941,0.77817,8.14131,16.77135,0.33169,0.03067,0.01281,-0.43693,-0.53782
"33","2018_Q2",37.145,"Up",215337000,-167019000,48318000,-34475000,-34475000,13843000,-2684000,-3269000,585000,11159000,11159000,-2807000,8352000,8352000,8352000,8352000,200741000,200741000,145182000,145182000,90236000,6712000,442871000,93671000,430601000,104059000,321772000,4770000,524272000,967143000,133945000,80691000,53254000,145917000,209817000,69454000,31339000,38115000,279271000,425188000,274603000,-11607000,283538000,-4579000,541955000,541955000,967143000,8352000,5189000,1723000,-37470000,-22206000,1790000,0,1790000,-624000,226000,-850000,-624000,-21040000,-21040000,-499000,-21539000,19032000,210217000,-13841000,0.22438,0.06429,0.03879,0.01541,0.00864,-1.65721,3.03509,0.78454,0.21736,0.26276,0.25743,6.77459,17.05012,-0.43544,0.01017,-0.01685,0.4979,0.68453
"34","2018_Q3",43.2503174603175,"Up",266036000,-195533000,70503000,-38229000,-38229000,32274000,-3143000,-3130000,-13000.0000000001,29131000,29131000,-6294000,22837000,22837000,22837000,22837000,210743000,210743000,171642000,171642000,95694000,11594000,489673000,93221000,427026000,101554000,320875000,4597000,520247000,1009920000,153721000,88547000,65174000,169648000,209613000,69763000,31196000,38567000,279376000,449024000,277634000,-16773000,306375000,-6340000,560896000,560896000,1009920000,22837000,5156000,3100000,-12690000,18403000,-2565000,-4.65661287307739e-10,-2565000,-4866000,3e+05,-5166000,-5266000,10572000,10572000,-570000,10002000,37430000,210013000,28469000,0.26501,0.12131,0.08584,0.04072,0.02261,1.24662,2.88641,0.80055,0.20795,0.71675,0.70153,8.34963,17.60392,0.89351,0.02717,0.03386,-0.0195,-0.02262
"35","2018_Q4",36.4788888888889,"Down",280086000,-209807000,70279000,-40875000,-40875000,29404000,-3428000,-2906000,-522000,25976000,25976000,-6473000,19503000,19503000,19503000,19503000,245413000,245413000,180875000,180875000,97486000,8949000,532723000,93718000,427346000,99545000,323321000,4480000,521064000,1053787000,169265000,92997000,76268000,191565000,209809000,69538000,32110000,37428000,279347000,470912000,280477000,-17306000,325878000,-6174000,582875000,582875000,1053787000,19503000,5104000,4233000,13173000,42013000,-2845000,-5241000,-8086000,284000,817000,-533000,284000,34211000,34211000,459000,34670000,34508000,210209000,51309000,0.25092,0.10498,0.06963,0.03346,0.01851,2.63083,2.7809,0.80791,0.19948,0.60729,0.59878,8.72135,18.14962,1.59766,0.02261,0.05948,-1.02017,-1.19725
"36","2019_Q1",38.1454098360656,"Up",75638000,-53812000,21826000,-14654000,-14654000,7172000,-4763000,-1404000,-3359000,2409000,857000,2563000,3420000,13117000,13117000,13117000,297006000,297006000,140283000,140283000,98913000,8351000,544553000,95830000,421262000,96375000,323671000,1216000,517092000,1061645000,166210000,79136000,87074000,392872000,1600000,70480000,36530000,33950000,72080000,464952000,282854000,-17922000,338995000,-7234000,596693000,596693000,1061645000,3420000,1990000,9513000,31228000,59335000,-6400000,9.31322574615479e-10,-5688000,-574000,42000,-616000,-574000.000000007,53073000,53073000,-1480000,51593000,9162000,210405000,31427000,0.28856,0.09482,0.17342,0.02198,0.01236,2.3959,1.38608,0.77921,0.19819,0.40796,0.40276,2.35244,18.55793,0.97742,0.01495,0.03581,-9.45219,-12.07487
"37","2019_Q2",38.87,"Up",227417000,-183517000,43900000,-33334000,-33334000,10566000,-2650000,-2061000,-589000,7916000,7916000,-1571000,6345000,6345000,6345000,6345000,43509000,43509000,167201000,167201000,98594000,8282000,317586000,95856000,452816000,94520000,323573000,34723000,548672000,866258000,149482000,84462000,65020000,168141000,1599999.99999997,90684000,36916000,53768000,92284000,260425000,285364000,-20073000,346922000,-6380000,605833000,605833000,866258000,6345000,4941000,5220000,-53994000,-37488000,-3110000,-264000,-3374000,-2012000,139000,-2151000,-213247000,-254109000,-254109000,612000,-253497000,15507000,2e+06,-40026000,0.19304,0.04646,0.0279,0.01047,0.00732,-6.30827,1.88881,0.42986,0.00231000000000001,0.19657,0.19453,7.04535,18.76864,-1.24,0.00908,-0.0573,-2.67679,-3.92854
"38","2019_Q3",41.85578125,"Up",262655000,-199097000,63558000,-36952000,-36952000,26606000,-206000,-219000,12999.9999999995,26400000,26400000,-6487000,19913000,19913000,19913000,19913000,81882000,81882000,180701000,180701000,85398000,13264000,361245000,95867000,449746000,92930000,324019000,32797000,545613000,906858000,150120000,83140000,66980000,188253000,0,89058000,37380000,51678000,89058000,277311000,289153000,-21071000,366835000,-5370000,629547000,629547000,906858000,19913000,4951000,3586000,15524000,43974000,-3095000,0,-3095000,-929000,69000,-998000,-2929000.00000003,37950000.0000001,37950000.0000001,423000,38373000.0000001,31557000,-1.49011611938477e-08,50473000,0.24198,0.1013,0.07581,0.03163,0.02196,2.53468,1.91893,0.44049,0,0.6161,0.61002,8.12645,19.47796,1.56162,0.02771,0.07024,-2.59473,-3.07758
"39","2019_Q4",50.22453125,"Up",299236000,-222658000,76578000,-45158000,-45158000,31420000,-101000,-17000,-84000,31319000,31319000,-6843000,24476000,24476000,24476000,24476000,137618000,137618000,196334000,196334000,83048000,17527000,434527000,95075000,455216000,96185000,327983000,31048000,550291000,984818000,201513000,103630000,97883000,240185000,0,87420000,36672000,50748000,87420000,327605000,293341000,-21417000,391311000,-6022000,657213000,657213000,984818000,24476000,5031000,4598000,31903000,66008000,-1411000,-8401000,-9812000,-154000,192000,-346000,-154000,56042000,56042000,-306000,55736000,36451000,0,73786000,0.25591,0.105,0.08179,0.03724,0.02485,3.01463,1.80913,0.49848,6.93889390390723e-18,0.75378,0.74688,9.21548,20.24,2.27237,0.03287,0.09909,-3.77542,-4.37995
"40","2020_Q1",50.0135483870968,"Down",108925000,-73064000,35861000,-23641000,-23641000,12220000,226000,-26000,252000,12446000,12446000,-3252000,9194000,14357000,14357000,14357000,191363000,191363000,133895000,133895000,61957000,49887000,437102000,78152000,469196000,76734000,307355000,23181000,547348000,984450000,159225000,72628000,86597000,229197000,18162210.9377155,81289000,35404000,36215000,81289000,310486000,295914000,-22227000,405668000,-5391000,673964000,673964000,984450000,9194000,2634000,9093000,19121000,57441000,-1068000,69999.9999999963,-3392000,-720000,90000,-810000,-719999.999999993,53329000,53329000,416000,53745000,14854000,-1.86264514923096e-09,36159000,0.32923,0.11219,0.13181,0.0213,0.01458,2.51856,1.9071,0.46069,0,0.44196,0.43695,3.35309,20.74693,1.1131,0.01901,0.04788,-12.88293,-15.65982
"41","2020_Q2",44.4636507936508,"Down",215401000,-165540000,49861000,-37084000,-37084000,12777000,-562000,-44000,-518000,12215000,12215000,-2313000,9902000,12059000,12059000,12059000,85966000,85966000,172452000,172452000,88585000,16149000,363152000,95882000,525488000,107528000,382045000,35915000,621370000,984522000,186956000,102816000,84140000,221523000,44984222.1291682,85642000,39999000,45643000,85642000,307165000,297603000,-26411000,417436000,-11271000,677357000,677357000,984522000,9902000,4780000,1873000,-60381000,-43012000,-2092000,-54539000,-57309000,-4160000,24000,-4184000,-4160000,-104481000,-104481000,-916000,-105397000,17557000,0,-42603000,0.23148,0.05932,0.05598,0.0178,0.01225,-3.53288,1.63934,0.45348,-8.67361737988404e-19,0.37007,0.36672,6.61023,20.78675,-1.3074,0.0158,-0.05584,-4.89639,-6.72818
"42","2020_Q3",58.995,"Up",255184000,-189623000,65561000,-34813000,-34813000,30748000,1670000,-222000,1892000,32418000,32418000,-7961000,24457000,27292000,27292000,27292000,120859000,120859000,193609000,193609000,79058000,22849000,416375000,94723000,524398000,110481000,378740000,35177000,619121000,1035496000,210862000,116853000,94009000,240143000,71288727.851763,85589000,40022000,45567000,85589000,325732000,300163000,-26689000,444728000,-8438000,709764000,709764000,1035496000,24457000,5162000,997000,2243000,35757000,-2027000,858000,-1544000.00000001,-224000,54000,-278000,-224000,33989000,33989000,904000,34893000,35910000,9.31322574615479e-10,44087000,0.25692,0.12049,0.10695,0.03845,0.02636,1.61538,1.73386,0.45893,0,0.83702,0.83073,7.82629,21.7679,1.35211,0.03431,0.05543,-3.36561,-3.93063
"43","2020_Q4",66.77296875,"Up",296792000,-218297000,78495000,-37552000,-37552000,40943000,-169000,-217000,48000,40774000,40774000,-9440000,31334000,33760000,33760000,33760000,179816000,179816000,203488000,203488000,77943000,20306000,481553000,94983000,525310000,108821000,382427000,34062000,620293000,1101846000,238226000,131746000,106480000,269493000,87898422.3829053,86278000,40942000,45336000,86278000,355771000,302442000,-28635000,478488000,-6220000,746075000,746075000,1101846000,31334000,5807000,3348000,15794000,63449000,-2419000,19000,-2299000,-1647000,299000,-1946000,-1647000,59503000,59503000,-546000,58957000,46750000,0,69565000,0.26448,0.13795,0.11375,0.04525,0.03064,2.06057,1.78689,0.47686,0,1.03476,1.02396,9.09679,22.8675,2.1322,0.04056,0.08358,-3.84633,-4.39186
"44","2021_Q1",91.7601639344262,"Up",265201000,-202775000,62426000,-39704000,-39704000,22722000,-370000,-220000,-150000,22352000,22352000,-4754000,17598000,-8545000,-8545000,-8545000,32054000,32054000,197990000,197990000,98307000,97109000,425460000,89562000,697472000,156365000,514279000,26828000,787034000,1212494000,218243000,134738000,83505000,302240000,85636000,80813000,39057000,41756000,166449000,468689000,305206000,-28883000,469943000,-2461000,743805000,743805000,1212494000,17598000,5166000,6297000,-1361000,32910000,-6453000,-258024000,-265558000,494000,742000,-248000,85494000,-147154000,-147154000,-608000,-147762000,27888000,85636000,24828000,0.23539,0.08568,-0.03222,-0.01149,-0.00705,-2.90556,1.40769,0.63012,0.07063,-0.26022,-0.25921,8.07604,22.65074,0.75608,-0.00939,0.02728,1.92133,2.35816
"45","2021_Q2",82.6414285714286,"Down",287592000,-227574000,60018000,-47203000,-47203000,12815000,-759000,-444000,-315000,12056000,12056000,-1560000,10496000,12762000,12762000,12762000,20731000,20731000,199598000,199598000,107004000,24684000,352017000,91717000,711457000,151877000,523446000,36134000,803174000,1155191000,207076000,135130000,71946000,258667000,58023000,80093000,37996000,42097000,138116000,396783000,308484000,-33545000,482705000,764000,758408000,758408000,1155191000,10496000,7974000,3399000,-23083000,-3225000,-4389000,26989000,22424000,-3752000,910000,-4662000,-30388000,-11189000,-11189000,-134000,-11323000,20789000,58023000,-5123000,0.20869,0.04456,0.04438,0.01683,0.01105,-0.40143,1.36089,0.52318,0.05023,0.38943,0.38551,8.77581,23.14266,-0.15633,0.01423,-0.00571,1.79383,2.91003
"46","2021_Q3",71.93140625,"Down",348389000,-267458000,80931000,-49522000,-49522000,31409000,4421000,-245000,4666000,35830000,35830000,-9457000,26373000,25949000,25949000,25949000,16963000,16963000,225315000,225315000,133625000,23641000,399544000,95837000,690752000,159734000,508857000,22161000,786589000,1186133000,237594000,168917000,68677000,286809000,32309000,79407000,37555000,41852000,111716000,398525000,311065000,-33663000,508654000,1552000,787608000,787608000,1186133000,26373000,8040000,3042000,-23464000,1.4e+07,-5085000,12999999.9999999,7915000.00000003,-104000,14000,-118000,-25904000,-3989000.00000001,-3989000.00000001,221000,-3768000,39449000,32309000,20357000,0.2323,0.09015,0.07448,0.03295,0.02188,0.7845,1.39307,0.50599,0.02724,0.79183,0.78386,10.63102,24.03369,0.62119,0.02885,0.02264,0.38901,0.48859
"47","2021_Q4",71.39890625,"Down",369353000,-286101000,83252000,-45274000,-45274000,37978000,-563000,-491000,-72000,37415000,37415000,-9561000,27854000,27556000,27556000,27556000,13934000,13934000,260624000,260624000,156494000,20592000,451644000,96263000,684308000,154655000,508660000,20993000,780571000,1232215000,237603000,165940000,71663000,279736000,59695000,78100000,3.7e+07,41100000,137795000,417531000,312996000,-35044000,536210000,522000,814684000,814684000,1232215000,27854000,7944000,2106000,-65204000,-27300000,-3777000,2216000,-1561000,-1284000,97000,-1381000,26016000,-2845000,-2845000,-184000,-3029000,45922000,59695000,-13498000,0.2254,0.10282,0.07461,0.03382,0.02236,-0.48984,1.61454,0.51251,0.04845,0.84035,0.83364,11.26385,24.84474,-0.41164,0.02893,-0.01417,0.99649,1.20493
"48","2022_Q1",52.6914516129032,"Down",334449000,-268639000,65810000,-42724000,-42724000,23086000,-525000,-459000,-66000,22561000,14261000,-4468000,9793000,9362000,9362000,9362000,12849000,12849000,236444000,236444000,176207000,21467000,446967000,96885000,671049000,141504000,510942000,18603000,767934000,1214901000,240279000,172286000,67993000,286990000,23781000,78872000,40278000,38594000,102653000,389643000,314879000,-35380000,545572000,187000,825258000,825258000,1214901000,9793000,8008000,14136000,7658000,39595000,-4240000,1.86264514923096e-09,-4240000,-336000,0,-336000,-36336000,-980999.999999999,-980999.999999999,-104000,-1085000,31094000,23781000,38980000,0.19677,0.06903,0.02799,0.01134,0.00771,4.16364,1.55743,0.47215,0.01957,0.28512,0.2834,10.18575,25.13349,1.18715,0.01009,0.04201,0.35158,0.47353
"49","2022_Q2",40.7998387096774,"Down",317865000,-253021000,64844000,-43649000,-43649000,21195000,-638000,-485000,-153000,20557000,20557000,-5101000,15456000,15456000,15456000,15456000,15573000,15573000,245807000,245807000,187255000,36836000,485471000,97720000,659149000,132107000,510540000,16502000,756869000,1242340000,226709000,159214000,67495000,287701000,42367000,73870000,40221000,33649000,116237000,403938000,316231000,-38841000,561028000,-16000,838402000,838402000,1242340000,15456000,6336000,3962000,-33508000,-7754000,-4402000,-30199948.4292285,-4402000,-3461000,-1661121.94863433,-3461000,15039000,2883000,2883000,-159000,2724000,27531000,42367000,-5278000,0.204,0.06668,0.04862,0.01844,0.01244,-0.34149,1.68742,0.4818,0.0341,0.47119,0.46766,9.69042,25.55948,-0.1609,0.01619,-0.00553,0.97323,1.26417
"50","2022_Q3",42.64703125,"Up",366949000,-276678000,90271000,-50132000,-50132000,40139000,-937000,-656000,-281000,39202000,39202000,-9895000,29307000,29307000,29307000,29307000,17149000,17149000,275596000,275596000,197499000,39333000,529577000,100998000,664838000,128725000,509357000,26756000,765836000,1295413000,237664000,160058000,77606000,303528000,93454000,81153000,40150000,41003000,174607000,478135000,319004000,-88848000,590335000,-3213000,817278000,817278000,1295413000,29307000,6341000,4056000,-31406000,8298000,-6800000,-83020845.2876854,-6800000,-50007000,-6045365.845903,-50007000,993000,2491000,2491000,-915000,1576000,46480000,93454000,18169000,0.246,0.10939,0.07987,0.03586,0.02262,0.61995,1.74474,0.58503,0.07214,0.92431,0.92126,11.57312,25.77595,0.57303,0.02955,0.01832,1.64167,1.90102
