"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2020_Q1",0.496129032258065,"Down",4605000,-3426000,1179000,-4459000,-1282000,-3177000,-3280000,-4000,-4000,-3284000,-3284000,-3284000,-3284000,-3284000,-3284000,5837000,5837000,1808000,1808000,7837000,1849000,2150000,221000,1929000,3999000,11836000,3916000,1871000,2045000,10515000,14456000,1348000,1348000,1357000,15813000,568496000,-572599000,-3977000,-3977000,11836000,-3284000,267000,1030000,-2323000,-4310000,-74000,-74000,3584000,3584000,3579000,-805000,-805000,-805000,-3013000,33999.9999999998,0.25603,-0.712270000000001,-0.71314,0.82575,-0.27746,0.54213,-3.97611,0.00286999999999998,-0.02707,-0.02707,0.03795,-0.03278,1.26551,1.92599,1.76921
"39","2020_Q2",0.803333333333333,"Up",1469000,-1399000,70000,-5454000,-1771000,-3683000,-5384000,-6435.33393907371,-6435.33393907371,-5384000,-4934000,-4934000,-4934000,-4934000,-4934000,2325000,2325000,413000,413000,3290000,1733000,1881000,207000,1674000,3614000,6904000,2950000,2113000,837000,9989000,12962000,0,0,1216000,14178000,570259000,-577533000,-7274000,-7274000,6904000,-4934000,246000,-93000,-656000,-5437000,450000,450000,1481000,1481000,1475000,-3512000,-3512000,-3512000,-5138000,1239000,0.04765,-3.66508,-3.35875,0.67831,-0.71466,0.25382,-1.94913,0.17946,-0.03879,-0.03879,0.01155,-0.05718,0.81756,0.21137,0.20171
"40","2020_Q3",1.75078125,"Up",587000,1000,588000,-2887000,-1280000,-1607000,-2299000,-5000,-5000,-2304000,-2304000,-2304000,-2304000,-2304000,-2304000,7805000,7805000,301000,301000,8106000,1623000,1777000,192000,1585000,3400000,11506000,1999000,1498000,501000,9365000,12078000,1069000,1069000,1950000,14028000,577315000,-579837000,-2522000,-2522000,11506000,-2304000,242000,203000,-1074000,-2933000,-19000,-19000.0000000001,6868000,6868000,8432000,5480000,5480000,5480000,-2057000,1595000,1.0017,-3.91652,-3.92504,0.91356,-0.20024,0.67114,-5.56225,0.13862,-0.01644,-0.01644,0.00419,-0.018,-16.22535,3.01896,2.70117
"41","2020_Q4",2.943125,"Up",639000,0,639000,-3457000,-1485000,-1972000,-2818000,-8000,-8000,-2826000,-2826000,-2826000,-2826000,-2826000,-2826000,5027000,5027000,748000,748000,5775000,1515000,1671000,178000,1493000,3186000,8961000,1808000,1513000,295000,8831000,11615000,922000,922000,1539000,13154000,578326000,-582663000,-4193000,-4193000,8961000,-2826000,238000,454000,-1343000,-3477000,0,0,705000,705000,699000,-2778000,-2778000,-2778000,-2580000,1593000,1,-4.41002,-4.42254,0.67398,-0.31537,0.4972,-3.13713,0.17777,-0.01966,-0.01966,0.00444,-0.02917,1.68415,1.33101,1.21859
"42","2021_Q1",12.566393442623,"Up",395000,0,395000,-3959000,-1381000,-2578000,-3564000,-6000,-6000,-3570000,-3570000,-3570000,-3570000,-3570000,-3570000,16862000,16862000,698000,698000,17560000,1883000,1563000,164000,1399000,3446000,21006000,1125000,630000,495000,8441000,10028000,774000,774000,1969000,11997000,601224000,-586233000,9009000,9009000,21006000,-3570000,237000,462000,-1357000,-4228000,-308000,-308000,16381000,16381000,16371000,11835000,11835000,11835000,-3327000,1657000,1,-9.02278,-9.03797,-0.39627,-0.16995,1.7511,1.33167,0.07888,-0.02408,-0.02408,0.00266,0.06078,-0.31206,4.57018,4.26627
"43","2021_Q2",16.4126984126984,"Up",479000,5000,484000,-6709000,-2247000,-4462000,-6225000,-6000,-6000,-6231000,-6231000,-6231000,-6231000,-6231000,-6231000,75338000,75338000,565000,565000,75903000,2245000,1463000,152000,1311000,3708000,79611000,1408000,698000,710000,7966000,10101000,624000,624000,1549000,11650000,660267000,-592464000,67961000,67961000,79611000,-6231000,299000,1641000,-240000,-4531000,-565000,-565000,57445000,57445000,63572000,58476000,58476000,58476000,-5926000,1652000,1.01044,-12.99582,-13.00835,-0.09168,-0.07827,7.5144,0.17142,0.02075,-0.04008,-0.04008,0.00308,0.43718,-0.08871,12.43436,11.83711
"44","2021_Q3",13.90046875,"Down",746000,31000,777000,-15731000,-8355000,-7376000,-14954000,-8000,-8000,-14962000,-14962000,-14962000,-14962000,-14962000,-14962000,135288000,135288000,885000,885000,136324000,2742000,1351000,139000,1212000,4093000,140417000,2181000,1540000,641000,7226000,10399000,467000,467000,1121000,11520000,736159000,-607426000,128897000,128897000,140417000,-14962000,366000,8565000,-715000,-6746000,-1319000,-1319000,68025000,68025000,68015000,59950000,59950000,59950000,-14588000,1646000,1.04155,-20.04558,-20.0563,-0.11608,-0.10655,13.10934,0.08937,0.01172,-0.09421,-0.09421,0.0047,0.8116,-0.11421,9.16109,8.93687
"45","2021_Q4",7.95546875,"Down",718000,10000,728000,-10797000,-5006000,-5791000,-10069000,-5000,-5000,-10074000,-9382000,-9382000,-9382000,-9382000,-9382000,125135000,125135000,2780000,2780000,129097000,2780000,2188000,127000,2061000,4968000,134065000,2279000,1394000,885000,8397000,11384000,307000,307000,334000,11718000,738991000,-616808000,122347000,122347000,134065000,-9382000,375000,2101000,-3062000,-9968000,-150000,-150000,-28000,-28000,-35000,-10153000,-10153000,-10153000,-9694000,735000,1.01393,-14.02368,-13.06685,-0.07668,-0.06998,11.34021,0.09578,0.00548,-0.05718,-0.05718,0.00438,0.74564,-0.07604,12.83268,12.35475
"46","2022_Q1",3.94322580645161,"Down",557000,-48000,509000,-13130000,-6648000,-6482000,-12621000,-4000,-4000,-12625000,-12625000,-12625000,-12625000,-12625000,-12625000,115367000,82647000,2283000,2283000,119430000,3026000,7769000,115000,7654000,10795000,130225000,4754000,3584000,1170000,7295000,12462000,4983000,4983000,5009000,17471000,742206000,-629433000,112754000,112754000,130225000,-12625000,424000,3291000,751000,-8159000,-459000,-33284000,102999.999999993,102999.999999993,-388000,-41831000,-41831000,-41831000,-12197000,439000,0.91382,-22.65889,-22.66607,-0.11197,-0.09695,9.58353,0.15495,0.00337,-0.07109,-0.07109,0.00314,0.63493,-0.10683,9.42264,9.10609
"47","2022_Q2",3.57435483870968,"Down",350000,-4000,346000,-13470000,-5877000,-7593000,-13124000,-44000,-44000,-13168000,-13168000,-13168000,-13168000,-13168000,-13168000,103262000,55611000,1865000,1865000,106942000,3248000,7579000,105000,7474000,10827000,117769000,3207000,1919000,1288000,6075000,9404000,4882000,4882000,4897000,14301000,746028000,-642601000,103468000,103468000,117769000,-13168000,483000,3954000,-2176000,-10907000,-884000,-16080000,253000,253000,-49000,-27036000,-27036000,-27036000,-12641000,137000,0.98857,-37.49714,-37.62286,-0.12727,-0.11181,11.37197,0.13822,0.00116,-0.08019,-0.08019,0.00213,0.63006,-0.12138,8.15798,7.85774
"48","2022_Q3",4.713125,"Up",314000,-18000,296000,-13965000,-6265000,-7700000,-13669000,72000,72000,-13597000,-13597000,-13597000,-13597000,-13597000,-13597000,92890000,36964000,1027000,1027000,95750000,3419000,8023000,95000,7928000,11442000,107192000,2831000,1415000,1416000,5191000,8055000,5029000,5029000,5037000,13092000,750311000,-656198000,94100000,94100000,107192000,-13597000,418000,4255000,-773000,-9697000,-244000,-8682000,163000,163000,58000,-18321000,-18321000,-18321000,-13251000,41000,0.94268,-43.53185,-43.30255,-0.1445,-0.12685,11.88703,0.13913,0.00038,-0.08229,-0.08229,0.0019,0.56948,-0.13711,7.00694,6.79267
