"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",29.31,"Down",1397418000,-1067657000,329761000,-283207000,46554000,-10406000,-11400000,994000,36148000,36148000,-8379000,27769000,24540000,24540000,24540000,121739000,121739000,810155000,810155000,827057000,112265000,112265000,1871216000,300395000,1422451000,434386000,813094000,174971000,1722846000,3594062000,775699000,547662000,228037000,988453000,1001775000,217759000,217759000,1219534000,2207987000,67248000,1482576000,-163749000,1386075000,1386075000,3594062000,21049000,144084000,-34576000,42666000,-8080000,4674000,-23292000,-9779000,-33988000,13352000,13352000,-2e+06,11352000,67603000,1214529000,33326000,0.23598,0.03331,0.01756,0.0177,0.00683,1.35803,1.89308,1.59298,0.33793,0.25904,0.25705,14.75065,14.63092,0.35178,0.24586,0.01697,0.01182,0.94914,16.16482,23.4736
"32","2018_Q1",25.164262295082,"Down",1445032000,-1109534000,335498000,-239343000,96155000,-10368000,-11401000,1033000,85787000,85787000,-24430000,61357000,61691000,61691000,61691000,94959000,94959000,884803000,884803000,711903000,111928000,111928000,1803593000,298452000,1405868000,425436000,813547000,166885000,1704320000,3507913000,830177000,616859000,213318000,903931000,998272000,211277000,19591000,1209549000,2113480000,73939000,1481234000,-160740000,1394433000,1394433000,3507913000,20762000,56635000,115413000,193144000,-9562000,-15004000,-24963000,37452000,-206244000,-28104000,-28104000,1324000,-26780000,116917000,1072026000,247198000,0.23217,0.06654,0.04269,0.04424,0.01759,4.00704,1.99528,1.51566,0.3056,0.65746,0.65266,15.4002,14.86095,2.63447,0.26604,0.03236,0.09232,0.40465,8.35693,10.16137
"33","2018_Q2",18.4125,"Down",1304115000,-1005067000,299048000,-242215000,56833000,-9691000,-11203000,1512000,47142000,47142000,-16295000,30847000,30847000,30847000,30847000,99779000,99779000,841284000,841284000,777354000,97676000,97676000,1816093000,294819000,1384330000,416296000,814422000,153612000,1679149000,3495242000,724310000,536020000,188290000,902064000,998457000,210219000,210219000,1208676000,2110740000,82543000,1450178000,-148219000,1384502000,1384502000,3495242000,21104000,8656000,-106635000,-46028000,-6674000,5517000,-25210000,105916000,43206000,2695000,2695000,2125000,4820000,77937000,1176211000,-19077000,0.22931,0.04358,0.02365,0.02228,0.00883,-0.61844,2.01326,1.52455,0.33652,0.33044,0.32809,13.97017,14.8313,-0.20436,0.27006,0.02023,-0.00687999999999998,0.81726,13.81157,18.94026
"34","2018_Q3",19.5933333333333,"Up",1385737000,-1069994000,315743000,-243984000,71759000,-10308000,-11468000,1160000,61451000,61451000,-21207000,40244000,40244000,40244000,40244000,101456000,101456000,849205000,849205000,796369000,96578000,96578000,1843608000,286715000,1398156000,406641000,814224000,177291000,1684871000,3528479000,843877000,634594000,209283000,950631000,991232000,219676000,219676000,1210908000,2161539000,89018000,1429668000,-151746000,1366940000,1366940000,3528479000,20729000,7979000,54184000,123136000,-9757000,14259000,-24759000,-76732000,-135245000,2150000,2150000,-473000,1677000,92488000,1097986000,158122000,0.22785,0.05178,0.02904,0.02944,0.01141,3.92908,1.93935,1.5813,0.31118,0.43402,0.43112,14.94475,14.74203,1.7053,0.26702,0.02421,0.0589,0.61522,10.7747,13.88718
"35","2018_Q4",19.5166666666667,"Down",1375222000,-1080486000,294736000,-244690000,50046000,-9687000,-11783000,2096000,40359000,40359000,68596000,108955000,108955000,108955000,108955000,118005000,118005000,863455000,863455000,882018000,116310000,116310000,1979788000,287439000,1407131000,399566000,816808000,190757000,1694570000,3674358000,846332000,654792000,191540000,1100086000,931419000,179863000,179863000,1111282000,2211368000,96813000,1501011000,-134834000,1462990000,1462990000,3674358000,20954000,-31935000,-135069000,-37095000,-11808000,-347000,-24672000,90985000,50067000,12625000,12625000,3924000,16549000,7.1e+07,1185173000,-144473000,0.21432,0.03639,0.07923,0.07447,0.02965,-1.32599,1.79967,1.51154,0.32255,1.18496,1.17658,14.95652,15.91106,-1.57125,0.26833,0.04725,-0.05109,0.22644,15.03054,21.32374
"36","2019_Q1",18.7449180327869,"Down",1400609000,-1110770000,289839000,-248588000,41251000,-10940000,-12289000,1349000,30311000,30311000,-9382999.99999997,20928000,20928000,20928000,20928000,62984000,62984000,826877000,826877000,779834000,103029000,103029000,1772724000,290590000,1408350000,389424000,815977000,202949000,1698940000,3471664000,815783000,610368000,205415000,908381000,922030000,179463000,27359000,1101493000,2009874000,104724000,1497766000,-140700000,1461790000,1461790000,3471664000,21029000,10774000,73262000,125993000,-15024000,10447000,-24558000,-163632000,-188190000,-51750000,-51750000,-3271000,-55021000,62280000,1014628000,129901000,0.20694,0.02945,0.01494,0.01432,0.00603,6.20704,1.95152,1.37494,0.29226,0.22786,0.22648,15.24954,15.91566,1.41433,0.26738,0.01713,0.04891,1.17345,15.28009,23.0696
"37","2019_Q2",19.027619047619,"Up",1336320000,-1052657000,283663000,-279149000,4514000,-9968000,-11221000,1253000,-5454000,-5454000,945000,-4509000,-4509000,-4456000,-4456000,91476000,91476000,520578000,520578000,845507000,183963000,183963000,1641524000,289658000,1356576000,378293000,814800000,163483000,1646234000,3287758000,806888000,588041000,218847000,917330000,743706000,179626000,179626000,923332000,1840662000,109633000,1468983000,-135467000,1443149000,1447096000,3287758000,20857000,6357000,182756000,205461000,-10184000,7569000,-25289000,-158516000,-183805000,29225000,29225000,-733000,28492000,25371000,854148000,196998000,0.21227,0.00338,-0.00333,-0.00308,-0.00136,-44.20961,1.78946,1.27197,0.2598,-0.04816,-0.04816,14.44217,15.59672,2.12904,0.27331,0.0084,0.07941,-5.67527,30.06078,168.95702
"38","2019_Q3",16.18203125,"Down",1404752000,-1109676000,295076000,-253860000,41216000,-3515000,-9456000,5941000,37701000,37701000,-9055000,28646000,28646000,28869000,28869000,165515000,165515000,571232000,571232000,792533000,176019000,176019000,1705299000,289602000,1349353000,368185000,814348000,166820000,1638955000,3344254000,888634000,662731000,225903000,968920000,738341000,181305000,181305000,919646000,1888566000,117062000,1473357000,-138455000,1451964000,1455688000,3344254000,21069000,7569000,-62531000,-5247000,-11910000,138779000,-24691000,-34213000,-58904000,74628000,74628000,-589000,74039000,62285000,818627000,-3101000,0.21006,0.02934,0.02055,0.01983,0.00863,-0.107419999999983,1.76,1.29737,0.24479,0.31148,0.30791,15.15652,15.66592,-0.0334599999999998,0.2664,0.02181,-0.00126,0.85528,10.48586,15.84608
"39","2019_Q4",16.66265625,"Up",1396745000,-1097236000,299509000,-254146000,45363000,-7745000,-9172000,1427000,37618000,37618000,-6564000,31054000,31054000,31225000,31225000,117431000,117431000,547180000,547180000,845846000,169209000,169209000,1679666000,290271000,1350588000,359601000,814874000,176113000,1640859000,3320525000,881567000,688125000,193442000,932698000,732640000,182490000,182490000,915130000,1847828000,123813000,1480054000,-134723000,1469144000,1472697000,3320525000,20499000,14196000,-189619000,-123870000,-11832000,131193000,-24751000,-32053000,-56804000,-49481000,-49481000,1397000,-48084000,65862000,783771000,-129025000,0.21443,0.03248,0.02236,0.0212,0.0094,-4.13211,1.80087,1.25472,0.23604,0.33641,0.33306,15.04805,15.82805,-1.39007,0.26666,0.02295,-0.0529,0.79267,10.11721,14.68906
"40","2020_Q1",19.2529032258065,"Up",1436706000,-1124179000,312527000,-265904000,46623000,-10260000,-9817000,-442999.999999998,36363000,36363000,-8678000,27685000,27685000,27990000,27990000,95646000,95646000,582094000,582094000,761018000,165605000,165605000,1604363000,305790000,1359116000,351153000,816226000,191737000,1664906000,3269269000,851737000,648418000,203319000,875712000,725341000,187709000,187709000,913050000,1788762000,132413000,1483496000,-138650000,1477259000,1480507000,3269269000,20348000,23398000,-99617000,-28186000,-26808000,63186000,-24737000,-40760000,-55733000,-20733000,-20733000,-1052000,-21785000,66971000,749316000,-50776000,0.21753,0.03245,0.01948,0.01891,0.00856,-1.81408,1.83207,1.20821,0.2292,0.301,0.2981,15.45028,15.88638,-0.54604,0.26602,0.02181,-0.021,0.88378,9.76049,14.02033
"41","2020_Q2",15.8771428571429,"Down",1328651000,-1038597000,290054000,-273380000,16674000,23227000,-8690000,31917000,39901000,39901000,-10094000,29807000,29807000,30042000,30042000,109781000,109781000,502662000,502662000,809643000,160578000,160578000,1582664000,305443000,1461515000,341075000,815450000,304990000,1766958000,3349622000,816821000,625435000,191386000,874227000,718145000,253873000,253873000,972018000,1846245000,133678000,1492836000,-126150000,1500364000,1503377000,3349622000,20632000,-24100000,-71563000,-45224000,-8901000,96796000,-25538000,-10618000,-36156000,15416000,15416000,-1281000,14135000,37306000,743964000,-33064000,0.21831,0.01255,0.02261,0.01998,0.00897,-1.10059,1.81036,1.22807,0.2221,0.32029,0.31749,14.16548,15.9962,-0.35251,0.27227,0.02222,-0.01322,0.85008,16.99949,38.03424
"42","2020_Q3",23.3190625,"Up",1418744000,-1117250000,301494000,-319640000,-18146000,-8777000.00000001,-9046000,268999.999999996,-26923000,-26923000,-6426000,-33349000,-33349000,-33129000,-33129000,129575000,129575000,581288000,581288000,787406000,189163000,189163000,1687432000,308008000,1440017000,332575000,816257000,291185000,1748025000,3435457000,1030399000,766485000,263914000,1061427000,663513000,251893000,251893000,915406000,1976833000,139980000,1434833000,-118982000,1455831000,1458624000,3435457000,20643000,9068000.00000001,34209000,30571000,-13950000,92660000,-24966000,-80539000,-105505000,17726000,17726000,2068000,19794000,2497000,663513000,29182000,0.21251,-0.01279,-0.02335,-0.02271,-0.00964,-0.88086,1.58978,1.35527,0.19314,-0.35209,-0.35521,15.0781,15.47226,0.31014,0.26533,-0.00344,0.01229,-0.7536,213.8318,-29.42456
"43","2020_Q4",26.1959375,"Up",1456155000,-1144325000,311830000,-268014000,43816000,-14277000,-16584000,2307000,29539000,29539000,-6567000,22972000,22972000,23227000,23227000,106169000,106169000,451255000,451255000,866313000,268937000,268937000,1692674000,306687000,1514191000,323700000,816642000,373849000,1820878000,3513552000,1074910000,802610000,272300000,1201457000,587455000,252672000,252672000,840127000,2041584000,146003000,1433163000,-109736000,1469430000,1471968000,3513552000,20617000,18343000,-216235000,-154303000,-10021000,137001000,-25018000,21998000,-6320000,-23622000,-23622000,216000,-23406000,64433000,682455000,-155256000,0.21415,0.03009,0.01595,0.01578,0.00661,-6.68429,1.40885,1.38698,0.19424,0.24639,0.24046,15.44697,15.58779,-1.64696,0.26539,0.02004,-0.0645,1.07711,8.94396,13.15241
"44","2021_Q1",29.7698360655738,"Up",1286461000,-992429000,294032000,-233440000,60592000,-52795000,-7467000,-45328000,7797000,-632924000,24127000,-608797000,-608797000,-608586000,-608586000,77944000,77944000,416523000,416523000,812194000,236104000,236104000,1542765000,303725000,868860000,313505000,138724000,416631000,1172585000,2715350000,1044192000,862093000,182099000,1074898000,587766000,216242000,81695000,804008000,1878906000,147565000,799652000,-113100000,834117000,836444000,2715350000,20290000,653956000,-140037000,-74588000,-8937000,172678000,-24920000,-91681000,-123248000,-25158000,-25158000,-3067000,-28225000,80882000,587766000,-92219000,0.22856,0.0471,-0.47307,-0.72759,-0.22413,0.151530000000002,1.43527,2.2463,0.21646,-6.44279,-6.60559,13.61911,8.83037,-0.97628,0.26382,-0.3558,-0.05622,-0.0409499999999998,6.30328,8.41402
"45","2021_Q2",31.6552380952381,"Up",1245837000,-992021000,253816000,-215944000,37872000,-4657000,-6691000,2034000,33215000,33215000,-9013000,24202000,24202000,24407000,24407000,119561000,119561000,372317000,372317000,700535000,267714000,267714000,1460127000,300041000,886028000,305005000,139197000,441826000,1186069000,2646196000,811584000,549715000,261869000,978784000,588011000,224663000,224663000,812674000,1791458000,153280000,799587000,-100251000,852616000,854738000,2646196000,19867000,10086000,-283963000,-229808000,-6439000,133423000,-24910730.9250359,1.36e+08,135278000,38893000,38893000,2724000,41617000,57739000,724011000,-223650000,0.20373,0.0304,0.01959,0.02855,0.00922000000000001,-9.16335,1.49178,2.09591,0.2736,0.25641,0.25466,13.08804,8.95709,-2.34954,0.262338260855919,0.01353,-0.12401,-0.199830101917825,10.46866,15.96034
"46","2021_Q3",28.75203125,"Down",1553168000,-1232800000,320368000,-246662000,73706000,-3157999.99999999,-6381000,3223000,70548000,70548000,-16722000,53825999.9999999,53825999.9999999,54060000,54060000,139481000,139481000,491687000,491687000,761941000,263149000,263149000,1656258000,298460000,834306000,296271000,139411000,398624000,1132766000,2789024000,930072000,690755000,239317000,1072886000,588329000,235082000,235082000,823411000,1896297000,158758000,828744000,-96663000,890839000,892727000,2789024000,19014000,12550000,-278586000,-193196000,-7931000,261510000,-25009000,-2.5e+07,-48656000,19658000,19658000,262000,19920000,92720000,699329000,-177075000,0.20627,0.04746,0.03481,0.06056,0.01938,-3.27553,1.54374,2.12416,0.25074,0.566110000000002,0.56098,16.26473,9.32884,-1.85432,0.26189,0.04327,-0.09691,0.46262,6.03805,7.59569
"47","2021_Q4",29.89734375,"Up",1551268000,-1226727000,324541000,-262860000,61681000,-1209000,-5532000,4323000,60472000,60472000,-11905000,48567000,48567000,48759000,48759000,155961000,155961000,456138000,456138000,838012000,273119000,273119000,1723230000,224310000,903425000,288442000,139714000,475269000,1127735000,2850965000,959692000,677054000,282638000,1200894000,487850000,227616000,227616000,715466000,1916360000,165283000,852238000,-84612000,932909000,934605000,2850965000,19474000,9316000,-259237000,-181880000,-6731000,220958000,-25068000,-3e+06,-26560000,12518000,12518000,3962000,16480000,81155000,696600000,-172908000,0.20921,0.03976,0.03143,0.05217,0.0171,-3.54618,1.43496,2.05045,0.24434,0.50932,0.50305,16.20394,9.7448,-1.80613,0.26185,0.03972,-0.09302,0.51412,6.66181,8.76508
"48","2022_Q1",28.6261290322581,"Down",1561793000,-1257388000,304405000,-267057000,37348000,-1652000,-5680000,4028000,35696000,35696000,-7182000,28514000,28514000,28755000,28755000,143244000,143244000,449235000,449235000,736778000,286672000,286672000,1615929000,219438000,810622000,279644000,139932000,391046000,1135582000,2751511000,903664000,609264000,294400000,1089666000,487545000,209629000,85138000,697174000,1786840000,170067000,855741000,-62592000,963216000,964671000,2751511000,20541000,-8347000,-166343000,-125635000,-4687000,194772000,-25106000,-5.5e+07,-82707000,-13570000,-13570000,853000,-12717000,57889000,641295000,-105959000,0.19491,0.02391,0.01841,0.02981,0.01045,-3.68489,1.48296,1.85228,0.23307,0.29959,0.29487,16.27207,10.03559,-1.10397,0.26158,0.02967,-0.05836,0.8731,8.60355,13.33541
"49","2022_Q2",30.4264516129032,"Up",1614876000,-1337074000,277802000,-317331000,-39529000,-3772000,-5195000,1423000,-43301000,44526000,-10724000,33802000,33802000,33996000,33996000,136930000,136930000,373533000,373533000,770366000,330655000,330655000,1611484000,216397000,782775000,284394000,140985000,357396000,1139365000,2750849000,892746000,593091000,299655000,1067884000,487818000,214542000,214542000,702360000,1770244000,177154000,864197000,-62007000,979344000,980605000,2750849000,20518000,-76603000,-291138000,-313421000,-7717000,344952000,-25138000,-1.1e+07,-38035000,-6504000,-6504000,190000,-6314000,-19011000,630568000,-307142000,0.17203,-0.02448,0.02105,0.03467,0.01236,-9.03465,1.50904,1.80526,0.22923,0.35097,0.346,16.67158,10.11051,-3.17086,0.25952,0.03239,-0.16823,0.73944,-25.96591,-12.488
"50","2022_Q3",28.02,"Down",1649161000,-1322726000,326435000,-263575000,62860000,1283000,-5521000,6804000,64143000,64143000,-16205000,47938000,47938000,48330000,48330000,154152000,154152000,481844000,481844000,830121000,333314000,333314000,1799431000,213362000,745850000,272750000,140884000,332216000,1103294000,2902725000,1018113000,773230000,244883000,1193054000,488091000,209598000,209598000,697689000,1890743000,185523000,886897000,-61307000,1011113000,1011982000,2902725000,20462000,6246999.99999999,-300240000,-225593000,-7786000,262644000,-25269000,1e+06,-20413000,16638000,16638000,584000,17222000,83322000,631841000,-208499000,0.19794,0.03812,0.02931,0.04776,0.01665,-4.31407,1.50826,1.86836,0.21767,0.49895,0.49188,17.02553,10.43848,-2.15249,0.26087,0.03971,-0.11249,0.52284,5.73305,7.59925
