"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2020_Q2",15.6485714285714,"Down",104903000,-8225000,96678000,-68038000,-38372000,-29666000,28640000,-24255000,-23828000,4385000,-3947000,438000,13000,3762000,3762000,5643000,-2427000,67694000,67694000,83648000,83648000,8322000,8322000,159664000,1869882000,231811000,224076000,7735000,2465271000,2624935000,51093000,22294000,27411000,27411000,78504000,1491716000,234457000,43045000,191412000,1726173000,1804677000,457176000,820258000,820258000,2624935000,3762000,29900000,12897000,23642000,70201000,-18583000,-18583000,-18583000,-76399000,20250000,-7539000,46657000,40459000,40459000,40459000,58540000,1491716000,63586000,0.92159,0.27301,-0.02314,-0.00295999999999999,-0.00091999999999999,-26.19942,2.03383,2.20013,0.56829,-0.34676,-0.34676,14.98828,65.32019,9.08501,-0.00095000000000002,0.02497,24.32562,49.72144
"32","2020_Q3",12.514375,"Down",92007000,-6088000,85919000,-63568000,-33938000,-29630000,22351000,-21714000,-21990000,637000,52655000,53292000,389000,56720999.9999999,56720999.9999999,58114000,49592000,36571000,36571000,77199000,77199000,9300000,9300000,123070000,1855889000,224485000,215901000,8584000,2463432000,2586502000,43285000,18422000,31520000,31520000,112805000,1545133000,53277000,42348000,10929000,1598410000,1711215000,567421000,875287000,875287000,2586502000,56721000,29866000,-47163000,-4253999.99999999,35170000,-8843000,-8843000,-8843000,-30538000,36453000,-42901000,-40394000,-35762000,-35762000,-35762000,52217000,1583133000,38731000,0.93383,0.24293,0.539,0.05666,0.01917,0.780989999999999,1.091,1.95503,0.61207,7.08558,7.08558,13.14574,81.07172,5.53379,0.01974,0.01542,29.61798,69.19431
"33","2020_Q4",12.881875,"Up",90153000,-8632000,81521000,-62234000,-32729000,-29505000,19287000,-18223000,-19018000,1064000,24068000,25132000,-298000,25629000,25629000,25629000,66795000,50272000,50272000,76497000,76497000,4583000,4583000,131352000,1840284000,212755000,207766000,4989000,2442127000,2573479000,41203000,16205000,35505000,35505000,231908000,1390842000,48294000,41755000,6539000,1439136000,1671044000,567284000,902435000,902435000,2573479000,25629000,29739000,-15593000,1661000,41436000,-7886000,-7886000,-7886000,-17961000,-14061000,-737000,-14798000,8677000,8677000,8677000,49026000,1546042000,43099000,0.90425,0.21394,0.74091,0.07402,0.02596,0.64524,0.5664,1.85171,0.60076,9.54351,9.54351,12.88084,81.05215,6.15788,0.02675,0.01726,30.50973,77.55327
"34","2021_Q1",20.3929508196721,"Up",96410000,-13708000,82702000,-83760000,-54429000,-29331000,-1058000,-14654000,-14058000,-15712000,114511000,98799000,42000,102966000,102966000,102966000,149034000,15544000,15544000,61932000,61932000,4623000,4623000,82099000,1813810000,211168000,199566000,11602000,2417718000,2499817000,43971000,11878000,24437000,24437000,68408000,1347326000,71534000,48250000,23284000,1418860000,1487268000,748466000,1012549000,1012549000,2499817000,102966000,29565000,-109718000,28969000,51782000,-7816000,-7816000,-7816000,-15671000,-68762000,-2101000,-70863000,-34752000,-34752000,-34752000,28507000,1347326000,49618000,0.85782,-0.01097,1.54584,0.14719,0.05962,0.332929999999996,1.20014,1.46884,0.53897,21.29361,21.29361,13.77482,106.93899,7.0893,0.0613,0.02041,46.71772,-1258.77316
"35","2021_Q2",25.1060317460317,"Up",99318000,-20476000,78842000,-55448000,-26937000,-28511000,23394000,-13898000,-13953000,9496000,-2837000,6659000,14000,8988000,8988000,8988000,769000,16233000,16233000,54301000,54301000,20234000,20234000,90768000,1788222000,199170000,192378000,6792000,2381797000,2472565000,42417000,15873000,32288000,32288000,74705000,1304918000,70712000,47644000,23068000,1375630000,1450335000,749928000,1022230000,1022230000,2472565000,8988000,28746000,10763000,2933000,51430000,5390000,-2610000,-2610000,-229000,-37357000,-5088000,-42445000,8756000,8756000,8756000,52140000,1304918000,60449000,0.79383,0.23555,0.00774,0.000750000000000001,0.000310000000000005,78.60728,1.21502,1.4188,0.52776,0.10987,0.10987,14.19031,107.14788,8.63681,0.000320000000000001,0.02521,24.71586,55.0861299999999
"36","2021_Q3",35.37484375,"Up",100041000,-16626000,83415000,-75465000,-47101000,-28364000,7950000,-15149000,-15502000,-7199000,-15091000,-22290000,248000,-19738000,-19738000,-19738000,-19350000,7211000,7211000,61233000,61233000,11404000,11404000,79848000,1768897000,191860000,186525000,5335000,2394197000,2474045000,40729000,14824000,44197000,44197000,846926000,539099000,85043000,44857000,40186000,624142000,1471068000,743391000,1002977000,1002977000,2474045000,-19738000,28598000,22426000,3501000,34787000,-3352000,-3352000,-3352000,-46676000,-3883000,-1003000,-4886000,-16775000,-16775000,-16775000,36548000,1301099000,36449000,0.83381,0.07947,-0.19342,-0.01929,-0.00782,-1.88367,0.09428,1.4667,0.5259,-2.76468,-2.76468,14.29361,106.21389,5.20774,-0.0081,0.01526,35.40243,162.75321
"37","2021_Q4",30.7034375,"Down",102045000,-21072000,80973000,-60250000,-29258000,-30992000,20723000,-14777000,-15530000,5946000,-1096000,4850000,79000,7004000,7004000,7004000,-1165000,5505000,5505000,68473000,68473000,12144000,12144000,86122000,1748174000,184396000,180017000,4379000,2414555000,2500677000,45332000,10706000,27205000,27205000,72537000.0000001,1318078000,84032000,43248000,40784000,1402110000,1474647000,758275000,1026030000,1026030000,2500677000,7006000,31226000,3090000,192000,41514000,-5818000,-6183945.75842868,-6183945.75842868,-58984000,16597000,-391000,16206000,-1264000,-1264000,-1264000,51949000,1318078000,46244000,0.7935,0.20308,-0.01142,-0.00114,-0.00047,-39.69442,1.18728,1.43724,0.52709,-0.16645,-0.16645,14.57994,108.34048,6.60723,-0.000480000000000001,0.01905,25.26657,63.33895
"38","2022_Q1",20.4545161290323,"Down",99214000,-23795000,75419000,-60257000,-29048000,-31209000,15162000,-22945000,-21171000,-7783000,-9592000,-17375000,-14000,-16203000,-16203000,-16203000,-24542000,7349000,7349000,62121000,62121000,17899000,17899000,87369000,1726082000,185815000,172927000,12888000,2435093000,2522462000,51784000,10498000,27453000,17079000,79237000,1355072000,77465000,42570000,34895000,1432537000,1511774000,1010688000,1010688000,1010688000,2522462000,-16205000,31425000,22907000,-759000,37368000,-13250000,-8336201.8462728,-8336201.8462728,-59840000,50453000,-14670000,35783000,13311000,13311000,13311000,46587000,1355072000,32592000,0.76016,0.15282,-0.24736,-0.02428,-0.00973,-1.32801,1.10263,1.49579,0.5372,-3.5065,-3.5065,14.17545,144.40463,4.65667,-0.01004,0.01334,28.92916,88.88821
"39","2022_Q2",17.4443548387097,"Down",96126000,-22251000,73875000,-60467000,-30022000,-30445000,13408000,-24163000,-24163000,-10755000,6765000,-3990000,-50000,-5000,-5000,-5000,13036000,8559000,8559000,59209000,59209000,8692000,8692000,76460000,1706146000,186787000,167649000,19138000,2418320000,2494780000,69144000,13546000,19405000,19405000,94621000,1315495000,75505000,41575000,33930000,1.391e+09,1485621000,817719000,1009159000,1009159000,2494780000,-5000,30679000,2905000,12467000,46046000,-6853000,-8703000,-8703000,-15297000,-35095000,-2746000,-37841000,-7092000,-7092000,-7092000,44087000,1321567000,49751000,0.76852,0.13948,0.13561,0.01292,0.00523,3.81643,0.80807,1.47214,0.52973,1.81813,1.81813,13.40669,114.04728,6.93877,0.00542,0.02068,29.7822,97.92721
"40","2022_Q3",15.08,"Down",99063000,-26831000,72232000,-62861000,-32750000,-30111000,9371000,-24891000,-24887000,-15520000,-80352000,-95872000,-325000,-91804000,-91804000,-91804000,-96856000,12367000,12367000,59392000,59392000,7049000,7049000,78808000,1531450000,180522000,156877000,23645000,2231525000,2310333000,54561000,8378000,24934000,24934000,87021000,1232512000,74818000,40362000,34456000,1307330000,1394351000,721118000,915982000,915982000,2310333000,-91804000,30346000,8.9e+07,-13429000,14113000,-3341000,-6091000,-6091000,72179000,-83147000,75000,-83072000,3220000,3220000,3220000,39717000,1240038000,23272000,0.72915,0.0946,-0.97772,-0.10574,-0.04192,-0.240269999999999,0.90562,1.52225,0.53674,-9.52744,-9.52744,9.74454,70.93429,2.2892,-0.04342,0.01043,30.91047,131.00747
