"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",6.85491803278688,"Up",44645000,-33980000,10665000,-8441000,-8441000,2224000,-665000,-548000,-117000,1559000,1559000,-685000,874000,874000,874000,874000,1294000,1294000,28913000,28913000,10488000,1321000,9167000,40695000,2208000,4098000,-1890000,49681000,540000,51889000,92584000,13073000,4127000,8946000,258000,258000,17906000,6273000,6273000,40402000,58308000,20955000,-4174000,17614000,34276000,34276000,92584000,874000,840000,-173000,1261000,2802000,-235000,-256000,7999.99999999997,-3609000,-1063000,-1063000,-894000,3064000,38704000,4775000,0.23888,0.04982,0.01958,0.0255,0.00944,5.46339,2.2727,1.70113,0.41804,0.07956,0.07814,4.06381,3.11997,0.43464,0.01103,0.06025,12.20953,16.82104
"35","2019_Q2",5.36634920634921,"Down",45199000,-34364000,10835000,-8965000,-8965000,1870000,-554000,-539000,-15000,1316000,1316000,-352000,964000,964000,964000,964000,1548000,1548000,28960000,28960000,11342000,1171000,10171000,41850000,2445000,4502000,-2057000,54423000,5859000,56868000,98718000,13092000,3931000,9161000,7774000,338000,25441000,4165000,4165000,37832000,63273000,21191000,-4174000,18578000,35445000,35445000,98718000,964000,839000,167000,-842000,1128000,-404000,-395000,29042.1749118655,-488000,245000,245000,254000,2709000,38242000,1815000,0.23972,0.04137,0.02133,0.0272,0.00977,1.88278,1.64498,1.7851,0.38739,0.08765,0.08593,4.10975,3.22286,0.16503,0.01238,0.02331,13.54522,19.62246
"36","2019_Q3",5.6278125,"Up",48472000,-36418000,12054000,-3475000,-3475000,8579000,-507000,-468000,-39000,8072000,8072000,-2114000,5958000,5958000,5958000,5958000,3869000,3869000,25730000,25730000,11410000,1349000,10061000,41009000,2438000,4692000,-2254000,52927000,5427000,55365000,96374000,15094000,3909000,11185000,1513000,174000,21182000,5097000,3940000,33463000,54645000,21564000,-4187000,24536000,41729000,41729000,96374000,5958000,869000,-4197000,4995000,7625000,-190000,-106000,93000.0000000001,-5234000,2285000,2285000,2321000,9448000,32941000,16367000,0.24868,0.17699,0.12292,0.14278,0.06182,2.74706,1.93603,1.30952,0.3418,0.54026,0.53445,4.39536,3.78391,1.48413,0.07469,0.20519,3.07705,3.38874
"37","2019_Q4",8.0246875,"Up",49543000,-37214000,12329000,-9259000,-9259000,3070000,-380000,-413000,33000,2690000,2690000,-741000,1949000,1949000,1949000,1949000,1963000,1963000,26537000,26537000,9815000,1392000,8423000,38315000,2534000,4971000,-2437000,52230000,5403000,54764000,93079000,15516000,4359000,11157000,1653000,246000,21744000,4972000,3890000,27519000,49263000,21827000,-4187000,26485000,43816000,43816000,93079000,1949000,869000,264000,1228000,4310000,-292000,-255000,0,-5845000,-1790000,-1790000,-1906000,3939000,27122000,5616000,0.24885,0.06197,0.03934,0.04448,0.02094,2.88148,1.7621,1.12432,0.29139,0.17654,0.17358,4.48759,3.96884,0.5087,0.02568,0.07398,6.38715,8.19511
"38","2020_Q1",12.7043548387097,"Up",50360000,-37597000,12763000,-9295000,-9295000,3468000,-327000,-359000,32000,3141000,3141000,-867000,2274000,2274000,2274000,2274000,2981000,2981000,22345000,22345000,11604000,1597000,10007000,36930000,2476000,5095000,-2619000,51178000,5022000,53654000,90584000,12883000,4027000,8856000,1633000,237000,19091000,4531000,3506000,25213000,44304000,22066000,-4187000,28759000,46280000,46280000,90584000,2274000,857000,139000,-249000,3021000,-128000,-123000,69000,-1822000,1076000,1076000,1018000,4325000,25257000,4815000,0.25344,0.06886,0.04515,0.04914,0.0251,2.11741,1.93442,0.9573,0.27882,0.20579,0.20064,4.55747,4.18824,0.43575,0.02989,0.0633,5.15052,6.4233
"39","2020_Q2",17.7274603174603,"Up",50425000,-37706000,12719000,-10243000,-10243000,2476000,-226000,-279000,53000,2250000,2250000,-381000,1869000,1869000,1869000,1869000,2575000,2575000,21117000,21117000,13515000,1036000,12479000,37207000,2393000,5174000,-2781000,50219000,4736000,52612000,89819000,13574000,3440000,10134000,1478000,86000,23589000,4047000,3204000,17405000,40994000,23078000,-4187000,30628000,48825000,48825000,89819000,1869000,873000,302000,-249000,2795000,-119000,-102000,556000,-2832000,-139000,-139000,-406000,3349000,21895000,3362000,0.25224,0.0491,0.03706,0.03828,0.02081,1.79882,1.5773,0.83961,0.24377,0.16797,0.16009,4.53177,4.38798,0.30215,0.025,0.04497,5.76889,7.80291
"40","2020_Q3",20.880625,"Up",47583000,-34927000,12656000,-9042000,-9042000,3614000,-157000,-198000,41000,3457000,3457000,-488000,2969000,2969000,2969000,2969000,4743000,4743000,18978000,18978000,13454000,1224000,12230000,37175000,2230000,5208000,-2978000,49177000,4363000,51407000,88582000,14035000,3073000,10962000,1503000,208000,20113000,5277000,4440000,15210000,35323000,24562000,-4187000,33597000,53259000,53259000,88582000,2969000,868000,632000,4311000,8780000,-36000,-33000,872000,-6541000,2206000,2206000,2168000,4482000,14508000,9245000,0.26598,0.07595,0.0624,0.05575,0.03352,3.11384,1.84831,0.66323,0.16378,0.26342,0.24694,4.22172,4.72531,0.82025,0.04065,0.12657,2.17871,2.70199
"41","2020_Q4",18.058125,"Down",47383000,-34293000,13090000,-8873000,-8873000,4217000,-191000,-164000,-27000,4026000,4026000,-1028000,2998000,2998000,2998000,2998000,4014000,4014000,18733000,18733000,15172000,2647000,12525000,37919000,2133000,5240000,-3107000,48192000,4034000,50325000,88244000,15074000,3114000,11960000,1292000,104000,20941000,6576000,5850000,10441000,31382000,25031000,-4187000,36595000,56862000,56862000,88244000,2998000,858000,377000,1130000,5363000,-105000,-112000,7000,-6087000,-836000,-836000,-729000,5075000,8440000,7128000,0.27626,0.089,0.06327,0.05272,0.03397,2.37759,1.81075,0.5519,0.09564,0.2634,0.24911,4.16298,4.99578,0.62625,0.04171,0.09917,0.87212,1.04956
"42","2021_Q1",17.08,"Down",48710000,-35636000,13074000,-9978000,-9978000,3096000,-196000,-225000,29000,2900000,2900000,-875000,2025000,2025000,2025000,2025000,7677000,7677000,22036000,22036000,11444000,1346000,10098000,41157000,1971000,5224000,-3253000,58918000,3682000,60889000,102046000,16014000,2589000,13425000,1557000,478000,21971000,7667000,7667000,20542000,42513000,25639000,-4187000,38620000,59533000,59533000,102046000,2025000,990000,-823000,2101000,4293000,-38000,-9387000,117000,8746000,3652000,3652000,3663000,4086000,17275000,7024000,0.2684,0.06356,0.04157,0.03401,0.01984,3.46864,1.87324,0.71411,0.16929,0.17782,0.16781,4.27731,5.2277,0.61679,0.02397,0.08315,2.349,3.10013
"43","2021_Q2",16.1473015873016,"Down",49775000,-36971000,12804000,-10935000,-10935000,1869000,-232000,-195000,-37000,1637000,1637000,-443000,1194000,1194000,1194000,1194000,7242000,7242000,23425000,23425000,14019000,1238000,12781000,44686000,1895000,5348000,-3453000,58109000,3658000,60004000,104690000,17963000,3915000,14048000,1461000,405000,23824000,7615000,7615000,19410000,43234000,26361000,-4187000,39814000,61456000,61456000,104690000,1194000,997000,633000,-2050000,774000,-128000,-191000,101000,-999000,-416000,-416000,-435000,2866000,16195000,1131000,0.25724,0.03755,0.02399,0.01943,0.01141,0.94724,1.87567,0.7035,0.15469,0.1046,0.09952,4.36049,5.38379,0.09908,0.014,0.01326,3.12387,4.79026
"44","2021_Q3",17.01015625,"Up",53658000,-39343000,14315000,-10986000,10935000,3329000,-144000,-159000,15000,3185000,5167000,-1429000,3738000,3738000,3738000,3738000,5302000,5302000,26402000,26402000,15598000,3416000,12182000,47302000,1887000,5538000,-3651000,59507000,6190000,61394000,108696000,17888000,4638000,13250000,1872000,437000,24160000,7779000,7779000,18495000,42655000,27303000,-4187000,43552000,66041000,66041000,108696000,3738000,999000,-863000,-4470000,-596000,-198000,-333999.999999999,185000,-914999.999999998,-1845000,-1845000,-1940000,4328000,15116000,1089000,0.26678,0.06204,0.06966,0.0566,0.03439,0.29133,1.95786,0.64589,0.13907,0.32689,0.31147,4.69244,5.77534,0.09523,0.04203,0.01224,2.26756,2.94803
"45","2021_Q4",17.80734375,"Up",59531000,-42911000,16620000,-11645000,10834829.337769,4975000,-235000,-169000,-66000,4740000,4740000,-1334000,3406000,3406000,3406000,3406000,5447000,5447000,32471000,32471000,17075000,4171000,12904000,54993000,2201000,5909000,-3708000,57888000,5826000,60089000,115082000,21506000,4942000,16564000,1940000,446000,27846000,7429000,7412000,17065000,44911000,27996000,-4187000,46958000,70171000,70171000,115082000,3406000,988000,1348000,-4011000,1731000,-515000,-517000,0,-1100000,114000,114000,145000,5963000,14036000,2771000,0.27918,0.08357,0.05721,0.04854,0.0296,0.81356,1.9749,0.64002,0.12197,0.29773,0.28329,5.20376,6.13383,0.24222,0.03717,0.03024,1.44038,1.72643
"46","2022_Q1",17.9696774193548,"Up",59048000,-43343000,15705000,-8268000,-5285472.23960154,7437000,-113000,-152000,39000,7324000,5342000,-1459000,3883000,3883000,3883000,3883000,6622000,6622000,34153000,34153000,13130000,3890000,9240000,53905000,3038000,6951000,-3913000,56759000,5489000,59797000,113702000,20421000,4954000,15467000,2023000,544000,26844000,4096000,3831000,12430000,39274000,28381000,-4187000,50841000,74428000,74428000,113702000,3883000,995000,-506000,-1065000,3307000,-1044000,-1042000,244000,-1079000,1186000,1186000,1175000,8432000,12734000,7782000,0.26597,0.12595,0.06576,0.05217,0.03415,2.00412,2.00808,0.52768,0.11199,0.33842,0.32147,5.14624,6.48667,0.67823,0.04255,0.08527,0.72486,0.82184
"47","2022_Q2",17.9190322580645,"Down",59755000,-43823000,15932000,-12625000,-12625000,3307000,-60000,-114000,54000,3247000,3247000,-915000,2332000,2332000,2332000,2332000,7185000,7185000,35137000,35137000,14892000,3191000,11701000,57214000,3540000,7673000,-4133000,56022000,5544000,59562000,116776000,20388000,6242000,14146000,2014000,443000,26802000,4690000,3802000,11942000,38744000,29800000,-4187000,53173000,78032000,78032000,116776000,2332000,1020000,1167000,-2956000,1563000,-730000,-646000,893000,-207000,710000,710000,563000,4327000,11652000,1556000,0.26662,0.05534,0.03903,0.02989,0.01997,0.66724,2.13469,0.49651,0.09978,0.20361,0.1937,5.21741,6.81324,0.13586,0.02471,0.01649,1.03235,1.35077
"48","2022_Q3",15.14375,"Down",62117000,-45371000,16746000,-13198000,12625000,3548000,68000,-127000,195000,3616000,3616000,-1180000,2436000,2436000,2436000,2436000,6722000,6722000,37730000,37730000,16580000,3102000,13478000,61032000,3291000,7709000,-4418000,54818000,5132000,58109000,119141000,20922000,6724000,14198000,1999000,469000,27321000,4120000,3304000,10290000,37611000,31181000,-4187000,55609000,81530000,81530000,119141000,2436000,1108000,698000,-3868000,374000,-67000,-47000,629000,-471000,-144000,-144000,-463000,4656000,10570000,1901000,0.26959,0.05712,0.03922,0.02988,0.02045,0.78038,2.23389,0.46131,0.08872,0.20987,0.20116,5.35168,7.02421,0.16378,0.02532,0.01976,0.82646,1.08455
