"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",57.66859375,"Up",1.695e+09,-1.142e+09,5.53e+08,-3.67e+08,-3.31e+08,-3.6e+07,1.86e+08,1e+06,1e+06,1.86264514923096e-09,1.87e+08,1.87e+08,-6.6e+07,1.21e+08,1.21e+08,1.21e+08,1.21e+08,9.7e+08,9.7e+08,1.317e+09,2.68e+08,2.68e+08,2.555e+09,6.44e+08,5.05e+08,1.56e+08,2.22e+08,8.1e+07,1.149e+09,3.704e+09,7.39e+08,3.59e+08,3.8e+08,7.41e+08,1.3e+08,2.54e+08,2.54e+08,3.84e+08,1.125e+09,2.579e+09,2.579e+09,3.704e+09,1.19e+08,3.6e+07,-9.7e+07,6.3e+07,1.21e+08,-5.6e+07,-5.6e+07,-5.6e+07,-3.5e+07,-6.1e+07,1.5e+07,-7.6e+07,1.5e+07,-8.2e+07,-1.7e+07,-1.7e+07,1e+06,-1.6e+07,2.22e+08,1.32e+08,2.95e+08,0.32625,0.10973,0.07139,0.04692,0.03267,2.43802,3.44804,0.43622,0.03564,0.86738,0.85633,12.15054,18.48746,2.1147,0.2509,8,0.05261,0.09949,0.28926,-3.77477,-4.50538
"23","2015_Q4",54.04984375,"Down",1.794e+09,-1.187e+09,6.07e+08,-4.9e+08,-3.52e+08,-3.8e+07,1.17e+08,0,1e+06,-1e+06,1.17e+08,1.17e+08,-3.7e+07,8e+07,8e+07,8e+07,8e+07,8.78e+08,8.78e+08,1.336e+09,2.77e+08,2.77e+08,2.491e+09,6.64e+08,5.4e+08,1.56e+08,2.56e+08,8.2e+07,1.204e+09,3.695e+09,6.59e+08,2.58e+08,4.01e+08,6.6e+08,1.3e+08,3.58e+08,3.58e+08,4.88e+08,1.148e+09,2.547e+09,2.547e+09,3.695e+09,8e+07,3.8e+07,-2.8e+07,-1e+07,8e+07,-5.7e+07,-5.7e+07,-5.8e+07,-3.5e+07,-8.6e+07,2.5e+07,-1.11e+08,9e+06,-1.13e+08,-9.1e+07,-9.1e+07,-1e+06,-9.2e+07,1.55e+08,1.31e+08,1.25e+08,0.33835,0.06522,0.04459,0.03141,0.02165,1.5625,3.77424,0.45073,0.03545,0.57471,0.56818,12.88793,18.29741,0.89799,0.25144,6,0.03788,0.04117,0.4375,-4.81935,-6.38462
"24","2016_Q1",52.9781967213115,"Down",2.007e+09,-1.332e+09,6.75e+08,-4.31e+08,-3.87e+08,-3.9e+07,2.44e+08,-1e+06,1e+06,-2e+06,2.43e+08,2.43e+08,-8.7e+07,1.56e+08,1.56e+08,1.56e+08,1.56e+08,1.021e+09,1.021e+09,1.285e+09,3e+08,3e+08,2.606e+09,6.61e+08,5.08e+08,1.56e+08,2.34e+08,7.3e+07,1.169e+09,3.775e+09,6.99e+08,2.79e+08,4.2e+08,7e+08,1.29e+08,3.93e+08,3.93e+08,5.22e+08,1.222e+09,2.553e+09,2.553e+09,3.775e+09,1.58e+08,3.9e+07,8.4e+07,9.6e+07,3.77e+08,-5.5e+07,-5.5e+07,-5.6e+07,-3.4e+07,-1.02e+08,1e+06,-1.03e+08,-4.2e+07,-1.78e+08,1.43e+08,1.43e+08,1e+06,1.44e+08,2.83e+08,1.3e+08,4.11e+08,0.33632,0.12157,0.07773,0.0611,0.04132,2.63462,3.72286,0.47865,0.03444,1.13372,1.1223,14.58576,18.55378,2.98692,0.24709,9,0.06177,0.13362,0.21795,-3.14841,-3.65164
"25","2016_Q2",47.53671875,"Down",1.987e+09,-1.291e+09,6.96e+08,-4e+08,-3.61e+08,-3.9e+07,2.96e+08,2e+06,0,2e+06,2.98e+08,2.98e+08,-1.07e+08,1.91e+08,1.91e+08,1.91e+08,1.91e+08,1.062e+09,1.062e+09,1.26e+09,2.7e+08,2.7e+08,2.592e+09,7.06e+08,4.6e+08,1.57e+08,1.82e+08,7.5e+07,1.166e+09,3.758e+09,5.77e+08,2.3e+08,3.47e+08,5.78e+08,1.28e+08,3.77e+08,3.77e+08,5.05e+08,1.083e+09,2.675e+09,2.675e+09,3.758e+09,1.91e+08,3.9e+07,1.9e+07,-2.5e+07,2.24e+08,-6.5e+07,-6.5e+07,-6.5e+07,-3.7e+07,-8.1e+07,7e+06,-8.8e+07,-6000000.00000001,-1.24e+08,3.5e+07,3.5e+07,7e+06,4.2e+07,3.35e+08,1.29e+08,3.52e+08,0.35028,0.14897,0.09612,0.0714,0.05082,1.84293,4.48443,0.40486,0.03433,1.39927,1.38607,14.55678,19.59707,2.57875,0.27106,9,0.07168,0.11066,0.19372,-2.78507,-3.15203
"26","2016_Q3",51.38421875,"Up",1.78e+09,-1.193e+09,5.87e+08,-3.89e+08,-3.5e+08,-3.9e+07,1.98e+08,0,-1e+06,1e+06,1.98e+08,1.98e+08,-7.1e+07,1.27e+08,1.27e+08,1.27e+08,1.27e+08,9.45e+08,9.45e+08,1.339e+09,3.01e+08,3.01e+08,2.585e+09,7.26e+08,4.51e+08,1.56e+08,1.74e+08,7.7e+07,1.177e+09,3.762e+09,6.74e+08,3.48e+08,3.26e+08,6.75e+08,1.28e+08,3.81e+08,3.81e+08,5.09e+08,1.184e+09,2.578e+09,2.578e+09,3.762e+09,1.27e+08,3.9e+07,-8.3e+07,7.8e+07,1.61e+08,-6.6e+07,-6.6e+07,-6.6e+07,-3.7e+07,-1.81e+08,7e+06,-1.88e+08,2e+06,-2.16e+08,-1.21e+08,-1.21e+08,3e+06,-1.18e+08,2.37e+08,1.29e+08,3.2e+08,0.32978,0.11124,0.07135,0.04926,0.03376,2.51969,3.82963,0.45927,0.03429,0.94564,0.93796,13.25391,19.19583,2.38273,0.2755,9,0.05311,0.10363,0.29134,-3.44304,-4.12121
"27","2016_Q4",58.8484126984127,"Up",1.886e+09,-1.246e+09,6.4e+08,-4.12e+08,-3.66e+08,-4e+07,2.28e+08,-3e+06,3e+06,-6e+06,2.25e+08,2.25e+08,-7e+07,1.55e+08,1.55e+08,1.55e+08,1.55e+08,8.65e+08,8.65e+08,1.361e+09,2.91e+08,2.91e+08,2.517e+09,7.32e+08,4.45e+08,1.56e+08,1.71e+08,7.5e+07,1.177e+09,3.694e+09,5.42e+08,2.15e+08,3.27e+08,5.43e+08,1.27e+08,3.91e+08,3.91e+08,5.18e+08,1.061e+09,2.633e+09,2.633e+09,3.694e+09,1.57e+08,4e+07,-2.3e+07,-8.2e+07,9.2e+07,-6.2e+07,-6.2e+07,-6.2e+07,-3.7e+07,-6.6e+07,1e+07,-7.6e+07,0,-1.03e+08,-7.3e+07,-7.3e+07,-6e+06,-7.9e+07,2.68e+08,1.28e+08,1.94e+08,0.33934,0.12089,0.08218,0.05887,0.04196,1.25161,4.63536,0.40296,0.03465,1.16541,1.15758,14.18045,19.79699,1.45865,0.2782,8,0.06091,0.06155,0.23871,-2.75,-3.23246
"28","2017_Q1",59.9185483870968,"Up",2.113e+09,-1.4e+09,7.13e+08,-4.35e+08,-3.95e+08,-4e+07,2.78e+08,5e+06,-4e+06,9e+06,2.83e+08,2.83e+08,-9.2e+07,1.91e+08,1.91e+08,1.91e+08,1.91e+08,1.046e+09,1.046e+09,1.307e+09,2.8e+08,2.8e+08,2.633e+09,7.65e+08,4.42e+08,1.55e+08,1.61e+08,8.4e+07,1.207e+09,3.84e+09,6.12e+08,2.49e+08,3.63e+08,6.12e+08,1.27e+08,3.91e+08,3.91e+08,5.18e+08,1.13e+09,2.71e+09,2.71e+09,3.84e+09,1.89e+08,4e+07,5.3e+07,8.5e+07,3.67e+08,-7.3e+07,-7.3e+07,-7.3e+07,-3.6e+07,-7.5e+07,5e+06,-8e+07,-1e+06,-1.13e+08,1.81e+08,1.81e+08,-999999.999999999,1.8e+08,3.18e+08,1.27e+08,4.22e+08,0.33743,0.13157,0.09039,0.07048,0.04974,2.20942,4.30229,0.41697,0.03307,1.44478,1.43286,15.98336,20.49924,3.19213,0.27231,9,0.07032,0.13073,0.18848,-2.88994,-3.30576
"29","2017_Q2",54.0828571428571,"Down",2.001e+09,-1.321e+09,6.8e+08,-4.12e+08,-3.71e+08,-4.1e+07,2.68e+08,-1e+06,0,-1e+06,2.67e+08,2.67e+08,-8.9e+07,1.78e+08,1.78e+08,1.78e+08,1.78e+08,1.049e+09,1.049e+09,1.279e+09,2.94e+08,2.94e+08,2.622e+09,7.92e+08,4.63e+08,1.56e+08,1.62e+08,1.02e+08,1.255e+09,3.877e+09,5.35e+08,2.08e+08,3.27e+08,5.35e+08,1.27e+08,3.93e+08,3.93e+08,5.2e+08,1.055e+09,2.822e+09,2.822e+09,3.877e+09,1.8e+08,4.1e+07,1.1e+07,-7.3e+07,1.59e+08,-7.5e+07,-7.5e+07,-7.5e+07,-4.1e+07,-2.9e+07,9e+06,-3.8e+07,-9e+06,-7.9e+07,5e+06,5e+06,-1e+06,4e+06,3.09e+08,1.27e+08,2.5e+08,0.33983,0.13393,0.08896,0.06308,0.04591,1.40449,4.90093,0.37385,0.03276,1.35464,1.34238,15.22831,21.47641,1.90259,0.31202,5,0.06553,0.07481,0.23034,-2.98382,-3.4403
"30","2017_Q3",35.2950793650794,"Down",1.701e+09,-1.198e+09,5.03e+08,-4.31e+08,-3.39e+08,-4.2e+07,7.2e+07,3e+06,1e+06,2e+06,7.5e+07,7.5e+07,-2.2e+07,5.3e+07,5.3e+07,5.3e+07,5.3e+07,1.043e+09,1.043e+09,1.29e+09,3.11e+08,3.11e+08,2.644e+09,8.21e+08,4.81e+08,1.58e+08,1.67e+08,1.11e+08,1.302e+09,3.946e+09,4.7e+08,1.62e+08,3.08e+08,4.7e+08,1.26e+08,4.56e+08,4.56e+08,5.82e+08,1.052e+09,2.894e+09,2.894e+09,3.946e+09,5.1e+07,4.2e+07,1.3e+07,-1.4e+07,9.2e+07,-7.5e+07,-7.5e+07,-7.5e+07,-4.1e+07,-2e+07,1e+06,-2.1e+07,5e+06,-5.6e+07,-3.9e+07,-3.9e+07,3.5e+07,-4000000.00000003,1.14e+08,1.26e+08,4.7e+07,0.29571,0.04233,0.03116,0.01831,0.01343,0.88679,5.62553,0.36351,0.03193,0.40396,0.40152,12.96494,22.05793,0.35823,0.3125,6,0.02704,0.01352,0.77358,-8.04386,-12.73611
"31","2017_Q4",31.6268253968254,"Down",1.87e+09,-1.29e+09,5.8e+08,-4.25e+08,-3.68e+08,-4.4e+07,1.55e+08,1e+06,0,1e+06,1.56e+08,1.56e+08,-5.4e+07,1.02e+08,1.02e+08,1.02e+08,1.02e+08,8.9e+08,8.9e+08,1.313e+09,2.95e+08,2.95e+08,2.498e+09,8.35e+08,4.8e+08,1.58e+08,1.64e+08,1.13e+08,1.315e+09,3.813e+09,5.67e+08,2.41e+08,3.26e+08,5.67e+08,1.26e+08,4.63e+08,4.63e+08,5.89e+08,1.156e+09,2.657e+09,2.657e+09,3.813e+09,1.02e+08,4.4e+07,-2e+07,1.19e+08,2.45e+08,-5.4e+07,-5.4e+07,-5.4e+07,-3.8e+07,-3.01e+08,2e+06,-3.03e+08,-1e+06,-3.4e+08,-1.49e+08,-1.49e+08,-4e+06,-1.53e+08,1.99e+08,1.26e+08,3.18e+08,0.31016,0.08289,0.05455,0.03839,0.02675,3.11765,4.40564,0.43508,0.03304,0.80824,0.8076,14.81775,21.05388,2.51981,0.30111,5,0.04313,0.09797,0.37255,-3.8392,-4.92903
"32","2018_Q1",39.6814754098361,"Up",2.21e+09,-1.517e+09,6.93e+08,-6.17e+08,-4.23e+08,-4.6e+07,7.6e+07,4e+06,1e+06,3e+06,8e+07,8e+07,-1.29e+08,-4.9e+07,-4.9e+07,-4.9e+07,-4.9e+07,8.49e+08,8.49e+08,1.278e+09,4.24e+08,4.24e+08,2.551e+09,8.66e+08,5.44e+08,1.6e+08,4.8e+07,2.9e+08,1.41e+09,3.961e+09,6.16e+08,2.58e+08,3.58e+08,6.16e+08,1.25e+08,7.01e+08,7.01e+08,8.26e+08,1.442e+09,2.519e+09,2.519e+09,3.961e+09,-4.9e+07,4.6e+07,1.8e+08,1.4e+08,3.17e+08,-7e+07,-7e+07,-8.5e+07,-3.7e+07,-1.04e+08,1e+06,-1.05e+08,0,-1.41e+08,9.1e+07,9.1e+07,2e+07,1.11e+08,1.22e+08,1.25e+08,3.21e+08,0.31357,0.03439,-0.02217,-0.01945,-0.01237,-6.55102,4.14123,0.57245,0.03156,-0.40833,-0.40597,18.41667,20.99167,2.675,0.30833,5,-0.00359,0.09596,-0.7551,-5.93443,-9.52632
"33","2018_Q2",41.5809375,"Up",2.025e+09,-1.359e+09,6.66e+08,-4.42e+08,-3.85e+08,-4.5e+07,2.24e+08,5e+06,2e+06,3e+06,2.29e+08,2.29e+08,-6.4e+07,1.65e+08,1.65e+08,1.65e+08,1.65e+08,1.029e+09,1.029e+09,1.21e+09,3.01e+08,3.01e+08,2.54e+09,8.43e+08,5.8e+08,1.58e+08,1.04e+08,2.75e+08,1.423e+09,3.963e+09,6.53e+08,3.44e+08,3.09e+08,6.53e+08,1.25e+08,6.42e+08,6.42e+08,7.67e+08,1.42e+09,2.543e+09,2.543e+09,3.963e+09,1.65e+08,4.5e+07,5.8e+07,1.47e+08,4.15e+08,-6.4e+07,-6.4e+07,-6.3e+07,-4.1e+07,-1.12e+08,2996430.88673887,-1.12e+08,-1e+06,-1.54e+08,1.98e+08,1.98e+08,-1.8e+07,1.8e+08,2.69e+08,1.25e+08,4.16e+08,0.32889,0.11062,0.08148,0.06488,0.04164,2.52121,3.88974,0.5584,0.03154,1.39006,1.38539,17.05981,21.42376,3.50463,0.34541,5,0.06224,0.12568,0.24848,-3.36059,-4.03571
"34","2018_Q3",42.8763492063492,"Up",1.782e+09,-1.243e+09,5.39e+08,-4.27e+08,-3.8e+08,-4.4e+07,1.12e+08,3e+06,1e+06,2e+06,1.15e+08,1.15e+08,-2.7e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,9.5e+08,9.5e+08,1.254e+09,3.2e+08,3.2e+08,2.524e+09,8.42e+08,4.66e+08,1.58e+08,1.08e+08,1.59e+08,1.308e+09,3.832e+09,7.21e+08,4.08e+08,3.13e+08,7.21e+08,1.24e+08,5.05e+08,5.05e+08,6.29e+08,1.35e+09,2.482e+09,2.482e+09,3.832e+09,8.8e+07,4.4e+07,-7.6e+07,-4.4e+07,1.2e+07,-5.1e+07,-5.1e+07,-5e+07,-4e+07,-8.9e+07,4e+06,-9.3e+07,2e+06,-1.27e+08,-1.65e+08,-1.65e+08,-7e+06,-1.72e+08,1.56e+08,1.24e+08,8.8e+07,0.30247,0.06285,0.04938,0.03546,0.02296,1,3.50069,0.54392,0.03236,0.75407,0.75149,15.26992,21.26821,0.75407,0.34276,6,0.04114,0.02829,0.45455,-5.29487,-7.375
"35","2018_Q4",43.7201587301587,"Up",1.86e+09,-1.272e+09,5.88e+08,-4.44e+08,-3.98e+08,-4.4e+07,1.44e+08,2e+06,2e+06,0,1.46e+08,1.46e+08,-1.6e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,7.48e+08,7.48e+08,1.305e+09,3.25e+08,3.25e+08,2.378e+09,8.24e+08,4.78e+08,1.57e+08,1.07e+08,1.75e+08,1.302e+09,3.68e+09,6.95e+08,3.83e+08,3.12e+08,6.95e+08,1.24e+08,4.1e+08,4.1e+08,5.34e+08,1.229e+09,2.451e+09,2.451e+09,3.68e+09,1.3e+08,4.4e+07,-1.51e+08,-2.8e+07,-5e+06,-3.8e+07,-3.8e+07,-4.4e+07,-3.9e+07,-1.08e+08,0,-1.08e+08,0,-1.47e+08,-1.96e+08,-1.96e+08,-7e+06,-2.03e+08,1.88e+08,1.24e+08,1.38e+08,0.31613,0.07742,0.06989,0.05304,0.03533,1.06154,3.42158,0.50143,0.0337,1.13636,1.12945,16.25874,21.42483,1.20629,0.34091,4,0.05662,0.04623,0.3,-3.31915,-4.33333
"36","2019_Q1",51.0595081967213,"Up",2.272e+09,-1.537e+09,7.35e+08,-4.79e+08,-4.51e+08,-4.5e+07,2.56e+08,4e+06,4e+06,-2.3283064365387e-10,2.6e+08,2.23e+08,-6.5e+07,1.58e+08,1.58e+08,1.58e+08,1.58e+08,8.91e+08,8.91e+08,1.269e+09,3.58e+08,3.58e+08,2.518e+09,8.36e+08,4.66e+08,1.57e+08,8.7e+07,1.98e+08,1.302e+09,3.82e+09,7.64e+08,3.87e+08,3.77e+08,7.64e+08,1.24e+08,4.26e+08,4.26e+08,5.5e+08,1.314e+09,2.506e+09,2.506e+09,3.82e+09,1.58e+08,4.5e+07,9.1e+07,6.5e+07,3.59e+08,-3.2e+07,-3.4e+07,-1.17e+08,-3.8e+07,-6.1e+07,1e+06,-6.2e+07,0,-9.9e+07,1.43e+08,1.43e+08,2e+06,1.45e+08,3.01e+08,1.24e+08,3.99e+08,0.3235,0.11268,0.06954,0.06305,0.04136,2.52532,3.29581,0.52434,0.03246,1.4032,1.39699,20.17762,22.25577,3.54352,0.33748,7,0.06414,0.13056,0.24051,-2.54817,-2.99609
"37","2019_Q2",45.8504761904762,"Down",2.078e+09,-1.389e+09,6.89e+08,-4.61e+08,-4.16e+08,-4.4e+07,2.28e+08,6e+06,4e+06,2e+06,2.34e+08,2.34e+08,-6.2e+07,1.72e+08,1.72e+08,1.72e+08,1.72e+08,1.126e+09,1.126e+09,1.211e+09,2.55e+08,2.55e+08,2.592e+09,8.1e+08,3.526e+09,1.56e+08,8.9e+07,3.259e+09,4.336e+09,6.928e+09,7.91e+08,4.51e+08,3.4e+08,1.29e+09,2.927e+09,1.09e+08,1.09e+08,3.036e+09,4.326e+09,2.602e+09,2.602e+09,6.928e+09,1.72e+08,4.4e+07,4e+06,9.8e+07,3.18e+08,-4.5e+07,-4.5e+07,-9e+07,-4.3e+07,2e+06,4e+06,-2e+06,-2e+06,-4.3e+07,1.85e+08,1.85e+08,-5e+06,1.8e+08,2.72e+08,3.426e+09,3.87e+08,0.33157,0.10972,0.08277,0.0661,0.02483,2.25,2.0093,1.66257,0.49452,1.53025,1.52078,18.48754,23.14947,3.44306,0.38256,5,0.03503,0.06306,0.25,8.45588,10.08772
"38","2019_Q3",35.7978125,"Down",1.774e+09,-1.24e+09,5.34e+08,-4.53e+08,-3.93e+08,-4.6e+07,8.1e+07,4e+06,2e+06,2e+06,8.5e+07,8.5e+07,-2.5e+07,6e+07,6e+07,6e+07,6e+07,9.39e+08,9.39e+08,1.227e+09,2.8e+08,2.8e+08,2.446e+09,7.96e+08,3.478e+09,1.56e+08,9.2e+07,3.209e+09,4.274e+09,6.72e+09,7.32e+08,4.2e+08,3.12e+08,1.229e+09,2.873e+09,1.06e+08,1.06e+08,2.979e+09,4.208e+09,2.512e+09,2.512e+09,6.72e+09,6e+07,4.6e+07,-1.4e+07,-8.2e+07,10000000.0000001,-3.6e+07,-3.6e+07,-3.6e+07,-4.1e+07,-1.2e+08,-9.31322574615479e-10,-1.2e+08,3e+06,-1.58e+08,-1.84e+08,-1.84e+08,-3e+06,-1.87e+08,1.27e+08,3.37e+09,3.4e+07,0.30101,0.04566,0.03382,0.02389,0.00893,0.56667,1.99024,1.67516,0.50149,0.54152,0.54005,16.01083,22.67148,0.30686,0.37004,3,0.01687,0.00568,0.68333,19.14173,30.01235
"39","2019_Q4",37.775,"Up",1.932e+09,-1.312e+09,6.2e+08,-4.4e+08,-4.11e+08,-4.4e+07,1.8e+08,7e+06,3e+06,4e+06,1.87e+08,1.71e+08,-4.6e+07,1.25e+08,1.25e+08,1.25e+08,1.25e+08,7.44e+08,7.44e+08,1.304e+09,2.99e+08,2.99e+08,2.347e+09,8.14e+08,3.309e+09,1.56e+08,9.3e+07,3.039e+09,4.274e+09,6.621e+09,7.29e+08,3.96e+08,3.33e+08,1.237e+09,2.841e+09,1.16e+08,1.16e+08,2.957e+09,4.194e+09,2.427e+09,2.427e+09,6.621e+09,1.25e+08,4.4e+07,-3.5e+07,-6.5e+07,6.9e+07,-4.5e+07,-4.5e+07,-4.8e+07,-4.1e+07,-1.77e+08,1e+06,-1.78e+08,-9.31322574615479e-10,-2.18e+08,-1.97e+08,-1.97e+08,2e+06,-1.95e+08,2.24e+08,3.349e+09,1.6e+08,0.32091,0.09317,0.0647,0.0515,0.01888,1.28,1.89733,1.72806,0.50581,1.17041,1.16496,18.08989,22.72472,1.49813,0.3839,4,0.02817,0.02716,0.328,11.62946,14.47222
"40","2020_Q1",30.7748387096774,"Down",2.221e+09,-1.521e+09,7e+08,-4.75e+08,-4.3e+08,-4.5e+07,2.25e+08,6e+06,2e+06,4e+06,2.31e+08,1.82e+08,-4.8e+07,1.34e+08,1.34e+08,1.34e+08,1.34e+08,9.07e+08,9.07e+08,1.208e+09,2.71e+08,2.71e+08,2.386e+09,8.24e+08,3.237e+09,1.56e+08,8.1e+07,2.98e+09,4.203e+09,6.589e+09,6.76e+08,3.33e+08,3.43e+08,1.194e+09,2.8e+09,1.22e+08,1.22e+08,2.922e+09,4.116e+09,2.473e+09,2.473e+09,6.589e+09,1.34e+08,4.5e+07,5.7e+07,6.3e+07,2.99e+08,-5.9e+07,-6.1e+07,-6.1e+07,-3.9e+07,-3.5e+07,0,-3.5e+07,0,-7.4e+07,1.64e+08,1.64e+08,-1e+06,1.63e+08,2.7e+08,2.8e+09,3.22e+08,0.31517,0.10131,0.06033,0.05419,0.02034,2.40299,1.99832,1.66438,0.42495,1.27863,1.27741,21.19275,23.59733,3.07252,0.37214,4,0.03207,0.05968,0.29104,7.01111,8.41333
"41","2020_Q2",24.3365079365079,"Down",1.176e+09,-9.05e+08,2.71e+08,-3.6e+08,-3.16e+08,-4.4e+07,-8.9e+07,0,-1e+06,1e+06,-8.9e+07,-1.05e+08,-5e+06,-1.1e+08,-1.1e+08,-1.1e+08,-1.1e+08,1.012e+09,1.012e+09,1.458e+09,2.68e+08,2.68e+08,2.738e+09,7.87e+08,3.124e+09,1.56e+08,6.3e+07,2.886e+09,4.058e+09,6.796e+09,7.32e+08,4.68e+08,2.64e+08,1.643e+09,2.712e+09,1.27e+08,1.27e+08,2.839e+09,4.482e+09,2.314e+09,2.314e+09,6.796e+09,-1.1e+08,4.4e+07,4.2e+07,-9.2e+07,-1.16e+08,-5.2e+07,-5.2e+07,-5.8e+07,-4.2e+07,22351444.1639608,1378425.0750083,41114026.5605052,241660.331330252,2.88e+08,1.14e+08,1.14e+08,-9e+06,1.05e+08,-4.5e+07,3.293e+09,-1.84e+08,0.23044,-0.07568,-0.09354,-0.04754,-0.01619,1.67273,1.66646,1.93691,0.48455,-1.05465,-1.05465,11.27517,22.186,-1.76414,0.40268,2,-0.01186,-0.03209,-0.38182,-50.68889,-25.62921
"42","2020_Q3",28.146875,"Up",2.077e+09,-1.539e+09,5.38e+08,-4.31e+08,-3.87e+08,-4.4e+07,1.07e+08,999999.999999993,-2e+06,2999999.99999999,1.08e+08,7e+07,-2.5e+07,4.5e+07,4.5e+07,4.5e+07,4.5e+07,1.373e+09,1.373e+09,1.194e+09,2.66e+08,2.66e+08,2.833e+09,7.82e+08,3.147e+09,1.58e+08,7e+07,2.9e+09,4.079e+09,6.912e+09,1.085e+09,6.3e+08,4.55e+08,1.672e+09,2.703e+09,1.34e+08,1.34e+08,2.837e+09,4.509e+09,2.403e+09,2.403e+09,6.912e+09,4.5e+07,4.4e+07,1.8e+07,6.15e+08,7.22e+08,-3.1e+07,-3.1e+07,-3.3e+07,0,1999999.99999997,2e+06,26999885.5270537,63071.781746866,-3.32e+08,3.57e+08,3.57e+08,6e+06,3.63e+08,1.51e+08,3.29e+09,7.6e+08,0.25903,0.05152,0.02167,0.01873,0.00650999999999999,16.88889,1.69438,1.8764,0.47598,0.43062,0.43062,19.8756,22.99522,7.27273,0,5,0.00772,0.13043,0,12.69536,17.91589
"43","2020_Q4",36.11890625,"Up",2.106e+09,-1.456e+09,6.5e+08,-4.68e+08,-4.24e+08,-4.4e+07,1.82e+08,1.91e+08,-2e+06,1.93e+08,3.73e+08,3.69e+08,-1.04e+08,2.65e+08,2.65e+08,2.65e+08,2.65e+08,1.393e+09,1.393e+09,1.193e+09,2.37e+08,2.37e+08,2.823e+09,7.73e+08,3.082e+09,1.58e+08,6.9e+07,2.837e+09,4.195e+09,7.018e+09,9.65e+08,5.14e+08,4.51e+08,1.542e+09,2.643e+09,1.81e+08,1.81e+08,2.824e+09,4.366e+09,2.646e+09,2.652e+09,7.018e+09,2.65e+08,4.4e+07,-1.36e+08,-1.07e+08,6.6e+07,-3.3e+07,-3.3e+07,-3.3e+07,-1.6e+07,-1e+07,0,-9999999.99999997,1e+06,-2.1e+07,1.2e+07,1.2e+07,8e+06,2e+07,2.26e+08,3.22e+09,1.9e+08,0.30864,0.08642,0.12583,0.09992,0.03776,0.71698,1.83074,1.6463,0.45882,2.53831,2.48826,20.17241,25.34483,1.81992,0.15326,5,0.04642,0.03139,0.06038,8.08407,10.03846
"44","2021_Q1",47.237868852459,"Up",2.189e+09,-1.465e+09,7.24e+08,-5.04e+08,-4.6e+08,-4.4e+07,2.2e+08,-1e+06,-2e+06,1000000.00000006,2.19e+08,1.6e+08,-3.7e+07,1.23e+08,1.23e+08,1.23e+08,1.23e+08,1.68e+09,1.68e+09,9.23e+08,2.32e+08,2.32e+08,2.835e+09,7.88e+08,3.083e+09,1.59e+08,1.01e+08,2.806e+09,4.208e+09,7.043e+09,9.62e+08,4.02e+08,5.6e+08,1.644e+09,2.507e+09,1.16e+08,1.16e+08,2.623e+09,4.267e+09,2.771e+09,2.776e+09,7.043e+09,1.23e+08,4.4e+07,-1.1e+07,2.34e+08,3.9e+08,-4.3e+07,-4.3e+07,-4.4e+07,-1.5e+07,-2.3e+07,4e+06,-2.7e+07,0,-6.1e+07,2.85e+08,2.85e+08,3e+06,2.88e+08,2.64e+08,3.189e+09,4.92e+08,0.33074,0.1005,0.05619,0.04431,0.01746,4,1.72445,1.5371,0.45279,1.18269,1.17031,21.04808,26.64423,4.73077,0.14423,5,0.02269,0.08091,0.12195,5.71591,6.85909
