"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",49.4653225806452,"Up",614915000,-302469000,312446000,-53203000,-36351000,-44005000,27153000,259243000,-45028000,-51279000,6251000,214215000,-9.31322574615479e-10,214215000,-924000,213291000,213291000,213291000,213291000,14701000,14701000,131450000,134378000,89865000,89865000,370394000,5275741000,23870000,1102068000,51976000,53260000,931255000,65577000,6401679000,6772073000,290347000,77248000,65643000,147456000,191309000,101891000,89418000,481656000,4087192000,111120000,71461000,39659000,4198312000,4679968000,2193346000,-101241000,2092105000,2092105000,6772073000,213291000,44005000,21348000,55665000,334309000,-154895000,1454000,-156349000,-25123000,-184518000,-190769000,-406000,-426187000,-276396000,-276396000,-276396000,303248000,4087192000,204942000,0.50811,0.42159,0.34686,0.10195,0.0315,0.96086,0.769,2.23697,0.60354,0.93725,0.93725,2.70208,9.1932,0.90056,0.83828,0.06423,0.03258,0.89441,13.42957,15.70916
"29","2017_Q2",47.3880952380952,"Down",642074000,-304468000,337606000,-66133000,-40281000,-47298000,21446000,271473000,-47893000,-50920000,3027000,223580000,11604038.4955362,223580000,-844000,222736000,222736000,222736000,222736000,7054999.99999997,7054999.99999997,96012000,146428000,52933000,52933000,302428000,5360372000,23233000,1143846000,51865000,53260000,976419000,62302000,6527451000,6829879000,239650000,91691000,42252000,105707000,157949000,107481000,50468000,397599000,4203080000,112993000,70777000,42216000,4316073000,4713672000,2212865000,-96658000,2116207000,2116207000,6829879000,222736000,47298000,19028000,-22179000,266883000,-138147000,3368000,-141515000,-44511000,-182658000,-194961000,-13875000,-91871000,-7646000,-7646000,-7646000,318771000,4203080000,159289000,0.52581,0.42281,0.3469,0.10525,0.03261,0.71515,0.76064,2.22742,0.6154,0.97875,0.97875,2.82142,9.29911,0.69995,0.8567,0.06494,0.02476,0.8753,13.16313,15.45651
"30","2017_Q3",45.098253968254,"Down",619440000,-291269000,328171000,-66713000,-43393000,-48896000,25576000,261458000,-50150000,-51290000,1140000,211308000,24726016.9770385,211308000,-908000,210400000,210400000,210400000,210400000,5471000,5471000,125869000,119451000,74865000,74865000,325656000,5456467000,22532000,1126067000,52925000,53260000,976456000,43426000,6605066000,6930722000,298952000,103100000,65459000,130393000,157623000,115023000,42600000,456575000,4231912000,107966000,68444000,39522000,4339878000,4796453000,2230692000,-96423000,2134269000,2134269000,6930722000,210400000,48896000,23288000,34096000,316680000,-138471000,1518000,-139989000,-10762000,-149233000,-198951000,0,-169031000,-1584000,-1584000,-1584000,310354000,4231912000,206887000,0.52979,0.42209,0.33966,0.09858,0.03036,0.9833,0.71326,2.24735,0.6106,0.92455,0.92455,2.72196,9.37848,0.90911,0.87424,0.06323,0.03196,0.94558,13.61813,16.16489
"31","2017_Q4",45.0511111111111,"Down",572848000,-287187000,285661000,-55960000,-37202000,-49909000,31151000,229701000,-48780000,-51655000,2875000,180921000,18505000,199426000,-926000,198500000,198500000,198500000,198500000,1380999.99999999,1380999.99999999,142114000,168762000,95171000,95171000,407428000,5483505000,27166000,1185348000,52845000,53260000,1066940000,12303000,6696019000,7103447000,372745000,120990000,42257000,209498000,185530000,116697000,68833000,809714000,4051411000,107027000,66410000,40617000,4158438000,4968152000,2229394000,-94099000,2135295000,2135295000,7103447000,198500000,49909000,-11746000,-6525000,230138000,-97318000,39417000,-136735000,-58805000,-103385000,-202942000,0,-130843000,-4090000,-4090000,-4090000,279610000,4302850000,176693000,0.49867,0.40098,0.34651,0.09296,0.02794,0.89014,0.50318,2.32668,0.60574,0.87226,0.87226,2.51723,9.38298,0.77643,0.89177,0.06133,0.027,1.02238,15.38382,18.72638
"32","2018_Q1",44.9555737704918,"Down",673299000,-330671000,342628000,-52547000,-44841000,-50527000,42821000,290081000,-51034000,-55418000,4384000,239047000,0,239047000,-1152000,237895000,237895000,237895000,237895000,160840000,160840000,153340000,182345000,100086000,100086000,596611000,5552835000,27676000,1217253000,52764000,53260000,1082511000,28718000,6797764000,7394375000,379272000,104852000,70657000,203763000,206264000,117795000,88469000,836510000,4273518000,154694000,111305000,43389000,4428212000,5264722000,2267231000,-137578000,2129653000,2129653000,7394375000,237895000,50527000,18803000,10303000,317528000,-140341000,88999.9999999925,-140430000,-20750000,-157898000,-206362000,-6316000,15057000,174687000,174687000,174687000,340608000,4524492000,211722000,0.50888,0.43084,0.35333,0.11171,0.03217,0.88998,0.71321,2.4721,0.61188,1.04537,1.04537,2.95863,9.35819,0.93036,0.9068,0.06525,0.0311,0.86745,12.81136,15.04287
"33","2018_Q2",45.63203125,"Up",678779000,-342888000,335891000,-63897000,-46556000,-51879000,34538000,271994000,-60150000,-56073000,-4077000,211844000,0,211844000,-934000,210910000,210910000,210910000,210910000,74197000,74197000,129969000,195987000,93039000,93039000,493192000,5614009000,24124000,1244724000,52563000,53260000,1126773000,12128000,6882857000,7376049000,331589000,129283000,52701000,149605000,206440000,119258000,87182000,788540000,4272747000,175575000,131248000,44327000,4448322000,5236862000,2271486000,-132299000,2139187000,2139187000,7376049000,210910000,51879000,31531000,-16418000,277902000,-99257000,214000,-99471000,-60976000,-160233000,-209940000,-9600000,-219540000,-101871000,-101871000,-101871000,323873000,4523258000,209132000,0.49485,0.40071,0.31072,0.09859,0.02859,0.99157,0.62545,2.44806,0.61324,0.92679,0.92679,2.98271,9.40009,0.91897,0.92253,0.06155,0.03058,0.9954,13.73705,16.3572
"34","2018_Q3",47.7563492063492,"Up",644091000,-313524000,330567000,-64399000,-53290000,-53619000,42510000,266168000,-50643000,-56370000,5727000,215525000,0,215525000,-1116000,214409000,214409000,214409000,214409000,2467000,2467000,128601000,183578000,110892000,110892000,425538000,5660059000,23875000,1428830000,52118000,53260000,1210259000,113193000,7112764000,7538302000,346163000,125216000,70595000,150352000,186529000,120134000,66395000,782738000,4392027000,209245000,127849000,81396000,4601272000,5384010000,2281845000,-127553000,2154292000,2154292000,7538302000,214409000,53619000,14073000,4063000,286164000,-119944000,26999.9999999702,-119971000,-83883000,-162256000,-213933000,-11000,-94048000,29860000.0000001,29860000.0000001,29860000.0000001,319787000,4642073000,205022000,0.51323,0.41325,0.33289,0.09953,0.02844,0.95622,0.54365,2.4992,0.6158,0.94216,0.94216,2.83029,9.46646,0.90091,0.94007,0.06114,0.02927,0.99778,14.50843,17.43112
"35","2018_Q4",43.1044444444444,"Down",638020000,-292625000,345395000,-49822000,-47389000,-56228000,53795000,295573000,-53227000,-54632000,1405000,242346000,353797000,596143000,-1609000,594534000,594534000,594534000,594534000,217423000,217423000,161643000,179366000,113575000,113575000,672007000,5734935000,23520000,1165206000,51660000,53260000,1005392000,54894000,6923661000,7595668000,372265000,137169000,49309000,185787000,201901000,121247000,80654000,1127064000,3718607000,202577000,125088000,77489000,3921184000,5048248000,2665620000,-118200000,2547420000,2547420000,7595668000,594534000,56228000,-342939000,-8108000,299715000,424329000,579207000,-154878000,-2189000,423926000,-218497000,20925000,-567468000,156173000,156173000,156173000,351801000,4271505000,769631000,0.54135,0.46327,0.93184,0.23339,0.07827,1.29451,0.59625,1.98171,0.56236,2.61252,2.61252,2.80361,11.19396,3.38194,0.96013,0.11579,0.10961,0.36751,11.52379,13.71601
"36","2019_Q1",42.8806557377049,"Down",865683000,-404712000,460971000,-100125000,-47048000,-103351000,50274000,360846000,-50362000,-50894000,531999.999999999,310484000,0,310484000,3588000,314072000,314072000,314072000,314072000,218283000,218283000,129171000,185735000,113154000,113154000,646343000,5798181000,20844000,1282169000,51174000,53260000,1076306000,101429000,7101194000,7747537000,400844000,138735000,63258000,198851000,216223000,121085000,95138000,676556000,4211380000,216167000,122580000,93587000,4427547000,5104103000,2763925000,-120491000,2643434000,2643434000,7747537000,314072000,103351000,29036999.9999999,42709000,489169000,-180817000,-2880000,-177937000,-69376000,-220693000,-223061000,3616000,-219445000,49031000,49031000,49031000,464197000,4270869000,322501000,0.53249,0.41683,0.3628,0.11881,0.04054,1.02684,0.95534,1.93086,0.55126,1.38011,1.38011,3.80401,11.61586,1.41714,0.98018,0.07533,0.04523,0.71022,8.73031,11.23079
"37","2019_Q2",44.7928571428571,"Up",628935000,-315119000,313816000,-76611000,-45995000,-61871000,31255000,244146000,-57102000,-58506000,1404000,187044000,21788000,208832000,-1169000,207663000,207663000,207663000,207663000,13496000,13496000,166057000,195048000,63587000,63587000,438188000,5925594000,20646000,1460123000,49900000,53260000,1128626000,228337000,7406363000,7844551000,406472000,192969000,46788000,166715000,216896000,118690000,98206000,623368000,4279676000,325252000,124652000,200600000,4604928000,5228296000,2739192000,-122937000,2616255000,2616255000,7844551000,207663000,61871000,4542000,-67520000,206556000,-152760000,53676000,-206436000,-76634000,-221894000,-227832000,-31417000,-243394000,-258732000,-258732000,-258732000,306017000,4279676000,86906000,0.49896,0.38819,0.33018,0.07937,0.02647,0.4185,0.70294,1.99839,0.54556,0.91252,0.91252,2.76369,11.49643,0.38189,1.00115,0.06031,0.01203,1.09712,13.94099,17.47389
"38","2019_Q3",48.2665625,"Up",701699000,-321805000,379894000,-74128000,-52383000,-62530000,40785000,300742000,-50504000,-51068000,564000,250238000,4646000,254884000,-1181000,253703000,253703000,253703000,253703000,3070000,3070000,164928000,172907000,66113000,66113000,407018000,6089544000,21304000,1487574000,49233000,53260000,1165028000,220053000,7598422000,8005440000,409542000,179734000,57805000,172003000,208729000,111896000,96833000,618271000,4407793000,341597000,133513000,208084000,4749390000,5367661000,2774047000,-136268000,2637779000,2637779000,8005440000,253703000,62530000,9066999.99999999,38704000,364004000,-271015000,10211000,-281226000,-35617000,-280280000,-229545000,-1461999.99999999,-103007000,-19283000.0000001,-19283000.0000001,-19283000.0000001,363272000,4407793000,132142000,0.54139,0.42859,0.36156,0.09618,0.03169,0.52085,0.65832,2.03492,0.5506,1.11483,1.11483,3.08343,11.59102,0.58066,1.00867,0.06542,0.01789,0.90478,12.12514,14.64619
"39","2019_Q4",46.3925,"Down",656596000,-278144000,378452000,-56056000,-51156000,-56627000,51727000,320479000,-49873000,-53102000,3229000,270606000,2532000,273138000,-1e+05,273038000,273038000,273038000,273038000,135486000,135486000,154125000,205952000,72281000,72281000,567844000,6264487000,20789000,1539066000,48565000,53260000,1206040000,231201000,7824342000,8392186000,482544000,205410000,48198000,228936000,198101000,107852000,90249000,680645000,4705775000,331310000,131676000,199634000,5037085000,5717730000,2822401000,-147945000,2674456000,2674456000,8392186000,273038000,56627000,10670000,11702000,352037000,-229256000,1687000,-230943000,-45894000,-232574000,-231258000,-30509000,40783000,160246000,160246000,160246000,377106000,4705775000,159652000,0.57638,0.48809,0.41584,0.10209,0.03253,0.58472,0.83427,2.1379,0.56073,1.19979,1.19979,2.88524,11.75218,0.70155,1.0162,0.06539,0.0207,0.84698,12.11937,14.26081
"40","2020_Q1",40.6472580645161,"Down",613670000,-262232000,351438000,-46105000,-44666000,-49672000,48233000,305333000,-52821000,-35824000,-16997000,252512000,34000,252546000,1050000,253596000,286395999,286395999,286395999,58030000,58030000,149327000,184399000,67652000,67652000,459408000,6404034000,20782000,1553505000,47898000,53260000,1240551000,211796000,7978321000,8437729000,447574000,150992000,64276000,232306000,219302000,109654000,109648000,666876000,4706075000,349750000,145992000,203758000,5055825000,5722701000,2877105000,-162077000,2715028000,2715028000,8437729000,253596001,49672000,21820999,19214000,397503000,-204769000,-174000.00000003,-204595000,-54255000,-271452000,-232965000,-11999,-232981999,-106930999,-106930999,-106930999,355005000,4706075000,168400000,0.57268,0.49755,0.46669,0.10549,0.03394,0.588,0.6889,2.10779,0.55774,1.25849,1.25849,2.69661,11.93047,0.73999,1.0237,0.06683,0.02167,0.81344,13.0929,15.22287
"41","2020_Q2",32.7328571428571,"Down",782806000,-398744000,384062000,-57293000,-36908000,-63534000,43149000,326769000,-51336000,-55480000,4144000,275433000,12887000,288320000,-756000,287564000,287564000,287564000,287564000,139254000,139254000,115041000,71153000,101542000,101542000,426990000,6247111000,21406000,1489798000,47230000,52830000,1190803000,198935000,7758315000,8185305000,325783000,147893000,47484000,130406000,262912000,113310000,149602000,1139644000,4155437000,346247000,145709000,200538000,4501684000,5641328000,2713748000,-169771000,2543977000,2543977000,8185305000,287564000,63534000,-651000,34174000,384621000,160118000,332789000,-172671000,-28325000,131793000,-234774000,-14700000,-451456000,64958000,64958000,64958000,390303000,4706386000,585351000,0.49062,0.41743,0.36735,0.11304,0.03513,2.03555,0.37467,2.21752,0.57498,1.26362,1.26362,3.43983,11.17883,2.57217,1.03165,0.06876,0.07705,0.81642,11.7015,13.97664
"42","2020_Q3",31.4175,"Down",404985000,-165183000,239802000,-54726000,-41075000,-51253000,37602000,185076000,-66254000,-69036000,2782000,118822000,0,118822000,-589000,118233000,133843000,133843000,133843000,2863000,2863000,111645000,116384000,86352000,86352000,317244000,6271838000,21517000,1494391000,46563000,52830000,1207670000,187328000,7787746000,8104990000,320347000,119678000,55545000,145124000,200803000,105670000,95133000,521150000,4792649000,336453000,143459000,192994000,5129102000,5650252000,2620365000,-165627000,2454738000,2454738000,8104990000,118233000,51253000,32944000,-44770000,178632000,-107593000,83000,-107676000,-31133000,-150596000,-231245000,-27592000,-168437000,-140401000,-140401000,-140401000,236329000,4792649000,84555000.0000001,0.59213,0.45699,0.33049,0.05452,0.01651,0.63175,0.60874,2.30177,0.59132,0.59393,0.59393,1.79713,10.89295,0.37521,1.02615,0.04814,0.01115,1.72773,20.26745,25.8801
"43","2020_Q4",32.58359375,"Up",576448000,-247091000,329357000,-69664000,-37497000,-68439000,36272000,259693000,-54135000,-43501000,-10634000,205558000,-1.86264514923096e-09,205558000,-824000,204734000,211638000,211638000,211638000,8541000,8541000,136786000,129033000,66883000,66883000,341243000,6283049000,21850000,1494054000,45578000,52830000,1211079000,184567000,7798953000,8140196000,359069000,124612000,49501000,184956000,172550000,92227000,80323000,531619000,4900311000,319822000,142154000,177668000,5220133000,5751752000,2551748000,-163304000,2388444000,2388444000,8140196000,204734000,68439000,12964000,-19823000,276852000,-75035000,1711000,-76746000,-14220000,-91462000,-231245000,0,-174213000,11177000,11177000,11177000,328132000,4900311000,234098000,0.57136,0.45051,0.36714,0.08861,0.026,1.10612,0.64189,2.40816,0.60199,0.93969,0.93969,2.55947,10.60484,1.03941,1.02674,0.05821,0.03077,1.09264,14.90793,18.83674
"44","2021_Q1",36.6519672131148,"Up",557761000,-244982000,312779000,-79217000,-55720000,-59874000,36377000,233562000,-55275000,-53783000,-1492000,178287000,13000,178300000,-731000,177569000,183955000,183955000,183955000,1.3e+07,1.3e+07,103600000,158200000,130300000,115200000,405100000,5986900000,22800000,1782200000,44900000,50100000,1213900000,473300000,7791900000,8.197e+09,3.52e+08,9.8e+07,5.9e+07,1.95e+08,206600000,98600000,1.08e+08,558600000,4978700000,355900000,163800000,192100000,5334600000,5893200000,2.487e+09,-183200000,2303800000,2303800000,8.197e+09,177569000,59874000,27743000,-6681000,267395000,-66790000,217000,-67007000,-21422000,-89135000,-229836000,-2408000,-176194000,2065999.99999997,2065999.99999997,2065999.99999997,293436000,4978700000,220696000,0.56078,0.41875,0.32981,0.07985,0.02244,1.19973,0.72521,2.55803,0.60738,0.82171,0.8213,2.49147,10.29089,0.98583,1.02666,0.05417,0.02889,1.24941,16.9226,21.26074
"45","2021_Q2",41.5674603174603,"Up",631100000,-298200000,332900000,-61900000,-4.6e+07,-54600000,38700000,2.71e+08,-57500000,-56400000,-1100000,213500000,50674864.3791889,213500000,-8e+05,212700000,221300000,221300000,221300000,4072999.99999999,4072999.99999999,142948000,212773000,118351000,118351000,478145000,6226368000,26477570.7797516,1543715000,44272000,52830000,1203339000,243274000,7770083000,8248228000,378683000,102199000,49992000,226492000,182080000,98710000,83370000,560763000,4996142000,394291000,165145000,229146000,5390433000,5951196000,2477689000,-180657000,2297032000,2297032000,8248228000,212700000,54600000,18600000,-57700000,240400000,-2.9e+07,7e+05,-29700000,-1900000,-31200000,-229400000,-6200000,-218600000,-9400000,-9400000,-9400000,325600000,4996142000,239700000,0.52749,0.42941,0.35066,0.09634,0.02683,1.08315,0.85267,2.59082,0.60572,0.98974,0.98974,2.82254,10.27327,1.07204,1.02597,0.05863,0.03118,1.0366,15.33191,18.42092
"46","2021_Q3",41.6603125,"Up",653600000,-320900000,332700000,-106500000,-56100000,-52300000,1900000,226200000,-30600000,-56400000,-14800000,195600000,69700000,265300000,-4e+05,264900000,280400000,280400000,280400000,257970000,257970000,134115000,216909000,413279000,122760000,1022273000,5939175000,28538319.4206405,1331214000,43620000,50121000,1002989000,234484000,7270389000,8292662000,420215000,122711000,58998000,238506000,221808000,101502000,120306000,642023000,4979687000,385163000,152111000,233052000,5364850000,6006873000,2451939000,-166150000,2285789000,2285789000,8292662000,264900000,52300000,-58900000,79300000,352700000,233400000,271100000,-37700000,-3700000,2.29e+08,-2.29e+08,0,-328300000,253400000,253400000,253400000,278500000,4979687000,591600000,0.50903,0.34608,0.42901,0.12267,0.03381,2.10984,1.59227,2.62792,0.60049,1.2589,1.25817,2.93443,10.26237,2.65607,1.02813,0.06658,0.07733,0.81669,16.9541,20.87408
"47","2021_Q4",42.2890625,"Up",639100000,-292400000,346700000,-6.9e+07,-46500000,-61500000,3.9e+07,277700000,-58800000,-56600000,-2200000,218900000,3200000,222100000,-8e+05,221300000,221300000,221300000,221300000,12593000,12593000,134281000,222567000,429855000,130551000,799296000,5932363000,22768000,1292238000,42967000,50121000,993290000,205860000,7247369000,8046665000,428267000,129088000,49992000,249187000,229025000,101800000,127225000,657292000,5103226000,372194000,151922000,220272000,5475420000,6132712000,2076529000,-162576000,1913953000,1913953000,8046665000,221300000,61500000,14800000,-22500000,2.86e+08,-38900000,325113734.10559,-48395497.9138406,0,-37700000,-226600000,0,-494300000,-2.46e+08,-2.46e+08,-2.46e+08,339200000,5103226000,278600000,0.54248,0.43452,0.34627,0.11562,0.0275,1.25892,1.21604,3.20421,0.6342,1.01218,1.01148,2.92311,8.75402,1.27426,1.03642,0.06061,0.0377,1.02395,15.00776,18.33141
"48","2022_Q1",44.2525806451613,"Up",809300000,-438200000,371100000,-39600000,-57700000,-59500000,77600000,331500000,-99900000,-56500000,-2800000,231600000,2099999.99999999,233700000,-3e+05,233400000,2.59e+08,2.59e+08,2.59e+08,2e+06,2e+06,135200000,281100000,424900000,125400000,843200000,5904700000,10100000,1.272e+09,43200000,50100000,980800000,197900000,7186800000,8.03e+09,473400000,109500000,5.9e+07,304900000,206200000,92500000,113700000,679600000,5088800000,361800000,1.45e+08,216800000,5450600000,6130200000,2054800000,-1.55e+08,1899800000,1899800000,8.03e+09,233400000,59500000,19600000,-8800000,317100000,-3.9e+07,170052376.249012,-48883498.672444,0,-4.2e+07,-221400000,0,-286500000,-11400000,-11400000,-11400000,3.91e+08,5088800000,343500000,0.45854,0.40961,0.32003,0.13633,0.03225,1.32625,1.24073,3.22676,0.63372,1.37012,1.35491,4.28122,10.04999,1.81712,1.17121,0.06536,0.04673,0.85483,13.00972,15.3448
"49","2022_Q2",46.6706451612903,"Up",674700000,-367600000,307100000,-87100000,-62800000,-57700000,33400000,2.2e+08,-57400000,-56800000,-6e+05,162600000,2e+05,162800000,-8e+05,1.62e+08,165500000,165500000,165500000,4600000,4600000,129800000,308200000,508600000,204600000,951200000,5886500000,9800000,1263500000,42500000,50100000,978600000,192300000,7159800000,8.111e+09,370200000,9.8e+07,5e+07,222200000,265600000,106400000,159200000,635800000,5317200000,355300000,145800000,209500000,5672500000,6308300000,1955600000,-152900000,1802700000,1802700000,8.111e+09,1.62e+08,57700000,18400000,-145500000,100400000,-44700000,200000.000000179,-44900000,-8e+05,-46600000,-220600000,-8900000,-51500000,2300000,2300000,2300000,277700000,5317200000,88300000,0.45517,0.32607,0.24529,0.09181,0.0204,0.53353,1.49607,3.49936,0.65555,0.77736,0.77736,3.16909,8.46736,0.41475,1.03617,0.05165,0.01181,1.33293,19.13072,24.14818
"50","2022_Q3",47.8825,"Up",788600000,-462400000,326200000,-112700000,-56900000,-58800000,3e+06,213500000,-31400000,-57300000,-6e+05,182100000,-83817099.7882604,182100000,-3e+05,181800000,353900000,353900000,353900000,4600000,4600000,140300000,3.29e+08,195600000,195600000,669500000,5870100000,9300000,1243500000,42400000,50400000,965100000,185600000,7122900000,7792400000,5.06e+08,138800000,5.9e+07,308200000,182800000,85900000,96900000,688800000,5000900000,343300000,1.4e+08,203300000,5344200000,6.033e+09,1909200000,-149800000,1759400000,1759400000,7792400000,181800000,58800000,23600000,1.7e+07,296900000,-41200000,0,-41200000,-1e+05,408200000,-219500000,0,-705500000,-4e+05,-4e+05,-4e+05,272300000,5000900000,248400000,0.41364,0.27073,0.44877,0.20115,0.04542,0.70189,0.97198,3.42901,0.64177,1.66228,1.66228,3.70409,8.26397,1.16674,1.031,0.08072,0.03497,0.62023,18.34851,23.40187
