"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",86.2026984126984,"Down",2236101000,-1894449000,341652000,-255511000,-242772000,-12739000,86141000,-4878000,-14723000,9845000,81263000,81263000,-30536000,50727000,50727000,50727000,50727000,31440000,31440000,341591000,341591000,1812217000,48248000,48248000,2233496000,1010496000,557972000,259399000,298573000,1568468000,3801964000,321661000,80022000,241639000,1618205000,1939866000,666135000,245797000,86840000,100299000,911932000,2851798000,201743000,748423000,950166000,950166000,3801964000,50727000,12739000,2481000,60727000,126674000,-15640000,399000,399000,-16039000,-16039000,-6863000,-22503000,-6292000,-109056000,-7665000,1523000,-9188000,-123013000,-18842000,-18842000,-18842000,98880000,2284340000,174503000,0.15279,0.03852,0.02269,0.05339,0.01334,3.44004,1.15137,3.00137,0.60083,2.01458,2.00899,88.80465,37.73495,6.93022,0.24988,6,0.01638,0.05014,0.12404,22.78418,26.15363
"30","2017_Q3",100.098412698413,"Up",2467036000,-2091765000,375271000,-271321000,-257290000,-14031000,103950000,-16114000,-16501000,387000,87836000,87836000,-34636000,53200000,53200000,53200000,53200000,31177000,31177000,359010000,359010000,1878780000,54801000,54801000,2323768000,1067104000,585623000,259399000,326224000,1652727000,3976495000,302104000,89795000,212309000,1655548000,1957652000,777814000,253202000,92335000,102948000,1031016000,2988668000,192964000,794863000,987827000,987827000,3976495000,53200000,14031000,2051000,-17401000,51881000,-13756000,2471000,2471000,-16227000,-16227000,-885000.000000001,-102716000,-6760000,71061000,-13729000,1996000,-15725000,50572000,-263000,-263000,-263000,117981000,2433362000,121460000,0.15211,0.04214,0.02156,0.05386,0.01338,2.28308,1.18702,3.0255,0.61194,2.12358,2.11918,98.47661,39.43106,4.84832,0.26984,6,0.01632,0.03306,0.12707,20.36078,23.10904
"31","2017_Q4",111.510476190476,"Up",2680342000,-2277321000,403021000,-297069000,-282241000,-14828000,105952000,-19409000,-20534000,1125000,86543000,86543000,-34657000,51886000,51886000,51886000,51886000,38577000,38577000,446613000,446613000,1966456000,59622000,59622000,2511268000,1087920000,772405000,257185000,515220000,1860325000,4371593000,344199000,103105000,241094000,1730563000,2074762000,991333000,274122000,98265000,109383000,1265455000,3340217000,191377000,839999000,1031376000,1031376000,4371593000,51886000,14828000,10880000,4387000,81981000,-30451000,9457000,9457000,-39908000,-39908000,3236000,-339698000,-6751000,280935000,-4550000,2058000,-6608000,265117000,7400000,7400000,7400000,120780000,2721896000,129373000,0.15036,0.03953,0.01936,0.05031,0.01187,2.49341,1.21039,3.2386,0.62263,2.07229,2.06553,107.05096,41.19243,5.16707,0.26963,6,0.01456,0.03212,0.13011,22.21658,25.3258
"32","2018_Q1",108.660655737705,"Down",2703021000,-2306865000,396156000,-283199000,-267097000,-16102000,112957000,-21499000,-22342000,843000,91458000,91458000,-2071000,89387000,89387000,89387000,89387000,57300000,57300000,521900000,521900000,2132700000,70900000,70900000,2782800000,1185200000,715100000,256300000,458800000,1900300000,4683100000,3.63e+08,111400000,251600000,1.938e+09,2.301e+09,1028500000,270400000,103100000,1.11e+08,1298900000,3599900000,160500000,922700000,1083200000,1083200000,4683100000,89387000,16102000,-12412000,-204713000,-111636000,-30253000,2973000,2973000,-33226000,-33226000,16812000,-73283000.0000001,-6697000,244260000,-356000,1923000,-2279000,203624000,18705000,18705000,18705000,129059000,2966500000,-103836000,0.14656,0.04179,0.03307,0.08252,0.01909,-1.16165,1.20939,3.32339,0.63345,3.57691,3.56038,108.16411,43.34534,-4.1551,0.26799,5,0.02224,-0.02404,0.07492,22.54163,25.75493
"33","2018_Q2",95.4778125,"Down",2659700000,-2251600000,408100000,-314300000,-297500000,-16800000,93800000,-2.4e+07,-25300000,1300000,69800000,69800000,-17700000,52100000,52100000,52100000,52100000,68985000,68985000,479638000,479638000,2365924000,56893000,56893000,2971440000,1220882000,894661000,256283000,638378000,2115543000,5086983000,357097000,116928000,240169000,2146828000,2503925000,1181230000,274723000,107355000,108403000,1455953000,3959878000,157699000,969406000,1127105000,1127105000,5086983000,52100000,16800000,6300000,-26300000,48900000,-41900000,1e+05,1e+05,-4.2e+07,-4.2e+07,-7200000,-373500000,-6800000,350400000,-6400000,1900000,-8300000,336400000,11800000,11800000,11800000,110600000,3328058000,60100000,0.15344,0.03527,0.01959,0.04622,0.01024,1.15355,1.18671,3.51332,0.65423,2.07984,2.07091,106.17565,44.99421,2.3992,0.27146,5,0.01245,0.01271,0.13052,29.46721,34.74491
"34","2018_Q3",85.2387301587302,"Down",3096500000,-2635800000,460700000,-352200000,-333300000,-18900000,108500000,-27800000,-29500000,1700000,80700000,80700000,-20100000,60600000,60600000,60600000,60600000,29991000,29991000,483995000,483995000,2333112000,46231000,46231000,2893329000,1232054000,1038779000,280954000,757825000,2270833000,5164162000,370045000,115061000,254984000,2042166000,2412211000,1295077000,296006000,112601000,124822000,1591083000,4003294000,137980000,1022888000,1160868000,1160868000,5164162000,60600000,18900000,1100000,106800000,187400000,-28700000,1700000,1700000,-30400000,-30400000,900000.000000004,-77999999.9999999,-7100000,-118200000,-2.3e+07,2600000,-25600000,-148500000,-39100000,-39100000,-39100000,127400000,3337243000,225600000,0.14878,0.03504,0.01957,0.0522,0.01173,3.72277,1.19945,3.44854,0.64623,2.44848,2.43942,125.11111,46.90376,9.11515,0.28687,6,0.01412,0.04706,0.11716,25.95959,30.48159
"35","2018_Q4",76.7334920634921,"Down",3.092e+09,-2625700000,466300000,-328700000,-309100000,-19600000,137600000,-28600000,-3.1e+07,2400000,1.09e+08,1.09e+08,-15900000,93100000,93100000,93100000,93100000,31432000,31432000,470689000,470689000,2275965000,47648000,47648000,2825734000,1248692000,1100143000,356968000,743175000,2348835000,5174569000,373487000,113662000,259825000,1989723000,2363210000,1287052000,319165000,117850000,123631000,1606217000,3969427000,96125000,1109017000,1205142000,1205142000,5174569000,93100000,19600000,6400000,23800000,142900000,-40800000,2e+05,2e+05,-4.1e+07,-4.1e+07,-22900000,-63100000,-7100000,-26300000,-44800000,2900000,-47700000,-78400000,1400000,1400000,1400000,157200000,3276775000,156100000,0.15081,0.0445,0.03011,0.07725,0.01799,1.67669,1.19572,3.29374,0.63325,3.84552,3.83112,127.71582,49.77869,6.44775,0.29327,6,0.02087,0.03251,0.07626,20.64468,23.58534
"36","2019_Q1",84.622131147541,"Up",2973199999,-2531300000,441899999,-333500000,-313400000,-20100000,108399999,-29100000,-32500000,3400000,79299999,77999999,-18100000,59899999,59899999,59899999,59899999,31600000,31600000,529400000,529400000,2365300000,65100000,65100000,2991400000,1.448e+09,944600000,434900000,509700000,2392600000,5.384e+09,409900000,126300000,283600000,2083600000,2493500000,1358200000,335100000,121700000,122200000,1693300000,4186800000,35100000,1162100000,1197200000,1197200000,5.384e+09,59900000,20100000,18900000,41600000,140500000,-9200000,35400000,35400000,-44600000,-44600000,-33500000,-42500000,-6700000,-26500000,-64600000,2700000,-67300000,-97800000,2e+05,2e+05,2e+05,128499999,3441800000,178999999,0.14863,0.03646,0.02015,0.05003,0.01113,2.98831,1.19968,3.49716,0.63926,2.53921,2.52753,126.03646,50.75032,7.58796,0.28402,5,0.01339,0.03599,0.11185,26.53852,31.45941
"37","2019_Q2",108.012222222222,"Up",2849700000,-2.399e+09,450700000,-341600000,-321800000,-19800000,109100000,-30800000,-33400000,2600000,78300000,77800000,-21400000,56400000,56400000,56400000,56400000,4.5e+07,4.5e+07,4.91e+08,4.91e+08,2.441e+09,50900000,50900000,3027900000,1454400000,1209700000,456800000,752900000,2664100000,5.692e+09,434400000,119300000,315100000,2150800000,2585200000,1295700000,560600000,124400000,339800000,1856300000,4441500000,37800000,1212700000,1250500000,1250500000,5.692e+09,56400000,19800000,9300000,-8300000,77200000,-28700000,4e+05,4e+05,-29100000,-29100000,-6600000,-35300000,-6700000,-2.1e+07,-8e+05,2300000,-3100000,-28500000,13400000,13400000,13400000,128900000,3446500000,113300000,0.15816,0.03828,0.01979,0.0451,0.00991,2.00887,1.17124,3.55178,0.6055,2.43103,2.43103,122.8319,53.90086,4.88362,0.28879,6,0.012,0.02155,0.11879,26.38867,31.17782
"38","2019_Q3",125.06640625,"Up",3221700000,-2728100000,493600000,-376700000,-356500000,-20200000,116900000,-31400000,-34400000,3e+06,85500000,85500000,-23600000,61900000,61900000,61900000,61900000,44700000,44700000,489200000,489200000,2431900000,65700000,65700000,3031500000,1.463e+09,1280100000,457300000,822800000,2743100000,5774600000,456200000,129400000,326800000,2149100000,2605300000,1324100000,570500000,129300000,342700000,1894600000,4499900000,13100000,1262500000,1274700000,1274700000,5774600000,61900000,20200000,6500000,78600000,167200000,-28300000,399999.999999996,399999.999999996,-28700000,-28700000,28800000,-74500000,-7e+06,-52100000,2800000,2800000,7.45058059692383e-09,-9.3e+07,-3e+05,-3e+05,-3e+05,137100000,3473200000,2.11e+08,0.15321,0.03629,0.01921,0.04856,0.01072,3.40872,1.16359,3.53016,0.60146,2.6681,2.6453,138.86638,54.94397,9.09483,0.30172,6,0.01296,0.03967,0.11309,25.00729,29.32849
"39","2019_Q4",147.4234375,"Up",3332400000,-2821500000,510900000,-364100000,-343200000,-20900000,146800000,-29400000,-32700000,3300000,117400000,117400000,-32200000,85200000,85200000,85200000,85200000,27100000,27100000,459700000,459700000,2386400000,56700000,56700000,2929900000,1482600000,1.325e+09,456800000,868200000,2807600000,5737500000,455100000,1.27e+08,328100000,2028300000,2483400000,1287800000,607100000,133800000,343300000,1894900000,4378300000,20400000,1340700000,1359200000,1359200000,5737500000,85200000,20900000,26900000,76100000,209100000,-34100000,0,0,-34100000,-34100000,1.2e+07,-89900000,-7e+06,-132500000,2900000,2900000,0,-136800000,-17600000,-17600000,-17600000,167700000,3316100000,241900000,0.15331,0.04405,0.02557,0.06268,0.01485,2.8392,1.17979,3.22123,0.57797,3.67241,3.65665,143.63793,58.58621,10.42672,0.30172,6,0.01745,0.04579,0.08216,19.6124,22.40463
"40","2020_Q1",118.498225806452,"Down",3268900000,-2770300000,498600000,-373800000,-352300000,-21500000,124800000,-2.8e+07,-32900000,4900000,96800000,94700000,-26700000,6.8e+07,6.8e+07,6.8e+07,6.8e+07,8.4e+07,8.4e+07,5.05e+08,5.05e+08,2433700000,47800000,47800000,3070500000,1611700000,1401700000,454600000,947100000,3013400000,6083900000,887400000,125300000,762100000,39299999.9999998,2569100000,1430600000,616500000,137900000,347500000,2047100000,4616200000,66600000,1401800000,1467700000,1467700000,6083900000,6.8e+07,21500000,3.8e+07,-56500000,7.1e+07,-32300000,7e+05,7e+05,-3.3e+07,-3.3e+07,-53900000,-263300000,-6900000,219700000,2900000,3e+06,-99999.9999999981,249200000,56900000,56900000,56900000,146300000,1469900000,84200000,0.15253,0.03818,0.0208,0.04633,0.01118,1.23824,1.19517,3.14519,0.2416,2.93103,2.8692,140.90086,63.26293,3.62931,0.29741,6,0.02107,0.02369,0.10147,9.473,11.10497
"41","2020_Q2",112.974444444444,"Down",2803800000,-2342899999,460900001,-3.68e+08,-3.46e+08,-2.2e+07,92900001,-28700000,-3.1e+07,2300000,64200001,64200001,-1.8e+07,46200001,46200001,46200001,46200001,56600000,56600000,298200000,298200000,2512800000,58200000,58200000,2925800000,1631500000,1456800000,457700000,999100000,3088300000,6014100000,399900000,108900000,2.91e+08,2031600000,2431500000,1489800000,636300000,140600000,358200000,2126100000,4557600000,26100000,1436200000,1456500000,1456500000,6014100000,46200000,2.2e+07,20199999,33300000,121699999,-36700000,4900000,4900000,-41600000,-41600000,-9300000,-118300000,-7e+06,22200000,-45600000,2600000,-48200000,-30800000,-27400001,-27400001,-27400001,114900001,3521400000,129500001,0.16438,0.03313,0.01648,0.03172,0.00768,2.80303,1.20329,3.12915,0.58552,1.98283,1.96596,120.33476,62.51073,5.55794,0.30043,5,0.00948,0.02307,0.15152,30.15492,37.29602
"42","2020_Q3",222.30453125,"Up",2758500000,-2294100001,464399999,-326800000,-304500000,-22300000,137599999,-21400000,-24900000,3500000,116199999,108299999,-30600000,77699999,77699999,77699999,77699999,120300000,120300000,446400000,446400000,1812800000,50600000,50600000,2430100000,1.663e+09,1445900000,592200000,853700000,3108900000,5.539e+09,509100000,124800000,384300000,1517300000,2026400000,1357900000,622500000,145400000,353300000,1980400000,4006800000,32300000,1507100000,1532200000,1532200000,5.539e+09,77700000,22300000,4700001,563600000,668300001,-28400000,8300000,8300000,-36700000,-36700000,-400000.000000007,-48800000,-6800000,-549700000,1200000,3500000.00000001,-2300000,-555800000,63700001,63700001,63700001,159899999,2875200000,725699999,0.16835,0.04988,0.02817,0.05071,0.01403,9.33977,1.19922,2.61506,0.51908,3.39301,3.36364,120.45852,66.9083,31.68996,0.29694,7,0.0168,0.14428,0.08752,17.22889,20.02108
"43","2020_Q4",270.718125,"Up",3620200000,-2968600000,651600000,-412099999,-389099999,-2.3e+07,239500001,-20400001,-22800000,2399999,219100000,219100000,-60300000,158800000,158800000,158800000,158800000,57100000,57100000,511700000,511700000,2128700000,52900000,52900000,2750400000,1798300000,1.847e+09,592200000,1254800000,3645300000,6395700000,552400000,150200000,402200000,1.66e+09,2212400000,1.799e+09,689900000,150700000,403500000,2488900000,4701300000,42400000,1658800000,1694400000,1694400000,6395700000,158800000,2.3e+07,25900000,-197100000,10600000,-55400000,-8100000,-8100000,-47300000,-47300000,-2e+05,-561200000,-7100000,494700000,3e+06,3100000,-1e+05,487400001,-63199999,-63199999,-63199999,262500001,3.459e+09,70300001,0.17999,0.06616,0.04386,0.09372,0.02483,0.4427,1.24317,2.77461,0.54083,6.96491,6.90435,158.7807,74.31579,3.08333,0.3114,6,0.02839,0.01203,0.04471,12.95962,14.20418
"44","2021_Q1",355.858524590164,"Up",3941800000,-3293100000,648700000,-413700001,-388700001,-2.5e+07,234999999,21900001,-28800000,50700001,256900000,256900000,-69300000,187600000,187600000,187600000,187600000,162500000,162500000,6.14e+08,6.14e+08,2492900000,70500000,70500000,3339900000,2197500000,2364700000,5.93e+08,1771700000,4562200000,7902100000,616500000,158200000,458300000,1863200000,2479700000,2064699999,696200000,155700000,394200000,2760899999,5240599999,829600000,1838200000,2661500000,2661500000,7902099999,187600000,25100000,-35300000,-433400000,-2.56e+08,-40800000,1400000,1400000,-42200000,-42200000,11200000,-877500000,-8200000,4.73e+08,781200000,781200000,-2.79396772384644e-09,1238999999,105499999,105499999,105499999,260099999,3927899999,-144800001,0.16457,0.05962,0.04759,0.07049,0.02374,-0.771860000000001,1.3469,1.96904,0.49707,7.16031,7,150.45038,101.58397,-5.52672,0.31298,4,0.02687,-0.01987,0.04371,14.47674,16.02298
"45","2021_Q2",358.552857142857,"Up",4.343e+09,-3627500000,715500000,-477200000,-450400000,-26800000,238300000,-26900000,-30300000,3400000,211400000,211400000,-55200000,156200000,156200000,156200000,156200000,170300000,170300000,740700000,740700000,2329700000,48200000,48200000,3288900000,2.221e+09,2741700000,617500000,2124200000,4962700000,8251600000,1069900000,199400000,870500000,1.541e+09,2610900000,2.124e+09,709100000,162200000,389500000,2833100000,5.444e+09,825900000,1986200000,2807600000,2807600000,8251600000,156200000,26800000,27899999,288600000,499499999,-5e+07,11374135.0637035,11374135.0637035,-5e+07,-5e+07,-9600000,-442800000,-8199999,-22100000,-11700000,4200000,-15900000,-43299999,13400000,13400000,13400000,265100000,3.665e+09,558900000,0.16475,0.05487,0.03597,0.05563,0.01893,3.5781,1.25968,1.93902,0.44416,5.87218,5.80669,163.27068,105.54887,21.01128,0.30827,7,0.02289,0.07782,0.0525,13.18257,14.66513
"46","2021_Q3",345.4990625,"Down",6009400000,-4898800000,1110600000,-664200000,-633800000,-30400000,446400000,-26900000,-34600000,7700000.00000001,419500000,419500000,-114600000,304900000,304900000,304900000,304900000,780900000,780900000,799700000,799700000,2238800000,51400000,51400000,3870800000,2299300000,3922400000,617300000,3305100000,6221700000,10092500000,1142800000,2.56e+08,886800000,1.453e+09,2595800000,2521900000,746400000,172100000,395500000,3268300000,5864100000,1950900000,2281800000,4228400000,4228400000,10092500000,304900000,30300000,42000001,394300000,771500001,-6.3e+07,13814845.4082975,13814845.4082975,-6.3e+07,-6.3e+07,-300000.000000004,-1378300000,-9300001,125800000,1115800000,1115800000,0,1221599999,614800000,614800000,614800000,476700000,3974900000,922600000,0.18481,0.07428,0.05074,0.07211,0.03021,3.02591,1.49118,1.38684,0.39385,11.46241,11.33457,225.91729,158.96241,34.68421,0.34962,7,0.03511,0.10309,0.0305,6.70023,7.15502
"47","2021_Q4",306.856875,"Down",6169800000,-4980700000,1189100000,-707700000,-673300000,-34400000,481400000,-57300000,-31600000,-25700000,424100000,422200000,-113200000,3.09e+08,3.09e+08,307900000,307900000,137800000,137800000,812600000,812600000,2012600000,112500000,112500000,3075500000,2352900000,4776200000,740300000,4035900000,7129100000,10204600000,956600000,248100000,708500000,1225200000,2181800000,2586100000,858800000,181700000,504200000,3444900000,5626700000,1967200000,2579100000,4544600000,4577899999,10204599999,3.09e+08,34400000,45500000,3.42e+08,730900000,-76500000,11808488.2210398,11808488.2210398,-64716934.4274108,-64716934.4274108,1e+05,-7.42e+08,-10700000,-624500000,7900000,7900000,0,-627600000,-638700000,-638700000,-637800000,515800000,3811300000,894500000,0.19273,0.07803,0.0499,0.06726,0.03017,2.90516,1.40962,1.2291,0.37349,10.84155,10.76573,217.24648,160.02113,31.49648,0.37676,8,0.03445,0.09672,0.03475,7.12195,7.63087
"48","2022_Q1",310.352419354839,"Up",6309499999,-5065700000,1243799999,-740100000,-704400000,-35700000,503699999,-7.2e+07,-3.4e+07,-3.8e+07,431699999,431699999,-139100000,292599999,292599999,291099999,291099999,174800000,174800000,9.1e+08,9.1e+08,2385500000,6.3e+07,6.3e+07,3533300000,3052600000,4.561e+09,977300000,3583700000,7613600000,11146900000,9.89e+08,235400000,753600000,1413800000,2402800000,3185700000,895200000,191200000,5.13e+08,4080900000,6483700000,1769900000,2859500000,4626400000,4663200000,11146900000,292600000,35800000,77500000,-610600000,-204700000,-67599999,8441420.68918802,8441420.68918802,-60414412.8174433,-60414412.8174433,-5e+05,-327299999,-10600000,776900000,-206500000,8299999.99999988,-214800000,5.56e+08,24000001.0000002,24000001.0000002,25600001,539499999,4599500000,399999.999999881,0.19713,0.07983,0.04614,0.06242,0.02611,0.00137000000000009,1.47049,1.3904,0.41263,8.08611,8.04144,175.26389,128.51111,0.0111099999999951,0.29444,5,0.0297,3.99999999999845e-05,0.03641,8.20148,8.7844
"49","2022_Q2",290.314516129032,"Down",6705300000,-5427200000,1278100000,-765300000,-726100000,-39200000,512800000,-4.3e+07,-3.5e+07,-8e+06,469800000,469800000,-126200000,343600000,343600000,342200000,342200000,161400000,161400000,923800000,923800000,2697300000,102100000,102100000,3884600000,3244500000,4951700000,1019300000,3932400000,8196200000,12080800000,1151400000,260500000,890900000,1673700000,2825100000,3395200000,917900000,200200000,5.14e+08,4313100000,7138200000,1708100000,3191400000,4907700000,4942600000,12080800000,343600000,39200000,31200000,-387700000,26300000,-53900000,6799999.99999999,6799999.99999999,-60700000,-60700000,-9800000,-357300000,-10300000,383100000,-53100000,7800000,-60900000,3.16e+08,-1.5e+07,-1.5e+07,-13300000,5.52e+08,5068900000,236600000,0.19061,0.07648,0.05103,0.06923,0.02833,0.69141,1.37503,1.44422,0.41958,11.52671,11.52671,225.86223,165.31163,7.96967,0.34695,6,0.03225,0.02165,0.0301,8.8904,9.57001
"50","2022_Q3",260.5709375,"Down",7240200000,-5889200000,1.351e+09,-822500000,-781500000,-4.1e+07,528500000,-60100000,-38200000,-21900000,468400000,468400000,-130500000,337900000,337900000,331500000,331500000,113200000,113200000,978400000,978400000,2.985e+09,85200000,85200000,4161800000,3390900000,5.455e+09,1237600000,4217400000,8845900000,13007700000,1023100000,266500000,756600000,1591300000,2614400000,4721700000,933800000,210300000,515900000,5655500000,8269900000,1186200000,3510800000,4.698e+09,4737800000,13007700000,337700000,4.1e+07,47100000,-715200000,-289400000,-66200000,9700000,9700000,-75900000,-75900000,499999.999999998,-425400000,-11900000,1234700000,-551600000,10900000,-562500000,668600000,-46200000,-46200000,-48300000,569500000,6.313e+09,-81400000,0.1866,0.073,0.04579,0.06997,0.02548,-0.24555,1.59188,1.74551,0.48533,11.67254,11.59091,254.93662,165.42254,-2.8662,0.41901,3,0.02865,-0.00679,0.0359,10.88639,11.73094
