"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",33.3809836065574,"Down",175518000,-136239000,39279000,-24326000,-23533000,14953000,519000,907000,15472000,15472000,-6948000,8524000,8524000,8524000,8524000,30915000,30915000,92803000,92803000,84459000,5314000,5314000,213491000,29249000,107318000,38139000,25857000,136567000,350058000,48508000,32685000,15823000,60329000,14491000,11164000,60269000,120598000,48970000,180122000,368000,229460000,229460000,350058000,8524000,2248000,2198000,-10289000,-13271000,-909000,-1094000,4985000,2681000,-449000,-458000,-11999.9999999999,-584000,-1647000,-3539000,-1442000,-1442000,-1442000,17201000,53306000,13411000,0.22379,0.08519,0.04856,0.03715,0.02435,1.57332,3.53878,0.52557,0.15228,0.72582,0.72397,14.94533,19.53849,1.14194,0.14024,0.03422,0.04512,0.19322,1.30173,1.49743
"33","2018_Q2",35.5,"Up",142892000,-110926000,31966000,-22586000,-21990000,9380000,-377000,5000,9003000,9003000,-1849000,7154000,7154000,7154000,7154000,46558000,46558000,74813000,74813000,84203000,5565000,5565000,211139000,28572000,104563000,37543000,25345000,133135000,344274000,48655000,34894000,13761000,59935000,14529000,11257000,49017000,108952000,49082000,185728000,512000,235322000,235322000,344274000,7154000,1828000,-536000,20133000,20611000,-321000,2042000,-2199000,28579000,-370000,-370000,974000,604000,-1647000,-13540000,15643000,15643000,15643000,11208000,41430000,32820000,0.22371,0.06564,0.05007,0.0304,0.02078,4.58764,3.5228,0.46299,0.12034,0.60885,0.60766,12.16102,20.0274,2.79319,0.14017,0.03021,0.11267,0.23022,-0.45753,-0.5467
"34","2018_Q3",38.337619047619,"Up",168661000,-133016000,35645000,-23777000,-23181000,11868000,-291000,72000.0000000001,11577000,11577000,-2881000,8696000,8696000,8696000,8696000,29231000,29231000,83584000,83584000,98465000,6137000,6137000,217417000,27647000,104986000,36947000,25487000,132633000,350050000,48315000,36987000,11328000,59804000,14672000,11343000,47703000,107507000,49224000,192775000,544000,242543000,242543000,350050000,8696000,1861000,495000,-24166000,-9769000,-14263000,2239000,-2373000,-13114000,-463000,-463000,-208000,-671000,-1649000,-3542000,-17327000,-17327000,-17327000,13729000,39563000,-8019000.00000001,0.21134,0.07037,0.05156,0.03585,0.02484,-0.92215,3.63549,0.44325,0.11302,0.73946,0.73839,14.34192,20.6244,-0.68189,0.14022,0.03486,-0.02702,0.18963,0.75257,0.87058
"35","2018_Q4",25.9952380952381,"Down",171473000,-135637000,35836000,-23575000,-22979000,12261000,-156000,198000,12105000,12105000,-2774000,9331000,9331000,9331000,9331000,29449000,29449000,86978000,86978000,100743000,10667000,6667000,227837000,28105000,104340000,36351000,24952000,132445000,360282000,52257000,38355000,13902000,65849000,12435000,11433000,44009000,109858000,49390000,200457000,577000,250424000,250424000,360282000,9331000,1869000,-1152000,-4594000,-1806000,-2278000,1285000,-1795000,5454000,-1631000,-1631000,-62000,-1693000,-1650000,-3543000,218000,218000,218000,14130000,37686000,10679000,0.20899,0.0715,0.05442,0.03726,0.0259,1.14446,3.45999,0.43869,0.1046,0.79318,0.79184,14.57608,21.28732,0.90777,0.14026,0.03654,0.03553,0.17683,0.58294,0.6718
"36","2019_Q1",25.7680327868852,"Down",200475000,-156435000,44040000,-24374000,-23778000,19666000,-261000,94000,19405000,18905000,-4213000,14692000,14692000,14692000,14692000,11435000,11435000,112557000,112557000,105204000,5735000,5735000,234931000,29482000,105303000,35755000,24968000,134785000,369716000,55563000,40838000,14725000,64415000,12497000,11513000,42125000,106540000,49549000,213380000,247000,263176000,263176000,369716000,14692000,1884000,45000,-27878000,-27018000,-4461000,2564000,1037000,-11257000,-2739000,-2750000,-12000.0000000001,-2751000,-1768000,-4006000,-18014000,-18014000,-18014000,21550000,35457000,-4854000,0.21968,0.0981,0.07329,0.05583,0.03974,-0.330380000000001,3.64715,0.40482,0.0959,1.24911,1.2453,17.0443,22.37511,-0.41268,0.15031,0.0529,-0.0156,0.12034,1.11471,1.2215
"37","2019_Q2",23.7333333333333,"Down",135518000,-110001000,25517000,-22612000,-22016000,2905000,-403000,-62000,2502000,2502000,-515000,1987000,1987000,1987000,1987000,28254000,28254000,78244000,78244000,110765000,6957000,6957000,224220000,30638000,147061000,35159000,69674000,177699000,401919000,42345000,33416000,8929000,60161000,48965000,10791000,77136000,137297000,50748000,213599000,275000,264622000,264622000,401919000,1987000,1716000,2840000,13743000,33451000,-5561000,-8165000,-5982000,20286000,-1527000,-1527000,1292000,-235000,-1768000,-3232000,16819000,16819000,16819000,4621000,3.4e+07,17352000,0.18829,0.02144,0.01466,0.00751,0.00494,8.73276,3.727,0.51884,0.08459,0.16883,0.16832,11.51483,22.48466,1.47438,0.15023,0.0108,0.04992,0.88978,1.24345,1.97797
"38","2019_Q3",17.873125,"Down",152248000,-123422000,28826000,-23058000,-22462000,5768000,-360000,-32000,5408000,5408000,-1248000,4160000,4160000,4160000,4160000,13289000,13289000,86298000,86298000,113593000,10822000,6966000,224002000,30925000,145683000,34563000,68713000,176608000,400610000,41572000,31829000,9743000,59363000,47417000,10847000,74114000,133477000,50844000,215986000,303000,267133000,267133000,400610000,4160000,1755000,16999.9999999995,-15206000,-8245000,-2828000,-893000,-3240000,-9274000,-2132000,-2132000,-322000,-2454000,-1773000,-3237000,-14965000,-14965000,-14965000,7523000,32543000,-8567000,0.18934,0.03789,0.02732,0.01557,0.01038,-2.05938,3.77343,0.49966,0.08123,0.35293,0.35204,12.9166,22.66336,-0.72682,0.15042,0.01709,-0.02468,0.4262,2.55935,3.33807
"39","2019_Q4",21.0628125,"Up",158176000,-129778000,28398000,-23404000,-22808000,4994000,-8000,309000,4986000,4986000,-1066000,3920000,3920000,3920000,3920000,24498000,24498000,92603000,92603000,103615000,6467000,4119000,227183000,30782000,144476000,33967000,67416000,175258000,402441000,36769000,27407000,9362000,62027000,45918000,10611000,71171000,133198000,51177000,218131000,-65000,269243000,269243000,402441000,3920000,1789000,-646000,10535000,-6617000,9978000,-4398000,11572000,15598000,-1086000,-1086000,-63000,-1149000,-1775000,-3240000,11209000,11209000,11209000,6783000,31086000,17298000,0.17953,0.03157,0.02478,0.01456,0.00974,4.41276,3.66265,0.49471,0.07724,0.33249,0.33105,13.41612,22.83656,1.46718,0.15055,0.01645,0.04996,0.45281,0.97125,1.31918
"40","2020_Q1",18.5641935483871,"Down",164882000,-133665000,31217000,-22177000,-21581000,9040000,-9000,243000,9031000,9031000,-2015000,7016000,7016000,7016000,7016000,36031000,36031000,87653000,87653000,92813000,5470000,4719000,221967000,29907000,141834000,33371000,65525000,171741000,393708000,34637000,25493000,9144000,50129000,45176000,11382000,69458000,119587000,51582000,223252000,-713000,274121000,274121000,393708000,7016000,1840000,-1032000,6995000,6750000,10802000,-1893000,-8664000,14819000,-368000,-384000,-48000,-416000,-1895000,-2870000,11533000,11533000,11533000,10880000,30116000,19522000,0.18933,0.05483,0.04255,0.02559,0.01782,2.7825,4.42792,0.43626,0.07649,0.59508,0.59013,13.9849,23.2503,1.65581,0.16073,0.0255,0.05587,0.2701,-0.543660000000002,-0.65431
"41","2020_Q2",14.595873015873,"Down",104597000,-85944000,18653000,-19773000,-19177000,-1120000,-250000,-42000,-1370000,-45688000,10869000,-34819000,-34819000,-34819000,-34819000,51240000,51240000,63852000,63852000,82050000,7163000,5545000,204305000,29256000,105921000,28025000,64501000,135177000,339482000,19157000,13396000,5761000,57513000,43891000,11310000,43891000,101404000,52187000,186540000,-649000,238078000,238078000,339482000,-34819000,1685000,33979000,18079000,24129000,10763000,-12149000,-4664000,18924000,-380000,-380000,511000,131000,-1894000,-3846000,15209000,15209000,15209000,565000,28170000,7395000,0.17833,-0.01071,-0.33289,-0.14625,-0.10257,-0.21238,3.55233,0.42593,0.08298,-2.95126,-2.95126,8.86566,20.17952,0.6268,0.16054,-0.10616,0.02384,-0.0544,-40.83186,20.59821
"42","2020_Q3",21.57234375,"Up",130537000,-103536000,27001000,-19489000,-18893000,7512000,-128000,-9000.00000000003,7384000,7384000,-1610000,5774000.00000001,5774000.00000001,5774000.00000001,5774000.00000001,82210000,82210000,67115000,67115000,67707000,6331000,6331000,223363000,28271000,106044000,27429000,64081000,134315000,357678000,32668000,24143000,8525000,71040000,44184000,11235000,44184000,115224000,52628000,190411000,-585000,242454000,242454000,357678000,5774000,1680000,3464999.99999999,23325000,-6987000,14343000,10758000,5211000,34244000,-104000,-104000,-291000,-395000,-1902000,-2879000,30970000,30970000,30970000,9192000,27200000,34023000,0.20685,0.05755,0.04423,0.02381,0.01614,5.89245,3.14419,0.47524,0.07605,0.48833,0.48833,11.04,20.50524,2.87745,0.16086,0.02446,0.10841,0.32941,-5.98455,-7.32295
"43","2020_Q4",28.0578125,"Up",149687000,-116204000,33483000,-20446000,-19850000,13037000,52000,158000,13089000,13089000,-2996000,10093000,10093000,10093000,10093000,93874000,93874000,75297000,75297000,64083000,4543000,4543000,237797000,27315000,104145000,26833000,62670000,131460000,369257000,38003000,28452000,9551000,74835000,43286000,11162000,43286000,118121000,53055000,198601000,-520000,251136000,251136000,369257000,10093000,1687000,981000,1678000,-9313000,3624000,4338000,3029000,14439000,-158000,-158000,750000,592000,-1903000,-3367000,11664000,11664000,11664000,14724000,25741000,19240000,0.22369,0.0871,0.06743,0.04019,0.02733,1.90627,3.17762,0.47035,0.06971,0.85303,0.85303,12.65103,21.22515,1.6261,0.16084,0.03747,0.06009,0.18855,-4.62734,-5.22613
"44","2021_Q1",31.8095081967213,"Up",155260000,-121649000,33611000,-23086000,-22490000,10525000,122000,229000,10647000,10647000,-2121000,8526000,8526000,8526000,8526000,65841000,65841000,83290000,83290000,70159000,4432000,4432000,223722000,26780000,101771000,26237000,60871000,128551000,352273000,42703000,32213000,10490000,54110000,40660000,11219000,40660000,94770000,53323000,204988000,-808000,257503000,257503000,352273000,8526000,1726000,-149000,-9447000,-8152000,-6076000,3739000,1042000,655999.999999998,-568000,-568000,-236000,-804000,-2139000,-27885000,-28033000,-28033000,-28033000,12251000,0,4357000,0.21648,0.06779,0.05491,0.03311,0.0242,0.511029999999999,4.13458,0.36803,0,0.72144,0.72144,13.13759,21.78905,0.36867,0.181,0.03577,0.01461,0.25088,-5.37434,-6.25568
"45","2021_Q2",34.7979365079365,"Up",162861000,-129279000,33582000,-21339000,-20743000,12243000,-27000,4000,12216000,12216000,-2773000,9443000,9443000,9443000,9443000,61596000,61596000,91336000,91336000,81475000,6240000,6240000,240647000,27853000,98815000,25641000,60284000,126668000,367315000,50005000,39589000,10416000,63645000,39107000,11127000,39107000,102752000,53004000,212291000,-732000,264563000,264563000,367315000,9443000,1714000,2e+05,-11119000,-7255000,-11316000,7373000,79000,238000,-2188000,-2188000,-155000,-2343000,-2140000,-2140000,-4245000,-4245000,-4245000,13957000,0,3423000,0.2062,0.07517,0.05798,0.03569,0.02571,0.36249,3.78108,0.38838,0,0.79742,0.7879,13.75283,22.34107,0.28906,0.18071,0.03814,0.01127,0.22662,-4.41327,-5.03112
"46","2021_Q3",29.99796875,"Down",162519000,-130802000,31717000,-22056000,-21460000,9661000,-1999.99999999999,21000,9659000,9659000,-2192000,7467000,7467000,7467000,7467000,37411000,37411000,98294000,98294000,103595000,7783000,7783000,247083000,27965000,92960000,25045000,54921000,120925000,368008000,51429000,40685000,10744000,64928000,32649000,10848000,32649000,97577000,53473000,217613000,-655000,270431000,270431000,368008000,7467000,1869000,527000,-30308000,-6315573.54281562,-14226442.7363571,12018645.1375595,-760950.196090575,-20445000,-1277000,-1277000,-318000,-1595000,-2145000,-2145000,-24185000,-24185000,-24185000,11530000,0,-17863000,0.19516,0.05945,0.04595,0.02761,0.02029,-2.39226,3.80549,0.36082,0,0.63055,0.62303,13.72395,22.8366,-1.50844,0.18113,0.03171,-0.05894,0.28726,-3.24467000000002,-3.87237
"47","2021_Q4",23.7446875,"Down",133428000,-113421000,20007000,-21735000,-21139000,-1728000,106000,133000,-1622000,-1622000,403000,-1219000,-1219000,-1219000,-1219000,57219000,57219000,73585000,73585000,77864000,9621000,6523000,218289000,29590000,119506000,24449000,82732000,149096000,367385000,27983000,16599000,11384000,41826000,58206000,10676000,58206000,100032000,53690000,214242000,-579000,267353000,267353000,367385000,-1219000,2040000,1578000,22782000,-5988298.05708749,-16910723.6484761,15878726.8500793,-2143466.92812077,25181000,-3161000,-3161000,-60000,-3221000,-2152000,-2152000,19808000,19808000,19808000,312000,0,19530000,0.14995,-0.01295,-0.00914,-0.00456,-0.00332,-16.02133,5.21898,0.37416,0,-0.10294,-0.10171,11.26735,22.57668,1.64921,0.18173,0.00287,0.05999,-1.76538,-183.39423,33.11285
"48","2022_Q1",20.306935483871,"Down",134804000,-118408000,16396000,-21729000,-21133000,-5333000,186000,215000,-5147000,-5147000,1174000,-3973000,-3973000,-3973000,-3973000,69366000,69366000,73727000,73727000,75023000,9598000,5237000,227714000,28058000,118787000,23853000,82832000,146845000,374559000,42321000,30916000,11405000,56937000,56494000,9924000,56494000,113431000,53295000,207884000,-51000,261128000,261128000,374559000,-3973000,2191000,-991000,17008000,-6327123.54281562,-21489142.7363571,16265945.1375595,-4881250.19609058,14235000,-48000,-65999.9999999995,345000,297000,-2385000,-2385000,12147000,12147000,12147000,-3142000,0,12644000,0.12163,-0.03956,-0.02947,-0.01521,-0.01061,-3.18248,3.9994,0.43439,0,-0.33607,-0.33607,11.40281,22.08831,1.06953,0.20174,-0.005,0.03981,-0.6003,22.07702,13.00694
"49","2022_Q2",16.4216129032258,"Down",147314000,-117855000,29459000,-25536000,-24658000,3923000,250000,278000,4173000,4173000,-991000,3182000,3182000,3182000,3182000,10100000,10100000,83022000,83022000,107681000,13294000,8171000,214097000,27608000,145366000,34426000,85646000,172974000,387071000,50016000,42270000,7746000,66978000,57831000,9794000,57831000,124809000,53649000,208678000,-65000,262262000,262262000,387071000,3182000,2287000,1275000,-36762000,-7386000,-30082000,10493000,-9787000,-30018000,-830000,-830000,-118000,-26860000,-2388000,-2388000,-59266000,-59266000,-59266000,6210000,0,-30391000,0.19997,0.02663,0.0216,0.01213,0.00822,-9.55091,3.19653,0.47589,0,0.26816,0.2663,12.4148,22.10197,-2.56118,0.20125,0.0174,-0.09494,0.75047,-1.62641,-2.57456
"50","2022_Q3",15.42875,"Down",152908000,-121853000,31055000,-23764000,-22886000,7291000,-127000,-44000,7164000,7164000,-1621000,5543000,5543000,5543000,5543000,11653000,11653000,81662000,81662000,131088000,12588000,9014000,236991000,27565000,148075000,33547000,89174000,175640000,412631000,45259000,36628000,8631000,64354000,59879000,9599000,83449000,147803000,53853000,210994000,-19000,264828000,264828000,412631000,5544000,2122000,-682000,-25447000,-9218877.42864064,-44809595.4394048,-4127408.56259916,-17673416.339849,-18463000,-1117000,-1117000,-286000,-1402999.99999999,-2406000,21419000,1553000,1553000,1553000,9413000,24963000,-15530000,0.2031,0.04768,0.03625,0.02093,0.01343,-2.80173,3.68261,0.55811,0.0605,0.46713,0.46389,12.88623,22.31822,-1.30878,0.20276,0.02273,-0.04441,0.43406,1.41399999999999,1.82554
