"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",60.2087301587302,"Down",230175000,182236000,230984000,-48748000,47939000,-9402000,220773000,-108002000,-108002000,112771000,112771000,109865000,-2.3e+07,86865000,86865000,86865000,86865000,193962000,452961000,3212537000,16967183000,-75670000,17042853000,269876000,51353000,1807121000,65175000,968202000,23988370000,17857418000,13496004000,4361414000,594172000,1581867000,128236000,20161693000,0,3197316000,667594000,-38233000,3826677000,3826677000,23988370000,86865000,-6914000,9402000,396743000,-356450000,129646000,-5676000,-5678000,-83220000,-707506000,-796402000,1355066000,-398969000,944917000,278161000,278161000,278161000,105857000,2176039000,-233269000,0.48994,0.37739,0.0227,0.00362,-2.68542,5.26872,0.09071,1.12631,1.1213,2.98449,49.61729,-3.0246,0.00408,-0.00972000000000001,18.7241,17.57612
"33","2018_Q4",50.5614285714286,"Down",240898000,189420000,248110000,-58690000,51478000,-8725000,232173000,-113990000,-113990000,118183000,118183000,118183000,-24436000,93747000,93747000,93747000,93747000,145638000,405442000,3438348000,17384024000,-79985000,17464009000,268387000,48737000,1807121000,73366000,986482000,24557545000,18407515000,13930590000,4476925000,595704000,1520603000,136682000,20660504000,0,3201190000,750363000,-54512000,3897041000,3897041000,24557545000,93747000,-7864000,8725000,-413911000,427264000,107961000,-3702000,-3994000,-313169000,-365941000,-682812000,550461000,-261123000,479008000,-95843000,-95843000,-95843000,110319000,2116307000,558317000,0.49059,0.38916,0.02406,0.00382,5.95557,5.30159,0.08618,1.2152,1.20978,3.12266,50.51578,7.23724,0.00426,0.02274,17.86337,16.67472
"34","2019_Q1",52.815737704918,"Up",247465000,190215000,256095000,-65880000,57250000,-9319000,238146000,-119389000,-119389000,118757000,118757000,118757000,-23439000,95318000,95318000,95318000,95318000,137433000,518768000,3597861000,17623974000,-83575000,17707549000,265560000,46161000,1807121000,79657000,954509000,25031044000,18849107000,14540040000,4309067000,589871000,1443589000,182537000,21065104000,-2.91038304567337e-11,3184915000,833130000,-52105000,3965940000,3965940000,25031044000,95318000,-2645000,9319000,-258761000,309026000,152257000,-2752000,-5261000,-9270999.99999994,-238267000,-307208000,441841000,-25439000,325563000,170612000,170612000,170612000,116112000,2033460000,445825000,0.47989,0.38518,0.02403,0.00381,4.67724,5.3115,0.08124,1.23631,1.23031,3.20972,51.43981,5.78253,0.00431,0.01781,16.32929,15.9656
"35","2019_Q2",53.9730158730159,"Up",238309000,187246000,257883000,-70637000,51063000,-7184000,231125000,-114051000,-114051000,117074000,117074000,117074000,-23114000,93960000,93960000,93960000,93960000,167181000,216949000,3785277000,18087712000,-87194000,18174906000,262595000,43850000,1807121000,79594000,1107579000,25557858000,18480461000,14162674000,4317787000,585401000,2121075000,314982000,21501919000,0,3156422000,914545000,-15028000,4055939000,4055939000,25557858000,93960000,468000,7184000,229572000,-175893000,155291000,-2057000,-2110000,-184940000,-462940000,-649937000,-368466000,-7400000,258451000,-236195000,-236195000,-236195000,117542000,2706476000,-37294000,0.49127,0.39428,0.02317,0.00368,-0.39691,5.30134,0.1059,1.22339,1.21824,3.10285,52.80953,-0.48558,0.00417,-0.00146,21.6033,21.68966
"36","2019_Q3",53.76078125,"Down",259600000,188918000,265851000,-76933000,70682000,-7195000,252405000,-127686000,-127686000,124719000,124719000,124719000,-24398000,100321000,100321000,100321000,100321000,153071000,353076000,3813149000,18724065000,-90253000,18814318000,274729000,41578000,1807121000,84582000,1288984000,26540355000,19449383000,14955964000,4493419000,618313000,1960062000,336236000,22363994000,-4.65661287307739e-10,3153415000,1002434000,20512000,4176361000,4176361000,26540355000,100321000,1808000,7195000,-47435000,-33135000,28754000,-26577000,-26576000,4717999.99999997,-647274000,-706898000,969064000,52679000,820234000,142090000,142090000,142090000,126527000,2578375000,91213000.0000001,0.48043,0.38644,0.02402,0.00378,0.90921,5.3549,0.09715,1.31412,1.30959,3.40053,54.70661,1.19481,0.00425,0.00344,19.16827,19.44615
"37","2019_Q4",58.19375,"Up",278425000,195806000,275749000,-79943000,82619000,-8260000,270165000,-132941000,-132941000,137224000,137224000,137224000,-26703000,110521000,110521000,110521000,110521000,197660000,565099000,4007760000,19251995000,-93647000,19345642000,274983000,39349000,1830652000,81124000,1299212000,27547834000,20000677000,15298522000,4702155000,845890000,2052548000,354089000,23253204000,0,3146971000,1100517000,47142000,4294630000,4294630000,27547834000,110521000,2089000,8260000,-238468000,248057000,130459000,-5490000,-5504000,-123891000,-378222000,-552106000,551423000,-59164000,714363000,292716000,292716000,292716000,139313000,2898438000,408583000,0.49286,0.39695,0.02573,0.00401,3.69688,5.41448,0.10521,1.44854,1.44375,3.64918,56.28756,5.35509,0.00446,0.01483,19.3864,19.68153
"38","2020_Q1",52.3474193548387,"Down",253634000,194172000,268453000,-74281000,59462000,-4644000,248990000,-130470000,-130470000,118520000,118520000,118520000,-22441000,96079000,96079000,96079000,96079000,157901000,231761000,4144073000,19693099000,-94777000,19787876000,273932000,51130000,1819811000,84462000,1349327000,27805496000,20181028000,15385552000,4795476000,875434000,2062534000,330752000,23449748000,-53566298.9281249,3141031000,1184183000,30534000,4355748000,4355748000,27805496000,96079000,3977000,4644000,50857000,-38562000,116995000,483000.000000004,-7963000,-199602000,-439375000,-707331000,180470000,31804000,196740000,-393596000,-393596000,-393596000,122497000,2937968000,106859000,0.46729,0.37881,0.02206,0.00346,1.1122,5.38363,0.10566,1.26395,1.25148,3.33663,57.30121,1.40576,0.0039,0.00384,22.69498,23.45652
"39","2020_Q2",38.4950793650794,"Down",263929000,193552000,263069000,-69517000,70377000,-99889000,164040000,-137349000,-137349000,26691000,26691000,26691000,1665000,28356000,28356000,28356000,28356000,181088000,599967000,4618805000,20174388000,-222465000,20396853000,274919000,48610000,1819811000,82198000,1464394000,29264180000,21333171000,16369756000,4963415000,856206000,2317520000,372155000,24879052000,2.98023223876953e-08,3091321000,1168301000,125506000,4385128000,4385128000,29264180000,28356000,10219000,99889000,-15330000,-66524000,56610000,-6334000,-6334000,-296108000,-611836000,-878598000,1152246000,58241000,1319649000,497661000,497661000,497661000,36910000,3173726000,-37613000,0.10113,0.10744,0.00647,0.00097,-1.32646,5.67351,0.10845,0.37407,0.37327,3.48176,57.8487,-0.49619,0.00139,-0.00129,81.07933,112.12161
"40","2020_Q3",38.75390625,"Up",273611000,200657000,251738000,-51081000,72954000,-68332000,205279000,-131605000,-131605000,73674000,73674000,73674000,-11230000,62444000,62444000,62444000,62444000,213551000,2225317000,4915785000,22234928000,-285372000,22520300000,281739000,47131000,1819811000,112675000,1491175000,33342112000,25521829000,18628965000,6892864000,911596000,1787551000,425489000,28646465000,217632000,3095122000,1218367000,164526000,4695647000,4695647000,33342112000,62444000,10812000,68332000,-33125000,20125000,128588000,-13329000,-13329000,-240199000,-2126276000,-2378114000,4188746000,7678000,3918619000,1669093000,1669093000,1669093000,84486000,2699147000,102512000,0.26927,0.22822,0.0133,0.00187,1.64166,6.10064,0.08095,0.83025,0.82899,3.63792,59.53947,1.36299,0.00224,0.00307,29.42021,33.73776
"41","2020_Q4",50.3996875,"Up",297659000,206594000,249188000,-42594000,91065000,-26414000,271245000,-134196000,-134196000,137049000,137049000,137049000,-26404000,110645000,110645000,110645000,106847000,179231000,2616333000,5040134000,22188764000,-288645000,22477409000,287711000,44713000,1819811000,101762000,1546472000,33824931000,26543956000,19493286000,7050670000,797332000,1287738000,408597000,29037623000,217126000,3099265000,1312929000,157988000,4787308000,4787308000,33824931000,110645000,11096000,26414000,2356000,-33992000,116519000,-11646000,-11646000,-326716000,32518000,-157323000,1022195000,-71592000,390668000,349864000,349864000,349864000,148145000,2085070000,128911000,0.46042,0.35896,0.02232,0.00316,1.2065,6.06554,0.06164,1.42011,1.41815,3.95619,60.74242,1.71336,0.00352,0.00381,12.86469,13.90626
"42","2021_Q1",77.5645901639344,"Up",304429000,220985000,257047000,-36062000,83444000,-9180000,295249000,-161305000,-161305000,133944000,133944000,133944000,-23068000,110876000,110876000,110876000,107078000,203296000,3534365000,5147384000,22139451000,-285050000,22424501000,290001000,42336000,1819811000,104078000,1652138000,34932860000,27705575000,20313250000,7392325000,128164000,1758502000,436008000,30028249000,217126000,3103913000,1407723000,175849000,4904611000,4904611000,34932860000,110876000,13076000,9180000,-43479000,35384000,125037000,4820000,-8452000,-58929000,44278000.0000002,-153556000,1161680000,-2690000,946643000,918124000,918124000,918124000,147020000,1886666000,210292000,0.43998,0.35173,0.02183,0.00307,1.96391,6.12245,0.05401,1.42291,1.40923,4.04541,62.2897,2.79447,0.00342,0.00602,11.44994,12.56771
"43","2021_Q2",87.8485714285714,"Up",315579000,222870000,251917000,-29047000,92709000,-7235000,308344000,-154696000,-154696000,153648000,153648000,153648000,-28220000,125428000,125428000,125428000,121630000,189251000,3285323000,5181710000,22805820000,-280881000,23086701000,289515000,40130000,1819811000,98477000,1589668000,35299705000,28292940000,20188997000,8103943000,843119000,888115000,316007000,30340181000,217126000,3103399000,1515451000,123548000,4959524000,4959524000,35299705000,125428000,14049000,7235000,-13813000,-13166000,119733000,-3724000,-5704000,-175506000,-1122239000,-1301469000,587418000,38004000,407695000,-774041000,-774041000,-774041000,167697000,1731234000,179027000,0.48688,0.38542,0.02452,0.00345,1.4719,6.11756,0.04904,1.61371,1.60765,4.1869,62.91915,2.37522,0.00384,0.00507,9.19505,10.03582
"44","2021_Q3",90.5378125,"Up",331432000,233225000,259236000,-26011000,98207000,-2834000,328598000,-166140000,-166140000,162458000,162458000,162458000,-30668000,131790000,131790000,131790000,127992000,159863000,3076237000,5802350000,22624188000,-273747000,22897935000,287992000,37963000,1819811000,99664000,1504241000,35412309000,28217603000,19291403000,8926200000,849655000,888304000,355516000,30311078000,217126000,3108426000,1629580000,146099000,5101231000,5101231000,35412309000,131790000,13008000,2834000,6951000,12847000,167430000,-6446000,-4747000,-601053000,129255000,-375342000,-75297000,1106000,-88121000.0000001,-296033000,-296033000,-296033000,175466000,1737959000,212535000,0.49017,0.38618,0.02509,0.00361,1.66053,5.94191,0.04908,1.69567,1.68823,4.39089,64.70573,2.81571,0.00401,0.006,8.99374,9.71387
"45","2021_Q4",96.44390625,"Up",341638000,237543000,260868000,-23325000,104095000,-3382000,338256000,-168851000,-168851000,169405000,169405000,169405000,-32828000,136577000,136577000,136577000,132779000,155965000,3706383000,6061811000,22789826000,-268635000,23058461000,288833000,35876000,1819811000,89137000,1576294000,36523936000,29369807000,19560116000,9809691000,148240000,1431205000,382886000,31332138000,217126000,3114915000,1748491000,111266000,5191798000,5191798000,36523936000,136577000,12573000,3382000,-10650000,9635000,151517000,-6165000,-5489798.65859195,-375511000,-169506000,-551180000,1152223000,-22076000,974793000,575130000,575130000,575130000,181978000,1579445000,218276000,0.49586,0.38865,0.02557,0.00364,1.6439,6.03493,0.04324,1.75878,1.75146,4.52531,65.89404,2.89126,0.00433,0.00598,7.82226,8.40282
"46","2022_Q1",97.6448387096774,"Up",339486000,238763000,259193000,-20430000,100723000,-2675000,336811000,-170417000,-170417000,166394000,166394000,166394000,-32866000,133528000,133528000,133528000,129730000,188287000,4830747000,5357532000,23151029000,-263233000,23414262000,288182000,33819000,1819811000,98813000,2701179000,38469399000,31304533000,20843462000,10461071000,152559000,1311853000,389847000,33158792000,217126000,3121945000,1864350000,107186000,5310607000,5310607000,38469399000,133528000,13626000,2675000,-27058000,95993000,218764000,-472000,-7417362.78274033,-518259000,-864695000,-1384964000,1934740000,-10961000,1801234000,635034000,635034000,635034000,180020000,1464412000,308407000,0.49014,0.38214,0.02443,0.00337,2.3773,6.24388,0.03807,1.71278,1.68882,4.48211,67.24732,4.07178,0.00344,0.00802,7.0888,7.6693
"47","2022_Q2",78.1843548387097,"Down",342971000,239475000,258617000,-19142000,103496000,-2720000,340251000,-182661000,-182661000,157590000,157590000,157590000,-28480000,129110000,129110000,129110000,125312000,187093000,4435761000,6548045000,24237404000,-261618000,24499022000,296779000,31997000,1850951000,95147000,1717201000,39400378000,32295814000,21309620000,10986194000,219530000,1312189000,291895000,34119428000,217126000,3122291000,1972686000,-31153000,5280950000,5280950000,39400378000,129110000,14367000,2720000,5391000,-99473000,52115000,-9581000,-10072000,-404678000,-1395486000,-1837294000,995940000,59532000,1003421000,-781758000,-781758000,-781758000,171957000,1531719000,91383000,0.45948,0.36537,0.02373,0.00318,0.72924,6.46085,0.03888,1.65636,1.65035,4.53336,66.93312,1.20789,0.00361,0.00232,7.81955,8.53243
"48","2022_Q3",79.3990625,"Up",390076000,264574000,292376000,-27802000,125502000,-12907000,377169000,-196038000,-196038000,181131000,181131000,181131000,-36004000,145127000,145127000,145127000,141329000,265507000,2665543000,6986823000,26060613000,-272483000,26333096000,302389000,37617000,1846466000,116038000,1840296000,40121292000,32595303000,21537105000,11058198000,199585000,1712673000,298492000,34806053000,217126000,3132613000,2096950000,-131450000,5315239000,5315239000,40121292000,145127000,14961000,12907000,-14745000,-10186000,148064000,-13192000,-12993000,-649398000,-1832530000,-2494118000,299502000,-24181000,658186000,-1687868000,-1687868000,-1687868000,196092000,1912258000,208718000,0.46435,0.36231,0.02659,0.00352,1.47682,6.54835,0.04766,1.8657,1.86105,5.14943,67.30067,2.75531,0.00395,0.0052,8.39785,9.09149
