"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",17.9646875,"Up",5617800000,-4551900000,1065900000,-305400000,-270300000,760500000,-169500000,-244100000,-244100000,76400000,-1800000,5.91e+08,569900000,100000.000000002,5.7e+08,5.7e+08,-11500000,558500000,558500000,113500000,113500000,3055400000,3055400000,1714900000,1085900000,429800000,374700000,5969700000,33011500000,12419600000,3948300000,5745200000,2669400000,56700000,45431100000,51400800000,5294900000,602600000,350900000,4341400000,875400000,855700000,326300000,7.026e+09,21922100000,506800000,50600000,456200000,22428900000,29454900000,22031200000,-3.07e+08,21724200000,221700000,21945900000,51400800000,5.7e+08,381300000,34500000,-40300000,945500000,-847300000,-21999999.9999999,-205400000,-1074700000,-780100000,862200000,82099999.9999999,-47100000,-47100000,-47100000,1141800000,22797500000,254100000,0.18974,0.13537,0.09942,0.02545,0.01087,0.45497,0.84966,1.34216,0.44352,0.26682,0.26682,2.68383,10.37846,0.12139,5,0.01234,0.00562,19.86688,29.82774
"27","2016_Q4",17.1907936507937,"Down",5920400000,-4781200000,1139200000,-326500000,-284500000,812700000,-157900000,-250900000,-250900000,92300000,7e+05,654800000,647900000,-4800000,643100000,643100000,-8500000,634600000,634600000,57100000,57100000,2944100000,2944100000,1762500000,977900000,457500000,2.79e+08,5741600000,33119400000,12397400000,3907200000,5745200000,2687200000,57800000,45516800000,51258400000,3841600000,453700000,202700000,3185200000,2838100000,888600000,424400000,7568300000,21121200000,530200000,51600000,478600000,21651400000,29219700000,22127900000,-308700000,21819200000,219500000,22038700000,51258400000,643100000,391900000,-6900000,-214300000,813800000,-5.37e+08,-1027500000,107400000,-1457100000,317700000,269200000,586900000,-56400000,-56400000,-56400000,1204600000,23959300000,458100000,0.19242,0.13727,0.10719,0.02879,0.01238,0.72187,0.75864,1.32584,0.46742,0.3014,0.3014,2.81187,10.36295,0.21757,6,0.01364,0.00985,19.84244,29.41085
"28","2017_Q1",18.7070967741935,"Up",6478800000,-5340100000,1138700000,-307700000,-268600000,8.31e+08,-154500000,-2.47e+08,-2.47e+08,92200000,3e+05,676500000,6.8e+08,-10300000,669700000,669700000,-10900000,658800000,658800000,63100000,63100000,3329500000,3329500000,1770500000,1365100000,468100000,355600000,6528200000,33292500000,12373300000,3864100000,5745200000,2677300000,86700000,45665800000,5.2194e+10,4457300000,397700000,340800000,3718800000,2576800000,1216400000,478700000,8250500000,21120900000,556600000,52700000,503900000,21677500000,2.9928e+10,2.2327e+10,-2.8e+08,2.2047e+10,2.19e+08,2.2266e+10,5.2194e+10,669700000,396700000,32200000,309200000,1407800000,-571700000,-18900000,280500000,-310100000,-1115300000,362200000,-753100000,344600000,344600000,344600000,1227700000,23697700000,975500000,0.17576,0.12826,0.10169,0.02959,0.01262,1.48072,0.79125,1.34411,0.45403,0.31117,0.31117,3.06008,10.41328,0.46075,6,0.01416,0.02097,19.25112,28.44116
"29","2017_Q2",18.4169841269841,"Down",7320400000,-6081600000,1238800000,-3.02e+08,-251600000,936800000,-154300000,-249300000,-249300000,94800000,2e+05,782500000,7.77e+08,-6e+06,7.71e+08,7.71e+08,-10300000,760700000,760700000,62400000,62400000,3152800000,3152800000,1.922e+09,504300000,417600000,46300000,5641500000,33556100000,12331900000,3823100000,5745200000,2671400000,92200000,4.5888e+10,51529500000,4397200000,526100000,202800000,3668300000,2.3e+09,350800000,3.07e+08,7.048e+09,2.1123e+10,558500000,52600000,505900000,21681500000,28729500000,22695500000,-116200000,22579300000,220700000,2.28e+10,51529500000,7.71e+08,402300000,6700000,-304400000,875600000,-428400000,-29700000,14100000,-4.44e+08,-1153600000,411500000,-742100000,-310500000,-310500000,-310500000,1339100000,2.3423e+10,612300000,0.16923,0.12797,0.10392,0.03336,0.01476,0.80492,0.80044,1.26007,0.45456,0.35632,0.35632,3.42892,10.57628,0.28681,7,0.01626,0.01309,17.445,24.93659
"30","2017_Q3",18.2433333333333,"Down",6607600000,-5457600000,1.15e+09,-318300000,-272600000,831700000,-138400000,-245800000,-245800000,1.07e+08,4e+05,693300000,674700000,-8700000,6.66e+08,6.66e+08,-12300000,653700000,653700000,28600000,28600000,2655700000,2655700000,1604300000,495900000,387500000,38400000,4784500000,34220700000,12308100000,3782400000,5745200000,2661300000,119200000,46528800000,51313300000,4028300000,674400000,339900000,3.014e+09,3354800000,435500000,386600000,7818600000,20026500000,5.88e+08,53400000,534600000,20614500000,28433100000,22788800000,-128700000,22660100000,220100000,22880200000,51313300000,6.66e+08,406500000,22500000,364300000,1459300000,-681500000,-185800000,12700000,-854600000,-942900000,295100000,-647800000,-43100000.0000001,-43100000.0000001,-43100000.0000001,1238200000,23381300000,929700000,0.17404,0.12587,0.09893,0.02857,0.01274,1.42221,0.61194,1.24269,0.45566,0.30344,0.30344,3.06717,10.51854,0.43156,6,0.01395,0.01984,18.8602,28.07827
"31","2017_Q4",17.7490476190476,"Down",6886900000,-5773800000,1113100000,-347300000,-3.06e+08,765800000,-130200000,-243900000,-243900000,113400000,3e+05,635600000,626700000,-5400000,621300000,621300000,-10400000,610900000,610900000,32900000,32900000,3392200000,3392200000,1983200000,622800000,372600000,7e+07,6031100000,34979300000,12290200000,3739800000,5745200000,2660200000,1.45e+08,47269500000,53300600000,4.796e+09,720300000,206500000,3869200000,3.009e+09,633700000,408400000,8438700000,21710900000,602100000,53700000,548400000,2.2313e+10,30751700000,22637200000,-306600000,22330600000,218300000,22548900000,53300600000,621300000,412600000,7e+06,-555900000,4.85e+08,-1002100000,-1.6e+07,12800000,-1005300000,442100000,113900000,5.56e+08,35700000,35700000,35700000,1178400000,24719900000,-374200000,0.16163,0.1112,0.0887,0.02709,0.01146,-0.61254,0.7147,1.36378,0.46378,0.28272,0.28272,3.1872,10.33441,-0.17318,4,0.01276,-0.00782,20.94959,32.23688
"32","2018_Q1",18.9559016393443,"Up",8426600000,-7131700000,1294900000,-326300000,-282600000,968600000,-134400000,-245600000,-245600000,110800000,4e+05,834200000,802900000,-5600000,797300000,797300000,-23300000,7.74e+08,7.74e+08,5099999.99999999,5099999.99999999,4358400000,4358400000,1609800000,533100000,312700000,6.7e+07,6506400000,35620400000,12291300000,3690300000,5745200000,2659400000,196400000,47911700000,54418100000,5853300000,801700000,3.58e+08,4693600000,2.855e+09,586800000,418600000,9295100000,21713700000,636900000,58500000,578400000,22350600000,31645700000,22718900000,-171700000,22547200000,225200000,22772400000,54418100000,797300000,422600000,16700000,609800000,1846400000,-949700000,-17700000,-14800000,-982200000,-1044300000,150700000,-893600000,-29400000,-29400000,-29400000,1391200000,24568700000,1056900000,0.15367,0.11495,0.09185,0.03399,0.01422,1.3655,0.69998,1.38965,0.45148,0.35714,0.35714,3.88824,10.40384,0.48768,6,0.01613,0.02203,17.65641,25.3599
"33","2018_Q2",19.79171875,"Up",9298500000,-7904300000,1394200000,-371400000,-318400000,1022800000,-135700000,-252100000,-252100000,115700000,7e+05,887100000,916600000,-5100000,911500000,911500000,-10800000,900700000,900700000,102100000,102100000,4439900000,4439900000,1699900000,549100000,353300000,117100000,6.791e+09,36416300000,1.2275e+10,3736400000,5745200000,2583400000,2.1e+08,48691300000,55482300000,5967200000,730600000,210800000,5025800000,2376800000,495600000,334700000,8839600000,23016400000,661400000,5.8e+07,603400000,23677800000,32517400000,22914500000,-161200000,22753300000,211600000,22964900000,55482300000,911500000,4.31e+08,-45900000,-6.3e+07,1233600000,-945400000,-187700000,1.4e+07,-1119100000,-81800000,112600000,30800000,145300000,145300000,145300000,1453800000,25393200000,450500000,0.14994,0.11,0.09687,0.03922,0.01623,0.50017,0.76825,1.41596,0.45768,0.4137,0.4137,4.27085,10.45072,0.20692,5,0.01837,0.00919,17.39655,24.72732
"34","2018_Q3",21.2230158730159,"Up",8467500000,-7174300000,1293200000,-429100000,-377700000,864100000,-1.52e+08,-274600000,-274600000,122300000,3e+05,712100000,705600000,-18400000,687200000,687200000,-13400000,673800000,673800000,57900000,57900000,4318300000,4318300000,1729600000,896800000,446100000,285600000,7002600000,37054500000,12254300000,3696100000,5745200000,2581500000,231500000,49308800000,56311400000,6063300000,893100000,3.72e+08,4798200000,2668700000,717300000,320400000,9449300000,23020200000,751400000,6.9e+07,682400000,23771600000,33220900000,22794800000,-123200000,22671600000,418900000,23090500000,56311400000,687200000,458300000,21500000,297200000,1464200000,-973100000,-7899999.99999997,10500000,-970500000,-644700000,276900000,-367800000,125900000,125900000,125900000,1322400000,25688900000,664900000,0.15273,0.10205,0.07957,0.02918,0.01197,0.98679,0.74107,1.43873,0.45619,0.30832,0.30832,3.87458,10.37412,0.30425,5,0.0136,0.01342,19.38218,29.66208
"35","2018_Q4",19.9547619047619,"Down",9585900000,-7643400000,1942500000,-411200000,-358500000,1531300000,-167200000,-279500000,-279500000,1.12e+08,3e+05,1364100000,1345600000,-1.1e+07,1334600000,1334600000,-21400000,1313200000,1313200000,30200000,30200000,4222900000,4222900000,2335800000,1.097e+09,609900000,250500000,7685900000,37802900000,12263400000,3654200000,5745200000,2603400000,260600000,50066300000,57752200000,6629700000,1153200000,190500000,5.286e+09,3405500000,887100000,4e+08,10922300000,22508500000,815600000,68400000,747200000,23324100000,34246400000,23380400000,-307300000,23073100000,432700000,23505800000,57752200000,1334600000,471200000,3300000,-231600000,1577500000,-1061600000,-50100000,18500000,-1093200000,-725400000,178700000,-546700000,-62400000,-62400000,-62400000,2002500000,2.5914e+10,720300000,0.20264,0.15975,0.13699,0.05587,0.02274,0.54851,0.70369,1.45693,0.44871,0.5995,0.5995,4.37612,10.53326,0.32883,7,0.02614,0.01434,12.92574,16.90315
"36","2019_Q1",21.1714754098361,"Up",9182300000,-7269200000,1913100000,-402700000,-351500000,1510400000,-158200000,-286900000,-290500000,1.3e+08,-1300000,1352200000,1.331e+09,-25800000,1305200000,1305200000,-20499999,1284700001,1284700001,344800000,344800000,3659100000,3659100000,1522100000,534700000,311500000,68800000,6060700000,38737600000,12171500000,3608400000,5745200000,2615100000,202800000,50909100000,56969800000,5114400000,1102800000,395600000,3.616e+09,1500100000,5.53e+08,404800000,7167500000,24678100000,8.32e+08,80400000,751600000,25510100000,32677600000,23802600000,50900000,23853500000,438700000,24292200000,56969800000,1305200000,431100000,98200000,16499999.9999999,1.851e+09,-1081900000,-18500000,1600000,-1098800000,3105600000,-4234400000,-621200000,1.31e+08,1.31e+08,1.31e+08,1941500000,26178200000,901900000,0.20835,0.16449,0.13991,0.05289,0.02255,0.70203,0.84558,1.34519,0.45951,0.58531,0.58531,4.18347,10.86769,0.41091,7,0.02504,0.01758,13.3059,17.10368
"37","2019_Q2",22.1742857142857,"Up",8543500000,-6655300000,1888200000,-416600000,-364400000,1471600000,-121100000,-277200000,-277200000,154600000,1500000,1350500000,1292700000,-12300000,1280400000,1280400000,-19900000,1260500000,1260500000,99300000,99300000,4290700000,4290700000,1680500000,558100000,421300000,10700000,6628600000,39347500000,12421400000,3565900000,5745200000,2654300000,4.56e+08,51768900000,58397500000,5418300000,918100000,216900000,4283300000,2694600000,479800000,384900000,8592700000,24181600000,1101900000,82200000,1019700000,25283500000,33876200000,24151900000,-9.4e+07,24057900000,463400000,24521300000,58397500000,1280400000,474500000,-47900000,-546600000,1160400000,-1147200000,-29100000,1800000,-1174500000,-261700000,-26800000,-288500000,-302600000,-302600000,-302600000,1946100000,26876200000,264600000,0.22101,0.17225,0.14754,0.0514,0.02158,0.20992,0.77142,1.3815,0.46023,0.57308,0.57308,3.88429,10.93789,0.1203,6,0.02401,0.00504,13.75926,18.19577
"38","2019_Q3",22.73609375,"Up",8276300000,-6469500000,1806800000,-383900000,-331400000,1422900000,-150100000,-290100000,-290100000,137400000,2600000,1272800000,1246200000,-9700000,1236500000,1236500000,-21800000,1214700000,1214700000,107300000,107300000,3787600000,3787600000,1586100000,777900000,567900000,14200000,6258900000,40089100000,12373800000,3532600000,5745200000,2652100000,443900000,52462900000,58721800000,5159300000,1078500000,392300000,3688500000,5e+08,604800000,476400000,6264100000,2.6385e+10,1097300000,84600000,1012700000,27482300000,33746400000,24450500000,-10699999.9999999,24439800000,535600000,24975400000,58721800000,1236500000,488600000,61100000,237100000,2023300000,-1097500000,-30800000,16300000,-1.112e+09,-955900000,44399999.9999995,-911500000,-2e+05,-2e+05,-2e+05,1911500000,2.6885e+10,1060800000,0.21831,0.17192,0.14677,0.04864,0.02069,0.8733,0.99917,1.35119,0.45784,0.55146,0.55146,3.75734,11.09538,0.48159,6,0.02294,0.02003,14.00874,18.8191
"39","2019_Q4",21.50484375,"Down",7964100000,-6217600000,1746500000,-411600000,-356100000,1334900000,-2.36e+08,-3.74e+08,-382900000,139300000,-1300000,1098900000,1060200000,-15400000,1044800000,1044800000,-25600000,1019200000,1019200000,1207800000,1207800000,4261700000,4261700000,1644700000,799600000,631600000,2e+06,7913800000,40763300000,12338200000,3489400000,5745200000,2660900000,442700000,53101500000,61015300000,5619300000,1057800000,237200000,4324300000,2.3e+09,750200000,547800000,8669500000,25639200000,1181100000,91400000,1089700000,26820300000,35489800000,24535100000,-39100000,2.4496e+10,1029500000,25525500000,61015300000,1044800000,493600000,203800000,-99700000,1642500000,-1040600000,-40200000,-5500000,-1086300000,104400001,5.21e+08,544300001,1100500001,1100500001,1100500001,1828500000,27939200000,703600000,0.2193,0.16761,0.12797,0.03993,0.0167,0.69035,0.91283,1.39037,0.4579,0.46279,0.46279,3.61626,11.12292,0.31948,5,0.01865,0.01288,14.61931,20.02502
"40","2020_Q1",18.7254838709677,"Down",8005300000,17930400000,25935700000,-2.4513e+10,-24673200000,1422700000,-156200000,-290100000,-292800000,131700000,2200000,1266500000,1133600000,-8199999.99999999,1125400000,1125400000,-28500000,1096900000,1096900000,334700000,334700000,4873600000,4873600000,2091400000,563200000,358200000,77800000,7862900000,41603400000,12266900000,3.449e+09,5745200000,2600200000,472500000,53870300000,61733200000,6514200000,1004500000,431700000,5.078e+09,1981900000,633600000,511200000,9129700000,25643200000,1132800000,100400000,1032400000,2.6776e+10,35905700000,24692600000,71400000,2.4764e+10,1063500000,25827500000,61733200000,1125400000,2.88e+08,329300000,-48400000,1694300000,-1225800000,-11500000,34600000,-1202700000,2569299999,-3858700000,-1289400001,-797800001,-797800001,-797800001,1710700000,27625100000,444700000,3.23982,0.17772,0.13702,0.04247,0.01777,0.40542,0.86124,1.39021,0.44749,0.49807,0.49807,3.63497,11.24461,0.20193,6,0.0201,0.00815,15.95277,19.18212
"41","2020_Q2",14.7639682539683,"Down",7482500000,-3.25e+08,7157500000,-5758300000,-5758300000,1399200000,-168600000,-310300000,-317500000,140800000,9e+05,1230600000,1195800000,179200000,1.375e+09,1.375e+09,-24900000,1350100000,1350100000,2025700000,2025700000,3293800000,3293800000,1538800000,860800000,403200000,91800000,7719100000,42159100000,12387100000,3409400000,5745200000,2608500000,6.24e+08,54546200000,62265300000,4389800000,915800000,238300000,3235700000,1.75e+09,775600000,506400000,6915400000,27855900000,1379800000,428200000,951600000,29235700000,36151100000,24928100000,122300000,25050400000,1063800000,26114200000,62265300000,1.375e+09,453600000,-168100000,351700000,2012200000,-1078900000,-3300000,10500000,-1071700000,1971900001,-1066700000,765100001,1705600001,1705600001,1705600001,1852800000,29605900000,946400000,0.95657,0.187,0.18043,0.0517,0.02168,0.70099,1.11622,1.38435,0.47548,0.61257,0.61257,3.39496,11.36588,0.4294,6,0.02364,0.01657,14.88569,19.71141
"42","2020_Q3",14.80640625,"Up",5.751e+09,-306500000,5444500000,-4087700000,-4087700000,1356800000,-203100000,-317300000,-320200000,113300000,9e+05,1153700000,1120500000,-59700000,1060800000,1060800000,-26100000,1034700000,1034700000,1298500000,1298500000,2907700000,2907700000,2024100000,8.86e+08,535600000,140700000,7116300000,42538400000,12289800000,3379400000,5745200000,2547400000,617800000,54828200000,61944500000,4.257e+09,902500000,461700000,2892800000,2.325e+09,900400000,5.15e+08,7482400000,27285200000,1235500000,481600000,753900000,28520700000,36003100000,25023800000,-147100000,24876700000,1064700000,25941400000,61944500000,1060800000,463700000,97900001,-440800000,1181600001,-892900001,-4e+06,38100000,-858800001,0,-1001800000,-1001800000,-678999999.999999,-678999999.999999,-678999999.999999,1820500000,29610200000,546499999,0.9467,0.23592,0.17992,0.03989,0.0167,0.52817,0.95107,1.38786,0.47801,0.46989,0.46989,2.61172,11.29732,0.24818,6,0.01822,0.00962,15.55161,20.86652
"43","2020_Q4",16.15953125,"Up",6.922e+09,-2.83e+08,6.639e+09,-5304500000,-5304500000,1334500000,-235600000,-318300000,-320500000,8.2e+07,7e+05,1098900000,1064900000,19100000,1.084e+09,1.084e+09,-31400000,1052600000,1052600000,1032200000,1032200000,3776200000,3776200000,3192600000,792299999,556400000,102999999,8793299999,42360100000,12582800000,3348600000,5745200000,2485400000,1003600000,54942900000,63736199999,5569500000,8.96e+08,235100000,4438400000,1.325e+09,952400000,622700000,7846900000,2.8537e+10,1198500000,463300000,735200000,29735500000,37582400000,25084600000,-49300000,25084400000,1069400000,26153800000,63736200000,1.084e+09,454600000,162199999,-6.03e+08,1097799999,-691399999,-2600000,60300000,-633699999,260300000,-996200000,-769600000,-305500000,-305500000,-305500000,1789100000,2.9862e+10,475600001,0.95912,0.19279,0.15207,0.04025,0.01651,0.45183,1.12061,1.43698,0.46852,0.47819,0.47819,3.14465,11.37348,0.21606,6,0.0184,0.00831,16.11414,21.60345
"44","2021_Q1",19.5304918032787,"Up",7044200000,-296100000,6748100000,-6093400000,-6093400000,654700000,-2.38e+08,-328100000,-329200000,9e+07,1e+05,416700000,380200000,-14300000,365900000,365900000,-27700000,338200000,337300000,1059900000,1059900000,4802600000,4802600000,3303500000,743400000,4.11e+08,103800000,9909400000,41912800000,12284500000,3309100000,5448900000,2429200000,1097300000,54197300000,64106700000,6705100000,704600000,455600000,5544900000,1.325e+09,957900000,608700000,8.988e+09,28540700000,1151300000,464700000,686600000,2.9692e+10,3.868e+10,24469300000,-165200000,24353400000,1073300000,25426700000,64106700000,365900000,467900000,841200000,-75100000,1599900000,-611900000,-5700000,61100000,-556500000,-1.19209289550781e-07,-1003900000,-1016400000,2.7e+07,2.7e+07,2.7e+07,1122600000,29865700000,449900000,0.95797,0.09294,0.04788,0.01327,0.00526,1.33383,1.10251,1.52124,0.46587,0.15321,0.15321,3.19958,11.03929,0.20435,5,0.00598,0.00797,25.6599,43.99847
"45","2021_Q2",21.4390476190476,"Up",9.155e+09,-3.24e+08,8.831e+09,-7.25e+09,-7.25e+09,1.581e+09,-1.73e+08,-3.22e+08,-3.23e+08,1.49e+08,-61485.8265396187,1.408e+09,1.373e+09,-1e+07,1.363e+09,1.363e+09,-2.1e+07,1.342e+09,1.341e+09,229400000,229400000,5779900000,5779900000,3703300000,871500000,436500000,1.12e+08,10584100000,42102400000,1.2297e+10,3259800000,5448900000,2449800000,1138500000,54399400000,64983500000,8.193e+09,830700000,224200000,7138100000,1513400000,832500000,593100000,10538900000,27145900000,1179200000,482800000,696400000,28325100000,3.8864e+10,24811300000,1.81e+08,25041600000,1077900000,26119500000,64983500000,1.363e+09,4.62e+08,1.01e+08,9.7e+07,2.023e+09,-6.73e+08,-1e+06,1.7e+07,-6.57e+08,-1.135e+09,-1.041e+09,-2.19e+09,-8.24e+08,-8.24e+08,-8.24e+08,2.043e+09,28659300000,1.477e+09,0.96461,0.17269,0.14648,0.05134,0.02064,1.10142,1.00429,1.48793,0.44102,0.60863,0.60863,4.15513,11.34312,0.67036,7,0.02396,0.02639,13.91576,17.98223
"46","2021_Q3",20.965625,"Down",9.45e+09,-3e+08,9.15e+09,-7.786e+09,-7.786e+09,1.364e+09,-1.54e+08,-3.15e+08,-3.16e+08,1.61e+08,20650.4823638966,1.21e+09,1.177e+09,-3.1e+07,1.146e+09,1.146e+09,-3.3e+07,1.113e+09,1.112e+09,404500000,404500000,5253800000,5253800000,3346800000,1306100000,539500000,214300000,10311200000,42233100000,12260800000,3229700000,5448900000,2442700000,1139500000,54493900000,64805100000,8080200000,853400000,443100000,6783700000,1398900000,1049500000,441500000,10528600000,27148600000,1231800000,502300000,729500000,28380400000,3.8909e+10,24971500000,-198700000,24822100000,1.074e+09,25896100000,64805100000,1.146e+09,4.64e+08,8.3e+07,3.01e+08,1.994e+09,-5.78e+08,-7.45058059692383e-09,6e+06,-5.72e+08,-1.15e+08,-1.03e+09,-1.145e+09,2.77e+08,2.77e+08,2.77e+08,1.828e+09,28547500000,1.582e+09,0.96825,0.14434,0.11767,0.04294,0.01716,1.42266,0.97935,1.5025,0.44051,0.50959,0.5047,4.33063,11.35258,0.72498,8,0.01997,0.02841,15.39551,20.6327
"47","2021_Q4",21.1071875,"Up",10831700000,-340700000,1.0491e+10,-9084500000,-9084500000,1406500000,-1.78e+08,-315100000,-315800000,137200000,-99999.9999999999,1228500000,1.198e+09,-16300000,1181700000,1181700000,-28300000,1153400000,1152700000,2213500000,2213500000,6119500000,6119500000,3095900000,1399500000,5.57e+08,147600000,12828400000,42253800000,12237700000,3.19e+09,5448900000,2433400000,1165400000,54491500000,67319900000,9055100000,708100000,225200000,8121800000,1399300000,1416300000,646200000,11870700000,28132800000,1282500000,511300000,771200000,29415300000,4.1286e+10,2.5093e+10,-171800000,24970500000,1063400000,26033900000,67319900000,1181700000,468300000,71700000,648599999,2370299999,-496600000,-3e+05,4400000,-492500000,991900000,-1047900000,-130800000,1746999999,1746999999,1746999999,1874800000,29532100000,2043099999,0.96855,0.12985,0.10642,0.04428,0.01712,1.77245,1.08068,1.58586,0.43868,0.52825,0.52386,4.96382,11.42058,0.93629,8,0.02028,0.03594,14.57147,19.42311
"48","2022_Q1",23.3064516129032,"Up",11370200000,-322100000,11048100000,-9745900000,-9745900000,1302200000,-1.9e+08,-326200000,-328200000,136200000,0,1112200000,1077300000,-12700000,1064600000,1064600000,-35300000,1029300000,1028400000,2.82e+09,2.82e+09,6.967e+09,6.967e+09,2.681e+09,8.02e+08,3.99e+08,1.66e+08,1.327e+10,4.2088e+10,1.2168e+10,3.151e+09,5.449e+09,2.428e+09,1.14e+09,5.4256e+10,6.7526e+10,9.345e+09,6.32e+08,4.53e+08,8.26e+09,1.4e+09,8.8e+08,6.26e+08,1.1625e+10,2.8135e+10,1.278e+09,5.18e+08,7.6e+08,2.9413e+10,4.1038e+10,2.5043e+10,2.86e+08,2.5378e+10,1.11e+09,2.6488e+10,6.7526e+10,1064600000,480100000,261400000,319100001,2125200001,-411300000,-800000.000000119,-1e+06,-413100000,2.38418579101562e-07,-980400000,-1105500000,606600001,606600001,606600001,1782300000,2.9535e+10,1702800001,0.97167,0.11453,0.09045,0.03883,0.01523,1.65578,1.14151,1.54931,0.43739,0.47128,0.46737,5.2106,11.60747,0.78034,9,0.01795,0.02972,14.98906,20.51528
"49","2022_Q2",25.711935483871,"Up",1.3008e+10,-3.15e+08,1.2693e+10,-1.1107e+10,-1.1107e+10,1.586e+09,-1.99e+08,-3.18e+08,-3.19e+08,1.17e+08,2e+06,1.387e+09,1.35e+09,-1.9e+07,1.331e+09,1.331e+09,-3.4e+07,1.297e+09,1.296e+09,2.31e+08,2.31e+08,8.995e+09,8.995e+09,2.652e+09,1.1e+09,4.12e+08,2.45e+08,1.2978e+10,4.4033e+10,1.3308e+10,4.101e+09,5.608e+09,2.426e+09,1.173e+09,5.7341e+10,7.0319e+10,1.1728e+10,8.68e+08,2.2e+08,1.064e+10,2.629e+09,1.017e+09,5.57e+08,1.5374e+10,2.6889e+10,1.35e+09,5.49e+08,8.01e+08,2.8239e+10,4.3613e+10,2.5313e+10,2.4e+08,2.5602e+10,1.104e+09,2.6706e+10,7.0319e+10,1.331e+09,4.81e+08,1.42e+08,1.91e+08,2.145e+09,-3.38e+08,-3.204e+09,1e+07,-3.532e+09,-2e+07,-1.105e+09,-1.125e+09,-2.512e+09,-2.512e+09,-2.512e+09,2.067e+09,2.9518e+10,1.939e+09,0.97578,0.12192,0.09963,0.04853,0.01843,1.49614,0.84415,1.63308,0.41977,0.59548,0.58936,5.9769,11.74106,0.89093,7,0.02251,0.03368,14.16884,18.46595
"50","2022_Q3",25.73975,"Up",1.606e+10,-3.37e+08,1.5723e+10,-1.4028e+10,-1.4028e+10,1.695e+09,-2e+08,-3.07e+08,-3.09e+08,1.07e+08,0,1.495e+09,1.457e+09,-1.7e+07,1.44e+09,1.44e+09,-2.8e+07,1.412e+09,1.411e+09,2.31e+08,2.31e+08,8.421e+09,8.421e+09,3.234e+09,1.075e+09,5.48e+08,1.95e+08,1.2961e+10,4.4129e+10,1.326e+10,4.056e+09,5.608e+09,2.374e+09,1.222e+09,5.7389e+10,7.035e+10,1.2185e+10,8.03e+08,4.35e+08,1.0947e+10,1.889e+09,9.04e+08,5.59e+08,1.4978e+10,2.6892e+10,1.454e+09,5.56e+08,8.98e+08,2.8346e+10,4.3324e+10,2.5706e+10,1.77e+08,2.5932e+10,1.094e+09,2.7026e+10,7.035e+10,1.44e+09,4.96e+08,1.56e+08,2.7e+07,2.119e+09,-3.79e+08,0,4.3e+07,-3.36e+08,-7.4e+08,-1.064e+09,-1.839e+09,-5.6e+07,-5.6e+07,-5.6e+07,2.191e+09,2.8781e+10,1.856e+09,0.97902,0.10554,0.08786,0.05221,0.02006,1.31538,0.86534,1.60305,0.40911,0.64832,0.64166,7.37923,11.89269,0.85279,8,0.02464,0.03241,13.03058,16.84366
