"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"37","2019_Q2",36.7060317460317,"Down",143686000,115212000,126116000,-10904000,28474000,213000,5798000,18015000,4448000,-57000,143629000,-82830000,-82830000,60799000,60799000,60799000,-11667000,49132000,49132000,49132000,49132000,202527000,2777894000,8196284000,-129786000,8326070000,277619000,289586000,300880000,12073779000,9588115000,6536996000,3051119000,489620000,288731000,156463000,10522929000,1052145000,474818000,23887000,1550850000,1550850000,12073779000,46307000,-3809000,-3809000,121292000,-39694000,77213000,-25562000,-192399000,94322000,-124783000,-1263000,-1263000,-1263000,778351000,0.42314,0.34194,0.03168,0.00407,6.78527,0.06447,0.5811,0.58066,1.69942,18.34241,0.30233,0.00619,0.52027,9.47095
"38","2019_Q3",35.99890625,"Down",151130000,120296000,132385000,-12089000,30834000,134000,7762000,20025000,2913000,0,151130000,-86170000,-86170000,64960000,64960000,64960000,-12568000,52392000,52392000,52392000,52392000,231209000,2722731000,8712723000,-129054000,8841777000,296915000,330887000,355494000,12676361000,9854875000,6589798000,3265077000,494651000,459908000,179551000,10988985000,1140155000,503773000,43448000,1687376000,1687376000,12676361000,39383000,-8073000,-8073000,124505000,-271217000,-149353000,-21998000,168557000,-7892999.99999997,138652000,28682000,28682000,28682000,954559000,0.42983,0.34667,0.03105,0.00413,6.51247,0.0753,0.61039,0.61014,1.76074,19.65875,0.25629,0.00587,0.41987,11.13531
"39","2019_Q4",39.25140625,"Up",174497000,131448000,142395000,-10947000,43049000,13811000,10369000,15138000,3731000,0,174497000,-110675000,-110675000,63822000,63822000,63822000,-12212000,51610000,51610000,51610000,51610000,406384000,2694028000,9415553000,-125535000,9541088000,307590000,456422000,428388000,13718792000,10868625000,7095859000,3772766000,558752000,148620000,189394000,11765391000,1376707000,528599000,48095000,1953401000,1953401000,13718792000,28750000,-2348000,-2348000,156874000,-92708000,128340000,-23410000,-250943000,291557000,18085000,175175000,175175000,175175000,707372000,0.36575,0.29576,0.02642,0.00376,6.02303,0.05156,0.57122,0.56862,1.93133,21.62016,0.2591,0.00547,0.45359,4.71605
"40","2020_Q1",36.5658064516129,"Down",164865000,136448000,145281000,-8833000,28417000,257000,10135000,14756000,3269000,-9.31322574615479e-10,164865000,-95252000,-95252000,69613000,69613000,69613000,-12203000,57410000,57410000,57410000,57410000,330961000,2799863000,9388320000,-124490000,9512810000,310309000,456418000,384468000,13683999000,10776457000,7079830000,3696627000,569824000,178525000,198460000,11723266000,1379457000,541050000,40226000,1960733000,1960733000,13683999000,112209000,-2168000,-2168000,-118612000,30291000,-98882000.0000001,-53498000,-117266000,-92130000,-88750000,-75423000,-75423000,-75423000,748349000,0.42224,0.34822,0.02928,0.0042,5.97902,0.05469,0.62208,0.62202,1.78644,21.24605,0.57969,0.0081,0.93186,5.99583
"41","2020_Q2",34.3261904761905,"Down",167641000,134369000,142865000,-8496000,33272000,863000.000000002,11862000,14020000,6527000,-19185000,148456000,-95487000,-95487000,52969000,52969000,52969000,-9630000,43339000,43339000,43339000,43339000,273441000,3633704000,9938016000,-150190000,10088206000,324230000,513355000,445041000,15158384000,11557837000,7681989000,3875848000,580335000,652971000,230597000,13021740000,1492605000,544315000,99724000,2136644000,2136644000,15158384000,25762000,-940000,-940000,-628503000,-131505000,-720130000,-18652000,474448000,178132000,636848000,-57520000,-57520000,-57520000,1233306000,0.31597,0.25852,0.02028,0.00286,6.09448,0.08136,0.46457,0.46421,1.79703,22.90382,0.19994,0.00409,0.43037,18.12126
"42","2020_Q3",32.23453125,"Down",189443000,148219000,155404000,-7185000,41224000,128000,25858000,11366000,3872000,-16929000,172514000,-94764000,-94764000,77750000,77750000,77750000,-14306000,63444000,63444000,63444000,63444000,547610000,3737225000,11290869000,-162509000,11453378000,326005000,513355000,479992000,16906648000,13381532000,8337828000,5043704000,881227000,177880000,262294000,14702933000,1493771000,580035000,129909000,2203715000,2203715000,16906648000,111412000,-3921000,-3921000,-46772000,-1404260000,-1459379000,-27672000,-170882000,1823818000,1622136000,274169000,274169000,274169000,1059107000,0.41041,0.3349,0.02879,0.00375,6.67188,0.06264,0.66499,0.66481,1.98566,23.09841,0.29005,0.00539,0.43616,6.57874
"43","2020_Q4",38.08484375,"Up",205070000,151403000,157487000,-6084000,53667000,24000,35516000,13404000,4723000,-5186000,199884000,-103373000,-103373000,96511000,96511000,96511000,-18754000,77757000,77757000,77757000,77757000,769879000,4319057000,11454179000,-164552000,11618731000,326925000,514013000,531648000,17926067000,14299888000,8820577000,5479311000,965668000,147236000,258186000,15670978000,1494882000,629109000,131098000,2255089000,2255089000,17926067000,-23417000,-3279000,-3279000,-582294000,-113092000,-699319000,-27675000,-334374000,918479000,945005000,222269000,222269000,222269000,1112904000,0.47062,0.37917,0.03448,0.00434,6.94916,0.06208,0.8149,0.81462,2.14914,23.63344,0.29004,0.00588,0.35592,3.55426
"44","2021_Q1",51.3640983606557,"Up",210462000,165758000,171308000,-5550000,44704000,124000,26214000,13713000,4653000,1535000,211997000,-111187000,-111187000,100810000,100810000,100810000,-18950000,81860000,81860000,81860000,81860000,633142000,5527650000,10964453000,-158243000,11122696000,325335000,524036000,474081000,18504206000,14797529000,9342990000,5454539000,1004583000,139959000,255094000,16197165000,1496007000,667944000,143090000,2307041000,2307041000,18504206000,75788000,-3577000,-3577000,-1194938000,517760000,-684868000,-57264000,-7217000,497770000,472343000,-136737000,-136737000,-136737000,1144542000,0.47899,0.38895,0.03548,0.00442,7.02075,0.06185,0.85787,0.8573,2.20557,24.17703,0.60011,0.00752,0.69954,5.07291
"45","2021_Q2",55.9039682539683,"Up",196933000,156812000,161552000,-4740000,40121000,284000,21624000,12792000,5421000,-48000,196885000,-96585000,-96585000,100300000,100300000,100300000,-19498000,80802000,80802000,80802000,80802000,878450000,6442066000,11113483000,-156446000,11269929000,322354000,524035000,437143000,19770552000,16104324000,10063884000,6040440000,996878000,132499000,241466000,17475167000,1496393000,719072000,79920000,2295385000,2295385000,19770552000,147745000,-1573000,-1573000,-1007586000,-164115000,-1178720000,-14530000,-7116000,1306824000,1276283000,245308000,245308000,245308000,1129377000,0.50931,0.4103,0.0352,0.00409,7.61317,0.05712,0.8464,0.84568,2.06286,24.04406,0.1522,0.00482,0.17982,2.50176
"46","2021_Q3",50.568125,"Down",190991000,155469000,159956000,-4487000,35522000,-61000,16106000,13795000,5682000,5653000,196644000,-100082000,-100082000,96562000,96562000,96562000,-18935000,77627000,77627000,77627000,77627000,921207000,7171873000,11086600000,-151448000,11238048000,315573000,524032000,418215000,20488033000,16760892000,10453098000,6307794000,995201000,132540000,245445000,18134078000,1497443000,766070000,90442000,2353955000,2353955000,20488033000,142340000,3008000,3008000,-723388000,-1320000,-724853000,-29612000,104000.000000007,656595000,625270000,42757000,42757000,42757000,1127741000,0.50558,0.40644,0.03298,0.00379,7.70366,0.05504,0.81314,0.81245,2.00062,24.65757,0.31018,0.00523,0.38147,2.13887
"47","2021_Q4",54.8134375,"Up",197428000,162613000,166741000,-4128000,34815000,-168000,13902000,15154000,5927000,-725000,196703000,-104108000,-104108000,92595000,92595000,92595000,-16976000,75619000,75619000,75619000,75619000,348888000,8518879000,11140282000,-153609000,11293891000,316191000,524034000,417700000,21314019000,17503314000,10870912000,6632402000,1040939000,132580000,249570000,18926403000,1498894000,811063000,77659000,2387616000,2387616000,21314019000,127225000,-5622000,3893262.69501524,-1375508000,-72138000,-1457356000,-30567000,115000,742451000,757812000,-572319000,-572319000,-572319000,1173519000,0.46901,0.38302,0.03167,0.00355,7.9269,0.05506,0.79173,0.79111,2.06708,24.99839,0.32004,0.00498,0.40422,8.90578
"48","2022_Q1",52.6059677419355,"Down",221984000,187622000,192825000,-5203000,34362000,-693000,11431000,17576000,6048000,-27956000,194028000,-134047000,-134047000,59981000,59981000,59981000,-9272000,50709000,50709000,50709000,50709000,437686000,10537684000,13259366000,-172665000,13432031000,372597000,995413000,181274000,25940645000,21337249000,13557961000,7779288000,1020794000,176714000,228266000,22763023000,2339921000,810342000,27359000,3177622000,3177622000,25940645000,154739000,-5249000,972630.805918791,-1921844000,-233555000,-545772000,-70848000,10423000,560434000,479831000,88797999.9999999,88797999.9999999,88797999.9999999,1197508000,0.2702,0.22844,0.01596,0.00195,7.16354,0.04616,0.45813,0.45771,2.0055,28.70808,0.64007,0.00469,1.39715,12.66771
"49","2022_Q2",46.1737096774194,"Down",219118000,185555000,190516000,-4961000,33563000,446000,9015000,17111000,6991000,-7031000,212087000,-130308000,-130308000,81779000,81779000,81779000,-13984000,67795000,67795000,67795000,67795000,436805000,10112704000,13554860000,-176159000,13731019000,373123000,998610000,454603000,26100324000,21697895000,13707892000,7990003000,958479000,212661000,297096000,23166131000,2340513000,841489000,-247809000,2934193000,2934193000,26100324000,78358000,-3864000,-3864000,-126366000,-310998000,-456283000,-11295000,91132000,360893000,377044000,-881000,-881000,-881000,1171140000,0.37322,0.3094,0.02311,0.0026,7.89523,0.04487,0.61228,0.61187,1.97894,26.49991,0.10201,0.00303,0.16661,8.97951
"50","2022_Q3",49.89921875,"Up",221718000,193438000,199637000,-6199000,28280000,-260000,4996000,17309000,6235000,1533000,223251000,-129521000,-129521000,93730000,93730000,93730000,-17338000,76392000,76392000,76392000,76392000,415406000,9997685000,14226792000,-172963000,14399755000,386198000,1018608000,451123000,26690005000,21783683000,13722379000,8061304000,968197000,712701000,329185000,23793766000,2342205000,881246000,-327212000,2896239000,2896239000,26690005000,138308000,-8832000,-8832000,-20835000,-679429000,-718772000,-36556000,499928000,86034000,559065000,-21399000,-21399000,-21399000,1680898000,0.42274,0.34455,0.02638,0.00286,8.2154,0.06298,0.68993,0.68946,2.00243,26.15713,0.33015,0.00423,0.47853,13.50146
