"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",138.972786885246,"Up",569972000,-360046000,209926000,-158072000,-138373000,-19699000,51854000,122000,122000,51976000,51980000,-61878000,-9898000,-9898000,-9898000,-9898000,259519000,244519000,26094000,26094000,324435000,46456000,46456000,656504000,258537000,25187000,12698000,12489000,283724000,940228000,373662000,210300000,41509000,121853000,395122000,71407000,71407000,71407000,466529000,260227000,-3.72529029846191e-09,226303000,-12831000,473699000,473699000,940228000,-9898000,19699000,47210000,27427000,84438000,-20775000,-152000.000000015,-20927000,-34940000,-33194000,-33194000,-75090000,-11579000,-11579000,-13224000,71553000,21460000,140083000,0.36831,0.09098,-0.01737,-0.0209,-0.01053,-14.15266,1.66152,0.98486,0.02282,-0.57075,-0.55185,32.86657,27.31513,8.07767,5,-0.00518999999999999,0.24725,-3.32703,-4.59095000000001
"33","2018_Q2",124.3134375,"Down",436314000,-276122000,160192000,-137134000,-119728000,-17406000,23058000,-297000,-297000,22761000,22761000,8776000,31537000,31537000,31537000,31537000,90121000,90121000,31960000,31960000,334680000,69569000,69569000,526330000,260762000,23835000,9986000,13849000,284597000,810927000,352899000,219488000,35924000,97487000,399699000,68091000,68091000,68091000,467790000,244416000,-1e+08,212731000,-14010000,343137000,343137000,810927000,31537000,17406000,12718000,-74406000,-12745000,-11065000,14667000,3602000,25340000,-162248000,-162248000,-145317000,-154460000,-154460000,-154398000,40464000,46800000,-53783000,0.36715,0.05285,0.07228,0.09191,0.03889,-1.70539,1.31682,1.36327,0.05771,1.8549,1.77834,25.66251,20.18216,-3.16333,3,0.08721,-0.11742,-1.07061,-1.87878
"34","2018_Q3",123.192857142857,"Down",448717000,-293912000,154805000,-144783000,-128188000,-16595000,10022000,-946000,-946000,9076000,9076000,-1590000.00000001,7486000.00000001,7486000.00000001,7486000.00000001,7486000.00000001,106405000,106405000,47622000,47622000,366461000,53224000,53224000,573712000,257055000,23577000,8484000,15093000,280632000,854344000,377047000,250184000,23619000,103244000,466382000,64839000,64839000,64839000,531221000,139991000,0,198581000,-15449000,323123000,323123000,854344000,7486000.00000001,16595000,10945000,-10970000,24056000,-16781000,-136000.000000004,-16917000,42535000,-25274000,-25274000,8952000,16091000,16091000,16284000,26617000,89335000,456000,0.34499,0.02233,0.01668,0.02317,0.00876000000000001,0.0609099999999994,1.23013,1.64402,0.10457,0.449990000000001,0.44786,26.97265,19.42312,0.0274099999999997,6,0.03309,0.000959999999999933,-0.64132,-1.70325
"35","2018_Q4",120.614920634921,"Down",522495000,-318091000,204404000,-141053000,-123649000,-17404000,63351000,-831000,-831000,62520000,63775000,-13861000,49914000,49914000,49914000,49914000,92950000,92950000,40111000,40111000,376858000,37467000,37467000,547386000,262380000,27487000,12722000,14765000,289867000,837253000,365862000,223607000,26672000,115583000,430862000,62933000,62933000,62933000,493795000,148441000,0,210751000,-15734000,343458000,343458000,837253000,49914000,17404000,3049000,1800000,72167000,-27658000,-148000,-27806000,-24334000,-25551000,-25551000,-58106000,-13745000,-13745000,-13455000,80755000,6.5e+07,68758000,0.39121,0.12125,0.09553,0.14533,0.05962,1.37753,1.27044,1.43772,0.07763,3.04465,3.02582,31.87111,20.95023,4.1941,6,0.12333,0.14586,-0.34611,-0.44119
"36","2019_Q1",88.6145901639344,"Down",530558000,-366363000,164195000,-144257000,-126778000,-17479000,19938000,325000,-730000,20263000,12912000,-889000,12023000,12023000,12023000,12023000,69136000,69136000,35123000,35123000,303466000,27670000,27670000,435395000,260357000,31294000,17750000,13544000,291651000,727046000,282538000,194786000,997000,86755000,331399000,81210000,62271000,81210000,412609000,148579000,0,180792000,-14934000,314437000,314437000,727046000,12023000,17479000,1930000,25004000,56436000,-15610000,-132000,-15742000,-16139000,-40470000,-40470000,-64712000,-24018000,-23269000,-23814000,37417000,48861000,47700000,0.30948,0.03758,0.02266,0.03824,0.01654,3.9674,1.31381,1.31222,0.0672,0.7451,0.73874,32.88039,19.48668,2.95612,6,0.04528,0.10731,-0.54187,-1.0169
"37","2019_Q2",99.7588888888889,"Up",412382000,-260406000,151976000,-146938000,-128354000,-18584000,5038000,-1711000,-1711000,3327000,3327000,1163000,4490000,4490000,4490000,4490000,66111000,66111000,39562000,39562000,341174000,27156000,27156000,474003000,249836000,562115000,15106000,547009000,811951000,1285954000,313347000,205643000,2452000,105252000,600202000,405378000,386439000,405378000,1005580000,151027000,0,144889000,-15542000,280374000,280374000,1285954000,4490000,18584000,50066000,-51955000,21185000,-11009000,517000,-86492000,104211000,-33319000,-33319000,61962000,-3345000,-3345000,-3025000,23622000,153072000,-40505000,0.36853,0.01222,0.01089,0.01601,0.00349,-9.02116,0.78974,3.58657,0.11903,0.28333,0.27876,26.02272,17.69256,-2.556,5,0.016,-0.04829,3.68136,17.26102
"38","2019_Q3",86.62515625,"Down",420469000,-281624000,138845000,-135010000,-116538000,-18472000,3835000,-2278000,-2278000,1557000,1557000,-35000,1522000,1522000,1522000,1522000,65357000,65357000,39638000,39638000,386174000,30258000,30258000,521427000,248777000,533333000,15590000,517743000,782110000,1303537000,350150000,236619000,5068000,108463000,674197000,380084000,361145000,380084000,1054281000,150712000,-2.3283064365387e-10,113789000,-15245000,249256000,249256000,1303537000,1522000,18472000,30739000,-48623000,2110000,-10831000,-145000,-10976000,43280000,-27067000,-27067000,7344000.00000001,-1522000,-1522000,-754000.000000002,22307000,196352000,-37112000,0.33021,0.00912,0.00362,0.00611,0.00117,-24.38371,0.7734,4.22971,0.15063,0.09623,0.09597,26.58336,15.75874,-2.34634,4,0.01258,-0.04495,5.87237,34.15776
"39","2019_Q4",72.3040625,"Down",524796000,-326671000,198125000,-140174000,-121353000,-18821000,57951000,-2155000,-2155000,55796000,55796000,-12748000,43048000,43048000,43048000,43048000,66059000,66059000,39471000,39471000,389815000,20722000,20722000,516067000,246234000,523421000,17615000,505806000,769655000,1285722000,352138000,235491000,7171000,109476000,660598000,370685000,351746000,370685000,1031283000,146750000,0,121131000,-13442000,254439000,254439000,1285722000,43048000,18821000,47361000,-31959000,77271000,-20556000,-150000,-21657000,-12173000,-33377000,-33377000,-54231000,1383000,1790000,702000,76772000,184179000,37005000,0.37753,0.11043,0.08203,0.16919,0.03348,0.85962,0.78121,4.05316,0.14325,2.77801,2.76925,33.86655,16.41966,2.38804,4,0.06392,0.04572,1.53858,2.03827
"40","2020_Q1",53.0167741935484,"Down",513020000,-346661000,166359000,-130786000,-111875000,-18911000,35573000,-1797000,-1797000,33776000,27737000,-3497000,24240000,24240000,24240000,24240000,68487000,68487000,32812000,32812000,327165000,21416000,21416000,449880000,236898000,494619000,12941000,481678000,731517000,1181397000,302331000,213115000,5607000,83609000,595007000,351203000,333614000,351203000,946210000,140517000,-1.45519152283669e-11,108215000,-13545000,235187000,235187000,1181397000,24240000,18911000,48691000,-14506000,77336000,-15106000,-119000,-15225000,-13371000,-37630000,-37630000,-59449000,2662000,2428000,2428000,54484000,170808000,28369000,0.32427,0.06934,0.04725,0.10307,0.02052,1.17034,0.75609,4.02322,0.14458,1.61299,1.60519,34.13761,15.64992,1.88774,6,0.04317,0.03747,1.878,2.87637
"41","2020_Q2",33.9931746031746,"Down",255207000,-274880000,-19673000,-116379000,-98491000,-17888000,-136052000,-1840000,-1840000,-137892000,-174983000,60173000,-114810000,-114810000,-114810000,-114810000,71751000,71751000,37173000,37173000,335795000,23521000,23521000,468240000,212011000,504685000,68573000,363022000,716696000,1184936000,373983000,263984000,2629000,107370000,7.59e+08,320901000,320901000,320901000,1079901000,136786000,0,-16838000,-14913000,105035000,105035000,1184936000,-114810000,17888000,11443000,45028000,-40451000,-5733000,121000,-5612000,63746000,-14559000,-14559000,49187000,3124000,3264000,3264000,-118164000,234554000,-139042000,-0.07709,-0.5331,-0.44987,-1.09306,-0.09689,1.21106,0.61692,10.28134,0.19795,-7.85778,-7.85778,17.46677,7.18876,-9.51625,2,-0.17383,-0.21051,-1.37777,-1.19662
"42","2020_Q3",27.4428125,"Down",368923000,-301843000,67080000,-131020000,-114312000,-16708000,-63940000,-2639000,-2639000,-66579000,-67123000,20484000,-46639000,-46639000,-46639000,-46639000,36119000,36119000,29634000,29634000,381022000,23085000,23085000,469860000,200963000,497116000,91926000,332298000,698079000,1167939000,397792000,279014000,5666000,113112000,809542000,296882000,296882000,296882000,1106424000,139814000,0,-63862000,-14437000,61515000,61515000,1167939000,-46639000,16708000,8818000,-21640000,-42753000,-8535000,38000,-8497000,16263000,-885000.000000002,-885000,15378000,-35872000,-35632000,-35632000,-47232000,250818000,-97891000,0.18183,-0.17332,-0.12642,-0.75817,-0.03993,2.09891,0.5804,17.98625,0.21475,-3.18681,-3.18681,25.20827,4.20328,-6.68883,2,-0.07656,-0.16068,-4.54563,-3.35782
"43","2020_Q4",36.38578125,"Up",425571000,-279506000,146065000,-122448000,-106639000,-15809000,23617000,-3263000,-3263000,20354000,20060000,-6740000,13320000,13320000,13320000,13320000,64456000,64456000,31376000,31376000,427629000,16159000,16159000,539620000,191544000,475779000,93697000,309390000,667323000,1206943000,424795000,283943000,7445000,133407000,776759000,276508000,276508000,352815000,1129574000,143077000,0,-50538000,-15170000,77369000,77369000,1206943000,13320000,15809000,26259000,-22915000,32473000,-9495000,52000,-9443000,7293000,-8000,-8000,6121000,29151000,28337000,28337000,39426000,256995000,13756000,0.34322,0.05549,0.0313,0.17216,0.01104,1.03273,0.69471,14.59983,0.21293,0.90996,0.90996,29.07303,5.28549,0.93975,4,0.0218,0.02252,4.88355,8.15256
"44","2021_Q1",70.0532786885246,"Up",472897000,-333118000,139779000,-124792000,-108792000,-1.6e+07,14987000,-4101000,-4101000,10886000,10288000,-2524000,7764000,7764000,7764000,7764000,63548000,63548000,39534000,39534000,388141000,55860000,55860000,547083000,181801000,411243000,45579000,293172000,593044000,1140127000,374136000,252124000,5508000,116504000,718499000,252905000,252905000,328251000,1046750000,149983000,0,-42790000,-13816000,93377000,93377000,1140127000,7764000,1.6e+07,87629000,-96379000,15014000,-6822000,-7.27595761418343e-12,-6822000,-9695000,-37999.9999999999,-38000,-9757000,-1565000,-908000,-908000,30987000,245124000,-69690000,0.29558,0.03169,0.01642,0.08315,0.00681,-8.97604,0.76142,11.20993,0.215,0.53033,0.53033,32.30171,6.37821,-4.76025,5,0.01313,-0.11784,5.85975,12.11557
"45","2021_Q2",84.9420634920635,"Up",435481000,-247275000,188206000,-122299000,-106738000,-15561000,65907000,-4411000,-4411000,61496000,61496000,-16291000,45205000,45205000,45205000,45205000,65376000,65376000,42619000,42619000,417808000,50594000,50594000,576397000,172090000,379180000,37433000,269455000,551270000,1127667000,347471000,228149000,6418000,112904000,673434000,234697000,234697000,309223000,982657000,157377000,0,563000,-12930000,145010000,145010000,1127667000,45205000,15561000,43353000,-120681000,-16562000,-6726000,18000,-6708000,27115000,-2374000,-2374000,24450000,1180000,1828000,1828000,81468000,271419000,-29648000,0.43218,0.15134,0.1038,0.31174,0.04009,-0.65586,0.85591,6.77648,0.24069,3.08967,3.08967,29.76427,9.91115,-2.02638,5,0.06943,-0.04553,2.52913,3.12627
"46","2021_Q3",88.6675,"Up",413855000,-245994000,167861000,-130012000,-115620000,-14392000,37849000,-4696000,-4696000,33153000,33153000,-9058000,24095000,24095000,24095000,24095000,63982000,63982000,38864000,38864000,461391000,45011000,45011000,609248000,165558000,353642000,36362000,245188000,519200000,1128448000,377506000,227579000,19475000,130452000,687334000,198720000,198720000,272929000,960263000,165773000,1.16415321826935e-10,15697000,-13285000,168185000,168185000,1128448000,24095000,14392000,37297000,-62519000,13265000,-6770000,13000,-6757000,2944000.00000001,-11091000,-11091000,-8214000,-1706000,-2354000,-1394000,52241000,274046000,-7990000,0.4056,0.09145,0.05822,0.14326,0.02135,-0.331599999999999,0.88639,5.70956,0.24285,1.63633,1.60291,28.1056,11.42173,-0.54261,6,0.03759,-0.01247,4.02106,5.55005
"47","2021_Q4",87.9165625,"Down",558225000,-313394000,244831000,-129767000,-115563000,-14204000,115064000,-3959000,-3959000,111105000,109851000,-30983000,78868000,78868000,78868000,78868000,67062000,67062000,38758000,38758000,441817000,59628000,59628000,607265000,159243000,321858000,27801000,222165000,481101000,1088366000,327622000,173055000,10701000,143866000,624398000,192828000,192828000,241720000,866118000,165457000,-3373000,69753000,-9589000,222248000,222248000,1088366000,78868000,14204000,41133000,-63460000,70745000,-8504000,17000,-8487000,-26454000,-31722000,-31722000,-58184000,4074000,4074000,3080000,129268000,251546000,88287000,0.43859,0.20612,0.14128,0.35486,0.07246,1.11943,0.97256,3.89708,0.23112,5.35606,5.24667,37.91002,15.09324,5.99572,7,0.11831,0.13244,1.42714,1.60332
"48","2022_Q1",63.6106451612903,"Down",507803000,-313961000,193842000,-135508000,-121248000,-14260000,58334000,-5552000,-5552000,52782000,52530000,-13527000,39003000,39003000,39003000,39003000,54787000,54787000,21863000,21863000,428813000,76075000,76075000,581538000,155006000,300916000,23109000,206115000,455922000,1037460000,325411000,183758000,10984000,130669000,591826000,170477000,170477000,220162000,811988000,161744000,-3443000,77914000,-10743000,225472000,225472000,1037460000,39003000,14260000,42141000,-29576000,65828000,-7307000,-31000,-7338000,-29904000,-38787000,-38787000,-70793000,-12303000,-12309000,-12275000,72594000,225003000,49238000,0.38173,0.11488,0.07681,0.17298,0.03759,1.26242,0.98262,3.60128,0.21688,2.66578,2.66578,34.70733,15.41057,3.36532,9,0.06281,0.07929,2.34477,2.91796
"49","2022_Q2",47.0346774193548,"Down",362350000,-220445000,141905000,-122651000,-109036000,-13615000,19254000,-1705000,-1705000,17549000,17549000,2282000,19831000,19831000,19831000,19831000,58494000,58494000,28812000,28812000,549167000,50990000,50990000,687463000,157033000,300530000,24568000,204470000,457563000,1145026000,378561000,260634000,6001000,111926000,717671000,163969000,163969000,213671000,931342000,156439000,0,71913000,-14668000,213684000,213684000,1145026000,19831000,13615000,25693000,-77976000,-18837000,-10723000,-260000,-10983000,74226000,-40370000,-40370000,33856000,4036000,3707000,3707000,32869000,299246000,-58112000,0.39162,0.05314,0.05473,0.09281,0.01732,-2.93036,0.95791,4.3585,0.26134,1.3898,1.36361,25.39421,14.9754,-4.0726,4,0.0293,-0.08585,7.32459,12.504
"50","2022_Q3",42.028125,"Down",380885000,-265422000,115463000,-127913000,-114672000,-13241000,-12450000,-2589000,-2589000,-15039000,-16418000,3120000,-13298000,-13298000,-13298000,-13298000,28193000,28193000,44445000,44445000,616436000,59383000,59383000,748457000,154738000,271263000,20013000,179958000,426001000,1174458000,449102000,303776000,21407000,123919000,812022000,128537000,128537000,178255000,990277000,153263000,0,45532000,-14614000,184181000,184181000,1174458000,-13298000,13241000,31842000,-65737000,-33952000,-8043000,-97000,-8140000,34388000,-22530000,-22530000,11858000,-30234000,-29905000,-30301000,791000,333649000,-76109000,0.30314,-0.03269,-0.03491,-0.0722,-0.01132,5.72334,0.92172,5.37665,0.28409,-1.01149,-1.01149,28.97125,14.00936,-5.78908,3,-0.02057,-0.11775,386.16435,-24.53462
