"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",17.66828125,"Up",36658000,-27545000,9113000,-7088000,-7088000,2025000,-225000,1800000,1800000,-372000,1428000,1428000,1428000,1428000,486000,486000,21875000,21875000,13310000,2345000,1240000,1105000,38016000,17691000,38803000,5115000,32739000,949000,56494000,94510000,16471000,12303000,3757000,18614000,19402000,3623000,1919000,23025000,41639000,18796000,34451000,-376000,52871000,52871000,94510000,1428000,1567000,331000,-264000,3062000,-1918000,-1918000,-1306000,-77000,66000,-143000,-1383000,-239000,-239000,148000,-91000,3592000,21545000,1782000,0.2486,0.05524,0.03895,0.02701,0.01511,1.2479,2.04233,0.78756,0.22797,0.19897,0.19199,5.10771,7.36673,0.24829,0.0183,0.02283,5.86275,10.39951
"34","2018_Q3",22.7604761904762,"Up",38879000,-29740000,9139000,-6963000,-6963000,2176000,-195000,1981000,1981000,-493000,1488000,1488000,1488000,1488000,571000,571000,24053000,24053000,14161000,2850000,1227000,1623000,41635000,19591000,41187000,6197000,34120000,870000,60778000,102413000,18687000,12903000,5160000,20830000,23153000,3564000,1856000,26717000,47547000,19200000,35940000,-274000,54866000,54866000,102413000,1488000,1500000,354000,-1539000,1803000,-1785000,-5399000,3752000,66000,66000,0,3818000,222000,222000,-137000,85000,3676000,25296000,845000,0.23506,0.05597,0.03827,0.02712,0.01453,0.56788,1.9988,0.8666,0.247,0.20675,0.1975,5.40211,7.62345,0.11741,0.01777,0.01009,6.72606,11.36259
"35","2018_Q4",20.6307936507937,"Down",40868000,-31320000,9548000,-7154000,-7154000,2394000,-295000,2099000,2099000,-530000,1569000,1569000,1569000,1569000,820000,820000,24583000,24583000,13632000,2654000,1405000,1249000,41689000,19373000,40955000,5703000,34419000,833000,60328000,102017000,17412000,11440000,5159000,19308000,22654000,3537000,1848000,26191000,45499000,19624000,37509000,-615000,56518000,56518000,102017000,1569000,1666000,392000,-1246000,2381000,-1749000,-1749000,-746000,61000,61000,0,-793000,-161000,-161000,410000,249000,4060000,24550000,1595000,0.23363,0.05858,0.03839,0.02776,0.01538,1.01657,2.15916,0.80504,0.24065,0.21786,0.20842,5.67453,7.84754,0.22147,0.01855,0.01885,5.84483,9.91228
"36","2019_Q1",22.5570491803279,"Up",44493000,-32950000,11543000,-7909000,-7909000,3634000,-279000,3355000,3355000,-695000,2660000,2660000,2660000,2660000,788000,788000,27469000,27469000,14304000,2445000,1329000,1116000,45006000,19653000,40571000,5233000,34545000,793000,60224000,105230000,20250000,14572000,5450000,22149000,19103000,4348000,1898000,23451000,45600000,20072000,40169000,-611000,59630000,59630000,105230000,2660000,1628000,1296000,-269000,5315000,-1530000,-1530000,-3548000,90000,92000,-2000,-3658000,127000,127000,-159000,-32000,5262000,21002000,4158000,0.25943,0.08168,0.05978,0.04461,0.02528,1.56316,2.03197,0.76472,0.19958,0.36903,0.35185,6.17272,8.27275,0.57686,0.0313,0.04893,3.84151,5.56247
"37","2019_Q2",24.4919047619048,"Up",42395000,-32343000,10052000,-8094000,-8094000,1958000,-285000,1673000,1673000,45000,1718000,1718000,1718000,1718000,621000,621000,26688000,26688000,15937000,3014000,1650000,1364000,46260000,19113000,48290000,4787000,34958000,8545000,67403000,113663000,20096000,13187000,6784000,22015000,20439000,10506000,8044000,30945000,52960000,20056000,41129000,-482000,60703000,60703000,113663000,1718000,1622000,555000,-3021000,874000,-1262000,-1262000,1356000,-977000,369000,-1346000,379000,-9000,-9000,-158000,-167000,3580000,22358000,-748000,0.2371,0.04618,0.04052,0.0283,0.01511,-0.43539,2.10129,0.87244,0.1967,0.23674,0.22934,5.84195,8.36475,-0.10307,0.01836,-0.00799,6.07179,11.10163
"38","2019_Q3",23.60390625,"Down",41763000,-31318000,10445000,-7386000,-7386000,3059000,-297000,2762000,2762000,-383000,2379000,2379000,2379000,2379000,920000,920000,26699000,26699000,15325000,3397000,2409000,988000,46341000,21189000,47475000,4341000,34889000,8245000,68664000,115005000,17428000,11139000,6289000,19368000,22722000,10259000,7799000,32981000,52349000,20686000,42507000,-537000,62656000,62656000,115005000,2379000,1681000,201000,-2301000,1960000,-2602000,-3538000,2304000,-473000,1003000,-1476000,1831000,253000,253000,46000,299000,4740000,24662000,220000,0.2501,0.07325,0.05696,0.03797,0.02069,0.0924800000000001,2.39266,0.8355,0.21444,0.3246,0.32188,5.69832,8.54905,0.0300200000000002,0.02438,0.00225,5.00886,7.76136
"39","2019_Q4",30.44203125,"Up",43179000,-33251000,9928000,-7837000,-7837000,2091000,-194000,1897000,1897000,-420000,1477000,1477000,1477000,1477000,204000,204000,26718000,26718000,14452000,3233000,1920000,1313000,44607000,20646000,48758000,3955000,34961000,9842000,69404000,114011000,17781000,10893000,6848000,19741000,17748000,11738000,9266000,29486000,49227000,21244000,43984000,-444000,64784000,64784000,114011000,1477000,1648000,440000,1836000,5401000,-953000,-1333000,-4954000,253000,253000,0,-4701000,-633000,-633000,-83000,-716000,3739000,19708000,5042000,0.22993,0.04843,0.03421,0.0228,0.01295,3.41368,2.25961,0.75986,0.17286,0.20062,0.1962,5.86512,8.79978,0.68487,0.01535,0.0524,5.21637,9.32759
"40","2020_Q1",29.9967741935484,"Down",45762000,-33709000,12053000,-8311000,-8311000,3742000,-344000,3398000,3398000,-905000,2493000,2493000,2493000,2493000,499000,499000,30952000,30952000,14180000,2829000,1697000,1132000,48460000,20833000,58829000,7977000,41540000,9312000,79662000,128122000,18940000,11947000,6907000,20922000,28362000,11751000,8726000,40113000,61035000,21620000,46477000,-1010000,67087000,67087000,128122000,2493000,1708000,1094000,-1969000,3326000,-1578000,-14109000,10636000,102000,102000,2.3283064365387e-10,10738000,-45000,-45000,340000,295000,5450000,30344000,2808000,0.26338,0.08177,0.05448,0.03716,0.01946,1.12635,2.31622,0.90979,0.23684,0.33799,0.33072,6.20418,9.09531,0.38069,0.02283,0.02572,5.47615,7.97568
"41","2020_Q2",26.0384126984127,"Down",38904000,-29495000,9409000,-8445000,-8445000,964000,-243000,721000,721000,77000,798000,798000,798000,798000,366000,366000,27849000,27849000,14194000,2836000,1942000,894000,45245000,20871000,58047000,7349000,41681000,9017000,78918000,124163000,15914000,9326000,6588000,17917000,26524000,12266000,9217000,38790000,56707000,21712000,46591000,-847000,67456000,67456000,124163000,798000,1872000,896000,476000,4042000,-1261000,-1261000,-1817000,-904000,383000,-1287000,-2721000,60000,60000,-193000,-133000,2836000,28527000,1974000,0.24185,0.02478,0.02051,0.01183,0.00643,2.47368,2.52526,0.84065,0.22975,0.10793,0.1062,5.26156,9.12307,0.26697,0.00737,0.01824,9.92983,29.21266
"42","2020_Q3",28.46375,"Up",41607000,-30113000,11494000,-8416000,-8416000,3078000,-317000,2761000,2761000,-737000,2024000,2024000,2024000,2024000,962000,962000,27647000,27647000,13685000,3086000,2369000,717000,45380000,21475000,59205000,6737000,41773000,10695000,80680000,126060000,18611000,11055000,7118000,20635000,20709000,14614000,11542000,35323000,55958000,22169000,48615000,-682000,70102000,70102000,126060000,2024000,1864000,420000,4126000,8434000,-1855000,-1855000,-5794000,91000,91000,0,-5703000,876000,876000,-280000,596000,4942000,22733000,7950000,0.27625,0.07398,0.04865,0.02887,0.01606,3.92787,2.19918,0.79824,0.18033,0.27292,0.26858,5.61044,9.4528,1.07201,0.01884,0.07399,4.4053,7.0731
"43","2020_Q4",31.345625,"Up",44062000,-32817000,11245000,-8726000,-8726000,2519000,-219000,2300000,2300000,-539000,1761000,1761000,1761000,1761000,1034000,1034000,30562000,30562000,12437000,3177000,2317000,860000,47210000,21292000,62268000,7325000,43945000,10998000,83560000,130770000,17989000,9844000,7856000,20035000,22317000,15911000,12811000,38228000,58263000,22541000,50376000,-410000,72507000,72507000,130770000,1761000,1860000,398000,-848000,3171000,-1179000,-4626000,1630000,175000,175000,0,1805000,350000,350000,-278000,72000,4379000,24363000,2891000,0.25521,0.05717,0.03997,0.02429,0.01347,1.64168,2.35638,0.80355,0.1863,0.23685,0.23337,5.92629,9.75212,0.38884,0.01561,0.02563,5.32747,9.26121
"44","2021_Q1",42.8765573770492,"Up",48762000,-34792000,13970000,-9458000,-9458000,4512000,-312000,4200000,4200000,-992000,3208000,3208000,3208000,3208000,560000,560000,33950000,33950000,11636000,2782000,2354000,428000,48928000,22203000,60985000,7513000,43272000,10200000,83188000,132116000,23075000,12276000,10417000,25142000,17494000,14402000,11201000,31896000,57038000,23016000,52513000,-451000,75078000,75078000,132116000,3208000,1984000,747000,2053000,7992000,-2305000,-2409000,-4802000,-1234000,528000,-1762000,-6036000,-453000,-453000,-21000,-474000,6496000,19561000,7236000,0.28649,0.09253,0.06579,0.04273,0.02428,2.25561,1.94607,0.75972,0.14806,0.43264,0.42592,6.57613,10.12515,0.97586,0.02942,0.06636,2.92503,4.21121
"45","2021_Q2",52.0880952380952,"Up",47790000,-34270000,13520000,-9831000,-9831000,3689000,-195000,3494000,3494000,194000,3688000,3688000,3688000,3688000,254000,254000,33324000,33324000,11642000,3519000,3139000,380000,48739000,22172000,60228000,6901000,43904000,9423000,82400000,131139000,18515000,11203000,7312000,20604000,20107000,13721000,10498000,33828000,54432000,23366000,53610000,-269000,76707000,76707000,131139000,3688000,1990000,799000,-4422000,2055000,-1203000,-2134000,2635000,-2678000,699000,-3377000,-43000,-122000,-122000,-184000,-306000,5679000,22196000,-140000,0.2829,0.07719,0.07717,0.04808,0.02812,-0.03796,2.36551,0.70961,0.16926,0.49411,0.48571,6.40273,10.27693,-0.01876,0.03275,-0.00124,3.86371,5.94795
"46","2021_Q3",63.7959375,"Up",50387000,-35776000,14611000,-11033000,-11033000,3578000,-250000,3328000,3328000,-313000,3015000,3015000,3015000,3015000,2551000,2551000,36464000,36464000,10205000,4553000,4105000,448000,53773000,23034000,81506000,12753000,59441000,9312000,104540000,158313000,19438000,10983000,8455000,21572000,40917000,15080000,10166000,55997000,77569000,26472000,54774000,-502000,80744000,80744000,158313000,3015000,2141000,848000,-557000,5447000,-2567000,-22546000,20855000,-1733000,539000,-2272000,19122000,2023000,2023000,274000,2297000,5719000,43051000,2908000,0.28998,0.07101,0.05984,0.03734,0.01904,0.96451,2.49272,0.96068,0.27194,0.40297,0.39865,6.73443,10.79177,0.38867,0.02171,0.02094,7.08166,11.31917
"47","2021_Q4",84.273125,"Up",50902000,-37266000,13636000,-11275000,-11275000,2361000,-136000,2225000,2225000,-596000,1629000,1629000,1629000,1629000,2779000,2779000,34702000,34702000,13868000,6200000,5572000,628000,57549000,23781000,80270000,11503000,59133000,9634000,104051000,161600000,22479000,12965000,9514000,24619000,38616000,15467000,10555000,54083000,78702000,27212000,56403000,-717000,82898000,82898000,161600000,1629000,2768000,569000,-90000,4876000,-2079000,-2079000,-2295000,116000,116000,0,-2179000,618000,618000,-390000,228000,5129000,40756000,3556000,0.26789,0.04638,0.032,0.01965,0.01008,2.18293,2.33758,0.94938,0.2522,0.21945,0.21582,6.85734,11.16772,0.47905,0.01171,0.02556,7.40437,16.08513
"48","2022_Q1",81.3017741935484,"Down",55880000,-39208000,16672000,-12157000,-12157000,4515000,-372000,4143000,4143000,-1095000,3048000,3048000,3048000,3048000,1396000,1396000,39737000,39737000,12712000,5859000,5301000,558000,59704000,26439000,91619000,14692000,65074000,11853000,118058000,177762000,25549000,14171000,11378000,27710000,46291000,17585000,10861000,63876000,91586000,27665000,58744000,-233000,86176000,86176000,177762000,3048000,2668000,794000,-1270000,5240000,-4194000,-13092000,7696000,-902000,132000,-1034000,6794000,-1058000,-1058000,-325000,-1383000,7183000,48452000,2814000,0.29835,0.0808,0.05455,0.03537,0.01715,0.92323,2.1546,1.06278,0.27257,0.41062,0.40382,7.52795,11.60932,0.37909,0.02002,0.01849,6.55102,10.42215
"49","2022_Q2",69.1148387096774,"Down",54661000,-38623000,16038000,-12434000,-12434000,3604000,-156000,3448000,3448000,-376000,3072000,3072000,3072000,3072000,443000,443000,38031000,38031000,14936000,5386000,4853000,533000,58796000,27186000,96057000,16036000,66645000,13376000,123243000,182039000,21551000,12967000,8584000,23734000,49595000,19158000,12457000,68753000,92487000,28692000,61546000,-686000,89552000,89552000,182039000,3072000,2641000,903000,-4573000,2043000,-2389000,-6429000,3326000,-216000,221000,-437000,3110000,-1276000,-1276000,323000,-953000,6245000,51778000,-341000,0.29341,0.06593,0.0562,0.0343,0.01688,-0.111,2.47729,1.03277,0.28443,0.40856,0.40141,7.26972,11.91009,-0.04535,0.01914,-0.00212,8.22018,14.2439
"50","2022_Q3",69.10921875,"Down",56439000,-39672000,16767000,-13141000,-13141000,3626000,-537000,3089000,3089000,-732000,2357000,2357000,2357000,2357000,909000,909000,39744000,39744000,16764000,5199000,4419000,780000,62616000,27770000,96335000,14880000,66118000,15337000,124105000,186721000,22685000,13599000,9086000,24890000,48608000,20895000,14225000,69503000,94393000,29949000,63903000,-1524000,92328000,92328000,186721000,2357000,2778000,1113000,-3056000,3192000,-2373000,-2373000,-964999.999999999,143000,143000,0,-822000,-3000,-3000,469000,466000,6404000,50813000,1707000,0.29708,0.06425,0.04176,0.02553,0.01262,0.72423,2.51571,1.02237,0.27213,0.31281,0.30895,7.49025,12.25322,0.22654,0.01437,0.01041,7.79263,13.76282
