"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","investment_securities_available_for_sale","investment_securities_held_to_maturity","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",15.9334426229508,"Up",1.578e+09,7.25e+08,8.27e+08,-1.02e+08,8.53e+08,6.3e+07,3.36e+08,4.45e+08,4.4e+07,1.622e+09,-1.07e+09,-1.07e+09,5.52e+08,5.52e+08,5.52e+08,-2.16e+08,3.36e+08,3.35e+08,3.35e+08,-1.6e+07,3.19e+08,2.012e+09,1.969e+09,1.899e+09,2.5061e+10,2.3403e+10,1.658e+09,7.9013e+10,-9.34e+08,7.9947e+10,2.064e+09,1.77e+08,4.904e+09,3.37e+08,8.757e+09,1.24294e+11,9.6889e+10,6.0762e+10,3.6127e+10,8.132e+09,2.581e+09,1.08102e+11,8.2e+08,1.587e+10,1.2e+07,1.5858e+10,-1.377e+09,1.628e+09,-7.49e+08,1.6192e+10,1.6192e+10,1.24294e+11,3.35e+08,1.27e+08,-4.4e+07,9.26e+08,-1.067e+09,2.77e+08,-2.9e+07,-6.87e+08,-7e+07,-7.86e+08,-1.6e+07,1.954e+09,-7.02e+08,7.29e+08,2.2e+08,2.2e+08,2.2e+08,6.79e+08,8.632e+09,0.34981,0.20215,0.0197,0.00257,6.67626,0.06945,0.27715,0.27429,1.37098,13.35534,0.0139,0.0027,0.05016,9.74963,11.99275
"33","2018_Q2",15.81984375,"Down",1.432e+09,7.29e+08,8.51e+08,-1.22e+08,7.03e+08,1.54e+08,3.33e+08,2.13e+08,1e+07,1.442e+09,-9e+08,-9e+08,5.42e+08,5.42e+08,5.42e+08,-1.28e+08,4.14e+08,4.14e+08,4.14e+08,-1.6e+07,3.98e+08,1.766e+09,1.419e+09,1.419e+09,2.4696e+10,2.3085e+10,1.611e+09,7.8982e+10,-8.4e+08,7.9822e+10,2.065e+09,1.67e+08,4.904e+09,3.28e+08,8.586e+09,1.22913e+11,9.699e+10,6.0055e+10,3.6935e+10,7.949e+09,2.108e+09,1.07047e+11,8.2e+08,1.5651e+10,1.2e+07,1.5639e+10,-1.377e+09,1.923e+09,-1.151e+09,1.5866e+10,1.5866e+10,1.22913e+11,4.14e+08,1.21e+08,-1e+07,5.73e+08,-9.44e+08,1.54e+08,-2.5e+07,3.8e+07,-5.7e+07,-4.4e+07,-1.18e+08,-6.5e+08,1.01e+08,-9.06e+08,-7.96e+08,-7.96e+08,-7.96e+08,6.63e+08,7.949e+09,0.37849,0.27793,0.02509,0.00324,6.74694,0.06467,0.35315,0.34882,1.27063,13.35049,0.1047,0.0042,0.29648,9.32579,11.40775
"34","2018_Q3",15.988253968254,"Up",1.452e+09,7.45e+08,8.81e+08,-1.36e+08,7.07e+08,1.57e+08,4.52e+08,9.4e+07,-6e+07,1.392e+09,-9.25e+08,-9.25e+08,4.67e+08,4.67e+08,4.67e+08,-8.9e+07,3.78e+08,3.75e+08,3.75e+08,-1.6e+07,3.59e+08,1.844e+09,2.442e+09,2.442e+09,2.4503e+10,2.2935e+10,1.568e+09,7.964e+10,-8.38e+08,8.0478e+10,2.05e+09,1.56e+08,4.904e+09,3.47e+08,8.671e+09,1.24557e+11,9.5283e+10,5.9228e+10,3.6055e+10,9.89e+09,2.207e+09,1.0878e+11,8.2e+08,1.5401e+10,1.2e+07,1.5389e+10,-1.371e+09,2.182e+09,-1.255e+09,1.5777e+10,1.5777e+10,1.24557e+11,3.75e+08,1.18e+08,6e+07,9.18e+08,-9.65e+08,5.06e+08,8.7e+07,-7.4e+08,-1.7e+07,-6.7e+08,-1.17e+08,3.349e+09,-1.707e+09,1.265e+09,1.101e+09,1.101e+09,1.101e+09,5.85e+08,1.129e+10,0.32163,0.24725,0.02275,0.00288,6.89485,0.09064,0.32082,0.31826,1.29759,13.3664,0.10456,0.00382,0.32591,16.14701,20.22698
"35","2018_Q4",13.7471428571429,"Down",1.475e+09,7.63e+08,9.19e+08,-1.56e+08,7.12e+08,3.07e+08,2.42e+08,1.59e+08,-8.4e+07,1.391e+09,-9.36e+08,-9.36e+08,4.55e+08,4.55e+08,4.55e+08,-8.5e+07,3.7e+08,5.64e+08,5.64e+08,-1.6e+07,5.48e+08,1.911e+09,1.584e+09,1.584e+09,2.4195e+10,2.2671e+10,1.524e+09,8.0981e+10,-8.4e+08,8.1821e+10,2.051e+09,1.22e+08,4.829e+09,3.6e+08,8.545e+09,1.24578e+11,9.3255e+10,5.7901e+10,3.5354e+10,1.1178e+10,2.125e+09,1.09808e+11,8.2e+08,1.4133e+10,1.1e+07,1.4122e+10,-1.371e+09,2.582e+09,-1.394e+09,1.477e+10,1.477e+10,1.24578e+11,5.64e+08,1.16e+08,8.4e+07,9.33e+08,-1.086e+09,6.11e+08,6.5e+07,-1.447e+09,2.62e+08,-1.12e+09,-1.17e+08,3.151e+09,-2.028e+09,-2.82e+08,-7.91e+08,-7.91e+08,-7.91e+08,5.71e+08,1.4428e+10,0.30847,0.37153,0.0371,0.0044,7.43453,0.11581,0.5046,0.50046,1.3582,12.8453,0.10773,0.00534,0.2135,21.92119,27.50989
"36","2019_Q1",13.2303278688525,"Down",1.395e+09,7.89e+08,9.77e+08,-1.88e+08,6.06e+08,-4.15e+08,3.56e+08,5.1e+07,-9.5e+07,1.3e+09,-8.09e+08,-8.09e+08,4.91e+08,4.91e+08,4.91e+08,-8.5e+07,4.06e+08,4.06e+08,4.06e+08,-1.6e+07,3.9e+08,2.018e+09,1.52e+09,1.52e+09,2.4211e+10,2.2729e+10,1.482e+09,8.2312e+10,-8.4e+08,8.3152e+10,2.045e+09,1.15e+08,4.829e+09,3.75e+08,8.263e+09,1.25688e+11,9.4491e+10,5.9438e+10,3.5053e+10,1.2424e+10,2.083e+09,1.10598e+11,8.2e+08,1.3777e+10,1.1e+07,1.3766e+10,-1.371e+09,2.828e+09,-9.64e+08,1.509e+10,1.509e+10,1.25688e+11,4.06e+08,1.07e+08,9.5e+07,8.98e+08,-5.02e+08,1.004e+09,2.74e+08,-1.428e+09,-4.14e+08,-1.211e+09,-1.64e+08,-4.51e+08,1.236e+09,2.5e+08,4.3e+07,4.3e+07,4.3e+07,5.98e+08,1.4024e+10,0.35197,0.27957,0.02584,0.0031,7.32922,0.11158,0.37645,0.37356,1.34653,13.77413,0.1583,0.00441,0.42051,20.07692,24.45214
"37","2019_Q2",12.8719047619048,"Down",1.462e+09,7.76e+08,9.99e+08,-2.23e+08,6.86e+08,2e+08,3.41e+08,1.45e+08,-9.1e+07,1.371e+09,-8.72e+08,-8.72e+08,4.99e+08,4.99e+08,4.99e+08,-1.05e+08,3.94e+08,3.94e+08,3.94e+08,-1.6e+07,3.78e+08,1.666e+09,2.141e+09,2.141e+09,2.5237e+10,2.3786e+10,1.451e+09,8.3577e+10,-8.53e+08,8.443e+10,2.026e+09,1.08e+08,4.829e+09,3.88e+08,8.83e+09,1.28802e+11,9.572e+10,6.0945e+10,3.4775e+10,1.2957e+10,3.002e+09,1.13279e+11,8.2e+08,1.3595e+10,1.1e+07,1.3584e+10,-1.371e+09,3.066e+09,-5.98e+08,1.5512e+10,1.5523e+10,1.28802e+11,3.94e+08,1.05e+08,9.1e+07,4.97e+08,-5.12e+08,5.75e+08,-2.73e+08,-1.369e+09,-4.4e+07,-1.686e+09,-1.59e+08,5e+08,1.229e+09,1.38e+09,2.69e+08,2.69e+08,2.69e+08,6.04e+08,1.4557e+10,0.34131,0.25855,0.02435,0.00293,7.29749,0.11302,0.37095,0.3677,1.43474,14.41806,0.15604,0.00417,0.42063,21.34272,25.83367
"38","2019_Q3",13.31515625,"Up",1.447e+09,7.75e+08,1.01e+09,-2.35e+08,6.72e+08,1.83e+08,3.6e+08,1.29e+08,-9.2e+07,1.355e+09,-8.72e+08,-8.72e+08,4.83e+08,4.83e+08,4.83e+08,-9.3e+07,3.9e+08,3.9e+08,3.9e+08,-1.6e+07,3.74e+08,2.026e+09,2.462e+09,2.462e+09,2.4114e+10,2.2699e+10,1.415e+09,8.27e+10,-8.53e+08,8.3553e+10,1.95e+09,1.01e+08,4.829e+09,3.89e+08,8.947e+09,1.27518e+11,9.4971e+10,6.0293e+10,3.4678e+10,9.213e+09,2.476e+09,1.1091e+11,1.31e+09,1.3391e+10,1.1e+07,1.338e+10,-1.371e+09,3.299e+09,-2.1e+07,1.6608e+10,1.6608e+10,1.27518e+11,3.9e+08,1.07e+08,9.2e+07,9.12e+08,-7.55e+08,7.46e+08,4.48e+08,1.298e+09,-2.5e+07,1.721e+09,-1.59e+08,-1.15e+09,-7.49e+08,-1.786e+09,6.81e+08,6.81e+08,6.81e+08,5.9e+08,1.3463e+10,0.33379,0.25847,0.02252,0.00293,6.67811,0.10558,0.36993,0.36957,1.43126,15.13155,0.15727,0.00418,0.42513,19.38475,23.67909
"39","2019_Q4",14.64921875,"Up",1.472e+09,7.33e+08,9.46e+08,-2.13e+08,7.39e+08,-2.92e+08,3.63e+08,1.8e+08,-1.08e+08,1.364e+09,-8.48e+08,-8.48e+08,5.16e+08,5.16e+08,5.16e+08,1.98e+08,7.14e+08,4.09e+08,4.09e+08,-2.4e+07,3.85e+08,1.966e+09,3.101e+09,3.101e+09,2.4361e+10,2.2986e+10,1.375e+09,8.1917e+10,-8.69e+08,8.2786e+10,1.944e+09,1.11e+08,4.845e+09,3.77e+08,9.525e+09,1.28147e+11,9.4305e+10,5.9945e+10,3.436e+10,9.128e+09,2.732e+09,1.11566e+11,1.31e+09,1.2813e+10,1e+07,1.2803e+10,-1.371e+09,3.534e+09,2.95e+08,1.6581e+10,1.6581e+10,1.28147e+11,4.09e+08,1.09e+08,1.08e+08,9.6e+08,-8.23e+08,7.63e+08,-7.31e+08,9.99e+08,-8.1e+07,1.87e+08,-1.64e+08,1.05e+09,-6.66e+08,-3.71e+08,5.79e+08,5.79e+08,5.79e+08,6.25e+08,1.4529e+10,0.35054,0.26155,0.02322,0.003,6.72854,0.11338,0.39086,0.38889,1.49442,15.50355,0.1665,0.00428,0.42597,20.1008,24.3469
"40","2020_Q1",12.5745161290323,"Down",1.48e+09,7.48e+08,9.28e+08,-1.8e+08,7.32e+08,1.29e+08,3.63e+08,8.5e+07,-9.6e+07,1.384e+09,-8.97e+08,-8.97e+08,4.87e+08,4.87e+08,4.87e+08,-4.03e+08,8.4e+07,3.89e+08,3.89e+08,-2.3e+07,3.66e+08,1.598e+09,2.516e+09,2.516e+09,2.3938e+10,2.2606e+10,1.332e+09,8.2094e+10,-8.69e+08,8.2963e+10,1.96e+09,1.05e+08,4.845e+09,3.62e+08,8.822e+09,1.2624e+11,9.7475e+10,6.3362e+10,3.4113e+10,7.879e+09,2.541e+09,1.09945e+11,1.31e+09,1.2695e+10,1e+07,1.2685e+10,-1.371e+09,3.751e+09,-9e+07,1.6295e+10,1.6295e+10,1.2624e+11,3.89e+08,1.05e+08,9.6e+07,1.757e+09,-1.85e+09,4.97e+08,1.506e+09,-1.159e+09,-6e+07,2.87e+08,-1.74e+08,-4.602e+09,3.17e+09,-1.737e+09,-9.53e+08,-9.53e+08,-9.53e+08,5.92e+08,9.929e+09,0.32905,0.2473,0.02246,0.0029,6.74716,0.07865,0.37927,0.37888,1.53368,15.5285,0.18031,0.00428,0.47541,14.07264,17.10678
"41","2020_Q2",9.67888888888889,"Down",1.413e+09,7.57e+08,9.08e+08,-1.51e+08,6.56e+08,9e+06,3.45e+08,1.44e+08,-3.73e+08,1.04e+09,-8.36e+08,-8.36e+08,2.04e+08,2.04e+08,2.04e+08,-4.2e+07,1.62e+08,1.62e+08,1.62e+08,-2.3e+07,1.39e+08,2.101e+09,3.154e+09,3.154e+09,2.5071e+10,2.3775e+10,1.296e+09,8.6538e+10,-1.56e+09,8.8098e+10,1.935e+09,9.8e+07,4.845e+09,3.49e+08,9.451e+09,1.33542e+11,1.0003e+11,6.2897e+10,3.7133e+10,1.0105e+10,2.925e+09,1.1621e+11,1.31e+09,1.2705e+10,1e+07,1.2695e+10,-1.371e+09,3.364e+09,1.324e+09,1.7332e+10,1.7332e+10,1.33542e+11,1.62e+08,1e+08,3.73e+08,1.038e+09,-8.86e+08,7.87e+08,-3.97e+08,-4.835e+09,-4.8e+07,-5.28e+09,-1.72e+08,3.251e+09,2.555e+09,5.634e+09,1.141e+09,1.141e+09,1.141e+09,3.04e+08,1.3255e+10,0.14437,0.09837,0.00802,0.00104,6.70494,0.09926,0.14525,0.14464,1.47649,16.7419,0.17973,0.00233,1.23741,36.69079,54.67647
"42","2020_Q3",10.2653125,"Up",1.545e+09,8.13e+08,9.04e+08,-9.1e+07,7.32e+08,9.6e+07,2.94e+08,1.94e+08,-8.82e+08,6.63e+08,-9.24e+08,-9.24e+08,-2.61e+08,-2.61e+08,-2.61e+08,47000000.0000001,-2.14e+08,-2.14e+08,-2.14e+08,-2.3e+07,-2.37e+08,1.619e+09,1.1579e+10,1.1579e+10,2.5153e+10,2.3898e+10,1.255e+09,8.8272e+10,-2.276e+09,9.0548e+10,1.929e+09,1.37e+08,5.193e+09,3.43e+08,9.845e+09,1.4407e+11,1.16779e+11,6.8815e+10,4.7964e+10,6.408e+09,3.255e+09,1.26442e+11,1.656e+09,1.2713e+10,1e+07,1.2703e+10,-1.371e+09,2.978e+09,1.626e+09,1.7602e+10,1.7628e+10,1.4407e+11,-2.14e+08,1.28e+08,8.82e+08,1.145e+09,-1.084e+09,8.57e+08,1.32e+08,-8.21e+08,-6e+07,-1.136e+09,-1.72e+08,-8.691e+09,1.6749e+10,8.222e+09,7.943e+09,7.943e+09,7.943e+09,-1.33e+08,6.408e+09,-0.16893,-0.1534,-0.01344,-0.00165,7.17279,0.04448,-0.24713,-0.24817,1.61105,16.62774,0.17935,-0.00045,-0.72574,-36.00752,-18.34866
"43","2020_Q4",13.4740625,"Up",1.643e+09,8.4e+08,9.11e+08,-7.1e+07,8.03e+08,6.4e+07,3.29e+08,2.7e+08,-1.13e+08,1.53e+09,-8.96e+08,-8.96e+08,6.34e+08,6.34e+08,6.34e+08,-1.04e+08,5.3e+08,5.3e+08,5.3e+08,-2.9e+07,5.01e+08,1.972e+09,1.1501e+10,1.1501e+10,2.8197e+10,2.7007e+10,1.19e+09,8.6083e+10,-2.276e+09,8.8359e+10,1.896e+09,1.29e+08,5.187e+09,3.47e+08,9.868e+09,1.4518e+11,1.18445e+11,6.8691e+10,4.9754e+10,4.919e+09,3.912e+09,1.27276e+11,1.656e+09,1.2724e+10,1e+07,1.2714e+10,-1.371e+09,3.33e+09,1.565e+09,1.7904e+10,1.7904e+10,1.4518e+11,5.3e+08,1.32e+08,1.13e+08,1.734e+09,-1.828e+09,6.81e+08,-2.455e+09,2.061e+09,-2.6e+07,-4.14e+08,-1.77e+08,-1.481e+09,1.666e+09,8e+06,2.75e+08,2.75e+08,2.75e+08,7.66e+08,4.919e+09,0.38588,0.30493,0.02798,0.00345,7.1088,0.03388,0.52133,0.5181,1.70968,16.90739,0.18418,0.00467,0.35329,3.84726,4.64826
"44","2021_Q1",18.3793442622951,"Up",1.686e+09,8.6e+08,9.15e+08,-5.5e+07,8.26e+08,1.52e+08,3.44e+08,1.94e+08,37999999.9999999,1.724e+09,-9.87e+08,-9.87e+08,7.37e+08,7.37e+08,7.37e+08,-1.21e+08,6.16e+08,6.16e+08,6.16e+08,-2.8e+07,5.88e+08,1.558e+09,1.6398e+10,1.6398e+10,2.8276e+10,2.7154e+10,1.122e+09,8.3099e+10,-2.167e+09,8.5266e+10,1.897e+09,1.22e+08,5.19e+09,3.46e+08,1.0503e+10,1.47389e+11,1.22479e+11,7.119e+10,5.1289e+10,3.569e+09,3.23e+09,1.29278e+11,1.4387e+10,1e+07,1e+07,12799535032.8242,-1.371e+09,3.77e+09,1.315e+09,1.8111e+10,1.8111e+10,1.47389e+11,6.16e+08,6.1e+07,-37999999.9999999,1.567e+09,-2.207e+09,-1e+06,-8.02e+08,2.839e+09,-6e+07,1.977e+09,-1.77e+08,-1.349e+09,4.034e+09,2.507e+09,4.483e+09,4.483e+09,4.483e+09,7.98e+08,3.569e+09,0.43713,0.34875,0.03247,0.00399,7.13809,0.02421,0.61314,0.60933,1.75808,3.88321,0.18457,0.00519,0.30102,2.52005,2.72863
"45","2021_Q2",20.4777777777778,"Up",1.608e+09,9.53e+08,9.99e+08,-4.6e+07,6.55e+08,1.15e+08,3.38e+08,2.02e+08,1.42e+08,1.75e+09,-9.28e+08,-9.28e+08,8.22e+08,8.22e+08,8.22e+08,-1.8e+08,6.42e+08,6.42e+08,6.42e+08,-2.8e+07,6.14e+08,1.918e+09,2.3002e+10,2.3002e+10,2.8151e+10,2.7092e+10,1.059e+09,8.2779e+10,-1.976e+09,8.4755e+10,1.852e+09,1.14e+08,5.181e+09,3.36e+08,9.998e+09,1.53331e+11,1.29602e+11,7.3677e+10,5.5925e+10,2.916e+09,2.951e+09,1.35469e+11,1.656e+09,1.275e+10,1e+07,1.274e+10,-1.371e+09,4.235e+09,5.92e+08,1.7862e+10,1.7862e+10,1.53331e+11,6.42e+08,1.01e+08,-1.42e+08,2.148e+09,-2.03e+09,7.19e+08,-4.76e+08,4.47e+08,-3.8e+07,-6.7e+07,-1.77e+08,-6.32e+08,7.123e+09,6.312e+09,6.964e+09,6.964e+09,6.964e+09,9.23e+08,2.916e+09,0.51119,0.38184,0.03437,0.004,7.5842,0.01902,0.63892,0.6343,1.67326,16.86368,0.18418,0.00516,0.28827,1.08126,1.21411
"46","2021_Q3",18.97953125,"Down",1.582e+09,9.77e+08,1.02e+09,-4.3e+07,6.05e+08,4.8e+07,3.6e+08,1.97e+08,3.37e+08,1.919e+09,-8.98e+08,-8.98e+08,1.021e+09,1.021e+09,1.021e+09,-2.31e+08,7.9e+08,7.9e+08,7.9e+08,-4.2e+07,7.48e+08,1.82e+09,2.3774e+10,2.3774e+10,3.0283e+10,2.929e+10,9.93e+08,8.2477e+10,-1.597e+09,8.4074e+10,1.825e+09,1.08e+08,5.181e+09,3.23e+08,9.819e+09,1.5561e+11,1.31484e+11,7.5016e+10,5.6468e+10,2.87e+09,3.004e+09,1.37358e+11,1.659e+09,1.2477e+10,1e+07,1.2467e+10,-1.371e+09,4.836e+09,6.51e+08,1.8252e+10,1.8252e+10,1.5561e+11,7.9e+08,9.4e+07,-3.37e+08,2.05e+09,-1.888e+09,7.09e+08,-2.179e+09,8.02e+08,-3.5e+07,-1.412e+09,-1.78e+08,-4.2e+07,1.882e+09,1.377e+09,6.74e+08,6.74e+08,6.74e+08,1.115e+09,2.87e+09,0.64539,0.47282,0.04098,0.00481,7.52564,0.01844,0.77836,0.77273,1.6462,17.26639,0.18522,0.00595,0.23797,0.941700000000001,1.0284
"47","2021_Q4",21.994375,"Up",1.614e+09,9.65e+08,1.006e+09,-4.1e+07,6.49e+08,8.8e+07,3.6e+08,2.01e+08,1.55e+08,1.769e+09,-9.38e+08,-9.38e+08,8.31e+08,8.31e+08,8.31e+08,-1.8e+08,6.51e+08,6.51e+08,6.51e+08,-55903090.5028895,6.51e+08,1.741e+09,2.5766e+10,2.5766e+10,2.9931e+10,2.8986e+10,9.45e+08,8.1842e+10,-1.428e+09,8.327e+10,1.805e+09,1.01e+08,5.181e+09,3.04e+08,9.482e+09,1.56153e+11,1.32039e+11,7.4894e+10,5.7145e+10,2.451e+09,3.04e+09,1.3753e+11,1.659e+09,1.2489e+10,1e+07,1.2479e+10,-1.371e+09,5.296e+09,5.32e+08,1.8605e+10,1.8623e+10,1.56153e+11,6.51e+08,9.8e+07,-1.55e+08,1.849e+09,-1.602e+09,8.41e+08,1.81e+08,9.87e+08,1.7e+07,1.185e+09,-1.75e+08,-4.28e+08,4.97e+08,-1.13e+08,1.913e+09,1.913e+09,1.913e+09,9.29e+08,2.451e+09,0.51487,0.40335,0.03496,0.00417,7.38495,0.0157,0.68599,0.67954,1.70074,17.85669,0.1844,0.00529,0.26882,0.76426,0.85439
"48","2022_Q1",22.7887096774194,"Up",1.634e+09,4.27e+08,4.64e+08,-3.7e+07,1.207e+09,1.42e+08,3.67e+08,1.65e+08,-1.1e+08,1.524e+09,-9.83e+08,-9.83e+08,5.41e+08,5.41e+08,5.41e+08,-1.03e+08,4.38e+08,4.38e+08,4.38e+08,-5.1e+07,3.87e+08,1.35e+09,2.8061e+10,27404566730.9386,2.938e+10,28979938219.4527,902133272.988206,8.6305e+10,-1.479e+09,8.7784e+10,1.814e+09,3.05e+08,5.744e+09,3.19e+08,9.66e+09,1.62938e+11,1.39072e+11,8.0703e+10,5.8369e+10,2.407e+09,4.792e+09,1.46271e+11,-15347839863.8324,1.2199e+10,9999992.96901145,12274469833.3427,-1.371e+09,5.55e+09,2.89e+08,1.6667e+10,1.6667e+10,1.62938e+11,4.38e+08,7.8e+07,1.1e+08,1.59e+09,-1.455e+09,7.61e+08,2.67e+08,-1.547e+09,-1.09e+08,-2.571e+09,-1.86e+08,-1.32e+08,4.334e+09,3.714e+09,1.904e+09,1.904e+09,1.904e+09,6.19e+08,2.407e+09,0.33109,0.23684,0.02322,0.00238,8.77608,0.01477,0.4078,0.40397,1.72181,17.5627,0.196,0.00352,0.48062,1.70759,1.95379
"49","2022_Q2",20.1533870967742,"Down",1.599e+09,9.86e+08,1.023e+09,-3.7e+07,6.13e+08,1.02e+08,3.67e+08,1.44e+08,3.6e+07,1.635e+09,-9.33e+08,-9.33e+08,7.02e+08,7.02e+08,7.02e+08,-1.54e+08,5.48e+08,5.48e+08,5.48e+08,-2.4e+07,5.24e+08,2.227e+09,2.5718e+10,2.5718e+10,3.0248e+10,2.9384e+10,8.64e+08,8.7919e+10,-1.416e+09,8.9335e+10,1.794e+09,2.92e+08,5.748e+09,3.29e+08,9.807e+09,1.64082e+11,1.41022e+11,8.1432e+10,5.959e+10,2.343e+09,3.735e+09,1.471e+11,-62098519591.4971,1.1993e+10,1e+07,1.1983e+10,-1.371e+09,5.915e+09,4.45e+08,1.6982e+10,1.6982e+10,1.64082e+11,5.48e+08,1.05e+08,-3.6e+07,1.617e+09,-1.65e+09,5.84e+08,-1.956e+09,-1.542e+09,-1.01e+08,-3.599e+09,-1.85e+08,2551026728.73989,1.95e+09,1.549e+09,-1.466e+09,-1.466e+09,-1.466e+09,8.07e+08,2.343e+09,0.43902,0.3277,0.03086,0.00319,8.66211,0.01428,0.55216,0.54697,1.68493,17.89463,0.19494,0.00432,0.35305,0.14374,0.16524
"50","2022_Q3",20.789375,"Up",1.748e+09,1.137e+09,1.184e+09,-4.7e+07,6.11e+08,8.3e+07,3.7e+08,1.58e+08,-6e+07,1.688e+09,-9.48e+08,-9.48e+08,7.4e+08,7.4e+08,7.4e+08,-1.57e+08,5.83e+08,5.83e+08,5.83e+08,-2.5e+07,5.58e+08,2.301e+09,1.8199e+10,1.8199e+10,2.9888e+10,2.9052e+10,8.36e+08,9.2033e+10,-1.425e+09,9.3458e+10,1.768e+09,2.79e+08,5.749e+09,3.65e+08,1.0326e+10,1.60908e+11,1.38263e+11,7.9753e+10,5.851e+10,2.319e+09,3.819e+09,1.44401e+11,-151330039182.994,1.1972e+10,1e+07,1.1962e+10,-1.371e+09,6.314e+09,-4.08e+08,1.6507e+10,1.6507e+10,1.60908e+11,5.83e+08,9.6e+07,6e+07,1.609e+09,-1.427e+09,9.21e+08,-1.043e+09,-4.17e+09,-1.75e+08,-5.388e+09,-1.83e+08,9279080186.21968,-2.759e+09,-2.978e+09,-7.445e+09,-7.445e+09,-7.445e+09,8.36e+08,2.319e+09,0.42334,0.31922,0.0338,0.00347,8.74786,0.01441,0.59743,0.59362,1.87152,17.67345,0.19593,0.00461,0.32796,0.0215300000000001,0.0243200000000001
