"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",66.38109375,"Down",2872630000,-2071161000,801469000,-600409000,-600409000,201060000,-3543000,-3811000,267999.999999999,197517000,-20383000,177134000,-48965000,4929000,133098000,133098000,-13001000,120097000,120097000,63560000,63560000,1296225000,1296225000,1482507000,435299000,377657000,3277591000,320098000,487404000,2548503000,1954584000,3356005000,6633596000,1030532000,881667000,148865000,17189000,17189000,863191000,863191000,1910912000,700052000,498326000,248308000,250018000,1198378000,3109290000,151874000,818000,3010456000,-214607000,2947723000,576583000,3524306000,6633596000,133098000,133098000,42431000,3609000,98099000,277237000,-13575000,-13575000,-13575000,-39879000,4064000,-49390000,-158957000,-54351000,-57012000,-24013000,-237321000,-9474000,-9474000,1420000,-8054000,243491000,717241000,376980000,0.279,0.06999,0.04181,0.03408,0.0181,3.13896,1.7152,0.88224,0.10812,0.57813,0.57163,13.82846,14.18995,1.81473,0.02534,0.07953,2.68462,3.25117
"27","2016_Q4",60.3565079365079,"Down",2865148000,-2077473000,787675000,-581584000,-581584000,206091000,-4546000,-4347000,-199000,201545000,-5370000.00000001,196175000,-56601000,5717000,145291000,145291000,-11578000,133713000,133713000,76192000,76192000,1367604000,1367604000,1468312000,373847000,373847000,3285955000,324108000,454704000,2568826000,1975566000,3347638000,6633593000,1089247000,931090000,158157000,17460000,17460000,932948000,932948000,2039655000,718024000,401367000,143612000,257755000,1119391000,3159046000,120724000,806000,2996773000,-222180000,2895317000,579230000,3474547000,6633593000,145291000,145291000,42431000,16232000,-25325000,178629000,-18345000,-18345000,-18345000,-34102000,-7001000,-59448000,108833000,-192297000,-192992000,-22850000,-106314000,12867000,12867000,-235000,12632000,248522000,735484000,261453000,0.27492,0.07193,0.04667,0.03848,0.02016,1.95533,1.61103,0.9092,0.11087,0.64842,0.64087,13.89409,14.04039,1.26788,0.029,0.0567,2.65285,3.19903
"28","2017_Q1",64.968064516129,"Up",3120934000,-2261447000,859487000,-629425000,-629425000,230062000,-7008000,-6681000,-327000,223054000,-16080000,206974000,-58859000,5358000,153473000,153473000,-14257000,139216000,139216000,62381000,62381000,1254139000,1254139000,1665750000,360510000,360510000,3342780000,333906000,442790000,2640920000,2019740000,3417616000,6760396000,1158999000,1007249000,151750000,65923000,65923000,1095724000,1095724000,2320646000,715457000,315853000,51589000,264264000,1031310000,3351956000,128330000,1588000,2981777000,-317041000,2793066000,615374000,3408440000,6760396000,153473000,153473000,43951000,741999.999999994,66342000,264508000,-25654000,-25654000,-25654000,-102032000,-8902000,-136588000,96733000,-198373000,-200023000,-27448000,-129088000,-1168000,-1168000,-12643000,-13811000,274013000,781380000,373560000,0.27539,0.07372,0.04461,0.04084,0.02059,2.68331,1.44045,0.98343,0.11558,0.68776,0.67822,15.41819,13.79844,1.84548,0.0309,0.08291,2.62396,3.12524
"29","2017_Q2",69.6855555555556,"Up",2922948000,-2100028000,822920000,-628952000,-628952000,193968000,-7171000,-7126000,-45000,186797000,3.72529029846191e-09,186797000,-38630000,2086000,150253000,150253000,-9505000,140748000,140748000,62888000,62888000,1362832000,1362832000,1623983000,342554000,342554000,3392257000,336465000,458028000,2657870000,2058687000,3452363000,6844620000,1012314000,843782000,168532000,18604000,18604000,1254514000,1254514000,2285432000,708422000,335982000,79107000,256875000,1044404000,3329836000,794999.999999985,795000,3068249000,-281819000,2787225000,727559000,3514784000,6844620000,150253000,150253000,44749000,17568000,-265161000,-52591000,-17311000,-17311000,-17311000,-11820000,-5549000,-34680000,177670000,-46054000,-50006000,-47958000,83658000,-3613000,-3613000,4120000,507000,238717000,727026000,-5125000,0.28154,0.06636,0.04815,0.04004,0.02056,-0.03641,1.4843,0.94738,0.10622,0.69993,0.69099,14.53567,13.86073,-0.02549,0.03075,-0.00111999999999998,2.78211,3.42396
"30","2017_Q3",68.231746031746,"Down",3059458000,-2220285000,839173000,-628511000,-628511000,210662000,-7363000,-8091000,728000,203299000,0,203299000,-58306000,4589000,149582000,149582000,-13527000,136055000,136055000,74654000,74654000,1409060000,1409060000,1567159000,412904000,412904000,3463777000,351381000,472922000,2809376000,2172563000,3633679000,7097456000,1035393000,882674000,152719000,17241000,17241000,1177311000,1177311000,2229945000,807625000,378234000,89756000,288478000,1185859000,3415804000,792000,792000,3134989000,-209526000,2926255000,755397000,3681652000,7097456000,149582000,149582000,47789000,10642000,20716999.9999999,228730000,-19654000,-19654000,-19654000,-137766000,677000,-156743000,2408000.00000003,-49251000,-5e+07,-21341000,-68184000,3803000,3803000,7963000,11766000,258451000,824866000,317820000,0.27429,0.06886,0.04447,0.03695,0.01917,2.33597,1.5533,0.92779,0.11622,0.67692,0.67214,15.22187,14.55913,1.58126,0.02785,0.06506,2.90272,3.56121
"31","2017_Q4",57.9995238095238,"Down",3161083000,-2325029000,836054000,-617181000,-617181000,218873000,-8829000,-8635000,-194000,210044000,-5325000,204719000,-59340000,5569000,150948000,150948000,-12917000,138031000,138031000,79879000,79879000,1544582000,1544582000,1692256000,465812000,465812000,3782529000,361708000,450770000,2891654000,2224657000,3704132000,7486661000,1177765000,1029138000,148627000,17247000,17247000,1242135000,1242135000,2437147000,907592000,383965000,91786000,292179000,1291557000,3728704000,1570000,1570000,3164541000,-154472000,3011639000,746318000,3757957000,7486661000,150948000,150948000,48740000,23318000,-91644000,131362000,-18350000,-18350000,-18350000,-109200000,-1822000,-129372000,154381000,-124759000,-124999000,-29028000,594000,2584000,2584000,2641000,5225000,267613000,924839000,216959000,0.26448,0.06924,0.04367,0.03673,0.01844,1.57181,1.55203,0.99222,0.12353,0.69042,0.68401,15.81154,15.06403,1.08522,0.02724,0.04282,3.1574,3.8605
"32","2018_Q1",55.4008196721311,"Down",3318054000,-2417098000,900956000,-659765000,-659765000,241191000,-13158000,-12249000,-909000,228033000,-17636000,210397000,-206230000,4343000,8510000,8510000,-17045000,-8535000,-8535000,174658000,174658000,1522807000,1522807000,1933803000,454752000,454752000,4086020000,375001000,432002000,2970972000,2301331000,3777975000,7863995000,1341885000,1153012000,188873000,16659000,16659000,1470431000,1470431000,2828975000,907756000,470716000,50431000,420285000,1378472000,4207447000,1537000,1537000,2940029000,-130067000,2811499000,845049000,3656548000,7863995000,-132307000,8510000,-7422999.99999999,162339000,44925000,238014000,-7089000,-7089000,-7089000,111419000,3724000,-21481000,109634000,-224670000,-224995000,25024000,-128619000,87914000,87914000,6865000,94779000,233768000,924415000,477834000,0.27153,0.07269,-0.00257000000000001,-0.00233,-0.00109,-55.98524,1.44435,1.15066,0.11755,-0.04319,-0.0429,16.79073,14.22735,2.41804,-0.00169,0.09459,3.20727,3.10856
"33","2018_Q2",56.359375,"Up",2273450000,-1554321000,719129000,-554214000,-554214000,164915000,-14201000,-13451000,-750000,150714000,-2675000,148039000,-36142000,2820000,114717000,148631000,-8413000,140218000,140218000,99235000,99235000,1576390000,1576390000,2015069000,430111000,430111000,4120805000,377002000,449731000,2967338000,2317873000,3794071000,7914876000,1235116000,1020739000,214377000,14164000,14164000,1607011000,1607011000,2856291000,1000515000,476137000,54453000,421684000,1476652000,4332943000,1540000,1540000,2998328000,-97888000,2901980000,679953000,3581933000,7914876000,114717000,148631000,35706000,13202000,-228233000,-70944000,-13643000,-13643000,-13643000,-364000,-7921000,-35166000,304714000,3022000,-157875601.91233,-300527000,27759000,-78351000,-78351000,2928000,-75423000,200621000,1014679000,-5113000,0.31632,0.07254,0.06168,0.03915,0.01772,-0.03646,1.44271,1.20967,0.1282,0.71829,0.71352,11.64617,14.86593,-0.02619,0.02764,-0.00101000000000002,4.56305,5.55101
"34","2018_Q3",62.2790476190476,"Up",4273665000,-3196130000,1077535000,-804913000,-804913000,272622000,-11410000,-11704000,294000,261212000,-27371000,233841000,-58541000,6123000,181423000,147509000,-6297000,141212000,141212000,111321000,111321000,1561097000,1561097000,1930202000,459320000,459320000,4061940000,368604000,510453000,2868789000,2255932000,3747846000,7809786000,1290872000,1117925000,172947000,12475000,12475000,1849575000,1849575000,3152922000,985385000,455584000,48126000,407458000,1440969000,4593891000,1532000,1532000,3123398000,-211392000,2913538000,302357000,3215895000,7809786000,114591000,147509000,35441000,12849000,13594999.9999999,287830000,-16586000,-16586000,-16586000,-980000.00000003,-17742000,-39474000,209421000,-53355000,-53355000,-298893000,-250027000,-1671000,-1671000,13757000,12086000,308063000,997860000,363613000,0.25213,0.06379,0.03304,0.04391,0.01808,2.57494,1.28831,1.4285,0.12777,0.7224,0.71827,21.86294,14.90489,1.86015,0.03024,0.07787,2.87778,3.2519
"35","2018_Q4",65.845873015873,"Up",3279678000,-2391118000,888560000,-668011000,-668011000,220549000,-16228000,-15882000,-346000,204321000,-54623000,149698000,-29401000,6679000,126976000,126976000,-5498000,121478000,121478000,119740000,119740000,1627640000,1627640000,1932855000,513717000,513717000,4193952000,374051000,518425000,3303882000,2685681000,4196358000,8390310000,1316283000,1136120000,180163000,12482000,12482000,1901020000,1901020000,3229785000,1000315000,460992000,45947000,415045000,1461307000,4691092000,1524000,1524000,3191260000,-219649000,2973135000,726083000,3699218000,8390310000,96247000,126976000,35783000,11263000,14234000,173868000,-19090000,-19090000,-19090000,-37652000,-10094000,-71717000,-19520000,-60697000,-60751000,-4059000,-96248000,5903000,5903000,2516000,8419000,256332000,1012797000,280877000,0.27093,0.06725,0.03704,0.03284,0.01448,2.31216,1.29852,1.26813,0.12071,0.62481,0.62021,16.86862,15.29196,1.44466,0.02348,0.0543,3.48399,4.04925
"36","2019_Q1",60.3275409836066,"Down",-409190000,634713000,225523000,-190135000,-190135000,35388000,-21944000,-19488000,-2456000,13444000,-8186000,5258000,16652000,5415000,27325000,139010000,-6037000,132973000,132973000,56885000,56885000,1168776000,1168776000,1415512000,1534047000,451033000,4175220000,314221000,420367000,3590719000,2081029000,4325307000,8500527000,940369000,785756000,154613000,8280000,8280000,2270178000,1692571000,3218827000,980344000,447412000,27218000,357741000,1427756000,4646583000,1514000,1514000,3208589000,-248771000,2961332000,892612000,3853944000,8500527000,124886000,139010000,36700000,-27148000,47122000,293952000,-21964000,-21964000,-21964000,-14244000.0000001,-5044000,-46597000,-193609000,-85894000,-85894000,97223999.9999999,-285260000,-37905000,-37905000,-1626000,-39531000,72088000,988624000,80594000,-0.55114,-0.08648,-0.32497,0.0345,0.01564,0.60609,1.29712,1.20567,0.1163,5.21182,5.14465,-16.03802,116.06808,3.15885,0.02514,0.01524,12.92502,26.32924
"37","2019_Q2",66.1101587301587,"Up",2360268000,-1608578000,751690000,-574608000,-574608000,177082000,-11949000,-11530000,-419000,165133000,-4641000,160492000,-39482000,2630000,123640000,114644000,-4861000,109783000,109783000,88115000,88115000,1193054000,1193054000,1370376000,457566000,457566000,3109111000,315393000,404004000,3316356000,2413566000,4035753000,7144864000,857687000,695204000,162483000,9117000,9117000,1011972000,1011972000,1878776000,973500000,591215000,76850000,514365000,1564715000,3443491000,87618000,1490000,2859182000,-149878000,2796922000,904451000,3701373000,7144864000,123640000,114644000,40300000,70950000,-101556000,-33739000,-15918000,-15918000,-15918000,-593473000,12864000,-598591000,-658752000,-149966000,-1.5e+08,1292794000,632129000,-201000,-201000,8107000,7906000,217382000,982617000,139390000,0.31848,0.07503,0.04651,0.02966,0.01537,1.26969,1.65486,0.93033,0.13753,0.73063,0.72629,15.70821,18.61425,0.92768,0.02081,0.02642,4.11489,5.05134
"38","2019_Q3",64.6090625,"Down",2447827000,-1680396000,767431000,-593218000,-593218000,174213000,-10547000,-9131000,-1416000,163666000,-11925000,151741000,-35880000,5556000,121417000,119196000,-4664000,114532000,114532000,84924000,84924000,1203925000,1203925000,1367516000,452349000,452349000,3108714000,315422000,389648000,3298553000,2431103000,4003623000,7112337000,854211000,745621000,108590000,9136000,9136000,961930000,961930000,1825277000,973147000,579985000,72177000,507808000,1553132000,3378409000,66834000,1478000,2900387000,-139944000,2827277000,906651000,3733928000,7112337000,121417000,119196000,49055000,11643000,-16663000,163231000,-14790000,-14790000,-14790000,-18468000.0000001,-5758000,-39015999.9999999,-58556999.9999999,-76782000,-76782000,11549000,-121569000,2646000,2646000,-5837000,-3191000,223268000,982283000,227695000,0.31352,0.07117,0.04679,0.03067,0.0161,1.98805,1.70315,0.90479,0.13811,0.77197,0.763730000000001,16.4989,19.05648,1.53472,0.02163,0.04299,4.0192,5.15093
"39","2019_Q4",66.14265625,"Up",2508767000,-1747600000,761167000,-574771000,-574771000,186396000,-8607000,-8430000,-177000,177789000,801999.999999993,178591000,-41964000,6585000,143212000,148853000,-8296000,140557000,140557000,75256000,75256000,1278939000,1278939000,1356897000,404650000,404650000,3115742000,311123000,385744000,3284473000,2441175000,3981340000,7097082000,965709000,854658000,111051000,109188000,109188000,833795000,833795000,1908692000,872229000,573526000,68643000,504883000,1445755000,3354447000,67104000,1463000,2957850000,-195426000,2829528000,913107000,3742635000,7097082000,143212000,148853000,46855000,9180000,27147000,232035000,-18248000,-18248000,-18248000,-34652000,-2906000,-55806000,-136048000,-98218000,-98218000,50119000,-189788000,-13559000,-13559000,3891000,-9668000,233251000,981417000,284114000,0.3034,0.0743,0.05603,0.03756,0.0198,2.02134,1.6324,0.89628,0.13828,0.95494,0.94562,17.04453,19.22377,1.93027,0.02653,0.05363,3.88492,4.86148
"40","2020_Q1",63.4327419354839,"Down",2668941000,-1858343000,810598000,-615323000,-615323000,195275000,-6851000,-5944000,-907000,188424000,187828000,376252000,-42189000,3129000,337192000,336445000,-6583000,329862000,329862000,106097000,106097000,1246246000,1246246000,1428799000,445360000,445360000,3226502000,329645000,327919000,3267035000,2462495000,3924599000,7151101000,1045437000,880266000,165171000,109849000,109849000,883083000,883083000,2038369000,622908000,572429000,64989000,507440000,1195337000,3233706000,49202000,1434000,3116215000,-167373000,2998044000,919351000,3917395000,7151101000,337192000,336445000,48732000,-227271000,136645000,292560000,-27263000,-27263000,-27263000,-9286000,-1662000,269040000,-334758000,-2e+08,-2e+08,-4731999.99999988,-536752000,24848000,24848000,5993000,30841000,244007000,732757000,395578000,0.30372,0.07317,0.12359,0.0842,0.04613,1.19922,1.58288,0.82547,0.10247,2.26773,2.23988,18.34841,20.61092,2.71952,0.06316,0.07574,2.56821,3.20912
"41","2020_Q2",55.8769841269841,"Down",2428871000,-1682857000,746014000,-567362000,-567362000,178652000,-4842000,-4622000,-220000,173810000,-4787000,169023000,-37910000,2734000,133847000,133565000,-3304000,130261000,130261000,617368000,617368000,1198743000,1198743000,1328405000,474589000,474589000,3619105000,328033000,331590000,3240472000,2470603000,3900095000,7519200000,951063000,780853000,170210000,109507000,109507000,1145264000,1145264000,2205834000,865821000,569627000,73225000,496402000,1435448000,3641282000,18989000,1424000,3183236000,-227648000,2974577000,903341000,3877918000,7519200000,133847000,133565000,48983000,-16146000,-87927000,78475000,-23008000,-23008000,-23008000,-37947000,-4650000,-53605000,600161000,-73789000,-73789000,-34764000,491890000,516760000,516760000,-5489000,511271000,227635000,975328000,154610000,0.30714,0.07355,0.05363,0.03359,0.01732,1.18692,1.6407,0.93898,0.12971,0.91113,0.91031,16.98903,20.80604,1.08144,0.02402,0.02851,1.57252,2.00367
"42","2020_Q3",64.141875,"Up",1684399000,-1230133000,454266000,-445765000,-445765000,8500999.99999997,-8780000,-8489000,-291000,-279000,-15934000,-16213000,950000,1411000,-13852000.0000001,-13267000,2470000,-10797000,-10797000,296110000,296110000,1101201000,1101201000,1406719000,605176000,605176000,3409206000,335898000,362565000,3210456000,2471108000,3908919000,7318125000,945396000,734957000,210439000,109587000,109587000,1252258000,1252258000,2307241000,515802000,594312000,56925000,537387000,1110114000,3417355000,17899000,1424000,3172439000,-199251000,2991087000,909683000,3900770000,7318125000,-13852000,-13267000,44963000,3506000.00000003,-126217000,-90745000,-7580000,-7580000,-7580000,221999.999999993,-8678000,-16036000,-228618000,-1.49011611938477e-08,1.49011611938477e-08,-940000,-230413000,-337194000,-337194000,15936000,-321258000,53464000,625389000,-81283000,0.26969,0.00505,-0.00641,-0.00277,-0.00148,7.52829,1.47761,0.87607,0.08546,-0.07585,-0.07592,11.83355,21.01353,-0.57104,-0.00211,-0.01587,6.15889,38.73415
"43","2020_Q4",64.51828125,"Up",2840146000,-2085878000,754268000,-559605000,-559605000,194663000,-10516000,-8817000,-1699000,184147000,-6992000,177155000,-29005000,3663000,151813000,151784000,-10087000,141697000,141697000,533495000,533495000,1407676000,1407676000,1463434000,464645000,464645000,3869250000,334954000,356439000,3249252000,2488962000,3940645000,7809895000,1145154000,1006958000,138196000,110015000,110015000,1348638000,1348638000,2603807000,515357000,603764000,32408000,571356000,1119121000,3722928000,12469000,1425000,3314136000,-171332000,3155273000,931694000,4086967000,7809895000,151813000,151784000,44569000,-16788000,81663000,261332000,-7211000,-7211000,-7211000,-14483000,-2621000,-24315000,3560000,0,0,-1177000,2308000,239325000,239325000,-1940000,237385000,239232000,625372000,342689000,0.26557,0.06854,0.04989,0.03467,0.01814,2.41846,1.486,0.91093,0.08007,0.99541,0.97982,19.95171,22.16544,2.40735,0.02665,0.06446,0.38405,0.471980000000002
"44","2021_Q1",67.6609836065574,"Up",3165725000,-2306045000,859680000,-674100000,-674100000,185580000,-11270000,-9607000,-1663000,174310000,-2808000,171502000,-29409000,4536000,146629000,147341000,-4708000,142633000,142633000,421185000,421185000,1424787000,1424787000,1512499000,432944000,432944000,3791415000,342004000,366445000,3272668000,2504392000,3981117000,7772532000,1144326000,1005655000,138671000,109836000,109836000,1028940000,1028940000,2283102000,515773000,661573000,30065000,631508000,1177346000,3460448000,5275659.01789244,1422321.98405569,3454831000,-108084000,3346747000,965337000,4312084000,7772532000,146629000,147341000,47023000,22344000,129109000,349848000,-11030000,-11030000,-11030000,-7965000,-4088000,-21063000,-439816000,0,3.72529029846191e-09,-6411000,-450970000,-122185000,-122185000,9875000,-112310000,232603000,625609000,380091000,0.27156,0.05862,0.04506,0.03308,0.01835,2.66482,1.66064,0.8025,0.08049,0.84214,0.85356,18.69129,19.76009,2.24416,0.02547,0.06788,0.87885,1.10154
"45","2021_Q2",75.3668253968254,"Up",2.925e+09,-2.034e+09,8.91e+08,-6.58e+08,-6.14e+08,2.33e+08,-4e+06,-4e+06,-73749.3719933475,2.29e+08,-3e+06,2.26e+08,-5.7e+07,6e+06,1.75e+08,1.75e+08,-9e+06,1.66e+08,1.66e+08,144538000,144538000,1317546000,1317546000,1626185000,482356000,482356000,3570625000,353248000,369231000,3486816000,2587438000,4209295000,7779920000,1056330000,909575000,146755000,111176000,111176000,955262000,955262000,2122768000,506461000,701062000,42254000,658808000,1207523000,3330291000,1413000,1413000,3493060000,-136305000,3358168000,1091461000,4449629000,7779920000,1.75e+08,1.75e+08,4.9e+07,2.3e+07,-1.84e+08,6.3e+07,-1.4e+07,-1.4e+07,-1.4e+07,-2.04e+08,-5e+06,-2.23e+08,-1.8e+07,-8.9e+07,-8.9e+07,-1.3e+07,-1.2e+08,-2.8e+08,-2.8e+08,3e+06,-2.77e+08,2.82e+08,617637000,1.41e+08,0.30462,0.07966,0.05675,0.03731,0.02134,0.8494,1.68206,0.74844,0.07939,1.11218,1.11218,19.59707,22.49923,0.94468,0.02878,0.02444,1.67766,2.03047
"46","2021_Q3",76.9621875,"Up",2.967e+09,-2.076e+09,8.91e+08,-6.8e+08,-6.35e+08,2.11e+08,-5e+06,-6e+06,1e+06,2.06e+08,-1e+06,2.05e+08,-4.7e+07,6e+06,1.64e+08,1.64e+08,-8e+06,1.56e+08,1.56e+08,167228000,167228000,1356881000,1356881000,1688210000,529929000,529929000,3742248000,358224000,394665000,3628929000,2722974000,4381818000,8124066000,1060035000,903859000,156176000,9839000,9839000,1023767000,1023767000,2093641000,706487000,713176000,46528000,666648000,1419663000,3513304000,1398000,1398000,3465647000,-106779000,3360266000,1250496000,4610762000,8124066000,1.64e+08,1.64e+08,5e+07,5e+06,-59999999.9999999,1.59e+08,-1.8e+07,-1.8e+07,-1.8e+07,-9.2e+07,-8e+06,-1.18e+08,9.3e+07,-1.12e+08,-1.12e+08,0,-1.9e+07,2.2e+07,2.2e+07,1e+06,2.3e+07,2.61e+08,716326000,2.3e+08,0.3003,0.07112,0.05258,0.03383,0.0192,1.47436,1.78744,0.76198,0.08817,1.04518,1.04518,19.87846,22.51329,1.54097,0.02583,0.03808,2.10382,2.60236
"47","2021_Q4",76.43875,"Down",3178499000,-2267752000,910747000,-700292000,-789292000,210455000,-4596000,-4662000,66000,205859000,7958000,213817000,-49988000,5550000,169379000,169379000,-7380000,161999000,161999000,119133000,119133000,1551946000,1551946000,1784050000,457232000,457232000,3912361000,355675000,397764000,3754952000,2779234000,4508391000,8420752000,1214573000,1057127000,157446000,9638000,9638000.00000001,1077194000,1077194000,2301405000,705540000,695611000,37248000,658363000,1401151000,3702556000,1391000,1391000,3594238000,-137640000,3457989000,1260207000,4718196000,8420752000,169379000,169379000,51833000,1381000,-11652000,210941000,-16706000,-16706000,-16706000,-119365000,-11687000,-138001000,-9963000,-50211000,-50211000,-55299000,-115473000,-42533000,-42533000,-5519000,-48052000,262288000,715178000,283918000,0.28653,0.06621,0.05097,0.03433,0.01924,1.75259,1.69999,0.78474,0.08493,1.08537,1.08537,21.29548,23.16802,1.90221,0.02643,0.04632,2.27248,2.83217
"48","2022_Q1",81.4491935483871,"Up",3330522000,-2351018000,979504000,-774364000,-774364000,205140000,-7512000,-6487000,-1025000,197628000,-4579000,193049000,-43361000,2459000,152147000,152147000,-4914000,147233000,147233000,1.18e+08,1.18e+08,1.452e+09,1.452e+09,1.861e+09,4.13e+08,4.13e+08,3.844e+09,3.66e+08,4.24e+08,3.847e+09,2.854e+09,4.637e+09,8.481e+09,1.191e+09,1.054e+09,1.37e+08,1.1e+07,39599466.095317,4.36e+08,4.36e+08,1.638e+09,8.11e+08,1.356e+09,4.2e+07,1.314e+09,2.167e+09,3.805e+09,-1817093.27069155,1403838.11197655,3745733860.36276,-180383942.404037,3566548748.73174,6.13e+08,6.13e+08,4.418e+09,152147000,152147000,58695000,7346000,58451000,276639000,-30309000,-30309000,-30309000,-155193000,-12714000,-198216000,99285000,-1.5e+08,-1.5e+08,-27769000,-78484000,-61000,-61000,-1107000,-1168000,263835000,0,335338000,0.2941,0.06159,0.04421,0.0368472495390403,0.0206388651519679,2.2776,1.61809325126654,0.788403012250789,0.0812972995262565,0.98644,0.98644,22.31401,24.0243075601469,2.24672,0.0285965819465507,0.0429608159944175,2.25444742347389,2.69901793680502
"49","2022_Q2",83.8204838709677,"Up",3.179e+09,-2.206e+09,9.73e+08,-7.29e+08,-6.82e+08,2.44e+08,-5e+06,-5e+06,-906105.527581749,2.39e+08,-68796086.5301527,2.39e+08,-5.7e+07,4e+06,1.86e+08,1.86e+08,-5e+06,1.81e+08,1.81e+08,1.26e+08,1.26e+08,1.444e+09,1.444e+09,1.871e+09,3.89e+08,3.89e+08,3.83e+09,3.58e+08,4.27e+08,3.832e+09,2.857e+09,4.617e+09,8.447e+09,1.088e+09,9.14e+08,1.74e+08,3e+06,2999999.99999999,1.053e+09,1.053e+09,2.144e+09,7.73e+08,6.93e+08,4e+07,6.53e+08,1.466e+09,3.61e+09,-10976779.8120747,1447014.33592965,3.759e+09,-1.68e+08,3.591e+09,1.246e+09,4.837e+09,8.447e+09,1.86e+08,1.86e+08,5.5e+07,7e+06,-1.55e+08,9.3e+07,-1.9e+07,-1.9e+07,-1.9e+07,-5e+06,-3e+06,-2.7e+07,-2.3e+07,2e+06,-238661640.298199,-4.1e+07,-6.2e+07,4e+06,4e+06,4e+06,8e+06,2.99e+08,7.76e+08,1.82e+08,0.30607,0.07675,0.05694,0.03742,0.02143,1.00552,1.78638,0.74633,0.09187,1.21267,1.21267,21.29883,24.05917,1.21937,0.0287,0.02886,2.17391,2.66393
"50","2022_Q3",75.7475510204082,"Down",3.03e+09,-2.085e+09,9.45e+08,-7.25e+08,-6.8e+08,2.2e+08,-6e+06,-6e+06,1437683.41725475,2.14e+08,-213146259.590458,2.14e+08,-5.2e+07,5e+06,1.67e+08,1.67e+08,-7e+06,1.6e+08,1.6e+08,1.08e+08,1.08e+08,1.409e+09,1.409e+09,1.823e+09,4.49e+08,4.49e+08,3.789e+09,3.56e+08,4.16e+08,3.763e+09,2.833e+09,4.535e+09,8.324e+09,1.025e+09,9.01e+08,1.24e+08,4e+06,-177571398.285951,4.13e+08,4.13e+08,1.442e+09,7.69e+08,1.3e+09,3.3e+07,1.267e+09,2.069e+09,3.511e+09,-28838559.6241493,1531028.67185931,3493928418.91172,-47357422.7878904,3444015253.80478,5.86e+08,5.86e+08,4.097e+09,1.67e+08,1.67e+08,5.3e+07,-8e+06,-5.5e+07,1.57e+08,-2.4e+07,-2.4e+07,-2.4e+07,-2e+06,-6e+06,-3.2e+07,-3999999.99999997,-1.1e+08,-1.1e+08,-1.9e+07,-1.33e+08,-8e+06,-8e+06,-1e+07,-1.8e+07,2.73e+08,0,2.46e+08,0.31188,0.07261,0.05281,0.0335857513828791,0.0205059045440964,1.5375,2.41479524620037,0.630623463247634,0.129018101421231,1.07198,1.07198,20.30056,22.6875273195592,1.64816,0.0243452541603479,-0.000417447983252533,2.11502022957832,2.82650118958494
