"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",39.6395161290323,"Up",728508000,-631329000,97179000,-47359000,-47359000,49820000,-2888000,-2888000,-3884000,46932000,44300000,-13116000,31184000,31184000,-79000,31105000,31105000,160459000,160459000,714336000,714336000,60633000,46262000,14371000,935428000,67827000,797524000,48962000,717988000,2064000,27880000,865351000,1800779000,287957000,158773000,129184000,15510000,177619000,177619000,481086000,331501000,118789000,60348000,58441000,450290000,931376000,260910000,736357000,-128008000,869259000,144000,869403000,1800779000,31184000,11753000,1291000,7989999.99999999,52218000,-5129000,-3291000,-3291000,-1838000,-1838000,-1791000,-17625000,-19226000,5274000,-1908000,-43916000,6510999.99999999,6510999.99999999,30000,6541000.00000001,61573000,347011000,77550000,0.13339,0.06839,0.0427,0.03578,0.01727,2.49317,1.94441,1.07128,0.1927,0.54289,0.53463,12.71504,15.17164,1.35352,7,0.02716,0.05808,3.02977,3.74452
"29","2017_Q2",42.695873015873,"Up",668851000,-587490000,81361000,-41506000,-41506000,39855000,-2908000,-2908000,-2908000,36947000,36947000,-10358000,26589000,26589000,-27000,26562000,26562000,126981000,126981000,750784000,750784000,76237000,53740000,22497000,954002000,63302000,783119000,42167000,709739000,1964000,28233000,846421000,1800423000,228465000,136165000,92300000,15483000,184697000,184697000,428645000,372721000,126313000,63470000,62843000,499034000,927679000,257989000,757776000,-143194000,872571000,173000,872744000,1800423000,26589000,11191000,4250000,-100777000,-58747000,-1808000,223000,223000,-2031000,-2031000,-1808000,41685000,-7597000,2403000,-2625849.64256397,28944000,-31611000,-31611000,-1867000,-33478000,51046000,388204000,-41181000,0.12164,0.05959,0.03971,0.03044,0.01475,-1.55037,2.22562,1.06295,0.21562,0.46519,0.45682,11.71388,15.28172,-0.72122,4,0.02286,-0.02969,5.1174,6.55433
"30","2017_Q3",42.2355555555556,"Down",663781000,-582778000,81003000,-45196000,-45196000,35807000,-3099000,-3099000,-3099000,32708000,39857000,-12990000,26867000,26867000,-5000,26862000,26862000,171340000,171340000,714471000,714471000,57265000,50140000,7125000,943076000,61319000,793974000,37313000,721762000,2239000,31569000,855293000,1798369000,260560000,143453000,117107000,18587000,186111000,186111000,465258000,326862000,103381000,46291000,57090000,430243000,895501000,256635000,779481000,-133419000,902697000,171000,902868000,1798369000,26867000,12043000,12580000,57621000,109111000,-1785000,80000,80000,-1865000,-1865000,-9824000,-45938000,-4742000,5258000,-1609967.46609462,-55837000,43450000,43450000,909000,44359000,47850000,345449000,116676000,0.12203,0.05394,0.04047,0.02975,0.01494,4.34353,2.027,0.99184,0.19209,0.46926,0.46121,11.59585,15.76956,2.03826,9,0.02369,0.08632,3.63864,4.86243
"31","2017_Q4",46.711746031746,"Up",685539000,-595289000,90250000,-44366000,-44366000,45884000,-2795000,-2795000,-2795000,43089000,43089000,-13114000,29975000,29975000,8000,29983000,29983000,138772000,138772000,731291000,731291000,92214000,56920000,35294000,962277000,59423000,798024000,31795000,729338000,2852000,31801000,857447000,1819724000,273162000,156556000,116606000,15543000,200306000,200306000,489011000,310270000,105409000,53671000,51738000,415679000,904690000,230371000,803725000,-119232000,914864000,170000,915034000,1819724000,29975000,11143000,10927000,-30836000,21209000,-2918000,204000,204000,-3122000,-3122000,-2918000,-17018000,-29669000,10331000,-1469601.55657797,-52425000,-34134000,-34134000,1566000,-32568000,57027000,325813000,36387000,0.13165,0.06693,0.04374,0.03277,0.01648,1.21359,1.9678,0.9887,0.17905,0.52618,0.51731,12.0308,16.05532,0.63857,7,0.02653,0.02703,3.27987,4.07639
"32","2018_Q1",47.6809836065574,"Up",735189000,-634165000,101024000,-46151000,-46151000,54873000,-2779000,-2779000,-3508000,52094000,51868000,-17382000,34486000,34486000,-19000,34467000,34467000,189975000,189975000,788767000,788767000,63281000,49969000,13312000,1042023000,56835000,803887000,26688000,740886000,2700000,31850000,860722000,1902745000,321046000,177638000,143408000,15588000,201034000,201034000,537668000,341283000,95170000,43781000,51389000,436453000,974121000,194394000,832559000,-98500000,928453000,171000,928624000,1902745000,34486000,11379000,-29090000,53139000,69914000,-3230000,-507000,-507000,-2723000,-2723000,-2410000,30935000,-39437000,563000,-4814000,-18949000,48555000,48555000,2844000,51399000,66252000,356871000,133543000,0.13741,0.07464,0.04688,0.03712,0.01811,3.87452,1.93804,1.04899,0.18756,0.61199,0.60148,13.05378,16.48532,2.37115,7,0.02904,0.09672,2.51911,3.0415
"33","2018_Q2",51.66109375,"Up",759749000,-665604000,94145000,-45556000,-45556000,48589000,-3160000,-3160000,-3160000,45429000,45429000,623000,46052000,46052000,-18000,46034000,46034000,173025000,173025000,846201000,846201000,71445000,65856000,5589000,1090671000,56929000,823387000,24533000,763455000,2419000,32980000,880316000,1970987000,245461000,144628000,100833000,15511000,222944000,222944000,483916000,432431000,107519000,39240000,68279000,539950000,1023866000,175853000,873004000,-101901000,946956000,165000,947121000,1970987000,46052000,9983000,-3735000,-109982000,-57682000,-1433000,710000,710000,-2143000,-2143000,-19727000,9.5e+07,-19416000,5584000,-8812000,61183000,-16226000,-16226000,-725000,-16951000,58572000,447942000,-53466000,0.12392,0.06395,0.06059,0.0486,0.02336,-1.16145,2.25384,1.08103,0.22727,0.82417,0.80939,13.60217,16.95383,-0.95723,6,0.03436,-0.03558,4.69366,5.65801
"34","2018_Q3",64.164126984127,"Up",700261000,-608836000,91425000,-46791000,-46791000,44634000,-4092000,-4092000,-4092000,40542000,38624000,-9877000,28747000,28747000,-22000,28725000,28725000,203177000,203177000,863219000,863219000,83508000,65102000,18406000,1149904000,55495000,877394000,20847000,809690000,3167000,35102000,932889000,2082793000,295683000,155257000,140426000,15466000,248859000,248859000,560008000,463544000,119013000,45740000,73273000,582557000,1142565000,161944000,896146000,-118044000,940046000,182000,940228000,2082793000,28747000,10329000,4881000,37318000,81275000,-1481000,941000,941000,-2422000,-2422000,-47638000,22917000,-18639000,6361000,-861000,-2166000,31471000,31471000,-1322000,30149000,54963000,479010000,100677000,0.13056,0.06374,0.04102,0.03055,0.01379,3.50486,2.05337,1.2152,0.22998,0.51345,0.50594,12.51695,16.80304,1.79957,6,0.0223,0.06545,5.01852,6.17989
"35","2018_Q4",60.1855555555556,"Down",764795000,-655200000,109595000,-53907000,-53907000,55688000,-4345000,-4345000,-4345000,51343000,51151000,-17806000,33345000,33345000,-22000,33323000,33323000,214040000,214040000,847211000,847211000,72692000,60115000,12577000,1133943000,44719000,855168000,15378000,795752000,2560000,35277000,899887000,2033830000,275871000,131752000,144119000,18737000,268475000,268475000,563083000,418950000,115504000,41687000,73817000,534454000,1097537000,145023000,922806000,-131738000,936091000,202000,936293000,2033830000,33345000,10280000,16093000,-7039000,52679000,-287000,1494000,1494000,-1781000,-1781000,34513000,-41420000,-23745000,1255000,-6000,-71835000,15357000,15357000,-4501000,10856000,65968000,437687000,76448000,0.1433,0.07281,0.04357,0.03559,0.01638,2.29415,2.01381,1.17222,0.2152,0.59998,0.59091,13.77017,16.85436,1.37645,7,0.02685,0.05133,3.39023,4.01607
"36","2019_Q1",54.5559016393443,"Down",739343000,-650050000,89293000,-43866000,-43866000,45427000,-3927000,-3927000,-5751000,41500000,39358000,-10545000,28813000,28813000,-12000,28801000,28801000,146185000,146185000,694221000,694221000,209974000,56003000,11089000,1050380000,43278000,865763000,16123000,798820000,3370000,38843000,909041000,1959421000,348647000,160222000,180153000,12599000,256847000,256847000,618093000,264712000,109516000,30166000,79350000,374228000,992321000,149356000,944965000,-127350000,966971000,129000,967100000,1959421000,28813000,8044000,-15121000,87725000,109461000,-6525000,-3145000,-3145000,-3380000,-3380000,-9781999.99999999,-160478000,319999.999999996,320000,-2341000,-169140000,-69461000,-69461000,1601000,-67860000,53471000,277311000,145216000,0.12077,0.06144,0.03895,0.02978,0.0147,5.04205,1.69939,1.02608,0.14153,0.52044,0.51112,13.36001,17.47327,2.62407,5,0.02618,0.10726,2.45228,2.88652
"37","2019_Q2",65.7128571428571,"Up",717431000,-618747000,98684000,-42973000,-42973000,55711000,-2897000,-2897000,-2897000,52814000,52814000,-10782000,42032000,42032000,-35000,41997000,41997000,66502000,66502000,685669000,685669000,199371000,62641000,10185000,951542000,41795000,841552000,11984000,782564000,2904000,35652000,883347000,1834889000,247908000,119363000,111196000,12573000,271485000,271485000,531966000,247581000,101039000,27331000,73708000,348620000,880586000,131306000,977543000,-154693000,954156000,147000,954303000,1834889000,42032000,8274000,6496000,-72104000,-15302000,-3738000,115000,115000,-3853000,-3853000,-3738000,-16941000,-22686000,2314000,-12740000,-59021000,-78061000,-78061000,-1626000,-79687000,63985000,260154000,-1075000,0.13755,0.07765,0.05854,0.04401,0.02289,-0.0256,1.78873,0.92275,0.14178,0.75821,0.74508,12.95236,17.22614,-0.01941,4,0.03698,-0.00082,3.02652,3.47601
"38","2019_Q3",79.8215625,"Up",722621000,-626150000,96471000,-48898000,-48898000,47573000,-3164000,-3164000,-3164000,44409000,44381000,11563000,55944000,55944000,-34000,55910000,55910000,130728000,130728000,629597000,629597000,238095000,71999000,8178000,998420000,41660000,911785000,11698000,827676000,3536000,38294000,953445000,1951865000,293349000,135393000,156079000,12551000,318542000,318542000,624442000,231332000,105486000,25622000,79864000,336818000,961260000,111826000,1026836000,-148217000,990445000,160000,990605000,1951865000,55944000,6457000,-14503000,66652000,114550000,-3190000,135000,135000,-3325000,-3325000,355000,-16434000,-23480000,1520000,-5129000,-51659000,63246000,63246000,981000,64227000,54030000,243883000,105929000,0.1335,0.06583,0.07737,0.05644,0.02864,1.89463,1.5989,0.97038,0.12495,1.015,0.99918,13.11853,17.98063,1.92304,7,0.04666,0.07905,2.0943,2.37856
"39","2019_Q4",84.7378125,"Up",825794000,-707808000,117986000,-53145000,-53145000,64841000,-3546000,-3546000,-3546000,61295000,61295000,-12044000,49251000,49251000,-17000,49234000,49234000,111231000,111231000,728999000,728999000,276244000,123816000,6756000,1116474000,40072000,939877000,10438000,851621000,7655000,39591000,979949000,2096423000,340030000,179197000,160777000,12526000,294341000,294341000,646897000,324074000,109659000,24890000,84769000,433733000,1080630000,94839000,1067851000,-147078000,1015612000,181000,1015793000,2096423000,49251000,6562000,10151000,-51827000,14137000,-1845000,976000,976000,-2821000,-2821000,-41274000,93078000,-21075000,3925000,-410000,63374000,36237000,36237000,133000,36370000,71403000,336600000,29775000,0.14288,0.07852,0.05962,0.04847,0.02348,0.60476,1.72589,1.06383,0.16056,0.89796,0.88265,15.06126,18.52326,0.54305,6,0.0393,0.02037,3.1563,3.47572
"40","2020_Q1",83.4945161290323,"Down",841502000,-746460000,95042000,-55214000,-55214000,39828000,-4019000,-4019000,-5751000,35809000,16646000,-5112000,11534000,11534000,-7000,11527000,11527000,120732000,120732000,768720000,768720000,190340000,62196000,13820000,1079792000,39441000,1028175000,16440000,924820000,6873000,51657000,1067616000,2147408000,409993000,206609000,203384000,12500000,347461000,347461000,769954000,263934000,124056000,12971000,111085000,387990000,1157944000,78678000,1071192000,-160584000,989286000,178000,989464000,2147408000,11534000,7551000,3406000,72637000,95128000,-6774000,-575000,-575000,-6199000,-6199000,-55049000,-57932000,-21008000,3992000,-632000.000000001,-87757000,-47678000,-47678000,-1215000,-48893000,47379000,276434000,118354000,0.11294,0.04733,0.0137,0.01165,0.00537,10.26755,1.40241,1.17027,0.12873,0.21096,0.20716,15.40056,18.1052,2.16603,6,0.01418,0.08515,3.28631,3.90936
"41","2020_Q2",74.6055555555556,"Down",797623000,-687886000,109737000,-46435000,-46435000,63302000,-3349000,-3349000,-3349000,59953000,59953000,-12636000,47317000,47317000,-7000,47310000,47310000,110833000,110833000,735128000,735128000,204343000,82745000,10483000,1050304000,40438000,1261811000,14081000,937068000,7172000,275663000,1302249000,2352553000,264514000,140228000,124286000,12546000,435416000,435416000,712476000,322496000,290816000,13134000,277682000,613312000,1325788000,61294000,1110312000,-145015000,1026591000,174000,1026765000,2352553000,47317000,6235000,5530000,-77106000,-18024000,-2876000,455000,455000,-3331000,-3331000,-2876000,56814000,-19764000,1413000,-20054000,8806000,-12094000,-12094000,2200000,-9894000,69537000,335042000,2191000,0.13758,0.07936,0.05931,0.04608,0.02011,0.04631,1.47416,1.29123,0.14242,0.86712,0.85339,14.61919,18.81582,0.04016,4,0.03358,0.00133,3.22431,3.54189
"42","2020_Q3",87.481875,"Up",734133000,-637133000,9.7e+07,-51041000,-51041000,45959000,-3500000,-3500000,-3500000,42459000,44030000,-7617000,36413000,36413000,-16000,36397000,36397000,134981000,134981000,660579000,660579000,206380000,76602000,20612000,1001940000,35486000,1305724000,14859000,944718000,7345000,314729000,1341210000,2343150000,282081000,120587000,161494000,12525000,441149000,441149000,735755000,333041000,324116000,12908000,311208000,657157000,1392912000,11014000,1138485000,-199391000,950108000,130000,950238000,2343150000,36413000,6574000,1639000,56597000,101223000,3316000,5861000,5861000,-2545000,-2545000,-24423000,14557000,-53969000,6514000,-427000,-48063000,28737000,28737000,-4609000,24128000,52533000,345566000,120063000,0.13213,0.0626,0.04958,0.0383,0.01553,3.29871,1.36178,1.46586,0.14748,0.66757,0.65791,13.46489,17.42614,2.2021,4,0.02755,0.07412,4.00862,4.58202
"43","2020_Q4",111.07015625,"Up",709771000,-595374000,114397000,-50823000,-50823000,63574000,-3563000,-3563000,-3563000,60011000,59961000,-14457000,45504000,45504000,-6000,45498000,45498000,141658000,141658000,631866000,631866000,182722000,70519000,11879000,956246000,35398000,1297665000,12457000,958162000,6684000,293579000,1333063000,2289309000,278891000,113830000,165061000,12654000,441115000,441115000,732660000,264672000,298951000,13421000,285530000,563623000,1296283000,539000,1170087000,-177732000,992894000,132000,993026000,2289309000,45504000,6257000,-1503000,61093000,111351000,7362000,10846000,10846000,-3484000,-3484000,6596000,-70863000,-20192000,336000,-13096000,-113327000,4620000,4620000,2075000,6695000,69831000,277326000,152743000,0.16117,0.08957,0.0641,0.04582,0.01987,3.35714,1.30517,1.30539,0.12114,0.84231,0.83142,13.14001,18.38148,2.82774,6,0.03484,0.09733,1.9428,2.13402
"44","2021_Q1",130.838360655738,"Up",753364000,-627963000,125401000,-56316000,-56316000,69085000,-2688000,-2688000,-3290956.78927009,66397000,64047000,-19391000,44656000,44656000,-2000,44654000,44654000,157515000,157515000,649035000,649035000,193235000,81094000,19509000,999785000,35507000,1343266000,13943000,993498000,7332000,296441000,1378773000,2378558000,311605000,111804000,199801000,49264000,432587000,432587000,793456000,242395000,305334000,16316000,289018000,547729000,1341185000,538000,1198567000,-161786000,1037319000,54000,1037373000,2378558000,44656000,5545000,3791000,13937000,67929000,-2337000,6357376.84045651,6357376.84045651,-2686140.24918198,-2686140.24918198,-42320000,12106000,-12929000,2071000,-489000,-10465000,15144000,15144000,541000,15685000,74630000,291659000,105621000,0.16645,0.0917,0.05927,0.04305,0.01877,2.36532,1.26004,1.29287,0.12262,0.82935,0.81776,13.99213,19.26598,1.96168,7,0.03292,0.06463,1.79745,1.94172
"45","2021_Q2",124.408095238095,"Down",765104000,-648794000,116310000,-50058000,-50058000,66252000,-3026000,-3026000,-3026000,63226000,63226000,-10778000,52448000,52448000,-12000,52436000,52436000,163438000,163438000,673763000,673763000,198245000,91597000,15050000,1035446000,35141000,1344285000,10893000,1017909000,7919000,273053000,1379426000,2414872000,273547000,135435000,138112000,26179000,454995000,385383000,754721000,275983000,278914000,18462000,260452000,554897000,1309618000,542000,1232563000,-127919000,1105186000,68000,1105254000,2414872000,52448000,6238000,5669000,-31175000,33180000,-1786000,9000,9000,-1795000,-1795000,-1786000,8243000,-7505000,7495000,-24367000,-32827000,-1433000,-1433000,7356000,5923000,72490000,302162000,50307000,0.15202,0.08659,0.06853,0.04744,0.02171,0.9594,1.37196,1.1849,0.12513,0.97235,0.95972,14.18777,20.49411,0.93287,6,0.03655,0.02983,1.9137,2.09388
"46","2021_Q3",135.97140625,"Up",754764000,-642280000,112484000,-51677000,-51677000,60807000,-2823000,-2823000,-2823000,57984000,57984000,-12456000,45528000,45528000,-11000,45517000,45517000,225330000,225330000,629186000,629186000,209595000,87400000,27116000,1064111000,37423000,1353528000,8923000,1029573000,7700000,272592000,1390951000,2455062000,303285000,124260000,179025000,28885000,464532000,464532000,796702000,238339000,272793000,18152000,254641000,511132000,1307834000,542000,1261661000,-115056000,1147147000,81000,1147228000,2455062000,45528000,5286000,4738000,68692000,124244000,-2432000,70000,70000,-2502000,-2502000,-5497000,-35208000,-12724000,2276000,-1158000,-58302000,60445000,60445000,1447000,61892000,66093000,267224000,144809000,0.14903,0.08056,0.06031,0.03968,0.01854,3.18143,1.33564,1.13999,0.10885,0.83913,0.83071,13.9145,21.1483,2.66963,7,0.03244,0.08583,0.63386,0.68897
"47","2021_Q4",170.74796875,"Up",801632000,-675936000,125696000,-55890000,-55890000,69806000,-2736000,-2736000,-2736000,67070000,67070000,-15146000,51924000,51924000,-21000,51903000,51903000,234266000,234266000,664393000,664393000,207762000,95576000,20781000,1106421000,36001000,1368499000,9160000,1051796000,8180000,264736000,1404500000,2510921000,325787000,132602000,193185000,16252000,469309000,469309000,811348000,234020000,273058000,17715000,255343000,507078000,1318426000,541000,1294260000,-102401000,1192400000,95000,1192495000,2510921000,51924000,5287000,4964000,6939000,69114000,-1683000,254000,254000,-1937000,-1937000,-15772000,-17038000,-14068000,932000,-4438000,-46375000,6967000,6967000,1969000,8936000,75093000,250272000,95495000,0.1568,0.08708,0.06475,0.04352,0.02067,1.83987,1.36368,1.1056,0.09967,0.95966,0.94861,14.82171,22.04678,1.76565,8,0.03656,0.05566,0.21315,0.22929
"48","2022_Q1",152.773548387097,"Down",892013000,-748103000,143910000,-65347000,-65347000,78563000,-3246000,-3246000,-2819162.93083365,75317000,78590000,4341000,82931000,82931000,23000,82954000,82954000,166568000,166568000,668998000,668998000,230382000,112338000,14260000,1065948000,37733000,1472881000,37990000,1108578000,3282000,268618000,1510614000,2576562000,335089000,128767000,206322000,12504000,500890000,500890000,848483000,2e+08,293788000,10563000,283225000,493788000,1342271000,540000,1358726000,-125028000,1234238000,53000,1234291000,2576562000,82931000,6994000,-34567000,22476000,77834000,-2180000,-3618658.6696659,-3618658.6696659,2109914.31544504,2109914.31544504,-69937000,-39424000,-14453000,547000,-7918000,-72595000,-64698000,-64698000,-3e+06,-67698000,85557000,212504000,101512000,0.16133,0.08807,0.093,0.06721,0.0322,1.22371,1.2563,1.08748,0.08248,1.53286,1.51747,16.48305,22.80684,1.87579,5,0.05386,0.05832,0.53691,0.5847
"49","2022_Q2",136.361774193548,"Down",858510000,-718744000,139766000,-52546000,-52546000,87220000,-2904000,-2904000,-3126738.79250094,84316000,84316000,-15817000,68499000,68499000,-10000,68489000,68489000,205542000,205542000,696586000,696586000,211272000,103266000,9567000,1113400000,35428000,1491628000,36535000,1123060000,3893000,269264000,1527056000,2640456000,308849000,142847000,166002000,16728000,523691000,523691000,849268000,246875000,306368000,13916000,292452000,553243000,1402511000,540000,1360390000,-123048000,1237882000,63000,1237945000,2640456000,68499000,6111000,4352000,3457000,82419000,1996000,-14195476.0089977,-14195476.0089977,11368492.9463351,11368492.9463351,-6862000,50088000,-49040000,960000,-26669000,-36414000,39143000,39143000,-169000,38974000,93331000,263603000,114601000,0.1628,0.10159,0.07978,0.05532,0.02594,1.67328,1.31101,1.13293,0.09983,1.26557,1.25286,15.86396,22.87418,2.11765,7,0.04385,0.06339,0.6221,0.66568
"50","2022_Q3",139.3965625,"Up",852745000,-717571000,135174000,-60654000,-60654000,74520000,-3144000,-3144000,-3712977.58500188,71376000,71376000,-18327000,53049000,53049000,-8999.99999999999,53040000,53040000,194378000,194378000,667125000,667125000,220123000,100648000,4517000,1081626000,36715000,1527284000,39480000,1158623000,4605000,265304000,1563999000,2645625000,312023000,128683000,183340000,12503000,530665000,530665000,855191000,237500000,308292000,17098000,291194000,545792000,1400983000,537000,1359367000,-115303000,1244601000,41000,1244642000,2645625000,53049000,6551000,7657000,27873000,95130000,-7075000,-34123952.0179954,-34123952.0179954,27568485.8926703,27568485.8926703,-28704000,-16435000,-49755000,245000,-2421000,-79380000,-12954000,-12954000,1790000,-11164000,81071000,250003000,120196000,0.15852,0.08739,0.0622,0.04261,0.02005,2.26614,1.26478,1.12561,0.0945,0.98337,0.97184,15.81002,23.07509,2.22845,8,0.03539,0.06667,0.68613,0.74644
