"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",31.3711111111111,"Down",514485000,-329733000,184752000,-162684000,-162684000,22068000,-1022000,-1022000,21046000,-418999.999999996,20627000,-6771000,13856000,13856000,-7999.99999999997,13848000,13848000,29401000,27148000,2253000,227212000,227212000,167205000,43424000,43424000,467242000,387941000,545976000,254221000,933917000,1401159000,387853000,387853000,93323000,484363000,2.4e+08,182447000,111270000,71177000,422447000,906810000,493991000,358000,494349000,1401159000,13856000,17625000,459999.999999996,-27234000,4707000.00000001,-26076000,-501000,-4328000,-30905000,-12595000,41649000,-4836000,6515000,-11351000,0,24218000,-1980000,-1980000,-1980000,39693000,333323000,-6846000,0.3591,0.04289,0.02692,0.02801,0.00988,-0.494370000000004,0.96465,1.83435,0.23789,0.31346,0.30566,11.64573,11.18183,-0.15496,0.2851,0.02618,-0.00678000000000002,0.90952,7.65682,13.77207
"31","2017_Q4",30.7550793650794,"Down",599455000,-378211000,221244000,-169547000,-169547000,51697000,-1764000,-1764000,49933000,6022000,55955000,-18624000,37331000,37331000,-60000,37271000,37271000,24108000,22416000,1692000,266087000,266087000,154085000,43863000,43863000,488143000,392974000,544299000,30113000,937273000,1425416000,430617000,430617000,17270000,450905000,2.95e+08,183630000,118394000,65236000,478630000,929535000,495463000,418000,495881000,1425416000,37331000,18060000,4278000,24977000,84646000,-27424000,-834000,-3649000,-32805000,-12448000,-17603000,-26522000,3711000,-30233000,0,-56573000,-4732000,-4732000,-4732000,69757000,312270000,85934000,0.36908,0.08624,0.06217,0.07516,0.02615,2.30565,1.08259,1.87451,0.21907,0.85322,0.83794,13.72291,11.34229,1.96723,0.28496,0.05013,0.08665,0.33399,4.13094,5.57406
"32","2018_Q1",32.3560655737705,"Up",584275000,-380006000,204269000,-175934000,-175934000,28335000,-2317000,-2317000,26018000,-38947000,-12929000,46859000,33930000,33930000,-91000,33839000,33839000,25363000,23348000,2015000,258551000,258551000,155683000,49283000,49283000,488880000,390321000,512349000,21264000,902670000,1391550000,450128000,450128000,36648000,489703000,2.4e+08,147270000,76861000,70409000,387270000,876973000,514068000,509000,514577000,1391550000,33930000,18348000,-4668000,28195000,75805000,-21738000,-577000,-881000,-23196000,-12382000,-36804000,-2455000,2200000,-4655000.00000001,-36000,-51677000,932000,932000,932000,46683000,276648000,6281000,0.34961,0.0485,0.05792,0.06576,0.02432,0.18561,0.99832,1.70426,0.19881,0.77889,0.76694,13.44855,11.83256,0.14457,0.285,0.04925,0.00668999999999999,0.36591,5.38279,8.86836
"33","2018_Q2",31.17734375,"Down",505069000,-328150000,176919000,-171895000,-171895000,5024000,-2224000,-2224000,2800000,-1338000,1462000,999000,2461000,2461000,49000,2510000,2510000,30644000,28813000,1831000,223043000,223043000,158688000,47706000,47706000,460081000,374940000,510118000,23214000,885058000,1345139000,347029000,347029000,78964000,427855000,2.5e+08,153043000,75931000,77112000,403043000,830898000,513740000,501000,514241000,1345139000,2461000,18445000,3029000,-54688000,-30753000,5970000,-605000,-2504000,2861000,-12381000,50474000,-4581000,2764000,-7345000,-155000,33357000,5465000,5465000,5465000,23469000,328964000,-26248000,0.35029,0.00995,0.00497,0.00488,0.00187,-10.45737,1.07532,1.61578,0.24456,0.05789,0.05687,11.64828,11.84826,-0.60535,0.28554,0.01495,-0.02635,4.93267,12.71124,59.37898
"34","2018_Q3",36.3093650793651,"Up",543614000,-342744000,200870000,-172973000,-172973000,27897000,-2629000,-2629000,25268000,-837000,24431000,-5835000,18596000,18596000,1000,18597000,18597000,33325000,31065000,2260000,238905000,238905000,185371000,49801000,49801000,507402000,376946000,504040000,21956000,880986000,1388388000,409266000,409266000,434000,412899000,296397000,153798000,77870000,75928000,450195000,863094000,524794000,5e+05,525294000,1388388000,18596000,18835000,5187000,17613000,60231000,-14213000,-724000,-640000,-15577000,-12887000,-33731000,4216000,5991000,-1775000,0,-42402000,2252000,2252000,2252000,46732000,296831000,55967000,0.36951,0.05132,0.03421,0.0354,0.01339,3.00946,1.22888,1.64307,0.2138,0.4259,0.41989,12.44953,12.01853,1.28172,0.29513,0.03226,0.05735,0.692960000000002,5.63866,9.44568
"35","2018_Q4",32.8371428571429,"Down",611120000,-377789000,233331000,-179577000,-179577000,53754000,-2522000,-2522000,51232000,-128000,51104000,-11197000,39907000,39907000,0,39907000,39907000,45618000,43738000,1880000,254898000,254898000,174551000,38839000,38839000,513906000,379331000,502509000,21504000,881840000,1395746000,430723000,430723000,720000,435961000,249334000,157377000,79749000,77628000,406711000,842672000,552574000,5e+05,553074000,1395746000,39907000,18607000,5654000,21391000,85559000,-8958000,-1142000,-438000,-13388000,-12933000,-46783000,218000,7141000,-6923000,2.3283064365387e-10,-59498000,12673000,12673000,12673000,72361000,250054000,95991000,0.38181,0.08796,0.0653,0.07215,0.02859,2.40537,1.17879,1.52362,0.17915,0.91064,0.8932,13.94519,12.60922,2.19043,0.29512,0.05501,0.09994,0.32408,2.82522,3.80318
"36","2019_Q1",33.5290163934426,"Up",598092000,-374174000,223918000,-166695000,-166695000,57223000,-2073000,-2073000,55150000,-13422000,41728000,-9366000,32362000,32362000,1000,32363000,32363000,78146000,76819000,1327000,255207000,255207000,157178000,41352000,41352000,531883000,384933000,485028000,20169000,869961000,1401844000,428865000,428865000,679000.000000004,434308000,249355000,154922000,82155000,72767000,404277000,838585000,562933000,326000,563259000,1401844000,32362000,18901000,12939000,7191000,71393000,-14680000,2895000,-3331000,-15116000,-12884000,4128000,-10699000,3710000,-14409000,-3741000,-23196000,33081000,33081000,33081000,76124000,250034000,78001000,0.37439,0.09568,0.05411,0.05746,0.02309,2.41019,1.22467,1.48881,0.17836,0.74044,0.73204,13.68393,12.87952,1.78461,0.29478,0.04673,0.08056,0.398110000000001,2.258,3.00383
"37","2019_Q2",31.5801587301587,"Down",479456000,-309842000,169614000,-165937000,-165937000,3677000,-2111000,-2111000,1566000,0,1566000,-546000,1020000,1020000,2000,1022000,1022000,49577000,47872000,1705000,224650000,224650000,170589000,39192000,39192000,484008000,387929000,551459000,91340000,939388000,1423396000,346185000,346185000,23197000,372860000,354564000,150721000,83071000,67650000,505285000,878145000,544927000,324000,545251000,1423396000,1020000,19040000,11536000,-59870000,-28274000,-17507000,0,-1071000,-18578000,-12872000,46291000,-18456000,5413000,-23869000,2942000,17905000,-28947000,-28947000,-28947000,22717000,377761000,-54114000,0.35376,0.00767,0.00213,0.00187,0.00072,-52.94912,1.2981,1.61053,0.26539,0.02348,0.02318,11.01349,12.51741,-1.24304,0.29568,0.01294,-0.0504,12.59491,14.44663,89.2532
"38","2019_Q3",29.425625,"Down",526026000,-333437000,192589000,-168411000,-168411000,24178000,-2480000,-2480000,21698000,-930000,20768000,-4957000,15811000,15811000,-1000,15810000,15810000,30450000,28782000,1668000,245331000,245331000,193952000,41318000,41318000,511051000,386080000,544978000,90053000,931058000,1442109000,396301000,396301000,23295000,423178000,341704000,147718000,83965000,63753000,489422000,912600000,529184000,325000,529509000,1442109000,15811000,19410000,10107000,-4286999.99999999,41041000,-16993000,-2459000,1950000,-17502000,-13203000,-9886000,-19995000,13493000,-33488000,455000,-42629000,-19090000,-19090000,-19090000,43588000,364999000,27265000,0.36612,0.04596,0.03006,0.02986,0.01096,1.72454000000001,1.20765,1.72348,0.2531,0.36582,0.36236,12.17157,12.24465,0.63088,0.3055,0.02784,0.02616,0.835099999999999,7.67525,13.83692
"39","2019_Q4",34.18796875,"Up",625386000,-387714000,237672000,-176732000,-176732000,60940000,-2204000,-2204000,58736000,-284000,58452000,-12375000,46077000,46077000,1000,46078000,46078000,53861000,53013000,848000,271960000,271960000,181922000,36824000,36824000,544567000,380081000,545828000,96254000,925909000,1470476000,435103000,435103000,22447000,459426000,300561000,150144000,85788000,64356000,450705000,910131000,560022000,323000,560345000,1470476000,46077000,19388000,11394000,25996000,102855000,-11346000,-3681000,1239000,-13788000,-13089000,-45669000,-4317000,3432000,-7749000,-1761000,-64836000,24231000,24231000,24231000,80328000,323008000,107353000,0.38004,0.09744,0.07368,0.08223,0.03134,2.32981,1.18532,1.62423,0.21966,1.07408,1.0681,14.5778,13.05416,2.50241,0.30511,0.05725,0.10387,0.28406,3.3506,4.41659
"40","2020_Q1",29.9291935483871,"Down",616079000,-382192000,233887000,-168969000,-168969000,64918000,-1833000,-1833000,63085000,-1157000,61928000,-14333000,47595000,47595000,0,47595000,47595000,53169000,52073000,1096000,278124000,278124000,163465000,34076000,37635000,528834000,381507000,542171000,96286000,923678000,1452512000,453202000,453202000,25503000,478705000,234253000,155186000,87196000,67990000,389439000,868144000,584044000,324000,584368000,1452512000,47595000,19589000,10561000,26013000,103758000,-14980000,4283000,-2330000,-13027000,-13068000,-65635000,-10646000,8135000,-18781000,-2322000,-91671000,-940000,-940000,-940000,84507000,259756000,109873000,0.37964,0.10537,0.07725,0.08145,0.03277,2.3085,1.10472,1.48561,0.17883,1.11326,1.10378,14.41019,13.66089,2.56995,0.30566,0.0607,0.10995,0.27457,2.44461,3.18228
"41","2020_Q2",23.2507936507936,"Down",468704000,-292686000,176018000,-167085000,-167085000,8933000,-1811000,-1811000,7122000,-32661000,-25539000,1643000,-23896000,-23896000,1000,-23895000,-23895000,36248000,35413000,835000,235617000,235617000,170522000,3.9e+07,44170000,481387000,374586000,513926000,95156000,888512000,1369899000,338954000,338954000,23686000,365615000,287524000,165105000,98708000,66397000,452629000,818244000,551332000,323000,551655000,1369899000,-23896000,19487000,52988000,-81885000,-33306000,-8439000,-460000,-4671000,-22891000,-13033000,55129000,-5117000,722000,-5839000,2558000,39537000,-16660000,-16660000,-16660000,28420000,311210000,-63547000,0.37554,0.01906,-0.05098,-0.04332,-0.01744,2.65943,1.31665,1.48325,0.22718,-0.56055,-0.56055,10.99521,12.93356,-1.49073,0.30574,-0.01057,-0.06182,-0.54543,9.67495,30.78048
"42","2020_Q3",28.4321875,"Up",417457000,-266552000,150905000,-136063000,-136063000,14842000,-1943000,-1943000,12899000,-3.72529029846191e-09,12899000,-344000.000000002,12555000,12555000,1000,12556000,12556000,28514000,26204000,2310000,208795000,208795000,156647000,37038000,42816000,430994000,368847000,515522000,99205000,884369000,1315363000,334719000,334719000,23920000,361592000,245881000,154821000,87484000,67337000,400702000,762294000,552747000,322000,553069000,1315363000,12555000,19118000,-1782000,31235000,61126000,-7231000,-128000,-365999.999999999,-9261000,-13007000,-46828000,-353000,571999.999999999,-925000.000000002,-886000,-61074000,-9209000,-9209000,-9209000,33960000,269801000,58308000,0.36149,0.03555,0.03008,0.0227,0.00955000000000001,4.64384,1.19193,1.3783,0.20512,0.29447,0.29447,9.79027,12.96311,1.36745,0.30504,0.02615,0.05964,1.03592,7.10504,16.25704
"43","2020_Q4",33.4796875,"Up",507063000,-321516000,185547000,-146785000,-146785000,38762000,-1517000,-1517000,37245000,0,37245000,-6558000,30687000,30687000,1000,30688000,30688000,110880000,109385000,1495000,209921000,209921000,144135000,35499000,41490000,500435000,364333000,509957000,97670000,874290000,1374725000,390535000,390535000,23815000,417240000,233972000,149923000,82736000,67187000,383895000,801135000,573269000,321000,573590000,1374725000,30687000,19312000,3355000,62187000,115541000,-9e+06,-88000,-2213000,-11301000,-13020000,-9010000,916000,916000,0,54999.9999999995,-21059000,83181000,83181000,83181000,58074000,257787000,117819000,0.36592,0.07644,0.06052,0.0535,0.02232,3.83925,1.19939,1.3967,0.18752,0.71894,0.70633,11.87918,13.43022,2.7602,0.30503,0.04454,0.12006,0.42427,2.52965,3.78997
"44","2021_Q1",34.4270491803279,"Up",562139000,-353489000,208650000,-170994000,-170994000,37656000,-1719000,-1719000,35937000,-6157000,29780000,-7207000,22573000,22573000,-5000,22568000,22568000,117807000,116120000,1687000,202457000,202457000,137811000,37660000,37660000,495735000,365957000,556340000,97444000,922297000,1418032000,413638000,413638000,25390000,439028000,232289000,155970000,74706000,81264000,388259000,827287000,590419000,326000,590745000,1418032000,22573000,19766000,8374000,20395000,71108000,-7626000,64999.9999999999,-1957000,-56919000,-13036000,839000.000000007,5854000,5854000,0,-1111000,-7453999.99999999,6734999.99999997,6734999.99999997,6734999.99999997,57422000,257679000,77398000,0.37117,0.06699,0.04015,0.0382,0.01592,3.42955,1.12916,1.40041,0.18172,0.52725,0.52351,13.13317,13.79387,1.80824,0.30456,0.03545,0.07706,0.57763,2.43586000000001,3.71446999999998
"45","2021_Q2",41.0212698412698,"Up",484293000,-304347000,179946000,-157346000,-157346000,22600000,-1755000,-1755000,20845000,-8618842.92343078,20845000,-5827000,15018000,15018000,1000,15019000,15019000,96057000,94281000,1776000,193135000,193135000,154176000,42204000,42204000,485572000,362890000,557119000,101633000,920009000,1405581000,367072000,367072000,27585000,394657000,232444000,160719000,75824000,84895000,393163000,787820000,617436000,325000,617761000,1405581000,15018000,20463000,14480000,-48277000,1684000,-16149000,-83000,-2767000,-20407000,-13234000,429000,13030000,13030000,-4323361.643738,-3341000,-3116000,-21839000,-21839000,-21839000,43063000,260029000,-15536000,0.37156,0.04667,0.03101,0.02431,0.01069,-1.03442,1.23036,1.27528,0.185,0.34796,0.3446,11.2201,14.30475,-0.35994,0.30661,0.02721,-0.01496,0.88115,3.80772,7.2554
"46","2021_Q3",36.89390625,"Down",-483298300,303720100,-179578200,157025500,157025500,-22552700,1751400,1751400,-20801300,-9267451.35003889,-20801300,5815800,-14985500,-14985500,-1000,-14986500,-14986500,118600000,118498000,102000,209560000,209560000,187467000,47571000,47571000,563198000,360305000,553685000,102061000,913990000,1477188000,420706000,420706000,30193000,450899000,232469000,159037000,73327000,85710000,391506000,842405000,634460000,323000,634783000,1477188000,-14985600,-20421900,-14456600,48217400,-1646700.00000001,16123000,83000,2760600,20373100,13207200,-425800,-13007200,-13000700,-6500,3341000,3115200,21841600,21841600,21841600,-42974600,262662000,15550000,0.37157,0.04666,0.03101,-0.0236100000000004,-0.0101499999999997,-1.0376,1.24906,1.32708,0.17781,-0.34721,-0.34385,-11.19705,14.69916,0.36026,-0.30598,-0.0266899999999987,0.014719999999999,0.88127,-3.35226000000013,-6.38779
"47","2021_Q4",38.4959375,"Up",586700,-391400,195300,-169100,-169100,26200,-1900,-1900,24300,-8396334.10162756,24300,-5200,19100,19100,0,19100,19100,127735000,126436000,1299000,234435000,234435000,188590000,44702000,44702000,595462000,362008000,576896000,130138000,938904000,1534366000,464599000,464599000,29545000,494144000,246491000,164024000,72754000,91270000,410515000,904659000,629384000,323000,629707000,1534366000,19200,20900,6600,4400,51100,-12000,-100,-3200,-15300,-13600,-700,-11400,600,-12000,-2600,-28300,7500,7500,7500,47100,276036000,44700,0.33288,0.04466,0.03255,3e-05,1e-05,2.34031,1.20504,1.43663,0.1799,0.00044,0.00043,0.01346,14.44436,0.00103,0.00031,3e-05,4e-05,0.71204,3148.64119,5660.34351
"48","2022_Q1",39.045,"Up",2182826600,-1426029700,756796900,-665151400,-665151400,91645500,-7147500,-7147500,84498000,-6299000,78199000,-18439600,59759400,59759400,3000,59762400,59762400,53700,52300,1400.00000000023,237200,237200,181600,51100,51100,523600,366800.00000006,607700,136199.999999985,974500.000000238,1498099.99999976,473799.99999994,473799.99999994,32700,506499.99999994,245799.99999997,155700,75000,80700,401500,907999.999999881,589600,300,589900,1497900,59759400,83084000,48810000,-60109800,131543600,-53425000,-115900,-12865400,-110956800,-53709600,2407500,-28043400,31105100,-59148500,-5101400,-84446900,-63860100,-63860100,-63860100,174729500,278500,79634300,0.34671,0.04198,0.02738,101.30937,39.89213,1.33252,1.03376,1.53924,0.1859,1.34585,1.32121,49.15723,0.0132799999999982,1.79336,1.20954,110.78004,77.74509,0.89872,0.00129000000015367,0.00244999999995343
"49","2022_Q2",35.4295161290323,"Down",572328000,-375419000,196909000,-176472000,-176472000,20437000,-1986000,-1986000,18451000,-3319118.30142079,18451000,-4274000,14177000,14177000,1000,14178000,14178000,24818000,23483000,1335000,249982000,249982000,206561000,51559000,51559000,532920000,363641000,628443000,161226000,992084000,1525004000,434793000,434793000,28068000,462861000,327881000,152222000,74024000,78198000,480103000,942964000,581718000,322000,582040000,1525004000,14177000,21098000,10257000,-84482000,-38950000,-15098000,-267000,-3138000,-20157000,-13359000,65284000,-22409000,2749000,-25158000,804000,30320000,-28787000,-28787000,-28787000,41535000,355949000,-53771000,0.34405,0.03571,0.02477,0.02436,0.0093,-3.79257,1.15136,1.6201,0.23341,0.32384,0.31974,13.07252,13.287,-1.22818,0.30513,0.02526,-0.04932,0.94223,7.97234,16.20252
"50","2022_Q3",32.6246875,"Down",-571133900,374642400,-196491500,176105900,176105900,-20385600,1981900,1981900,-18403700,-1000,-18404700,4272200,-14132500,-14132500,-1000,-14133500,-14133500,20600.0000000149,19600,1000,252600,252600,227000.00000006,124600,53400,624800.000000119,346199.999999881,616000,157800,962200.000000238,1587000,423400,423400,68700,492100.000000119,392500,140199.99999994,61700,78500,532700,1024800,561700,300,562000,1586800,-14132500,-21055600,-10247400,84360300,38924800,15070100,266700,3130200,20111700,13332300,-65151500,22347200,-2745600,25092800,-804000,-30276000,28760500,28760500,28760500,-41441200,461200,53717000,0.34404,0.03569,0.02475,-25.14858,-8.9058,-3.80069,1.26966,1.82349,0.29061,-0.33343,-0.32814,-13.47395,0.0132499999999993,1.26727,-0.31453,-23.60416,46.16449,0.94331,-0.010630000000023,-0.0216100000000594
