"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2018_Q2",16.876875,"Down",181302000,-80979000,100323000,-88774000,-88774000,11549000,-129000,-129000,11420000,11420000,-4005000,7415000,7415000,7415000,7415000,52728000,52728000,10088000,10088000,157505000,21787000,21787000,242108000,267257000,55061000,45128000,9933000,322318000,564426000,66210000,17231000,48979000,69165000,69165000,135747000,26144000,26144000,26407000,162154000,376741000,-634532000,664148000,-4261000,402096000,402272000,564426000,7415000,5086000,1655000,3476000,17632000,-2649000,4000,4000,-2653000,-2653000,-2602000,-5239000,-14059000,4000,-20394000,-5364000,-5364000,107000,-5257000,16635000,635000,21467000,0.55335,0.0637,0.0409,0.01843,0.01314,2.89508,1.78352,0.4031,0.00113,0.27004,0.26715,6.60264,14.6435,0.78178,0.19079,0.02949,0.05003,0.70654,-3.13153,-4.51061
"30","2018_Q3",16.4639682539683,"Down",198481000,-90690000,107791000,-90253000,-90253000,17538000,150000,150000,17688000,17688000,-2826000,14862000,14862000,14862000,14862000,41987000,41987000,14457000,14457000,160843000,19169000,19169000,236456000,263396000,55160000,45128000,10032000,318556000,555012000,67916000,17003000,50913000,58587000,58587000,126779000,25316000,25316000,25539000,152318000,377512000,-634532000,665209000,-5653000,402536000,402694000,555012000,14862000,4954000,-380000,-22913000,-3477000,-2006000,322000,322000,-2328000,-2328000,-1951000,-5243000,-136000,133000,-5246000,-10674000,-10674000,-50000,-10724000,22492000,499000,399000,0.54308,0.08836,0.07488,0.03691,0.02678,0.02685,1.8651,0.37825,9e-04,0.54097,0.53599,7.22458,14.65206,0.0145200000000001,0.19084,0.04692,0.00093,0.35278,-1.84457,-2.36561
"31","2018_Q4",14.2677777777778,"Down",181419000,-84711000,96708000,-92835000,-92835000,3873000,-70000,-70000,3803000,3803000,-1187000,2616000,2616000,2616000,2616000,44977000,44977000,15933000,15933000,163748000,19356000,19356000,244014000,265122000,55421000,45128000,10293000,320543000,564557000,68997000,24680000,44317000,67626000,67626000,137209000,24830000,24830000,25949000,163158000,377401000,-634532000,662581000,-4202000,401248000,401399000,564557000,2616000,4915000,-470000,13874000,20935000,-4139000,1000,1000,-4140000,-4140000,-4087000,-13801000,-111000,4000,-13908000,2940000,2940000,73000,3013000,8788000,1705000,19710000,0.53306,0.02135,0.01442,0.00651999999999999,0.00463,7.5344,1.77841,0.40647,0.00302,0.09521,0.09447,6.60306,14.60411,0.71738,0.50231,0.03836,0.04606,5.27561,-4.92399,-11.17273
"32","2019_Q1",14.6949180327869,"Up",205582000,-94440000,111142000,-95235000,-95235000,15907000,249000,249000,16156000,16156000,-4678000,11478000,11478000,11478000,11478000,22363000,22363000,12364000,12364000,163012000,16686000,16686000,214425000,267903000,48105000,19740000,1289000,316008000,530433000,52214000,33288000,18926000,68462000,68462000,121260000,24207000,24207000,25303000,146563000,377440000,-656551000,669013000,-6171000,383731000,383870000,530433000,11478000,4876000,-6000.00000000006,-8941000,7407000,-3365000,5.82076609134674e-11,5.82076609134674e-11,-3365000,-3365000,-9602000,-5226000,-150000,53000,-27343000,-29538000,-29538000,-162000,-29700000,20783000,1680000,13155000,0.54062,0.07738,0.05583,0.0299,0.02164,1.14611,1.76831,0.3818,0.00317,0.42706,0.42005,7.64899,14.2773,0.48945,0.19444,0.04077,0.0321,0.455309999999998,-0.99519,-1.30025
"33","2019_Q2",16.3684126984127,"Up",187785000,-86335000,101450000,-89651000,-89651000,11799000,-27000,-27000,11772000,11772000,-2932000,8840000,8840000,8840000,8840000,39590000,39590000,12772000,12772000,165719000,18211000,18211000,236292000,266650000,48012000,45128000,2884000,314662000,550954000,67997000,18807000,49190000,67576000,67576000,136125000,23915000,23915000,24842000,160967000,378568000,-656551000,672781000,-4924000,389874000,389987000,550954000,8840000,5e+06,706000,9894000,24440000,-2777000,0,0,-2777000,-2777000,-2745000,-5065000,-165000,637000,-4593000,17102000,17102000,125000,17227000,16799000,1479000,26848000,0.54025,0.06283,0.04708,0.02267,0.01604,3.0371,1.73585,0.41275,0.00268,0.33309,0.32814,7.07581,14.69061,1.01164,0.19085,0.03348,0.06463,0.57296,-2.26865,-3.23002
"34","2019_Q3",14.97421875,"Down",197152000,-88292000,108860000,-92732000,-92732000,16128000,152000,152000,16280000,16280000,-4090000,12190000,12190000,12190000,12190000,38763000,38763000,9234000,9234000,159174000,15925000,15925000,223096000,262972000,48423000,45128000,3295000,311395000,534491000,85456000,16407000,69049000,54242000,54242000,140236000,23794000,23794000,24590000,164826000,379048000,-656551000,653193000,-6119000,369571000,369665000,534491000,12190000,4925000,48999.9999999998,-10129000,7035000,-2176000,999.999999999971,999.999999999971,-2177000,-2177000,-2114000,-5072000,-145000,-363000,-5580000,-659000,-659000,-168000,-827000,21053000,1334000,12838000,0.55216,0.0818,0.06183,0.03298,0.02281,1.05316,1.59086,0.44588,0.0025,0.45874,0.45276,7.41926,13.90776,0.48312,0.19087,0.04372,0.03252,0.41608,-1.77785,-2.32075
"35","2019_Q4",14.82265625,"Down",177829000,-79435000,98394000,-87725000,-87725000,10669000,-62000,-62000,10607000,10607000,-2629000,7978000,7978000,7978000,7978000,25742000,25742000,15838000,15838000,164625000,17905000,17905000,224110000,260222000,48500000,19740000,1731000,308722000,532832000,63515000,19494000,44021000,62393000,62393000,126452000,24673000,24673000,33331000,159783000,379246000,-656551000,656096000,-5816000,372975000,373049000,532832000,7978000,4924000,-41000,-29000,12832000,-2036000,0,0,-2036000,-2036000,-2006000,-31779000,7867000,-21000,-23933000,-13107000,-13107000,86000,-13021000,15593000,9202000,16157000,0.55331,0.06,0.04486,0.02139,0.01497,2.02519,1.77229,0.42832,0.01727,0.29594,0.30239,6.59652,13.83541,0.59934,1.17883,0.0977,0.03971,3.98333,-1.06073,-1.55029
"36","2020_Q1",11.7582258064516,"Down",183918000,-83131000,100787000,-86772000,-86772000,14015000,-150000,-488000,13865000,-4799000,1489000,-3310000,-3310000,-3310000,-3310000,20824000,20824000,14247000,14247000,162389000,18830000,18830000,216290000,245246000,48815000,19740000,1579000,294061000,510351000,56812000,35485000,21327000,65464000,65464000,122826000,23080000,23080000,23596000,146422000,378404000,-656597000,647710000,-5651000,363866000,363929000,510351000,-3310000,4681000,14353000,-4784000,10940000,-2130000,0,0,-2130000,-2130000,-2635000,-5074000,-8701000,-253000,-13232000,-4927000,-4927000,9000.00000000006,-4918000,18696000,1066000,10293000,0.548,0.0762,-0.018,-0.0091,-0.00649,-3.10967,1.76095,0.40234,0.00209,-0.12392,-0.12371,6.88574,13.62284,0.38536,0.18997,0.00455,0.02652,-1.53293,-1.0568,-1.40978
"37","2020_Q2",9.12555555555556,"Down",173921000,-80127000,93794000,-86010000,-86010000,7784000,19000,19000,7803000,18660000,-4554000,14106000,14106000,14106000,14106000,45876000,45876000,12345000,12345000,151421000,23189000,23189000,232831000,244574000,176494000,19740000,129306000,421068000,653899000,51528000,29020000,22508000,108371000,108371000,159899000,123497000,123497000,123497000,283396000,378573000,-656597000,654621000,-6150000,370447000,370503000,653899000,14106000,3976000,-1963000,7277000,23396000,8201000,11615000,11615000,-3414000,-3414000,6940000,-5075000,52936292.7009561,-119000,-5194000,25142000,25142000,-90000,25052000,11760000,0,31792000,0.53929,0.04476,0.08111,0.03807,0.02157,2.25379,1.45611,0.7649,-3.46944695195361e-18,0.52806,0.52733,6.51073,13.86767,1.19013,0.18998,0.03883,0.06436,0.35978,-3.90102,-5.89363
"38","2020_Q3",10.8634375,"Up",174574000,-77053000,97521000,-88495000,-88495000,9026000,63000,-118000,9089000,9267000,-2181000,7086000,7086000,7086000,7086000,28306000,28306000,13139000,13139000,138997000,18998000,18998000,199440000,245271000,177216000,19740000,130006000,422487000,621927000,46440000,27256000,19184000,91002000,91002000,137442000,121660000,121660000,121660000,259102000,378580000,-666626000,656211000,-5377000,362788000,362825000,621927000,7086000,4454000,7205000,-18753000,-8000,-3765000,808000,808000,-4573000,-4573000,-3765000,-5610000,128870785.632093,-159000,-13879000,-17652000,-17652000,82000,-17570000,13480000,-3.72529029846191e-09,-6857000.00000001,0.55862,0.0517,0.04059,0.01953,0.01139,-0.967679999999999,1.45108,0.71412,0,0.2666,0.26627,6.56812,13.64942,-0.25799,0.21107,0.02621,-0.01415,0.791700000000001,-2.09985,-3.13605
"39","2020_Q4",14.71265625,"Up",149774000,-65825000,83949000,-83841000,-83841000,108000,213000,-85000,321000,-541000,318000,-223000,-223000,-223000,-223000,116868000,116868000,10482000,10482000,138774000,21204000,21204000,287328000,242490000,173286000,19740000,126114000,415776000,703104000,51062000,30997000,20065000,95801000,95801000,146863000,116995000,116995000,216995000,363858000,378657000,-680916000,650701000,-9218000,339224000,339246000,703104000,-223000,4415000,9361000,1743000,15296000,-4470000,0,0,-4470000,-4470000,-4539000,-5496000,1e+08,-144000,78204000,88961000,88961000,-399000,88562000,4523000,1e+08,1478000,0.5605,0.00072,-0.00149,-0.000660000000000004,-0.000320000000000001,-6.6278,1.95644,1.07255,0.14223,-0.00868,-0.00867,5.82688,13.19732,0.0575,0.21382,0.00948,0.00266,-24.64574,-3.72938,-156.18519
"40","2021_Q1",21.24,"Up",91568000,-43700000,47868000,-53161000,-53161000,-5293000,-750000,-555000,-6043000,-13197000,1128000,-12069000,-12069000,-12069000,-12069000,72276000,72276000,8092000,8092000,126101000,23483000,23483000,229952000,236678000,156159000,19740000,110894000,392837000,622789000,43873000,25595000,18278000,95105000,95105000,138978000,105747000,104673000,155747000,294725000,378791000,-680916000,638631000,-8441000,328065000,328064000,622789000,-12069000,4014000,14076000,7991000,14012000,-3252000,2.3283064365387e-10,2.3283064365387e-10,-3252000,-3252000,-3252000,-5288000,-5e+07,-146000,-55434000,-44674000,-44674000,82000,-44592000,-1279000,5e+07,2332000,0.52276,-0.0578,-0.1318,-0.03679,-0.01938,-0.193219999999999,1.65459,0.89838,0.08028,-0.47931,-0.47912,3.63654,13.02879,0.0926100000000001,0.21001,-0.01402,0.00482,-0.438149999999993,17.41673,4.20858
"41","2021_Q2",25.0615873015873,"Up",151058000,-65288000,85770000,-73466000,-73466000,12304000,-440000,-335000,11864000,11241000,-1888000,9353000,9353000,9353000,9353000,61973000,61973000,13241000,13241000,127047000,30200000,30200000,232461000,234877000,155183000,19740000,109281000,390060000,622521000,57967000,33706000,24261000,129922000,129922000,187889000,101701000,101415000,101701000,289590000,379045000,-680916000,642697000,-7885000,332941000,332931000,622521000,9353000,4140000,6849000,21848000,42190000,-2439000,-254686.053069615,-254686.053069615,-2439000,-2439000,-2439000,-6646879.34044992,-50148000,-212291.434316864,-50148000,-10397000,-10397000,94000,-10303000,16444000,0,37741000,0.5678,0.08145,0.06192,0.02809,0.01502,4.03518,1.23723,0.86982,0,0.37146,0.37106,5.99936,13.22296,1.49891,0.264214175063675,0.02152,0.08683,7.6284871425958,-3.76873,-5.03682
"42","2021_Q3",22.14265625,"Down",178826000,-77494000,101332000,-78354000,-78354000,22978000,-377000,-47000,22601000,22178000,-5295000,16883000,16883000,16883000,16883000,80035000,80035000,8985000,8985000,126748000,30160000,30160000,245928000,234425000,155866000,19740000,110097000,390291000,636219000,55138000,33989000,21149000,132340000,132340000,187478000,101177000,100305000,101177000,288655000,381135000,-680916000,653255000,-5895000,347579000,347564000,636219000,16883000,4005000,9600000,-6760000,23728000,-2214000,1225000,1225000,-3439000,-3439000,-2214000,-5288000,148000,-290000,-3797000,17717000,17717000,345000,18062000,26983000,0,23304000,0.56665,0.12849,0.09441,0.04858,0.02654,1.38032,1.31177,0.83051,0,0.66893,0.6671,7.0853,13.7715,0.92333,0.20952,0.04941,0.05193,0.313210000000005,-2.96613,-3.48311
"43","2021_Q4",22.38296875,"Up",176962000,-75553000,101409000,-81829000,-81829000,19580000,6000,-51000,19586000,18993000,-3385000,15608000,15608000,15608000,15608000,108956000,108956000,11573000,11573000,135686000,34905000,34905000,291120000,233331000,163095000,19740000,116222000,396426000,687546000,64537000,38716000,25821000,161409000,161409000,225946000,105022000,102964000,105022000,330968000,381530000,-680992000,662535000,-6471000,356602000,356578000,687546000,15608000,4214000,7272000,9108000,36202000,-776000,3688000,3688000,-4464000,-4464000,-776000,-6324000,-3.72529029846191e-09,-241000,-6458000,28968000,28968000,-47000,28921000,23794000,0,35511000,0.57306,0.11065,0.0882,0.04377,0.0227,2.27518,1.28845,0.92818,1.73472347597681e-18,0.61687,0.61446,6.99399,14.09383,1.40349,0.24994,0.04751,0.07693,0.40518,-4.57914,-5.56466
"44","2022_Q1",23.9974193548387,"Up",178323000,-73727000,104596000,-79762000,-79762000,24834000,-62999.9999999999,-48000,24771000,23999000,-5838000,18161000,18161000,18161000,18161000,104596000,104596000,9026000,9026000,143978000,37679000,37679000,295279000,231446000,156520000,19740000,110314000,387966000,683245000,61652000,37786000,23866000,162250000,162250000,223902000,107925000,102897000,107925000,331827000,383019000,-680991000,655346000,-5931000,351443000,351418000,683245000,18161000,4026000,10706000,-5101000,27792000,-1687000,0,0,-1687000,-1687000,-1687000,-31678000,0,-129000,-30586000,-4481000,-4481000,121000,-4360000,28860000,-2.3283064365387e-10,27910000,0.58655,0.13926,0.10184,0.05168,0.02658,1.53681,1.31879,0.94425,0,0.71669,0.71239,7.03721,13.8691,1.10142,1.25012,0.1085,0.06076,1.74429,-3.62426,-4.21181
"45","2022_Q2",22.2696774193548,"Down",182327000,-73135000,109192000,-81577000,-81577000,27615000,-20000,-48000,27595000,27340000,-7187000,20153000,20153000,20153000,20153000,93665000,93665000,7942000,7942000,158735000,40500000,40500000,300842000,228144000,149308000,19740000,103358000,377452000,678294000,56348000,36463000,19885000,176419000,176419000,232767000,100481000,94958000,100481000,333248000,383297000,-681770000,650127000,-6584000,345070000,345046000,678294000,20153000,4325000,8334000,-15823000,16989000,-1529000,-16049421.6618654,-16049421.6618654,8787612.1149149,8787612.1149149,-1529000,-25372000,57551140.5382768,-910000,-26282000,-10822000,-10822000,-109000,-10931000,31940000,0,21775000,0.59888,0.15146,0.11053,0.05841,0.02971,1.08048,1.29246,0.96581,0,0.79421,0.79184,7.1853,13.59882,0.85813,0.99988,0.10218,0.04887,1.25897,-2.93253,-3.39182
"46","2022_Q3",22.51203125,"Up",208093000,-85824000,122269000,-89610000,-89610000,32659000,-74000,-48000,32585000,36218000,-9324000,26894000,26894000,26894000,26894000,105207000,105207000,7495000,7495000,164550000,38992000,38992000,316244000,222195000,150889000,19740000,105272000,373084000,689328000,58938000,37451000,21487000,163879000,163879000,222817000,100774000,94875000,100774000,323591000,384459000,-681770000,669653000,-6573000,365769000,365737000,689328000,26894000,3862000,4711000,-29755000,5712000,6005000,-49998764.9855963,-49998764.9855963,30786836.3447447,30786836.3447447,6005000,0,223245421.61483,-160000,653000,12370000,12370000,22000,12392000,36521000,0,22095000,0.58757,0.15694,0.12924,0.07353,0.03901,0.82156,1.4193,0.88476,0,1.05899,1.05413,8.19393,14.40262,0.87002,0,0.05765,0.04736,0,-2.88073,-3.22138
