"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","property_plant_equipment_net","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","saving_deposits","time_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","trading_assets_liabilities","net_change_in_operating_loans","accrued_interest_receivable","other_operating_assets_liabilities","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","decrease_in_investments","decrease_in_htm_investments","decrease_in_afs_investments","increase_in_investments","increase_in_afs_investments","net_change_in_other_investments","net_change_in_loans_interbank","net_change_in_customer_loans","net_change_in_interbank_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",103.25046875,"Up",1180155000,683128000,760354000,-77226000,497027000,6046000,122118000,368873000,-3e+07,1150155000,-696628000,-696628000,453527000,453527000,453527000,-166839000,286688000,286688000,286688000,286688000,1347858000,4048852000,4045852000,15028646000,277009000,11250877000,3164585000,67201265000,-929987000,68131252000,590567000,590567000,3513325000,22269000,5327294000,97080076000,72629619000,42208283000,39306647000,2901636000,30421336000,153299000,10175912000,1453249000,84412079000,1231500000,3544142000,66531000,3477611000,8107525000,-215170000,12667997000,12667997000,97080076000,286688000,42359000,3e+07,-54739000,-7168000,-47571000,-204591000,18404000,-275385000,10112000,42278000,99717000,-13797000,-13797000,-464567000,694503000,202402000,492101000,-1151854000,-1141893000,-7216000,1687729000,-799041000,2245639000,38390000,1247755000,-116914000,-361424000,-40196000,-321228000,-321228000,-946804000,61675000,-1363467000,-15995000,-15995000,-15995000,495886000,10329211000,444337000,0.38429,0.24292,0.02263,0.00295,1.5499,6.66341,0.1064,2.16602,2.15362,8.91645,86.40644,3.35711,0.88332,0.00416,0.00458,0.40781,18.11173,19.80335
"23","2015_Q4",101.438125,"Down",1132526000,692827000,770026000,-77199000,439699000,8362000,124161000,307176000,-4.4e+07,1088526000,-653816000,-653816000,434710000,434710000,434710000,-154309000,280401000,280401000,280401000,280401000,1249704000,4713266000,4713266000,14835249000,340710000,11159509000,2998486000,67606450000,-933798000,68540248000,581976000,581976000,3513325000,18179000,5278913000,97797062000,72944543000,42089501000,39298134000,2791367000,30855042000,173783000,10174289000,1582513000,84875128000,1231500000,3577819000,66637000,3511182000,8273747000,-161132000,12921934000,12921934000,97797062000,280401000,41965000,4.4e+07,-23075000,-9743000,-13332000,346466000,-3191000,310651000,-13396000,52402000,689757000,-19349000,-19349000,339148000,652254000,168249000,484005000,-312736000,-307547000,-370000,-1266389000,-743399000,-667414000,-91899000,-1038489000,-111239000,19201000,20484000,-1283000,-1283000,315203000,24413000,247578000,-101154000,-101154000,-101154000,476675000,10348072000,958101000,0.38384,0.24759,0.0217,0.00287,3.4169,6.5683,0.10581,2.11416,2.10233,8.53899,88.14321,7.22386,0.83872,0.004,0.0098,0.39671,19.08715,20.92974
"24","2016_Q1",90.6854098360656,"Down",1255152000,807044000,902377000,-95333000,448108000,9938000,121294000,316898000,-5.8e+07,1197152000,-786113000,-786113000,411039000,411039000,411039000,-140074000,270965000,270965000,270965000,270965000,1368040000,7594350000,7594350000,15930222000,273783000,12242671000,2859709000,86533507000,-955992000,87489499000,666682000,666682000,4593112000,140268000,5961703000,122787884000,91957841000,62677036000,49566644000,13110392000,29280805000,2132182000,10653858000,1870714000,106614595000,1231500000,6760550000,79782000,6680768000,8430502000,-249263000,16173289000,16173289000,122787884000,270965000,47855000,5.8e+07,370665000,376455000,-5790000,-252917000,-5334000,90355999.9999999,-40854000,-297085000,494568000,-39192000,-39192000,6636478000,6844333000,143600000,6700733000,-300232000,-293393000,92377000,4556337000,-118084000,4687850000,86325000,9307352000,-117135000,-10736678000,-2148512000,-8588166000,-8588166000,1140537000,29692000,-9683584000,118336000,118336000,118336000,458894000,12786040000,306859000,0.32748,0.21588,0.01675,0.00221,1.13247,6.59202,0.10413,1.80432,1.79604,8.35787,99.49519,2.04333,0.77998,0.00316,0.0025,0.43229,24.88156,27.77839
"25","2016_Q2",97.58296875,"Up",1292897000,871964000,972834000,-100870000,420933000,7458000,118409000,295062000,-4.9e+07,1243897000,-776095000,-776095000,467802000,467802000,467802000,-169274000,298528000,298528000,298528000,298528000,1178175000,9545181000,9545181000,15935307000,467987000,12200647000,2730611000,86909714000,-962752000,87872466000,662891000,662891000,4593112000,127949000,5673303000,124625632000,94214576000,64338571000,51497240000,12841331000,29876005000,1766826000,10341035000,1948142000,108270579000,1231500000,6763481000,79982000,6683499000,8596752000,-148009000,16355053000,16355053000,124625632000,298528000,51709000,4.9e+07,44676000,50075000,-5399000,4307000,-59080000,211000,-16530000,79706000,448220000,-16307000,-16307000,346055000,644703000,132636000,512067000,-316645000,-311302000,17997000,-2352943000,-439712000,-1950831000,7920000,-2015275000,-129368000,-661025000,-343838000,-317187000,-317187000,2264623000,2960000,1377190000,-189865000,-189865000,-189865000,519511000,12107861000,676785000,0.36182,0.2309,0.01825,0.0024,2.26707,6.62001,0.09715,1.88068,1.8754,8.14505,95.27608,4.26364,0.815,0.00343,0.00543,0.43335,21.03841,23.36391
"26","2016_Q3",98.2715625,"Up",1312073000,863819000,970621000,-106802000,448254000,13222000,120144000,314624000,-3.2e+07,1280073000,-749895000,-749895000,530178000,530178000,530178000,-194147000,336031000,336031000,336031000,336031000,1284442000,8474839000,8474839000,15469215000,506131000,11918974000,2574421000,87551502000,-970496000,88521998000,658216000,658216000,4593112000,116531000,5672727000,123820584000,94650103000,63756514000,51126237000,12630277000,30893589000,407123000,10328751000,1963093000,107349070000,1231500000,6770650000,79979000,6690671000,8801305000,-98820000,16471514000,16471514000,123820584000,336031000,50190000,3.2e+07,39305000,44383000,-5078000,-255715000,18528000,-188982000,18888000,-104149000,201811000,-20312000,-20312000,573642999.999999,719284000,159281000,560003000,-212014000,-206901000,66373000,661218000.000001,-490714000,1070342000,-106372000,1108177000,-134446000,-1355169000,-1349765000,-5403999.99999905,-5404000,440709000,-815000.000000004,-1203721000,106267000,106267000,106267000,580368000,10735874000,498488000,0.40408,0.25611,0.0204,0.00271,1.48346,6.51726,0.08671,2.12945,2.1222,8.31468,96.57681,3.15895,0.85199,0.0038,0.00403,0.4001,16.28524,17.8269
"27","2016_Q4",115.105714285714,"Up",1349690000,858340000,969515000,-111175000,491350000,12754000,123849000,326267000,-4.7e+07,1302690000,-752392000,-752392000,550298000,550298000,550298000,-200314000,349984000,349984000,349984000,349984000,1332202000,10777636000,10777636000,15222162000,488588000,11862567000,2409950000,88670371000,-976121000,89646492000,660381000,660381000,4593112000,106744000,5478420000,126841028000,98136845000,64786035000,53065030000,11721005000,33350810000,213846000,10211160000,1938201000,110500052000,1231500000,6769787000,79975000,6689812000,9021965000,-112335000,16340976000,16340976000,126841028000,349984000,49515000,4.7e+07,-21439000,14816000,-36255000,-3001000,-42285000,-97053000,-16191000,152528000,422059000,-28658000,-28658000,218986000,848024000,167482000,680542000,-637670000,-632320000,8632000,-3391339000,-1090578000,-2302797000,109911000,-3091100000,-127231000,-297542000,-193098000,-104444000,-104444000,3490179000,1395000,2716801000,47760000,47760000,47760000,599813000,10425006000,768468000,0.40772,0.25931,0.02142,0.00276,2.19572,6.76215,0.08219,2.2508,2.24311,8.68007,97.17142,4.94214,0.81824,0.00376,0.00606,0.36353,15.1594,16.52342
"28","2017_Q1",138.267258064516,"Up",1341223000,875764000,982901000,-107137000,465459000,7692000,120123000,336078000,-6.2e+07,1279223000,-769103000,-769103000,510120000,510120000,510120000,-179549000,330571000,330571000,330571000,330571000,1320549000,5000638000,5000638000,16574335000,323867000,13332072000,2457278000,89864419000,-988997000,90853416000,675263000,675263000,4593112000,97655000,5323235000,123449206000,95493876000,62478053000,52346207000,10131846000,33015823000,163442000,9493835000,1811431000,106962584000,1231500000,6756921000,79973000,6676948000,9222488000,-292491000,16486622000,16486622000,123449206000,330571000,49177000,6.2e+07,48249000,64739000,-16490000,-378676000,46384000,-379825000,1551000,-46786000,111321000,-42416000,-42416000,-1841444000,769790000,149681000,620109000,-2611173000,-2412188000,-61000.0000000075,4894788000,-931125000,5776998000,266502000,3277430000,-132116000,-743267000,-50404000.0000001,-692863000,-692863000,-2640838000,158151000,-3400404000,-11653000,-11653000,-11653000,559297000,9657277000,317754000,0.38034,0.24647,0.02005,0.00268,0.96123,6.48784,0.07823,2.13146,2.12356,8.64797,98.36239,2.04882,0.85186,0.00375,0.00257,0.39966,14.90573,16.34268
"29","2017_Q2",135.445873015873,"Down",1361105000,914260000,1006033000,-91773000,446845000,9691000,121560000,315594000,-5.5e+07,1306105000,-787852000,-787852000,518253000,518253000,518253000,-169326000,348927000,348927000,348927000,348927000,1286962000,6945149000,6945149000,16143269000,174854000,1.2631e+10,2876119000,88311572000,-1001430000,89313002000,672769000,672769000,4593112000,94535000,5175883000,123223251000,97042521000,62570167000,53542149000,9028018000,34472354000,185102000,8087619000,1694905000,107010147000,1231500000,6683268000,79913000,6603355000,9437450000,-289646000,16213104000,16213104000,123223251000,348927000,49392000,5.5e+07,25084000,36731000,-11647000,807413000,113332000,712954000,-23782000,4909000,1285816000,-21521000,-21521000,274374000,819211000,121455000,697756000,-544659000,-5143000,-178000,-1090723000,797351000,-1944511000,11863000,-826007000,-133934000,-1379750000,21660000,-1401410000,-1401410000,1550297000,2064000,-493396000,-33587000,-33587000,-33587000,567645000,8272721000,1522863000,0.38076,0.25636,0.02152,0.00283,4.36442,6.60023,0.06714,2.25949,2.25188,8.81391,97.01415,9.86138,0.8673,0.00392,0.01236,0.38385,12.30656,13.47944
"30","2017_Q3",135.504285714286,"Up",1399016000,938200000,1030413000,-92213000,460816000,8084000,122674000,330075000,-5.2e+07,1347016000,-750635000,-750635000,596381000,596381000,596381000,-215328000,381053000,381053000,381053000,381053000,1344478000,5024829000,5023829000,15990706000,174646000,11928865000,3388268000,88072330000,-1008225000,89080555000,673552000,673552000,4593112000,86422000,5111138000,120896567000,93540938000,60978895000,52871146000,8107749000,32562043000,1695453000,7649580000,1727059000,104613030000,1231500000,6684841000,79911000,6604930000,9685478000,-268141000,16283537000,16283537000,120896567000,381053000,50026000,5.2e+07,-29220000,-19595000,-9625000,-116388000,-21278000,-167090000,17432000,54548000,337471000,-28341000,-28341000,176976000,1090005000,123650000,966355000,-875398000,-239306000,-37631000,2306291000,337119000,1921320000,35879000,2490805000,-133192000,1081902000,1510351000,-428449000,-1326649000,-3500174000,6598000.00000001,-2769760000,58516000,58516000,58516000,646407000,9345033000,717006000,0.42629,0.27237,0.0234,0.00315,1.88164,6.42447,0.0773,2.49287,2.48606,9.15245,98.47136,4.6907,0.87135,0.00425,0.00593,0.34954,12.37696,13.41517
"31","2017_Q4",143.78380952381,"Up",1416563000,957134000,1057210000,-100076000,459429000,7058000,124032000,328339000,-3e+07,1386563000,-806025000,-806025000,580538000,580538000,580538000,-224615000,355923000,355923000,355923000,355923000,1368252000,6306484000,6306484000,15244442000,170516000,11416824000,3242124000,86911808000,-1013326000,87925134000,656713000,656713000,4593112000,78614000,5242379000,120401804000,93513393000,60170133000,52936615000,7233518000,33343260000,200768000,8577645000,1791946000,104083752000,1231500000,6677958000,79910000,6598048000,9909415000,-246088000,16318052000,16318052000,120401804000,355923000,51029000,3e+07,-13905000,-7210000,-6695000,19532000,-3349000,-21969000,-16709000,61559000,442579000,-12653000,-12653000,723156000,643463000,145173000,498290000,-4256000,-4256000,83949000,-214579000,1124579000,-1282655000,18615000,514539000,-131882000,-548196000,-1494685000,946489000,-301261000,-26360000,-3182000,-934344000,22774000,22774000,22774000,631567000,8778413000,863061000,0.40982,0.25126,0.02181,0.00296,2.42485,6.37844,0.07291,2.3517,2.34637,9.3597,99.68187,5.70253,0.87139,0.00405,0.00717,0.37054,11.73298,12.7643
"32","2018_Q1",162.238852459016,"Up",1455503000,971450000,1074139000,-102689000,484053000,10468000,120551000,331738000,-3.1e+07,1424503000,-795813000,-795813000,628690000,628690000,628690000,-306287000,322403000,322403000,322403000,322403000,1420888000,5078903000,5078903000,14797434000,132909000,10896284000,3353213000,86971785000,-1017198000,87988983000,646451000,646451000,4593112000,71589000,5013325000,118593487000,92432146000,58278970000,51698008000,6580962000,34153176000,175099000,8141430000,1593993000,102342668000,1231500000,6670764000,79909000,6590855000,10164804000,-361967000,16250819000,16250819000,118593487000,322403000,46678000,3.1e+07,365364000,390864000,-25500000,-49376000,65267000,187762000,5162999.99999999,-307568000,716069000,-16451000,-16451000,388572000,641184000,138307000,502877000,-252562000,-2479999.99999994,-50000,889999000,-327557000,1227581000,-46532000,1215588000,-131128000,-429789000,-25669000,-404120000,-404120000,-1099085000,5195000,-1879021000,52636000,52636000,52636000,675368000,8316529000,915828000,0.43194,0.22151,0.01984,0.00272,2.84063,6.29769,0.07013,2.14928,2.14523,9.70303,100.12546,6.10532,0.87416,0.00382,0.00772,0.40672,10.2102,10.96827
"33","2018_Q2",156.6203125,"Down",1434213000,975517000,1082150000,-106633000,458696000,4637000,118507000,344983000,-4.3e+07,1391213000,-933344000,-933344000,457869000,457869000,457869000,-105259000,352610000,352610000,352610000,352610000,1291664000,6136434000,6135434000,14207698000,141134000,10297856000,3228756000,86691078000,-1019671000,87710749000,628706000,628706000,4593112000,64957000,5009175000,118622824000,90946630000,58851050000,52724608000,6126442000,32095580000,1626129000,8591051000,1749320000,102913130000,1231500000,6652165000,79884000,6572281000,10404458000,-481568000,15709694000,15709694000,118622824000,352610000,45569000,4.3e+07,-129319000,-124772000,-4547000,172319000,91219000,-72403000,-14803000,168306000,484179000,-9544000,-9544000,439818000,473317000,123923000,349394000,-1e+05,-1e+05,-33399000,-637482000,303886000,-1056531000,-41322000,-248530000,-129686000,1946432000,1451030000,495402000,-504192000,-1484629000,24976000,-363873000,-128224000,-128224000,-128224000,503438000,10217180000,771472000,0.31925,0.24586,0.02245,0.00297,2.18789,6.55093,0.08613,2.37148,2.36802,9.64579,97.37298,5.18853,0.8722,0.00407,0.0065,0.36779,17.72913,19.4936
"34","2018_Q3",152.353174603175,"Down",1466201000,1008787000,1128905000,-120118000,457414000,5255000,119413000,330420000,-3.5e+07,1431201000,-776577000,-776577000,654624000,654624000,654624000,-161464000,493160000,493160000,493160000,493160000,1367594000,6671485000,6669985000,13431305000,148303000,9658846000,3101095000,86778202000,-1019248000,87797450000,637809000,637809000,4593112000,58569000,4887977000,118426053000,89272588000,56924970000,51107290000,5817680000,32347618000,3239416000,8382316000,1953848000,102848168000,1231500000,6659279000,79884000,6579395000,10763638000,-516250000,15577885000,15577885000,118426053000,493160000,45750000,3.5e+07,-3399000,791999.99999994,-4191000,-533448000,37535000,-683600000,20562000,92055000,37063000.0000001,-27572000,-27572000,738058000,724557000,123462000,601095000,-5699000,-5699000,19200000,168418000,555185000,-534551000,32614000,911518000,-134139000,1411109000,1613287000,-202178000,-202178000,-1673269000,-756000,-872151000,76430000,76430000,76430000,700374000,11621732000,300818000,0.44648,0.33635,0.03166,0.00416,0.60998,6.60219,0.09813,3.40521,3.40115,10.12395,99.06014,2.07711,0.92621,0.0053,0.00254,0.272,14.64095,15.66416
"35","2018_Q4",141.160317460317,"Down",1488332000,1029038000,1167375000,-138337000,459294000,6073000,120914000,335722000,-1.6e+07,1472332000,-775979000,-775979000,696353000,696353000,696353000,-170262000,526091000,526091000,526091000,526091000,1311611000,6523746000,6523746000,13198919000,125038000,9154515000,3418719000,85660997000,-1019488000,86680485000,634424000,634424000,4593112000,52426000,4852402000,116827637000,89140396000,56919549000,51108962000,5810587000,32220847000,1310110000,9140268000,1800778000,101391552000,1231500000,6665330000,79883000,6585447000,11128343000,-540683000,15436085000,15436085000,116827637000,526091000,44597000,1.6e+07,41627000,50570000,-8943000,390060000,50460000,503022000,-35937000,-127485000,1018375000,-22186000,-22186000,163374000,592476000,127333000,465143000,-448101000,-3398000,18999000,734918000,584552000,146239000,-2364000,873742000,-161183000,-1156935000,-1929306000,772371000,-1224000,-131473000,-1509000,-1949600000,-57483000,-57483000,-57483000,740950000,10450378000,1279086000,0.46787,0.35348,0.03408,0.0045,2.4313,6.56848,0.08945,3.68354,3.67958,10.42089,99.45656,8.95581,1.12856,0.00588,0.01095,0.30638,12.33385,13.12376
"36","2019_Q1",145.892786885246,"Up",1539556000,1058960000,1220281000,-161321000,480596000,16582000,121572000,338223000,-3.8e+07,1501556000,-802162000,-802162000,699394000,699394000,699394000,-153175000,546219000,546219000,546219000,546219000,1605439000,8105197000,8105197000,12878397000,185584000,8682509000,3316640000,87447033000,-1019444000,88466477000,647408000,647408000,4593112000,47067000,4773750000,120097403000,90156572000,57087998000,50963744000,6124254000,33068574000,4398378000,8444914000,1637348000,104637212000,1231500000,6659225000,79883000,6579342000,11516672000,-418355000,15460191000,15460191000,120097403000,546219000,43089000,3.8e+07,83445000,89267000,-5822000,-160518000,-191154000,102286000,23016000,-94666000,550235000,-38374000,-38374000,493408000,685503000,103454000,582049000,-3297000.00000006,-3296999.99999999,-188798000,-3460791000,-1919518000,-1581451000,58976000,-2946781000,-157895000,2336781000,3088268000,-751487000,-751487000,1016866000,-5544000,2690374000,293828000,293828000,293828000,742483000,12843292000,696766000,0.45428,0.35479,0.03533,0.00455,1.27562,6.76817,0.10694,3.91182,3.90924,11.02573,101.90063,4.98998,1.13079,0.00586,0.0058,0.28907,15.1355,16.06799
"37","2019_Q2",148.099206349206,"Up",1550825000,1050060000,1226309000,-176249000,500765000,10802000,115588000,362534000,-2.2e+07,1528825000,-894348000,-894348000,634477000,634477000,634477000,-151735000,482742000,482742000,482742000,482742000,1267260000,7602897000,7602897000,12813162000,276322000,8325584000,3714699000,87620546000,-1019337000,88639883000,1044761000,1044761000,4593112000,43947000,5039520000,120025205000,90469750000,59433806000,52932297000,6501509000,31035944000,3602566000,8476024000,1889336000,104437676000,1231500000,6648351000,79871000,6568480000,11842371000,-286495000,15587529000,15587529000,120025205000,482742000,72172000,2.2e+07,8270000,13441000,-5171000,-171878000,-170092000,202670000,-35071000,-169385000,413306000,-30710000,-30710000,183750000,471674000,99960000,371714000,-496872000,-1595000,208948000,112521000,-412670000,502300000,5700000,271261000,-156963000,-796951000,-795812000,-1139000,-1139000,313849000,-17053000,-1022746000,-338179000,-338179000,-338179000,706649000,12078590000,655796000,0.40912,0.31128,0.03097,0.00402,1.35848,6.70008,0.10063,3.50095,3.50016,11.24691,104.11294,4.75597,1.13833,0.00533,0.00546,0.32515,15.29943,17.03975
"38","2019_Q3",141.56765625,"Down",1553576000,1041481000,1237913000,-196432000,512095000,18453000,120265000,364466000,-5.5e+07,1498576000,-873032000,-873032000,625544000,625544000,625544000,-152284000,473260000,473260000,473260000,473260000,1271611000,8791753000,8791753000,12059652000,479403000,7380340000,3604233000,88848191000,-1029867000,89878058000,1066511000,1066511000,4593112000,38428000,4885637000,121554895000,91681024000,59568223000,53221672000,6346551000,32112801000,4611390000,7655507000,1915147000,105863068000,1231500000,6657474000,79871000,6577603000,12162278000,-111432000,15691827000,15691827000,121554895000,473260000,73925000,5.5e+07,-2973999.99999999,2376000,-5350000,-532339000,-228460000,-421595000,40721000,76995000,66872000.0000001,-51947000,-51947000,1156378000,1247685000,113126000,1134559000,-1099000,-1098999.99999988,-90208000,-2034959000,-846875000,-1188856000,78408000,-852120000,-153334000,133382000,1008824000,-875442000,-875442000,1211928000,-393000.000000002,789599000,4351000.00000012,4351000.00000012,4351000.00000012,699469000,12266897000,267467000,0.40265,0.30463,0.03016,0.00389,0.56516,6.74638,0.10092,3.49478,3.49398,11.47236,106.78211,1.97511,1.13229,0.00515,0.0022,0.324,15.71948,17.57716
"39","2019_Q4",147.0015625,"Up",1557669000,1029890000,1229469000,-199579000,527779000,16072000,123169000,384801000,-4.5e+07,1512669000,-877619000,-877619000,635050000,635050000,635050000,-154969000,480081000,480081000,480081000,480081000,1818861000,12495724000,12495524000,11291839000,614256000,6985417000,3031299000,88784756000,-1038437000,89823193000,1074181000,1074181000,4593112000,33339000,5409114000,125500926000,95113933000,61785212000,55581533000,6203679000,33328721000,5513896000,7002524000,2090762000,109721115000,1.25e+09,6664576000,79871000,6584705000,12490233000,-78761000,15779811000,15779811000,125500926000,480081000,77946000,4.5e+07,-2551000,866000,-3417000,146194000,-126203000,198600000,3121000,70676000,746670000,-36865000,-36865000,931912000,-2224427000,-708363000,-1516064000,3217794000,1934862000,-61455000,-4285103000,-224590000,-3703771000,-28752000,-3418808000,-151312000,226554000,902506000,-675952000,-675952000,3433550000,-3741000,3219588000,547450000,547450000,547450000,712996000,12516420000,977294000,0.40769,0.3082,0.03042,0.00383,2.03569,6.95326,0.09973,3.61167,3.61074,11.71841,109.30834,7.35222,1.13833,0.00503,0.00779,0.31518,15.00367,16.84522
"40","2020_Q1",134.125,"Down",1529873000,1008833000,1185902000,-177069000,521040000,16717000,122878000,387897000,-5.4e+07,1475873000,-823683000,-823683000,652190000,652190000,652190000,-159124000,493066000,493066000,493066000,493066000,1432805000,7193654000,7190154000,9967380000,470129000,6318776000,2656917000,89871798000,-1051071000,90922869000,1140924000,1140924000,4593112000,29034000,5644050000,119872757000,94770069000,60689618000,54932162000,5757456000,34080451000,62363000,6986186000,2337490000,104156108000,1.25e+09,6595105000,1566000,6593539000,12820916000,-126809000,15716649000,15716649000,119872757000,493066000,77272000,5.4e+07,86329000,40865000,45464000,420040000,141988000,150555000,22152000,105345000,1130707000,-58527000,-58527000,1179235000,4289598000,1658097000,2631501000,-3243220000,-1960288000,132857000,3857243000,-1311128000,5305370000,-251277000,4726674000,-157983000,-5452493000,-5451533000,-960000,-960000,-343245000,-4206000,-6240137000,-382756000,-382756000,-382756000,729462000,7048549000,1250099000,0.4263,0.32229,0.03137,0.00411,2.53536,6.62712,0.0588,3.75015,3.74901,11.63587,110.03011,9.50797,1.20158,0.00543,0.01043,0.32041,7.69847,8.6106
"41","2020_Q2",97.1793650793651,"Down",1506165000,976805000,1120419000,-143614000,529360000,21016000,119290000,409836000,-2.5e+08,1256165000,-906416000,-906416000,349749000,349749000,349749000,-80927000,268822000,268822000,268822000,268822000,1298192000,8896307000,8896307000,10180881000,1224291000,6139979000,2300642000,92757909000,-1384366000,94142275000,1154558000,1154558000,4593112000,25121000,5671753000,124577833000,100183308000,63410672000,57956331000,5454341000,36772636000,59180000,6321435000,2198116000,108762039000,1.25e+09,6668278000,79871000,6588407000,12837390000,211125000,15815794000,15815794000,124577833000,268822000,77660000,2.5e+08,-40176000,-36243000,-3933000,-950748000,-708319000,-158193000,-13863000,-70373000,-394442000,-51547000,-51547000,639470000,657613000,353619000,303994000,-2951000,-2951000,-15192000,-4860986000,-3105967000,-1706153000,420700000,-3852363000,-164514000,-756306000,-3183000,-753123000,-753123000,5413829000,-10567000,4108692000,-138113000,-138113000,-138113000,427409000,6380615000,-493959000,0.23221,0.17848,0.017,0.00216,-1.83749,6.8768,0.05122,2.07271,2.07177,11.61304,112.3072,-3.80859,1.26846,0.00348,-0.00397,0.61198,11.89124,14.53163
"42","2020_Q3",95.0175,"Down",1444410000,957137000,1032242000,-75105000,487273000,8290000,87918000,384096000,-3.25e+08,1119410000,-807042000,-807042000,312368000,312368000,312368000,-71314000,241054000,241054000,241054000,241054000,1354815000,20888341000,20888341000,9747878000,1293534000,5821274000,2158982000,96119312000,-1638236000,97757548000,1155281000,1155281000,4593112000,21208000,5657022000,139536969000,114967959000,68701832000,63623406000,5078426000,46266127000,52298000,6321291000,2250316000,123591864000,1.25e+09,6600377000,1308000.00000001,6599069000,12919345000,324501000,15945105000,15945105000,139536969000,241054000,76885000,3.25e+08,-55725000,-53850000,-1875000,-61694999.9999998,-56995000,-62175000,-34927000,92402000,525519000,-42104000,-42104000,545486000,493686000,139479000,354207000,-17624000,-17624000,69424000,-15371944000,-3607760000,-11992034000,-223323000,-15091885000,-154332000,-8184000,-6881999.99999905,-1301999.99999988,-1302000.00000012,14785204000,301000,14622989000,56623000.0000001,56623000.0000001,56623000.0000001,389253000,6373589000,356768000,0.21626,0.16689,0.01512,0.00173,1.48003,7.75108,0.04568,1.87918,1.87835,11.26017,114.55849,2.78125,1.20312,0.00283,0.00256,0.64024,12.89335,16.06686
"43","2020_Q4",107.00796875,"Up",1463656000,943095000,1001161000,-58066000,520561000,4026000,102957000,410805000,-1.5e+08,1313656000,-826774000,-826774000,486882000,486882000,486882000,-114746000,372136000,372136000,372136000,372136000,1489232000,20197937000,20197937000,8938577000,1215573000,5302338000,1938694000,96688543000,-1758505000,98447048000,1146681000,1146681000,4593112000,17294000,5555367000,138626743000,115163339000,70061680000,65732130000,4329550000,45101659000,46123000,5458885000,1857383000,122525730000,1.25e+09,6610900000,1327000,6609573000,13132374000,255374000,16101013000,16101013000,138626743000,372136000,85510000,1.5e+08,-38748000,-29820000,-8928000,-574910000,62952000,-202405000,-87035000,-348422000,-6012000,-31719000,-31719000,697393000,708366000,217286000,491080000,-6380000,-6380000,-4593000,147681000,-513577000,690404000,153901000,967256000,-162802000,-856791000,-6175000,-850616000,-850616000,195699000,-2933000,-826827000,134417000,134417000,134417000,572392000,5505008000,80509000,0.33265,0.25425,0.02311,0.00268,0.21634,7.60981,0.03971,2.90101,2.89936,11.41003,115.7721,0.62761,1.26913,0.00386,0.00058,0.43748,7.01578,8.24795
