"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2018_Q1",30.4549180327869,"Down",1.761e+09,-7.34e+08,-7.34e+08,1.027e+09,-6.41e+08,-4.78e+08,-1.63e+08,3.86e+08,-1.08e+08,-9.6e+07,-9.7e+07,2.78e+08,-3.2e+07,2.46e+08,-1.62e+08,8.4e+07,8.4e+07,-3e+06,8.1e+07,8.1e+07,6.56e+08,6.56e+08,1.28e+09,1.28e+09,3.46e+08,3.46e+08,2.282e+09,4.82e+08,1.4102e+10,8.495e+09,5.077e+09,1.7e+08,3.6e+08,1.4584e+10,1.6866e+10,1.252e+09,1.141e+09,1.11e+08,8.4e+07,8.4e+07,3.61e+08,3.61e+08,1.697e+09,8.357e+09,2.369e+09,1.435e+09,9.34e+08,1.0726e+10,1.2423e+10,4.774e+09,3.2e+07,4.742e+09,4.11e+08,-9.4e+08,4.245e+09,1.98e+08,4.443e+09,1.6866e+10,8.4e+07,1.63e+08,1.77e+08,1e+07,82000000.0000001,2.5e+07,1.64e+08,-1.07e+08,5.06e+08,-1.56e+08,-1.7e+08,-6.4e+07,-1.06e+08,-1.81e+08,-3.48e+08,-1.5e+07,-2e+07,-2e+07,-2.2e+07,999999.999999998,-9e+06,-1.67e+08,-9e+06,-9e+06,3e+06,-6e+06,5.49e+08,8.441e+09,6.37e+08,0.58319,0.21919,0.046,0.01823,0.0048,7.8642,1.34473,2.79608,0.50047,0.2274,0.22665,4.94381,11.91735,1.7883,0.01324,0.04176,14.18033,20.16839
"29","2018_Q2",27.85640625,"Down",1.61e+09,-7.19e+08,-7.19e+08,8.91e+08,-6.6e+08,-4.93e+08,-1.67e+08,2.31e+08,-9.3e+07,-9.4e+07,-9.6e+07,1.38e+08,-2.4e+07,1.14e+08,-3.9e+07,7.5e+07,7.5e+07,-3e+06,7.2e+07,7.2e+07,4.62e+08,4.62e+08,1.374e+09,1.374e+09,4.28e+08,4.28e+08,2.264e+09,4.68e+08,1.4191e+10,8.524e+09,5.082e+09,1.71e+08,4.14e+08,1.4659e+10,1.6923e+10,1.09e+09,9.69e+08,1.21e+08,3.6e+08,3.6e+08,3.89e+08,3.89e+08,1.839e+09,8.286e+09,2.34e+09,1.423e+09,9.17e+08,1.0626e+10,1.2465e+10,4.782e+09,3.2e+07,4.75e+09,3.62e+08,-8.86e+08,4.258e+09,2e+08,4.458e+09,1.6923e+10,7.5e+07,1.67e+08,1.3e+07,1.3e+07,-3.72e+08,-1.1e+08,-1.79e+08,-8.3e+07,-1.17e+08,-1.28e+08,-1.28e+08,-2.6e+07,-1.02e+08,-2e+06,-1.32e+08,1.68e+08,-2.7e+07,-2.7e+07,-5e+06,1.5e+07,-2e+06,4e+07,-2.09e+08,-2.09e+08,1.5e+07,-1.94e+08,3.98e+08,8.646e+09,-6.3e+07,0.55342,0.14348,0.04472,0.01615,0.00425,-0.875,1.2311,2.7961,0.5109,0.20199,0.20153,4.51663,11.94522,-0.17674,0.0125,-0.00408,20.56281,35.42857
"30","2018_Q3",24.3063492063492,"Down",1.647e+09,-6.98e+08,-6.98e+08,9.49e+08,-6.56e+08,-4.94e+08,-1.62e+08,2.93e+08,-1.07e+08,-9.8e+07,-1e+08,1.86e+08,-6.5e+07,1.21e+08,-4.4e+07,7.6e+07,7.6e+07,-4e+06,7.2e+07,7.2e+07,3.94e+08,3.94e+08,1.32e+09,1.32e+09,4.06e+08,4.06e+08,2.12e+09,4.71e+08,1.4107e+10,8.441e+09,5.068e+09,1.69e+08,4.29e+08,1.4578e+10,1.6698e+10,1.085e+09,9.77e+08,1.08e+08,3.43e+08,3.43e+08,3.61e+08,3.61e+08,1.789e+09,8.321e+09,2.343e+09,1.416e+09,9.27e+08,1.0664e+10,1.2453e+10,4.755e+09,3.2e+07,4.723e+09,3.09e+08,-1.015e+09,4.049e+09,1.96e+08,4.245e+09,1.6698e+10,7.6e+07,1.62e+08,1.5e+07,7e+06,-1.1e+07,1e+06,5e+07,-6.2e+07,2.42e+08,-1.18e+08,-1.18e+08,-1.8e+07,-1e+08,-2.8e+07,-1.44e+08,2e+07,-3.1e+07,-8.12e+08,-3.4e+07,6e+06,-9e+06,-1.48e+08,-5e+07,-5e+07,-1.8e+07,-6.8e+07,4.55e+08,8.664e+09,3.7e+08,0.5762,0.1779,0.04372,0.01696,0.00431,5.13889,1.18502,2.93357,0.51886,0.20238,0.20203,4.62935,11.38084,1.03999,0.01292,0.02426,18.17582,28.22526
"31","2018_Q4",23.6987301587302,"Down",1.6e+09,-6.81e+08,-6.81e+08,9.19e+08,-6.39e+08,-4.64e+08,-1.75e+08,2.8e+08,-1.04e+08,-9.7e+07,-9.9e+07,1.76e+08,-1.9e+07,1.57e+08,-5.9e+07,9.8e+07,9.8e+07,-2e+06,9.6e+07,9.6e+07,4.46e+08,4.46e+08,1.249e+09,1.249e+09,3.52e+08,3.52e+08,2.047e+09,4.61e+08,1.4127e+10,8.454e+09,5.053e+09,1.66e+08,4.54e+08,1.4588e+10,1.6635e+10,1.142e+09,9.96e+08,1.46e+08,3.07e+08,3.07e+08,3.45e+08,3.45e+08,1.794e+09,8.304e+09,2.322e+09,1.406e+09,9.16e+08,1.0626e+10,1.242e+10,4.746e+09,3.2e+07,4.714e+09,2.81e+08,-1.01e+09,4.017e+09,1.98e+08,4.215e+09,1.6635e+10,9.8e+07,1.75e+08,6e+06,1e+06,1.08e+08,6.1e+07,-6.1e+07,1.08e+08,3.87e+08,-1.21e+08,-1.25e+08,-2.2e+07,-1.03e+08,-9e+06,-1.27e+08,-6.7e+07,-2.6e+07,-2.6e+07,-1e+07,0,-4e+06,-2.05e+08,5.5e+07,5.5e+07,-3e+06,5.2e+07,4.55e+08,8.611e+09,5.01e+08,0.57438,0.175,0.06,0.02278,0.00577,5.21875,1.14103,2.94662,0.51764,0.27043,0.27,4.50713,11.31571,1.41129,0.01452,0.03307,17.94505,29.16071
"32","2019_Q1",23.9616393442623,"Up",1.658e+09,-7.07e+08,-7.07e+08,9.51e+08,-6.78e+08,-5.07e+08,-1.71e+08,2.73e+08,-1.03e+08,-9.7e+07,-9.9e+07,1.7e+08,-1.444e+09,-1.274e+09,3.24e+08,-9.49e+08,-9.49e+08,-3e+06,-9.52e+08,-9.52e+08,5.24e+08,5.24e+08,1.118e+09,1.118e+09,3.61e+08,3.61e+08,2.003e+09,4.68e+08,1.2708e+10,6.987e+09,5.024e+09,3.33e+08,3.64e+08,1.3176e+10,1.5179e+10,1.195e+09,1.119e+09,7.6e+07,1.07e+08,1.07e+08,3.55e+08,3.55e+08,1.657e+09,8.28e+09,2.199e+09,1.108e+09,1.091e+09,1.0479e+10,1.2136e+10,4.752e+09,3.2e+07,4.72e+09,-7.95e+08,-1.11e+09,2.847e+09,1.96e+08,3.043e+09,1.5179e+10,-9.49e+08,1.71e+08,9.17e+08,1.4e+07,4.07e+08,1.43e+08,1.69e+08,9.5e+07,5.46e+08,-1.49e+08,-1.49e+08,-4e+07,-1.09e+08,4.7e+07,-1.03e+08,-1.59e+08,4.6e+07,4.6e+07,-1.6e+07,-1.6e+07,-6.4e+07,-3.63e+08,8e+07,8e+07,-2e+06,7.8e+07,4.44e+08,8.387e+09,3.78e+08,0.57358,0.16466,-0.57419,-0.31285,-0.06272,-0.39706,1.20881,3.98817,0.55254,-2.68034,-2.6954,4.66807,8.01568,1.06425,-0.06075,0.02773,17.70946,28.8022
"33","2019_Q2",22.6874603174603,"Down",1.563e+09,-6.95e+08,-6.95e+08,8.68e+08,-6.59e+08,-4.8e+08,-1.79e+08,2.09e+08,-9.5e+07,-9.7e+07,-9.9e+07,1.14e+08,-3.5e+07,7.9e+07,-3.2e+07,4.7e+07,4.7e+07,-4e+06,4.3e+07,4.3e+07,4.02e+08,4.02e+08,1.221e+09,1.221e+09,4.24e+08,4.24e+08,2.047e+09,4.73e+08,1.3222e+10,7.009e+09,5.02e+09,3.34e+08,3.53e+08,1.3695e+10,1.5742e+10,1.156e+09,1.071e+09,8.5e+07,3.85e+08,3.85e+08,3.76e+08,3.76e+08,1.917e+09,8.242e+09,2.594e+09,1.1e+09,1.494e+09,1.0836e+10,1.2753e+10,4.646e+09,3.2e+07,4.614e+09,-7.52e+08,-1.104e+09,2.79e+09,1.99e+08,2.989e+09,1.5742e+10,4.7e+07,1.79e+08,1.3e+07,1.5e+07,-2.82e+08,-1.15e+08,-1.3e+08,-3.7e+07,-4.3e+07,-1.22e+08,-1.22e+08,-3e+07,-9.2e+07,-5.9e+07,-1.8e+08,2.33e+08,-3e+07,-3e+07,-2e+06,-2e+06,-3e+06,1.04e+08,-1.19e+08,-1.19e+08,-3e+06,-1.22e+08,3.88e+08,8.627e+09,1.6e+07,0.55534,0.13372,0.02751,0.01439,0.00272999999999998,0.37209,1.06781,4.26664,0.54802,0.12098,0.12067,4.39731,7.84932,0.04501,0.01175,0.00113,21.19845,39.35407
"34","2019_Q3",21.09390625,"Down",1.628e+09,-6.99e+08,-6.99e+08,9.29e+08,-6.68e+08,-4.83e+08,-1.85e+08,2.61e+08,-1e+08,-9.9e+07,-1e+08,1.61e+08,-1.2e+07,1.49e+08,-2.3e+07,1.26e+08,1.26e+08,-3e+06,1.23e+08,1.23e+08,3.93e+08,3.93e+08,1.227e+09,1.227e+09,4.06e+08,4.06e+08,2.026e+09,4.5e+08,1.3112e+10,7.017e+09,4.981e+09,3.29e+08,3.32e+08,1.3562e+10,1.5588e+10,1.114e+09,1.024e+09,9e+07,4.12e+08,4.12e+08,3.63e+08,3.63e+08,1.889e+09,8.233e+09,2.478e+09,1.078e+09,1.4e+09,1.0711e+10,1.26e+10,4.533e+09,3.2e+07,4.501e+09,-6.29e+08,-1.115e+09,2.789e+09,1.99e+08,2.988e+09,1.5588e+10,1.26e+08,1.85e+08,1.3e+07,1.1e+07,-98000000.0000001,-2999999.99999997,-22999999.9999999,-7.2e+07,2.26e+08,-1.08e+08,-1.08e+08,-1.4e+07,-9.4e+07,-1000000.00000001,-1.1e+08,3.3e+07,1e+06,1e+06,4e+06,4e+06,-3.8e+07,-1.26e+08,-1e+07,-1e+07,1e+06,-9e+06,4.46e+08,8.645e+09,2.63e+08,0.57064,0.16032,0.07555,0.04116,0.00789,2.13821,1.07253,4.21687,0.55459,0.34586,0.34489,4.57775,7.84235,0.73953,0.01757,0.01864,18.50224,31.61686
"35","2019_Q4",19.64,"Down",1.616e+09,-6.94e+08,-6.94e+08,9.22e+08,-6.53e+08,-4.67e+08,-1.86e+08,2.69e+08,-1.08e+08,-9.9e+07,-1e+08,1.61e+08,-1.009e+09,-8.48e+08,3.8e+08,-4.68e+08,-4.68e+08,-4e+06,-4.72e+08,-4.72e+08,3.89e+08,3.89e+08,1.146e+09,1.146e+09,4.12e+08,4.12e+08,1.947e+09,4.23e+08,1.1973e+10,5.973e+09,4.911e+09,3.22e+08,3.42e+08,1.2396e+10,1.4343e+10,1.161e+09,1.087e+09,7.4e+07,2.98e+08,2.98e+08,3.16e+08,3.16e+08,1.775e+09,8.189e+09,2.026e+09,1.068e+09,9.58e+08,1.0215e+10,1.199e+10,4.422e+09,3.2e+07,4.39e+09,-1.101e+09,-1.166e+09,2.155e+09,1.98e+08,2.353e+09,1.4343e+10,-4.68e+08,1.86e+08,1.025e+09,1.3e+07,-3.3e+08,6.1e+07,-4e+06,-3.87e+08,4.13e+08,-1.12e+08,-1.12e+08,-1.4e+07,-9.8e+07,-2e+06,-1.32e+08,-1.2e+08,-1.4e+07,-1.4e+07,1e+06,1e+06,-2.5e+07,-2.68e+08,1.3e+07,1.3e+07,-1.7e+07,-4e+06,4.55e+08,8.487e+09,-3.67e+08,0.57054,0.16646,-0.29208,-0.20059,-0.03291,0.77754,1.0969,5.09562,0.59172,-1.32665,-1.33381,4.54208,6.05704,-1.03152,-0.02705,-0.02852,17.7978,30.10409
"36","2020_Q1",18.1522580645161,"Down",-1.366e+09,8.97e+08,8.97e+08,-4.69e+08,6.3e+08,5.45e+08,8.5e+07,1.61e+08,-1.29e+08,-4.7e+07,-4.3e+07,3.2e+07,1.026e+09,1.058e+09,-1.84e+08,8.74e+08,-1.08e+08,-1e+06,-1.09e+08,-1.09e+08,4.54e+08,4.54e+08,1.103e+09,1.103e+09,4.2e+08,4.2e+08,1.977e+09,4.66e+08,1.1876e+10,5.993e+09,4.881e+09,2.76e+08,3.33e+08,1.2342e+10,1.4319e+10,1.242e+09,1.182e+09,6e+07,9.14e+08,9.14e+08,3.45e+08,3.45e+08,2.501e+09,7.395e+09,2.035e+09,1.052e+09,9.83e+08,9.43e+09,1.1931e+10,4.41e+09,3.2e+07,4.378e+09,-1.21e+09,-1.005e+09,2.195e+09,1.93e+08,2.388e+09,1.4319e+10,-1.08e+08,2.06e+08,1.87e+08,1.1e+07,1.85e+08,6.1e+07,1.37e+08,-12999999.9999999,4.7e+08,-1.77e+08,-1.77e+08,-5.8e+07,-1.19e+08,1.8e+07,-1.6e+08,-2.63e+08,-7.4e+07,-7.4e+07,1e+06,1e+06,3e+07,-2.54e+08,5.6e+07,5.6e+07,9e+06,6.5e+07,3.67e+08,8.309e+09,5.59e+08,0.34334,-0.11786,0.0797999999999999,-0.04564,-0.00761,-5.12844,0.79048,4.99623,0.58028,-0.30612,-0.30612,-3.83638,6.16461,1.56994,-0.00683,0.04391,21.40327,48.78882
"37","2020_Q2",13.6203174603175,"Down",8.42e+08,-3.24e+08,-3.24e+08,5.18e+08,-3.38e+08,-2.02e+08,-1.36e+08,1.8e+08,-9.2e+07,-8.2e+07,-8.3e+07,8.8e+07,-3e+06,8.5e+07,-2.5e+07,6e+07,-1.3e+07,-5e+06,-1.8e+07,-1.8e+07,3.59e+08,3.59e+08,1.182e+09,1.182e+09,4.73e+08,4.73e+08,2.014e+09,4.26e+08,1.1753e+10,5.979e+09,4.806e+09,2.67e+08,3.23e+08,1.2179e+10,1.4193e+10,1.112e+09,1.077e+09,3.5e+07,1.054e+09,1.054e+09,4.02e+08,4.02e+08,2.568e+09,7.359e+09,2.035e+09,1.031e+09,1.004e+09,9.394e+09,1.1962e+10,4.402e+09,3.2e+07,4.37e+09,-1.228e+09,-1.13e+09,2.044e+09,1.87e+08,2.231e+09,1.4193e+10,-1.3e+07,2.14e+08,2.3e+07,1.6e+07,-2.29e+08,-1.07e+08,-9.2e+07,-3e+07,-5e+06,-1.12e+08,-1.12e+08,-4e+06,-1.08e+08,-2.7e+07,-1.42e+08,1.21e+08,-1.4e+07,-1.4e+07,1e+06,1e+06,-1.9e+07,8.2e+07,-6.5e+07,-6.5e+07,-3e+07,-9.5e+07,3.94e+08,8.413e+09,7.8e+07,0.6152,0.21378,-0.02138,-0.00807000000000001,-0.00127,-4.33333,0.78427,5.36172,0.59276,-0.05051,-0.05051,2.36259,5.73531,0.21886,0.000240000000000003,0.00614999999999999,20.44162,44.74444
"38","2020_Q3",14.64140625,"Up",8.11e+08,-3.02e+08,-3.02e+08,5.09e+08,-3.2e+08,-1.73e+08,-1.47e+08,1.89e+08,-7.8e+07,-8.3e+07,-8.2e+07,1.11e+08,-7e+07,41000000.0000001,-8999999.99999997,3.2e+07,-2.6e+07,-4e+06,-3e+07,-3e+07,4.38e+08,4.38e+08,1.131e+09,1.131e+09,5.04e+08,5.04e+08,2.073e+09,4.02e+08,1.1647e+10,5.984e+09,4.698e+09,2.76e+08,3.12e+08,1.2049e+10,1.4122e+10,1.1e+09,1.1e+09,50492386.5897182,2.91e+08,2.91e+08,3.61e+08,3.61e+08,1.752e+09,8.13e+09,2.033e+09,1.016e+09,1.017e+09,1.0163e+10,1.1915e+10,4.391e+09,3.2e+07,4.359e+09,-1.258e+09,-1.112e+09,2.021e+09,1.86e+08,2.207e+09,1.4122e+10,-2.6e+07,2.24e+08,5.8e+07,1.1e+07,-6e+06,6.5e+07,-2e+06,-6.9e+07,2.5e+08,-1.2e+08,-1.2e+08,-1e+07,-1.1e+08,-1e+06,-1.2e+08,-6999999.99999988,-3.7e+07,-1.015e+09,1e+06,1e+06,-3.3e+07,-60999999.9999999,6.9e+07,6.9e+07,1e+07,7.9e+07,4.13e+08,8.421e+09,2.96e+08,0.62762,0.23305,-0.03699,-0.01359,-0.00212,-9.86667,1.18322,5.39873,0.5963,-0.08411,-0.08411,2.27378,5.66622,0.82989,-0.00063,0.02338,19.3293,42.2381
"39","2020_Q4",15.91796875,"Up",8.36e+08,-2.9e+08,-2.9e+08,5.46e+08,-3.07e+08,-1.67e+08,-1.4e+08,2.39e+08,-8.2e+07,-8.2e+07,-8.2e+07,1.57e+08,-1.7e+07,1.4e+08,-3.8e+07,1.02e+08,1e+07,-3e+06,7e+06,7e+06,2.25e+09,2.25e+09,1.094e+09,1.094e+09,4.34e+08,4.34e+08,3.778e+09,3.9e+08,1.1607e+10,6.01e+09,4.634e+09,2.88e+08,3.06e+08,1.1997e+10,1.5775e+10,1.212e+09,1.161e+09,5.1e+07,1.885e+09,1.885e+09,3.24e+08,3.24e+08,3.421e+09,8.125e+09,2.009e+09,1.004e+09,1.005e+09,1.0134e+10,1.3555e+10,4.388e+09,3.2e+07,4.356e+09,-1.251e+09,-1.105e+09,2.032e+09,1.88e+08,2.22e+09,1.5775e+10,1e+07,2.17e+08,2.8e+07,1.7e+07,1.62e+08,5.3e+07,-3.5e+07,1.44e+08,4.17e+08,-1.13e+08,-1.13e+08,-1.2e+07,-1.01e+08,1.2e+07,-1.03e+08,1.498e+09,1.663e+09,-3.33e+08,1e+06,1e+06,1.7e+07,1.495e+09,1.809e+09,1.809e+09,3e+06,1.812e+09,4.56e+08,1.001e+10,5.43e+08,0.65311,0.28589,0.00837,0.00315,0.00044,77.57143,1.10436,6.10586,0.63455,0.01961,0.01961,2.34227,5.69316,1.52135,0.00197,0.03813,17.01754,32.46862
"40","2021_Q1",23.1737704918033,"Up",8.72e+08,-3.19e+08,-3.19e+08,5.53e+08,-2.99e+08,-1.72e+08,-1.27e+08,2.54e+08,-8e+07,-8.2e+07,-8.2e+07,1.74e+08,-9.3e+07,8.1e+07,-7.2e+07,9e+06,3.6e+07,-1e+06,3.5e+07,3.5e+07,5e+08,5e+08,4.65e+08,4.65e+08,1.259e+09,1.95e+08,2.224e+09,2.7e+08,1.1641e+10,5.68e+09,3.663e+09,5.3e+07,1.59e+08,1.1911e+10,1.4135e+10,5.14e+08,4.99e+08,1.5e+07,2.76e+08,2.76e+08,1.124e+09,1.35e+08,1.914e+09,6.684e+09,3.294e+09,8.88e+08,5.69e+08,9.978e+09,1.1892e+10,4.372e+09,3.2e+07,4.34e+09,-1.216e+09,-1.105e+09,2.051e+09,1.92e+08,2.243e+09,1.4135e+10,3.6e+07,2.09e+08,8.2e+07,9e+06,1e+07,-3.9e+07,9.1e+07,-4.2e+07,3.37e+08,-1.74e+08,-1.74e+08,-6e+07,-1.14e+08,-1e+06,-1.72e+08,-1.793e+09,-1.793e+09,-1.79e+09,0,1.16415321826935e-10,-8e+06,-1.823e+09,-1.658e+09,-1.658e+09,1.8e+07,-1.64e+09,4.63e+08,6.96e+09,3.71e+08,0.63417,0.29128,0.04014,0.0156,0.00248,10.6,1.16196,5.30183,0.49239,0.0979099999999999,0.09791,2.43944,5.73772,1.03788,0.00456,0.02969,13.95248,25.43307
"41","2021_Q2",25.7277777777778,"Up",8.63e+08,-2.77e+08,-2.77e+08,5.86e+08,-3.33e+08,-2.06e+08,-1.27e+08,2.53e+08,-8.4e+07,-8e+07,-8e+07,1.69e+08,-64606685.608085,1.69e+08,-6e+07,1.09e+08,5.76e+08,-3e+06,5.73e+08,5.73e+08,1.197e+09,1.197e+09,5.04e+08,5.04e+08,3.19e+08,3.19e+08,2.02e+09,2.49e+08,9.615e+09,5.654e+09,3.594e+09,4.8e+07,1.65e+08,9.864e+09,1.1884e+10,5.63e+08,4.87e+08,7.6e+07,8.66e+08,8.66e+08,1.48e+08,1.48e+08,1.577e+09,5.886e+09,1.251e+09,6.87e+08,5.64e+08,7.137e+09,8.714e+09,4.346e+09,3.2e+07,4.314e+09,-6.43e+08,-7.26e+08,2.977e+09,1.93e+08,3.17e+09,1.1884e+10,5.76e+08,1.63e+08,-5.24e+08,8e+06,-2.6e+08,-5.7e+07,-1.47e+08,-5.6e+07,-4.5e+07,-8.6e+07,-8.9e+07,-7e+06,-8.2e+07,2.245e+09,2.158e+09,-1.492e+09,-1.492e+09,-1.492e+09,563868.849220381,563865.520398206,-1e+07,-1.523e+09,5.9e+08,5.9e+08,-3e+06,5.87e+08,4.16e+08,6.752e+09,1.3e+08,0.67903,0.29316,0.66396,0.18076,0.04822,0.22688,1.28091,2.7489,0.56816,1.60081,1.59083,2.41099,8.31693,0.36318,0.05316,0.01164,13.35337,21.95652
"42","2021_Q3",21.99875,"Down",8.61e+08,-2.92e+08,-211101401.802431,5.69e+08,-3.44e+08,-2.18e+08,-1.26e+08,2.25e+08,-9.5e+07,-6.9e+07,-76857962.7701237,1.3e+08,-6e+06,1.24e+08,-3.6e+07,8.8e+07,77999999.9999999,-2e+06,75999999.9999999,75999999.9999999,4.1e+08,4.1e+08,5.07e+08,5.07e+08,2.79e+08,2.79e+08,1.196e+09,2.42e+08,9.593e+09,5.657e+09,3.55e+09,5e+07,1.72e+08,9.835e+09,1.1031e+10,5.62e+08,4.79e+08,8.3e+07,3.6e+07,3.6e+07,1.39e+08,1.39e+08,7.37e+08,5.842e+09,1.242e+09,6.8e+08,5.62e+08,7.084e+09,7.821e+09,4.333e+09,3.2e+07,4.301e+09,-5.67e+08,-7.5e+08,3.016e+09,1.94e+08,3.21e+09,1.1031e+10,77999999.9999999,1.26e+08,3.6e+07,11895332.1176586,-2.7e+07,-10610594.31699,-281492411.430128,-25401412.6445787,2.13e+08,-7.2e+07,-7.2e+07,-1.5e+07,-5.7e+07,33999999.9999995,-3.8e+07,-9.35e+08,-9.35e+08,-2.167e+09,1e+06,1e+06,-5e+06,-9.61e+08,-7.86e+08,-7.86e+08,-1e+06,-787000000.000001,3.51e+08,5.878e+09,2.88e+08,0.66086,0.26132,0.0882700000000001,0.02368,0.00689,3.78947,1.6228,2.43645,0.53286,0.21232,0.211,2.4054,8.42588,0.80459,0.00949,0.02788,15.57835,24.30222
"43","2021_Q4",20.176875,"Down",8.82e+08,-3.07e+08,-164801869.069909,5.75e+08,-3.47e+08,-2.18e+08,-1.29e+08,2.28e+08,-6.9e+07,-6.8e+07,-73010617.0268317,1.59e+08,-6e+06,1.53e+08,-3.3e+07,1.2e+08,1.03e+08,-3e+06,1e+08,1e+08,5.42e+08,5.42e+08,5.8e+08,5.8e+08,2.65e+08,2.65e+08,1.387e+09,2.47e+08,9.535e+09,5.659e+09,3.505e+09,4.7e+07,1.69e+08,9.782e+09,1.1169e+10,6.53e+08,5.46e+08,1.07e+08,37000000.0000001,36999999.9999999,1.36e+08,1.36e+08,8.26e+08,5.841e+09,1.216e+09,6.7e+08,5.46e+08,7.057e+09,7.883e+09,4.321e+09,3.2e+07,4.289e+09,-4.67e+08,-7.6e+08,3.094e+09,1.92e+08,3.286e+09,1.1169e+10,1.03e+08,1.29e+08,2e+07,15393776.1568781,1.9e+07,48456894.5255518,-229613352.728263,-20082717.1374592,2.71e+08,-7.7e+07,-7.7e+07,-1.9e+07,-5.8e+07,-2.3e+07,-9.9e+07,-8e+06,2.427e+09,3.659e+09,0,0,-5e+06,-3.5e+07,1.37e+08,1.37e+08,-5e+06,1.32e+08,3.57e+08,5.878e+09,3.32e+08,0.65193,0.2585,0.11338,0.03043,0.00895,3.32,1.67918,2.39897,0.52628,0.27895,0.27748,2.46032,8.63066,0.92611,0.01175,0.03198,14.94678,23.40351
"44","2022_Q1",19.7375806451613,"Down",8.94e+08,-3.36e+08,-183851401.802431,5.58e+08,-3.79e+08,-2.49e+08,-1.3e+08,1.79e+08,-6.6e+07,-6.8e+07,-69157962.7701237,1.13e+08,-1e+06,1.12e+08,1.31e+08,2.42e+08,2.14e+08,9.31322574615479e-10,2.14e+08,2.14e+08,3.8e+08,3.8e+08,5.17e+08,5.17e+08,2.43e+08,2.43e+08,1.14e+09,2.73e+08,9.407e+09,5.599e+09,3.462e+09,5.5e+07,2.91e+08,9.68e+09,1.082e+10,4.91e+08,4.78e+08,1.3e+07,3.5e+07,117205314.224934,1.31e+08,1.31e+08,6.57e+08,5.591e+09,1.076e+09,5.61e+08,5.15e+08,6.667e+09,7.324e+09,4.305e+09,3.2e+07,4272833076.74869,-2.53e+08,-7.38e+08,3.314e+09,1.82e+08,3.496e+09,1.082e+10,2.14e+08,1.3e+08,-6.1e+07,15195332.1176586,-5.6e+07,64999999.9999999,-1.04e+08,-1.7e+07,2.27e+08,-1.03e+08,-1.03e+08,-4e+07,-6.3e+07,-6999999.99999994,-8.8e+07,-2.64e+08,-2.699e+09,-3.93e+09,1e+06,1e+06,-1.3e+07,-2.97e+08,-1.58e+08,-1.58e+08,-4e+06,-1.62e+08,3.09e+08,5.626e+09,18999999.9999999,0.62416,0.20022,0.23937,0.06121,0.01978,0.0887899999999999,1.73516,2.09497,0.51996,0.59436,0.59287,2.48299,9.20427,0.0527700000000001,0.02304,0.00186,16.97735,29.30726
