"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",153.243492063492,"Up",5.773e+09,-9.9e+08,4.783e+09,-2.344e+09,-1.467e+09,-8.77e+08,2.439e+09,-5.8e+07,-3.25e+08,2.67e+08,2.381e+09,2.381e+09,-3.6e+08,2.021e+09,2.021e+09,2.021e+09,2.021e+09,4.1351e+10,3e+09,3.8351e+10,3.404e+09,3.404e+09,2.927e+09,2.07e+09,2.07e+09,4.9752e+10,4.914e+09,2.5665e+10,8.873e+09,1.4776e+10,2.016e+09,3.0579e+10,8.0331e+10,6.194e+09,8.79e+08,5.315e+09,1.999e+09,8.193e+09,3.3777e+10,6.132e+09,4.001e+09,3.9909e+10,4.8102e+10,3.0898e+10,1.774e+09,-4.43e+08,3.2229e+10,3.2229e+10,8.0331e+10,2.021e+09,4.64e+08,1.61e+08,8.08e+08,3.454e+09,-1.58e+08,-1.781e+09,-3.7e+07,-1.976e+09,-8.38e+08,5.4e+08,-8.09e+08,0,-1.107e+09,3.71e+08,3.71e+08,3.71e+08,2.903e+09,3.5776e+10,3.913e+09,0.82851,0.42248,0.35008,0.06271,0.02516,1.93617,6.0725,1.49251,0.44536,2.7761,2.75716,7.92995,44.2706,5.375,1.1511,6,0.03856,0.05278,0.41465,-1.92043,-2.28577
"32","2018_Q1",160.112459016393,"Up",5.802e+09,-1.059e+09,4.743e+09,-2.498e+09,-1.455e+09,-1.043e+09,2.245e+09,-3.1e+07,-3.32e+08,3.01e+08,2.214e+09,2.214e+09,-6.478e+09,-4.264e+09,-4.264e+09,-4.264e+09,-4.264e+09,4.1678e+10,3.8e+09,3.7878e+10,3.237e+09,3.237e+09,2.834e+09,1.727e+09,1.727e+09,4.9476e+10,4.989e+09,2.5489e+10,8.609e+09,1.4761e+10,2.119e+09,3.0478e+10,7.9954e+10,7.868e+09,1.352e+09,6.516e+09,1.152e+09,9.02e+09,3.419e+10,1.1503e+10,1.0337e+10,4.5693e+10,5.4713e+10,3.0992e+10,-5.072e+09,-6.79e+08,2.5241e+10,2.5241e+10,7.9954e+10,-4.264e+09,4.49e+08,-9.13e+08,7.74e+09,3.012e+09,-1.53e+08,1.23e+08,-2.9e+07,-77999999.9999995,-8.34e+08,-5.08e+08,-7.89e+08,-3e+06,-2.134e+09,8e+08,8e+08,8e+08,2.694e+09,3.5342e+10,1.6759e+10,0.81748,0.38694,-0.73492,-0.16893,-0.05333,-3.93035,5.48514,2.16762,0.44203,-5.88138,-5.85714,8.00276,34.81517,23.11586,1.15034,4,-0.04758,0.23249,-0.19559,-2.35189,-2.82227
"33","2018_Q2",155.448125,"Down",5.554e+09,-9.44e+08,4.61e+09,-1.884e+09,-1.124e+09,-7.6e+08,2.726e+09,-1.07e+08,-3.38e+08,2.31e+08,2.619e+09,2.619e+09,-3.08e+08,2.311e+09,2.311e+09,2.311e+09,2.311e+09,3.2172e+10,9.741e+09,2.2431e+10,3.633e+09,3.633e+09,2.952e+09,1.932e+09,1.932e+09,4.0689e+10,4.943e+09,2.5532e+10,8.779e+09,1.4771e+10,1.982e+09,3.0475e+10,7.1164e+10,8.296e+09,1.089e+09,7.207e+09,2.183e+09,1.0479e+10,3.3358e+10,1.1707e+10,1.0492e+10,4.5065e+10,5.5544e+10,3.1001e+10,-1.4387e+10,-9.94e+08,1.562e+10,1.562e+10,7.1164e+10,2.311e+09,4.71e+08,2.6e+07,-8.1e+07,2.727e+09,-1.55e+08,1.4862e+10,2e+06,1.4906e+10,-9.51e+08,0,-1.0697e+10,-4.4e+07,-1.1692e+10,5.941e+09,5.941e+09,5.941e+09,3.197e+09,3.5541e+10,3.269e+09,0.83003,0.49082,0.4161,0.14795,0.03247,1.41454,3.88291,3.55595,0.49942,3.26874,3.25035,7.85573,22.09335,4.62376,1.34512,7,0.05189,0.052,0.41151,1.0538,1.23588
"34","2018_Q3",174.41253968254,"Up",6.059e+09,-1.024e+09,5.035e+09,-2.203e+09,-1.334e+09,-8.69e+08,2.832e+09,-1.85e+08,-3.47e+08,1.62e+08,2.647e+09,2.647e+09,-350999999.999999,2.296e+09,2.296e+09,2.296e+09,2.296e+09,2.9395e+10,1.0131e+10,1.9264e+10,3.504e+09,3.504e+09,3.063e+09,2.008e+09,2.008e+09,3.797e+10,4.922e+09,2.4792e+10,8.443e+09,1.4724e+10,1.625e+09,2.9714e+10,6.7684e+10,6.917e+09,1.026e+09,5.891e+09,4.288e+09,1.1205e+10,3.0209e+10,1.1361e+10,1.0206e+10,4.157e+10,5.2775e+10,3.1048e+10,-1.5266e+10,-8.73e+08,1.4909e+10,1.4909e+10,6.7684e+10,2.296e+09,4.84e+08,40999999.9999999,-718999999.999999,2.102e+09,-1.87e+08,3.121e+09,4e+06,2.938e+09,-8.65e+08,-5e+08,-3.244e+09,-4.1e+07,-4.65e+09,3.9e+08,3.9e+08,3.9e+08,3.316e+09,3.4497e+10,2.761e+09,0.831,0.4674,0.37894,0.154,0.03392,1.20253,3.38867,3.53981,0.50968,3.5,3.47879,9.23628,22.72713,4.20884,1.3186,6,0.05202,0.04544,0.37674,1.5386,1.80155
"35","2018_Q4",173.795079365079,"Down",5.904e+09,-1.037e+09,4.867e+09,-2.544e+09,-1.618e+09,-9.26e+08,2.323e+09,-2.29e+08,-3.55e+08,1.26e+08,2.094e+09,2.094e+09,-2.35e+08,1.859e+09,1.859e+09,1.859e+09,1.859e+09,2.9921e+10,1.1956e+10,1.7965e+10,3.441e+09,3.441e+09,3.017e+09,1.941e+09,1.941e+09,3.832e+10,4.899e+09,2.4114e+10,7.782e+09,1.4684e+10,1.648e+09,2.9013e+10,6.7333e+10,7.355e+09,1.042e+09,6.313e+09,5.077e+09,1.2432e+10,2.935e+10,1.1202e+10,1.0224e+10,4.0552e+10,5.2984e+10,3.1145e+10,-1.5987e+10,-8.09e+08,1.4349e+10,1.4349e+10,6.7333e+10,1.859e+09,5.01e+08,2.75e+08,6.38e+08,3.273e+09,-1.71e+08,1.34e+09,-3.7e+07,1.132e+09,-8.51e+08,0,-1.729e+09,0,-2.58e+09,1.825e+09,1.825e+09,1.825e+09,2.824e+09,3.4427e+10,3.526e+09,0.82436,0.39346,0.31487,0.12956,0.02761,1.89672,3.08237,3.69252,0.51129,2.88217,2.86441,9.15349,22.24651,5.46667,1.31938,6,0.04518,0.05879,0.45777,1.59561,1.93973
"36","2019_Q1",171.398196721311,"Down",6.23e+09,-1.096e+09,5.134e+09,-2.752e+09,-1.57e+09,-1.182e+09,2.382e+09,-1.97e+08,-3.52e+08,1.55e+08,2.185e+09,2.185e+09,-2.57e+08,1.928e+09,1.928e+09,1.928e+09,1.928e+09,2.9304e+10,6.945e+09,2.2359e+10,3.58e+09,3.58e+09,2.94e+09,1.794e+09,1.794e+09,3.7618e+10,4.958e+09,2.384e+10,7.443e+09,1.4699e+10,1.698e+09,2.8798e+10,6.6416e+10,9.069e+09,1.207e+09,7.862e+09,4.419e+09,1.3488e+10,2.951e+10,1.0918e+10,1.0054e+10,4.0428e+10,5.3916e+10,3.1246e+10,-1.7977e+10,-7.69e+08,1.25e+10,1.25e+10,6.6416e+10,1.928e+09,4.9e+08,-7999999.99999994,7.84e+08,3.194e+09,-2.25e+08,-4.296e+09,-1.14e+08,-4.637e+09,-8.4e+08,-6.21e+08,-2.124e+09,1.7e+07,-3.568e+09,-5.011e+09,-5.011e+09,-5.011e+09,2.872e+09,3.3929e+10,3.688e+09,0.82408,0.38234,0.30947,0.15424,0.02903,1.91286,2.789,4.31328,0.51086,3.03145,3.0125,9.7956,19.65409,5.79874,1.32075,7,0.04827,0.06431,0.43568,1.61038,1.94165
"37","2019_Q2",161.99253968254,"Down",5.557e+09,-1.055e+09,4.502e+09,-2.03e+09,-1.151e+09,-8.79e+08,2.472e+09,-1.58e+08,-3.43e+08,1.85e+08,2.314e+09,2.314e+09,-3.22e+08,1.992e+09,1.992e+09,1.992e+09,1.992e+09,2.6301e+10,7.358e+09,1.8943e+10,3.771e+09,3.771e+09,3.016e+09,2.063e+09,2.063e+09,3.5151e+10,4.892e+09,2.3954e+10,7.124e+09,1.4692e+10,2.138e+09,2.8846e+10,6.3997e+10,9.001e+09,1.091e+09,7.91e+09,3.705e+09,1.2706e+10,2.9319e+10,1.114e+10,1.0329e+10,4.0459e+10,5.3165e+10,3.1243e+10,-1.9895e+10,-5.16e+08,1.0832e+10,1.0832e+10,6.3997e+10,1.992e+09,4.95e+08,-2.6e+07,-6.16e+08,1.845e+09,-1.16e+08,3.682e+09,-1.1e+07,3.555e+09,-9.01e+08,-1e+09,-3.032e+09,-5.4e+07,-4.987e+09,4.13e+08,4.13e+08,4.13e+08,2.967e+09,3.3024e+10,2.557e+09,0.81015,0.44484,0.35847,0.1839,0.03113,1.28363,2.76649,4.90814,0.51602,3.20257,3.18211,8.93408,17.41479,4.11093,1.44855,5,0.0526,0.04649,0.45231,2.26593,2.71966
"38","2019_Q3",175.104375,"Up",5.871e+09,-1.012e+09,4.859e+09,-2.181e+09,-1.257e+09,-9.24e+08,2.678e+09,-1.14e+08,-3.32e+08,2.18e+08,2.564e+09,2.564e+09,-3.85e+08,2.179e+09,2.179e+09,2.179e+09,2.179e+09,2.1758e+10,5.525e+09,1.6233e+10,3.801e+09,3.801e+09,3.176e+09,2.011e+09,2.011e+09,3.0746e+10,4.882e+09,2.3745e+10,6.813e+09,1.4689e+10,2.243e+09,2.8627e+10,5.9373e+10,7.806e+09,1.001e+09,6.805e+09,2.816e+09,1.0622e+10,2.7798e+10,1.0159e+10,9.396e+09,3.7957e+10,4.8579e+10,3.1313e+10,-2.0054e+10,-4.65e+08,1.0794e+10,1.0794e+10,5.9373e+10,2.179e+09,5.01e+08,-1.2e+07,-1.254e+09,1.414e+09,-1.44e+08,2.902e+09,-1.3e+07,2.745e+09,-8.8e+08,-2.65e+09,-2.415e+09,-4.7e+07,-5.992e+09,-1.833e+09,-1.833e+09,-1.833e+09,3.179e+09,3.0614e+10,2.166e+09,0.82763,0.45614,0.37115,0.20187,0.0367,0.99403,2.89456,4.50056,0.51562,3.58388,3.57213,9.65625,17.75329,3.5625,1.44737,5,0.05932,0.042,0.40385,2.78578,3.30695
"39","2019_Q4",202.47390625,"Up",5.737e+09,-1.036e+09,4.701e+09,-2.225e+09,-1.224e+09,-1.001e+09,2.476e+09,-1.99e+08,-3.13e+08,1.14e+08,2.277e+09,2.277e+09,-3.09e+08,1.968e+09,1.968e+09,1.968e+09,1.968e+09,2.0853e+10,1.1415e+10,9.438e+09,3.606e+09,3.606e+09,3.243e+09,3.349e+09,3.349e+09,3.1051e+10,4.901e+09,2.3583e+10,6.702e+09,1.4705e+10,2.176e+09,2.8484e+10,5.9535e+10,8.688e+09,1.005e+09,7.683e+09,2.049e+09,1.0737e+10,2.7742e+10,1.0129e+10,9.464e+09,3.7871e+10,4.8608e+10,3.1451e+10,-2.0136e+10,-3.88e+08,1.0927e+10,1.0927e+10,5.9535e+10,1.968e+09,5.08e+08,3.5e+07,8.66e+08,3.377e+09,-1.7e+08,5.814e+09,-2.72e+08,5.372e+09,-8.68e+08,-8.64e+08,-1.161e+09,3.4e+07,-2.859e+09,5.89e+09,5.89e+09,5.89e+09,2.984e+09,2.9791e+10,3.989e+09,0.81942,0.43158,0.34304,0.1801,0.03306,2.02693,2.89196,4.44843,0.50039,3.29648,3.26368,9.60972,18.30318,6.68174,1.45394,6,0.05578,0.07845,0.44106,2.99531,3.60985
"40","2020_Q1",201.978387096774,"Down",6.197e+09,-1.253e+09,4.944e+09,-2.896e+09,-1.584e+09,-1.312e+09,2.048e+09,-6.5e+07,-3.01e+08,2.36e+08,1.983e+09,1.983e+09,-2.8e+08,1.703e+09,1.703e+09,1.703e+09,1.703e+09,8.911e+09,6.037e+09,2.874e+09,4.057e+09,4.057e+09,3.584e+09,1.888e+09,1.888e+09,1.844e+10,4.928e+09,3.6339e+10,1.9413e+10,1.4703e+10,2.223e+09,4.1267e+10,5.9707e+10,9.882e+09,1.371e+09,8.511e+09,2.953e+09,1.2835e+10,2.695e+10,1.0249e+10,1.0249e+10,3.7199e+10,5.0034e+10,3.1531e+10,-2.133e+10,-5.28e+08,9.673e+09,9.673e+09,5.9707e+10,1.703e+09,7.02e+08,-1.64e+08,2.73e+08,2.514e+09,-1.88e+08,7.598e+09,2.44e+08,-5.963e+09,-8.6e+08,0,-1.094e+09,2.5e+07,-1.929e+09,-5.378e+09,-5.378e+09,-5.378e+09,2.75e+09,2.9903e+10,3.115e+09,0.79781,0.33048,0.27481,0.17606,0.02852,1.82913,1.4367,5.17254,0.50083,2.87184,2.8526,10.45025,16.31197,5.25295,1.45025,5,0.05144,0.06252,0.50499,7.63345,10.25
"41","2020_Q2",212.443492063492,"Up",6.161e+09,-1.513e+09,4.648e+09,-2.293e+09,-1.341e+09,-9.52e+08,2.355e+09,-3.35e+08,-3.46e+08,1.1e+07,2.02e+09,2.02e+09,-1.95e+08,1.825e+09,1.825e+09,1.825e+09,1.825e+09,8.012e+09,7.687e+09,3.25e+08,5.009e+09,5.009e+09,3.682e+09,2.11e+09,2.11e+09,1.8813e+10,4.879e+09,3.7977e+10,1.8653e+10,1.4683e+10,4.641e+09,4.2856e+10,6.1669e+10,9.987e+09,1.338e+09,8.649e+09,1.84e+09,1.1827e+10,3.0008e+10,1.0349e+10,9.922e+09,4.0357e+10,5.2184e+10,3.1525e+10,-2.1378e+10,-6.62e+08,9.485e+09,9.485e+09,6.1669e+10,1.825e+09,8.97e+08,2.3e+07,-6.11e+08,2.134e+09,-1.42e+08,2.558e+09,-2.646e+09,-2.3e+08,-9.45e+08,1.713e+09,-9.61e+08,-6.1e+07,-2.54e+08,1.65e+09,1.65e+09,1.65e+09,3.252e+09,3.1848e+10,2.694e+09,0.75442,0.38224,0.29622,0.19241,0.02959,1.47616,1.59068,5.50174,0.51643,3.09322,3.07239,10.44237,16.07627,4.5661,1.60169,5,0.0536,0.05213,0.51781,7.32964,10.12144
"42","2020_Q3",232.2209375,"Up",6.206e+09,-1.488e+09,4.718e+09,-2.395e+09,-1.431e+09,-9.64e+08,2.323e+09,-2.93e+08,-2.96e+08,3000000.00000003,2.03e+09,2.03e+09,-2.27e+08,1.803e+09,1.803e+09,1.803e+09,1.803e+09,1.1421e+10,9.145e+09,2.276e+09,5.366e+09,5.366e+09,3.84e+09,2.268e+09,2.268e+09,2.2895e+10,4.843e+09,3.7273e+10,1.7948e+10,1.4678e+10,4.647e+09,4.2116e+10,6.5011e+10,1.0432e+10,1.15e+09,9.282e+09,9.1e+07,1.0523e+10,3.4133e+10,9.696e+09,9.437e+09,4.3829e+10,5.4352e+10,3.161e+10,-2.0168e+10,-7.83e+08,1.0659e+10,1.0659e+10,6.5011e+10,1.803e+09,9.3e+08,-3.9e+07,1.48e+08,2.842e+09,-1.58e+08,-1.951e+09,-50000000.0000005,-2.159e+09,-9.42e+08,2.289e+09,-5.55e+08,-1.7e+07,7.75e+08,1.458e+09,1.458e+09,1.458e+09,3.253e+09,3.4224e+10,3.47e+09,0.76023,0.37432,0.29053,0.16915,0.02773,1.92457,2.17571,5.09917,0.52643,3.06633,3.04561,10.55442,18.12755,5.90136,1.60204,5,0.05029,0.06358,0.52246,7.00984,9.81619
"43","2020_Q4",217.56,"Down",6.423e+09,-1.561e+09,4.862e+09,-2.409e+09,-1.347e+09,-1.062e+09,2.453e+09,-2.47e+08,-3.02e+08,5.5e+07,2.206e+09,2.206e+09,-1.85e+08,2.021e+09,2.021e+09,2.021e+09,2.021e+09,1.236e+10,9.087e+09,3.273e+09,4.094e+09,4.094e+09,3.942e+09,2.265e+09,2.265e+09,2.2661e+10,4.816e+09,3.716e+10,1.7254e+10,1.4674e+10,5.232e+09,4.1976e+10,6.4637e+10,9.862e+09,1.161e+09,8.701e+09,9.1e+07,9.953e+09,3.4196e+10,9.529e+09,9.319e+09,4.3725e+10,5.3678e+10,3.1713e+10,-1.9851e+10,-9.03e+08,1.0959e+10,1.0959e+10,6.4637e+10,2.021e+09,9.01e+08,-5.3e+07,4.99e+08,3.368e+09,-1.35e+08,-1.001e+09,-4.92e+08,-1.628e+09,-9.36e+08,-8.8e+07,-7.65e+08,-9e+06,-1.798e+09,-5.8e+07,-5.8e+07,-5.8e+07,3.354e+09,3.4287e+10,3.903e+09,0.75697,0.38191,0.31465,0.18441,0.03127,1.93122,2.2768,4.89807,0.53045,3.44881,3.42542,10.96075,18.70137,6.66041,1.59727,5,0.05398,0.07126,0.46314,6.53757,8.93885
"44","2021_Q1",226.836229508197,"Up",6.634e+09,-1.597e+09,5.037e+09,-3.029e+09,-1.8e+09,-1.229e+09,2.008e+09,-1.31e+08,-3.18e+08,1.87e+08,1.877e+09,1.877e+09,-2.62e+08,1.615e+09,1.615e+09,1.615e+09,1.615e+09,1.0647e+10,6.266e+09,4.381e+09,4.525e+09,4.525e+09,3.893e+09,2.079e+09,2.079e+09,2.1144e+10,4.889e+09,3.6915e+10,1.6587e+10,1.4689e+10,5.639e+09,4.1804e+10,6.2948e+10,1.1562e+10,1.421e+09,1.0141e+10,9.1e+07,1.1653e+10,3.2895e+10,8.991e+09,8.991e+09,4.1886e+10,5.3539e+10,3.1802e+10,-2.1408e+10,-9.85e+08,9.409e+09,9.409e+09,6.2948e+10,1.615e+09,8.73e+08,-8.3e+07,-2.52e+08,2.153e+09,-1.73e+08,-1.105e+09,-1.06e+08,-1.384e+09,-9.32e+08,-1.45e+09,-1.205e+09,-3e+06,-3.59e+09,-2.821e+09,-2.821e+09,-2.821e+09,2.881e+09,3.2986e+10,2.718e+09,0.75927,0.30268,0.24344,0.17164,0.02566,1.68297,1.81447,5.69019,0.52402,2.78448,2.76541,11.43793,16.22241,4.68621,1.6069,6,0.04957,0.05289,0.57709,7.7539,11.125
"45","2021_Q2",235.49380952381,"Up",5.901e+09,-1.49e+09,4.411e+09,-2.282e+09,-1.254e+09,-9.67e+08,2.129e+09,-2.72e+08,-2.85e+08,1.3e+07,1.857e+09,1.857e+09,-2.11e+08,1.646e+09,1.646e+09,1.646e+09,1.646e+09,1.0566e+10,6.112e+09,4.454e+09,4.423e+09,4.423e+09,4.017e+09,2.293e+09,2.293e+09,2.1299e+10,4.855e+09,3.6385e+10,1.5947e+10,1.4673e+10,5.765e+09,4.124e+10,6.2539e+10,1.1313e+10,1.396e+09,9.917e+09,1.556e+09,1.2869e+10,3.1129e+10,9.207e+09,9.207e+09,4.0336e+10,5.3205e+10,3.1806e+10,-2.1639e+10,-8.33e+08,9.334e+09,9.334e+09,6.2539e+10,1.646e+09,8.41e+08,-1.2e+07,-3.71e+08,2.104e+09,-1.66e+08,-7.4e+07,-7.9e+07,-3.19e+08,-1.016e+09,2989138193.94025,-8.71e+08,-5.2e+07,-1.939e+09,-1.54e+08,-1.54e+08,-1.54e+08,2.97e+09,3.2685e+10,2.644e+09,0.7475,0.36079,0.27894,0.17634,0.02632,1.60632,1.65506,5.70013,0.52263,2.85269,2.83305,10.22704,16.17678,4.58232,1.76083,5,0.05197,0.05161,0.61725,7.44747,10.38938
"46","2021_Q3",221.9071875,"Down",6.526e+09,-1.637e+09,4.889e+09,-2.556e+09,-1.384e+09,-1.082e+09,2.333e+09,-2.7e+08,-2.81e+08,1.1e+07,2.063e+09,5.58e+08,-9.4e+07,4.64e+08,4.64e+08,4.64e+08,4.64e+08,8.082e+09,6.63e+09,1.452e+09,4.479e+09,4.479e+09,4.115e+09,2.423e+09,2.423e+09,1.9099e+10,4.906e+09,3.5768e+10,1.5308e+10,1.4676e+10,5.784e+09,4.0674e+10,5.9773e+10,1.0261e+10,1.277e+09,8.984e+09,4.324e+09,1.4585e+10,2.8458e+10,8.483e+09,8.483e+09,3.6941e+10,5.1526e+10,3.1877e+10,-2.2762e+10,-8.68e+08,8.247e+09,8.247e+09,5.9773e+10,4.64e+08,8.55e+08,1.55e+09,-9.38e+08,1.931e+09,-1.85e+08,3.006e+09,1.4e+07,1.209e+09,-1.008e+09,7820378447.26607,-1.581e+09,-3.3e+07,-2.622e+09,5.18e+08,5.18e+08,5.18e+08,3.188e+09,3.2782e+10,2.159e+09,0.74916,0.35749,0.0711,0.05626,0.00776,4.65302,1.3095,6.24785,0.54844,0.80416,0.79862,11.31023,14.29289,3.74177,1.74697,6,0.02973,0.04361,2.17241,7.7478,10.58723
"47","2021_Q4",205.1665625,"Down",6.706e+09,-1.609e+09,5.097e+09,-2.719e+09,-1.448e+09,-1.422e+09,2.378e+09,-2.23e+08,-2.96e+08,7.3e+07,2.155e+09,2.155e+09,-2.71e+08,1.884e+09,1.884e+09,1.884e+09,1.884e+09,1.2921e+10,1.1969e+10,9.52e+08,4.765e+09,4.765e+09,4.152e+09,2.542e+09,2.542e+09,2.438e+10,4.982e+09,3.5631e+10,1.4659e+10,1.4665e+10,6.307e+09,4.0613e+10,6.4993e+10,1.0554e+10,1.171e+09,9.383e+09,4.288e+09,1.4842e+10,3.3291e+10,8.643e+09,8.643e+09,4.1934e+10,5.6776e+10,3.1989e+10,-2.2964e+10,-8.08e+08,8.217e+09,8.217e+09,6.4993e+10,1.884e+09,8.5e+08,-1.1e+08,-2.06e+08,2.418e+09,-2.42e+08,4.97e+08,-1.69e+08,7.3e+07,-9.99e+08,4.946e+09,-1.08e+09,-1.9e+07,2.848e+09,5.339e+09,5.339e+09,5.339e+09,3.228e+09,3.7579e+10,3.051e+09,0.76007,0.35461,0.28094,0.22928,0.02899,1.61943,1.64264,6.90958,0.5782,3.29371,3.27083,11.72378,14.36538,5.33392,1.7465,7,0.05296,0.05604,0.53025,7.63879,10.36922
"48","2022_Q1",225.294193548387,"Up",6.846e+09,-1.718e+09,5.128e+09,-2.824e+09,-1.476e+09,-1.348e+09,2.304e+09,-1.73e+08,-3.35e+08,1.62e+08,2.131e+09,2.131e+09,-2.32e+08,1.899e+09,1.899e+09,1.899e+09,1.899e+09,8.037e+09,7.989e+09,4.8e+07,4.895e+09,4.895e+09,4.086e+09,2.367e+09,2.367e+09,1.9385e+10,5.184e+09,3.6596e+10,1.5182e+10,1.489e+10,6.524e+09,4.178e+10,6.1165e+10,1.2097e+10,1.366e+09,1.0731e+10,87000000.0000005,1.2184e+10,3.3222e+10,9.059e+09,9.059e+09,4.2281e+10,5.4465e+10,3.2096e+10,-2.46e+10,-7.96e+08,6.7e+09,6.7e+09,6.1165e+10,1.899e+09,8.52e+08,-2.64e+08,3.21e+08,2.808e+09,-2.87e+08,9.05e+08,4.2e+07,-2.3e+08,-9.9e+08,-4.151e+09,-1.443e+09,2.6e+07,-6.558e+09,-3.98e+09,-3.98e+09,-3.98e+09,3.156e+09,3.3309e+10,3.422e+09,0.74905,0.33655,0.27739,0.28343,0.03105,1.802,1.59102,8.1291,0.54458,3.44022,3.44022,12.40217,12.13768,6.19928,1.79348,6,0.05888,0.06974,0.52133,8.0076,10.96875
"49","2022_Q2",242.240483870968,"Up",6.238e+09,-1.561e+09,4.677e+09,-2.177e+09,-1.228e+09,-9.59e+08,2.5e+09,-8.25e+08,-2.95e+08,-5.3e+08,1.675e+09,1.675e+09,-1.99e+08,1.476e+09,1.476e+09,1.476e+09,1.476e+09,6.544e+09,6.528e+09,1.6e+07,5.077e+09,5.077e+09,4.411e+09,2.488e+09,2.488e+09,1.852e+10,5.142e+09,3.5534e+10,1.4567e+10,1.4897e+10,6.07e+09,4.0676e+10,5.9196e+10,1.2042e+10,1.403e+09,1.0639e+10,8.44e+08,1.2886e+10,3.601e+10,9.384e+09,9.384e+09,4.5394e+10,5.828e+10,3.1247e+10,-2.9568e+10,-7.63e+08,9.16e+08,9.16e+08,5.9196e+10,1.476e+09,8.41e+08,2.94e+08,-4.47e+08,2.164e+09,-1.9e+08,3.2e+07,4.7e+07,-1.11e+08,-1.08e+09,3.952e+09,-6.36e+09,-2.6e+07,-3.514e+09,-1.461e+09,-1.461e+09,-1.461e+09,3.341e+09,3.6854e+10,2.903e+09,0.74976,0.40077,0.23661,1.61135,0.02493,1.9668,1.43722,63.62445,0.62258,2.62633,2.61239,11.09964,1.62989,5.16548,1.92171,6,0.05421,0.06156,0.73171,9.07213,12.124
"50","2022_Q3",245.97325,"Up",6.594e+09,-1.51e+09,5.084e+09,-2.908e+09,-1.327e+09,-1.039e+09,2.176e+09,-6.45e+08,-3.28e+08,-3.17e+08,1.531e+09,1.531e+09,-2.14e+08,1.317e+09,1.317e+09,1.317e+09,1.317e+09,7.183e+09,5.203e+09,1.98e+09,5.327e+09,5.327e+09,4.554e+09,2.258e+09,2.258e+09,1.9322e+10,5.158e+09,3.4814e+10,1.3927e+10,1.4865e+10,6.022e+09,3.9972e+10,5.9294e+10,1.1801e+10,1.256e+09,1.0545e+10,8.17e+08,1.2618e+10,3.5705e+10,8.552e+09,8.552e+09,4.4257e+10,5.6875e+10,3.1343e+10,-2.8252e+10,-6.72e+08,2.419e+09,2.419e+09,5.9294e+10,1.317e+09,8.28e+08,6.85e+08,-9e+08,1.93e+09,-2.46e+08,-1.961e+09,1.4e+07,-2.193e+09,-1.038e+09,2e+06,0,-2.6e+07,-1.062e+09,-1.325e+09,-1.325e+09,-1.325e+09,3.004e+09,3.6522e+10,2.072e+09,0.771,0.33,0.19973,0.54444,0.02221,1.57327,1.5313,23.51178,0.61595,2.46168,2.45251,12.32523,4.5215,3.8729,1.94019,8,0.04959,0.04363,0.78815,9.76664,13.483
