"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",56.2131746031746,"Up",4.039e+09,-2.361e+09,1.678e+09,-9.31e+08,-9.31e+08,7.47e+08,-3.9e+07,-3.9e+07,7.08e+08,-8.7e+07,6.21e+08,-2.02e+08,4.19e+08,4.25e+08,-1.2e+07,4.13e+08,4.13e+08,3.14e+09,3.14e+09,2.926e+09,2.926e+09,1.891e+09,5.97e+08,5.97e+08,8.554e+09,3.304e+09,7.544e+09,5.296e+09,1.868e+09,3.8e+08,1.0848e+10,1.9402e+10,4.007e+09,1.613e+09,2.175e+09,1.363e+09,5.37e+09,3.797e+09,2.213e+09,2.213e+09,6.01e+09,1.138e+10,8.27e+08,4.77e+08,3.5e+08,-1.3086e+10,2.18e+10,-1.575e+09,7.966e+09,5.6e+07,8.022e+09,1.9402e+10,4.19e+08,1.71e+08,4.2e+07,1.42e+08,6.48e+08,-1.06e+08,-2.935e+09,-3e+07,-3.1e+09,-3.09e+08,1.091e+09,-2.8e+08,3e+06,5.05e+08,-1.947e+09,-1.947e+09,4.8e+07,-1.899e+09,9.18e+08,5.16e+09,1.156e+09,0.41545,0.18495,0.10225,0.05148,0.02129,2.79903,1.59292,1.4186,0.26595,0.6425,0.6415,6.28345,12.39266,1.79838,0.48071,6,0.0469,0.07509,0.74818,2.20044,2.70415
"32","2018_Q1",62.2339344262295,"Up",4.435e+09,-2.631e+09,1.804e+09,-9.97e+08,-9.97e+08,8.07e+08,-3.9e+07,-3.9e+07,7.68e+08,-8.3e+07,6.85e+08,-1.83e+08,5.02e+08,5.1e+08,-6e+06,5.04e+08,5.04e+08,3.062e+09,3.062e+09,3.072e+09,3.072e+09,1.696e+09,4.22e+08,4.22e+08,8.252e+09,3.321e+09,8.016e+09,5.316e+09,1.89e+09,8.1e+08,1.1337e+10,1.9589e+10,4.183e+09,1.776e+09,2.342e+09,8.62e+08,5.045e+09,3.794e+09,1.98e+09,1.98e+09,5.774e+09,1.0819e+10,7.74e+08,4.77e+08,2.97e+08,-1.3032e+10,2.1995e+10,-1.019e+09,8.718e+09,5.2e+07,8.77e+09,1.9589e+10,5.02e+08,1.82e+08,7.7e+07,1.44e+08,8.54e+08,-1.76e+08,0,-2.6e+07,-1.77e+08,-3.09e+08,-5e+08,5.96046447753906e-08,-5000000.00000001,-8.14e+08,-1.37e+08,-1.37e+08,5.9e+07,-78000000.0000005,9.89e+08,4.656e+09,1.14e+09,0.40676,0.18196,0.11364,0.05747,0.02573,2.2619,1.63568,1.23364,0.23768,0.78849,0.78664,6.93836,13.63892,1.78348,0.48342,7,0.05277,0.074,0.6131,1.61173,1.97522
"33","2018_Q2",61.87625,"Down",3.816e+09,-2.195e+09,1.621e+09,-9.92e+08,-9.92e+08,6.29e+08,-3.8e+07,-3.8e+07,5.91e+08,-8.8e+07,5.03e+08,-1.09e+08,3.94e+08,3.94e+08,-2e+06,3.92e+08,3.92e+08,3.096e+09,3.096e+09,2.881e+09,2.881e+09,1.845e+09,3.3e+08,3.3e+08,8.152e+09,3.279e+09,8.427e+09,5.616e+09,2.118e+09,6.93e+08,1.1706e+10,1.9858e+10,4.099e+09,1.596e+09,2.286e+09,2.093e+09,6.192e+09,3.375e+09,1.903e+09,1.903e+09,5.278e+09,1.147e+10,7.83e+08,4.77e+08,3.06e+08,-1.3521e+10,2.2079e+10,-9.92e+08,8.349e+09,3.9e+07,8.388e+09,1.9858e+10,3.94e+08,1.87e+08,2.6e+07,-1.6e+08,4.47e+08,-9.6e+07,-2.78e+08,-1.8e+07,-3.92e+08,-3.11e+08,8.1e+08,-5e+08,-3e+07,-3.1e+07,2.4e+07,2.4e+07,1e+07,3.4e+07,8.16e+08,5.468e+09,6.69e+08,0.42479,0.16483,0.10273,0.04673,0.01974,1.70663,1.31654,1.36743,0.27536,0.61423,0.61202,5.97932,13.08211,1.04826,0.48731,8,0.04461,0.04245,0.79337,2.90686,3.77107
"34","2018_Q3",65.3533333333333,"Up",4.248e+09,-2.423e+09,1.825e+09,-1.032e+09,-1.032e+09,7.93e+08,-3.6e+07,-3.6e+07,7.57e+08,-9.9e+07,6.58e+08,-1.69e+08,4.89e+08,4.89e+08,-7e+06,4.82e+08,4.82e+08,2.444e+09,2.444e+09,3.042e+09,3.042e+09,1.897e+09,3.42e+08,3.42e+08,7.725e+09,3.299e+09,8.761e+09,5.821e+09,2.203e+09,7.37e+08,1.206e+10,1.9785e+10,4.112e+09,1.603e+09,2.362e+09,1.833e+09,5.945e+09,3.357e+09,1.946e+09,1.946e+09,5.303e+09,1.1248e+10,8e+08,4.77e+08,3.23e+08,-1.3735e+10,2.2254e+10,-8.27e+08,8.492e+09,4.5e+07,8.537e+09,1.9785e+10,4.89e+08,1.91e+08,2e+07,-2.03e+08,4.97e+08,-9.8e+07,-2.71e+08,-2.4e+07,-3.93e+08,-3.07e+08,-2.79e+08,-2.5e+08,2.4e+07,-8.12e+08,-7.08e+08,-7.08e+08,5.6e+07,-6.52e+08,9.84e+08,5.19e+09,8.52e+08,0.42961,0.18668,0.11347,0.05646,0.02436,1.76763,1.29941,1.31756,0.26232,0.76193,0.75786,6.71514,13.42396,1.34682,0.4853,7,0.05034,0.05436,0.63693,2.79065,3.4628
"35","2018_Q4",60.1250793650794,"Down",4.456e+09,-2.507e+09,1.949e+09,-1.054e+09,-1.054e+09,8.95e+08,-3.9e+07,-3.9e+07,8.56e+08,-8.8e+07,7.68e+08,-4.9e+07,7.19e+08,7.19e+08,-7e+06,7.12e+08,7.12e+08,3.411e+09,3.411e+09,3.027e+09,3.027e+09,1.805e+09,3.33e+08,3.33e+08,8.576e+09,3.26e+09,8.651e+09,5.745e+09,2.157e+09,7.49e+08,1.1911e+10,2.0487e+10,4.092e+09,1.647e+09,2.392e+09,2.862e+09,6.954e+09,3.126e+09,1.947e+09,1.947e+09,5.073e+09,1.2027e+10,8.09e+08,4.77e+08,3.32e+08,-1.3964e+10,2.266e+10,-1.092e+09,8.413e+09,4.7e+07,8.46e+09,2.0487e+10,7.19e+08,1.79e+08,-5.1e+07,7.7e+07,9.24e+08,-1.2e+08,2e+06,-2.9e+07,-1.47e+08,-3.06e+08,7.99e+08,-2.5e+08,4e+07,2.83e+08,1.06e+09,1.06e+09,-9.3e+07,9.67e+08,1.074e+09,5.988e+09,1.08e+09,0.43739,0.20085,0.15978,0.08416,0.03475,1.51685,1.23325,1.42163,0.29228,1.13124,1.12498,7.07976,13.3667,1.71592,0.48618,8,0.06209,0.06587,0.42978,2.39944,2.87933
"36","2019_Q1",59.0950819672131,"Down",4.888e+09,-2.851e+09,2.037e+09,-1.191e+09,-1.191e+09,8.46e+08,-4.6e+07,-4.6e+07,8e+08,-6.2e+07,7.38e+08,-1.16e+08,6.22e+08,6.22e+08,-5e+06,6.17e+08,6.17e+08,1.093e+09,1.093e+09,3.344e+09,3.344e+09,1.813e+09,3.69e+08,3.69e+08,6.619e+09,3.562e+09,1.0209e+10,6.455e+09,2.751e+09,1.003e+09,1.3771e+10,2.039e+10,4.541e+09,1.943e+09,2.534e+09,1.623e+09,6.164e+09,3.137e+09,2.099e+09,2.099e+09,5.236e+09,1.14e+10,8.25e+08,4.77e+08,3.48e+08,-1.3935e+10,2.3072e+10,-1.015e+09,8.947e+09,4.3e+07,8.99e+09,2.039e+10,6.22e+08,2.01e+08,-1999999.99999999,2.03e+08,1.024e+09,-3.03e+08,-1.455e+09,-3e+07,-1.788e+09,-3.05e+08,-1.228e+09,-5.96046447753906e-08,1e+06,-1.532e+09,-2.296e+09,-2.296e+09,-2.2e+07,-2.318e+09,1.047e+09,4.76e+09,1.063e+09,0.41673,0.17308,0.12623,0.06863,0.03026,1.72285,1.07382,1.26808,0.23345,0.9828,0.97657,7.78592,14.25135,1.69321,0.48582,8,0.05817,0.06707,0.49433,3.50239,4.33452
"37","2019_Q2",60.6147619047619,"Up",4.147e+09,-2.386e+09,1.761e+09,-1.077e+09,-1.077e+09,6.84e+08,-4.3e+07,-4.3e+07,6.41e+08,-5e+07,5.91e+08,-1.24e+08,4.67e+08,4.67e+08,-2e+06,4.65e+08,4.65e+08,1.248e+09,1.248e+09,2.733e+09,2.733e+09,1.98e+09,6.97e+08,6.97e+08,6.658e+09,3.551e+09,1.022e+10,6.468e+09,2.714e+09,1.038e+09,1.3771e+10,2.0429e+10,4.22e+09,1.794e+09,2.288e+09,3.32e+09,7.54e+09,2.641e+09,1.972e+09,1.972e+09,4.613e+09,1.2153e+10,8.52e+08,4.77e+08,3.75e+08,-1.4816e+10,2.3252e+10,-1.052e+09,8.236e+09,4e+07,8.276e+09,2.0429e+10,4.67e+08,2.02e+08,-3.6e+07,-3.1e+08,3.23e+08,-1.55e+08,-7.3e+07,-3.1e+07,-2.59e+08,-3.05e+08,1.198e+09,-7.86e+08,-9e+06,9.8e+07,1.62e+08,1.62e+08,-7e+06,1.55e+08,8.86e+08,5.961e+09,5.45e+08,0.42464,0.16494,0.11213,0.05619,0.02276,1.17204,0.88302,1.46846,0.29179,0.74531,0.74068,6.6469,13.20083,0.87354,0.48886,6,0.0475,0.03362,0.65591,5.31941,6.89035
"38","2019_Q3",57.336875,"Down",4.57e+09,-2.645e+09,1.925e+09,-1.145e+09,-1.145e+09,7.8e+08,-4.8e+07,-4.8e+07,7.32e+08,-5.7e+07,6.75e+08,-1.5e+08,5.25e+08,5.25e+08,-5e+06,5.2e+08,5.2e+08,1.384e+09,1.384e+09,2.911e+09,2.911e+09,2.073e+09,7.84e+08,7.84e+08,7.152e+09,3.615e+09,1.0304e+10,6.509e+09,2.701e+09,1.094e+09,1.3919e+10,2.1071e+10,4.163e+09,1.73e+09,2.349e+09,2.551e+09,6.714e+09,3.786e+09,1.999e+09,1.999e+09,5.785e+09,1.2499e+10,8.57e+08,4.77e+08,3.8e+08,-1.4878e+10,2.3475e+10,-9.28e+08,8.526e+09,4.6e+07,8.572e+09,2.1071e+10,5.25e+08,2.04e+08,2.4e+07,-2.2e+08,5.33e+08,-1.19e+08,-1.65e+08,-3.4e+07,-3.18e+08,-3.02e+08,3.82e+08,-2.14e+08,3.8e+07,-96000000.0000002,1.19e+08,1.19e+08,1.7e+07,1.36e+08,9.84e+08,6.337e+09,7.95e+08,0.42123,0.17068,0.11379,0.06066,0.02468,1.52885,1.06524,1.45812,0.30075,0.84677,0.84142,7.44178,13.88373,1.29458,0.49178,5,0.04862,0.04702,0.58077,5.03354,6.35
"39","2019_Q4",66.269375,"Up",4.684e+09,-2.683e+09,2.001e+09,-1.126e+09,-1.126e+09,8.75e+08,-4.3e+07,-4.3e+07,8.32e+08,-6.5e+07,7.67e+08,-1.55e+08,6.12e+08,6.12e+08,-8e+06,6.04e+08,6.04e+08,1.603e+09,1.603e+09,2.901e+09,2.901e+09,2.061e+09,7.85e+08,7.85e+08,7.35e+09,3.614e+09,1.0353e+10,6.544e+09,2.691e+09,1.118e+09,1.3967e+10,2.1317e+10,4.341e+09,1.785e+09,2.453e+09,1.877e+09,6.218e+09,4.336e+09,1.959e+09,1.959e+09,6.295e+09,1.2513e+10,8.64e+08,4.77e+08,3.87e+08,-1.487e+10,2.3777e+10,-1.016e+09,8.755e+09,4.9e+07,8.804e+09,2.1317e+10,6.12e+08,2.03e+08,-4.7e+07,1.78e+08,9.46e+08,-1.21e+08,-1.37e+08,-2.6e+07,-2.84e+08,-3.02e+08,-1.17e+08,0,-8e+06,-4.27e+08,2.35e+08,2.35e+08,-1.6e+07,2.19e+08,1.078e+09,6.213e+09,1.29e+09,0.4272,0.18681,0.12895,0.06861,0.02833,2.13576,1.18205,1.42129,0.29146,0.98339,0.97577,7.62618,14.25431,2.10029,0.4917,5,0.05337,0.07599,0.5,4.27644,5.26857
"40","2020_Q1",60.9395161290323,"Down",4.971e+09,-2.843e+09,2.128e+09,-1.109e+09,-1.109e+09,1.019e+09,-3.65e+08,-4e+07,6.54e+08,1.72e+08,8.26e+08,-1.02e+08,7.24e+08,7.24e+08,-7e+06,7.17e+08,7.17e+08,1.494e+09,1.494e+09,2.985e+09,2.985e+09,1.88e+09,7.8e+08,7.8e+08,7.139e+09,3.642e+09,9.716e+09,6.536e+09,2.615e+09,5.65e+08,1.3358e+10,2.0497e+10,4.532e+09,1.874e+09,2.658e+09,1.444e+09,5.976e+09,4.277e+09,1.971e+09,1.971e+09,6.248e+09,1.2224e+10,8.7e+08,4.77e+08,3.93e+08,-1.5114e+10,2.4199e+10,-1.722e+09,8.233e+09,4e+07,8.273e+09,2.0497e+10,7.24e+08,2.13e+08,6.5e+07,2.02e+08,1.204e+09,-1.99e+08,-8e+07,-3.4e+07,-3.13e+08,-3e+08,-4.34e+08,-2.5e+08,1.8e+07,-9.66e+08,-7.5e+07,-7.5e+07,-3.4e+07,-1.09e+08,1.232e+09,5.721e+09,1.337e+09,0.42808,0.20499,0.14424,0.08667,0.03498,1.86471,1.19461,1.47758,0.27911,1.17042,1.16095,8.11459,13.43944,2.1825,0.48972,7,0.0637,0.08375,0.41841,3.43101,4.14818
"41","2020_Q2",53.0404761904762,"Down",4.151e+09,-2.392e+09,1.759e+09,-1.123e+09,-1.123e+09,6.36e+08,-3.5e+07,-3.5e+07,6.01e+08,-1.78e+08,4.23e+08,-9.4e+07,3.29e+08,3.29e+08,-3e+06,3.26e+08,3.26e+08,1.635e+09,1.635e+09,2.726e+09,2.726e+09,2.064e+09,7.71e+08,7.71e+08,7.196e+09,3.633e+09,1.0272e+10,6.578e+09,2.567e+09,1.127e+09,1.3905e+10,2.1101e+10,4.356e+09,1.649e+09,2.707e+09,1.984e+09,6.34e+09,4.018e+09,2.284e+09,2.284e+09,6.302e+09,1.2642e+10,9.24e+08,4.77e+08,4.47e+08,-1.5147e+10,2.422e+10,-1.576e+09,8.421e+09,3.8e+07,8.459e+09,2.1101e+10,3.29e+08,2.11e+08,6.4e+07,-1.8e+08,4.24e+08,-1.14e+08,-68803368.098937,-1.7e+07,-1.31e+08,-3.05e+08,2.52e+08,-1.29e+08,2e+07,-1.62e+08,1.31e+08,1.31e+08,1e+07,1.41e+08,8.47e+08,6.002e+09,6.47e+08,0.42375,0.15322,0.07854,0.03854,0.01545,1.98466,1.13502,1.4945,0.28444,0.53443,0.53086,6.80492,13.80492,1.06066,0.5,5,0.03768,0.03864,0.93558,5.15584,6.86635
"42","2020_Q3",61.99921875,"Up",4.162e+09,-2.412e+09,1.75e+09,-9.83e+08,-9.83e+08,7.67e+08,-3.6e+07,-3.6e+07,7.31e+08,-4.2e+07,6.89e+08,-1.65e+08,5.24e+08,5.24e+08,-7e+06,5.17e+08,5.17e+08,2.583e+09,2.583e+09,2.641e+09,2.641e+09,2.058e+09,7.5e+08,7.5e+08,8.032e+09,3.553e+09,1.0126e+10,6.52e+09,2.498e+09,1.108e+09,1.3679e+10,2.1711e+10,4.199e+09,1.521e+09,2.678e+09,3.741e+09,7.94e+09,3.96e+09,2.248e+09,2.248e+09,6.208e+09,1.4148e+10,9.3e+08,4.77e+08,4.53e+08,-1.5941e+10,2.4431e+10,-1.903e+09,7.517e+09,4.6e+07,7.563e+09,2.1711e+10,5.24e+08,2.11e+08,-6.7e+07,-80000000.0000001,5.88e+08,-1.11e+08,-9.6e+07,-2.5e+07,-2.32e+08,-3.06e+08,1.755e+09,-8.13e+08,1.9e+07,6.55e+08,1.011e+09,1.011e+09,-6.3e+07,9.48e+08,9.78e+08,7.701e+09,9.52e+08,0.42047,0.18429,0.12422,0.06836,0.02381,1.84139,1.01159,1.87069,0.3547,0.85117,0.84602,6.85216,12.3757,1.56734,0.50379,4,0.047,0.05436,0.59188,5.23313,6.67275
"43","2020_Q4",70.47765625,"Up",3.914e+09,-2.296e+09,1.618e+09,-9.34e+08,-9.34e+08,6.84e+08,-4.5e+07,-4.5e+07,6.39e+08,-1.81e+08,4.58e+08,-5.1e+07,4.07e+08,4.07e+08,-8e+06,3.99e+08,3.99e+08,2.45e+09,2.45e+09,2.512e+09,2.512e+09,2.102e+09,8.15e+08,8.15e+08,7.879e+09,3.565e+09,1.0286e+10,6.624e+09,2.488e+09,1.174e+09,1.3851e+10,2.173e+10,4.26e+09,1.426e+09,2.834e+09,1.725e+09,5.985e+09,5.5e+09,2.367e+09,2.367e+09,7.867e+09,1.3852e+10,9.36e+08,4.77e+08,4.59e+08,-1.5937e+10,2.4531e+10,-1.699e+09,7.831e+09,4.7e+07,7.878e+09,2.173e+10,4.07e+08,2.09e+08,5.2e+07,1.74e+08,8.42e+08,-1.04e+08,-1.8e+07,-2.3e+07,-1.45e+08,-2.99e+08,-5.46e+08,0,-1.1e+07,-8.56e+08,-1.59e+08,-1.59e+08,2.6e+07,-1.33e+08,8.93e+08,7.225e+09,1.014e+09,0.41339,0.17476,0.10194,0.05065,0.01836,2.54135,1.31646,1.75831,0.33249,0.66834,0.665,6.55611,13.11725,1.69849,0.50084,5,0.03995,0.05804,0.74937,5.34714,6.98099
"44","2021_Q1",82.0739344262295,"Up",4.558e+09,-2.676e+09,1.882e+09,-9.46e+08,-9.46e+08,9.36e+08,-5.72e+08,-4e+07,3.64e+08,4.01e+08,7.65e+08,-3.5e+07,7.3e+08,7.3e+08,-7e+06,7.23e+08,7.23e+08,3.315e+09,3.315e+09,2.802e+09,2.802e+09,1.928e+09,7.61e+08,7.61e+08,8.806e+09,3.688e+09,1.0388e+10,6.734e+09,2.468e+09,1.186e+09,1.4076e+10,2.2882e+10,4.625e+09,1.715e+09,2.91e+09,1.16e+09,5.785e+09,6.326e+09,2.324e+09,2.324e+09,8.65e+09,1.4435e+10,9.47e+08,4.77e+08,4.7e+08,-1.592e+10,2.4955e+10,-1.577e+09,8.405e+09,4.2e+07,8.447e+09,2.2882e+10,7.3e+08,2.23e+08,4.2e+07,2.34e+08,1.229e+09,-2.09e+08,-1.2e+07,-1.1e+07,-2.32e+08,-2.99e+08,1.79e+08,0,-2.6e+07,-1.46e+08,8.51e+08,8.51e+08,1.4e+07,8.65e+08,1.159e+09,7.486e+09,1.219e+09,0.4129,0.20535,0.15862,0.08559,0.0316,1.68603,1.52221,1.70889,0.32716,1.21065,1.20259,7.63228,14.07401,2.04119,0.50067,5,0.05598,0.06677,0.41355,3.59879,4.4562
"45","2021_Q2",90.1836507936508,"Up",4.161e+09,-2.438e+09,1.723e+09,-9.98e+08,-9.98e+08,7.25e+08,-1.62e+08,-4e+07,5.63e+08,920778511.990744,5.63e+08,-1.11e+08,4.52e+08,4.52e+08,-7e+06,4.45e+08,4.45e+08,2.197e+09,2.197e+09,2.652e+09,2.652e+09,2.013e+09,8.19e+08,8.19e+08,7.681e+09,3.693e+09,1.2304e+10,7.832e+09,3.196e+09,1.276e+09,1.5997e+10,2.3678e+10,4.659e+09,1.694e+09,2.965e+09,1.717e+09,6.376e+09,5.892e+09,2.471e+09,2.471e+09,8.363e+09,1.4739e+10,9.76e+08,4.77e+08,4.99e+08,-1.5847e+10,2.5096e+10,-1.33e+09,8.895e+09,4.4e+07,8.939e+09,2.3678e+10,4.52e+08,2.44e+08,4.1e+07,7.1e+07,8.08e+08,-1.22e+08,-1.611e+09,1.3e+07,-1.72e+09,-3.03e+08,3.9e+07,-1.3e+07,4.2e+07,-2.35e+08,-1.147e+09,-1.147e+09,2.9e+07,-1.118e+09,9.69e+08,7.609e+09,1.029e+09,0.41408,0.17424,0.10695,0.04978,0.01879,2.31236,1.20467,1.64884,0.32135,0.74353,0.73933,6.95238,14.86216,1.7193,0.50627,6,0.03933,0.0541,0.6809,5.58514,7.46483
"46","2021_Q3",96.18625,"Up",4.431e+09,-2.569e+09,1.862e+09,-1.054e+09,-1.054e+09,8.08e+08,-7.1e+07,-3.8e+07,7.37e+08,1124193648.5013,7.37e+08,-1.69e+08,5.68e+08,5.68e+08,-7e+06,5.61e+08,5.61e+08,2.354e+09,2.354e+09,2.971e+09,2.971e+09,2.05e+09,1.057e+09,1.057e+09,8.432e+09,3.738e+09,1.2545e+10,7.723e+09,2.877e+09,1.945e+09,1.6283e+10,2.4715e+10,5.374e+09,2.108e+09,3.266e+09,8.72e+08,6.246e+09,5.793e+09,2.753e+09,2.753e+09,8.546e+09,1.4792e+10,9.99e+08,4.77e+08,5.22e+08,-1.6291e+10,2.6047e+10,-8.72e+08,9.883e+09,4e+07,9.923e+09,2.4715e+10,5.68e+08,2.39e+08,5e+06,-5000000.00000003,8.07e+08,-1e+08,0,4.8e+07,-51999999.9999998,-3.03e+08,-2.8e+08,-6.5e+07,4.1e+07,-6.07e+08,1.48e+08,1.48e+08,-2999999.99999999,1.45e+08,1.047e+09,6.665e+09,1.111e+09,0.42022,0.18235,0.12661,0.05654,0.0227,1.98039,1.34998,1.49068,0.26967,0.93578,0.93081,7.39116,16.4854,1.85321,0.50542,5,0.04467,0.05744,0.54011,4.11748,5.3354
"47","2021_Q4",91.23484375,"Down",4.697e+09,-2.715e+09,1.982e+09,-1.073e+09,-1.073e+09,9.09e+08,-1.25e+08,-3.7e+07,7.84e+08,1072919529.01649,7.84e+08,-1.51e+08,6.33e+08,6.33e+08,-6e+06,6.27e+08,6.27e+08,2.86e+09,2.86e+09,2.754e+09,2.754e+09,2.114e+09,1.038e+09,1.038e+09,8.766e+09,3.664e+09,1.2054e+10,7.777e+09,2.993e+09,1.284e+09,1.5718e+10,2.4484e+10,5.192e+09,1.966e+09,3.226e+09,1.478e+09,6.67e+09,5.835e+09,2.64e+09,2.64e+09,8.475e+09,1.5145e+10,9.95e+08,4.77e+08,5.18e+08,-1.6075e+10,2.5678e+10,-1.307e+09,9.291e+09,4.8e+07,9.339e+09,2.4484e+10,6.33e+08,2.37e+08,5.5e+07,1.8e+08,1.105e+09,-1.28e+08,0,-8e+06,-1.36e+08,-3.03e+08,3.8e+07,-1.9e+08,6e+06,-4.49e+08,5.2e+08,5.2e+08,-2e+06,5.18e+08,1.146e+09,7.313e+09,1.349e+09,0.42197,0.19353,0.13349,0.06714,0.02561,2.15152,1.31424,1.62169,0.29868,1.04832,1.04101,7.8532,15.53419,2.25548,0.5066,7,0.04821,0.06993,0.48325,3.88569,4.89879
"48","2022_Q1",92.231935483871,"Up",4.947e+09,-2.951e+09,1.996e+09,-1.054e+09,-1.054e+09,9.42e+08,-1.14e+08,-3.9e+07,8.28e+08,828630273.02112,8.28e+08,-1.54e+08,6.74e+08,6.74e+08,-4e+06,6.7e+08,6.7e+08,2.354e+09,2.354e+09,2.971e+09,2.971e+09,2.05e+09,1.057e+09,1.057e+09,8.432e+09,3.738e+09,1.2545e+10,7.723e+09,2.877e+09,1.945e+09,1.6283e+10,2.4715e+10,5.374e+09,2.108e+09,3.266e+09,8.72e+08,6.246e+09,5.793e+09,2.753e+09,2.753e+09,8.546e+09,1.4792e+10,9.99e+08,4.77e+08,509491195.299615,-1.6291e+10,2.6047e+10,-8.72e+08,9.883e+09,39999999.9999998,9.923e+09,2.4715e+10,6.74e+08,2.49e+08,-2.5e+07,-42999999.9999999,8.55e+08,-2.31e+08,3.4e+07,-1.5e+07,-2.12e+08,-3.01e+08,-6.09e+08,-2.32e+08,1.1e+07,-1.131e+09,-4.88e+08,-4.88e+08,-1.8e+07,-5.06e+08,1.191e+09,6.665e+09,1.071e+09,0.40348,0.19042,0.13544,0.06752,0.02711,1.59851,1.34998,1.49068,0.26967,1.11909,1.1124,8.2629,16.50743,1.78888,0.50276,4,0.0502,0.05537,0.44925,3.61965,4.57643
"49","2022_Q2",86.3579032258065,"Down",3.156e+09,-1.741e+09,1.415e+09,-8.49e+08,-8.49e+08,5.66e+08,-7.7e+07,-3.9e+07,4.89e+08,4.53e+08,9.42e+08,-1.96e+08,7.46e+08,8.95e+08,1e+06,8.96e+08,8.96e+08,1.804e+09,1.804e+09,2.261e+09,2.261e+09,1.742e+09,2.699e+09,1.301e+09,8.506e+09,2.239e+09,2.4927e+10,1.3946e+10,6.572e+09,4.409e+09,2.7166e+10,3.5672e+10,4.314e+09,1.276e+09,3.038e+09,2.115e+09,7.777e+09,8.259e+09,3.32e+09,3.32e+09,1.1579e+10,1.9356e+10,5.34e+08,4.77e+08,521991195.299615,-1.6738e+10,2.8053e+10,-1.485e+09,1.0364e+10,5.952e+09,1.6316e+10,3.5672e+10,7.46e+08,1.78e+08,-4.22e+08,-1.25e+08,5.23e+08,-7.3e+07,-3.9e+07,-2492952.06686454,-1.56e+08,-3.07e+08,2.577e+09,-2.53e+08,2.5e+07,2.042e+09,2.409e+09,2.409e+09,-3.7e+07,2.372e+09,7.44e+08,1.0374e+10,7.42e+08,0.44835,0.17934,0.2839,0.05492,0.02512,0.82812,1.09374,1.18632,0.29082,1.49883,1.48812,5.27936,17.3369,1.24122,0.51355,5,0.04009,0.02473,0.34263,11.51882,15.14134
"50","2022_Q3",81.86578125,"Down",6.108e+09,-3.749e+09,2.359e+09,-1.211e+09,-1.211e+09,1.148e+09,-1.04e+08,-5.1e+07,1.044e+09,0,1.044e+09,-2.2e+08,8.24e+08,6.75e+08,-1e+06,6.74e+08,6.74e+08,6.929e+09,6.929e+09,2.958e+09,2.958e+09,2.399e+09,1.253e+09,1.253e+09,1.3539e+10,3.567e+09,1.2391e+10,7.631e+09,2.699e+09,2.061e+09,1.5958e+10,2.9497e+10,5.31e+09,2.049e+09,3.261e+09,2.762e+09,8.072e+09,8.203e+09,2.608e+09,2.608e+09,1.0811e+10,1.8883e+10,1.056e+09,4.77e+08,5.79e+08,-1.6527e+10,2.7003e+10,-9.57e+08,1.0575e+10,3.9e+07,1.0614e+10,2.9497e+10,8.24e+08,2.74e+08,-4.7e+07,-4.63e+08,4.42e+08,-1.52e+08,4.4e+08,-1.7e+07,3.15e+08,-3.06e+08,1.805e+09,-3.2e+07,-1e+07,1.457e+09,2.214e+09,2.214e+09,-1.1e+07,2.203e+09,1.422e+09,1.0965e+10,1.027e+09,0.38621,0.18795,0.11035,0.0635,0.02285,1.52374,1.67728,1.77907,0.37173,1.13354,1.1269,10.27245,17.78507,1.72721,0.51463,6,0.04052,0.04246,0.45401,2.83826,3.51568
