"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",62.458253968254,"Up",872767000,-556453000,316314000,-157018000,-157018000,159296000,-975000,-4676000,3701000,158321000,158321000,-37846000,120475000,120475000,120475000,120475000,265191000,265191000,328524000,341576000,41272000,41272000,976563000,224277000,397918000,201915000,108268000,30618000,622195000,1598758000,598478000,273600000,324878000,23937000,622415000,311957000,56615000,31667000,368572000,990987000,107880000,535648000,-35757000,607771000,607771000,1598758000,120475000,18032000,-2599000,16423000,152331000,-10653000,-299000,-10854000,-18942000,-2396000,-9427000,5094000,-14521000,-2723000,-33488000,107989000,107989000,-1691000,106298000,177328000,335894000,220944000,0.36243,0.18252,0.13804,0.19822,0.07536,1.83394,1.56899,1.63053,0.2101,1.11342,1.08401,8.06601,5.61695,2.04194,0.17506,0.13938,0.22088,0.15723,0.39871,0.44385
"31","2017_Q4",59.2696825396825,"Down",627943000,-401158000,226785000,-139001000,-139001000,87784000,599000,-4750000,5349000,88383000,88383000,-19979000,68404000,68404000,68404000,68404000,335026000,335026000,221551000,349022000,42550000,42550000,948149000,226926000,394469000,202678000,106258000,25779000,621395000,1569544000,520838000,211453000,309385000,23056000,543894000,308793000,56935000,31971000,365728000,909622000,107883000,578558000,-26519000,659922000,659922000,1569544000,68404000,13165000,5321000,22023000,108913000,-14225000,0,-14225000,-18990000,-4060000,-8539000,1534000,-10073000,-1024000,-32613000,62075000,62075000,7760000,69835000,100949000,331849000,128726000,0.36116,0.1398,0.10893,0.10365,0.04358,1.88185,1.74326,1.37838,0.21143,0.63071,0.61373,5.78984,6.0847,1.1869,0.17509,0.08334,0.12275,0.27762,-0.03147,-0.03619
"32","2018_Q1",59.7431147540984,"Up",488627000,-304369000,184258000,-136798000,-136798000,47460000,-533000,-4804000,4271000,46927000,46927000,-13079000,33848000,33848000,33848000,33848000,310256000,310256000,183073000,328992000,37565000,37565000,859886000,235230000,398671000,205029000,103743000,25816000,633901000,1493787000,495538000,211752000,283786000,26258000,521796000,305629000,49270000,22783000,354899000,876695000,106883000,534329000,-24120000,617092000,617092000,1493787000,33848000,17273000,230000.000000002,32761000,84112000,-21579000,-1500000,-23079000,-18832000,22000,-66524000,518000,-67042000,2453000,-82881000,-21848000,-21848000,-2922000,-24770000,64733000,331887000,88994000,0.37709,0.09713,0.06927,0.05485,0.02266,2.62922,1.64794,1.42069,0.22218,0.31352,0.30319,4.52592,5.71583,0.82431,0.17443,0.05277,0.08915,0.55637,0.33416,0.45577
"33","2018_Q2",56.698125,"Down",548246000,-344007000,204239000,-137317000,-137317000,66922000,-537000,-4818000,4281000,66385000,66385000,-43781000,22604000,22604000,22604000,22604000,219730000,219730000,198736000,439343000,43039000,43039000,900848000,234448000,381510000,205954000,102366000,28438000,615958000,1516806000,559489000,266586000,292903000,1.3e+07,572489000,302465000,61071000,59232000,363536000,936025000,106435000,490373000,-16027000,580781000,580781000,1516806000,22604000,15226000,20336000,-50071000,8095000,-10784000,0,-10784000,-21425000,-18017000,-45630000,4436000,-50066000,-3077000,-88149000,-90838000,-90838000,312000,-90526000,82148000,315465000,65074000,0.37253,0.12207,0.04123,0.03892,0.0149,2.87887,1.57356,1.61167,0.20798,0.21081,0.20576,5.11304,5.41647,0.60689,0.19981,0.04599,0.06798,0.94784,1.1654,1.43055
"34","2018_Q3",57.3744444444444,"Up",875280000,-551224000,324056000,-153783000,-153783000,170273000,-1107000,-4720000,3613000,169166000,169166000,-37877000,131289000,131289000,131289000,131289000,206100000,206100000,329570000,394801000,47758000,47758000,978229000,245348000,412170000,225736000,109710000,33730000,657518000,1635747000,639407000,303911000,335496000,1.3e+07,652407000,299302000,60711000,58941000,360013000,1012420000,105456000,538470000,-20599000,623327000,623327000,1635747000,131289000,14915000,-2019000,-13846000,130339000,-24581000,-31535000,-56116000,-21254000,-2222000,-65082000,1342000,-66424000,-135000,-88693000,-14470000,-14470000,840000,-13630000,185188000,312302000,184638000,0.37023,0.19454,0.15,0.21063,0.08026,1.40635,1.49942,1.62422,0.19092,1.23365,1.20631,8.22454,5.85707,1.73494,0.19971,0.1531,0.18532,0.16189,0.57348,0.62372
"35","2018_Q4",55.0114285714286,"Down",655821000,-422168000,233653000,-140759000,-140759000,92894000,381000,-4676000,5057000,93275000,93275000,-14266000,79009000,79009000,79009000,79009000,250871000,250871000,219469000,364497000,38187000,38187000,873024000,249502000,412231000,225369000,107700000,35572000,661733000,1534757000,511675000,229041000,282634000,3.72529029846191e-09,511675000,312481000,60357000,33542000,372838000,884513000,105297000,568385000,-23438000,650244000,650244000,1534757000,79009000,11767000,8167000,21992000,120935000,-16573000,-6084000,-22657000,-21129000,482000,-30604000,4387000,-34991000,-672000,-51923000,46355000,46355000,-1584000,44771000,104661000,312481000,124346000,0.35628,0.14165,0.12047,0.12151,0.05148,1.57382,1.70621,1.36028,0.2036,0.74712,0.73109,6.20156,6.14882,1.17584,0.1998,0.09788,0.12154,0.26743,0.58866,0.66323
"36","2019_Q1",60.3214754098361,"Up",539303000,-360240000,179063000,-136067000,-136067000,42996000,575000,-4882000,5457000,43571000,43571000,-4534000,39037000,39037000,39037000,39037000,289124000,289124000,193178000,358259000,54076000,54076000,894637000,271459000,404888000,225290000,105649000,35697000,676347000,1570984000,532635000,256575000,276060000,0,532635000,312549000,56884000,55487000,369433000,902068000,105601000,587252000,-23937000,668916000,668916000,1570984000,39037000,11576000,17317000,37506000,105436000,-38035000,6417000,-38368000,-21223000,-7.45058059692383e-09,-1876000,7078000,-8954000,-211000,-23310000,43758000,43758000,-5505000,38253000,54572000,312549000,58577000,0.33203,0.07973,0.07238,0.05836,0.02485,1.50055,1.67964,1.34855,0.19895,0.36801,0.3619,5.08407,6.30595,0.55221,0.20007,0.05803,0.05641,0.54366,0.42925,0.54482
"37","2019_Q2",66.9725396825397,"Up",602956000,-387339000,215617000,-145563000,-145563000,70054000,-34000,-4742000,4708000,70020000,70020000,-10480000,59540000,59540000,59540000,59540000,249965000,249965000,225528000,416650000,41789000,41789000,933932000,279270000,409612000,227091000,104017000,38915000,688882000,1622814000,564978000,281526000,283452000,-3.72529029846191e-09,564978000,312551000,50888000,49478000,363439000,928417000,105747000,613165000,-24515000,694397000,694397000,1622814000,59540000,15583000,-189000,-48949000,25985000,-14177000,-12648000,-26825000,-23923000,0,-12474000,7569000,-20043000,-1872000,-38269000,-39109000,-39109000,-50000,-39159000,85637000,312551000,32991000,0.3576,0.11618,0.09875,0.08574,0.03669,0.5541,1.65304,1.33701,0.1926,0.56033,0.55242,5.67445,6.53501,0.31048,0.22514,0.0789,0.03119,0.4018,0.73083,0.8934
"38","2019_Q3",68.3784375,"Up",962036000,-640738000,321298000,-183573000,-183573000,137725000,-545000,-6694000,6149000,137180000,137180000,-21610000,115570000,115570000,115570000,115570000,180078000,180078000,428567000,611331000,50298000,50298000,1270274000,425381000,770345000,372343000,333177000,60341000,1195726000,2.466e+09,751774000,391692000,360082000,9e+07,841774000,721079000,97870000,47205000,818949000,1660723000,106434000,723959000,-25116000,805277000,805277000,2.466e+09,115570000,27869000,-505000,-4929000.00000001,138005000,-19139000,-679579000,-698718000,-24007000,498996000,16839000,16839000,-3.72529029846191e-09,-21999.9999999995,491806000,-68907000,-68907000,-980000,-69887000,165594000,811079000,163136000,0.33398,0.14316,0.12013,0.14352,0.04687,1.41158,1.50904,2.0623,0.3289,1.08334,1.07002,9.01804,7.5486,1.52922,0.22504,0.08142,0.09517,0.20773,3.81053,4.5816
"39","2019_Q4",73.52296875,"Up",838713000,-572732000,265981000,-192037000,-192037000,73944000,-2709000,-9004000,6295000,71235000,71235000,-10628000,60607000,60607000,60607000,60607000,143317000,143317000,312239000,620612000,54235000,54235000,1130403000,426415000,752915000,380503000,319886000,48923000,1179330000,2309733000,656526000,304661000,351865000,99877000,756403000,620804000,88704000,41764000,709508000,1465911000,106549000,763941000,-26668000,843822000,843822000,2309733000,60607000,5318000,58212000,-29014000,95123000,-18849000,405000,-18594000,-24079000,-89996000,1074000,1074000,0,-738000,-113739000,-37210000,-37210000,449000,-36761000,79262000,720681000,42027000,0.31713,0.08816,0.07226,0.07182,0.02624,0.69343,1.49445,1.73723,0.31202,0.56645,0.5597,7.83881,7.88656,0.39279,0.22505,0.05123,0.02542,0.3973,7.28425,7.80813
"40","2020_Q1",73.1077419354839,"Down",734379000,-489312000,245067000,-201761000,-201761000,43306000,392000,-8395000,8787000,43698000,43698000,-5432000,38266000,38266000,38266000,38266000,151828000,151828000,268768000,651663000,50632000,50632000,1122891000,437317000,746192000,362253000,352374000,25314000,1207656000,2330547000,677056000,319230000,357826000,79914000,756970000,620899000,93100000,42521000,713999000,1470969000,106742000,784885000,-32049000,859578000,859578000,2330547000,38266000,38928000,-6159000.00000001,7223000,78258000,-36047000,7092000,-28805000,-24124000,-20000000.0000001,3854000,3854000,0,-29999.9999999999,-40300000.0000001,9153000,9153000,-642000,8511000.00000001,82234000,700813000,58842000,0.33371,0.05897,0.05211,0.04452,0.01642,1.53771,1.4834,1.71127,0.30071,0.35709,0.35337,6.85311,8.02144,0.5491,0.22512,0.03773,0.03559,0.63043,6.67589,12.67688
"41","2020_Q2",63.5206349206349,"Down",767483000,-479395000,288088000,-196959000,-196959000,91129000,-4990000,-8156000,3166000,86139000,86139000,-16048000,70091000,70091000,70091000,70091000,108914000,108914000,321192000,738960000,51442000,51442000,1220508000,431253000,814393000,362136000,347643000,98453000,1271101000,2491609000,696030000,348003000,348027000,113903000,824307000,601016000,154236000,103560000,755252000,1579559000,106977000,837194000,-32121000,912050000,912050000,2491609000,70091000,18089000,8151000,-119630000,-23299000,-11796000,-152867543.519123,-11796000,-26856000,1.4e+07,6710000,6710000,8709439.24382542,-1361000,-7507000,-42602000,-42602000,-312000,-42914000,109218000,714919000,-6160000,0.37537,0.11874,0.09133,0.07685,0.02813,-0.08789,1.48065,1.73188,0.28693,0.65248,0.64508,7.14449,8.49027,-0.05734,0.25,0.05443,-0.00346,0.38316,5.54858,6.64997
"42","2020_Q3",72.62828125,"Up",929398000,-622681000,306717000,-180922000,-180922000,125795000,-4424000,-8659000,4235000,121371000,121371000,-22925000,98446000,98446000,98446000,98446000,200004000,200004000,400444000,714167000,59938000,59938000,1374553000,453761000,955325000,426175000,417886000,106667000,1436922000,2811475000,741853000,327354000,414499000,99868000,855733000,790908000,179884000,109129000,970792000,1826525000,107111000,911541000,-33702000,984950000,984950000,2811475000,98446000,27480000,-2374000,-29368000,94184000,-15325000,-136431000,-151756000,-26888000,1.76e+08,1637000,1637000,18731792.9973001,-121000,150628000,93056000,93056000,-1966000,91090000,153275000,890776000,131507000,0.33002,0.13535,0.10592,0.09995,0.03502,1.33583,1.60629,1.85443,0.31684,0.91534,0.90728,8.64146,9.15798,1.22274,0.25,0.06097,0.06397,0.27312,4.50675,5.49125
"43","2020_Q4",86.07328125,"Up",840972000,-546398000,294574000,-178622000,-178622000,115952000,-4959000,-8304000,3345000,110993000,110993000,-22025000,88968000,88968000,88968000,88968000,394141000,394141000,294672000,656208000,39225000,39225000,1384246000,457891000,949146000,424228000,413270000,101876000,1429617000,2813863000,673061000,268747000,404314000,108869000,797112000,782036000,180683000,109337000,962719000,1759831000,107264000,981344000,-34576000,1054032000,1054032000,2813863000,88968000,24294000,7160000,114569000,234991000,-19302000,-1794000,-21096000,-26939000,0,3592000,3592000,21264327.128862,-620000,-23967000,189928000,189928000,4209000,194137000,140246000,890905000,257538000,0.35028,0.13788,0.10579,0.08441,0.03162,2.89473,1.73658,1.66962,0.31661,0.826,0.81964,7.80782,9.78592,2.39105,0.25011,0.05453,0.12116,0.30279,3.54209,4.28422
"44","2021_Q1",97.5545901639344,"Up",840957000,-540562000,300395000,-206914000,-206914000,93481000,-4914000,-8037000,3123000,88567000,88567000,-16371000,72196000,72196000,72196000,72196000,479892000,479892000,261135000,652433000,34188000,34188000,1427648000,467919000,937916000,424075000,408305000,99070000,1425580000,2853228000,740477000,363953000,376524000,99873000,855797000,691250000,191353000,120918000,882603000,1738400000,107583000,1041507000,-34262000,1114828000,1114828000,2853228000,72196000,25752000,13586000,121964000,233498000,-31429000,1.49011611938477e-08,-31429000,-27015000,-1e+08,10259000,10259000,7504307.5069493,-44000.0000000001,-116800000,85269000,85269000,482000,85751000,119233000,791123000,226139000,0.35721,0.11116,0.08585,0.06476,0.0253,3.13229,1.66821,1.55934,0.27727,0.6688,0.66268,7.79032,10.32736,2.09487,0.25026,0.0473,0.10782,0.37419,2.61028,3.32935
"45","2021_Q2",107.588412698413,"Up",872986000,-557950000,315036000,-173571000,-173571000,141465000,-5639000,-7522000,1883000,135826000,135826000,-24545000,111281000,111281000,111281000,111281000,433394000,433394000,306865000,675307000,41177000,41177000,1456743000,457147000,938293000,422163000,410587000,95885000,1418395000,2875138000,794181000,364361000,429820000,9992000,819541000,691356000,184519000,112549000,875875000,1695416000,107613000,1104285000,-32176000,1179722000,1179722000,2875138000,111281000,24067000,3618000,-43941000,95025000,-10430000,8344000,-2086000,-28411000,-9e+07,-23637000,7714000,-31351000,-941000,-142989000,-50050000,-50050000,3552000,-46498000,165532000,701348000,135706000,0.36087,0.16205,0.12747,0.09433,0.0387,1.21949,1.77751,1.43713,0.24394,1.02922,1.01911,8.07408,10.91103,1.25512,0.26277,0.06763,0.0657,0.25531,1.61874,1.89414
"46","2021_Q3",107.02890625,"Down",1149107000,-746154000,402953000,-222237000,-222237000,180716000,-3473000,-7124000,3651000,177243000,177243000,-35072000,142171000,142171000,142171000,142171000,497635000,497635000,391236000,628811000,41809000,41809000,1559491000,453548000,957775000,422250000,432929000,93413000,1436618000,2996109000,873323000,421738000,451585000,99959000,988904000,591496000,186292000,111852000,777788000,1766692000,107043000,1151786000,-29412000,1229417000,1229417000,2996109000,142171000,25112000,1139000,55172000,223594000,-15677000,-31762000,-47439000,-28191000,-1e+07,-72650000,3151000,-75801000,-228000,-111069000,65086000,65086000,-845000,64241000,205828000,691455000,280395000,0.35067,0.15727,0.12372,0.11564,0.04745,1.97224,1.57699,1.43702,0.23078,1.31491,1.302,10.62787,11.37065,2.59332,0.26073,0.08085,0.13307,0.19829,0.94166,1.07251
"47","2021_Q4",97.949375,"Down",976836000,-645719000,331117000,-209178000,-209178000,121939000,-4488000,-7016000,2528000,117451000,117451000,-21131000,96320000,96320000,96320000,96320000,535330000,535330000,301234000,665648000,43577000,43577000,1545789000,456992000,945996000,421958000,426497000,91179000,1422260000,2968049000,838820000,411413000,427407000,104217000,958440000,587345000,185086000,110705000,772431000,1730871000,106108877.409721,1157428000,-26691000,1237178000,1237178000,2968049000,96320000,23615000,12565000,26016000,158516000,-21266000,1e+05,-21166000,-28075000,0,-68330000,1670000,-7e+07,-706000,-97111000,40239000,40239000,-2544000,37695000,145554000,691562000,171435000,0.33897,0.12483,0.0986,0.07785,0.03245,1.77985,1.61282,1.39905,0.233,0.89085,0.8821,9.03457,11.44243,1.58557,0.25966,0.05885,0.0811,0.29148,1.07336,1.28123
"48","2022_Q1",91.84,"Down",960655000,-671269000,289386000,-215226000,-215226000,74160000,-4862000,-6997000,2135000,69298000,69298000,-9190000,60108000,60108000,60108000,60108000,405612000,405612000,283738000,738170000,61665000,35124000,1489185000,487731000,938553000,421680000,420041000,91032000,1446955000,2936140000,509208000,503116000,401096668.207003,95471714.6544325,937019000,691242000,156747000,106350000,847989000,1785008000,105156785.624368,1071922000,-25996000,1151132000,1151132000,2936140000,60108000,26522000,-18880000,10584000,78334000,-55604000,-2157000,-57761000,-27763000,0,-124557000,565000,-125122000,-162000,-152482000,-131909000,-131909000,2191000,-129718000,100682000,691242000,64852000,0.30124,0.0772,0.06257,0.05222,0.02047,1.07892,1.58928,1.55065,0.23543,0.56108,0.55469,8.96719,10.74519,0.60536,0.25915,0.04395,0.03244,0.46189,2.83695,3.85154
"49","2022_Q2",80.35,"Down",932650000,-632174000,300476000,-208850000,-208850000,91626000,-4479000,-7013000,2534000,87147000,87147000,-17637000,69510000,69510000,69510000,69510000,192959000,192959000,366270000,832072000,45962000,45962000,1437263000,507549000,1284114000,576940000,600797000,102439000,1815782000,3253045000,870222000,474483000,395739000,1e+08,986064000,991354000,156078000,105696000,1147432000,2133496000,104529000,1040634000,-25614000,1119549000,1119549000,3253045000,69510000,24943000,1923000,-186419000,-90043000,-11877000,-401494000,-413371000,-31469000,4e+08,-73850000,1150000,-7.5e+07,-1381000,293300000,-210114000,-210114000,-2539000,-212653000,116569000,1091354000,-64090000,0.32217,0.09824,0.07453,0.06209,0.02137,-0.92203,1.45758,1.90567,0.33549,0.64884,0.64146,8.70578,10.45038,-0.59825,0.29375,0.04266,-0.02708,0.45273,7.70698,9.80502
"50","2022_Q3",85.06296875,"Up",1249478000,-844109000,405369000,-234792000,-234792000,170577000,-5521000,-8024000,2503000,165056000,165056000,-33931000,131125000,131125000,131125000,131125000,263233000,263233000,439333000,891676000,69434000,69434000,1663676000,512430000,1272347000,581318000,589608000,99513000,1815630000,3479306000,994999000,566769000,428230000,1e+08,1110728000,990970000,154092000,103743000,1145062000,2255790000,104568000,1146771000,-27823000,1223516000,1223516000,3479306000,131125000,28007000,-124000,-26101000,132907000,-23929000,-1626000,-25555000,-31485000,-1.19209289550781e-07,1097000,1097000,0,-469000,-30857000,76495000,76495000,-6221000,70274000,198584000,1090970000,182485000,0.32443,0.13652,0.10494,0.10717,0.03769,1.39169,1.49782,1.84369,0.31356,1.24967,1.24,11.90796,11.66053,1.73914,0.30006,0.06587,0.07392,0.24011,4.1682,4.85257
