"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",42.4280327868852,"Down",4.1e+09,-1.095e+09,3.005e+09,-2.588e+09,-7.2e+08,4.17e+08,-1.91e+08,-2.25e+08,2.5e+07,2.26e+08,2.26e+08,-1.08e+08,1.18e+08,1.18e+08,1.18e+08,-4e+06,1.14e+08,4.49e+08,4.49e+08,1.243e+09,1.243e+09,4.81e+08,4.108e+09,4.108e+09,6.281e+09,5.3789e+10,7.7248e+10,-2.3459e+10,7.942e+09,7.942e+09,6.1731e+10,6.8012e+10,2.38e+09,2.17e+08,1.376e+09,3.373e+09,3.373e+09,7.129e+09,1.7753e+10,2.3658e+10,2.128e+09,5.822e+09,1.5708e+10,4.1411e+10,4.854e+10,1.2632e+10,6.596e+09,-8e+06,1.922e+10,2.52e+08,1.9472e+10,6.8012e+10,1.18e+08,7.2e+08,2.71e+08,1.31e+08,1.24e+09,-1.703e+09,3e+06,-1.7e+09,9.41e+08,-5999999.99999999,7.18e+08,2.58e+08,2.58e+08,2.58e+08,1.137e+09,1.9129e+10,-3.27e+08,0.73293,0.10171,0.0278,0.00585,0.00168,-2.86842,0.88105,2.49281,0.28126,0.22093,0.22266,7.94574,37.24806,-0.63372,5,0.00612,-0.00525,16.4292,44.79616
"33","2018_Q2",43.35484375,"Up",4.056e+09,-1.108e+09,2.948e+09,-2.349e+09,-7.52e+08,5.99e+08,-1.03e+08,-2.2e+08,1.08e+08,4.96e+08,4.96e+08,-5.1e+07,4.45e+08,4.45e+08,4.45e+08,-3e+06,4.42e+08,1.44e+08,1.44e+08,1.222e+09,1.222e+09,4.53e+08,4.036e+09,4.036e+09,5.855e+09,5.4341e+10,7.8152e+10,-2.3811e+10,7.958e+09,7.958e+09,6.2299e+10,6.8154e+10,2.086e+09,1.45e+08,1.361e+09,3.473e+09,3.473e+09,6.92e+09,1.7407e+10,2.3844e+10,2.094e+09,5.99e+09,1.576e+10,4.1251e+10,4.8171e+10,1.2701e+10,7.043e+09,-1.3e+07,1.9731e+10,2.52e+08,1.9983e+10,6.8154e+10,4.45e+08,7.52e+08,3.69e+08,-5.4e+07,1.512e+09,-1.47e+09,-5e+06,-1.475e+09,-3.64e+08,-1.3e+07,-3.42e+08,-3.05e+08,-3.05e+08,-3.05e+08,1.351e+09,1.8768e+10,-1.22e+08,0.72682,0.14768,0.10897,0.02212,0.00649,-0.27602,0.8461,2.4106,0.27538,0.85825,0.85659,7.87573,38.31262,-0.23689,4,0.00706,-0.00195,13.78534,31.09182
"34","2018_Q3",44.5326984126984,"Up",4.234e+09,-1.042e+09,3.192e+09,-2.539e+09,-7.46e+08,6.53e+08,-1.08e+08,-2.26e+08,1.06e+08,5.45e+08,-1.573e+09,5.93e+08,-9.8e+08,-9.8e+08,-9.8e+08,-4e+06,-9.84e+08,5.17e+08,5.17e+08,1.169e+09,1.169e+09,4.87e+08,4.194e+09,4.194e+09,6.367e+09,5.5154e+10,7.9442e+10,-2.4288e+10,8.368e+09,8.368e+09,6.3522e+10,6.9889e+10,2.227e+09,2.09e+08,1.643e+09,5.916e+09,5.916e+09,9.786e+09,1.7612e+10,2.343e+10,2.054e+09,5.667e+09,1.5709e+10,4.1042e+10,5.0828e+10,1.2765e+10,6.057e+09,-1.3e+07,1.8809e+10,2.52e+08,1.9061e+10,6.9889e+10,-9.8e+08,7.46e+08,-6.29e+08,2.104e+09,1.241e+09,-1.427e+09,7e+06,-1.42e+09,4.82e+08,2.3e+07,5.52e+08,3.73e+08,3.73e+08,3.73e+08,1.399e+09,1.9255e+10,1.483e+09,0.7539,0.15423,-0.2324,-0.05162,-0.01408,-1.50711,0.65062,2.6666,0.27551,-1.90698,-1.90698,8.20543,36.45155,2.87403,3,-0.01594,0.02402,13.39385,28.69525
"35","2018_Q4",35.78,"Down",4.381e+09,-1.325e+09,3.056e+09,-2.37e+09,-7.59e+08,6.86e+08,-1.14e+08,-2.32e+08,1.04e+08,5.72e+08,5.82e+08,-1.5e+07,5.67e+08,5.67e+08,5.67e+08,-3e+06,5.64e+08,4.3e+08,4.3e+08,1.297e+09,1.297e+09,5.05e+08,4.117e+09,4.117e+09,6.349e+09,5.6205e+10,8.0515e+10,-2.431e+10,8.831e+09,8.831e+09,6.5036e+10,7.1385e+10,2.406e+09,1.51e+08,9.43e+08,6.14e+09,6.14e+09,9.489e+09,1.8407e+10,2.3793e+10,2.014e+09,5.822e+09,1.5957e+10,4.22e+10,5.1689e+10,1.2833e+10,6.623e+09,-1.2e+07,1.9444e+10,2.52e+08,1.9696e+10,7.1385e+10,5.67e+08,7.59e+08,3.02e+08,-1.45e+08,1.483e+09,-1.695e+09,-2.7e+07,-1.722e+09,9.3e+07,4e+06,1.52e+08,-8.7e+07,-8.7e+07,-8.7e+07,1.445e+09,1.935e+10,-3.8e+08,0.69756,0.15659,0.12874,0.02864,0.0079,-0.67376,0.66909,2.62434,0.27107,1.09091,1.09091,8.47389,37.60928,-0.73501,5,0.00898,-0.00605,13.09343,27.58017
"36","2019_Q1",16.2213114754098,"Down",4.088e+09,-1.024e+09,3.064e+09,-2.931e+09,-7.79e+08,1.33e+08,-1.04e+08,-1.75e+08,1.06e+08,2.9e+07,-9.634e+09,2.765e+09,-6.869e+09,-6.869e+09,-6.869e+09,-4e+06,-6.873e+09,1.668e+09,1.668e+09,1.148e+09,1.148e+09,5.54e+08,5.825e+09,5.802e+09,9.195e+09,5.8557e+10,8.3272e+10,-2.4715e+10,9.243e+09,9.243e+09,6.78e+10,7.6995e+10,2.667e+09,2.28e+08,2.1994e+10,1.7034e+10,1.7034e+10,4.1695e+10,-3.814697265625e-06,2.2397e+10,2.119e+09,3.281e+09,1.6997e+10,2.2397e+10,6.4092e+10,1.291e+10,-2.5e+08,-9e+06,1.2651e+10,2.52e+08,1.2903e+10,7.6995e+10,-6.869e+09,7.79e+08,-4.114e+09,1.072e+10,5.16e+08,-1.922e+09,-2.5e+07,-1.947e+09,2.64e+09,-3.4e+07,2.669e+09,1.238e+09,1.238e+09,1.238e+09,9.12e+08,2.1994e+10,6.945e+09,0.74951,0.03253,-1.68126,-0.53267,-0.08927,-1.01048,0.22053,4.96722,0.28565,-13.21731,-13.24277,7.86154,24.32885,13.35577,4,-0.11996,0.12122,22.28728,152.82707
"37","2019_Q2",20.0942857142857,"Up",4.011e+09,-9.38e+08,3.073e+09,-2.884e+09,-7.97e+08,1.89e+08,-1e+07,-1.03e+08,7.1e+07,1.79e+08,5.2e+07,8.4e+07,1.36e+08,1.36e+08,1.36e+08,0,1.36e+08,2.964e+09,2.964e+09,1.319e+09,1.319e+09,5.36e+08,5.874e+09,5.874e+09,1.0693e+10,5.9237e+10,8.4457e+10,-2.522e+10,1.2357e+10,1.2357e+10,7.1594e+10,8.2287e+10,1.604e+09,1e+06,0,3.204e+09,3.204e+09,4.808e+09,3.5e+08,6.4e+10,2.006e+09,1133798474.17136,6.1994e+10,6.435e+10,6.9158e+10,1.3e+10,-1.14e+08,-9e+06,1.2877e+10,2.52e+08,1.3129e+10,8.2287e+10,1.36e+08,7.97e+08,1.215e+09,9.6e+07,2.244e+09,-1.224e+09,-2.3e+07,-1.247e+09,3.5e+08,-1.35e+08,3e+08,1.297e+09,1.297e+09,1.297e+09,9.86e+08,3.5e+08,-2.26e+08,0.76614,0.04712,0.03391,0.01036,0.00165,-1.66176,2.224,5.26758,0.00425,0.25856,0.25806,7.62548,24.48099,-0.42966,6,0.00176,-0.00292,-2.65112,-13.83069
"38","2019_Q3",15.12546875,"Down",3.943e+09,-9.45e+08,2.998e+09,-2.738e+09,-7.96e+08,2.6e+08,2.8e+07,-6e+07,6.6e+07,2.88e+08,-3.668e+09,1.119e+09,-2.549e+09,-2.549e+09,-2.549e+09,-7e+06,-2.556e+09,3.459e+09,3.459e+09,1.26e+09,1.26e+09,6.08e+08,6.25e+09,6.232e+09,1.1577e+10,6.0251e+10,8.5978e+10,-2.5727e+10,1.2559e+10,1.2559e+10,7.281e+10,8.4387e+10,1.423e+09,5e+06,0,4.288e+09,4.288e+09,5.711e+09,1.5e+09,6.6582e+10,1.996e+09,189391285.287469,6.4586e+10,6.8082e+10,7.3793e+10,1.3014e+10,-2.663e+09,-9e+06,1.0342e+10,2.52e+08,1.0594e+10,8.4387e+10,-2.549e+09,7.96e+08,2.19e+09,7.6e+07,5.13e+08,-1.186e+09,-1000000.00000001,-1.187e+09,1.15e+09,1.8e+07,1.168e+09,4.94e+08,4.94e+08,4.94e+08,1.056e+09,1.5e+09,-1.173e+09,0.76033,0.06594,-0.64824,-0.24127,-0.03029,0.45892,2.02714,6.96555,0.01778,-4.82264,-4.83176,7.43962,19.51321,-2.21321,5,-0.03249,-0.01491,-1.85511,-7.53462
"39","2019_Q4",8.5671875,"Down",4.432e+09,-1.138e+09,3.294e+09,-3.046e+09,-8.4e+08,2.48e+08,2.8e+07,1e+07,6.2e+07,2.76e+08,-2.345e+09,7.29e+08,-1.616e+09,-1.616e+09,-1.616e+09,-3e+06,-1.619e+09,2.97e+09,2.97e+09,1.397e+09,1.397e+09,6.35e+08,6.575e+09,6.56e+09,1.1577e+10,6.1324e+10,8.7247e+10,-2.5923e+10,1.2812e+10,1.2812e+10,7.4136e+10,8.5713e+10,1.862e+09,5e+06,0,4.61e+09,4.61e+09,6.472e+09,1.5e+09,6.875e+10,1.986e+09,50538453.7598395,6.6764e+10,7.025e+10,7.6722e+10,1.3027e+10,-4.279e+09,-9e+06,8.739e+09,2.52e+08,8.991e+09,8.5713e+10,-1.616e+09,8.4e+08,2.253e+09,-1.67e+08,1.31e+09,-1.782e+09,-3.4e+07,-1.816e+09,0,1.7e+07,1.7e+07,-4.89e+08,-4.89e+08,-4.89e+08,1.088e+09,1.5e+09,-1.59e+09,0.74323,0.05596,-0.3653,-0.18007,-0.01889,0.98209,1.78878,8.5332,0.0175,-3.06629,-3.06629,8.39394,16.55114,-3.01136,5,-0.02043,-0.02007,-1.3511,-5.92742
"40","2020_Q1",13.2809677419355,"Up",4.743e+09,-8.08e+08,3.935e+09,-3.291e+09,-8.01e+08,6.44e+08,-6.48e+08,-6.99e+08,5.1e+07,-3999999.99999994,-5.081e+09,1.468e+09,-3.613e+09,-3.613e+09,-3.613e+09,-4e+06,-3.617e+09,1.57e+09,1.57e+09,1.287e+09,1.287e+09,6.47e+08,6.661e+09,6.661e+09,1.0165e+10,6.1635e+10,8.809e+10,-2.6455e+10,1.3396e+10,1.3396e+10,7.5031e+10,8.5196e+10,1.258e+09,4e+06,-1002134752.30855,6.373e+09,6.373e+09,7.631e+09,10785940576.9855,7.2177e+10,1.884e+09,3.2e+08,6.9973e+10,7.2177e+10,7.9808e+10,1.3038e+10,-7.892e+09,-1e+07,5.136e+09,2.52e+08,5.388e+09,8.5196e+10,-3.613e+09,8.01e+08,-7.754e+09,1.1315e+10,7.49e+08,-2.121e+09,-7000000.00000001,-2.128e+09,-2.38418579101562e-07,-2.1e+07,-21000000.0000002,-1.4e+09,-1.4e+09,-1.4e+09,1.445e+09,2.38418579101562e-07,9.171e+09,0.82964,0.13578,-0.7626,-0.67131,-0.04246,-2.53553,1.33207,14.81218,0,-6.85038,-6.85038,8.98295,9.72727,17.36932,6,-0.04663,0.11824,-1.08651,-2.43789
"41","2020_Q2",10.8960317460317,"Down",4.306e+09,-8.29e+08,3.477e+09,-2.822e+09,-8.55e+08,6.55e+08,-1.41e+08,-2.38e+08,9.7e+07,5.14e+08,3.38e+08,3.6e+07,3.74e+08,3.74e+08,3.74e+08,-3e+06,3.71e+08,1.96e+09,1.96e+09,1.319e+09,1.319e+09,6.44e+08,6.635e+09,6.635e+09,1.0558e+10,6.2498e+10,8.9485e+10,-2.6987e+10,1.3632e+10,1.3632e+10,7.613e+10,8.6688e+10,1.304e+09,4e+06,-552069822.975863,6.949e+09,6.949e+09,8.253e+09,24837381706.8632,7.2676e+10,1.855e+09,660503681.106793,7.0821e+10,7.2676e+10,8.0929e+10,1.3035e+10,-7.518e+09,-1e+07,5.507e+09,2.52e+08,5.759e+09,8.6688e+10,3.74e+08,8.55e+08,2.72e+08,1.04e+08,1.605e+09,-1.641e+09,-1.4e+07,-1.655e+09,5e+08,-6e+07,4.4e+08,3.9e+08,3.9e+08,3.9e+08,1.51e+09,0,-6.3e+07,0.80748,0.15211,0.08616,0.06442,0.00428,-0.16981,1.27929,14.05261,0,0.70132,0.57253,8.13989,10.41021,-0.11909,6,0.00473,-8e-04,-1.29801,-2.99237
"42","2020_Q3",9.265625,"Down",4.533e+09,-1.066e+09,3.467e+09,-3.015e+09,-8.74e+08,4.52e+08,-8.7e+07,-1.87e+08,1e+08,3.65e+08,-1.429e+09,-5.39e+08,-1.968e+09,-1.968e+09,-1.968e+09,-4e+06,-1.972e+09,9.68e+08,9.68e+08,1.419e+09,1.419e+09,6.53e+08,2.1973e+10,2.1973e+10,2.5013e+10,6.3401e+10,9.0838e+10,-2.7437e+10,2.0815e+10,2.0815e+10,8.4216e+10,1.09229e+11,4.968e+09,1.363e+09,7.5e+08,4.0077e+10,4.0077e+10,4.5795e+10,3.492e+10,2.4713e+10,1.941e+09,974648200.92832,2.2772e+10,5.9633e+10,1.05428e+11,1.3045e+10,-9.486e+09,-1e+07,3.549e+09,2.52e+08,3.801e+09,1.09229e+11,-1.968e+09,8.74e+08,2.449e+09,3.31e+08,1.686e+09,-1.758e+09,-2.8e+07,-1.786e+09,1.351e+10,4e+06,1.3514e+10,1.3414e+10,1.3414e+10,1.3414e+10,1.326e+09,3.567e+10,4.38e+08,0.76484,0.09971,-0.43503,-0.51881,-0.01805,-0.222110000000017,0.54619,27.73691,0.32656,-3.72779,-4.80976,8.569,6.70888,0.827979999999996,5,-0.03072,0.00681999999999997,26.17044,76.77434
"43","2020_Q4",11.31234375,"Up",4.882e+09,-1.031e+09,3.851e+09,-3.428e+09,-8.45e+08,4.23e+08,-2.84e+08,-3.86e+08,1.02e+08,1.39e+08,-2.3e+07,1.09e+08,8.6e+07,8.6e+07,8.6e+07,-3e+06,8.3e+07,4.64e+08,4.64e+08,1.775e+09,1.775e+09,6.46e+08,6.913e+09,6.913e+09,9.798e+09,6.467e+10,9.2096e+10,-2.7426e+10,2.1119e+10,2.1119e+10,8.5789e+10,9.5587e+10,2.337e+09,3.27e+08,2.432e+09,8.552e+09,8.552e+09,1.3321e+10,3.6311e+10,2.4891e+10,1.894e+09,1.225e+09,2.1772e+10,6.1202e+10,7.4523e+10,3.0222e+10,-9.4e+09,-1e+07,2.0812e+10,2.52e+08,2.1064e+10,9.5587e+10,8.6e+07,8.45e+08,3.25e+08,-2.3766e+10,-2.251e+10,-2.076e+09,-7e+06,-2.083e+09,1.17e+09,1.139e+09,9.891e+09,-1.4702e+10,-1.4702e+10,-1.4702e+10,1.268e+09,3.8743e+10,-2.4683e+10,0.78882,0.08664,0.017,0.00394,0.00087,-297.38554,0.73553,3.53793,0.40532,0.04196,0.04196,2.46815,10.52174,-12.47877,3,0.00098,-0.29142,30.18849,90.49409
"44","2021_Q1",11.6129508196721,"Up",4.748e+09,-9.72e+08,3.776e+09,-3.3e+09,-8.94e+08,4.76e+08,-2.26e+08,-4.1e+08,1.84e+08,2.5e+08,1.72e+08,31999999.9999999,2.04e+08,2.04e+08,2.04e+08,-4e+06,2e+08,4.84e+08,4.84e+08,1.883e+09,1.883e+09,6.28e+08,6.607e+09,6.607e+09,9.602e+09,6.6136e+10,9.3894e+10,-2.7758e+10,2.2118e+10,2.2118e+10,8.8254e+10,9.7856e+10,4.98e+08,4.98e+08,3.575e+09,9.508e+09,9.508e+09,1.3581e+10,3.7288e+10,2.5734e+10,2.444e+09,1.398e+09,2.1892e+10,6.3022e+10,7.6603e+10,3.0224e+10,-9.196e+09,-2.7e+07,2.1001e+10,2.52e+08,2.1253e+10,9.7856e+10,2.04e+08,8.94e+08,1.762e+09,-2.771e+09,8.9e+07,-2.215e+09,-9e+06,-2.224e+09,2.106e+09,-2.3e+07,2.083e+09,-5.2e+07,-5.2e+07,-5.2e+07,1.37e+09,4.0863e+10,-3.648e+09,0.79528,0.10025,0.04212,0.00940999999999997,0.00204,-18.2400000000001,0.70702,3.60434,0.41758,0.1004,0.1004,2.38353,10.54267,-1.83133,3,0.00228,-0.04153,29.47372,84.82983
"45","2021_Q2",10.7295238095238,"Down",4.716e+09,-8.97e+08,3.819e+09,-3.343e+09,-8.88e+08,4.76e+08,-2.79e+08,-4.06e+08,1.27e+08,1.97e+08,2.5e+07,9.8e+07,1.23e+08,1.23e+08,1.23e+08,-3e+06,1.2e+08,2.29e+08,2.29e+08,1.835e+09,1.835e+09,5.5e+08,6.453e+09,6.453e+09,9.067e+09,6.7261e+10,9.5522e+10,-2.8261e+10,2.223e+10,2.223e+10,8.9491e+10,9.8558e+10,2.9e+08,2.9e+08,2.97e+09,8.957e+09,8.957e+09,1.2217e+10,3.7801e+10,2.7161e+10,2.406e+09,1.468e+09,2.3287e+10,6.4962e+10,7.7179e+10,3.0226e+10,-9.073e+09,-2.6e+07,2.1127e+10,2.52e+08,2.1379e+10,9.8558e+10,1.23e+08,8.88e+08,2.36e+08,-4.9e+07,1.198e+09,-1.778e+09,-1.8e+07,-1.796e+09,-8e+07,3.09e+08,2.29e+08,-3.69e+08,-3.69e+08,-3.69e+08,1.364e+09,4.0771e+10,-5.61e+08,0.8098,0.10093,0.02545,0.00561,0.00122,-4.675,0.74216,3.61004,0.41368,0.06045,0.05631,2.37582,10.64332,-0.28262,4,0.00134,-0.00628,29.72287,85.17227
"46","2021_Q3",9.44109375,"Down",5.215e+09,-5.953e+09,-7.38e+08,1.367e+09,-8.51e+08,6.29e+08,-2.55e+08,-3.83e+08,1.28e+08,3.74e+08,3.68e+08,3.3e+07,4.01e+08,4.01e+08,4.01e+08,-4e+06,3.97e+08,3.07e+08,3.07e+08,1.909e+09,1.909e+09,5.65e+08,7.508e+09,7.508e+09,1.0289e+10,6.8344e+10,9.7119e+10,-2.8775e+10,2.1861e+10,2.1861e+10,9.0205e+10,1.00494e+11,4.8e+08,4.8e+08,6.633e+09,8.38e+09,8.38e+09,1.5493e+10,3.5955e+10,2.7247e+10,2.367e+09,1.618e+09,2.3262e+10,6.3202e+10,7.8695e+10,3.0245e+10,-8.672e+09,-2.6e+07,2.1547e+10,2.52e+08,2.1799e+10,1.00494e+11,4.94e+08,8.51e+08,5.21e+08,-1.729e+09,1.37e+08,-1.842e+09,7e+07,-1.772e+09,1.816e+09,28999999.9999999,1.845e+09,2.1e+08,2.1e+08,2.1e+08,1.48e+09,4.2588e+10,-2.124e+09,-0.14151,0.12061,0.07613,0.01821,0.00395,-5.35013000000001,0.66411,3.61003,0.42379,0.2,0.1863,2.6272,10.85491,-1.07003,5,0.00433,-0.02318,28.56824,67.2194
"47","2021_Q4",11.71640625,"Up",5.465e+09,-4.104e+09,1.361e+09,-9.63e+08,-8.01e+08,3.98e+08,-2.67e+08,-3.99e+08,1.32e+08,1.31e+08,3.7e+07,-1.125e+09,-1.088e+09,-1.088e+09,-1.088e+09,-3e+06,-1.091e+09,4.2e+08,4.2e+08,1.817e+09,1.817e+09,5.69e+08,8.721e+09,8.721e+09,1.1527e+10,6.9391e+10,9.8082e+10,-2.8691e+10,2.2643e+10,2.2643e+10,9.2034e+10,1.03561e+11,3.05e+08,3.05e+08,6.988e+09,1.0491e+10,1.0491e+10,1.7784e+10,3.5959e+10,2.9091e+10,2.329e+09,2.997e+09,2.3765e+10,6.505e+10,8.2834e+10,3.5114e+10,-9.76e+09,-2.5e+07,2.0475e+10,2.52e+08,2.0727e+10,1.03561e+11,1.003e+09,1.176e+09,8e+07,-6.54e+08,1.605e+09,-3.791e+09,-8.93e+08,-4.605e+09,3.995e+09,1.51e+08,3.23e+09,2.3e+08,2.3e+08,2.3e+08,1.574e+09,4.2947e+10,-1.746e+09,0.24904,0.07283,-0.19963,-0.05264,-0.01053,1.60037,0.64817,3.99643,0.4147,-0.54962,-0.54962,2.75315,10.31486,-0.8796,4,-0.00189,-0.01882,27.01842,106.85176
"48","2022_Q1",11.8222580645161,"Up",5.246e+09,6.573e+09,1.1819e+10,-1.1181e+10,-8.63e+08,6.38e+08,-3.23e+08,-3.93e+08,7e+07,3.15e+08,3.18e+08,1.58e+08,4.76e+08,4.76e+08,4.76e+08,-4e+06,4.72e+08,2.91e+08,2.91e+08,1889080982.88016,1889080982.88016,5.52e+08,1.0234e+10,1.0234e+10,1.1077e+10,6.9826e+10,9.896e+10,-2.9134e+10,2.2424e+10,1.9552e+10,9.225e+10,1.03327e+11,-127506387.817376,-1151759774.40328,6.665e+09,1.0762e+10,1.0762e+10,1.7427e+10,3.8225e+10,2.6452e+10,8.6e+08,3.177e+09,2.2415e+10,6.4677e+10,8.2104e+10,3.5129e+10,-9.284e+09,-2e+07,2.0971e+10,2.52e+08,2.1223e+10,1.03327e+11,-1.708e+09,4.88e+08,9.36e+08,-3.94e+08,-6.78e+08,4.71e+08,8.76e+08,1.268e+09,-1.74e+09,-1.57e+08,-9.81e+08,-3.91e+08,-3.91e+08,-3.91e+08,1.126e+09,4.489e+10,1.045e+09,2.25295,0.12162,0.08997,0.02224,0.00457,2.21398,0.63562,3.86863,0.43445,0.23778,0.23778,2.64282,10.56474,0.52645,6,-0.0048,0.01129,39.60835,69.90439
"49","2022_Q2",11.7614516129032,"Down",5.798e+09,-1.063e+09,4.735e+09,-4.2e+09,-9.72e+08,5.35e+08,-2.62e+08,-4.11e+08,1.49e+08,2.73e+08,2.74e+08,2.04e+08,4.78e+08,4.78e+08,4.78e+08,-3e+06,4.75e+08,2.47e+08,2.47e+08,2.08e+09,2.08e+09,6.18e+08,7.431e+09,7.431e+09,1.0376e+10,7.1505e+10,1.01161e+11,-2.9656e+10,2.205e+10,2.205e+10,9.3555e+10,1.03931e+11,3.31e+08,-4653279323.20983,1.854e+09,1.4375e+10,9.822e+09,1.656e+10,3.9123e+10,2.6604e+10,8.01e+08,3.162e+09,2.2641e+10,6.5727e+10,8.2287e+10,3.4726e+10,-8.867e+09,-2e+07,2.1392e+10,2.52e+08,2.1644e+10,1.03931e+11,4.78e+08,9.72e+08,2.51e+08,-4e+07,1.661e+09,-2.31e+09,-2e+07,-2.33e+09,6.27e+08,1.1e+07,6.38e+08,-3.1e+07,-3.1e+07,-3.1e+07,1.507e+09,4.0977e+10,-1.047e+09,0.81666,0.09227,0.08192,0.02195,0.00457,-2.20421,0.62657,3.80184,0.39427,0.23929,0.23929,2.92091,10.77683,-0.52746,8,0.00532,-0.01173,27.02721,76.13084
"50","2022_Q3",11.7075,"Down",5.118e+09,-6.54e+09,-1.422e+09,2.052e+09,-9.41e+08,6.3e+08,-4.13e+08,-3.92e+08,-2.1e+07,2.17e+08,3.2e+07,3.28e+08,3.6e+08,3.6e+08,3.6e+08,-4e+06,3.56e+08,2.39e+08,2.39e+08,2.203e+09,2.203e+09,6.15e+08,8.617e+09,8.617e+09,1.1674e+10,7.3495e+10,1.03736e+11,-3.0241e+10,2.8372e+10,2.8363e+10,1.01867e+11,1.13541e+11,3.029e+09,-10962558646.4197,4.129e+09,7.849e+09,7.849e+09,1.5007e+10,4.4174e+10,3.2341e+10,7.34e+08,3.02e+09,2.8587e+10,7.6515e+10,9.1522e+10,3.4141e+10,-8.511e+09,-2.5e+07,2.1767e+10,2.52e+08,2.2019e+10,1.13541e+11,6.52e+08,9.41e+08,1.36e+08,-1.687e+09,42000000.0000005,-2.229e+09,-2.76e+08,-2.505e+09,2.756e+09,2.43e+08,2.511e+09,4.8e+07,4.8e+07,4.8e+07,1.571e+09,4.8303e+10,-2.673e+09,-0.27784,0.12309,0.06956,0.01617,0.00314,-7.50843,0.7779,4.1565,0.42542,0.17916,0.16628,2.57574,10.95471,-1.34524,3,0.00822,-0.02604,30.59453,76.29206
