"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",43.0746031746032,"Up",269972000,202857000,232716000,-29859000,67115000,51806000,15309000,-13040000,256932000,-177417000,-10062000,-167355000,79515000,79316000,79316000,-20414000,58902000,58902000,58902000,58902000,333775000,111725000,6163784000,18563163000,-223122000,18786285000,365145000,739403000,96525000,78011000,281609000,26816755000,21542873000,21542873000,1737151000,331179000,342277000,23953480000,2012835000,948591000,-98151000,2863275000,2863275000,26816755000,58902000,22227000,13040000,188109000,40088000,322366000,-3064000,42843000,-339405000,24142000,-274342000,-20806000,-150568000,967000,91044000,-79474000,-31450000,-31450000,-31450000,101742000,2068330000,159180000,0.29453,0.21818,0.02057,0.0022,2.70245,8.36576,0.07713,0.69498,0.69342,3.1854,33.78376,1.87816,0.24549,0.00297,0.00594,0.35323,17.04856,21.81419
"32","2018_Q1",46.7695081967213,"Up",280162000,208047000,239173000,-31126000,72115000,53570000,11067000,-14986000,265176000,-170830000,-8544000,-162286000,94346000,94686000,94686000,-39237000,55449000,55449000,55449000,55449000,386948000,92384000,6429461000,18786855000,-217308000,19004163000,333663000,745523000,90640000,82191000,334442000,27336086000,22261882000,22261882000,1703890000,305513000,179852000,24451137000,2010833000,1008518000,-134402000,2884949000,2884949000,27336086000,55449000,22210000,14986000,-142377000,-44261000,-93993000,-2747000,-277049000,-266917000,41493000,-505412000,-20866000,-38641000.0000001,1388000,719343000,652578000,53173000,53173000,53173000,116556000,2009403000,108785000,0.33676,0.19792,0.01922,0.00203,1.96189,8.47541,0.07351,0.65197,0.6493,3.29412,33.92102,1.27909,0.24534,0.00279,0.00398,0.37631,13.91996,17.19686
"33","2018_Q2",44.62296875,"Down",271916000,205664000,241395000,-35731000,66252000,53366000,12886000,-12253000,259663000,-170581000,-9255000,-161326000,89082000,88872000,88872000,-16397000,72475000,72475000,72475000,72475000,253860000,61541000,6474503000,18881791000,-210713000,19092504000,334254000,745523000,85021000,80812000,327297000,27297337000,22497523000,22497523000,1452097000,300443000,151236000,24401299000,2016405000,1060182000,-180549000,2896038000,2896038000,27297337000,72475000,20622000,12253000,6648000,-7504000,104494000,-7862000,-100868000,-184117000,99009000,-193838000,-20881000,-256978000,1619000,232638000,-43744000,-133088000,-133088000,-133088000,109704000,1752540000,110735000,0.32761,0.26653,0.02503,0.00266,1.52791,8.42575,0.0642,0.85024,0.84842,3.18997,33.97471,1.29908,0.24496,0.00342,0.00406,0.28811,13.66112,16.8236
"34","2018_Q3",44.4704761904762,"Down",280379000,211547000,252304000,-40757000,68832000,54362000,14470000,-8891000,271488000,-184691000,-13381000,-171310000,86797000,87086000,87086000,-15909000,71177000,71177000,71177000,71177000,355072000,104210000,6660268000,19156387000,-214530000,19370917000,336513000,745523000,79700000,80982000,353282000,27925447000,22249483000,22249483000,2314190000,266009000,166210000,24995892000,2022258000,1110506000,-203209000,2929555000,2929555000,27925447000,71177000,20250000,8891000,13180000,2173000,115671000,-10212000,-205206000,-288746000,-67428000,-571592000,-20894000,827544000,1140000,-250384000,557133000,101212000,101212000,101212000,107047000,2580199000,114917000,0.30957,0.25386,0.0243,0.00255,1.61452,8.53232,0.0924,0.83438,0.83268,3.28678,34.34213,1.34713,0.24493,0.0033,0.00412,0.29355,20.78645,25.63599
"35","2018_Q4",36.0003174603175,"Down",289712000,214194000,263212000,-49018000,75518000,59629000,15889000,-6872000,282840000,-181171000,-9555000,-171616000,101669000,101653000,101653000,-17775000,83878000,83878000,83878000,83878000,339609000,108074000,6537708000,19329167000,-214550000,19543717000,343833000,791157000,101438000,87567000,400052000,28098175000,22433793000,22433793000,2276647000,215912000,192945000,25119297000,2028160000,1170897000,-220179000,2978878000,2978878000,28098175000,83878000,20886000,6872000,135000,-1838000,109933000,-14457000,100029000,-186645000,-20610000,20086000,-23512000,-87827000,968000,-34963000,-145482000,-15463000,-15463000,-15463000,122555000,2492559000,124035000,0.35093,0.28952,0.02816,0.00299,1.47875,8.43247,0.08871,0.98278,0.98052,3.39448,34.90273,1.45329,0.27548,0.00382,0.00441,0.28031,17.56721,21.17607
"36","2019_Q1",36.6949180327869,"Up",291971000,217433000,271357000,-53924000,74538000,59191000,16173000,-8100000,283871000,-179303000,-9388000,-169915000,104568000,104505000,104505000,-8265000,96240000,96240000,96240000,96240000,383372000,111094000,6219884000,19831897000,-194514000,20026411000,353668000,790972000,96151000,86681000,339221000,28235907000,23162452000,23162452000,1589128000,224993000,177994000,25154567000,2018457000,1243592000,-180709000,3081340000,3081340000,28235907000,96240000,19985000,8100000,-2877000,-2362000,119086000,-18133000,401986000,-532107000,-30952000,-101558000,-23551000,-667107000,-7353000,732378000,26235000,43763000,43763000,43763000,124553000,1814121000,112323000,0.35815,0.32962,0.03123,0.00341,1.16711,8.16352,0.06425,1.12527,1.1238,3.41383,36.02811,1.31332,0.27537,0.00424,0.00398,0.24471,11.48707,13.68247
"37","2019_Q2",37.1036507936508,"Up",289757000,219254000,276283000,-57029000,70503000,57309000,13194000,-18043000,271714000,-175700000,-8168000,-167532000,96014000,96014000,96014000,-16850000,79164000,79164000,79164000,79164000,360194000,163762000,6339478000,19918150000,-194688000,20112838000,358205000,792084000,91013000,94404000,372941000,28490231000,23526819000,23526819000,1388735000,224962000,159140000,25299656000,2023864000,1299220000,-132509000,3190575000,3190575000,28490231000,79164000,19663000,18043000,-68753000,-34694000,13423000,-12320000,138240000,-106014000,-61646000,-42852000,-23581000,-200468000,879000,230109000,6251000,-23178000,-23178000,-23178000,115677000,1613697000,85513000,0.33136,0.27321,0.02481,0.00278,1.0802,7.9295,0.05664,0.92386,0.92266,3.38154,37.23479,0.99796,0.2752,0.00361,0.003,0.29788,10.83623,13.05542
"38","2019_Q3",34.48796875,"Down",299118000,219868000,280378000,-60510000,79250000,59837000,19413000,-8088000,291030000,-183567000,-9665000,-173902000,107463000,107463000,107463000,-19186000,88277000,88277000,88277000,88277000,365152000,151062000,6530669000,19980187000,-195625000,20175812000,360298000,792084000,85967000,88391000,408053000,28761863000,23383820000,23383820000,1641598000,232754000,184776000,25442948000,2030208000,1363910000,-75203000,3318915000,3318915000,28761863000,88277000,20319000,8088000,-4376000,3075000.00000001,115383000,-10196000,-136677000,-72068999.9999999,10791000,-208151000,-23593000,264436000,1292000,-144252000,97726000,4958000,4958000,4958000,127782000,1874352000,139847000,0.35927,0.29512,0.0266,0.00307,1.58418,7.66604,0.06517,1.02973,1.02863,3.48915,38.71448,1.63129,0.27521,0.00389,0.00486,0.26726,11.81074,14.0439
"39","2019_Q4",37.06640625,"Up",306169000,222939000,283164000,-60225000,83230000,61192000,22038000,-12421000,293748000,-213554000,-17704000,-195850000,80194000,80194000,80194000,-12387000,67807000,67807000,67807000,67807000,468063000,49513000,7227134000,20840380000,-195572000,21035952000,382934000,861291000,116078000,93038000,505118000,30543549000,24350332000,24350332000,2108815000,246641000,251381000,26957169000,2229353000,1408183000,-51156000,3586380000,3586380000,30543549000,67807000,21092000,12421000,8892000,-72725000,37487000,-11230000,-362536000,-64747000,415010000,4557000,-23597000,400146000,888000,-315821000,60867000,102911000,102911000,102911000,101286000,2355456000,29718000,0.26193,0.22147,0.01891,0.00222,0.43827,7.51654,0.07712,0.78493,0.78471,3.5442,41.51575,0.34401,0.27316,0.00299,0.00097,0.348,18.63429,23.53534
"40","2020_Q1",31.7448387096774,"Down",316080000,233156000,285957000,-52801000,82924000,63185000,19739000,-9155999.99999999,306924000,-197856000,-9470000,-188386000,109068000,109068000,109068000,-16936000,92132000,92132000,92132000,92132000,432104000,110229000,6429104000,21021504000,-191251000,21212755000,380209000,855453000,106807000,92037000,1173310000,30600757000,23803575000,23803575000,2714872000,233462000,381163000,27133072000,2046177000,1476232000,-54724000,3467685000,3467685000,30600757000,92132000,22838000,9155999.99999999,17197000,44333000,185656000,21688000,147156000,-235281000,-146138000,-212576000,-24100000,601258000,1097000,-397593000,-9038999.99999997,-35959000,-35959000,-35959000,131906000,2948334000,214863000,0.34506,0.29148,0.02657,0.00301,2.33212,7.82455,0.09635,1.04517,1.04262,3.58571,39.33846,2.43747,0.2734,0.0038,0.00702,0.26158,19.07593,23.07029
"41","2020_Q2",19.1604761904762,"Down",315575000,231188000,277343000,-46155000,84387000,62155000,22232000,-246793000,68782000,-203335000,-9741000,-193594000,-134553000,-134553000,-134553000,23520000,-111033000,-111033000,-111033000,-111033000,476811000,876314000,7213240000,21089678000,-426003000,21515681000,377638000,855453000,101463000,96167000,674929000,31761693000,25154917000,25154917000,2673283000,225606000,286823000,28340629000,2050669000,1297129000,73266000,3421064000,3421064000,31761693000,-111033000,22574000,246793000,-18904000,-127905000,11525000,-9460000,-756459000,-337280000,-1731000,-1104930000,-24028000,-41665000,-11732000,1204921000,1138112000,44707000,44707000,44707000,-111979000,2898889000,-272864000,-0.42637,-0.35184,-0.03246,-0.0035,2.4575,8.28416,0.09127,-1.27352,-1.27352,3.61956,39.23869,-3.12968,0.27559,-0.00274,-0.00859,-0.2164,-21.62975,-18.00092
"42","2020_Q3",18.38109375,"Down",311809000,237866000,266342000,-28476000,73943000,51001000,22830000,-306898000,4911000,-196539000,-10985000,-185554000,-191628000,-191628000,-191628000,74556000,-117072000,-117072000,-117072000,-117072000,535234000,760194000,7222111000,22185739000,-442638000,22628377000,380119000,855453000,96293000,122605000,1057652000,33215400000,27466183000,27466183000,1754875000,386269000,291916000,29899243000,2057153000,1156278000,102726000,3316157000,3316157000,33215400000,-117072000,22568000,306898000,-13334000,-143705000,55355000,-10147000,152442000,-1669850000,-8630000,-1536185000,-23789000,-751673000,1034000,2313772000,1539253000,58423000,58423000,58423000,-169060000,2141144000,-397468000,-0.61457,-0.37546,-0.0353,-0.00352,3.39507,9.01623,0.06446,-1.35654,-1.35654,3.613,38.42503,-4.60555,0.27565,-0.00281,-0.01197,-0.2032,-9.49905,-8.38035
"43","2020_Q4",25.625625,"Up",318931000,235183000,257043000,-21860000,83748000,56074000,27298000,-24999000,293932000,-195774000,-14372000,-181402000,98158000,98158000,98158000,-18802000,79356000,79356000,79356000,79356000,484315000,779057000,7899938000,21791530000,-448674000,22240204000,384329000,855453000,91505000,112686000,794511000,33193324000,27172002000,27172002000,1906895000,385887000,352896000,29817680000,2064828000,1211878000,98938000,3375644000,3375644000,33193324000,79356000,23605000,24999000,13715000,18915000,160590000,3692000,-709120000,637932000,18817000,-48679000,-23803000,151556000,1080000,-291609000,-162830000,-50919000,-50919000,-50919000,121763000,2292782000,163172000,0.30777,0.24882,0.02351,0.00239,2.0562,8.83318,0.06907,0.91896,0.91896,3.6933,39.09077,1.88957,0.27564,0.00311,0.00492,0.29995,14.85235,18.42404
"44","2021_Q1",37.7313114754098,"Up",320636000,238286000,257253000,-18967000,82350000,58081000,24269000,-24214000,296422000,-193144000,-14431000,-178713000,103278000,103278000,103278000,297000,103575000,103575000,103575000,103575000,526306000,1333786000,7356497000,21339754000,-450177000,21789931000,380516000,855453000,86892000,104268000,1655130000,33638602000,27697877000,27697877000,1667513000,378322000,455865000,30199577000,2067450000,1291506000,80069000,3439025000,3439025000,33638602000,103575000,24523000,24214000,10719000,-35310000,127721000,-4031000,352143000,389152000,-1224942000,-487678000,-23985000,-239460000,1066000,667218000,401948000,41991000,41991000,41991000,127801000,2045835000,88163000,0.3221,0.32303,0.03012,0.00308,0.8512,8.78144,0.06082,1.20031,1.20031,3.7158,39.85427,1.02171,0.27796,0.00379,0.00262,0.23157,11.88981,14.713
"45","2021_Q2",44.8573015873016,"Up",321676000,234587000,250785000,-16198000,87089000,59727000,27362000,4911000,326587000,-193072000,-11251000,-181821000,133515000,133515000,133515000,-26343000,107172000,107172000,107172000,107172000,508673000,2339111000,8005990000,21240499000,-424360000,21664859000,377514000,855453000,82473000,108290000,1554640000,35072643000,29210520000,29210520000,1652747000,397583000,394890000,31655740000,2073658000,1374688000,-31443000,3416903000,3416903000,35072643000,107172000,24713000,-4911000,-1836000,129902000,255040000,-78000,-875098000,109297000,-1000471000,-1766350000,-24021000,4413000,1136000,1512643000,1493677000,-17633000,-17633000,-17633000,158228000,2050330000,314395000,0.41506,0.33317,0.03137,0.00306,2.93356,9.26445,0.05846,1.23538,1.23463,3.708,39.38702,3.62407,0.27689,0.00374,0.00896,0.22414,9.74326,11.5467
"46","2021_Q3",42.96703125,"Down",328915000,234643000,248300000,-13657000,94272000,63502000,30437000,17229000,346144000,-236770000,-13473000,-223297000,109374000,109374000,109374000,-20656000,88718000,88718000,88718000,88718000,501594000,2203785000,8633133000,20748862000,-399668000,21148530000,353358000,855453000,78228000,100865000,1623431000,35098709000,29273107000,29273107000,1516508000,248052000,498141000,31535808000,2080486000,1439553000,42862000,3562901000,3562901000,35098709000,88718000,24514000,-17229000,18766000,-2246000,112523000,-2054000,-550349000,573810000,106066000,127473000,-24023000,-286317000,1265000,62588000.0000002,-247075000,-7079000,-7079000,-7079000,133888000,1764560000,150244000,0.33253,0.26973,0.0249,0.00253,1.6935,8.85116,0.05027,1.02266,1.02204,3.79144,41.06996,1.73188,0.27692,0.00321,0.00428,0.27078,9.433,11.54722
"47","2021_Q4",48.6590625,"Up",328070000,234709000,244417000,-9708000,93361000,64200000,29161000,26955000,355025000,-194703000,-12748000,-181955000,160322000,160322000,160322000,-30740000,129582000,129582000,129582000,129582000,527880000,3062781000,8308622000,20514494000,-371521000,20886015000,350554000,855453000,74146000,99314000,1525064000,35318308000,29208157000,29208157000,1745228000,248011000,487146000,31688542000,2084387000,1545181000,198000,3629766000,3629766000,35318308000,129582000,23580000,-26955000,-1531000,38636000,163312000,-2466000,259520000,245085000,-777107000,-274968000,-24002000,228642000,-1531000,-64951000,137942000,26286000,26286000,26286000,183902000,1993239000,250812000,0.48868,0.39498,0.0357,0.00367,1.93555,8.73019,0.05644,1.46757,1.46757,3.71554,41.10869,2.84056,0.27183,0.00435,0.0071,0.18523,7.96815,9.1401
"48","2022_Q1",52.9009677419355,"Up",318908000,229296000,238756000,-9460000,89612000,65077000,24535000,28399000,347307000,-182462000,-11206000,-171256000,164845000,164845000,164845000,-27102000,137743000,137743000,137743000,137743000,401201000,3830635000,8552449000,20792217000,-342065000,21134282000,350309000,855453000,70230191.1226003,96938000,1581777000,36531205000,30465897000,14392808000,1665061000,244220000,485675000,32860853000,2065214000,1659073000,-53935000,3670352000,3670352000,36531205000,137743000,23282000,-28399000,8612000,-86423000,54815000,-3416000,-311084000,-182214000,-814025000,-1310739000,-23881000,-80246000,-18302000,1257740000,1129245000,-126679000,-126679000,-126679000,188127000,1909281000,125390000,0.5169,0.43192,0.03753,0.00377,0.91032,8.95305,0.05226,1.56,1.56,3.61177,41.56835,1.4201,0.27046,0.00442,0.00343,0.17337,8.01629,9.14847
"49","2022_Q2",46.8893548387097,"Down",311895000,228463000,236786000,-8323000,83432000,64776000,18743000,22527000,334422000,-179939000,-7793000,-172146000,154483000,154483000,154483000,-31005000,123478000,123478000,123478000,123478000,703421000,3133010000,8481095000,21005498000,-317843000,21323341000,353441000,855453000,66479000,98873000,1560415000,36317291000,30499709000,30499709000,1620302000,240454000,505875000,32866340000,2051534000,1758693000,-359276000,3450951000,3450951000,36317291000,123478000,22281000,-22527000,11830000,145472000,280534000,-5126000,-350922000,-209058000,640627000,75521000,-23804000,-44838000,-17609000,33812000,-53835000,302220000,302220000,302220000,176764000,1860756000,348115000,0.4953,0.3959,0.03578,0.0034,2.81925,9.52385,0.05124,1.4,1.4,3.53628,39.12706,3.94695,0.26989,0.00406,0.00959,0.19278,6.54735,7.49167
"50","2022_Q3",47.69,"Up",331385000,245732000,254864000,-9132000,85653000,67675000,17978000,9761000,341146000,-187097000,-8423000,-178674000,154049000,154049000,154049000,-32614000,121435000,121435000,121435000,121435000,698274000,871196000,8531393000,21537893000,-308175000,21846068000,352011000,855453000,62892000,101172000,1520228000,34637525000,29866432000,29866432000,630011000,240091000,551268000,31287802000,2020411000,1856489000,-527177000,3349723000,3349723000,34637525000,121435000,21178000,-9761000,7613000,65831999.9999999,206297000,-3708000,-294781000,-572848000,2344679000,1473342000,-23561000,-990692000,-36853000,-633277000,-1684786000,-5147000,-5147000,-5147000,175227000,870102000,269965000,0.46486,0.36645,0.03625,0.00351,2.22312,9.34041,0.02512,1.39,1.39,3.79318,38.34245,3.09014,0.26969,0.00419,0.00779,0.19402,0.9806,1.11541
