"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",175.076129032258,"Up",513933000,-240881000,273052000,-159867000,-144180000,-15687000,113185000,-16212000,-16212000,-16362000,150000,96973000,-46157000,50816000,10060000,60876000,187000,187000,61063000,61063000,61063000,543789000,543789000,271993000,271993000,316171000,51440000,48561000,1183393000,302899000,2404921000,1091663000,1276720000,1712000,34826000,2707820000,3891213000,235586000,69400000,7908000,158278000,183071000,8989000,8989000,427646000,850252000,473974000,133062000,271377000,69535000,1324226000,1751872000,2139341000,3891213000,60876000,30148000,-15970000,33938000,108992000,-17223000,409000.000000001,0,-16814000.0000001,-14980000,-7226999.99999994,1421000,-20786000.0000001,71392000,-659000,70733000,-26403000,44330000,143333000,1033323000,149988000,0.5313,0.22023,0.11882,0.02854,0.01569,2.45628,2.76723,0.81888,0.26555,1.38594,1.29618,11.66465,3.40425,0.34,0.02085,0.04113,0.24532,3.41536,4.32508
"29","2017_Q2",195.287142857143,"Up",487881000,-232321000,255560000,-181796000,-163969000,-17827000,73764000,-17557000,-17557000,-17726000,169000,56207000,-18527000,37680000,2669000,40349000,-179000,-179000,40170000,40170000,40170000,689129000,689129000,282872000,282872000,355289000,67837000,67837000,1395127000,355234000,3482075000,1620454000,1815498000,1963000,44160000,3837309000,5232436000,251064000,82018000,8043000,161003000,131095000,10199000,10199000,392358000,1957797000,663377000,130226000,460654000,72497000,2621174000,3013532000,2218904000,5232436000,40349000,32965000,16158000,1468000,90940000,-12894000,6332000,-975524000,-982086000,-15287000,1056170000,-19619000,1021264000,130118000,-266000,129852000,15488000,145340000,106729000,2088892000,92634000,0.52382,0.15119,0.08234,0.0181,0.00768,2.30605,3.55575,1.35812,0.39922,0.89479,0.86174,10.86764,2.06344,0.34052,0.01116,0.01863,0.38056,13.11511,18.97624
"30","2017_Q3",212.299523809524,"Up",528613000,-238329000,290284000,-179212000,-158934000,-20278000,111072000,-19733000,-19733000,-19894000,161000,91339000,-881000,90458000,-12095000,78363000,-360000,-360000,78003000,78003000,78003000,676214000,676214000,303702000,303702000,368526000,59176000,59176000,1407618000,369301000,3513105000,1612904000,1854076000,1963000,44162000,3882406000,5290024000,254706000,81973000,3438000,169295000,112039000,9306000,9306000,376051000,1887716000,667728000,128335000,468034000,71359000,2555444000,2931495000,2358529000,5290024000,78363000,36494000,3220000,-11327000,106750000,-23939000,0,-17935000.0000002,-41874000,-15303000,-90096000,1810000,-103589000,-38713000,-695000,-39407999.9999999,26493000,-12915000,147566000,1999755000,124395000,0.54914,0.21012,0.14756,0.03307,0.01475,1.59475,3.74316,1.24293,0.37802,1.73355,1.66609,11.748,2.76458,0.3401,0.01856,0.02475,0.19618,8.96915,11.91606
"31","2017_Q4",245.610158730159,"Up",534703000,-239476000,295227000,-184965000,-163771000,-21194000,110262000,-20978000,-20978000,-21264000,286000,89284000,92000,89376000,-9978000,79398000,-2383000,-2383000,77015000,77015000,77015000,1017573000,1017573000,306472000,306472000,382417000,60289000,60289000,1766751000,374461000,3539521000,1606943000,1886157000,2020000,44401000,3913982000,5680733000,287892000,85419000,12857000,189616000,77250000,9503000,9503000,374645000,2172805000,660806000,116441000,471667000,72698000,2833611000,3208256000,2472477000,5680733000,79398000,36907000,-675000,6388000,122018000,-17144000,0,-17252000,-34396000,-15315000,249605000,3434000,237724000,325346000,-179000,325167000,16192000,341359000,147169000,2250055000,146391000,0.55213,0.20621,0.14403,0.03115,0.01356,1.90081,4.7158,1.29759,0.39609,1.71011,1.65314,11.87305,3.25061,0.34007,0.01715,0.02719,0.19886,8.3746,11.17776
"32","2018_Q1",257.047540983607,"Up",595106000,-264375000,330731000,-238760000,-213289000,-25471000,91971000,-23507000,-23507000,-23662000,155000,68464000,-1067000,67397000,-110244000,-42847000,189000,189000,-42658000,-42658000,-42658000,333558000,333558000,345875000,345875000,395744000,53630000,53630000,1128807000,382999000,4669686000,2383748000,2235592000,3810000,46536000,5052685000,6181492000,313974000,92027000,11514000,210433000,86625000,83277000,83277000,483876000,2162927000,1104158000,121410000,603676000,379072000,3267085000,3750961000,2430531000,6181492000,-42847000,48897000,-16433000,116976000,106593000,-16926000,-2.3283064365387e-10,-757573000,-774499000,-15332000,7910000,-6718000,-14140000,-682046000,-5276000,-687322000,3307000,-684015000,140868000,2249552000,351162000,0.55575,0.15455,-0.07168,-0.01755,-0.0069,-8.23203,2.33284,1.54327,0.36392,-0.94602,-0.9147,13.1976,7.78768,0.34002,-0.00472,0.06071,-0.35942,13.60134,20.83259
"33","2018_Q2",262.6365625,"Up",587230000,-255960000,331270000,-241364000,-215337000,-26027000,89906000,-25670000,-25670000,-25943000,273000,64236000,-3063000,61173000,-6242000,54931000,1253000,1253000,56184000,56184000,56184000,378872000,378872000,359140000,359140000,403676000,63471000,60232000,1205159000,389519000,4705922000,2390555000,2264447000,3969000,46951000,5095441000,6300600000,300235000,84686000,13500000,202049000,77500000,174039000,174039000,551774000,2154217000,1034109000,117874000,616711000,299524000,3188326000,3740100000,2560500000,6300600000,54931000,52648000,14085000,-34816000,86848000,-15747000,0,-3684000,-19431000,-15447000,-18591000,1326000,-32712000,34705000,-206000,34499000,10815000,45314000,142554000,2231717000,98233000,0.56412,0.1531,0.09568,0.02194,0.00892,1.74842,2.18415,1.46069,0.35421,1.23947,1.20321,12.95484,2.16711,0.34078,0.01229,0.01686,0.27494,12.9975,20.60869
"34","2018_Q3",254.429523809524,"Down",609866000,-265088000,344778000,-255935000,-229917000,-26018000,88843000,-26466000,-26466000,-26649000,183000,62377000,-55353000,7023999.99999999,-9576000,-2552000,56000,56000,-2495999.99999999,-2495999.99999999,-2495999.99999999,346304000,346304000,359119000,359119000,405428000,74428000,71189000,1185279000,410979000,4579063000,2306204000,2220888000,2386000,49585000,4990042000,6175321000,301211000,94834000,5597000,200780000,86875000,148359000,148359000,536445000,2145468000,1059427000,113083000,596434000,349910000,3204895000,3741340000,2433981000,6175321000,-2552000,51887000,40324000,5077000,94736000,-22257000,1.86264514923096e-09,-18766000,-41023000.0000001,-15491000,-62483000,8286000,-69688000,-15974999.9999999,-258000,-16233000,-16335000,-32568000,140730000,2232343000,133126000,0.56533,0.14568,-0.00409,-0.00103,-4e-04,-53.33574,2.20951,1.53713,0.36149,-0.0547599999999995,-0.0547599999999995,13.37983,2.92065,0.33986,0.00227,0.02325,-6.20633,13.40183,21.2289
"35","2018_Q4",248.641428571429,"Down",609672000,-267099000,342573000,-241259000,-214894000,-26365000,101314000,-26851000,-26851000,-27171000,320000,74463000,-19209000,55254000,1286000,56540000,-16000,-16000,56524000,56524000,56524000,356276000,356276000,374341000,374341000,411066000,99127000,95888000,1240810000,421265000,4538645000,2262818000,2223429000,2305000,50093000,4959910000,6200720000,331314000,97628000,13347000,220339000,77250000,140729000,140729000,549293000,2075834000,1068528000,99350000,606082000,363096000,3144362000,3693655000,2507065000,6200720000,56540000,51956000,40726000,-27862000,121360000,-17747000,0,-1e+05,-17847000,-15588000,-90578000,8866000,-97300000,6213000,-237000,5976000,3996000,9972000,153270000,2153084000,106375000,0.5619,0.16618,0.09271,0.02255,0.00912,1.88194,2.25892,1.4733,0.34723,1.23278,1.20739,13.29681,2.32001,0.33997,0.01259,0.01857,0.27578,11.72316,17.73504
"36","2019_Q1",274.217868852459,"Up",641615000,-357420000,284195000,-164712000,-136914000,-27798000,119483000,-23089000,-23089000,-23257000,168000,96394000,-217000,96177000,-8664000,87513000,3077000,3077000,90590000,90590000,90590000,357161000,357161000,366286000,366286000,427778000,84944000,84944000,1236169000,432766000,4609056000,2325052000,2246579000,2446000,34979000,5041822000,6277991000,320904000,106709000,5943000,208252000,86625000,174927000,174927000,582456000,2072200000,1083357000,92914000,608221000,382222000,3155557000,3738013000,2539978000,6277991000,87513000,-95997000,127322000,13304000,132142000,-25044000,-117147000,24098000,-118093000,-15639000,78152000,-69246000,-6732999.99999999,7316000,2993000,10309000,-9424000,885000,23486000,2158825000,20410000,0.44294,0.18622,0.14119,0.03567,0.01443,0.225300000000004,2.12234,1.47167,0.34387,1.96956,1.88286,13.94967,0.44374,0.34002,0.01837,0.00353,0.172630000000001,76.71225,15.07883
"37","2019_Q2",297.323968253968,"Up",613584000,-268842000,344742000,-254843000,-227693000,-27150000,89899000,-22353000,-22353000,-22692000,339000,67546000,-14656000,52890000,-10972000,41918000,-1021000,-1021000,40897000,40897000,40897000,271212000,271212000,375756000,375756000,445566000,90080000,90080000,1182614000,409963000,4675492000,2274488000,2247768000,2500000,38458000,5085455000,6268069000,303328000,103532000,6641000,193155000,86625000,130963000,130963000,520916000,2072939000,1104336000,89287000,610606000,404443000,3177275000,3698191000,2569878000,6268069000,41918000,53396000,-3024000,-32124000,60166000,-23494000,991000,-1025000,-23528000,-15650000,-110953000,2242000,-124361000,-87723000,3610000,-84113000,-1836000,-85949000,143295000,2159564000,98649000,0.56185,0.14651,0.06665,0.01591,0.00652,2.41213,2.27026,1.43905,0.34453,0.8881,0.87122,13.3243,2.14221,0.33985,0.00969,0.01691,0.38267,13.17807,21.00526
"38","2019_Q3",343.6815625,"Up",652507000,-279583000,372924000,-263781000,-236186000,-27595000,109143000,-20286000,-20286000,-20758000,472000,88857000,-1685000,87172000,-3844000,83328000,47000,47000,83375000,83375000,83375000,303896000,303896000,382142000,382142000,461320000,97783000,97783000,1245141000,425475000,4643794000,2242267000,2250219000,3056000,40709000,5069269000,6314410000,295102000,108059000,4448000,182595000,5e+07,148790000,148790000,493892000,2081372000,1074302000,86149000,604856000,383297000,3155674000,3649566000,2664844000,6314410000,83328000,53855000,16014000,-56079000,97118000,-32613000,187000,8330000,-24096000,-15697000,-28475000,884000,-43288000,29734000,-810999.999999999,28923000,3761000,32684000,162998000,2131372000,78150000,0.57152,0.16727,0.12778,0.03129,0.0132,0.93733,2.52108,1.36952,0.33754,1.80575,1.77258,14.13209,1.69258,0.33997,0.01688,0.01331,0.18827,11.21165,16.74387
"39","2019_Q4",339.74796875,"Down",648319000,-334702000,313617000,-195817000,-167833000,-27984000,117800000,-19075000,-19075000,-19545000,470000,98725000,-179000,98546000,130383000,228929000,0,0,228929000,228929000,228929000,257544000,257544000,396663000,396663000,472594000,110809000,110809000,1237610000,429568000,4590004000,2175673000,2231330000,2952000,64856000,5019572000,6257182000,315015000,100630000,3299000,211086000,5e+07,165348000,165348000,530363000,1949068000,924775000,72016000,468945000,383814000,2873843000,3404206000,2852976000,6257182000,228929000,52696000,-126538000,-23204000,131883000,-27690000,1957000,-240000,-25973000,-15724000,-133078000,5924000,-142878000,-36968000,-148000,-37116000,-9236000,-46352000,170496000,1999068000,-10781000,0.48374,0.1817,0.35311,0.08024,0.03659,-0.04709,2.33351,1.19321,0.31948,4.95024,4.85276,14.01892,-0.23312,0.34001,0.04235,-0.00187,0.06869,10.21446,14.78374
"40","2020_Q1",344.613225806452,"Up",680952000,-303230000,377722000,-251182000,-220054000,-31128000,126540000,-16815000,-16815000,-17275000,460000,109725000,-8430000,101295000,6511000,107806000,459000,459000,108265000,108265000,108265000,301083000,301083000,418673000,418673000,476557000,110019000,110019000,1306332000,430719000,4572769000,2156285000,2245305000,5572000,52447000,5003488000,6309820000,331569000,102916000,6692000,221961000,5e+07,181486000,181486000,563055000,1858943000,908502000,82719000,439558000,386225000,2767445000,3330500000,2979320000,6309820000,107806000,-95859000,139043000,-3089000,147901000,-18898000,7748000,11266000,116000.000000015,-15757000,19006000,-111558000,-108309000,39708000,-194000,39514000,4025000,43539000,30681000,1908943000,2183000,0.5547,0.18583,0.15899,0.03634,0.01716,0.02016,2.32008,1.11787,0.30254,2.33672,2.29341,14.69723,0.04712,0.34009,0.0214,0.00038,0.14554,52.40572,12.70634
"41","2020_Q2",341.684285714286,"Down",630642000,-297018000,333624000,-175192000,-147796000,-27396000,158432000,-14860000,-14860000,-15439000,579000,143572000,-1346000,142226000,-11074000,131152000,-2000,-2000,131150000,131150000,131150000,406477000,406477000,441714000,441714000,488856000,109739000,109739000,1446786000,427452000,4827326000,2297178000,2332414000,5519000,84925000,5254778000,6701564000,300926000,104348000,6989000,189589000,53625000,47749000,47749000,402300000,2340892000,885348000,66380000,489677000,329291000,3226240000,3628540000,3073024000,6701564000,131152000,55753000,-142437000,-55925000,-11457000,-19284000,-265160000,17288042.9366913,-284444000,-15767000,4.85e+08,-63903000,405330000,109429000,-193000,109236000,-3842000,105394000,214185000,2394517000,150050000,0.52902,0.25122,0.20796,0.04268,0.01957,1.14411,3.59629,1.18077,0.35731,2.82761,2.77678,13.5967,3.23509,0.33994,0.02313,0.02362,0.12022,9.28187999999999,12.54822
"42","2020_Q3",366.625,"Up",567034000,-288662000,278372000,-220557000,-191193000,-29364000,57815000,-15519000,-15519000,-15682000,163000,42296000,-19005000,23291000,-11848000,11443000,12999.9999999999,12999.9999999999,11456000,11456000,11456000,553535000,553535000,374886000,374886000,514755000,101441000,101441000,1544617000,432401000,4788112000,2260863000,2343561000,5589000,76117000,5220513000,6765130000,316526000,107140000,18340000,191046000,8.3e+07,57089000,57089000,456615000,2328791000,882322000,60866000,488968000,332488000,3211113000,3667728000,3097402000,6765130000,11443000,57346000,17156999.9999999,59520000,145466000,-19368000,-735000,9986000,-10117000.0000001,-15791000,24999999.9999999,-2103000,7106000,142455000,-124000,142331000,4727000,147058000,115161000,2411791000,167161000,0.49093,0.10196,0.0202,0.0037,0.00169,14.59157,3.38276,1.18413,0.3565,0.24667,0.24249,12.20951,3.59935,0.34002,0.00426,0.02615,1.3784,16.13616,32.14142
"43","2020_Q4",365.53734375,"Down",628301000,-298977000,329324000,-200891000,-171673000,-29218000,128433000,-16438000,-16438000,-16652000,214000,111995000,3659000,115654000,951000,116605000,-18000,-18000,116587000,116587000,116587000,347480000,347480000,390476000,390476000,526125000,156480000,156480000,1420561000,445242000,4747485000,2228930000,2363837000,4915000,46879000,5192727000,6613288000,346658000,96917000,10873000,238868000,91750000,36839000,36839000,475247000,2035823000,866015000,55795000,486350000,323870000,2901838000,3377085000,3236203000,6613288000,116605000,-61770000,101639000,-48995000,107479000,-23717000,-548000,0,-24265000,-15826000,-2.85e+08,4608000,-296218000,-213004000,-223000,-213227000,7172000,-206055000,66663000,2127573000,-7e+06,0.52415,0.20441,0.18556,0.03603,0.01763,-0.06004,2.9891,1.04353,0.32171,2.50568,2.46312,13.50343,-0.15044,0.34013,0.02125,-0.00112,0.13574,26.70286,13.86009
"44","2021_Q1",396.989508196721,"Up",711179000,-327625000,383554000,-266675000,-232906000,-33769000,116879000,-18519000,-18519000,-18721000,202000,98360000,-21799000,76561000,40000,76601000,-470000,-470000,76131000,76131000,76131000,375880000,375880000,395071000,395071000,513196000,138278000,138278000,1422425000,473912000,5256222000,2519746000,2585966000,8073000,41802000,5730134000,7152559000,385658000,102520000,17361000,265777000,100500000,53869000,53869000,540027000,2377888000,898187000,74499000,484678000,339010000,3276075000,3816102000,3336457000,7152559000,76601000,17238000,34136000,67680000,195655000,-28325000,-499987000,9355000,-518957000,-15837000,3.5e+08,4782000,338945000,15643000.0000001,-197000,15446000.0000001,12954000,28400000.0000001,134117000,2478388000,173432000,0.53932,0.16435,0.10705,0.02282,0.01064,2.27807,2.63399,1.14376,0.3465,1.63375,1.60814,15.26168,3.7218,0.33986,0.0137,0.02584,0.20802,15.67667,17.98876
"45","2021_Q2",406.735873015873,"Up",633925000,-289398000,344527000,-233095000,-203148000,-29947000,111432000,-16139000,-16139000,-16798000,659000,95293000,-7998000,87295000,-12428000,74867000,-1000,-1000,74866000,74866000,74866000,324631000,324631000,401112000,401112000,512284000,140756000,140756000,1378783000,467648000,5181592000,2470244000,2565874000,8045000,42875000,5649240000,7028023000,374263000,101340000,14831000,258092000,83750000,50040000,50040000,508053000,2295436000,848743000,57118000,482484000,309141000,3144179000,3652232000,3375791000,7028023000,74867000,17513000,40217000,-21803000,110794000,-19276000,-1601000,13590377.9772968,-20877000,-15893000,-1e+08,-15603000,-131496000,-41579000,-243000,-41822000,-9427000,-51249000,128945000,2379186000,100294000,0.54348,0.17578,0.1181,0.02218,0.01065,1.33965,2.71386,1.08189,0.33853,1.60319,1.57922,13.57499,2.14772,0.34034,0.01374,0.01519,0.21229,15.93358,18.43775
"46","2021_Q3",386.82,"Down",713473000,-315917000,397556000,-257442000,-224159000,-33283000,140114000,-15939000,-15939000,-16171000,232000,124175000,-24480000,99695000,-16412000,83283000,-35000,-35000,83248000,83248000,83248000,361781000,361781000,414195000,414195000,490318000,170934000,143998000,1437228000,449754000,5179405000,2381329000,2537432000,8442000,137092000,5629159000,7066387000,387027000,106567000,14836000,265624000,92500000,47321000,47321000,526848000,2215666000,857771000,51179000,483269000,323323000,3073437000,3600285000,3466102000,7066387000,83283000,18469000,68122000,-15593000,154281000,-17383000,-1533999.99999994,8038000,-10879000,-15900000,-7.5e+07,-18321000,-109221000,34181000,-128000,34053000,3097000,37150000,158583000,2308166000,142019000,0.55721,0.19638,0.11668,0.02402,0.01178,1.70597,2.72797,1.03871,0.32664,1.78269,1.75603,15.27845,3.04122,0.34049,0.01495,0.02141,0.191,12.2736,13.89144
"47","2021_Q4",338.3703125,"Down",700251000,-312464000,387787000,-237010000,-205194000,-31816000,150777000,-11774000,-11774000,-14484751.49088,-30435.7857449833,139003000,90198000,229201000,-29695000,199506000,-325000,-325000,199181000,199181000,199181000,481167000,481167000,399744000,399744000,484345000,176581000,176581000,1541837000,446318000,5051807000,2337249000,2522950000,8425000,53185000,5498125000,7039962000,397720000,104139000,17185000,276396000,101250000,63240000,63240000,562210000,1948666000,871214000,49843000,479105000,342266000,2819880000,3382090000,3657872000,7039962000,199506000,17864000,-57947000,25962000,185385000,-15431000,224781000,1250000,199482000,-15923000,-2.59e+08,4128000,-259698000,125169000,-148000,125021000,-5635000,119386000,168641000,2049916000,208867000,0.55378,0.21532,0.28444,0.05445,0.02829,1.04863,2.74246,0.92461,0.29118,4.26065,4.19938,14.97895,4.46784,0.34061,0.0327,0.03175,0.07994,9.3023,10.40443
"48","2022_Q1",327.67564516129,"Down",761914000,-342182000,419732000,-263379000,-227584000,-35795000,156353000,-11789000,-11789000,-11990532.7669236,54813.5908895561,144564000,-1286999.99999999,143277000,-15814000,127463000,616000,616000,128079000,128079000,128079000,445084000,445084000,383569000,383569000,477643000,122822000,122822000,1429118000,443758000,4998846000,2289067000,2504202000,6820000,198757000,5442604000,6871722000,514486000,118236000,83943000,307098000,1.1e+08,55633000,55633000,680119000,1740102000,696753000,45185000,370124000,281444000,2436855000,3116974000,3754748000,6871722000,127463000,17912000,-82475000,138779000,201679000,-19528000,-1326999.99999994,9866000,-10989000,-15932000,-200500000,1025000,-215407000,-24717000,-201000,-24918000,-11165000,-36083000,174265000,1850102000,309330000,0.55089,0.20521,0.1681,0.03411,0.01864,2.41515,2.10128,0.83014,0.26923,2.72549,2.69555,16.21335,6.58247,0.33903,0.02285,0.04909,0.12439,8.06254,8.98619
"49","2022_Q2",290.420806451613,"Down",641715000,-295482000,346233000,-240292000,-203932000,-36360000,105941000,-10196000,-10196000,-10418000,222000,95745000,-2405000,93340000,-15973000,77367000,-226000,-226000,77141000,77141000,77141000,466656000,466656000,407159000,407159000,491422000,128964000,128964000,1494201000,436021000,4943088000,2243559000,2492726000,6791000,75622000,5379109000,6873310000,484075000,117464000,88451000,278160000,1.1e+08,62125000,62125000,656200000,1740778000,680798000,43427000,369739000,267632000,2421576000,3077776000,3795534000,6873310000,77367000,17317000,41882000,-74464000,62102000,-13078000,262000,18730284.3800932,-12816000,-15946000,-73686090.9479097,-5014000,-20960000,28326000,-119000,28207000,-6635000,21572000,123258000,1850778000,51689000,0.53954,0.16509,0.12021,0.02032,0.01122,0.67006,2.27705,0.81089,0.26927,1.64659,1.62686,13.69752,1.10331,0.34037,0.01471,0.00817,0.20671,11.22947,13.06503
"50","2022_Q3",238.598125,"Down",704542000,-315709000,388833000,-253759000,-216825000,-36934000,135074000,-11190000,-11190000,-11419000,229000,123884000,83000,123967000,-18412000,105555000,-41000.0000000002,-41000.0000000002,105514000,105514000,105514000,308121000,308121000,415297000,415297000,510531000,151396000,151396000,1385345000,429372000,4917129000,2226875000,2461083000,6243000,104308000,5346501000,6731846000,444442000,121418000,52174000,270850000,1.1e+08,56004000,56004000,610446000,1605954000,662716000,42097000,379931000,240688000,2268670000,2879116000,3852730000,6731846000,105555000,16182000,42092000,-124072000,39757000,-19367000,-22703000,10314000,-31756000,-15946000,-135500000,-2364000,-153810000,-145809000,-161000,-145970000,-12565000,-158535000,151256000,1715954000,26229000,0.55189,0.19172,0.14976,0.02739,0.01567,0.24858,2.2694,0.74729,0.2549,2.24972,2.22853,15.0219,0.55924,0.33999,0.01949,0.00421,0.15113,9.30762,10.42268
