"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",30.8825,"Up",113530000,-75097000,38433000,-23879000,-17372000,-6507000,14554000,1945000,-59000,2004000,16499000,-1195000,15304000,-3756000,11548000,11548000,11548000,11548000,121383000,121383000,69948000,69948000,37941000,13266000,13266000,242538000,215469000,71057000,18428000,2244000,306154000,548692000,102461000,51937000,50524000,102461000,87101000,90499000,192960000,345403000,-343256000,430388000,-76803000,355732000,355732000,548692000,11548000,5483000,974000,2149000,20154000,-6912000,-6912000,-1318000,-2300000,-1423000,-5041000,8201000,8201000,-390000,7811000,20037000,87101000,19030000,0.33853,0.1282,0.10172,0.03246,0.02105,1.6479,2.36713,0.54243,0.15874,0.3502,0.34456,3.44291,10.78793,0.5771,0.03997,0.02883,0.04265,0.11413,-1.71093,-2.3555
"32","2018_Q3",35.2330158730159,"Up",118021000,-76208000,41813000,-26097000,-19621000,-6476000,15716000,-2973000,-99000,-2874000,12743000,-1172000,11571000,-4362000,7209000,7209000,7209000,7209000,102861000,102861000,75597000,75597000,41671000,11931000,11931000,232060000,216863000,71057000,20188000,2123000,310493000,542553000,105146000,51652000,53494000,105146000,70075000,73647000,178793000,346604000,-343256000,436274000,-75862000,363760000,363760000,542553000,7209000,5478000,1349000,-6469000,7567000,-7997000,-7997000,-1320000,-1.7e+07,-6000,-18326000,-18756000,-18756000,234000,-18522000,21194000,70075000,11090000,0.35428,0.13316,0.06108,0.01982,0.01329,1.53835,2.20703,0.49151,0.12916,0.2181,0.21494,3.57066,11.00536,0.33552,0.03994,0.0195,0.02535,0.1831,-1.54695,-2.08615
"33","2018_Q4",27.7255555555556,"Down",118859000,-76777000,42082000,-24965000,-18448000,-6517000,17117000,-1763000,-76000,-1687000,15354000,-999000,14355000,-4144000,10211000,10211000,10211000,10211000,103754000,103754000,79030000,79030000,41960000,14254000,14254000,238998000,213924000,71057000,17369000,2247000,310594000,549592000,105660000,52177000,53483000,105660000,62983000,67727000,173387000,348381000,-343256000,445160000,-74080000,376205000,376205000,549592000,10211000,5388000,2043000,-2803000,14839000,-5890000,-5890000,-1324000,-7e+06,-4000,-8328000,621000,621000,272000,893000,22505000,62983000,17956000,0.35405,0.14401,0.08591,0.02714,0.01858,1.7585,2.26195,0.46088,0.1146,0.30862,0.30312,3.59243,11.37052,0.54271,0.04002,0.02598,0.04045,0.12966,-1.81164,-2.3819
"34","2019_Q1",28.7239344262295,"Up",120073000,-77428000,42645000,-23932000,-18128000,-5804000,18713000,-144000,-25000,-119000,18569000,-1696000,16873000,691000,17564000,17564000,17564000,17564000,100933000,100933000,79518000,79518000,43486000,15422000,15422000,239359000,209581000,71057000,22201000,2043000,308982000,548341000,103993000,51975000,52018000,103993000,62429000,66419000,170412000,349517000,-352696000,478847000,-97739000,377929000,377929000,548341000,17564000,6165000,222000,-8359000,15592000,-7686000,-7686000,-1323000,9.31322574615479e-10,-34999.9999999999,-10798000,-2892000,-2892000,71000.0000000001,-2821000,24878000,62429000,8142000,0.35516,0.15585,0.14628,0.04647,0.03203,0.46356,2.30168,0.45091,0.11385,0.53253,0.52374,3.64056,11.45864,0.24686,0.04011,0.0425,0.01832,0.07532,-1.54771,-2.05761
"35","2019_Q2",28.2295238095238,"Down",117625000,-77010000,40615000,-24313000,-17522000,-6791000,16302000,62000,-34000,96000,16364000,-2084000,14280000,-2861000,11419000,11419000,11419000,11419000,100708000,100708000,82326000,82326000,42521000,16670000,16670000,242225000,232731000,71057000,20901000,27063000,331783000,574008000,95428000,52884000,42544000,97504000,60406000,89611000,187115000,348035000,-353545000,488951000,-96548000,386893000,386893000,574008000,11419000,5924000,1518000,-9268000,9593000,-5274000,-5274000,-1310000,0,-2637000,-4796000,-477000,-477000,252000,-225000,22226000,60406000,10545000,0.34529,0.13859,0.09708,0.02951,0.01989,0.92346,2.48426,0.48364,0.10524,0.34807,0.34322,3.58536,11.793,0.32143,0.03993,0.02671,0.02213,0.11472,-1.81328,-2.47221
"36","2019_Q3",29.25703125,"Up",120683000,-79480000,41203000,-23332000,-17075000,-6257000,17871000,-1133000,-27000,-1106000,16738000,-789000,15949000,-4006000,11943000,11943000,11943000,11943000,105578000,105578000,84876000,84876000,43154000,16811000,16811000,250419000,230404000,71057000,19596000,26615000,330282000,580701000,94239000,50942000,43297000,96315000,53953000,88841000,185156000,349561000,-357698000,499585000,-95903000,395545000,395545000,580701000,11943000,5995000,2635000,-5982000,14591000,-4034000,-4034000,-1315000,1.86264514923096e-09,4.65661287307739e-10,-5467999.99999999,5089000,5089000,-219000,4870000,23866000,53953000,17856000,0.34142,0.14808,0.09896,0.03019,0.02057,1.4951,2.6,0.4681,0.09291,0.36413,0.35995,3.67947,12.05967,0.54441,0.04009,0.02737,0.03686,0.11011,-2.16312,-2.88876
"37","2019_Q4",28.476875,"Down",115651000,-78594000,37057000,-24580000,-17774000,-6806000,12477000,-2924000,-288000,-2636000,9553000,-2353000,7200000,-4478000,2722000,2722000,2722000,2722000,101199000,101199000,80789000,80789000,45425000,17616000,17616000,245029000,300336000,108142000,20990000,27251000,402972000,648001000,97874000,48434000,49440000,100551000,117338000,152256000,252807000,350650000,-360741000,501003000,-95718000,395194000,395194000,648001000,2722000,6119000,2083000,5627000,16551000,-5854000,-79442000,-1309000,62700000,-16000,58332000,-4559000,-4559000,180000,-4379000,18596000,117338000,22847000,0.32042,0.10788,0.02354,0.00689,0.0042,8.39346,2.43686,0.6397,0.18108,0.0834,0.08237,3.54345,12.1084,0.70001,0.04011,0.00736,0.04173,0.4809,0.86787,1.2935
"38","2020_Q1",26.7927419354839,"Down",115040000,-76340000,38700000,-24150000,-18037000,-6113000,14550000,446000,-562000,1008000,14996000,-2159000,12837000,-2775000,10062000,10062000,10062000,10062000,100241000,100241000,78008000,78008000,42237000,16992000,16992000,237478000,300838000,106056000,19795000,27690000,405876000,643354000,94161000,48219000,45942000,96948000,110624000,141187000,238135000,351621000,-364442000,509766000,-91726000,405219000,405219000,643354000,10062000,6581000,3939000,3088000,23670000,-6434000,-6752000,-1304000,-1.3e+07,-3999.99999999988,-18009000,-1091000,-1091000,133000,-958000,21131000,110624000,20560000,0.3364,0.12648,0.08747,0.02483,0.01564,2.04333,2.44954,0.58767,0.17195,0.30907,0.3056,3.5336,12.44683,0.63153,0.04005,0.0208,0.03763,0.1296,0.49136,0.71361
"39","2020_Q2",21.1285714285714,"Down",103075000,-70176000,32899000,-24167000,-16759000,-7408000,8732000,-2502000,-520000,-1982000,6230000,-240000,5990000,-2182000,3808000,3808000,3808000,3808000,150955000,150955000,71250000,71250000,45679000,15094000,15094000,282978000,300432000,106056000,20296000,28068000,402187000,685165000,90060000,46766000,43294000,93238000,163807000,194461000,287699000,349930000,-369746000,512276000,-94994000,397466000,397466000,685165000,3808000,6532000,2227000,-640000,11927000,-4570000,-4570000,-1299000,51500000,-1903000,42994000,50351000,50351000,363000,50714000,15264000,163807000,12236000,0.31918,0.08472,0.03694,0.00958,0.00556,3.21324,3.03501,0.72383,0.23908,0.11729,0.11612,3.17486,12.24253,0.37689,0.04001,0.00863,0.02067,0.34112,0.84198,1.47183
"40","2020_Q3",20.633125,"Down",84197000,-57630000,26567000,-20190000,-14668000,-5522000,6377000,-349000,-605000,256000,6028000,-135000,5893000,-1036000,4857000,4857000,4857000,4857000,145981000,145981000,59798000,59798000,44266000,14750000,14750000,264795000,299245000,106056000,21278000,27185000,398594000,663389000,74720000,32820000,41900000,77771000,153950000,184726000,262497000,350728000,-372522000,515841000,-93155000,400892000,400892000,663389000,4857000,6611000,583000,-254000,11797000,-2675000,-2675000,-1299000,-9899999.99999999,2.3283064365387e-10,-13975000,-4852999.99999999,-4852999.99999999,-121000,-4974000,12988000,153950000,11095000,0.31553,0.07574,0.05769,0.01212,0.00732,2.28433,3.4048,0.65478,0.23207,0.15055,0.14943,2.60979,12.42614,0.3439,0.04026,0.01051,0.01895,0.26745,0.61357,1.24965
"41","2020_Q4",29.30015625,"Up",113777000,-76871000,36906000,-22606000,-16883000,-5723000,14300000,977000,-640000,1617000,15277000,-1041000,14236000,-3163000,11073000,11073000,11073000,11073000,131740000,131740000,76431000,76431000,41492000,14020000,14020000,263683000,294393000,106056000,20595000,26501000,392170000,655853000,91970000,46739000,45231000,95119000,116798000,146768000,241887000,351772000,-372522000,525624000,-90908000,413966000,413966000,655853000,11073000,6676000,2008000,5816000,25573000,-3196000,-3196000,-1290000,-3.5e+07,-8000,-36298000,-13921000,-13921000,-320000,-14241000,20976000,116798000,26759000,0.32437,0.12568,0.09732,0.02675,0.01688,2.4166,2.77214,0.58432,0.17809,0.34319,0.34063,3.52633,12.83019,0.82935,0.03998,0.02205,0.04772,0.1165,-0.71234,-1.0449
"42","2021_Q1",32.6259016393443,"Up",123017000,-80326000,42691000,-25141000,-19477000,-5664000,17550000,2224000,-460000,2684000,19774000,-414000,19360000,-4412000,14948000,14948000,14948000,14948000,91773000,91773000,80981000,80981000,45870000,14607000,14607000,233231000,295381000,109497000,24250000,25871000,392818000,626049000,101638000,50489000,51149000,104932000,77763000,97435000,202367000,352844000,-372522000,539281000,-95921000,423682000,423682000,626049000,14948000,6851000,545000,5142000,27486000,-4417000,-12726000,-1291000,-51700000,-1063000,-54054000,-39294000,-39294000,-673000,-39967000,24401000,77763000,29538000,0.34703,0.14266,0.12151,0.03528,0.02388,1.97605,2.22269,0.47764,0.12421,0.46314,0.45947,3.81153,13.12725,0.9152,0.04,0.03116,0.05668,0.08637,-0.57416,-0.79829
"43","2021_Q2",34.1811111111111,"Up",128427000,-85836000,42591000,-24012000,-18325000,-5687000,18579000,-3709000,-353000,-3356000,14870000,-81000,14789000,-2799000,11990000,11990000,11990000,11990000,103392000,103392000,81571000,81571000,47558000,14115000,14115000,246636000,293181000,109468000,24192000,26088000,388029000,634665000,103439000,53315000,50124000,106710000,73510000,92239000,198949000,352624000,-372522000,549977000,-94363000,435716000,435716000,634665000,11990000,6800000,3220000,-1900000,20110000,-1638000,-1638000,-1291000,-4600000,-1402000,-7293000,11179000,11179000,440000,11619000,25379000,73510000,24640000,0.33164,0.14467,0.09336,0.02752,0.01889,2.05505,2.31127,0.4566,0.11582,0.37099,0.36757,3.97373,13.48173,0.7624,0.03995,0.02516,0.04667,0.10767,-1.17743,-1.60838
"44","2021_Q3",34.00875,"Down",129585000,-81889000,47696000,-26966000,-20937000,-6029000,20730000,-21180000,-251000,-20929000,-450000.000000004,-151000,-601000.000000004,1476000,875000,875000,875000,875000,117397000,117397000,80795000,80795000,48972000,16180000,16180000,263344000,290937000,109898000,23949000,25603000,383954000,647298000,98951000,47753000,51198000,102311000,72953000,90678000,192989000,354348000,-372522000,549553000,-77070000,454309000,454309000,647298000,875000,6712000,18824000,-7736000,18675000,-2332000,-2587000,-1294000,7.45058059692383e-09,-428000,-1722000,14366000,14366000,-361000,14005000,27442000,72953000,15898000,0.36807,0.15997,0.00675000000000001,0.00192999999999999,0.00135,18.16914,2.57396,0.4248,0.1127,0.02707,0.02682,4.00956,14.05703,0.49191,0.04004,0.00398,0.02917,1.47886,-1.61956,-2.14395
"45","2021_Q4",34.80765625,"Up",122382000,-76720000,45662000,-26376000,-19922000,-6454000,19286000,-108786000,-284000,-108502000,-89500000,-319000,-89819000,25923000,-63896000,-63896000,-63896000,-63896000,128527000,128527000,78210000,78210000,50867000,19845000,19845000,277449000,281991000,109798000,24663000,24656000,374524000,651973000,101718000,48976000,52742000,105072000,72262000,89527000,194599000,355309000,-377461000,484368000,-4842000,457374000,457374000,651973000,-63896000,6719000,79178000,-669000,21332000,-4170000,-4170000,-1297000,0,-160000,-6396000,10766000,10766000,364000,11130000,26005000,72262000,-4757000,0.37311,0.15759,-0.5221,-0.1397,-0.098,0.07445,2.64056,0.42547,0.11084,-1.97338,-1.97338,3.77967,14.12564,-0.14692,0.04006,-0.11446,-0.0087,-0.0203,-2.16362,-2.9174
"46","2022_Q1",34.8167741935484,"Up",132531000,-83861000,48670000,-29099000,-23413000,-5686000,19571000,-3684000,-383000,-3301000,15887000,-1136000,14751000,-5586000,9164999.99999999,9164999.99999999,9164999.99999999,9164999.99999999,141465000,141465000,82191000,82191000,49506000,15927000,15927000,289089000,278497000,109798000,25415000,24014000,375373000,664462000,110673000,55537000,55136000,114066000,71354000,86818000,200884000,357169000,-381308000,492242000,-4525000,463578000,463578000,664462000,9164999.99999999,6699000,6516000,3644000,26024000,-7501000,-7501000,-1291000,0,-163000,-5301000,13222000,13222000,-284000,12938000,26270000,71354000,27999000,0.36723,0.14767,0.0691499999999999,0.01977,0.01379,3.05499,2.5344,0.43333,0.10739,0.28305,0.28305,4.09312,14.31724,0.86473,0.03987,0.019,0.05087,0.14086,-2.66886,-3.58239
"47","2022_Q2",36.1341935483871,"Up",147695000,-93355000,54340000,-27982000,-21788000,-6194000,26358000,-3e+05,-366000,66000,26058000,-312000,25746000,-5507000,20239000,20239000,20239000,20239000,126118000,126118000,95107000,95107000,52454000,18366000,18366000,292045000,295660000,117524000,23828000,42577000,392701000,684746000,111518000,60010000,51508000,115040000,72712000,89528000,204568000,357654000,-385228000,511197000,-3445000,480178000,480178000,684746000,20239000,6749000,3221000,-10923000,19286000,-3400000,-27884000,-1289000,0,-1563000,-6772000,-15370000,-15370000,23000,-15347000,33107000,72712000,24291000,0.36792,0.17846,0.13703,0.04215,0.02956,1.20021,2.53864,0.42603,0.10619,0.62827,0.62404,4.58481,14.90588,0.75405,0.04001,0.03779,0.04264,0.06369,-1.61313,-2.02618
"48","2022_Q3",40.07140625,"Up",144982000,-93134000,51848000,-28532000,-22238000,-6294000,23316000,-5764000,-339000,-5425000,17552000,-630000,16922000,-4324000,12598000,12598000,12598000,12598000,98739000,98739000,98949000,98949000,64158000,16704000,16704000,278550000,351447000,139617000,23401000,41745000,451084000,729634000,111764000,60662000,51102000,115376000,112878000,128311000,243687000,359087000,-392976000,522506000,-2670000,485947000,485947000,729634000,12598000,7016000,2905000,-6453000,16066000,-3591000,-75635000,-1287000,41027000,-828000,31164000,-28405000,-28405000,1026000,-27379000,30332000,112878000,24612000,0.35762,0.16082,0.08689,0.02592,0.01727,1.95364,2.41428,0.50147,0.1547,0.39321,0.39072,4.52517,15.16736,0.76819,0.04017,0.0226,0.04007,0.10216,0.46614,0.60641
