"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",41.1029508196721,"Down",246926000,243534000,281985000,-38451000,3392000,5616000,5376000,-8e+06,238926000,-109162000,-6844000,-102318000,129764000,129764000,139967000,-20869000,119098000,119098000,119098000,119098000,498572000,4305609000,17557912000,-152717000,17710629000,119474000,9260000,328764000,23109486000,19177447000,11721306000,7456141000,851458000,444436000,20495752000,1417734000,1282705000,-33622000,2613734000,2613734000,23109486000,119098000,3840000,8e+06,-11617000,25399000,144720000,6419000,-114217000,-40205000,-1071243000,492447000,-36234000,268852000,724527000,-201996000,-201996000,-201996000,133604000,873869000,186291000,0.52552,0.48232,0.04557,0.00515,1.56418,7.84156,0.03781,1.13766,1.13116,2.35871,24.96713,1.7795,0.00515,0.00806,2.80903,2.89215
"35","2019_Q2",41.6485714285714,"Up",259912000,247336000,291168000,-43832000,12576000,5412000,7164000,-3500000,256412000,-112914000,-7532000,-105382000,143498000,143498000,146332000,-25536000,120796000,120796000,120796000,120796000,785611000,4264811000,17961761000,-154987000,18116748000,119827000,8873000,362068000,23792846000,20208740000,12529379000,7679361000,373996000,474349000,21072226000,1390579000,1399215000,-8191000,2720620000,2720620000,23792846000,120796000,4209000,3500000,17958000,4851000,151314000,-3152000,63278000,-26114000,-351485000,-498270000,-37913000,1031293000,487210000,287039000,287039000,287039000,147707000,389137000,174942000,0.5521,0.46476,0.0444,0.00508,1.44824,7.74538,0.01636,1.16113,1.15622,2.49836,26.15151,1.6816,0.00508,0.00735,-2.68419,-2.76292
"36","2019_Q3",42.228125,"Up",267327000,254681000,302848000,-48167000,12646000,5821000,6825000,-7e+06,260327000,-114213000,-11105000,-103108000,146114000,146114000,147686000,-24750000,122936000,122936000,122936000,122936000,1067707000,4373107000,19089841000,-160409000,19250250000,123084000,8486000,362665000,25314785000,21439899000,12762611000,8677288000,387232000,622469000,22463521000,1372047000,26381000,1513970000,2851264000,2851264000,25314785000,122936000,4589000,7e+06,15602000,28839000,178966000,-6012000,2746000,-1474642000,-1092694000,-1220000,-33964000,1231159000,1195824000,282096000,282096000,282096000,150703000,401153000,198280000,0.54657,0.45987,0.04312,0.00486,1.61287,7.87844,0.01585,1.1934,1.18784,2.59508,27.67868,1.92481,0.00486,0.00783,-4.42296,-4.56188
"37","2019_Q4",48.053125,"Up",290269000,266422000,315608000,-49186000,23847000,5888000,17959000,-4803000,285466000,-122296000,-8248000,-114048000,163170000,163170000,155908000,-28533000,127375000,127375000,127375000,127375000,872059000,4663421000,19966037000,-165021000,20131058000,125063000,8099000,399671000,26324245000,22440814000,13685143000,8755671000,388856000,556530000,23401182000,1368201000,35599000,1581928000,2923063000,2923063000,26324245000,127375000,6106000,4803000,5096000,60845000,204225000,-6118000,-291073000,1411682000,-1330995000,1061000,-43639000,1000915000,931122000,-195648000,-195648000,-195648000,169276000,403838000,252536000,0.56213,0.43882,0.04358,0.00484,1.98262,8.00571,0.01534,1.24846,1.24348,2.84505,28.65018,2.47521,0.00484,0.00959,-2.76602,-2.86953
"38","2020_Q1",45.1561290322581,"Down",287992000,271961000,315376000,-43415000,16031000,11279000,4752000,-3997000,283995000,-128777000,-10115000,-118662000,155218000,155218000,154274000,-26181000,128093000,128093000,128093000,128093000,434600000,4641800000,20933700000,-167800000,21101500000,125800000,297600000,388400000,26821900000,22796500000,14258600000,8537900000,393600000,598399000,23805199000,1374100000,2.5e+07,1680300000,3016700000,3016700000,26821899000,128093000,3596000,3997000,8844000,38765000,183295000,-18518000,-35151000.0000001,89073999.9999995,-947826000,1728999.99999997,-4683999.99999999,355633000,327044000,-437487000,-437487000,-437487000,158814000,410300000,205242000,0.53897,0.44478,0.04246,0.00478,1.60229,7.89114,0.0153,1.26081,1.25424,2.83468,29.6931,2.02018,0.00478,0.00765,-0.15301,-0.15655
"39","2020_Q2",33.2892063492064,"Down",274100000,2.69e+08,307200000,-38200000,5100000,6400000,-1300000,-51200000,222900000,-121899999,-10400000,-111499999,101000001,101000001,102400001,-18500000,83900001,83900001,83900001,83900001,415710000,4974109000,22909939000,-235329000,23145268000,125889000,297234000,435346000,29158227000,24830681000,14944153000,9886528000,697893000,607040000,26158594000,1370554000,37497000,1661768000,2999633000,2999633000,29158227000,83900000,5400000,51200000,22500001,-3.9e+07,124000001,-11500000,-355900000,-37400000,-2395900000,314300000,-62500000,2034200000,2.253e+09,-18899999,-18899999,-18899999,106400001,720873000,74400001,0.36848,0.30609,0.02797,0.00288,0.88677,8.7206,0.02472,0.828,0.82518,2.70508,29.6032,0.73425,0.00376,0.00255,2.86807,3.02142
"40","2020_Q3",34.09703125,"Up",319700000,298400000,318200000,-19800000,21300000,5100000,16200000,-9.2e+07,227700000,-114800001,-10700000,-104100001,112899999,112899999,112899999,-19600000,93299999,93299999,93299999,93299999,1518463000,4840772000,24698665000,-310550000,25009215000,127818000,296860000,423818000,31906396000,27544586000,15308611000,12235975000,627729000,606231000,28803982000,1376869000,73677000,1722451000,3102414000,3102414000,31906396000,93300000,4100000,9.2e+07,-21900001,-8100000,159399999,-1800000,193999999,-19500000,-1662300001,-73400000,-9200000,2713900000,2605700000,1102799998,1102799998,1102799998,116999999,653165000,126699999,0.35314,0.29184,0.03007,0.00292,1.35798,9.28438,0.02047,0.93494,0.93307,3.20366,31.0888,1.26964,0.00371,0.00397,-7.39571,-7.66429
"41","2020_Q4",46.9296875,"Up",305300000,284700000,304800000,-20100000,20600000,5900000,15700000,-14600000,290700000,-123999999,-1e+07,-113999999,166700001,166700001,166600001,-30800000,135800001,135800001,135800001,135800001,1418735000,5358334000,25682694000,-310560000,25993254000,128256000,298987000,448500000,33335506000,28843396000,15830382000,13013014000,628772000,619604000,30111460000,1383547000,78585000,1833012000,3224046000,3224046000,33335506000,135800000,7600000,14600000,7600000,1100000,166700000,-12700000,-500499999,-40500000,-1533699999,-6e+06,1e+05,1298800000,1267200001,-99799998,-99799998,-99799998,174300001,648460000,193500001,0.54602,0.44481,0.04212,0.00407,1.42489,9.33965,0.01945,1.36009,1.35727,3.05771,32.29019,1.93798,0.00255,0.0058,-4.41925,-4.62073
"42","2021_Q1",80.1154098360656,"Up",338600000,314800000,331600000,-16800000,23800000,9700000,13100000,34200000,372800000,-132400001,-11100000,-121300001,240399999,240399999,240599999,-4.7e+07,193599999,193599999,193599999,193599999,2671700000,6086700000,26774100000,-278900000,2.7053e+10,134100000,298500000,495900000,3.6461e+10,31930500000,18467200000,13463300000,569700000,547300000,33047500000,1390900000,92300000,2001400000,3413500000,3413500000,3.6461e+10,193600000,5800000,-34200000,33300000,21600000,220100000,-8e+05,-9.57e+08,103300000,-1945600000,-83699999.9999999,-7.45058059692383e-09,3087100000,2978499999,1252999999,1252999999,1252999999,246199999,569700000,313999999,0.70998,0.57177,0.05672,0.00531,1.6219,9.68141,0.01562,1.93922,1.93063,3.39163,34.19176,3.14522,0.00531,0.00861,-8.53777,-8.74376
"43","2021_Q2",96.1563492063492,"Up",336999999,317299999,334099999,-16800000,19700000,5200000,14500000,32400000,369399999,-135300000,-10100000,-125200000,234099999,234099999,234399999,-41900000,192499999,192499999,192499999,192499999,5346500000,8.554e+09,28463900000,-247100000,2.8711e+10,138400000,384405531.783056,596200000,4.3397e+10,38393100000,20850300000,17542800000,548700000,726600000,39684300000,1608200000,19900000,2168600000,3712700000,3712700000,4.3397e+10,192500000,6e+06,-32400000,23100000,-89100000,100100000,-10400000,-2437400000,473211401.583052,-4058900000,-1e+05,209200000,6462600000,6633600000,2674800000,2674800000,2674800000,240099999,564600000,182499999,0.69466,0.57122,0.05185,0.00444,0.94805,10.6888,0.01301,1.90972,1.89842,3.34325,36.83234,1.81052,0.00444,0.00421,-19.91628,-20.42674
"44","2021_Q3",94.71953125,"Down",506400001,370500001,398500001,-2.8e+07,135900000,8900000,15800000,14500000,520900001,-246300000,-1.4e+07,-232300000,274600001,274600001,276200001,-52400000,223800001,223800001,223800001,223800001,3395800000,12978500000,29793500000,-232900000,30026400000,150200000,514698966.726363,2140300000,4.9069e+10,4.1921e+10,21815400000,20105600000,1755400000,1358100000,45034500000,1687600000,64500000,2366600000,4034500000,4034500000,4.9069e+10,223800000,9e+06,-14500000,-1502700000,60800000,-1223600000,-3200000,-10999999.9999995,777600000,-2162700000,-2136200000,69800000.0000001,3527900000,1435600000,-1950700000,-1950700000,-1950700000,283600001,1755400000,393600001,0.54226,0.44194,0.05547,0.00456,1.75871,11.16235,0.03577,2.22024,2.2071,5.02381,40.0248,3.90476,0.00456,0.00802,-5.7842,-5.97378
"45","2021_Q4",109.8478125,"Up",548500000,410400000,442800000,-32400000,138100000,7100000,7500000,-12300000,536200000,-233800000,-27599884.2747713,-233800000,302400000,302400000,302400000,-65500000,236900000,236900000,236900000,236900000,917900000,14918200000,3.4555e+10,-246900000,34801900000,161200000,608400000,1614400000,52775100000,45282600000,24224400000,21058200000,2068400000,910100000,48261100000,1695800000,42600000,2.567e+09,4.514e+09,4.514e+09,52775100000,236900000,10600000,12300000,-2414600000,9300000,-2145500000,-18200000,98900000,334500000,-4446400000,496100000,294500000,3361600000,4.114e+09,-2477900000,-2477900000,-2477900000,3.13e+08,2068400000,369600000,0.55132,0.43191,0.05248,0.00449,1.56015,10.69143,0.03919,2.28008,2.26699,5.27911,40.61116,3.55727,0.00615,0.007,3.67572,3.80456
"46","2022_Q1",95.8248387096774,"Down",561100000,450600000,483300000,-32700000,110500000,-10500000,29500000,-13200000,547900000,-233600000,-34500000,-199100000,314300000,314300000,3.1e+08,-6.4e+07,2.46e+08,2.46e+08,2.46e+08,242500000,5.16e+08,1.3988e+10,3.8823e+10,-2.52e+08,3.9075e+10,1.82e+08,6.35e+08,1.839e+09,5.5983e+10,4.7612e+10,2.6259e+10,2.1353e+10,2.398e+09,1.01e+09,5.102e+10,2.261e+09,2.773e+09,1.6e+07,4.963e+09,4.963e+09,5.5983e+10,2.46e+08,8100000,13200000,502600000,-154900000,6.15e+08,-37600000,1396400000,-1112100000,-4043900000,477900000,261300000,2329400000,3027400000,-401500000,-401500000,-401500000,322400000,2.398e+09,193900000,0.56015,0.43219,0.04886,0.00433,0.79959,10.28007,0.04283,2.33397,2.32057,5.40038,47.76708,1.86622,0.00277,0.00346,5.83747,5.98791
"47","2022_Q2",75.2567741935484,"Down",555799999,449500000,484500000,-3.5e+07,106299999,4e+05,68999999,-9e+06,546799999,-248500000,-2.4e+07,-224500000,298299999,298299999,298199999,-58100000,240099999,240099999,240099999,236899999,2602300000,1.3947e+10,40861500000,-257600000,41119100000,196300000,698200000,2270800000,60576100000,52159500000,28639100000,23520400000,1726600000,1678400000,55564500000,2083699999,-235100000,2972600000,5011599999,5011599999,60576099999,240100000,11100000,9e+06,401600000,-38900000,622900000,-26200000,-583799999,24100000,-2597599999,-5.24e+08,94900000,4547500000,4060600000,2085900001,2085900001,2085900001,309399999,1726600000,302399999,0.5367,0.42623,0.04727,0.00391,1.27649,11.08718,0.0285,2.28008,2.26699,5.34937,45.40038,2.91049,0.00391,0.00499,-2.83032,-2.93564
"48","2022_Q3",74.86703125,"Down",613300000,5.25e+08,579600000,-54600000,88300000,14200000,-50899999,-27500000,585800000,-269200000,-25100000,-244100000,316600000,316600000,323600000,-63400000,260200000,260200000,260200000,2.57e+08,1.886e+09,1.2507e+10,4.8299e+10,-2.73e+08,4.8572e+10,2.1e+08,6.95e+08,2.458e+09,6.6055e+10,5.3712e+10,2.9991e+10,2.3721e+10,6.101e+09,1.283e+09,6.1096e+10,2.095e+09,-5.18e+08,3.191e+09,4.959e+09,4.959e+09,6.6055e+10,260200000,11700000,27500000,52999999.9999999,-15300000,337100000,-21200000,-1421200001,339700000,-7095500001,4517800000,12800000,1552600000,6041900000,-716500001,-716500001,-716500001,328300000,6.101e+09,355200000,0.51622,0.41904,0.05182,0.00389,1.3821,12.32023,0.09236,2.39515,2.38626,5.71575,43.46692,3.31034,0.00389,0.00538,12.83887,13.31333
