"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2019_Q2",70.5587301587302,"Up",578410000,-272394000,306016000,-303821000,-303821000,2195000.00000001,-46855000,-46855000,-44660000,-44660000,3490000,-41170000,-39008000,-3479000,-42487000,-42487000,645610000,645610000,83658000,83658000,82686000,82686000,811954000,136570000,66913000,490575000,42659000,324579000,123337000,694058000,1506012000,794100000,25312000,768788000,794100000,164672000,164672000,369516000,1163616000,2248692000,-1052986000,37915000,341075000,1321000,342396000,1506012000,-41170000,-39008000,28416000,60994000,-195723000,-147483000,-18115000,-4373847.59635728,-18115000,0,-15367000,-27777000,-193375000,-193375000,-3381000,-196756000,30611000,204844000,-186717000,0.52906,0.00379000000000002,-0.07345,-0.12409,-0.02821,4.39469,1.02248,3.39845,0.13602,-1.49052,-1.49052,20.2917,11.96555,-6.55038,-0.05968,-0.26228,-14.39894,-200.80456
"31","2019_Q3",58.78125,"Down",532577000,-240445000,292132000,-299271000,-299271000,-7139000,-28494000,-28494000,-35633000,-35633000,-2012000,-37645000,-37645000,-2601000,-40246000,-40246000,596837000,596837000,74706000,74706000,91056000,91056000,762599000,134672000,39301000,502636000,38996000,324705000,138935000,676609000,1439208000,749703000,26968000,722735000,749703000,175266000,175266000,383366000,1133069000,2271676000,-1093232000,34485000,305330000,809000,306139000,1439208000,-37645000,-37645000,27116000,57756000,-48446000,-1219000,-17235000,0,-17235000,-2334000,-14126000,-31581000,-50035000,-50035000,1626000,-48409000,19977000,208100000,-43692000,0.54853,-0.0134,-0.07557,-0.13146,-0.02796,1.08562,1.0172,3.70116,0.14459,-1.41728,-1.41728,18.75492,10.75232,-1.53863,-0.05837,-0.06337,-19.45923,54.45258
"32","2019_Q4",55.4796875,"Down",495612000,-217672000,277940000,-273303000,-273303000,4637000,-17253000,-17253000,-12616000,-12616000,-2069000,-14685000,-14685000,-2e+06,-16685000,-16685000,567285000,567285000,56094000,56094000,81667000,81667000,705046000,133071000,38124000,494461000,36497000,319557000,138407000,665656000,1370702000,688766000,21485000,667281000,688766000,169369000,169369000,380810000,1069576000,2294076000,-1109917000,38877000,300370000,756000,301126000,1370702000,-14685000,-14685000,25873000,23326000,-15930000,18584000,-19541000,0,-19541000,-50000,-10037000,-22595000,-23552000,-23552000,-7398000,-30950000,30510000,211441000,-2892000.00000003,0.5608,0.00936,-0.03367,-0.05541,-0.01217,0.17333,1.02364,3.55192,0.15426,-0.58855,-0.58855,17.48222,10.59525,-0.10201,-0.02447,-0.00424000000000004,-11.66319,-76.74013
"33","2020_Q1",39.393064516129,"Down",612316000,-302275000,310041000,-269905000,-269905000,40136000,39273000,39273000,79409000,79378000,-170000,79208000,79643000,-2602000,77041000,99418000,750887000,750887000,54953000,54953000,82073000,82073000,887913000,124950000,76576000,497304000,35292000,325017000,136995000,698830000,1586743000,821547000,20415000,801132000,821547000,155281000,155281000,370150000,1191697000,2310397000,-1032876000,39081000,393936000,1110000,395046000,1586743000,79208000,79643000,24360000,-17685000,115518000,201401000,-12437000,-3738000,-12700000,0,-5074000,-10666000,178035000,178035000,6009000,184044000,64496000,214869000,167747000,0.50634,0.06555,0.16236,0.25166,0.06266,1.68729,1.08078,3.0166,0.13542,3.52162,3.52162,21.68967,13.95414,5.94199,0.12992,0.21922,-8.31087,-13.35504
"34","2020_Q2",22.2501587301587,"Down",374150000,-172903000,201247000,-267265000,-267265000,-66018000,-18987000,-18987000,-85005000,-216848000,5988000,-210860000,-210478000,-3044000,-213522000,-213522000,666867000,666867000,45430000,45430000,67103000,67103000,779400000,103318000,33699000,366189000,33096000,211255000,121838000,503206000,1282606000,579221000,26061000,553160000,729221000,143493000,143493000,361878000,1091099000,2323221000,-1246477000,37120000,191198000,309000,191507000,1282606000,-210860000,-210478000,25909000,157457000,-208914000,-236408000,-10596000,-1445000,19564000,1.5e+08,-8688000,141312000,-75532000.0000001,-75532000,-9174000,-84705999.9999999,-40109000,368385000,-265607000,0.53788,-0.17645,-0.57069,-1.11496,-0.16648,1.24393,1.06881,5.69744,0.28722,-7.5276,-7.5276,13.19045,6.74058,-9.36383,-0.30356,-0.37761,7.44177,4.52122
"35","2020_Q3",23.32015625,"Up",395646000,-258420000,137226000,-168867000,-168867000,-31641000,-1695000,-1695000,-33336000,-73808000,696000,-73112000,-73112000,995000,-72117000,-72117000,784688000,784688000,54583000,54583000,52088000,52088000,891359000,90331000,34403000,353226000,31977000,211718000,109531000,477960000,1369319000,686903000,45143000,641760000,886903000,142940000,142940000,364932000,1251835000,2329603000,-1318594000,29488000,117831000,-347000,117484000,1369319000,-73112000,-73112000,24434000,26053000,109737000,87112000,-14321000,-1247000,-14344000,5e+07,-3887000,42862000,115630000,114406000,3450000,117856000,-7207000,421992000,87513000,0.34684,-0.07997,-0.18228,-0.61385,-0.05267,-1.21349,1.00502,10.65537,0.30818,-2.53154,-2.53154,13.88846,4.13625,3.07199,-0.10091,0.12824,50.32552,11.46285
"36","2020_Q4",27.46359375,"Up",304019000,-143997000,160022000,-155643000,-155643000,4379000,-867000,-867000,3512000,-17047000,485999.999999999,-16561000,-16561000,291000,-16270000,285639000,778967000,778967000,45451000,45451000,51958000,51958000,876376000,88488000,35911000,349043000,30965000,213009000,105069000,473442000,1349818000,681364000,42210000,639154000,881364000,144238000,144238000,369931000,1251295000,2338436000,-1334864000,17702000,98608000,-84999.9999999999,98523000,1349818000,-16561000,-16561000,18023000,15376000,-12046000,4791999.99999994,-11745000,-724000,-12469000,-1148000,-5720000,-3616999.99999999,-11294000.0000001,-11294000,5008000,-6286000,22402000,425693000,-1875000.00000006,0.52636,0.0144,0.93954,2.89921,0.21161,-0.00655999999999946,0.99434,12.70054,0.31537,9.93404,9.93404,10.57326,3.42942,-0.06521,0.42245,-0.0028,-15.76975,-80.67458
"37","2021_Q1",43.2870491803279,"Up",343053000,-164254000,178799000,-165944000,-165944000,12855000,4581000,4581000,17436000,13637000,334000,13971000,13971000,7000,13978000,0,850587000,850587000,42998000,42998000,40441000,40441000,934026000,85284000,37671000,354526000,30151000,214699000,98083000,477481000,1411507000,738988000,33026000,705962000,938988000,44428000,44428000,364845000,1303833000,2348118000,-1320886000,3109000,107675000,-1000,107674000,1411507000,13971000,13971000,19156000,9192000,38587000,80906000,-12049000,-824000,-12873000,-538000,-3221000,-3759000,64274000,64274000,7290000,71564000,32011000,520417000,58215000,0.5212,0.03747,0,0,0,-5.59585674263237,0.99472,12.10908,0.3687,0,0,11.90731,3.73738,2.02063,0,0.08656,-10.31427,-25.68417
"38","2021_Q2",47.0519047619048,"Up",263817000,-96834000,166983000,-160809000,-160809000,6174000,18123000,18123000,24297000,16875000,-2427000,14448000,14448000,110000,14558000,14558000,676799000,676799000,45402000,45402000,41261000,41261000,763462000,82521000,36008000,520046000,28684000,217364000,273998000,638575000,1402037000,666891000,38609000,628282000,766891000,44003000,44003000,569526000,1336417000,2261099000,-1258283000,-14455000,65695000,-75000,65620000,1402037000,14448000,14448000,17019000,-25049000,-52823000,-46405000,-12040000,-704000,-12744000,93428000,-30810000,62618000,3469000.00000003,3469000,-7466000,-3997000,23193000,625523000,-39243000,0.63295,0.0234,0.05518,0.22185,0.01038,-2.69563,0.99553,20.366,0.44615,0.501510000000001,0.481010000000002,9.08821,2.26312,-1.35188,0.0198,-0.05338,-2.21084,-8.30515
"39","2021_Q3",29.57234375,"Down",265958000,-72015000,193943000,-181689000,-181689000,12254000,-2927000,-2927000,9327000,-4918000,1789000,-3129000,-3129000,-253000,-3382000,-3382000,565033000,565033000,37433000,37433000,44886000,44886000,647352000,80628000,36472000,344088000,27528000,217764000,98796000,461188000,1108540000,612748000,39943000,572805000,712748000,42604000,42604000,339956000,1052704000,2257617000,-1261665000,-17730000,55556000,280000,55836000,1108540000,-3129000,-3129000,18971000,9682000,-59889000,-34365000,-12420000,-1048000,-9223000,-225342000,-19713000,-245055000,-288643000,-288643000,7466000,-281177000,31225000,397352000,-42873000,0.72922,0.04607,-0.01272,-0.06057,-0.00305,12.67682,0.90825,18.8535,0.35845,-0.11651,-0.11174,9.16196,1.91384,-1.47693,-0.00682,-0.08647,-5.37009,-13.68378
"40","2021_Q4",23.33578125,"Down",214171000,-32732000,181439000,-172653000,-172653000,8786000,82533000,82533000,91319000,78836000,-135000,78701000,78701000,-594000,78107000,78107000,476782000,476782000,34383000,34383000,50427000,50427000,561592000,78114000,122934000,325231000,25810000,216899000,82522000,526279000,1087871000,508314000,36666000,471648000,608314000,40657000,40657000,330060000,938374000,2266493000,-1183558000,-10976000,149293000,204000,149497000,1087871000,78701000,-9363484.73296743,17617000,-79662000,-90832000,-74176000,-13405000,-739000,-11530000,167000.00000006,1802000,1968999.99999994,-83737000,-83737000,-4894000,-88631000,26403000,389403000,-77699000,0.84717,0.04102,0.36469,0.52247,0.0718,-0.994779999999999,0.92319,6.27688,0.35795,2.64162,2.34102,7.24339,5.04917,-2.62782,0.13477,-0.13407,-3.30943,-9.94525
"41","2022_Q1",22.2337096774194,"Down",223162000,-28411000,194751000,-184725000,-184725000,10026000,-5049000,-5049000,4977000,-2768000,33096000,30328000,30328000,-943000,29385000,-89283000,498726000,498726000,36755000,36755000,52570000,52570000,588051000,73581000,119541000,376708000,24310000,216393000,73060000,569830000,1157881000,530987000,22165000,508822000,630987000,34448000,34448000,316598000,947585000,2294219000,-1156868000,-4813000,209872000,424000,210296000,1157881000,30328000,-13496426.648252,19212000,-24431000,5879000,30988000,-11765000,-640000,-12314000,0,-3382000,-3382000,15292000,15292000,6911000,22203000,29238000,382150000,-9744000,0.87269,0.04493,-0.40008,-0.42456,-0.07711,0.10914,0.93195,4.50596,0.33004,-3.0196,-2.67598,7.54747,7.09799,-0.32955,-0.14242,-0.01554,-3.98714,-11.62737
"42","2022_Q2",16.421935483871,"Down",153320000,-19319000,134001000,-165836000,-165836000,-31835000,-4880000,-4880000,-36715000,-37027000,2675000,-34352000,-34352000,-5e+05,-34852000,-34852000,403006000,403006000,52229000,52229000,53934000,53934000,509169000,70575000,119541000,369868000,22801000,215755000,68635000,559984000,1069153000,479281000,29155000,450126000,579281000,30583000,30583000,305030000,884311000,2300562000,-1191720000,-1444000,184732000,110000,184842000,1069153000,-34352000,-34352000,17369000,7506000,-68687000,-78164000,-13001000,-915000,-13916000,-92641304.0755336,-2964000,-2963999.99999999,-95044000,-95044000,-771000.000000002,-95815000,-14466000,374447000,-98829000,0.874,-0.20764,-0.22732,-0.18855,-0.0326,2.83568,0.87897,4.78415,0.35023,-1.17736,-1.04388,5.17941,6.24057,-3.33861,-0.05908,-0.16754,1.97422,0.89709
"43","2022_Q3",10.8790625,"Down",153216000,-19244000,133972000,-153310000,-153310000,-19338000,-21340000,-21340000,-40678000,-87852000,-2398000,-90250000,-90250000,-977000,-91227000,-91227000,315595000,315595000,44924000,44924000,50018000,50018000,410537000,63663000,119541000,322709000,20752000,178685000,62357000,505913000,916450000,433936000,27904000,406032000,493936000,31530000,31530000,300429000,794365000,2308180000,-1282947000,19374000,121941000,144000,122085000,916450000,-90250000,-90250000,16494000,53987000,-10423000,-30192000,-9148000,-631000,-9779000,-4e+07,-8048000,-48048000,-88019000,-88019000,771000,-87248000,-2844000,328899000,-20017000,0.8744,-0.12621,-0.59541,-0.74724,-0.09954,0.21942,0.83115,6.50666,0.35888,-3.03693,-3.03693,5.10053,4.05939,-0.66636,-0.18907,-0.04148,-4.67792,-0.68797
