"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q4",2.91171875,"Down",11805000,-6699000,5106000,-4811000,-4811000,295000,-52000,33000,-85000,243000,-15000,238000,238000,238000,238000,8825000,8825000,2871000,2871000,14450000,1792000,1792000,27938000,4134000,6692000,3911000,2781000,12931000,40869000,8779000,6854000,1672000,1671000,281000,1390000,10790000,5062000,5062000,5062000,15852000,34394000,-4482000,25017000,25017000,40869000,238000,321000,72000,1701000,2332000,-839000,-839000,-253000,-83000,1410000,1410000,1410000,616000,340000,0.43253,0.02499,0.02016,0.00951,0.00582,2.58925,0.63365,0.00832,0.01875,0.01875,0.92984,1.9705,0.01621,-13.77435,-28.76271
"38","2020_Q1",2.21806451612903,"Down",7357000,-4950000,2407000,-4789000,-4789000,-2382000,10000,16000,-6000,-2372000,-1842000,-1309000,-1309000,-1309000,-1309000,4676000,4676000,3964000,3964000,13513000,1733000,1733000,23886000,3964000,7455000,4373000,3082000,14054000,37940000,8560000,5310000,2998000,369000,369000,1283639.52116257,9376000,4960000,4960000,5288000,14664000,34452000,-6043000,23276000,23276000,37940000,-1309000,323000,-994000,-1505000,-3485000,-154000,-154000,-238000,-510000,-4149000,-4149000,-4149000,-2059000,775000,0.32717,-0.32377,-0.17793,-0.05624,-0.0345,2.54757,0.63001,0.02043,-0.10354,-0.10354,0.58192,1.84107,-0.0364,1.89461,1.63770000000002
"39","2020_Q2",2.52396825396825,"Up",10889000,-6994000,3895000,-4743000,-4743000,-848000,-38000,9000,-47000,-886000,-1192000,-1192000,-1192000,-1192000,-1192000,4946000,4946000,4590000,4590000,10937000,1802000,1802000,22275000,3775000,7333000,4373000,2960000,13437000,35712000,6533000,4836000,1447000,1561000,462000,1099000,8565000,5505000,5505000,5505000,14070000,34503000,-7485000,21642000,21642000,35712000,-1192000,320000,395000,1392000,915000,-131000,-131000,-243000,-514000,270000,270000,270000,-528000,471000,0.3577,-0.07788,-0.10947,-0.05508,-0.03338,2.6007,0.65012,0.01319,-0.09494,-0.09494,0.8673,1.72376,-0.03404,8.47538,5.27712
"40","2020_Q3",2.9440625,"Up",9937000,-5609000,4328000,-4364000,-4364000,-36000.0000000001,-38000,-6000,-32000,-74000,-274000,-302000,-302000,-302000,-302000,6939000,6939000,3583000,3583000,9527000,1408000,1408000,21457000,3828000,7196000,4344000,2852000,13153000,34610000,6047000,4472000,1325000,1467000,556000,911000,8011000,5439000,5439000,5439000,13450000,34601000,-8039000,21160000,21160000,34610000,-302000,341000,360000,2283000,2682000,-394000,-394000,-26000,-295000,1993000,1993000,1993000,305000,497000,0.43554,-0.00362000000000001,-0.03039,-0.01427,-0.00873,2.67844,0.63563,0.01436,-0.02417,-0.02417,0.79523,1.69338,-0.00192,-21.12131,178.94444
"41","2020_Q4",2.821875,"Down",12760000,-7713000,5047000,-4158000,-4158000,889000,-72000,-7000,-65000,817000,526000,524000,524000,524000,524000,6381000,6381000,5778000,5778000,8426000,1455000,1455000,22040000,3701000,7407000,4272000,3135000,12946000,34986000,5467000,3129000,2088000,1578000,667000,911000,7622000,5719000,5719000,5719000,13341000,34658000,-7611000,21645000,21645000,34986000,524000,344000,491000,-1431000,-72000,-217000,-217000,0,-269000,-558000,-558000,-558000,1233000,577000,0.39553,0.06967,0.04107,0.02421,0.01498,2.89163,0.61635,0.01649,0.0419,0.0419,1.0204,1.73091,0.0277,-4.70722,-6.52868
"42","2021_Q1",3.77754098360656,"Up",10553000,-5793000,4760000,-3771000,-3771000,989000,-29000,-4000,-25000,960000,1137000,1164000,1164000,1164000,1164000,6826000,6826000,6466000,6466000,10545000,1878000,1878000,25715000,3566000,7299000,4300000,2999000,12879000,38594000,8102000,5119000,2733000,1282000,757000,525000,9466000,5253000,5253000,5500000,14966000,34723000,-5693000,23628000,23628000,38594000,1164000,339000,-88000.0000000001,-496000,919000,-204000,-204000,2.3283064365387e-10,-270000,445000,445000,445000,1328000,329000,0.45106,0.09372,0.1103,0.04926,0.03016,2.71656,0.6334,0.00852,0.09197,0.09174,0.83382,1.86691,0.04841,-4.89232,-6.56926000000003
"43","2021_Q2",3.79396825396825,"Up",8564000,-5444000,3120000,-3973000,-3973000,-853000,-22000,-4000,-18000,-875000,-670000,-670000,-670000,-670000,-670000,6363000,6363000,4566000,4566000,10511000,1821000,1821000,23261000,4299000,7107000,4300000,2807000,13625000,36886000,7869000,5418000,2200000,847000,847000,377291.217731941,10016000,4930000,4930000,5156000,15172000,34858000,-7742000,21714000,21714000,36886000,-670000,298000,230000,181000,39000,-1031000,-1031000,8305939.15325405,529000,-463000,-463000,-463000,-555000,1526000,0.36432,-0.0996,-0.07823,-0.03086,-0.01816,2.32238,0.69872,0.04137,-0.05353,-0.05353,0.68417,1.7347,-0.01491,8.71532,5.67057
"44","2021_Q3",2.93703125,"Down",11335000,-6982000,4353000,-4553000,-4553000,-2e+05,-40000,-14000,-26000,-240000,2022000,1838000,1838000,1838000,1838000,15661000,15661000,7210000,7210000,12036000,1866000,1866000,36773000,4426000,6811000,4116000,2695000,15718000,52491000,8805000,6316000,2489000,1362000,934000,428000,11899000,4825000,4825000,5565000,17464000,46475000,-6046000,35027000,35027000,52491000,1838000,383000,-1892000,-3193000,-2864000,-510000,-510000,11559000,12672000,9298000,9298000,9298000,183000,2472000,0.38403,-0.01764,0.16215,0.05247,0.03502,3.09043,0.49859,0.04709,0.13545,0.1343,0.83533,2.5813,0.04936,-72.0710399999999,65.945
"45","2021_Q4",2.41359375,"Down",12626000,-8488000,4138000,-4508000,-4508000,-370000,-33000,-19000,-14000,-403000,-2566000,-2566000,-2566000,-2566000,-2566000,14087000,14087000,7646000,7646000,15981000,1941000,1941000,39655000,4454000,6701000,4116000,2585000,13479000,53134000,10880000,7520000,3024000,1429000,992000,437000,14043000,5174000,5174000,5847000,19890000,46659000,-8013000,33244000,33244000,53134000,-2566000,352000,2485000,-1065000,-794000,-380000,-380000,0,-4e+05,-1574000,-1574000,-1574000,-18000,2407000,0.32774,-0.0293,-0.20323,-0.07719,-0.04829,2.82383,0.5983,0.0453,-0.15241,-0.15347,0.74991,1.97451,-0.05465,648.88889,31.56757
"46","2022_Q1",2.41,"Down",12839000,-8189000,4650000,-4423000,-4423000,227000,-44000,-16000,-28000,183000,-3e+05,-303000,-303000,-303000,-303000,10580000,10580000,8229000,8229000,16978000,1634000,1634000,37421000,4556000,6613000,4116000,2497000,12964000,50385000,8958000,5883000,2570000,1492000,1045000,447000,12187000,4975000,2269000,5580000,17767000,46841000,-8821000,32618000,32618000,50385000,-303000,361000,799000,-3540000,-2683000,-423000,-423000,0,-401000,-3507000,-3507000,-3507000,588000,2342000,0.36218,0.01768,-0.0236,-0.00928999999999998,-0.00600999999999999,3.07057,0.5447,0.04648,-0.01249,-0.01249,0.52927,1.34464,0.000829999999999997,-14.0102000000001,-36.29075
"47","2022_Q2",2.36790322580645,"Down",6585000,-5113000,1472000,-4916000,-4916000,-3444000,4000,-15000,19000,-3440000,-3936000,-3936000,-3936000,-3936000,-3936000,6357000,6357000,4763000,4763000,21091000,2538000,2538000,34749000,4559000,6512000,4116000,2396000,12370000,47119000,9767000,7254000,2513000,1542000,1085000,457000,13036000,4709000,4709000,5246000,18282000,46996000,-12757000,28837000,28837000,47119000,-3936000,342000,699000,-4e+05,-3295000,-345000,-345000,32700683.5144194,-583000,-4223000,-4223000,-4223000,-3102000,2264000,0.22354,-0.52301,-0.59772,-0.13649,-0.08353,2.66562,0.63398,0.04805,-0.23401,-0.23401,0.3915,1.71445,-0.09581,1.31947,1.18844
"48","2022_Q3",2.394375,"Up",12111000,-10386000,1725000,-5405000,-5405000,-3680000,-52000,-24000,-28000,-3732000,-4334000,-4334000,-4334000,-4334000,-4334000,5904000,5904000,6519000,6519000,22498000,1282000,1282000,36203000,4574000,6451000,4116000,2335000,11722000,47925000,13061000,9804000,2749000,1529000,1063000,466000,18820000,4926000,4926000,5394000,24214000,47218000,-18105000,23711000,23711000,47925000,-4334000,354000,824000,1144000,-2012000,-369000,-369000,115440550.543258,1928000,-453000,-453000,-453000,-3326000,4698000,0.14243,-0.30386,-0.35786,-0.18278,-0.09043,1.92365,1.02121,0.09803,-0.25693,-0.25693,0.71797,1.40566,-0.11483,0.362599999999962,0.327719999999999
