"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q4",42.47234375,"Up",104685000,-22304000,82381000,-72350000,-50128000,-20256000,10031000,-8229000,-4204000,-4025000,1802000,-7619000,-5817000,-6087000,-6087000,-6087000,-6087000,265644000,85139000,180505000,42573000,42573000,60238000,10392000,10392000,378847000,104856000,253209000,47308000,428642000,807489000,77204000,16064000,61002000,18634000,95838000,63408000,63408000,365489000,461327000,740225000,-394510000,447000,346162000,346162000,807489000,-6087000,5605000,25265000,-6429000,18354000,-1592000,5625000,1423000,1423000,1423000,25402000,25402000,25402000,15636000,302081000,0.78694,0.09582,-0.05815,-0.01758,-0.00754,3.95299,1.33269,0.3741,-0.14616,-0.14616,2.51375,8.31221,-0.00855,2.33033,3.63244
"36","2020_Q1",41.5409677419355,"Down",122424000,-31903000,90521000,-75843000,-54223000,-19653000,14678000,-5255000,-4330000,-925000,9423000,-12964000,-3541000,-4888000,-4888000,-4888000,-4888000,291950000,78228000,213722000,47530000,47530000,58296000,10781000,10781000,408557000,104681000,242058000,38124000,422508000,831065000,84559000,12799000,70427000,23114000,107673000,62403000,62403000,368448000,476121000,754020000,-399398000,322000,354944000,354944000,831065000,-4888000,5090000,21040000,4662000,25904000,-4497000,-30795000,5880000,5880000,-2020000,-6910999.99999997,-6910999.99999997,-6910999.99999997,19768000,306045000,0.73941,0.11989,-0.03993,-0.01377,-0.00588,3.79442,1.3414,0.36826,-0.11699,-0.11699,2.93,8.49494,-0.00676,0.71302,0.960280000000002
"37","2020_Q2",41.7928571428571,"Up",105684000,-29732000,75952000,-62566000,-44780000,-15819000,13386000,-8537000,-4433000,-4104000,4849000,3708000,8557000,8159000,8159000,8159000,8159000,318464000,54589000,263875000,38988000,38988000,59666000,14476000,14476000,431594000,108105000,246560000,44592000,389785000,821379000,62304000,15850000,44717000,18009000,80313000,56951000,56951000,367029000,447342000,766322000,-391239000,-1046000,374037000,374037000,821379000,8159000,4821000,12735000,-19507000,6208000,-6724000,-28566000,3455000,3455000,-1281000,-23639000,-23639000,-23639000,18207000,310078000,0.71867,0.12666,0.0772,0.02181,0.00993,5.3739,1.19598,0.37751,0.19411,0.1907,2.51437,8.89886,0.01101,-0.46059,-0.62648
"38","2020_Q3",58.10328125,"Up",75505000,-22305000,53200000,-58929000,-43342000,-13621000,-5729000,-164999.999999999,-4133000,3968000,-5894000,-1418000,-7312000,-7270000.00000001,-7270000.00000001,-7270000.00000001,-7270000.00000001,326792000,78552000,248240000,44013000,44013000,66690000,18328000,18328000,455823000,113297000,288730000,88729000,410288000,866111000,58459000,9160000,47684000,12124000,70583000,93198000,93198000,407380000,477963000,785167000,-398509000,1490000,388148000,388148000,866111000,-7270000.00000001,4989000,1765000,-15108000,-15624000,-8906000,36123000,4319000,4319000,3463999.99999999,23963000,23963000,23963000,-740000,314182000,0.70459,-0.07588,-0.0962900000000001,-0.01873,-0.00839000000000001,6.45797,1.23139,0.36275,-0.17219,-0.16932,1.78837,9.19346,-0.00914,17.04054,2.20108
"39","2020_Q4",58.5546875,"Up",117484000,-29994000,87490000,-69178000,-52561000,-14650000,18312000,-3400000,-6107000,2707000,14912000,-8762000,6150000,130119000,130119000,130119000,130119000,532125000,125244000,406881000,46143000,46143000,68542000,11710000,11710000,658520000,125527000,392160000,90004000,561749000,1220269000,73411000,13008000,60403000,12861000,86272000,92843000,92843000,549307000,635579000,852233000,-268390000,847000,584690000,584690000,1220269000,130119000,5037000,-92098000,-3277000,39781000,-7763000,-202847000,28206000,28206000,209758000,46692000,46692000,46692000,23349000,456464000,0.7447,0.15587,1.10755,0.22254,0.10663,7.63307,1.08704,0.37407,3.03117,2.93875,2.73683,13.62057,0.11474,-3.24044,-4.13177
"40","2021_Q1",71.4329508196721,"Up",130974000,-35297000,95677000,-70130000,-52833000,-15331000,25547000,-6088000,-6369000,281000,19459000,-6765000,12694000,14515000,14515000,14515000,14515000,521662000,99957000,421705000,53046000,53046000,64650000,12265000,12265000,651623000,136688000,376724000,74492000,622890000,1274513000,81519000,10431000,70974000,22161000,253328000,88467000,88467000,401497000,654825000,873245000,-253875000,318000,619688000,619688000,1274513000,14515000,5061000,22994000,4097000,46667000,-14408000,-82317000,11784000,11784000,10363000,-25287000,-25287000,-25287000,30608000,462678000,0.7305,0.19505,0.11082,0.02342,0.01139,2.57225,1.0567,0.36302,0.33364,0.32451,3.01055,14.24406,0.0124,-1.92708,-2.30884
"41","2021_Q2",63.298253968254,"Down",119027000,-31349000,87678000,-66368000,-48522000,-15879000,21310000,-6713000,-6556000,-157000,14597000,-1873000,12724000,10369000,10369000,10369000,10369000,590063000,66699000,523364000,52583000,52583000,64606000,12995000,12995000,720247000,144822000,371456000,72888000,567302000,1287549000,60070000,9110000,50239000,172014000,232084000,87309000,82021000,404647000,636731000,894108000,-243506000,172000,650818000,650818000,1287549000,10369000,4851000,17181000,-20320000,12081000,-13073000,-55664000,10325000,10325000,10325000,-33258000,-33258000,-33258000,26161000,317338000,0.73662,0.17904,0.08711,0.01593,0.00805,3.10339,0.97835,0.24647,0.23656,0.22558,2.71547,14.84667,0.00982,-10.42487,-12.79798
"42","2021_Q3",57.6334375,"Down",135590000,-35248000,100342000,-65353000,-50813000,-12574000,34989000,-9196000,-6799000,-2397000,25793000,-146000,25647000,19081000,19081000,19081000,19081000,646595000,105774000,540821000,68357000,68357000,65264000,12363000,12363000,792579000,153302000,361986000,71252000,533254000,1325833000,64342000,12179000,52163000,164351000,228693000,88264000,80567000,409972000,638665000,911368000,-224425000,181000,687168000,687168000,1325833000,19081000,4897000,25317000,-19161000,30134000,-10551000,3033000,7246000,7246000,5908000,39075000,39075000,39075000,39886000,321708000,0.74004,0.25805,0.14073,0.02777,0.01439,3.46569,0.92942,0.24265,0.43531,0.41511,3.09333,15.67595,0.01739,-8.14539,-9.2854
"43","2021_Q4",55.13875,"Down",127722000,-34651000,93071000,-61401000,-47856000,-11578000,31670000,-7202000,-7156000,-46000,24468000,-237000,24231000,17660000,17660000,17660000,17660000,693858000,134036000,559822000,49975000,49975000,67209000,11310000,11310000,822352000,159235000,353223000,69790000,533650000,1356002000,59088000,7895000,50798000,10949000,225788000,85466000,85466000,411612000,637400000,925169000,-206765000,153000,718602000,718602000,1356002000,17660000,5730000,21516000,15381000,60287000,-13076000,-35077000,3052000,3052000,3052000,28262000,28262000,28262000,37400000,481897000,0.7287,0.24796,0.13827,0.02458,0.01302,3.64214,0.887,0.35538,0.39999,0.38665,2.89285,16.27499,0.01373,-5.66741,-6.6928
"44","2022_Q1",66.6593548387097,"Up",159194000,-39007000,120187000,-75321000,-52154000,-15514000,44866000,-10409000,-10343000,-66000,34457000,-40655000,-6198000,-5130000,-5130000,-5130000,-5130000,656409000,585578000,70831000,96318000,96318000,98550000,14771000,14771000,866048000,188401000,998917000,76410000,1209305000,2075353000,138527000,10543000,127555000,7890999.99999999,521118000,149297000,149297000,823827000,1344945000,942136000,-211895000,167000,730408000,730408000,2075353000,-5130000,13070000,16684000,-1409000,23215000,-9166000,66918000,6032000,6032000,361409000,451542000,451542000,451542000,57936000,1049230000,0.75497,0.28183,-0.03222,-0.00702,-0.00247,1.6619,1.84136,0.50557,-0.11287,-0.11443,3.50254,16.07023,-0.00266,6.78026,8.75543
"45","2022_Q2",65.5029032258064,"Down",157991000,-36074000,121917000,-100187000,-64260000,-21605000,21730000,-10099000,-9975000,-124000,11631000,-4337000,7294000,6828000,6828000,6828000,6828000,452194000,226751000,225443000,92103000,92103000,103662000,19059000,19059000,667018000,189767000,998921000,74271000,1224458000,1891476000,103375000,14843000,87669000,8018000,305073000,147084000,136959000,876827000,1181900000,867935000,-157832000,-527000,709576000,709576000,1891476000,6828000,20033000,12059000,-8143000,30777000,-7668000,-208019000,11024000,11024000,-181585000,-358827000,-358827000,-358827000,41763000,923423000,0.77167,0.13754,0.04322,0.00962,0.00361,2.18642,1.66564,0.4882,0.15352,0.15019,3.55228,15.95413,0.00384,11.28341,21.68564
"46","2022_Q3",55.60921875,"Down",169411000,-50627000,118784000,-105607000,-65003000,-26282000,13177000,-9228000,-8581000,-647000,3949000,18058000,22007000,19876000,19876000,19876000,19876000,316393000,122061000,194332000,91105000,91105000,100588000,18124000,18124000,526210000,191279000,980687000,72082000,1207778000,1733988000,91269000,13983000,77275000,8134000,133179000,122295000,102822000,844173000,977352000,895197000,-137956000,-605000,756636000,756636000,1733988000,19876000,20864000,-5718000,-5216000,29806000,-11735000,19161000,12678000,12678000,-153657000,-104690000,-104690000,-104690000,34041000,755654000,0.70116,0.07778,0.11732,0.02627,0.01146,3.95115,1.29171,0.43579,0.43368,0.43368,3.69643,16.50926,0.01216,12.90388,33.33543
