"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",26.2265079365079,"Down",31235000,27193000,30903000,-3710000,4042000,2230000,1812000,-750000,30485000,-19882000,-19882000,10603000,10603000,10603000,-3260000,7343000,7343000,7343000,7343000,52847000,48762000,399829000,2508986000,-18295000,2527281000,45999000,28728000,3143336000,2370721000,1570003000,800718000,156096000,2.45e+08,14020000,2785837000,2.71050543121376e-20,308343000,50012000,-856000,357499000,357499000,3143336000,7343000,2804000,750000,28716000,-31885000,7728000,-827000,14222000,-86661000,-73266000,-2927000,4e+07,141000,92705000,-15748000,114171000,48633000,48633000,48633000,13407000,401096000,-16045000,0.33946,0.23509,0.02054,0.00234,-2.18507,7.79257,0.1276,0.44581,0.44543,1.89636,21.70467,-0.97413,0.17771,0.00327,-0.0051,0.39861,25.97516,32.84438
"31","2017_Q4",29.924126984127,"Up",33249000,28644000,33034000,-4390000,4605000,2291000,2314000,-1e+06,32249000,-20210000,-20210000,12039000,12039000,12039000,-3702000,8337000,8337000,8337000,8337000,53941000,123110000,407984000,2535079000,-19193000,2554272000,45606000,31306000,3254655000,2489043000,1663005000,826038000,167627000,2.2e+08,15439000,2892109000,0,309033000,55258000,-1745000,362546000,362546000,3254655000,8337000,2468000,1e+06,30546000,-33287000,9064000,-1554000,-9572000,-24281000,-35407000,-3091000,-2.5e+07,181000,118322000,11373000,101785000,75442000,75442000,75442000,14507000,387627000,-16632000,0.36209,0.25074,0.023,0.00256,-1.99496,7.97722,0.1191,0.50578,0.50544,2.01711,21.99449,-1.00901,0.18752,0.00351,-0.00511,0.37076,23.00172,27.71709
"32","2018_Q1",29.2977049180328,"Down",32905000,28402000,32902000,-4500000,4503000,2696000,1807000,-6e+05,32305000,-19848000,-19848000,12457000,12457000,12457000,-4478000,7979000,7979000,7979000,7979000,55127000,144974000,415469000,2539051000,-19501000,2558552000,46034000,28976000,3286704000,2522365000,1655985000,866380000,164265000,2.2e+08,14204000,2920834000,0,309772000,61001000,-4903000,365870000,365870000,3286704000,7979000,2538000,6e+05,29312000,-26527000,13902000,-1010000,-11011000,-5705000,-17726000,-3105000,-1.49011611938477e-08,179000,33322000,-3522000,26874000,23050000,23050000,23050000,14995000,384265000,-8064000,0.37857,0.24249,0.02181,0.00243,-1.01065,7.98326,0.11692,0.4828,0.48278,1.99102,22.13815,-0.48794,0.18788,0.00337,-0.00245,0.38915,21.94985,26.42193
"33","2018_Q2",30.24421875,"Up",34580000,30199000,34981000,-4782000,4381000,2296000,2085000,0,34580000,-21147000,-21147000,13433000,13433000,13433000,-2552000,10881000,10881000,10881000,10881000,47278000,163879000,417034000,2531230000,-19974000,2551204000,46300000,31662000,3293900000,2540053000,1709866000,830187000,150582000,2.2e+08,14925000,2925560000,0,310601000,68241000,-10502000,368340000,368340000,3293900000,10881000,2483000,0,20230000,-20549000,13045000,-1019000,-8694000,7257000,-2456000,-3599000,0,218000,17688000,-13840000,467000,11056000,11056000,11056000,15916000,370582000,-3100000,0.38846,0.31466,0.02954,0.0033,-0.2849,7.94255,0.11251,0.65567,0.65531,2.08375,22.19569,-0.1868,0.21687,0.0044,-0.00094,0.33076,20.31314,24.06789
"34","2018_Q3",30.2273015873016,"Down",33775000,29225000,34319000,-5094000,4550000,2413000,2137000,-7e+05,33075000,-21414000,-21414000,11661000,11661000,11661000,-2215000,9446000,9446000,9446000,9446000,56338000,69402000,411499000,2615689000,-21167000,2636856000,47102000,32504000,3288521000,2529811000,1645341000,884470000,140431000,2.3e+08,13360000,2913602000,-1.05879118406788e-22,311720000,74084000,-10885000,374919000,374919000,3288521000,9446000,2445000,7e+05,22639000,-26922000,8308000,-1627000,3641000,-81750000,-79736000,-3603000,1e+07,165000,-10242000,-10309000,-13989000,-85417000,-85417000,-85417000,14106000,370431000,-12228000,0.34526,0.27967,0.02519,0.00287,-1.29452,7.77128,0.11264,0.56899,0.56867,2.03447,22.58358,-0.73656,0.21703,0.00397,-0.00372,0.38143,22.26662,26.93534
"35","2018_Q4",26.475873015873,"Down",34548000,29840000,35486000,-5646000,4708000,2505000,2203000,-4e+05,34148000,-21650000,-21650000,12498000,12498000,12498000,-2375000,10123000,10123000,10123000,10123000,51824000,28193000,407231000,2675725000,-21692000,2697417000,48104000,33518000,3300106000,2508810000,1629368000,879442000,158407000,2.4e+08,13424000,2920641000,0,312544000,80275000,-13354000,379465000,379465000,3300106000,10123000,2417000,4e+05,31658000,-31059000,13539000,-1841000,1223000,-61713000,-62331000,-3932000,1e+07,183000,-21001000,17819000,3069000,-45723000,-45723000,-45723000,14915000,398407000,-15610000,0.36176,0.29301,0.02668,0.00307,-1.54203,7.69673,0.12073,0.6094,0.60911,2.07978,22.84363,-0.93972,0.2367,0.00426,-0.00473,0.38842,23.23721,27.73108
"36","2019_Q1",28.556393442623,"Up",36189000,30818000,37195000,-6377000,5371000,2743000,2628000,-5.82076609134674e-11,36189000,-21959000,-21959000,14230000,14230000,14230000,-2656000,11574000,11574000,11574000,11574000,64872000,10482000,423035000,2730705000,-22380000,2753085000,48321000,31458000,3363907000,2463708000,1573924000,889784000,149718000,3.5e+08,25232000,2988658000,-1.32348898008484e-23,308005000,75483000,-8239000,375249000,375249000,3363907000,11574000,2421000,5.82076609134674e-11,22789000,-9939000,26845000,-1059000,-7548000,-57350000,-65957000,-15201000,1.1e+08,-6349000,-45102000,-8899000,34449000,-4663000,-4663000,-4663000,16651000,499718000,8309000,0.39321,0.31982,0.03084,0.00344,0.7179,7.96447,0.14855,0.69746,0.6976,2.18078,22.61282,0.50071,0.91603,0.00796,0.00247,1.31337,26.11531,30.5584
"37","2019_Q2",28.4530158730159,"Down",37277000,30645000,38637000,-7992000,6632000,2414000,4218000,-850000,36427000,-21830000,-21830000,14597000,14597000,14597000,-2773000,11824000,11824000,11824000,11824000,46322000,168572000,425667000,2776504000,-23135000,2799639000,50109000,30023000,3551754000,2610974000,1753240000,857734000,157604000,3.84e+08,15447000,3168025000,0,305346000,83107000,-4724000,383729000,383729000,3551754000,11824000,2178000,850000,19287000,-31694000,2445000,-2561000,1247000,-46966000,-44284000,-4200000,3.4e+07,-3417000,147266000,7730000,181379000,139540000,139540000,139540000,16775000,541604000,-14707000,0.39158,0.31719,0.03081,0.00333,-1.24383,8.25589,0.15249,0.71968,0.71943,2.2689,23.356,-0.89515,0.25564,0.00451,-0.00414,0.35521,29.52501,33.9304
"38","2019_Q3",28.15890625,"Down",37451000,31116000,39820000,-8704000,6335000,2656000,3679000,-9e+05,36551000,-22087000,-22087000,14464000,14464000,14464000,-2749000,11715000,11715000,11715000,11715000,57675000,92750000,433604000,2857440000,-24053000,2881493000,51823000,28740000,3576139000,2619209000,1700628000,918581000,166209000,3.74e+08,16604000,3176022000,-8.27180612553028e-25,306669000,90618000,2830000,400117000,400117000,3576139000,11715000,2545000,9e+05,44165000,-47853000,11472000,-2528000,-2651000,-77144000,-78611000,-4204000,-1e+07,193000,8235000.00000003,8446000,2669999.99999997,-64469000,-64469000,-64469000,17009000,540209000,-30623000,0.38621,0.31281,0.02928,0.00328,-2.614,7.93773,0.15106,0.7131,0.71282,2.27968,24.35553,-1.86405,0.2559,0.00445,-0.00856,0.35886,28.36933,33.36103
"39","2019_Q4",31.0428125,"Up",38281000,31605000,40316000,-8711000,6676000,2733000,3943000,-7e+05,37581000,-22027000,-22027000,15554000,15554000,15554000,-2954000,12600000,12600000,12600000,12600000,84275000,144263000,431528000,2908599000,-24414000,2933013000,54585000,33420000,3710380000,2767091000,1799902000,967189000,150700000,3.64e+08,21389000,3303180000,0,304065000,98876000,4259000,407200000,407200000,3710380000,12600000,2274000,7e+05,-77290000,67932000,6216000,-3388000,5042000,-44302000,-42648000,-4342000,-1e+07,-3290000,147882000,-15705000,114545000,78113000,78113000,78113000,17828000,514700000,85326000,0.40631,0.32915,0.03094,0.0034,6.7719,8.11194,0.13872,0.76877,0.76864,2.33566,24.84475,5.20605,0.26492,0.00457,0.023,0.3446,24.1432,27.67295
"40","2020_Q1",26.8548387096774,"Down",38481000,31168000,39564000,-8396000,7313000,2706000,4607000,7e+05,39181000,-23336000,-23336000,15845000,15845000,15845000,-2528000,13317000,13317000,13317000,13317000,53262000,180469000,422954000,2832778000,-23889000,2856667000,57327000,32812000,3632915000,2690384000,1765468000,924916000,149556000,3.54e+08,22414000,3216354000,-5.16987882845642e-26,305035000,107831000,3695000,416561000,416561000,3632915000,13317000,2556000,-7e+05,8348000.00000003,1113000.00000003,24634000,-4217000,8130000,68792000,72705000,-4362000,-1e+07,237999.999999999,-76707000,-1315000,-92146000,5193000,5193000,5193000,18401000,503556000,17825000,0.41176,0.34607,0.03197,0.00367,1.33851,7.72121,0.13861,0.81335,0.8133,2.35026,25.44178,1.08868,0.26641,0.00487,0.00491,0.32755,24.47117,28.41868
"41","2020_Q2",19.8180952380952,"Down",36867000,30317000,37934000,-7617000,6550000,2583000,3967000,-750000,36117000,-22940000,-22940000,13177000,13177000,13177000,-2504000,10673000,10673000,10673000,10673000,49781000,186938000,400762000,2876715000,-24828000,2901543000,59143000,31132000,3657387000,2645416000,1689126000,956290000,180321000,3.94e+08,19261000,3238998000,0,299584000,114012000,4793000,418389000,418389000,3657387000,10673000,982000,750000,-19521000,-2662000,-9778000,-3053000,25670000,-24910000,-2293000,-4492000,4e+07,-6076000,-44968000,30595000,15059000,2988000,2988000,2988000,14159000,574321000,10948000,0.35742,0.2895,0.02551,0.00292,1.02577,7.74159,0.15703,0.65277,0.65272,2.25482,25.5891,0.66959,0.27474,0.00415,0.00299,0.42088,37.0464,39.80724
"42","2020_Q3",19.08421875,"Down",41554000,30570000,37164000,-6594000,10984000,2419000,8565000,-7600000,33954000,-23216000,-23216000,10738000,10738000,10738000,-2041000,8697000,8697000,8697000,8697000,84516000,386711000,396563000,3300810000,-32246000,3333056000,59155000,34079000,4314379000,3262280000,1816660000,1445620000,214749000,3.94e+08,18129000,3889158000,-3.23117426778526e-27,300897000,118239000,6085000,425221000,425221000,4314379000,8697000,2403000,7600000,-15576000,-5735000,-2611000,-1063000,6778000,-415470000,-409755000,-4470000,7.45058059692383e-09,222999.999999999,616864000,34257000,646874000,234508000,234508000,234508000,13141000,608749000,8384000,0.25841,0.20929,0.02045,0.00202,0.96401,9.1462,0.1411,0.53644,0.53642,2.56308,26.22797,0.51713,0.27571,0.00305,0.00194,0.51397,39.89293,48.82036
"43","2020_Q4",22.03109375,"Up",42815000,29510000,35595000,-6085000,13305000,2770000,10535000,-3200000,39615000,-26423000,-26423000,13192000,13192000,13192000,-2506000,10686000,10686000,10686000,10686000,59283000,495308000,401596000,3314972000,-35572000,3350544000,60446000,36778000,4420610000,3372034000,1922155000,1449879000,204409000,3.94e+08,18267000,3988710000,0,301896000,124451000,5553000,431900000,431900000,4420610000,10686000,2877000,3200000,15031000,-3099000,28695000,-2772000,-5510000,-32037000,-40319000,-4474000,0,218000,109754000,-10510000,94988000,83364000,83364000,83364000,16069000,598409000,12704000,0.30812,0.24959,0.02474,0.00242,1.18885,9.23526,0.13537,0.6583,0.65828,2.63755,26.60655,0.78261,0.27561,0.00343,0.00287,0.41868,33.55069,40.86765
"44","2021_Q1",28.1006557377049,"Up",46182000,31849000,37620000,-5771000,14333000,3711000,10622000,-2500000,43682000,-25941000,-25941000,17741000,17741000,17741000,-3659000,14082000,14082000,14082000,14082000,62832000,563174000,477480000,3155503000,-37967000,3193470000,58959000,67487000,4437344000,3411553000,1978150000,1433403000,118365000,441563000,24309000,3995790000,0,302029000,134039000,5486000,441554000,441554000,4437344000,14082000,3163000,2500000,243999.999999996,1582000,21571000,-1401000,-75994000,130956000,53561000,-4494000,0,-90000.0000000002,39519000,-38652000,-3717000,71415000,71415000,71415000,20904000,559928000,24744000,0.38415,0.30492,0.03189,0.00317,1.75714,9.04938,0.12619,0.86503,0.86502,2.83688,27.12393,1.51998,0.27606,0.00419,0.00558,0.31913,23.77995,28.01962
"45","2021_Q2",29.9863492063492,"Up",42996000,29533000,34785000,-5252000,13463000,3486000,9977000,-3e+05,42696000,-25117000,-25117000,17579000,17579000,17579000,-3340000,14239000,14239000,14239000,14239000,55489000,596855000,524654000,3325675000,-38695000,3364370000,55388000,100702000,4710354000,3644962000,2039491000,1605471000,141310000,441733000,41106000,4269111000,0,299358000,143642000,-1757000,441243000,441243000,4710354000,14239000,3457000,3e+05,-16596000,-2821000,-1421000,-1445000,-56333000,-180147000,-237925000,-4636000,0,-3314000,250689000,22945000,265684000,26338000,26338000,26338000,21036000,583043000,20110000,0.40885,0.33117,0.03227,0.00302,1.41232,9.67519,0.12378,0.87447,0.87444,2.64054,27.09831,1.23503,0.28471,0.00401,0.00427,0.32558,25.07863,30.01047
"46","2021_Q3",29.410625,"Down",45427000,30871000,35774000,-4903000,14556000,4623000,9933000,3100000,48527000,-26192000,-26192000,22335000,22335000,22335000,-4243000,18092000,18092000,18092000,18092000,75893000,683638000,596806000,3212928000,-35913000,3248841000,58250000,78599000,4757414000,3671271000,2050442000,1620829000,169737000,441904000,22614000,4305526000,0,293232000,157150000,1506000,451888000,451888000,4757414000,18092000,3298000,-3100000,12095000,-6785000,23600000,-1952000,-68043000,115849000,43175000.0000001,-4584000,0,-7104000,23673000,28427000,40412000,107187000,107187000,107187000,25633000,611641000,21139000,0.49167,0.39827,0.04004,0.0038,1.16842,9.52786,0.12857,1.11109,1.11106,2.78983,27.75206,1.29822,0.28152,0.00477,0.00444,0.25337,20.90071,23.98693
"47","2021_Q4",33.36484375,"Up",46692000,31124000,35888000,-4764000,15568000,3271000,12297000,-1900000,44792000,-26210000,-26210000,18582000,18582000,18582000,-3531000,15051000,15051000,15051000,15051000,83804000,741557000,650529000,3276286000,-37423000,3313709000,57465000,103709000,4964412000,3868991000,2221611000,1647380000,175850000,442074000,25219000,4512134000,0,285033000,167541000,-296000,452278000,452278000,4964412000,15051000,3445000,1900000,-19211000,-4195000,-3010000,-672000,-55790000,-65224000,-121686000,-4660000,0,-8647000,197720000,6113000,190526000,65830000,65830000,65830000,22027000,617924000,20691000,0.39797,0.32235,0.03328,0.00303,1.37473,9.97646,0.12447,0.95889,0.95888,2.97473,28.81448,1.31822,0.29689,0.00397,0.00417,0.30961,24.24842,28.74395
"48","2022_Q1",36.1325806451613,"Up",45167000,32534000,37047000,-4513000,12633000,8076000,4557000,3400000,48567000,-29327000,-29327000,19240000,19240000,15220000,-3581000,11639000,11639000,11639000,11639000,59405000,915755000,685987000,3418096000,-35363000,3453459000,57298000,70384000,5257749000,4083193000,2405241000,1677952000,197463000,495890000,24644000,4801190000,1.57772181044202e-30,285752000,174536000,-3729000,456559000,456559000,5257749000,11639000,3478000,-3400000,34302000,-615000,45404000,-1337000,-39357000,-138377000,-179071000,-4644000,53635000,-1340000,214202000,21613000,283466000,149799000,149799000,149799000,22718000,693353000,24347000,0.42597,0.25769,0.02549,0.00221,2.09185,10.51603,0.13187,0.74152,0.74151,2.87757,29.08722,1.55114,0.29587,0.0031,0.00463,0.399,27.9051,32.94948
"49","2022_Q2",31.5304838709677,"Down",40162000,30885000,35882000,-4997000,9277000,4648000,4629000,-1e+05,40062000,-25742000,-25742000,14320000,14320000,14320000,-2828000,11492000,11492000,11492000,11492000,71480000,698724000,698890000,3520637000,-35153000,3555790000,56078000,79505000,5175899000,3976251000,2290048000,1686203000,204271000,519106000,39800000,4739428000,0,286831000,181532000,-31892000,436471000,436471000,5175899000,11492000,3458000,1e+05,1881000,10957000,27888000,-319000,-48851000,-101960000,-151130000,-4812000,22964000,268000,-106942000,6808000,-81714000,-204956000,-204956000,-204956000,17778000,723377000,31244000,0.35656,0.28614,0.02633,0.00222,2.71876,10.85852,0.13976,0.72547,0.72546,2.53535,27.55359,1.97238,0.30377,0.00315,0.00604,0.41873,36.66875,45.52353
"50","2022_Q3",32.83875,"Up",42067000,34326000,39550000,-5224000,7741000,4058000,3683000,-5e+05,41567000,-26436000,-26436000,15131000,15131000,14625000,-2888000,11737000,11737000,11737000,11737000,89167000,389938000,697023000,3687826000,-35974000,3723800000,51402000,92826000,5058555000,3873893000,2133461000,1740432000,203339000,499305000,53035000,4629572000,0,288199000,188452000,-47668000,428983000,428983000,5058555000,11737000,3234000,5e+05,2526000,4112000,22109000,-60000.0000000001,-18148000,-167689000,-185269000,-4817000,-20056000,224000,-102358000,-932000.000000002,-127939000,-291099000,-291099000,-291099000,18365000,702644000,25305000,0.35969,0.27901,0.02736,0.00232,2.156,10.79197,0.1389,0.74057,0.74057,2.65429,27.06743,1.59666,0.30394,0.00327,0.005,0.41041,33.40468,40.54438
