"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",21.3085714285714,"Up",164465000,-108546000,55919000,-37232000,-37232000,18687000,241000,94000,147000,18928000,14263000,-6092000,8171000,8171000,8171000,8171000,105718000,105718000,129640000,129640000,45333000,24420000,5655000,15258000,280691000,41945000,20432000,210359000,125737000,7236000,49158000,28228000,272736000,553427000,141220000,8294000,5256000,127670000,56842000,21503000,198062000,104394000,44891000,59503000,104394000,302456000,225182000,-26097000,40927000,10959000,250971000,250971000,553427000,8171000,3704000,393000,37943000,50211000,-2718000,743000,-2225000,-2517000,-60000,-2577000,45409000,45409000,2146000,47555000,22391000,0,63708000,0.34001,0.11362,0.04968,0.03256,0.01476,7.79684,1.41719,1.20514,0,0.43507,0.42969,8.75699,13.36303,3.39215,0.13402,0.03008,0.17927,0.30804,-4.72145,-5.6573
"30","2018_Q1",24.9573770491803,"Up",174296000,-125060000,49236000,-35862000,-35862000,13374000,-317000,190000,-507000,13057000,-19089000,-20119000,-39208000,-39208000,-39208000,-39208000,207534000,207534000,98700000,98700000,37556000,22003000,3933000,11620000,343790000,39514000,21319000,182581000,118892000,2158000,35402000,26129000,243414000,587204000,194174000,9824000,6924000,177426000,71618000,40346000,265792000,108707000,44802000,63905000,108707000,374499000,226202000,-26096000,-716000,13315000,212705000,212705000,587204000,-39208000,3504000,39461000,99214000,102971000,-861000,-19000,-880000,-2435000,0,-2435000,99656000,99656000,2167000,101823000,16878000,0,135350000,0.28248,0.07673,-0.22495,-0.18433,-0.06677,-3.4521,1.29346,1.76065,1.73472347597681e-18,-2.08753,-2.18356,9.27995,11.32494,7.20637,0.12965,-0.11441,0.42111,-0.0621000000000002,-12.29613,-15.51772
"31","2018_Q2",33.20203125,"Up",164658000,-111409000,53249000,-35541000,-35541000,17708000,-209000,239000,-448000,17499000,12912000,-2744000,10168000,10168000,10168000,10168000,73358000,73358000,133681000,133681000,61607000,29075000,4428000,28104000,268646000,38464000,22884000,194352000,123284000,3943000,32691000,34434000,255700000,524346000,101288000,9574000,8300000,83414000,79097000,39499000,180385000,101472000,46999000,54473000,113472000,293857000,221131000,-21482000,22024000,8816000,230489000,230489000,524346000,10168000,3184000,-3600000,-147258000,-137506000,-1182000,-1603000,-5995000,-2471000,-2233000,7296000,-136205000,-136205000,2038000,-134167000,20892000,1.2e+07,-124804000,0.32339,0.10754,0.06175,0.04411,0.01939,-12.27419,1.48929,1.27493,0.02289,0.5401,0.52627,8.74631,12.24312,-6.62934,0.13125,0.03675,-0.36284,0.24302,-2.93691,-3.46499
"32","2018_Q3",35.8198412698413,"Up",187689000,-127679000,60010000,-36919000,-36919000,23091000,-50000.0000000001,-2000,-48000.0000000001,23041000,18411000,-6948000,11463000,11463000,11463000,11463000,85825000,85825000,153948000,153948000,60444000,27609000,5197000,27638000,300217000,36752000,21621000,194314000,122838000,2919000,32398000,36159000,252687000,552904000,135580000,8723000,6189000,120668000,77502000,37318000,213082000,101956000,44272000,57684000,101956000,315038000,222249000,-20299000,30916000,5e+06,237866000,237866000,552904000,11463000,3309000,-1133000,16807000,30446000,-1366000,1276000,-40999.9999999981,-2571000,-4.65661287307739e-10,-14571000,15834000,15834000,-3397000,12437000,26400000,0,48789000,0.31973,0.12303,0.06107,0.04819,0.02073,4.25622,1.40893,1.32443,0,0.60542,0.59308,9.9128,12.5629,2.57679,0.13579,0.0413,0.14357,0.22429,-3.25095,-3.71682
"33","2018_Q4",30.214126984127,"Down",192341000,-133933000,58408000,-33072000,-33072000,25336000,2604000,259000,2345000,27940000,23187000,-6718000,16469000,16469000,16469000,16469000,164216000,164216000,158107000,158107000,60629000,25083000,5763000,29783000,382952000,35491000,21013000,193400000,122445000,2535000,32320000,36100000,249904000,632856000,194775000,8979000,7866000,177930000,77997000,35127000,272772000,106251000,43536000,62715000,106251000,379023000,225158000,-20298000,44854000,4119000,253833000,253833000,632856000,16469000,3065000,1188000,63453000,84175000,-2391000,1171000,-1178000,-2531000,-1000,-2532000,80465000,80465000,-2083000,78382000,28401000,0,96181000,0.30367,0.13172,0.08562,0.06488,0.02602,5.84012,1.40393,1.4932,0,0.86889,0.84887,10.14778,13.39205,5.07444,0.13353,0.05277,0.26711,0.15368,-5.78205,-6.48153
"34","2019_Q1",33.3770491803279,"Up",190967000,-133328000,57639000,-54917000,-35285000,2722000,-710000,645000,-1355000,2012000,15982000,-4787000,11195000,11195000,11195000,11195000,279906000,279906000,114977000,114977000,55984000,22766000,3620000,29598000,450867000,33871000,19442000,196449000,122092000,2216000,34830000,37311000,249762000,700629000,245059000,9166000,8240000,227653000,73892000,33219000,318951000,114522000,39865000,74657000,114522000,433473000,227343000,-20298000,56049000,4062000,267156000,267156000,700629000,11195000,2964000,10281000,101347000,125787000,-1021000,-49999.9999999995,-1035000,-2608000,-4573000,-7181000,117571000,117571000,-2123000,115448000,5686000,0,110799000,0.30183,0.01425,0.05862,0.0419,0.01598,9.89719,1.41359,1.62255,0,0.59064,0.55758,10.07529,14.09497,5.84568,0.1376,0.03616,0.29029,0.23296,-49.22722,-102.83101
"35","2019_Q2",32.6211111111111,"Down",176274000,-120818000,55456000,-39065000,-34385000,16391000,2451000,808000,1643000,18842000,18842000,-6755000,12087000,12087000,12087000,12087000,114414000,114414000,135156000,135156000,60359000,26179000,4952000,29228000,309929000,32292000,22781000,306980000,122548000,1975000,34186000,148271000,362053000,671982000,116671000,9229000,12112000,95330000,99948000,60791000,216619000,181944000,42744000,139200000,181944000,398563000,218979000,-15143000,65201000,4382000,273419000,273419000,671982000,12087000,2734000,1158000,-171252000,-155273000,-898000,-1565000,-2463000,-2935000,-4959000,-7894000,-165630000,-165630000,130000,-165500000,19125000,0,-146270000,0.3146,0.09299,0.06857,0.04421,0.01799,-12.10143,1.43076,1.4577,0,0.63606,0.61972,9.27611,14.3882,-7.69721,0.15445,0.03299,-0.32122,0.24282,-5.98243,-6.98029
"36","2019_Q3",26.30234375,"Down",178173000,-120601000,57572000,-39219000,-34168000,18353000,1120000,412000,708000,19473000,19473000,-5193000,14280000,14280000,14280000,14280000,144012000,105314000,146982000,146982000,59446000,23193000,6171000,30082000,350440000,30788000,23647000,299135000,122070000,1730000,34252000,141083000,353570000,704010000,139809000,8107000,6779000,124923000,95505000,58081000,235314000,180247000,43922000,136325000,180247000,415561000,222344000,-14795000,76513000,4387000,288449000,288449000,704010000,14280000,2614000,3087000,13409000,33390000,-895000,-38680000,-39575000,-2968000,0,-2968000,-9153000,-9153000,-295000,-9448000,20967000,4.65661287307739e-10,38674000,0.32312,0.10301,0.08015,0.04951,0.02028,2.70826,1.48924,1.44067,-4.33680868994202e-19,0.74682,0.73014,9.31818,15.08546,2.02259,0.15522,0.0368,0.08251,0.20784,-6.86851,-7.84678000000001
"37","2019_Q4",27.66328125,"Up",186518000,-130479000,56039000,-37437000,-33093000,18602000,355000,819000,-464000,18957000,14827000,-4880000,9947000,9947000,9947000,9947000,218938000,176372000,150872000,150872000,54220000,20436000,5818000,27966000,424030000,29356000,23807000,299430000,128286000,4428000,34013000,132703000,352593000,776623000,195817000,9093000,6517000,180207000,100424000,59990000,296241000,183747000,43269000,140478000,183747000,479988000,224883000,-14795000,83497000,3050000,296635000,296635000,776623000,9947000,2635000,5885000,67997000,86464000,-848000,-3739000,-8107000,-2963000,-1446000,-4409000,73948000,73948000,-2890000,71058000,21237000,0,93266000,0.30045,0.09973,0.05333,0.03353,0.01281,9.37629,1.43137,1.61811,0,0.52002,0.51031,9.75105,15.50789,4.87589,0.1549,0.02687,0.19415,0.29788,-10.30927,-11.76959
"38","2020_Q1",25.0696774193548,"Down",184649000,-134267000,50382000,-36087000,-31472000,14295000,1852000,841000,1011000,16147000,16147000,-5592000,10555000,10555000,10555000,10555000,332872000,271719000,109163000,109163000,52447000,20185000,4414000,27848000,494482000,28650000,25409000,295632000,126831000,1935000,33063000,133803000,349691000,844173000,246867000,8633000,3928000,234306000,98475000,57208000,345342000,130054000,46032000,84022000,189716000,535058000,229003000,-14795000,91083000,3824000,309115000,309115000,844173000,10555000,2388000,1885000,99236000,114064000,-711000,-18459000,-19170000,-2969000,-9.31322574615479e-10,-2969000,91925000,91925000,3422000,95347000,16683000,59662000,120800000,0.27285,0.07742,0.05716,0.03415,0.0125,11.44481,1.43186,1.73094,0.07068,0.55089,0.53715,9.63721,16.13335,6.3048,0.15496,0.02711,0.24217,0.28129,-16.37655,-19.11228
"39","2020_Q2",20.9455555555556,"Down",174847000,-121089000,53758000,-35606000,-32240000,18152000,-3756000,679000,-4435000,14396000,14396000,-5730000,8666000,8666000,8666000,8666000,382371000,2.51e+08,105359156.222753,105359156.222753,63038000,26505000,4400000,32133000,445409000,28450000,23516000,295155000,123422000,1554000,32299000,137880000,347121000,792530000,117161000,11088000,8198000,97875000,90785000,49352000,207946000,172819000,43851000,128968000,272819000,480765000,226229000,-10957000,96415000,78000,311765000,311765000,792530000,8666000,2337000,2614000,-179217000,-165600000,-1753000,59270000,57517000,-3002000,-4338000,92660000,-15423000,-15423000,-5296000,-20719000,20489000,1e+08,-154751000,0.30746,0.10382,0.04956,0.0278,0.01093,-17.85726,2.14195,1.54207,0.12618,0.45154,0.43821,9.11041,16.24453,-8.06331,0.15642,0.01996,-0.26472,0.34641,-13.78159,-15.55592
"40","2020_Q3",20.15296875,"Down",147835000,-106636000,41199000,-32215000,-29983000,8984000,2737000,-339000,3076000,11721000,-21249000,-4484000,-25733000,-25733000,-25733000,-25733000,287815000,218760000,124845000,124845000,57334000,24605000,4918000,27811000,469994000,28577000,26085000,263702000,91271000,1361000,32308000,138762000,318364000,788358000,135651000,10852000,11448000,113351000,86383000,48261000,222034000,180121000,46847000,133274000,280121000,502155000,225681000,-8743000,67686000,1579000,286203000,286203000,788358000,-25733000,2130000,34823000,29615000,40834999.9999999,-2803000,-68222000,-71025000,-2995000,-1000.00000000093,-2996000,-33186000,-33186000,946000.000000002,-32240000,11114000,1e+08,42410000,0.27868,0.06077,-0.17407,-0.08991,-0.03264,-1.64808,2.11677,1.75454,0.12685,-1.33345,-1.37507,7.66064,14.83071,2.19764,0.1552,-0.04015,0.07489,-0.11639,-16.89896,-20.9055
"41","2020_Q4",24.22421875,"Up",144501000,-104763000,39738000,-29856000,-28899000,9882000,1639000,-180000,1819000,11521000,-36594000,10416000,-26178000,-26178000,-26178000,-26178000,237605000,170577000,119102000,119102000,58344000,21513000,13014000,23817000,415051000,26740000,27836000,243682000,91264000,1218000,32819000,118381000,298258000,713309000,173138000,11050000,1086000,161002000,94528000,57260000,267666000,127579000,49389000,78190000,184577000,452243000,228191000,-8041000,38487000,2429000,261066000,261066000,713309000,-26178000,16171000,3524000,58343000,51860000,-2565000,1917000,-648000,-3022000,0,-103022000,-51810000,-51810000,3627000,-48183000,26053000,56998000,71415000,0.275,0.06839,-0.18116,-0.10027,-0.0367,-2.72805,1.55063,1.73229,0.07991,-1.35266,-1.35266,7.46659,13.48969,3.69013,0.15615,-0.05196,0.16025,-0.11544,-6.93229,-18.27636
"42","2021_Q1",32.9049180327869,"Up",162187000,-122332000,39855000,-27060000,-25860000,12795000,3511000,44000,3467000,16306000,12049000,-6511000,5538000,5538000,5538000,5538000,336472000,316473000,88123000,88123000,48091000,18956000,5856000,23279000,472686000,23492000,31369000,260265000,91643000,1129000,35958000,131535000,315126000,787812000,227893000,8799000,1186000,217908000,90345000,52295000,318238000,145047000,53496000,91551000,201972000,520210000,231244000,-8041000,40982000,3417000,267602000,267602000,787812000,5538000,6018000,660999.999999996,84041000,96258000,-201000,46983000,46782000,-3044000,0,-3044000,139996000,139996000,5916000,145912000,18813000,56925000,109164000,0.24573,0.07889,0.03415,0.02069,0.00703,19.71181,1.48532,1.94397,0.07226,0.28604,0.28604,8.37699,13.8217,5.63835,0.15722,0.01828,0.23247,0.54966,-14.85925,-21.84814
"43","2021_Q2",40.6993650793651,"Up",194731000,-142819000,51912000,-28443000,-27368000,23469000,3164000,82000,3082000,26633000,22772000,-7940000,14832000,14832000,14832000,14832000,184055000,184055000,128419000,128419000,57301000,26600000,5205000,25496000,369775000,22373000,33545000,254913000,91452000,961000,35712000,126788000,310831000,680606000,130362000,10149000,7383000,112830000,86908000,48061000,217270000,140465000,54826000,85639000,184766000,402036000,226194000,-3090000,52742000,2724000,278570000,278570000,680606000,14832000,6068000,2516000,-165987000,-142571000,-945000,18799000,17854000,-3072000,-3090000,-6162000,-130879000,-130879000,-1539000,-132418000,29537000,44301000,-129455000,0.26658,0.12052,0.07617,0.05324,0.02179,-8.72809,1.70191,1.44321,0.06509,0.76505,0.73531,10.04441,14.36891,-6.67741,0.15846,0.03864,-0.2794,0.20712,-4.73149,-5.95483
"44","2021_Q3",41.19578125,"Up",261235000,-200729000,60506000,-28607000,-27353000,31899000,3068000,35000,3033000,34967000,31774000,-11009000,20765000,20765000,20765000,20765000,237832000,237832000,168504000,168504000,64268000,25040000,5447000,33781000,470604000,22682000,35365000,303415000,137401000,10903000,36564000,118547000,361462000,832066000,229265000,17789000,13356000,198120000,88529000,46614000,317794000,161166000,56919000,104247000,214719000,532513000,228312000,-2002000,70514000,2729000,299553000,299553000,832066000,20765000,5974000,2492000,60997000,90228000,-1761000,-155000,-33885000,-2993000,0,-2993000,53350000.0000001,53350000.0000001,427000,53777000,37873000,53553000,108118000,0.23162,0.12211,0.07949,0.06932,0.02496,5.20673999999999,1.48085,1.77769,0.06436,1.07108,1.02945,13.47475,15.45123,5.57683,0.15438,0.0462,0.21024,0.14414,-4.86571,-5.77695
"45","2021_Q4",44.59625,"Up",265315000,-204590000,60725000,-30645000,-29155000,30080000,235000,90000,145000,30315000,33577000,-9079000,24498000,24498000,24498000,24498000,348292000,348292000,181167000,181167000,65457000,26624000,4386000,34447000,594916000,20939000,34738000,298039000,137047000,10223000,36501000,114268000,353716000,948632000,338047000,18119000,14742000,305186000,86999000,41715000,425046000,147707000,55804000,91903000,200330000,625376000,229311000,-181000,92058000,2068000,323256000,323256000,948632000,24498000,4534000,2667000,85420000,117119000,-1196000,12000,-1184000,-2862000,0,-2862000,113073000,113073000,-2595000,110478000,34614000,52623000,127917000,0.22888,0.11337,0.09234,0.07579,0.02582,5.22153,1.39965,1.93462,0.05547,1.25702,1.20924,13.61358,16.58659,6.56355,0.14685,0.05226,0.24431,0.11683,-8.54189,-9.82942
"46","2022_Q1",41.5324193548387,"Down",287193000,-222058000,65135000,-48527000,-46873000,16608000,1298000,95000,1203000,17906000,17906000,-5429000,12477000,12477000,12477000,12477000,545225000,545225000,133750000,133750000,66413000,21754000,3210000,41449000,745388000,27085000,36051000,298274000,138524000,9169000,42169000,108412000,361410000,1106798000,513183000,20374000,10004000,482805000,95290000,43886000,608473000,162305000,55593000,106712000,162305000,770778000,233359000,-191000,101177000,1675000,336020000,336020000,1106798000,12477000,2984000,-1776000,192940000,206625000,-2338000,-157000,-4044000,-3450000,-50000,-3500000,199081000,199081000,-2148000,196933000,19592000,1.49011611938477e-08,215623000,0.2268,0.05783,0.04344,0.03713,0.01127,17.28164,1.22501,2.29385,-6.93889390390723e-18,0.62987,0.61819,14.49811,16.963,10.8851,0.17416,0.03196,0.4327,0.27651,-27.82896,-32.82906
"47","2022_Q2",33.928064516129,"Down",285537000,-219433000,66104000,-35872000,-29794000,30232000,-2361000,110000,-2471000,27871000,27871000,-9404000,18467000,18467000,18467000,18467000,267986000,267986000,186220000,186220000,81396000,30681000,3569000,47146000,535602000,27162000,38006000,294802000,139017000,8462000,42159000,105164000,359970000,895572000,211410000,16350000,15397000,179663000,128309000,72945000,339719000,133853000,57076000,76777000,205088000,544807000,233838000,-191000,116525000,593000,350765000,350765000,895572000,18467000,2620000,3659000,-286942000,-262196000,-1804000,-4248000,-6052000,-3119000,-3219000,-6338000,-274586000,-274586000,-2671000,-277257000,32852000,71235000,-246490000,0.23151,0.10588,0.06467,0.05265,0.02062,-13.34759,1.5766,1.5532,0.07954,0.94258,0.90966,14.57416,17.90348,-12.58116,0.1592,0.03883,-0.44344,0.1689,-5.98901,-6.50804
"48","2022_Q3",29.315,"Down",301109000,-225087000,76022000,-42156000,-35203000,33866000,1073000,299000,774000,34939000,34939000,-10790000,24149000,24149000,24149000,24149000,336634000,336634000,214268000,214268000,77123000,25819000,4990000,46314000,628025000,27294000,33756000,292991000,138511000,7720000,40735000,106025000,354041000,982066000,369231000,16428000,3544000,349259000,127547000,78783000,496778000,116814000,51877000,64937000,116814000,613592000,238026000,-191000,137570000,-6931000,368474000,368474000,982066000,24149000,2621000,4431000,51483000,82684000,-2432000,-119999.999999999,-2552000,-3104000,0,-3104000,77028000.0000001,77028000.0000001,-8380000,68648000.0000001,36487000,0,96328000,0.25247,0.11247,0.0802,0.06554,0.02459,3.9889,1.2642,1.66522,0,1.22422,1.18879,15.26457,18.67961,4.88330000000001,0.15736,0.05616,0.1985,0.12854,-9.22614,-9.94018000000001
