"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",108.984920634921,"Up",285370000,-83469000,201901000,-125424000,-17636000,-107788000,76477000,-16931000,-31031000,59546000,0,59546000,59546000,59546000,-5773000,53773000,-2500000,51273000,118562000,118562000,9899000,9899000,27713000,27713000,156174000,10046521000,485262000,857366000,823674000,11389149000,11545323000,823472000,740070000,83402000,1153890000,1977362000,3663150000,3663150000,5640512000,5288720000,43864000,5406970000,497841000,5904811000,11545323000,59546000,107788000,-29429000,-4409000,133496000,-223765000,38491000,-106091000,-332044000,-81820000,40401000,245784000,245784000,-5268000,199097000,549000,549000,847000,1396000,184265000,4817040000,0.70751,0.26799,0.17967,0.00868,0.00444,0.07898,0.95524,0.41723,0.55372,0.54957,3.08182,57.58854,0.8836,0.01241,1.59577,25.49848,61.43648
"32","2018_Q1",108.113278688525,"Down",298791000,-88073000,210718000,-126624000,-18910000,-107714000,84094000,-35706000,-36082000,48388000,-2781000,45607000,45607000,45607000,-6219000,39388000,-2557000,36831000,254381000,254381000,10262000,10262000,22805000,22805000,287448000,10298019000,523254000,995232000,884614000,11816505000,12103953000,855977000,763832000,92145000,771061000,1627038000,3993746000,3993746000,5620784000,5825256000,50024000,5949666000,533503000,6483169000,12103953000,45607000,107714000,-24761000,-34920000,93640000,-221639000,-77919000,-91700000,-423362000,-83619000,-50347000,570006000,570006000,24449000,460489000,130767000,130767000,144000,130911000,191808000,4764807000,0.70524,0.28145,0.12327,0.00568,0.00304,0.17667,0.86698,0.39366,0.38678,0.38361,3.13777,61.69957,0.87813,0.01071,2.27034,23.51532,53.63553
"33","2018_Q2",109.66671875,"Up",320139000,-91771000,228368000,-136640000,-22421000,-114219000,91728000,49790000,-36915000,141518000,0,141518000,141518000,141518000,-5888000,135630000,-3243000,132387000,221645000,221645000,11258000,11258000,37337000,37337000,270240000,10671227000,724310000,1155419000,985554000,12550956000,12821196000,877051000,783986000,93065000,775689000,1652740000,4435109000,4435109000,6087849000,6118983000,1227999.99999999,6194597000,538750000,6733347000,12821196000,141518000,114219000,-30585000,-96231000,128921000,-206404000,-58247000,-310942000,-598038000,-92362000,444953000,99369000,99369000,-641000,451319000,-17798000,-17798000,-406000,-18204000,205947000,5210798000,0.71334,0.28653,0.41353,0.01966,0.01033,0.16351,0.90413,0.40642,1.32579,1.32222,3.20604,61.29098,0.92496,0.01882,0.69767,24.22542,54.39073
"34","2018_Q3",111.76619047619,"Up",325034000,-91908000,233126000,-141791000,-22939000,-118852000,91335000,-24477000,-38097000,66858000,-6311000,60547000,60547000,60547000,-5817000,54730000,-2126000,52604000,287029000,287029000,8704000,8704000,34812000,34812000,330545000,11190771000,790753000,1250121000,1057149000,13231645000,13562190000,947950000,849274000,98676000,776260000,1724210000,4837845000,4837845000,6562055000,6388560000,-2485000,6460461000,539674000,7000135000,13562190000,60547000,118852000,-13131000,-36948000,129320000,-224821000,-22161000,-372256000,-670861000,-93282000,410250000,300838000,300838000,-12639000,605167000,63626000,63626000,-767000,62859000,210187000,5614105000,0.71724,0.281,0.16184,0.00751,0.00388,0.19171,0.93742,0.41395,0.51633,0.51453,3.19033,62.68171,0.9156,0.01157,1.77329,25.34446,58.32459
"35","2018_Q4",108.663492063492,"Down",341823000,-99759000,242064000,-142260000,-22660000,-119600000,99804000,120677000,-42244000,220481000,-1122000,219359000,219359000,219359000,-5723000,213636000,-4546000,209090000,204181000,204181000,11041000,11041000,29699000,29699000,244921000,11587312000,957356000,1315977000,1118007000,13860645000,14105566000,1008178000,907094000,101084000,632792000,1640970000,5051212000,5051212000,6692182000,6802208000,-3811000,6872783000,540601000,7413384000,14105566000,219359000,119600000,-52637000,-130475000,155847000,-226715000,35577000,-261315000,-495250000,-98893000,69747000,296325000,296325000,-15859000,251320000,-88083000,-88083000,122000,-87961000,219404000,5684004000,0.70816,0.29198,0.61169,0.0282,0.01482,0.14925,0.90272,0.40296,2.00703,1.98406,3.28111,65.25688,0.94926,0.02351,0.47297,24.97595,54.90585
"36","2019_Q1",118.280655737705,"Up",340463000,-97682000,242781000,-147375000,-22385000,-124990000,95406000,-122741000,-40239000,-27334999.9999999,8704000,-18631000,-18631000,-18631000,-6053000,-24684000,-5414000,-30098000,234181000,234181000,9798000,9798000,37949000,37949000,281928000,11913693000,892264000,1377071000,1139564000,14183028000,14464956000,1091987000,981707000,110280000,630547000,1722534000,4847708000,4847708000,6570242000,7288064000,-10435000,7341965000,552749000,7894714000,14464956000,-18631000,124990000,-158169000,208061000,156251000,-1219626000,-107099000,812249000,-397611000,-101302000,-206733000,596769000,596769000,-8106999.99999994,280627000,39267000,39267000,-1017000,38250000,220396000,5478255000,0.71309,0.28022,-0.0884,-0.00381,-0.00208,0.16367,0.83223,0.37873,-0.28361,-0.28519,3.20813,68.57601,0.95455,0.00532,-3.36574,23.79387,54.96587
"37","2019_Q2",130.597142857143,"Up",358842000,-101501000,257341000,-158764000,-24677000,-134087000,98577000,45602000,-39100000,144179000,-7361000,136818000,136818000,136818000,-7659000,129159000,-5561000,123598000,551777000,261372000,9645000,9645000,54433000,54433000,615855000,12410350000,1000904000,1453097000,1453097000,14864351000,15480206000,1281789000,1171377000,110412000,356461000,1638250000,5487042000,5487042000,7125292000,7519828000,-10712000,7566577000,788337000,8354914000,15480206000,136818000,134087000,-14579000,-119596000,136730000,-241049000,-52634000,-417858000,-734333000,-110468000,-509343000,0,0,1260617000,640806000,43203000,43203000,472000,43675000,232664000,5843503000,0.71714,0.27471,0.34444,0.01479,0.00798,0.37592,0.85283,0.37748,1.11295,1.11295,3.23124,67.6168,0.99472,0.01649,0.89377,22.74407,53.68114
"38","2019_Q3",134.6125,"Up",373856000,-105689000,268167000,-160871000,-26434000,-134437000,107296000,-20117000,-42879000,87178999.9999999,-7.45058059692383e-09,87179000,87179000,87179000,-8412000,78767000,-2184000,76583000,533071000,198909000,9228000,9228000,39316000,39316000,581615000,12872824000,1057854000,1527177000,1527177000,15457855000,16039470000,1271796000,1157417000,114379000,354186000,1625982000,6002019000,6002019000,7628001000,7582693000,-11134000,7629020000,782449000,8411469000,16039470000,87179000,134437000,-20936000,-29070000,171610000,-336273000,-43316000,-306172000,-717904000,-110578000,512465000,85394000,85394000,-18869000,468412000,-77882000,-77882000,302000,-77580000,241733000,6356205000,0.7173,0.287,0.20485,0.0091,0.00477,0.3577,0.90686,0.39629,0.68724,0.68682,3.35489,67.94536,0.9923,0.01267,1.4439,24.08911,54.27168
"39","2019_Q4",144.5571875,"Up",390484000,-116450000,274034000,-163500000,-27930000,-135570000,110534000,-106328000,-46203000,4206000,-40209000,-36003000,-36003000,-36003000,-11199000,-47202000,-2571000,-49773000,750865000,410675000,10668000,10668000,42295000,42295000,803828000,13618280000,990454000,1645592000,1645592000,16254326000,17058154000,1356851000,1241276000,115575000,351852000,1708703000,6385831000,6385831000,8094534000,7744320000,-11549000,7790232000,1173388000,8963620000,17058154000,-36003000,135570000,16917000,80742000,197226000,-335501000,-137871000,-480196000,-898633000,-114550000,1213915000,150093000,150093000,-3.33e+08,916458000,215051000,215051000,-306000,214745000,246104000,6737683000,0.70178,0.28307,-0.12746,-0.00555,-0.00292,0.47043,0.90304,0.39498,-0.44389,-0.44212,3.48242,68.96255,1.02158,0.00413,-2.30145,24.32637,54.16268
"40","2020_Q1",144.48064516129,"Down",408114000,-121852000,286262000,-170300000,-29782000,-140518000,115962000,111951000,-45493000,227913000,-11860000,216053000,216053000,216053000,-13612000,202441000,-1854000,200587000,536571000,189681000,10691000,10691000,53008000,53008000,600270000,14844038000,1140594000,1805601000,1805601000,17790233000,18390503000,1446546000,1320268000,126278000,349352000,1795898000,6428127000,6428127000,8224025000,8875575000,-9749000,8865826000,1300652000,10166478000,18390503000,216053000,140518000,-209039000,30759000,178291000,-2564877000,131740000,1142687000,-1290450000,-115574000,32582000,980958000,980958000,3840000,901806000,-210353000,-210353000,72000,-210281000,256480000,6777479000,0.70143,0.28414,0.4915,0.01973,0.01091,0.33425,0.80894,0.36853,1.75652,1.74484,3.5738,77.63692,1.01207,0.01866,0.57618,24.33292,53.81856
"41","2020_Q2",142.045079365079,"Down",439919000,-129103000,310816000,-207459000,-31963000,-175496000,103357000,-70676000,-45739000,32681000,-2003000,30678000,30678000,30678000,-11913000,18765000,-1925000,16840000,445255000,445255000,14976000,14976000,43116000,43116000,503347000,15832182000,1123482000,2242924000,1917259000,19198588000,19701935000,1482535000,1352554000,129981000,347136000,1829671000,6957999000,6957999000,8787670000,9338192000,-15606000,9322586000,1591679000,10914265000,19701935000,30678000,175496000,2157000,-17064000,191267000,-851074000,-33652000,51134000,-833592000,-126278000,535052000,504338000,504338000,-23437000,889675000,247350000,247350000,-1668000,245682000,278853000,7305135000,0.70653,0.23495,0.03828,0.00154,0.000849999999999998,0.2751,0.80515,0.37078,0.13868,0.13828,3.62273,76.77144,1.0399,0.00786,7.49869,24.60034,66.37073
"42","2020_Q3",156.19265625,"Up",436956000,-123911000,313045000,-199802000,-31775000,-168027000,113243000,143536000,-45014000,256779000,-13218000,243561000,243561000,243561000,-13907000,229654000,-1649000,228005000,206860000,206860000,7208000,7208000,34680000,34680000,248748000,16281125000,1318465000,2220770000,1893912000,19820360000,20069108000,1476862000,1343181000,133681000,344784000,1821646000,7178486000,7178486000,9000132000,9444520000,-13080000,9431440000,1637536000,11068976000,20069108000,243561000,168027000,-198504000,-10694000,202390000,-574569000,-45177000,56277999.9999999,-563468000,-129981000,217392000,0,0,25883000,113294000,-247784000,-247784000,953000,-246831000,281270000,7523270000,0.71642,0.25916,0.5218,0.0206,0.01136,0.13655,0.8131,0.37487,1.83383,1.83212,3.5144,75.85629,1.04543,0.01925,0.570079999999999,26.01205,64.60806
"43","2020_Q4",155.6271875,"Down",545042000,-140443000,404599000,-213744000,-36913000,-176831000,190855000,-36192000,-43318000,154663000,-58864000,95799000,95799000,95799000,-14743000,81056000,-1730000,79326000,777047000,446255000,7641000,7641000,38788000,38788000,823476000,17600648000,1330945000,2155602000,2155602000,21087195000,21910671000,1752380000,1609340000,143040000,342363000,2094743000,7480808000,7480808000,9575551000,10712452000,-10638000,10701814000,1633306000,12335120000,21910671000,95799000,176831000,23908000,18746000,315284000,-1436570000,75538000,-106924000,-1467956000,-133681000,257813000,1309235000,1309235000,-37555000,1395812000,243140000,243140000,363000,243503000,367686000,7823171000,0.74233,0.35017,0.14554,0.00643,0.00362,0.39312,0.77628,0.35705,0.63503,0.63034,4.36323,85.6714,1.07016,0.01057,1.68521,19.16343,36.91873
"44","2021_Q1",157.914590163934,"Up",463720000,-136767000,326953000,-210440000,-32690000,-177750000,116513000,221192000,-37538000,337705000,119428000,457133000,457133000,457133000,-15649000,441484000,15472000,456956000,568532000,568532000,7333000,7333000,29173000,29173000,605038000,18092372000,1611114000,2519354000,2187005000,22222840000,22827878000,1820814000,1669832000,150982000,230925000,2051739000,7332361000,7332361000,9384100000,11730970000,-6625000,11725712000,1718066000,13443778000,22827878000,457133000,177750000,-303268000,-158046000,173569000,-406631000,-153000,-6361000.00000006,-413145000,-143040000,-213575000,502289000,502289000,205901000,351575000,111999000,111999000,663000,112662000,294263000,7563286000,0.70507,0.25126,0.98541,0.03399,0.02002,0.29489,0.69803,0.33132,3.41672,3.4132,3.4673,87.66455,1.06953,0.02856,0.31303,23.77042,60.03411
"45","2021_Q2",170.68873015873,"Up",479849000,-137888000,341961000,-214909000,-33996000,-180913000,127052000,-31916000,-36467000,95136000,-69603000,25533000,25533000,25533000,-17412000,8121000,-2014000,6107000,492184000,492184000,7556000,7556000,42219000,42219000,541959000,20253418000,1641811000,2797158000,2471230000,24692387000,25234346000,1911466000,1750687000,160779000,229406000,2140872000,8311512000,8311512000,10452384000,12996205000,-5799000,12990406000,1791556000,14781962000,25234346000,25533000,180913000,45203000,-39596000,212053000,-2310759000,-9048000,-118073000,-2437880000,-150982000,911464000,1397649000,1397649000,4123000,2162254000,-63573000,-63573000,271000,-63302000,307965000,8540918000,0.71264,0.26477,0.01273,0.000410000000000001,0.000240000000000001,0.25315,0.7071,0.33846,0.04447,0.04435,3.49441,94.60021,1.0995,0.00674,24.72278,26.13522,63.34992
"46","2021_Q3",191.025,"Up",509619000,-143955000,365664000,-227932000,-37880000,-190052000,137732000,271714000,-35158000,409446000,-4925999.99999997,404520000,404520000,404520000,-19436000,385084000,-2649000,382435000,323876000,323876000,6710000,6710000,33697000,33697000,364283000,21692385000,1999283000,2962899000,2639277000,26654567000,27018850000,1996034000,1825387000,170647000,227984000,2224018000,8613015000,8613015000,10837033000,14195530000,-4508000,14191022000,1990795000,16181817000,27018850000,404520000,190052000,-322853000,-31958000,239761000,-1612998000,-719999.999999999,-84859000,-1698577000,-160778000,299173000,868815000,868815000,274618000,1281828000,-176988000,-176988000,158000,-176830000,327784000,8840999000,0.71752,0.27026,0.75043,0.02363,0.01415,0.16379,0.6697,0.32722,2.78501,2.77755,3.71121,103.34347,1.17084,0.02171,0.42041,25.98395,61.83837
"47","2021_Q4",199.744375,"Up",547759000,-165995000,381764000,-248773000,-37931000,-210842000,132991000,34497000,-35678000,167488000,-43055000,124433000,124433000,124433000,-21286000,103147000,-1883000,101264000,325872000,325872000,7749000,7749000,42182000,42182000,375803000,23071514000,2046878000,3064523000,2742786000,28182915000,28558718000,2323010000,2149450000,173560000,198758000,2521768000,9064829000,9064829000,11586597000,14729267000,-6029000,14723238000,2248883000,16972121000,28558718000,124433000,210842000,31579000,-58031000,308823000,-1311912000,-19000,14995000,-1296936000,-170648000,449142000,492081000,492081000,228106000,998681000,10568000,10568000,-86999.9999999999,10481000,343833000,9263587000,0.69696,0.24279,0.18487,0.00597,0.00355,0.14902,0.68268,0.32437,0.67127,0.66814,3.63105,97.59925,1.13121,0.01036,1.68518,25.99435,67.20541
"48","2022_Q1",189.30435483871,"Down",576923000,-175717000,401206000,-280908000,-41654000,-239254000,120298000,-144728000,-34862000,-24430000,124226000,99796000,99796000,99796000,-24901000,74895000,14394000,89289000,361348000,361348000,7379000,7379000,53879000,53879000,422606000,24980669000,1876564000,2939534000,2901051000,29796767000,30219373000,2394257000,2210410000,183847000,205198000,2599455000,8586668000,8586668000,11186123000,16196836000,-7294000,16189542000,2843708000,19033250000,30219373000,99796000,239254000,-8663999.99999994,-80826000,249560000,-2098256000,-12927000,437252000,-1673931000,-173560000,-404037000,770552000,770552000,1280643000,1473598000,49227000,49227000,-2054000,47173000,359552000,8791866000,0.69542,0.20852,0.15477,0.00469,0.00295,0.16257,0.58771,0.29093,0.59189,0.58913,3.82438,107.31928,1.15052,0.00945,1.9438,23.44728,70.08028
"49","2022_Q2",165.556451612903,"Down",615065000,-181328000,433737000,-281590000,-40931000,-240659000,152147000,-269539000,-29440000,-117392000,294760824.291734,-117392000,-117392000,-117392000,-32177000,-149569000,-2081000,-151650000,775060000,775060000,7570000,7570000,95106000,95106000,877736000,27100009000,1661101000,3205410000,3166954000,31966520000,32844256000,2360393000,2172692000,187701000,208910000,2569303000,10094337000,10094337000,12663640000,16935708000,-5727000,16929981000,3250635000,20180616000,32844256000,-117392000,240659000,201841000,-134022000,191086000,-2570164000,-335000,81701000,-2488798000,-183847000,1527494000,646316000,646316000,762607000,2752570000,454858000,454858000,81000,454939000,392806000,10303247000,0.70519,0.24737,-0.24656,-0.00751,-0.00462,0.34162,0.62752,0.3137,-0.98818,-0.98278,4.00788,110.31891,1.19798,0.00106,-1.21231,24.25672,62.62488
"50","2022_Q3",150.95609375,"Down",643764000,-196284000,447480000,-285475000,-43397000,-242078000,162005000,-63525000,-24257000,98480000,210902000,309382000,309382000,309382000,-37168000,272214000,-2053000,270161000,420258000,420258000,7069000,7069000,97404000,97404000,524731000,27952931000,1657461000,3108930000,3071343000,32719322000,33244053000,2510511000,2317940000,192571000,24986000,2535497000,10246420000,10246420000,12781917000,17151186000,-11851000,17139335000,3322801000,20462136000,33244053000,309382000,242078000,-196599000,-15827000,339034000,-614745000,-999.999999998137,7345000,-607401000,-187700000,-37412999.9999995,0,0,141443000,-83670000,-352037000,-352037000,-467000,-352504000,404083000,10271406000,0.6951,0.25165,0.41966,0.0132,0.00813,0.20695,0.62466,0.30897,1.70774,1.70774,4.06936,108.34103,1.18649,0.0149,0.69477,24.37902,60.80768
