"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",124.102380952381,"Up",301460000,-49991000,251469000,-200327000,-67537000,-132790000,51142000,388000,1022000,-634000,51530000,51530000,-17623000,33907000,33907000,33907000,33907000,298759000,256326000,74123000,31777000,31777000,404659000,96845000,73780000,33811000,17224000,3609000,19136000,170625000,575284000,12379000,12379000,124371000,124371000,136750000,9253000,8125000,1128000,9253000,146003000,83566000,349579000,-3864000,429281000,429281000,575284000,33907000,4154000,-5805000,5419000.00000001,37675000,-3342000,5198000,-40577000,855000,855000,-2047000,-2047000,-8206000,-10253000,55296000,-9.09494701772928e-13,74996000,0.83417,0.16965,0.11248,0.07899,0.05894,2.21181,2.95912,0.34011,0,1.40146,1.36496,12.46011,17.74328,3.09978,0.07732,0.17102,-5.4029,-5.84175
"33","2018_Q4",115.633015873016,"Down",296767000,-51877000,244890000,-199376000,-69112000,-130264000,45514000,1012000,1261000,-249000,46526000,46526000,-15486000,31040000,31040000,31040000,31040000,321424000,239751000,81110000,32228000,32228000,434762000,93555000,71064000,32217000,16829000,3771000,18247000,164619000,599381000,14467000,14467000,138419000,138419000,152886000,10906000,9848000,1058000,10906000,163792000,83240000,362250000,-9901000,435589000,435589000,599381000,31040000,4049000,5764000,13647000,54500000,-2226000,41000,-41425000,-16000,-22663000,-9588000,-9588000,-7097000,-16685000,49563000,0,76470000,0.82519,0.15337,0.10459,0.07126,0.05179,2.4636,2.8437,0.37602,0,1.279,1.24155,12.22823,17.94837,3.15093,0.06952,0.17127,-6.48516,-7.06209
"34","2019_Q1",104.379508196721,"Down",299023000,-49467000,249556000,-200988000,-68278000,-132710000,48568000,895000,1278000,-383000,49463000,49463000,-17132000,32331000,32331000,32331000,32331000,277865000,214326000,81948000,32522000,32522000,392335000,92025000,70103000,31811000,16815000,3348000,18129000,162128000,554463000,9947000,9947000,138739000,138739000,148686000,14631000,13367000,1264000,14631000,163317000,72032000,329501000,-10387000,391146000,391146000,554463000,32331000,4109000,8153000,-4167000,40426000,-2571000,48000,15611000,-433000,-80218000,-24181000,-24181000,-1356000,-25537000,52677000,5.6843418860808e-14,63071000,0.83457,0.16242,0.10812,0.08266,0.05831,1.95079,2.63868,0.41753,-1.05879118406788e-22,1.35372,1.32217,12.52033,16.37759,2.64083,0.07968,0.15543,-5.27488,-5.72115
"35","2019_Q2",79.3036507936508,"Down",272990000,-45901000,227089000,-192085000,-69555000,-122530000,35004000,1290000,1472000,-182000,36294000,36294000,-12122000,24172000,24172000,24172000,24172000,251895000,225041000,86465000,31819000,31819000,370179000,91994000,89410000,32227000,17073000,3249000,36861000,181404000,551583000,11700000,11700000,118292000,118292000,129992000,30374000,17507000,12867000,30374000,160366000,69123000,329001000,-6907000,391217000,391217000,551583000,24172000,3866000,8926000,-31443000,5521000,-2571000,-1605000,32509000,-1413000,-31413000,6617000,6617000,4170000,10787000,38870000,0,16978000,0.83186,0.12822,0.08855,0.06179,0.04382,0.70238,2.84771,0.40992,0,1.0293,1.01024,11.62451,16.65887,0.72296,0.05734,0.04027,-6.48045,-7.19618
"36","2019_Q3",67.14875,"Down",256016000,-46494000,209522000,-178365000,-66854000,-111511000,31157000,1355000,1291000,64000.0000000001,32512000,32512000,-11134000,21378000,21378000,21378000,21378000,234352000,231353000,88127000,26304000,26304000,348783000,92637000,90981000,31129000,16829000,5473000,37550000,183618000,532401000,11694000,11694000,117065000,117065000,128759000,19486000,5787000,13699000,19486000,148245000,68869000,327544000,-12257000,384156000,384156000,532401000,21378000,3788000,-7044000,-2964000,15158000,-4553000,1973000,21275000,-235000,-27858000,8575000,8575000,-2331000,6244000,34945000,0,38562000,0.81839,0.1217,0.0835,0.05565,0.04015,1.80382,2.7088,0.3859,0,0.91972,0.9148,11.01428,16.5271,1.65901,0.05296,0.09554,-6.70631,-7.52165
"37","2019_Q4",73.675,"Up",260598000,-47819000,212779000,-177321000,-66262000,-111059000,35458000,430000,944000,-514000,35888000,35888000,-11666000,24222000,24222000,24222000,24222000,182748000,182748000,76141000,24089000,24089000,282978000,91515000,88548000,29667000,16456000,5267000,37158000,180063000,463041000,8605000,8605000,121041000,121041000,129646000,19109000,5433000,13676000,19109000,148755000,56915000,275392000,-18021000,314286000,314286000,463041000,24222000,3533000,6300000,16259000,50314000,-4237000,53000,-1185000,-99000.0000000001,-92476000,-43347000,-43347000,-5362000,-48709000,38991000,0,62679000,0.8165,0.13606,0.09295,0.07707,0.05231,2.58769,2.1827,0.47331,0,1.09211,1.08995,11.74976,14.17043,2.82605,0.07265,0.188,-4.68693,-5.15393
"38","2020_Q1",69.5509677419355,"Down",271298000,-47289000,224009000,-179438000,-65060000,-114378000,44571000,1231000,934000,297000,45802000,45802000,-15048000,30754000,30754000,30754000,30754000,234830000,234830000,68905000,25544000,25544000,329279000,95233000,92422000,29840000,16636000,3090000,42856000,187655000,516934000,12525000,12525000,123573000,123573000,136098000,29124000,10282000,18842000,29124000,165222000,59467000,306146000,-13901000,351712000,351712000,516934000,30754000,3556000,12072000,9358000,55740000,-5191000,85999.9999999998,-5105000,-305000,-305000.00000003,50330000,50330000,1802000,52132000,48127000,0,67342000,0.82569,0.16429,0.11336,0.08744,0.05949,2.1897,2.41943,0.46977,-1.32348898008484e-23,1.41926,1.41378,12.5201,16.23111,3.10776,0.08075,0.17683,-4.87938,-5.26867
"39","2020_Q2",78.4422222222222,"Up",266619000,-46059000,220560000,-181548000,-65479000,-116069000,39012000,151000,963000,-812000,39163000,39163000,-12611000,26552000,26552000,26552000,26552000,194098000,194098000,60568000,32097000,32097000,286763000,97246000,89741000,29071000,16493000,2756000,41421000,186987000,473750000,11824000,11824000,112680000,112680000,124504000,31638000,13730000,17908000,31638000,156142000,52025000,284682000,-19099000,317608000,317608000,473750000,26552000,3494000,10260000,-9520000,30786000,-7266000,-1004000,-8270000,-1823000,-58852000,-36336000,-36336000,-4436000,-40772000,42506000,0,38331000,0.82725,0.14632,0.09959,0.0836,0.05605,1.44362,2.30324,0.49162,0,1.23515,1.23205,12.40261,14.77453,1.78309,0.07603,0.10975,-4.56637,-4.97534
"40","2020_Q3",80.22890625,"Up",258991000,-47674000,211317000,-171731000,-60879000,-110852000,39586000,393000,218000,175000,39979000,39979000,-12002000,27977000,27977000,27977000,27977000,227368000,227368000,69279000,28302000,28302000,324949000,98435000,88767000,29008000,16521000,3741000,39497000,187202000,512151000,10942000,10942000,128775000,128775000,139717000,23358000,6584000,16774000,23358000,163075000,55547000,312659000,-19130000,349076000,349076000,512151000,27977000,3550000,-4124000,5235000,32638000,-3555000,2029000,-1526000,-75000,-75000,31037000,31037000,2241000,33278000,43136000,1.13686837721616e-13,56818000,0.81592,0.15285,0.10802,0.08015,0.05463,2.03088,2.32577,0.46716,2.11758236813575e-22,1.33015,1.3241,12.31355,16.59659,2.70137,0.07512,0.15256,-5.27096,-5.74365
"41","2020_Q4",77.35,"Down",298513000,-56358000,242155000,-196800000,-65656000,-131144000,45355000,-1080000,-917000,-163000,44275000,44275000,-13769000,30506000,30506000,30506000,30506000,278418000,278418000,78167000,29447000,29447000,386032000,99400000,92100000,29748000,16894000,4618000,40840000,191500000,577532000,14173000,14173000,146690000,146690000,160863000,27552000,8248000,19304000,27552000,188415000,59032000,343165000,-13080000,389117000,389117000,577532000,30506000,3469000,6384000,8703000,49062000,-2789000,57000,-2732000,-43000,-43000,46287000,46287000,4867000,51154000,48824000,0,68507000,0.8112,0.15194,0.10219,0.0784,0.05282,2.24569,2.39976,0.48421,0,1.4497,1.44107,14.18586,18.49152,3.25557,0.07321,0.16442,-5.70248,-6.13864
"42","2021_Q1",91.0080327868853,"Up",310521000,-59020000,251501000,-198963000,-69172000,-129791000,52538000,1993000,1764000,229000,54531000,54531000,-14902000,39629000,39629000,39629000,39629000,311917000,311917000,90224000,23145000,23145000,425286000,100445000,115156000,30796000,17367000,4640000,62353000,215601000,640887000,18195000,18195000,149878000,149878000,168073000,31164000,12009000,19155000,31164000,199237000,62481000,382794000,-3625000,441650000,441650000,640887000,39629000,3234000,8914000,-3862000,47915000,-1478000,44999.9999999995,-21433000,-472000,-472000.000000004,26010000,26010000,8579000,34589000,55772000,-1.81898940354586e-12,65334000,0.80993,0.16919,0.12762,0.08973,0.06183,1.64864,2.53036,0.45112,3.3881317890172e-21,1.88252,1.8715,14.75089,20.98,3.10361,0.08382,0.13818,-5.59272,-5.93698
"43","2021_Q2",100.400476190476,"Up",307976000,-57651000,250325000,-206128000,-71633000,-134495000,44197000,139000,755000,-616000,44336000,44336000,-13715000,30621000,30621000,30621000,30621000,256964000,256964000,87646000,28570000,28570000,373180000,98622000,112710000,30345000,17310000,5164000,59891000,211332000,584512000,11952000,11952000,139500000,139500000,151452000,30283000,13975000,16308000,30283000,181735000,54104000,353213000,-4540000,402777000,402777000,584512000,30621000,3231000,9014000,-23207000,19659000,-1584000,-1504000,-3088000,-2865000,-70475000,-53904000,-53904000,-1962000,-55866000,47428000,0,36352000,0.81281,0.14351,0.09943,0.07602,0.05239,1.18716,2.46402,0.45121,0,1.46568,1.45151,14.74134,19.27901,1.74,0.07071,0.08394,-5.41798,-5.81406
"44","2021_Q3",96.2128125,"Down",336837000,-57014000,279823000,-226103000,-72240000,-153863000,53720000,590000,663000,-73000,54310000,54310000,-16076000,38234000,38234000,38234000,38234000,265368000,265368000,89587000,26551000,26551000,381506000,97849000,112094000,30489000,17467000,5486000,58652000,209943000,591449000,13144000,13144000,139856000,139856000,1.53e+08,19826000,4806000,15020000,19826000,172826000,53929000,365650000,-956000,418623000,418623000,591449000,38234000,3280000,-2622000,266000,39158000,-1547000,53000,-1494000,-116000,-31661000,6002999.99999999,6002999.99999999,2477000,8480000,5.7e+07,2.91038304567337e-11,71795000,0.83074,0.15948,0.11351,0.09133,0.06464,1.87778,2.4935,0.41284,-5.42101086242752e-20,1.83008,1.81238,16.12277,20.03748,3.43648,0.0872,0.16375,-4.65558,-4.93984
"45","2021_Q4",99.75078125,"Up",274352000,-50715000,223637000,-182867000,-66645000,-116222000,40770000,-420000,469000,-889000,40350000,40350000,-13020000,27330000,27330000,27330000,27330000,248695000,248695000,96316000,23414000,23414000,368425000,100957000,109564000,30312000,17510000,5465000,56277000,210521000,578946000,13706000,13706000,144258000,144258000,157964000,21903000,7840000,14063000,21903000,179867000,50966000,349586000,-1473000,399079000,399079000,578946000,27330000,3243000,8867000,-1952000,37488000,-6464000,12000,-6452000,-60000,-46831000,-15795000,-15795000,-866000,-16661000,44013000,0,48617000,0.81515,0.1486,0.09962,0.06848,0.04721,1.77889,2.33234,0.45071,0,1.34188,1.32889,13.47042,19.59439,2.38705,0.06492,0.11548,-5.65049,-6.09995
"46","2022_Q1",90.1512903225806,"Down",267299000,-52518000,214781000,-183276000,-68589000,-114687000,31505000,141000,571000,-430000,31646000,31646000,-11326000,20320000,20320000,20320000,20320000,239832000,239832000,98318000,26967000,26967000,365117000,101780000,110843000,30442000,17668000,4839000,57894000,212623000,577740000,13508000,13508000,147282000,147282000,160790000,21826000,7497000,14329000,21826000,182616000,50029000,344637000,458000,395124000,395124000,577740000,20320000,3282000,5287000,-3967000,24922000,-3153000,0,-3153000,-534000,-32445000,-10676000,-10676000,2439000,-8237000.00000001,34787000,2.3283064365387e-10,38993000,0.80352,0.11786,0.07602,0.05143,0.03517,1.91895,2.27077,0.46217,4.33680868994202e-19,1.21338,1.19572,15.96136,23.59424,2.32841,0.04873,0.09352,-6.8943,-7.61251
"47","2022_Q2",74.4696774193548,"Down",272867000,-51383000,221484000,-188417000,-68797000,-119620000,33067000,220000,707000,-487000,33287000,33287000,-10818000,22469000,22469000,22469000,22469000,237753000,237753000,97581000,28451000,28451000,363785000,100792000,108342000,30124000,17661000,4542000,56015000,209134000,572919000,11248000,11248000,136719000,136719000,157967000,25006000,11419000,13587000,25006000,182973000,45970000,344755000,-779000,389946000,389946000,572919000,22469000,3279000,9174000,-15221000,19701000,-1786000,-410802.94108053,-1786000,-4211000,-19593000,-1678000,-1678000,-403000,-2081000,36346000,1e+07,30157000,0.81169,0.12118,0.08234,0.05762,0.03922,1.34216,2.30292,0.46923,0.01745,1.15861,1.14212,14.07039,20.10756,1.55505,0.05287,0.07097,-6.26625,-6.88762
"48","2022_Q3",66.10421875,"Down",264474000,-49517000,214957000,-185591000,-66387000,-119204000,29366000,-58000,577000,-635000,29308000,29308000,-10151000,19157000,19157000,19157000,19157000,230370000,230370000,84164000,27470000,27470000,342004000,97827000,118128000,34371000,17476000,11265000,55016000,215955000,557959000,10175000,10175000,123419000,123419000,133594000,20684000,5142000,15542000,20684000,154278000,49225000,363912000,-9456000,403681000,403681000,557959000,19157000,3349000,-5081000,-2812000,14613000,-1746000,-1977000,-3723000,-301000,-10301000,589000,589000,-8132000,-7543000,32715000,0,38308000,0.81277,0.11104,0.07243,0.04746,0.03433,1.99969,2.56003,0.38218,0,0.98783,0.97377,13.6376,20.81581,1.97535,0.04514,0.09027,-7.04172,-7.84479
