"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2020_Q1",186.62435483871,"Down",1722000,-1131000,591000,-3827000,-3189000,-638000,-3236000,-4190000,-4204000,-4204000,-4204000,-4047000,-4047000,3157000,3157000,1278000,1278000,3484000,1602000,602000,9521000,2028000,2028000,3665000,1417000,5693000,15214000,3604000,1447000,2157000,3081000,620000,2461000,6685000,1921000,20000,7613000,14298000,237316000,-236932000,386000,916000,15214000,-4204000,201000,696000,3565000,258000,-4000,-4000.00000000001,0,103000,357000,357000,357000,-3035000,5692000,0.34321,-1.87921,-2.35017,-4.41812,-0.266,1.42423,15.60917,0.37413,-57.8186,-57.8186,24.60183,5.5147,-0.4745,-0.83526,-0.78337
"37","2020_Q2",309.228571428571,"Up",3200000,-1708000,1492000,-2701000,-2092000,-609000,-1209000,-4743000,-4743000,-4743000,-4743000,-4602000,-4602000,5719000,5719000,2029000,2029000,4218000,1429000,429000,13395000,1904000,1904000,3105000,890000,5009000,18404000,2863000,2457000,406000,3618000,617000,3001000,6481000,1833000,19000,7318000,13799000,245710000,-241534000,4216000,4605000,18404000,-4743000,199000,3082000,-1079000,-2541000,-23000,-23000,3220000,5133000,2569000,2569000,2564000,-1010000,5485000,0.46625,-0.37781,-1.43812,-0.99935,-0.25005,2.06681,2.99653,0.29803,-50.12455,-50.12455,34.8541,45.92028,-0.38598,0.231680000000001,0.193550000000001
"38","2020_Q3",196.26328125,"Down",2242000,-4874000,-2632000,-2556000,-1978000,-578000,-5188000,-6510000,-6510000,-6510000,-6510000,-6437000,-6437000,6984000,6984000,1654000,1654000,5189000,837000,837000,14664000,1657000,1657000,3032000,845000,4689000,19353000,4719000,3236000,1483000,1599000,787000,812000,6605000,1758000,19000,7418000,14023000,252944000,-247971000,5014000,5330000,19353000,-6510000,193000,4900000,-4995000,-6412000,-3.63797880709171e-12,-3.63797880709171e-12,1994000,6675000,263000,263000,263000,-4995000,5947000,-1.17395,-2.31401,-2.8711,-1.20769,-0.33261,2.22014,2.63096,0.30729,-45.834,-45.834,15.96393,35.70167,-0.49382,0.20761,0.19988
"39","2020_Q4",106.9775,"Down",2355000,-844000,1511000,-2593000,-1843000,-750000,-1082000,-2609000,-2609000,-2609000,-2609000,-2463000,-2463000,4436000,4436000,1698000,1698000,5876000,766000,766000,12776000,1537000,1537000,2976000,813000,4513000,17289000,3693000,1661000,2032000,1792000,7e+05,1092000,5720000,1689000,20000,8267000,13987000,253544000,-250434000,3132000,3302000,17289000,-2609000,177000,1432000,-1906000,-2906000,0,0,366000,356000,-2550000,-2550000,-2548000,-905000,6813000,0.64161,-0.45945,-1.04586,-0.74591,-0.14246,2.23357,4.23592,0.39407,-16.53032,-16.53032,15.80548,21.02028,-0.20866,-2.62652,-2.19686
"40","2021_Q1",130.039016393443,"Up",1947000,-1059000,888000,-2304000,-1764000,-540000,-1416000,-2941000,-2949000,-2949000,-2949000,-2849000,-2849000,7161000,7161000,1382000,1382000,5877000,878000,878000,15298000,1424000,1424000,4138000,1999000,5562000,20860000,3797000,1366000,2431000,1899000,608000,1291000,6143000,1616000,20000,8847000,14990000,259067000,-253283000,5800000,5870000,20860000,-2949000,173000,438000,-196000,-2534000,-9.09494701772928e-13,0,5259000,5258000,2724000,2724000,2725000,-1243000,7678000,0.45609,-0.72727,-1.46328,-0.48535,-0.13658,2.49031,2.55366,0.36807,-16.16607,-16.16607,11.04785,32.91092,-0.18788,-0.41593,-0.36511
"41","2021_Q2",118.157142857143,"Down",1517000,-809000,708000,-2371000,-1992000,-379000,-1663000,-3183000,-2531000,-2531000,-2531000,-2413000,-2413000,10014000,10014000,826000,826000,5334000,730000,730000,16904000,1337000,1337000,5350000,3227000,6687000,23591000,2351000,1328000,1023000,8140000,696000,7444000,10491000,1540000,20000,2670000,13161000,266157000,-255696000,10478000,10430000,23591000,-2531000,166000,510000,-2097000,-3952000,-27000,-27000,6832000,6832000,2853000,2853000,2853000,-1497000,1130000,0.46671,-1.09624,-1.59064,-0.23135,-0.10228,1.61129,1.26184,0.0479000000000001,-9.49591,-9.49591,5.96987,41.23422,-0.1842,5.93454,5.34215
"42","2021_Q3",104.4984375,"Down",2201000,-1215000,986000,-4124000,-3502000,-622000,-3138000,-4672000,-4672000,-4672000,-4672000,-4539000,-4539000,8668000,8668000,1242000,1242000,5813000,354000,354000,16077000,1282000,1282000,5044000,2929000,6326000,22403000,2571000,1120000,1451000,9340000,903000,8437000,11911000,1462000,20000,2623000,14534000,268256000,-260235000,8050000,7869000,22403000,-4672000,154000,3108000,118000,-1292000,-53000,-53000,0,0,-1345000,-1345000,-1346000,-2984000,1161000,0.44798,-1.42572,-2.06224,-0.57682,-0.20261,1.34976,1.84699,0.05182,-17.16447,-17.16447,8.3232,30.4415,-0.43262,2.51575,2.39229
"43","2021_Q4",65.596875,"Down",3158000,-2043000,1115000,-2220000,-1677000,-543000,-1105000,-1792000,-1792000,-1792000,-1792000,-1774000,-1774000,7634000,7634000,2571000,2571000,5538000,1138000,1138000,16881000,1339000,1339000,4553000,2446000,5892000,22773000,3631000,1502000,2129000,10371000,943000,9428000,14735000,1415000,20000,1870000,16605000,268348000,-262009000,6367000,6168000,22773000,-1791000,157000,1238000,-654000,-1050000,16000,16000,-9.31322574615479e-10,0,-1034000,-1034000,-1034000,-948000,1188000,0.35307,-0.34991,-0.56175,-0.28761,-0.0779,1.14564,2.69212,0.05217,-6.70752,-6.70752,11.94044,24.07372,-0.20226,6.79958,5.83348
"44","2022_Q1",35.7245161290323,"Down",2418000,-1734000,684000,-2009000,-1344000,-665000,-1325000,-3687000,-2885000,-2885000,-2885000,-2653000,-2653000,7280000,7280000,733000,733000,5373000,1578000,1578000,14964000,1261000,1296667.95671511,4427000,2328000,5688000,20652000,3859000,1280000,348000,1676000,719000,957000,6348000,1264000,20000,10907000,17255000,268459000,-264662000,3828000,3397000,20652000,-2886000,156000,1491000,913000,-326000,-29000,-29000,0,0,-355000,-355000,-354000,-1169000,10456000,0.28288,-0.54797,-1.09719,-0.78098,-0.12846,2.35728,5.07948,0.50629,-42.24855,-42.24855,38.50622,60.96022,-0.1755,-2.71685,-2.39698
"45","2022_Q2",19.7122580645161,"Down",2663000,-1723000,940000,-2149000,-1693000,-456000,-1209000,-2036000,-2036000,-2036000,-2036000,-1910000,-1910000,3652000,3652000,2175000,2175000,5893000,1474000,1474000,13194000,1224000,1224000,3861000,1770000,5085000,18279000,2475000,1866000,609000,12002000,1159000,10843000,15477000,1182000,19000,1520000,16997000,258627000,-256833000,1839000,1282000,18279000,-2036000,150000,629000,-2902000,-4159000,-65000,-65000,594000,594000,-3630000,-3630000,-3628000,-1059000,1338000,0.35299,-0.454,-0.71724,-1.48986,-0.10449,0.85249,13.25819,0.0732,-30.41641,-30.41641,42.4078,29.28575,-0.50237,2.18508,1.91398
"46","2022_Q3",9.9390625,"Down",3029000,-2090000,939000,-2380000,-1989000,-391000,-1441000,-2800000,-2800000,-2800000,-2800000,-2687000,-2687000,4001000,4001000,2309000,2309000,5493000,681000,681000,12484000,1279000,1279000,7564000,5481000,8843000,21327000,2325000,1240000,1085000,7366000,1029000,6337000,10691000,1113000,18000,5127000,15818000,265624000,-259521000,6179000,5509000,21327000,-2800000,260000,995000,603000,-942000,-154000,-154000,1450000,1450000,354000,354000,349000,-1181000,5014000,0.31,-0.47573,-0.88709,-0.48775,-0.12599,1.16771,2.8713,0.2351,-9.84033,-9.84033,11.0928,22.62873,-0.23092,-0.85775,-0.70298
