"","YQ","p","d","revenue","financing_revenue","cost_of_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"26","2016_Q3",9.5490625,"Up",3.18e+08,3.18e+08,-1.01e+08,2.17e+08,-3.12e+08,-4e+07,-1.5e+07,-1.35e+08,-1.35e+08,-1.35e+08,-1.35e+08,-1.35e+08,-1.35e+08,-7e+06,-1.42e+08,1.15e+09,1.131e+09,5.8913e+10,5.8913e+10,6.0063e+10,4.12e+08,4.12e+08,4.12e+08,6.0475e+10,2.725e+09,7.1e+07,7.3e+07,2.581e+09,4.6483e+10,4.6483e+10,4.9208e+10,5.28e+08,3.565e+09,5.2773e+10,3.36e+08,9.935e+09,-3.669e+09,1.1e+09,7.702e+09,7.702e+09,6.0475e+10,-1.35e+08,4.58e+08,3e+06,3.26e+08,7.27e+09,-4.011e+09,3.259e+09,-2.05e+08,-3.358e+09,0,-3.563e+09,22000000.0000001,22000000.0000001,22000000.0000001,5.28e+08,0.68239,-0.42453,-0.44654,-0.01844,-0.00235,1.22059,6.85186,0.00873,-0.429,-0.429,0.96073,22.25378,0.61934,0.00559,-1.44366,4.60741
"27","2016_Q4",9.49492063492064,"Down",3.15e+08,3.15e+08,-9.6e+07,2.19e+08,3.07e+08,-1.5e+07,-1.5e+07,5.11e+08,5.11e+08,5.11e+08,5.11e+08,5.11e+08,5.11e+08,-7e+06,5.04e+08,1.254e+09,1.254e+09,5.3523e+10,5.3523e+10,5.5005e+10,8.84e+08,3.29e+08,8.84e+08,5.5889e+10,3.88e+08,7.1e+07,6.6e+07,2.51e+08,4.4039e+10,4.4039e+10,4.4427e+10,4.94e+08,3.531e+09,4.7958e+10,3.36e+08,9.935e+09,-3.35e+09,1.01e+09,7.931e+09,7.931e+09,5.5889e+10,5.11e+08,-1.85e+08,1.4e+07,3.41e+08,8.426e+09,-3.575e+09,4.296e+09,-1.99e+08,-4.338e+09,0,-4.514e+09,1.23e+08,1.23e+08,1.23e+08,4.94e+08,0.69524,1.62222,1.6,0.06355,0.00902,1.2381,6.0469,0.00884,1.52266,1.52266,0.95166,22.94562,0.60121,0.06133,0.39484,-1.48728
"28","2017_Q1",9.94612903225806,"Up",3.93e+08,3.93e+08,-9.8e+07,2.95e+08,7.41e+08,-1.7e+07,-1.7e+07,1.019e+09,1.019e+09,1.019e+09,1.019e+09,1.019e+09,1.019e+09,-7e+06,1.012e+09,1.208e+09,1.208e+09,5.4471e+10,5.4471e+10,5.57e+10,1.18e+09,6.26e+08,1.18e+09,5.688e+10,2.77e+08,2.11e+08,6.6e+07,0,4.575e+10,4.575e+10,4.6027e+10,4.6e+08,3.497e+09,4.9524e+10,3.36e+08,9.935e+09,-2.518e+09,-3.97e+08,7.356e+09,7.356e+09,5.688e+10,1.019e+09,-7.3e+08,3.3e+07,3.23e+08,3.306e+09,-4.827e+09,-1.521e+09,-1.87e+08,1.55e+08,1.49011611938477e-08,-5.5e+07,-1.253e+09,-1.253e+09,-1.253e+09,4.6e+08,0.75064,2.59288,2.57506,0.13757,0.01779,1.21016,6.73246,0.00809,3.05556,3.05556,1.18659,21.19565,0.56461,0.11048,0.18478,-0.73405
"29","2017_Q2",11.0130158730159,"Up",2.96e+08,2.96e+08,-9.8e+07,1.98e+08,-1.04e+08,-1.8e+07,-1.8e+07,7.6e+07,7.6e+07,7.6e+07,7.6e+07,7.6e+07,7.6e+07,-7e+06,6.9e+07,1.073e+09,1.073e+09,5.4174e+10,5.4174e+10,5.5935e+10,9.03e+08,3.49e+08,9.03e+08,5.6838e+10,8.76e+08,1.17e+08,6.6e+07,6.93e+08,4.8236e+10,4.8236e+10,4.9112e+10,4.34e+08,4.34e+08,4.9546e+10,3.36e+08,9.935e+09,-2.628e+09,-3.51e+08,7.292e+09,7.292e+09,5.6838e+10,7.6e+07,1.97e+08,1.16e+08,3.9e+08,5.675e+09,-4.321e+09,1.354e+09,-1.86e+08,-1.548e+09,-413165995.515121,-1.734e+09,1e+07,1e+07,1e+07,4.34e+08,0.66892,0.25676,0.23311,0.00946,0.00121,1.13893,6.79457,0.00764,0.20846,0.2084,0.89426,21.01511,0.56193,0.03301,2.69565,-8.40789
"30","2017_Q3",11.61,"Up",2.93e+08,2.93e+08,-1.12e+08,1.81e+08,-1.41e+08,-1.6e+07,-1.6e+07,24000000.0000001,23999999.9999999,24000000.0000001,24000000.0000001,24000000.0000001,24000000.0000001,-7e+06,1.7e+07,1.126e+09,1.122e+09,5.4316e+10,5.4316e+10,5.5795e+10,9.16e+08,3.63e+08,9.16e+08,5.6711e+10,2.209e+09,1.33e+08,7.1e+07,2.005e+09,4.6352e+10,4.6352e+10,4.8561e+10,4.05e+08,4.05e+08,4.8966e+10,3.36e+08,1.0439e+10,-2.8e+09,-2.3e+08,7.745e+09,7.745e+09,5.6711e+10,24000000.0000001,2.42e+08,2.2e+07,2.89e+08,1.51e+09,-1.676e+09,-1.66e+08,-1.91e+08,-3.44e+08,2.38418579101562e-07,-5.35e+08,-4.12e+08,-4.12e+08,-4.12e+08,4.05e+08,0.61775,0.0819100000000003,0.0580199999999998,0.00219,3e-04,1.14897,6.32227,0.00714,0.0490799999999995,0.0490599999999997,0.84584,21.38857,0.55139,0.02552,11.23529,-30.04167
"31","2017_Q4",11.4534920634921,"Down",3.18e+08,3.18e+08,-1.4e+08,1.78e+08,1.26e+08,-1.8e+07,-1.8e+07,2.86e+08,2.86e+08,2.86e+08,2.86e+08,2.86e+08,2.86e+08,-1.5e+07,2.71e+08,1.102e+09,1.098e+09,6.2611e+10,6.2611e+10,6.4234e+10,1.256e+09,7.04e+08,1.256e+09,6.549e+10,1.633e+09,1.83e+08,7.7e+07,1.373e+09,5.4686e+10,5.4686e+10,5.6319e+10,3.8e+08,3.8e+08,5.6699e+10,4.84e+08,1.1176e+10,-2.729e+09,-1.4e+08,8.791e+09,8.791e+09,6.549e+10,2.86e+08,-2.3e+07,-8e+06,2.56e+08,7.269e+09,-1.4612e+10,-7.343e+09,-2.03e+08,6.422e+09,1.38e+09,7.599e+09,5.12e+08,5.12e+08,5.12e+08,3.8e+08,0.55975,0.89937,0.8522,0.03083,0.00414,1.14054,6.44966,0.0058,0.74308,0.74267,0.87195,22.77763,0.55662,0.05168,0.74908,-2.52448
"32","2018_Q1",10.865737704918,"Down",3.86e+08,3.86e+08,-1.74e+08,2.12e+08,1.94e+08,-2.1e+07,-2.1e+07,3.85e+08,3.85e+08,3.85e+08,3.85e+08,3.85e+08,3.85e+08,-9e+06,3.76e+08,1.075e+09,1.046e+09,6.8358e+10,6.8358e+10,6.9433e+10,9.43e+08,3.92e+08,9.43e+08,7.0376e+10,4.74e+08,2.99e+08,8e+07,9.5e+07,6.0791e+10,6.0791e+10,6.1265e+10,3.57e+08,3.57e+08,6.1622e+10,4.84e+08,1.1177e+10,-2.562e+09,-3.45e+08,8.754e+09,8.754e+09,7.0376e+10,3.85e+08,-9.3e+07,3.3e+07,3.25e+08,7.048e+09,-1.1954e+10,-4.906e+09,-2.15e+08,4.767e+09,1.73e+08,4.552e+09,-2.9e+07,-2.9e+07,-2.9e+07,3.57e+08,0.54922,0.99741,0.97409,0.04295,0.00534,1.13332,7.0393,0.00507,0.95845,0.95845,0.98394,21.08081,0.54805,0.06487,0.571810000000002,-1.86494
"33","2018_Q2",11.12875,"Up",4.31e+08,4.31e+08,-2.06e+08,2.25e+08,2.17e+08,-1.8e+07,-1.8e+07,4.24e+08,4.24e+08,4.24e+08,4.24e+08,4.24e+08,4.24e+08,-9e+06,4.15e+08,1.014e+09,9.72e+08,6.7062e+10,6.7062e+10,6.8076e+10,1.145e+09,5.95e+08,1.145e+09,6.9221e+10,1.207e+09,6.7e+08,8e+07,4.57e+08,5.934e+10,5.934e+10,6.0547e+10,3.36e+08,3.36e+08,6.0883e+10,4.84e+08,1.1178e+10,-2.358e+09,-9.66e+08,8.338e+09,8.338e+09,6.9221e+10,4.24e+08,-1.43e+08,6e+06,2.88e+08,1.223e+09,6.4e+07,1.287e+09,-2.2e+08,-1.36e+09,121270040.350495,-1.58e+09,-5e+06,-5e+06,-5e+06,3.36e+08,0.52204,0.98376,0.96288,0.04977,0.006,1.12435,7.30187,0.00485,1.06057,1.06003,1.10146,20.07156,0.56223,0.07321,0.53012,-1.59906
"34","2018_Q3",11.5501587301587,"Up",4.14e+08,4.14e+08,-2.37e+08,1.77e+08,1.34e+08,-1.8e+07,-1.8e+07,2.93e+08,2.93e+08,2.93e+08,2.93e+08,2.93e+08,2.93e+08,-9e+06,2.84e+08,9.09e+08,8.63e+08,7.086e+10,7.086e+10,7.18e+10,1.338e+09,7.88e+08,1.338e+09,7.3138e+10,2.04e+09,4.5e+08,8.7e+07,1.503e+09,6.1743e+10,6.1743e+10,6.3783e+10,3.13e+08,3.13e+08,6.4096e+10,4.84e+08,1.1968e+10,-2.299e+09,-1.111e+09,9.042e+09,9.042e+09,7.3138e+10,2.93e+08,-5.4e+07,-1.17e+08,1.22e+08,5.671e+09,-6.263e+09,-5.92e+08,-2.27e+08,-1.39e+08,7.88e+08,4.22e+08,-4.8e+07,-4.8e+07,-4.8e+07,3.13e+08,0.42754,0.70773,0.68599,0.03141,0.00388,1.12569,7.0887,0.00428,0.70141,0.70089,1.02247,21.13608,0.56063,0.05462,0.7993,-2.03413
"35","2018_Q4",11.1085714285714,"Down",5e+08,5e+08,-3.12e+08,1.88e+08,7.3e+07,-4.5e+07,-4.5e+07,2.16e+08,2.16e+08,2.16e+08,2.16e+08,2.16e+08,2.16e+08,-9e+06,2.07e+08,1.071e+09,1.071e+09,8.9239e+10,8.9239e+10,9.0834e+10,1.197e+09,6.71e+08,1.197e+09,9.2031e+10,7.68e+08,6.5e+08,9.5e+07,2.3e+07,8.1345e+10,8.1345e+10,8.2113e+10,2.91e+08,2.91e+08,8.2404e+10,4.84e+08,1.279e+10,-2.343e+09,-1.304e+09,9.627e+09,9.627e+09,9.2031e+10,2.16e+08,5.6e+07,1.34e+08,4.3e+08,5.064e+09,-2.2716e+10,-1.7652e+10,-2.52e+08,1.6874e+10,8.17e+08,1.7439e+10,2.17e+08,2.17e+08,2.17e+08,2.91e+08,0.376,0.432,0.414,0.0215,0.00225,1.10621,8.55968,0.00316,0.44776,0.44737,1.08155,19.7772,0.5451,0.04628,1.21739,-3.61111
"36","2019_Q1",11.4870491803279,"Up",6.04e+08,6.04e+08,-4.18e+08,1.86e+08,-9.71e+08,-1.9e+07,3.6e+07,-8.04e+08,-8.04e+08,-8.04e+08,-8.04e+08,-8.04e+08,-8.04e+08,-9e+06,-8.13e+08,9.21e+08,9.21e+08,1.06745e+11,1.06745e+11,1.08155e+11,1.086e+09,5.6e+08,1.086e+09,1.09241e+11,1.828e+09,5.18e+08,1.06e+08,1.204e+09,9.7232e+10,9.7232e+10,9.906e+10,2.75e+08,2.75e+08,9.9335e+10,4.84e+08,1.3798e+10,-3.433e+09,-9.43e+08,9.906e+09,9.906e+09,1.09241e+11,-8.04e+08,1.079e+09,-2e+06,2.73e+08,-3.051e+09,-1.606e+10,-1.0979e+10,-2.75e+08,9.968e+09,1.006e+09,1.0699e+10,-7e+06,-7e+06,-7e+06,2.75e+08,0.30795,-1.33113,-1.34603,-0.08207,-0.00744,1.09181,10.02776,0.00252,-1.60704,-1.60608,1.19391,18.62423,0.54359,-0.05284,-0.33825,0.80348
"37","2019_Q2",11.5128571428571,"Up",7.05e+08,7.05e+08,-5.41e+08,1.64e+08,1.2e+08,-1.9e+07,-1e+07,2.65e+08,2.65e+08,2.65e+08,2.65e+08,2.65e+08,2.65e+08,-1e+07,2.55e+08,9.29e+08,9.29e+08,1.16338e+11,1.16338e+11,1.17706e+11,1.101e+09,5.75e+08,1.101e+09,1.18807e+11,2.027e+09,7.95e+08,1.07e+08,1.125e+09,1.06013e+11,1.06013e+11,1.0804e+11,2.66e+08,2.66e+08,1.08306e+11,7.11e+08,1.38e+10,-3.467e+09,-5.43e+08,1.0501e+10,1.0501e+10,1.18807e+11,2.65e+08,2.4e+07,4e+07,3.29e+08,1.748e+09,-1.3035e+10,-1.1287e+10,-2.98e+08,1.0955e+10,2.27e+08,1.0884e+10,-7.4e+07,-7.4e+07,-7.4e+07,2.66e+08,0.23262,0.37589,0.3617,0.02428,0.00215,1.08947,10.31387,0.00224,0.47513,0.47468,1.31358,18.2411,0.55525,0.05136,1.16863,-2.50189
"38","2019_Q3",11.19,"Down",6.93e+08,6.93e+08,-5.7e+08,1.23e+08,-5.47e+08,-2e+07,-1.1e+07,-4.44e+08,-4.44e+08,-4.44e+08,-4.44e+08,-4.44e+08,-4.44e+08,-1.3e+07,-4.57e+08,8.7e+08,8.7e+08,1.0406e+11,1.0406e+11,1.05609e+11,9.67e+08,4.41e+08,9.67e+08,1.06576e+11,1.896e+09,9.17e+08,1.01e+08,8.78e+08,9.4083e+10,9.4083e+10,9.5979e+10,2.51e+08,2.51e+08,9.623e+10,7.11e+08,1.3993e+10,-4.194e+09,-1.64e+08,1.0346e+10,1.0346e+10,1.06576e+11,-4.44e+08,7.33e+08,-5.4e+07,2.35e+08,-5.879e+09,6.39e+09,510999999.999998,-2.89e+08,-433999999.999998,1.9e+08,-5.33e+08,2.13e+08,2.13e+08,2.13e+08,2.51e+08,0.17749,-0.64069,-0.65945,-0.04417,-0.00429,1.10033,9.30118,0.00236,-0.84992,-0.85071,1.28882,17.91891,0.53747,-0.01585,-0.63239,1.39414
"39","2019_Q4",11.9540625,"Up",6.76e+08,6.76e+08,-5.57e+08,1.19e+08,-1.04e+08,-1.9e+07,-1e+07,-4e+06,-4e+06,-4e+06,-4e+06,-4e+06,-4e+06,-1.3e+07,-1.7e+07,9.06e+08,9.06e+08,1.07725e+11,1.07725e+11,1.08736e+11,1.025e+09,4.99e+08,1.025e+09,1.09761e+11,3.562e+09,3.68e+08,1e+08,3.094e+09,9.5748e+10,9.5748e+10,9.931e+10,2.38e+08,2.38e+08,9.9548e+10,7.11e+08,1.3893e+10,-4.473e+09,8.2e+07,1.0213e+10,1.0213e+10,1.09761e+11,-4e+06,2.99e+08,-5.2e+07,2.43e+08,2.662e+09,-6.877e+09,-4.215e+09,-2.76e+08,4.332e+09,-1.03e+08,3.953e+09,-1.9e+07,-1.9e+07,-1.9e+07,2.38e+08,0.17604,-0.00592,-0.02515,-0.00166000000000001,-0.00015,1.09491,9.74718,0.00217,-0.03111,-0.03111,1.23696,17.38701,0.50503,0.02478,-16.23529,167
"40","2020_Q1",12.0351612903226,"Up",7.68e+08,7.68e+08,-4.81e+08,2.87e+08,6.09e+08,-2.5e+07,-1.6e+07,8.71e+08,8.71e+08,8.71e+08,8.71e+08,8.71e+08,8.71e+08,-2.4e+07,8.47e+08,8.31e+08,8.31e+08,1.11361e+11,1.11171e+11,1.12192e+11,8.9e+08,3.64e+08,8.9e+08,1.13082e+11,3.082e+09,4.24e+08,1.04e+08,2.554e+09,9.8731e+10,9.8731e+10,1.01813e+11,2.28e+08,2.28e+08,1.02041e+11,9.32e+08,1.3898e+10,-3.886e+09,9.7e+07,1.1041e+10,1.1041e+10,1.13082e+11,8.71e+08,-5.2e+08,2.2e+07,3.73e+08,-1.0718e+10,1.1491e+10,7.73e+08,-2.76e+08,-1.443e+09,3.9e+08,-1.504e+09,-3.58e+08,-3.58e+08,-3.58e+08,2.28e+08,0.3737,1.13411,1.10286,0.07671,0.00749,1.10194,9.24201,0.00202,1.56417,1.55498,1.41828,18.66851,0.5097,0.09965,0.325859999999995,-0.69231
"41","2020_Q2",9.35444444444444,"Down",4.91e+08,4.91e+08,-4.26e+08,6.5e+07,-2.463e+09,-2.3e+07,-1.3e+07,-2.421e+09,-2.421e+09,-2.421e+09,-2.421e+09,-2.421e+09,-2.421e+09,-2.1e+07,-2.442e+09,1.289e+09,1.289e+09,8.3077e+10,8.2413e+10,8.4366e+10,7.71e+08,2.45e+08,7.71e+08,8.5137e+10,3.561e+09,1.75e+08,1.13e+08,3.273e+09,7.1564e+10,7.1564e+10,7.5125e+10,2.14e+08,2.14e+08,7.5339e+10,1.489e+09,1.434e+10,-6.592e+09,5.61e+08,9.798e+09,9.798e+09,8.5137e+10,-2.421e+09,2.85e+09,-8.2e+07,3.47e+08,-1.4891e+10,6.779e+09,2.3577e+10,-2.77e+08,-2.2658e+10,9.96e+08,-2.1939e+10,1.985e+09,1.985e+09,1.985e+09,2.14e+08,0.13238,-4.93075,-4.97352,-0.24923,-0.02868,1.12301,7.68922,0.00251,-4.4562,-4.4562,0.89599,15.16241,0.50547,-0.21624,-0.11343,0.44402999999999
"42","2020_Q3",10.5384375,"Up",4.29e+08,4.29e+08,-1.34e+08,2.95e+08,4.47e+08,-2.4e+07,-1.3e+07,7.18e+08,7.18e+08,7.18e+08,7.18e+08,7.18e+08,7.18e+08,-2.5e+07,6.93e+08,8.59e+08,8.59e+08,8.7714e+10,8.7574e+10,8.9062e+10,7.91e+08,2.65e+08,7.91e+08,8.9853e+10,1.682e+09,1.22e+08,9.2e+07,1.468e+09,7.7617e+10,7.7617e+10,7.9299e+10,2.04e+08,2.04e+08,7.9503e+10,1.489e+09,1.4197e+10,-6.1e+09,7.64e+08,1.035e+10,1.035e+10,8.9853e+10,7.18e+08,-2.2e+08,-6.9e+07,4.29e+08,-9.014e+09,1.261e+09,-4.268e+09,-2.48e+08,3.132e+09,-1.47e+08,2.737e+09,-1.102e+09,-1.102e+09,-1.102e+09,2.04e+08,0.68765,1.67366,1.61538,0.06696,0.00771,1.12312,7.68145,0.00227,1.23662,1.23662,0.76552,15.81192,0.44254,0.08916,0.35786,-0.91226
"43","2020_Q4",11.61859375,"Up",3.64e+08,3.64e+08,-6.2e+07,3.02e+08,3.81e+08,-2.1e+07,-1.3e+07,6.62e+08,6.62e+08,6.62e+08,6.62e+08,6.62e+08,6.62e+08,-2.5e+07,6.37e+08,8.57e+08,8.57e+08,7.8356e+10,7.8226e+10,7.9223e+10,7.45e+08,2.19e+08,7.45e+08,7.9968e+10,6.105e+09,1.28e+08,9e+07,5.887e+09,6.2951e+10,6.2951e+10,6.9056e+10,1.92e+08,1.92e+08,6.9248e+10,1.489e+09,1.4058e+10,-5.661e+09,8.34e+08,1.072e+10,1.072e+10,7.9968e+10,6.62e+08,-1.67e+08,6.6e+07,5.61e+08,6.7575e+10,-1.7212e+10,1.5189e+10,-2.23e+08,-1.5134e+10,-1.44e+08,-1.5501e+10,2.49e+08,2.49e+08,2.49e+08,1.92e+08,0.82967,1.81868,1.75,0.05942,0.00797,1.14723,6.4597,0.0024,1.1519,1.1519,0.65823,16.69259,0.40325,0.07881,0.35008,-1.00453
"44","2021_Q1",12.9962295081967,"Up",2.35e+08,2.35e+08,-5.2e+07,1.83e+08,6.17e+08,-2.5e+07,-1.7e+07,7.75e+08,7.75e+08,7.75e+08,7.75e+08,7.75e+08,7.75e+08,-2.5e+07,7.5e+08,1.017e+09,1.017e+09,8.007e+10,7.9679e+10,8.1087e+10,7.3e+08,2.04e+08,7.3e+08,8.1817e+10,6.466e+09,2.19e+08,9e+07,6.157e+09,6.4095e+10,6.4095e+10,7.0561e+10,1.77e+08,1.77e+08,7.0738e+10,1.489e+09,1.3977e+10,-5.106e+09,7.19e+08,1.1079e+10,1.1079e+10,8.1817e+10,7.75e+08,-3.45e+08,-2e+07,4.1e+08,2.316e+09,-289000000.000004,2.027e+09,-2.22e+08,-2.218e+09,-8.7e+07,-2.527e+09,-9e+07,-9e+07,-9e+07,1.77e+08,0.77872,3.29787,3.19149,0.0677,0.00917,1.14918,6.38487,0.00216,1.37615,1.37615,0.43119,17.59633,0.40734,0.08635,0.296,-1.08387
"45","2021_Q2",14.5853968253968,"Up",5.57e+08,5.57e+08,-2.9e+07,5.28e+08,4.71e+08,-2.4e+07,-1.6e+07,9.75e+08,9.75e+08,9.75e+08,9.75e+08,9.75e+08,9.75e+08,-2.5e+07,9.5e+08,9.63e+08,9.63e+08,8.3861e+10,8.3163e+10,8.4824e+10,7.21e+08,1.95e+08,7.21e+08,8.5545e+10,3.281e+09,6.81e+08,8.8e+07,2.512e+09,7.0735e+10,7.0735e+10,7.4016e+10,1.65e+08,1.65e+08,7.4181e+10,1.489e+09,1.3741e+10,-4.348e+09,4.82e+08,1.1364e+10,1.1364e+10,8.5545e+10,9.75e+08,-5.45e+08,-3e+06,4.27e+08,3.14e+08,-3.509e+09,-3.195e+09,-2.19e+08,2.678e+09,-2.39e+08,2.22e+09,-5.48e+08,-5.48e+08,-5.48e+08,1.65e+08,0.94794,1.75045,1.70557,0.0836,0.01111,1.14602,6.52772,0.00193,1.78003,1.77371,1.04366,18.5029,0.41034,0.1014,0.23053,-0.81846
"46","2021_Q3",13.57953125,"Down",2.49e+08,1063230985.05558,-3885959.96250481,1059345025.09308,-7926363.14789021,-2.2e+07,-1.2e+07,-2.15e+08,-2.61e+08,-4.11e+08,-4.11e+08,-4.11e+08,-4.11e+08,-2.5e+07,-4.36e+08,1.344e+09,9.47e+08,7.2929e+10,7.2548e+10,7.4273e+10,7.82e+08,2.56e+08,7.82e+08,7.5055e+10,4.568e+09,7.83e+08,8.8e+07,3.697e+09,5.9671e+10,5.9671e+10,6.4239e+10,1.48e+08,1.48e+08,6.4387e+10,1.489e+09,1.3746e+10,-4.972e+09,4.05e+08,1.0668e+10,1.0668e+10,7.5055e+10,-4.11e+08,8.31e+08,-7.6e+07,3.44e+08,2.905e+09,3.091e+09,5.996e+09,-2.13e+08,-6.333e+09,0,-6.546e+09,-2.06e+08,-2.06e+08,-2.06e+08,1.48e+08,1.20628860968806,-0.86345,-1.751,-0.04087,-0.00581,1.1562,6.03553,0.00197,-0.81694,-0.81404,0.46655,17.1988,0.3991,-0.02062,-0.48853,5.56279
"47","2021_Q4",13.58359375,"Up",2.93e+08,1414307980.07411,12152053.3833269,1426460033.45744,-520901817.53052,-2.2e+07,-20952331.5121898,2.71e+08,2.57e+08,2.12e+08,2.12e+08,2.12e+08,2.12e+08,-2.5e+07,1.87e+08,1.626e+09,9.81e+08,6.6148e+10,6.5746e+10,6.7774e+10,1.031e+09,5.05e+08,1.031e+09,6.8805e+10,2.386e+09,4.77e+08,8.8e+07,1.821e+09,5.5606e+10,5.5606e+10,5.7992e+10,1.34e+08,1.34e+08,5.8126e+10,1.489e+09,1.3752e+10,-4.973e+09,4.11e+08,1.0679e+10,1.0679e+10,6.8805e+10,2.12e+08,1.54e+08,2.7e+07,3.93e+08,3.775e+09,-1.861e+09,1.914e+09,-2.14e+08,-2.218e+09,0,-2.432e+09,-1.25e+08,-1.25e+08,-1.25e+08,1.34e+08,1.38772014625075,0.92491,0.63823,0.01751,0.00272,1.16868,5.44302,0.00195,0.3535,0.3523,0.55388,17.3724,0.40454,0.03708,1.14439,-5.50554
"48","2022_Q1",12.2795161290323,"Down",2.62e+08,1316230985.05558,8114040.03749519,1324345025.09308,-925176363.14789,-2e+07,-2.6e+07,-2.82e+08,-2.22e+08,-26999999.9999999,-26999999.9999999,-26999999.9999999,-26999999.9999999,-2.5e+07,-52000000.0000001,1.469e+09,9.98e+08,6.574e+10,6.5423e+10,6.7209e+10,9.4e+08,4.14e+08,9.4e+08,6.8149e+10,1.68e+08,507608319.128356,8.8e+07,8e+07,5.7164e+10,5.7078e+10,5.7332e+10,1.26e+08,5.26e+08,5.7858e+10,1.489e+09,1.3715e+10,-5.214e+09,3.01e+08,1.0291e+10,1.0291e+10,6.8149e+10,-26999999.9999999,3.97e+08,6e+06,3.76e+08,20000000.0000005,-898999999.999999,-8.79e+08,-2.14e+08,8.39e+08,-4.2e+07,5.83e+08,8e+07,8e+07,8e+07,1.26e+08,1.34806660968806,-1.07634,-0.19847,-0.00505,-0.00076,1.17228,5.62219,0.00185,-0.10004,-0.0996200000000003,0.50404,16.93344,0.4117,0.01498,-4.11538,4.76241
"49","2022_Q2",10.7072580645161,"Down",4.75e+08,4.75e+08,-2.7e+07,4.48e+08,-1.078e+09,-2.1e+07,-1.3e+07,-6.51e+08,-6.51e+08,-6.51e+08,-6.51e+08,-6.51e+08,-6.51e+08,-2.5e+07,-6.76e+08,2.573e+09,1.004e+09,6.2898e+10,6.2251e+10,6.5471e+10,9.23e+08,3.97e+08,9.23e+08,6.6394e+10,1.688e+09,7.43e+08,8.8e+07,8.57e+08,5.566e+10,5.566e+10,5.7348e+10,1.16e+08,1.16e+08,5.7464e+10,1.489e+09,1.3709e+10,-6.078e+09,-1.9e+08,8.93e+09,8.93e+09,6.6394e+10,-6.51e+08,9.94e+08,2.8e+07,3.71e+08,3.956e+09,-8.75e+08,3.081e+09,-2.13e+08,-2.673e+09,-55467245.2578306,-2.886e+09,5.66e+08,5.66e+08,5.66e+08,1.16e+08,0.94316,-1.37053,-1.42316,-0.0757,-0.01018,1.14164,6.43494,0.00175,-1.28934,-1.28934,0.90597,14.19226,0.40626,-0.05118,-0.31509,3.77419
"50","2022_Q3",10.931875,"Up",3.95e+08,-1403384975.09264,-104190066.729159,-1507575041.8218,-836622728.08685,-2e+07,-1.2e+07,1.48e+09,1.373e+09,-4.34e+08,-4.34e+08,-4.34e+08,-4.34e+08,-2.5e+07,-4.59e+08,3.682e+09,9.06e+08,5.682e+10,5.6284e+10,6.0502e+10,7.38e+08,2.12e+08,7.38e+08,6.124e+10,1.438e+09,8.03e+08,8.8e+07,5.47e+08,5.1655e+10,5.1655e+10,5.3093e+10,1.07e+08,1.07e+08,5.32e+10,1.489e+09,1.3712e+10,-6.726e+09,-4.35e+08,8.04e+09,8.04e+09,6.124e+10,-4.34e+08,7.33e+08,2.3e+07,3.22e+08,4.359e+09,-2.749e+09,1.61e+09,-2.14e+08,-1.569e+09,-1000000.00000001,-1.784e+09,1.48e+08,1.48e+08,1.48e+08,1.07e+08,0.0288323171865632,3.74684,-1.16203,-0.05709,-0.0075,1.13955,6.61692,0.00175,-0.87229,-0.87229,0.75067,12.44964,0.40669,-0.03007,-0.46623,-2.41554
