"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",41.547619047619,"Up",225377000,-120815000,104562000,-80304000,-72783000,-7521000,24258000,-1397000,22861000,22861000,-2759000,20102000,20102000,20102000,20102000,203622000,203622000,143693000,143693000,168592000,37482000,37482000,553389000,320221000,397553000,169379000,211125000,4478000,12571000,717774000,1271163000,146410000,41764000,104646000,108589000,254999000,178015000,36896000,13380000,23516000,214911000,469910000,498507000,330155000,-27409000,801253000,801253000,1271163000,20102000,22197000,2510000,14094000,58903000,-15039000,365000,365000,-15404000,-15404000,-15039000,-16854000,3690000,3690000,417000,-12747000,31117000,31117000,766000,31883000,46455000,286604000,48269000,0.46394,0.10763,0.08919,0.02509,0.01581,2.4012,2.17016,0.58647,0.22547,0.38203,0.37942,4.28319,15.22745,0.91733,6,0.01787,0.04292,1.78629,3.42081000000002
"31","2017_Q4",52.6547619047619,"Up",234043000,-122748000,111295000,-110282000,-97855000,-12427000,1013000,-806000,207000,207000,-6754000,-6547000,-6547000,-6547000,-6547000,251591000,251591000,146718000,146718000,158840000,32564000,32564000,589713000,330026000,391975000,163946000,211086000,4510000,12433000,722001000,1311714000,172713000,41496000,131217000,151465000,324178000,118702000,46027000,6428000,39599000,164729000,488907000,526411000,323608000,-27212000,822807000,822807000,1311714000,-6547000,22281000,3465000,46196000,65395000,-26290000,281000,281000,-26571000,-26571000,-26290000,-16599000,23119000,23119000,1786000,8306000,47411000,47411000,558000,47969000,23294000,270167000,49954000,0.47553,0.00433,-0.02797,-0.00796,-0.00499,-7.63006,1.8191,0.59419,0.20596,-0.12332,-0.1211,4.4085,15.49863,0.94095,5,-0.00575,0.04386,0.79746,18.33761
"32","2018_Q1",68.6108196721311,"Up",233552000,-129166000,104386000,-90111000,-79024000,-11087000,14275000,-963000,13312000,13312000,-1432000,11880000,11880000,11880000,11880000,180169000,180169000,151226000,151226000,160799000,28983000,28983000,521177000,332156000,384006000,156589000,211395000,3961000,12061000,716162000,1237339000,190444000,55265000,135179000,194259000,384703000,59423000,40784000,6526000,34258000,100207000,484910000,504478000,266942000,-18991000,752429000,752429000,1237339000,11880000,22980000,5368000,17399000,57627000,-17972000,1131000,1131000,-19103000,-19103000,-17972000,-15929000,-96145000,3854999.99999999,-579000,-112653000,-72998000,-72998000,1576000,-71422000,37255000,253682000,38114000,0.44695,0.06112,0.05087,0.01579,0.00959999999999999,3.20825,1.35475,0.64446,0.20502,0.22471,0.21939,4.41756,14.23195,0.72091,7,0.01135,0.03641,1.97324,5.14977
"33","2018_Q2",84.446875,"Up",229347000,-146103000,83244000,-77951000,-68545000,-9406000,5293000,-1978000,3315000,3315000,-6134000,-2819000,-2819000,-2819000,-2819000,192106000,192106000,151336000,151336000,175329000,32246000,32246000,551017000,315873000,374278000,148730000,210903000,3774000,10871000,690151000,1241168000,176952000,65393000,111559000,17043000,193995000,330838000,42276000,10606000,31670000,373114000,567109000,507910000,189859000,-23710000,674059000,674059000,1241168000,-2819000,26415000,24568000,-25042000,23122000,-27264000,250000,250000,-27514000,-27514000,-27264000,94052000,-77169000,2831000,1780000,18663000,14521000,14521000,-2584000,11937000,31708000,347881000,-14464000,0.36296,0.02308,-0.01229,-0.00418,-0.00227,5.1309,2.84037,0.84133,0.28029,-0.05409,-0.05409,4.40045,12.93308,-0.27752,5,-0.00265,-0.01359,4.9128,29.43038
"34","2018_Q3",103.524444444444,"Up",241581000,-129674000,111907000,-85831000,-77248000,-8583000,26076000,-3039000,23037000,23037000,-4311000,18726000,18726000,18726000,18726000,199763000,199763000,161590000,161590000,163584000,27868000,27868000,552805000,344560000,368346000,141483000,210844000,3765000,12254000,712906000,1265711000,176503000,57857000,118646000,12664000,189167000,330988000,44218000,13235000,30983000,375206000,564373000,530996000,194375000,-24033000,701338000,701338000,1265711000,18726000,25277000,5840000,7514000,57357000,-48082000,406000,406000,-48488000,-48488000,-48082000,-4375000,4296000,4296000,0,-79000,9196000,9196000,-1539000,7657000,51353000,343652000,15096000,0.46323,0.10794,0.07751,0.0267,0.01479,0.80615,2.92231,0.80471,0.27151,0.36287,0.3429,4.68135,13.5905,0.29253,5,0.01719,0.01386,2.80196,5.51806
"35","2018_Q4",105.050793650794,"Up",247356000,-136181000,111175000,-82855000,-73877000,-8978000,28320000,-2858000,25462000,25462000,-7185000,18277000,18277000,18277000,18277000,154871000,154871000,167641000,167641000,168936000,24449000,24449000,515897000,351108000,360632000,134724000,210723000,3702000,11483000,711740000,1227637000,194083000,62579000,131504000,17199000,211282000,326618000,46608000,18441000,28167000,373226000,584508000,531641000,140584000,-29096000,643129000,643129000,1227637000,18277000,27945000,16873000,-4931000,58164000,-27585000,1658000,1658000,-29243000,-29243000,-27585000,0,-77681000,2319000,1474000,-76207000,-45628000,-45628000,736000,-44892000,56265000,343817000,30934000,0.44945,0.11449,0.07389,0.02842,0.01489,1.69251,2.44175,0.90885,0.28006,0.35558,0.34601,4.81237,12.51224,0.60183,7,0.01768,0.02993,3.35814,6.67182
"36","2019_Q1",90.9419672131148,"Down",249295000,-138085000,111210000,-87354000,-53804000,-8747000,23856000,-2037000,21819000,21819000,-984000,20835000,20835000,20835000,20835000,169351000,169351000,185027000,185027000,194337000,27406000,27406000,576121000,343979000,354667000,127693000,210819000,4359000,11796000,698646000,1274767000,208093000,63361000,144732000,27666000,235759000,322454000,48686000,19906000,28780000,371140000,606899000,536830000,161418000,-30380000,667868000,667868000,1274767000,20835000,29781000,10313000,-40291000,20638000,-13217000,499000,499000,-13716000,-13716000,-13217000,6250000.00000001,3999000,3999000,-3254000,6995000,14416000,14416000,64000,14480000,53637000,350120000,1113000,0.4461,0.09569,0.08358,0.0312,0.01634,0.0534199999999996,2.44369,0.90871,0.27465,0.40847,0.39902,4.88737,13.0934,0.02182,6,0.01953,0.00104,3.37023,7.57751
"37","2019_Q2",98.3880952380952,"Up",238451000,-122545000,115906000,-80487000,-7.3e+07,-7487000,35419000,-4423000,30996000,-17725000,9246000,-8479000,-8479000,-8479000,-8479000,190234000,190234000,163339000,163339000,221953000,39752000,39752000,615278000,276748000,367584000,120340000,211140000,4622000,31482000,644332000,1259610000,176117000,60792000,115325000,117548000,293665000,318144000,56835000,14006000,42829000,374979000,668644000,525546000,99418000,-33998000,590966000,590966000,1259610000,-8479000,27437000,48192000,-64522000,2628000,-7947000,302000,302000,-8249000,-8249000,1861000,85625000,-71365000,3635000,1830000,16090000,20579000,20579000,304000,20883000,62856000,435692000,-18859000,0.48608,0.14854,-0.03556,-0.01435,-0.00673,2.2242,2.09517,1.13144,0.34589,-0.16622,-0.16622,4.67459,11.5853,-0.36971,6,-0.00783,-0.01741,3.90508,6.93012
"38","2019_Q3",126.9253125,"Up",252566000,-125566000,1.27e+08,-85344000,-77922000,-7422000,41656000,-4651000,37005000,45088000,-7602000,37486000,37486000,37486000,37486000,112030000,112030000,176535000,176535000,244504000,34720000,34720000,567789000,264238000,358514000,113540000,211041000,4328000,29605000,622752000,1190541000,183132000,57449000,125683000,56934000,240066000,313984000,52737000,11687000,41050000,366721000,606787000,534226000,85634000,-36106000,583754000,583754000,1190541000,37486000,27032000,3109000.00000001,-37726000,29901000,5964000,15437000,15437000,-9473000,-9473000,5964000,-6.5e+07,-47589000,2411000,72000,-112517000,-76652000,-76652000,-1552000,-78204000,68688000,370918000,44528000,0.50284,0.16493,0.14842,0.06422,0.03149,1.18786,2.36514,1.03946,0.31155,0.73803,0.7028,4.97255,11.49303,0.87667,6,0.03721,0.0442,3.76904,6.2149
"39","2019_Q4",120.996875,"Down",258970000,-130920000,128050000,-85267000,-78267000,-7e+06,42783000,-3078000,39705000,37829000,-7934000,29895000,29895000,29895000,29895000,126417000,126417000,170753000,170753000,254167000,31238000,31238000,582575000,268104000,387070000,107307000,211062000,4428000,64273000,655174000,1237749000,194726000,52298000,142428000,61966000,256692000,309738000,96739000,14576000,82163000,406477000,663169000,538417000,69868000,-33705000,574580000,574580000,1237749000,29895000,27055000,1220000,21112000,79282000,-19866000,524000,524000,-20390000,-20390000,-19866000,625000,-48334000,1666000,1556000,-46153000,13263000,13263000,1124000,14387000,69838000,371704000,79018000,0.49446,0.1652,0.11544,0.05203,0.02415,2.64318,2.26955,1.15418,0.30031,0.59048,0.57895,5.11515,11.34906,1.56076,8,0.02866,0.07576,3.51223,5.73328
"40","2020_Q1",108.436774193548,"Down",238492000,-124935000,113557000,-87548000,-52828000,-8974000,26009000,-4047000,21962000,21960000,-4336000,17624000,17624000,17624000,17624000,137311000,137311000,165207000,165207000,270276000,30845000,30845000,603639000,253399000,410072000,133106000,210652000,3930000,62384000,663471000,1267110000,100201000,50730000,49471000,76980000,274822000,305513000,99666000,10562000,89104000,405179000,680001000,553732000,78512000,-45135000,587109000,587109000,1267110000,17624000,28765000,3443000,-3426000.00000001,46406000,-10135000,511000,511000,-10646000,-10646000,-45135000,10625000,4304000,4304000,-3557000,11372000,12643000,12643000,-1749000,10894000,54774000,382493000,45549000,0.47615,0.10906,0.0739,0.03002,0.01391,2.58449,2.19647,1.15822,0.30186,0.35011,0.34372,4.73781,11.66334,0.90486,6,0.01648,0.0426,4.47625,9.42681
"41","2020_Q2",101.009047619048,"Down",195577000,-105547000,90030000,-78315000,-62302000,-7750000,11715000,-3735000,7980000,7980000,2547000,10527000,10527000,10527000,10527000,192305000,192305000,127555000,127555000,322614000,51072000,51072000,693546000,217559000,908818000,365483000,466444000,6009000,70882000,1126377000,1819923000,97893000,50293000,47600000,17016000,253495000,690592000,144166000,43825000,100341000,834758000,1088253000,603236000,157981000,-29547000,731670000,731670000,1819923000,10527000,20724000,7953000,-27392000,11812000,-7290000,406000,406000,-7696000,-7696000,-23896000,145625000,3337000,3337000,-11000,148951000,136867000,136867000,1547000,138414000,32439000,707608000,-4790000,0.46033,0.0599,0.05383,0.01439,0.00578,-0.45502,2.73594,1.48735,0.38881,0.20879,0.20542,3.87911,14.51208,-0.09501,5,0.00665,-0.00303,15.88529,43.9866
"42","2020_Q3",87.3928125,"Down",209486000,-103742000,105744000,-78460000,-63561000,-6763000,27284000,-3826000,23458000,54956000,-6855000,48101000,48101000,48101000,48101000,279169000,279169000,141533000,141533000,305224000,34353000,34353000,760279000,240405000,417490000,127210000,214594000,4306000,71380000,657895000,1418174000,171567000,49071000,122496000,167001000,338568000,297016000,114667000,10480000,104187000,411683000,750251000,569255000,137140000,-38472000,667923000,667923000,1418174000,48101000,20879000,-27916000,-11909000,29155000,-7843000,496000,496000,-8339000,-8339000,37135000,-64375000,65999.9999999981,66000,-9000,-64318000,1972000,1972000,1472000,3444000,48163000,464017000,35266000,0.50478,0.13024,0.22961,0.07202,0.03392,0.73317,2.24557,1.12326,0.32719,0.94881,0.94144,4.1322,13.17506,0.69564,6,0.03859,0.02829,3.83797,6.77496
"43","2020_Q4",107.65671875,"Up",240371000,-120114000,120257000,-80947000,-65641000,-7501000,39310000,-3051000,36259000,37374000,-5492000,31882000,31882000,31882000,31882000,189002000,189002000,146939000,146939000,299710000,32697000,32697000,668348000,240009000,409711000,119716000,215508000,4558000,69929000,649720000,1318068000,78106000,42979000,35127000,17055000,194384000,292721000,111811000,9803000,102008000,404532000,598916000,579988000,169022000,-29858000,719152000,719152000,1318068000,31882000,20774000,7124000,6511000,66291000,-9190000,183000,183000,-9373000,-9373000,-9581000,-154375000,4447000,4447000,-12000,-149940000,-93230000,-93230000,3063000,-90167000,60084000,309776000,62897000,0.5003,0.16354,0.13264,0.04433,0.02419,1.97281,3.43829,0.83281,0.23502,0.62775,0.62073,4.73283,14.15988,1.23842,8,0.02795,0.05514,2.01009,3.07235
"44","2021_Q1",123.745901639344,"Up",225029000,-143222000,81807000,-102153000,-82684000,-10843000,-20346000,-6222000,-26568000,-27397000,16356000,-11041000,-11041000,-11041000,-11041000,192305000,192305000,127555000,127555000,322614000,51072000,51072000,693546000,217559000,908818000,365483000,466444000,6009000,70882000,1126377000,1819923000,97893000,50293000,47600000,17016000,253495000,690592000,144166000,43825000,100341000,834758000,1088253000,603236000,157981000,-29547000,731670000,731670000,1819923000,-11041000,21910000,17570000,-26892000,1547000.00000001,-10902000,730000,730000,-11632000,-11632000,-429100000,491250000,2380000,2380000,-60871000,432759000,5206000,5206000,-1903000,3303000.00000001,1564000,707608000,-52586000,0.36354,-0.09042,-0.04906,-0.01509,-0.00607,4.76279,2.73594,1.48735,0.38881,-0.21713,-0.21453,4.42535,14.38879,-1.03414,3,-0.00697,-0.03321,329.47762,-25.32699
"45","2021_Q2",70.7596825396825,"Down",228528000,-120443000,108085000,-116298000,-91218000,-12701000,-8213000,-4398000,-12611000,-3008000,-1446000,-4454000,-4454000,-4454000,-4454000,173462000,173462000,132908000,132908000,326500000,51498000,51498000,684368000,214782000,895037000,353688000,466314000,6197000,68838000,1109819000,1794187000,83503000,49131000,34372000,17025000,228339000,767345000,121423000,24278000,97145000,888768000,1117107000,551618000,154562000,-29100000,677080000,677080000,1794187000,-4454000,25033000,17558000,-39817000,-1680000,-13351000,568000,568000,-13919000,-13919000,-15851000,-4375000,2710000,2710000,31000,-1634000,-19165000,-19165000,322000,-18843000,16820000,784370000,-34902000,0.47296,-0.03594,-0.01949,-0.00658,-0.00248,7.8361,2.99716,1.64989,0.43717,-0.08787,-0.08684,4.50852,13.3578,-0.68857,3,-0.00281,-0.02205,36.32033,-74.38305
"46","2021_Q3",63.1021875,"Down",239897000,-117356000,122541000,-98031000,-75778000,-10853000,24510000,-4588000,19922000,19922000,-5066000,14856000,14856000,14856000,14856000,192420000,192420000,141305000,141305000,322661000,42860000,42860000,699246000,223747000,878504000,337249000,468590000,6064000,66601000,1102251000,1801497000,86036000,44969000,41067000,82733000,288470000,698043000,116435000,24574000,91861000,814478000,1102948000,558667000,169418000,-29536000,698549000,698549000,1801497000,14856000,23534000,9116000,-4046000,43460000,-20520000,-9251.48553720058,-9251.48553720058,-17255519.0745443,-17255519.0745443,-20520000,-4374999.99999994,1069000,1069000,-9000.00000000745,-3315000.00000006,19625000,19625000,-667000,18958000,48044000,780776000,28544000,0.51081,0.10217,0.06193,0.02127,0.00825,1.92138,2.42398,1.57891,0.4334,0.29107,0.2887,4.70027,13.68657,0.55926,5,0.00931,0.01789,12.24619,24.00473
"47","2021_Q4",60.92984375,"Down",259769000,-121204000,138565000,-102914000,-80726000,-10037000,35651000,-4263000,31388000,31388000,-8156000,23232000,23232000,23232000,23232000,236877000,236877000,154980000,154980000,305741000,31857000,31857000,729455000,238841000,863080000,323951000,468199000,6050000,64880000,1101921000,1831376000,90221000,51175000,39046000,144064000,355411000,633118000,112072000,26132000,85940000,745190000,1100601000,567474000,192650000,-29349000,730775000,730775000,1831376000,23232000,24367000,9126000,5708000,62433000,-26104000,-468935.314049601,-468935.314049601,-22888358.7660591,-22888358.7660591,-15462000,-4375000,2354000,2354000,-14000,-2035000,44936000,44936000,-479000,44457000,60018000,777182000,47778000,0.53342,0.13724,0.08943,0.03179,0.01269,2.05656,2.05243,1.50607,0.42437,0.45518,0.45147,5.08962,14.31797,0.93611,4,0.01434,0.02949,9.00238,15.1554
"48","2022_Q1",54.3777419354839,"Down",265002000,-128691000,136311000,-116535000,-91841000,-13210000,19776000,-3872000,15904000,15327000,-5586000,9741000,9741000,9741000,9741000,259496000,259496000,159376000,159376000,293027000,44132000,44132000,756031000,258482000,845221000,310261000,467287000,4468000,63205000,1103703000,1859734000,106911000,58371000,48540000,214148000,442266000,559441000,108603000,28727000,79876000,668044000,1110310000,572987000,202391000,-25954000,749424000,749424000,1859734000,9741000,24813000,10518000,22978000,68050000,-34512000,-427651.485537201,-427651.485537201,-31923519.0745443,-31923519.0745443,-34512000,-4375000,413999.999999999,414000,-4804000,-8765000,24773000,24773000,-2154000,22619000,44589000,773589000,38641000,0.51438,0.07463,0.03676,0.013,0.00524,3.96684,1.70945,1.48155,0.41597,0.19082,0.18969,5.19133,14.68106,0.75697,7,0.00597,0.02368,11.52959,25.9958
"49","2022_Q2",59.1812903225806,"Up",261458000,-119195000,142263000,-111496000,-92227000,-10902000,30767000,-5273000,25494000,25494000,-5617000,19877000,19877000,19877000,19877000,214948000,214948000,146463000,146463000,277887000,48485000,48485000,687783000,288321000,844422000,302710000,466115000,4552000,71045000,1132743000,1820526000,88329000,57907000,30422000,6853000,180487000,763141000,106475000,32622000,73853000,869616000,1050103000,580872000,222268000,-32717000,770423000,770423000,1820526000,19877000,22447000,5213000,-5544000,41993000,-44969000,498000,498000,-45467000,-45467000,-58214000,-4375000,2586000,2586000,-21606000,-23395000,-39616000,-39616000,-4932000,-44548000,53214000,769994000,8318000,0.54411,0.11767,0.07602,0.0258,0.01092,0.41847,3.81071,1.36302,0.42295,0.38804,0.38459,5.10421,15.04027,0.16238,8,0.01207,0.00505,10.43045,18.0403
"50","2022_Q3",71.80234375,"Up",297485000,-139607000,157878000,-111528000,-92411000,-10896000,46350000,-5673000,40677000,41059000,-7862000,33197000,33197000,33197000,33197000,241200000,241200000,171532000,171532000,254680000,48377000,48377000,715789000,307844000,841479000,292595000,464987000,4282000,79615000,1149323000,1865112000,106080000,61484000,44596000,58194000,262175000,759552000,114376000,35974000,78402000,873928000,1136103000,564900000,204364000,-40255000,729009000,729009000,1865112000,33197000,23436000,2627000,27779000,87039000,-28918000,2691419.142562,2691419.142562,-64624801.5424262,-64624801.5424262,-31068000,48250000,-72808000,2192000,-1128000,-25686000,30285000,30285000,-4033000,26252000,69786000,817746000,76509000,0.53071,0.15581,0.11159,0.04554,0.0178,2.3047,2.7302,1.55842,0.43844,0.64808,0.64232,5.80753,14.23179,1.49362,7,0.01998,0.04606,8.26163,12.43896
