"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","cost_of_goods_services","cost_of_other_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"29","2018_Q1",36.9306557377049,"Down",3.7715e+10,3.4466e+10,3.249e+09,-3.3076e+10,-3.0081e+10,-2.995e+09,4.639e+09,-2.434e+09,-2.434e+09,2.205e+09,7.88e+08,-1.45e+08,-1.45e+08,5.47e+08,3.86e+08,2.993e+09,2.993e+09,-7.896e+09,-4.903e+09,-5.18e+09,2.9e+07,-5.151e+09,-5.167e+09,2.3825e+10,1.5512e+10,8.313e+09,8.164e+09,1.0663e+10,2.6092e+10,2.6092e+10,6.8744e+10,7.9135e+10,7.9135e+10,6.4603e+10,5.849e+09,9.073e+09,2.6137e+10,1.43738e+11,2.12482e+11,4.9925e+10,2.3929e+10,2.5996e+10,7.689e+10,6.7254e+10,3.2138e+10,1.9744e+10,1.2394e+10,9.9392e+10,1.76282e+11,2.5385e+10,1.7627e+10,-8.011e+09,3.5001e+10,1.199e+09,3.62e+10,2.12482e+11,6.888e+09,-4.453e+09,2.018e+09,2.018e+09,-6.471e+09,-6.471e+09,1.02e+08,1.106e+09,-1.004e+09,-8.91e+08,-4.811e+09,-5.32e+08,1.815e+09,2.34e+08,1.581e+09,-7.558e+09,9.139e+09,-3.4e+07,-9.5e+07,1.982e+09,1.982e+09,-1.4e+07,1.968e+09,9.4219e+10,0.123,0.05846,-0.137,-0.14273,-0.02432,0.89406,4.86967,0.44342,-3.65676,-3.57578,26.69144,24.7707,0.3765,-0.02851,-0.10296,31.92472
"30","2018_Q2",36.21234375,"Down",3.6099e+10,3.2691e+10,3.408e+09,-3.3198e+10,-3.0184e+10,-3.014e+09,2.901e+09,-2.372e+09,-2.372e+09,5.29e+08,1.047e+09,-1.5e+08,-1.5e+08,6.48e+08,5.49e+08,1.576e+09,1.576e+09,-4.66e+08,1.11e+09,1.04e+09,6e+06,1.046e+09,1.032e+09,2.1366e+10,1.4256e+10,7.11e+09,1.0769e+10,1.1461e+10,2.7839e+10,2.7839e+10,7.1435e+10,3.7321e+10,3.7321e+10,1.0997e+11,5.79e+09,9.883e+09,7.0759e+10,1.47291e+11,2.18726e+11,5.3369e+10,2.6039e+10,2.733e+10,8.2716e+10,6.9471e+10,3.1081e+10,1.9136e+10,1.1945e+10,1.00552e+11,1.83268e+11,2.5351e+10,1.7028e+10,-8.081e+09,3.4298e+10,1.16e+09,3.5458e+10,2.18726e+11,4.48e+08,-4.389e+09,2.379e+09,2.379e+09,-6.768e+09,-6.768e+09,1.148e+09,2.062e+09,-9.14e+08,-1.487e+09,-4.562e+09,-5.66e+08,4.622e+09,1.2e+08,4.502e+09,-6.832e+09,1.1334e+10,-1.87e+08,3.769e+09,-3.45e+08,-3.45e+08,4.4e+07,-3.01e+08,9.8818e+10,0.08036,0.01465,0.02859,0.0291,0.00472,0.86362,5.16859,0.45179,0.73295,0.721680000000001,25.63849,24.35938,0.40199,0.00966,0.54845,146.4121
"31","2018_Q3",34.187619047619,"Down",3.676e+10,3.3275e+10,3.485e+09,-3.3067e+10,-3.0071e+10,-2.996e+09,3.693e+09,-2.216e+09,-2.216e+09,1.477e+09,1.408e+09,-1.59e+08,-1.59e+08,6.37e+08,9.3e+08,2.885e+09,2.885e+09,-5.19e+08,2.366e+09,2.366e+09,2.4e+07,2.39e+09,2.375e+09,2.2011e+10,1.5087e+10,6.924e+09,9.663e+09,1.0833e+10,2.7944e+10,2.7944e+10,7.0451e+10,3.8003e+10,3.8003e+10,1.10187e+11,5.72e+09,8.788e+09,7.2394e+10,1.4819e+11,2.18641e+11,5.2028e+10,2.466e+10,2.7368e+10,8.0292e+10,6.9995e+10,2.9718e+10,1.7842e+10,1.1876e+10,9.9713e+10,1.80005e+11,2.5479e+10,1.8873e+10,-8.171e+09,3.6181e+10,2.455e+09,3.8636e+10,2.18641e+11,5.105e+09,-3.781e+09,2.924e+09,2.924e+09,-6.705e+09,-6.705e+09,1.67e+08,8.24e+08,-6.57e+08,-1.864e+09,-5.478e+09,-5.38e+08,3.39e+08,5.24e+08,-1.85e+08,-1.2008e+10,1.1823e+10,-1.76e+08,886000000.000001,5.13e+08,5.13e+08,-2.89e+08,2.24e+08,9.8259e+10,0.10046,0.04018,0.06461,0.06147,0.01086,0.87743,4.659,0.44941,1.6844,1.65968,26.07092,25.66028,0.38156,0.01748,0.22653,51.62356
"32","2018_Q4",32.3798412698413,"Down",3.5791e+10,3.2276e+10,3.515e+09,-3.1597e+10,-2.8533e+10,-3.064e+09,4.194e+09,-2.584e+09,-2.584e+09,1.61e+09,1.02e+09,-1.61e+08,-1.61e+08,5.3e+08,6.51e+08,2.63e+09,2.63e+09,-99999999.9999998,2.53e+09,2.53e+09,4e+06,2.534e+09,2.503e+09,2.4351e+10,1.8435e+10,5.916e+09,1.0376e+10,1.1334e+10,2.8787e+10,2.8787e+10,7.4848e+10,3.8655e+10,3.8655e+10,1.12208e+11,5.651e+09,9.155e+09,7.416e+10,1.50863e+11,2.25711e+11,5.3251e+10,2.5147e+10,2.8104e+10,8.4116e+10,7.1475e+10,2.9212e+10,1.6951e+10,1.2261e+10,1.00687e+11,1.84803e+11,2.5517e+10,2.0865e+10,-8.321e+09,3.8061e+10,2.847e+09,4.0908e+10,2.25711e+11,3.673e+09,-3.349e+09,2.791e+09,2.791e+09,-6.14e+09,-6.14e+09,1.009e+09,1.751e+09,-7.42e+08,-2.195e+09,-4.535e+09,-5.86e+08,4.127e+09,1.051e+09,3.076e+09,-6.568e+09,9.644e+09,-7.6e+07,3.957e+09,3.095e+09,3.095e+09,-8e+06,3.087e+09,1.0234e+11,0.11718,0.04498,0.06993,0.06119,0.01109,0.88982,4.51753,0.45341,1.77266,1.74913,25.34773,26.95538,0.41501,0.01791,0.23412,48.44037
"33","2019_Q1",36.0137704918033,"Up",3.8399e+10,3.4803e+10,3.596e+09,-3.5092e+10,-3.1868e+10,-3.224e+09,3.307e+09,-2.478e+09,-2.478e+09,8.29e+08,6.29e+08,-1.85e+08,-1.85e+08,3.48e+08,4.66e+08,1.458e+09,1.458e+09,6.11e+08,2.069e+09,2.069e+09,-2.5e+07,2.044e+09,2.006e+09,2.681e+10,2.0844e+10,5.966e+09,6.549e+09,9.816e+09,3.2118e+10,3.2118e+10,7.5293e+10,8.2317e+10,8.2317e+10,6.9729e+10,5.579e+09,9.215e+09,3.0853e+10,1.52046e+11,2.27339e+11,5.0346e+10,2.2297e+10,2.8049e+10,8.2237e+10,7.306e+10,2.9265e+10,1.6908e+10,1.2357e+10,1.02325e+11,1.84562e+11,2.5577e+10,2.2322e+10,-9.039e+09,3.886e+10,3.917e+09,4.2777e+10,2.27339e+11,6.03e+09,-3.114e+09,2.77e+09,2.77e+09,-5.884e+09,-5.884e+09,-3.6e+07,4.71e+08,-5.07e+08,-3.038e+09,-6.188e+09,-5.52e+08,2.576e+09,-5.09e+08,3.085e+09,-7.915e+09,1.1e+10,-3.91e+08,2.842e+09,2.684e+09,2.684e+09,-4.6e+07,2.638e+09,1.04951e+11,0.08612,0.02159,0.05224,0.04689,0.00882,0.91556,4.31451,0.46165,1.41867,1.40084,27.15629,27.48232,0.39038,0.01445,0.27517,94.25935
"34","2019_Q2",35.9065079365079,"Down",3.4878e+10,3.1261e+10,3.617e+09,-3.1535e+10,-2.8229e+10,-3.306e+09,3.343e+09,-2.099e+09,-2.099e+09,1.244e+09,1.038e+09,-1.81e+08,-1.81e+08,4.14e+08,8.05e+08,2.282e+09,2.282e+09,-1.37e+08,2.145e+09,2.145e+09,1.2e+07,2.157e+09,2.157e+09,2.3197e+10,1.7176e+10,6.021e+09,1.2116e+10,1.1108e+10,3.3669e+10,3.3669e+10,8.009e+10,3.8336e+10,3.8336e+10,1.14706e+11,5.518e+09,8.266e+09,7.6619e+10,1.53042e+11,2.33132e+11,5.2031e+10,2.456e+10,2.7471e+10,8.5303e+10,7.3812e+10,2.9379e+10,1.6462e+10,1.2917e+10,1.03191e+11,1.88494e+11,2.5675e+10,2.3939e+10,-8.849e+09,4.0765e+10,3.873e+09,4.4638e+10,2.33132e+11,-8.1e+07,-2.702e+09,3.059e+09,3.059e+09,-5.761e+09,-5.761e+09,1e+06,6.78e+08,-6.77e+08,-1.01e+09,-3.711e+09,-6.26e+08,1.939e+09,9.59e+08,9.8e+08,-1.0777e+10,1.1757e+10,-2.36e+08,1.077e+09,-2.715e+09,-2.715e+09,0,-2.715e+09,1.07084e+11,0.09585,0.03567,0.06184,0.04832,0.00925,0.93889,4.22273,0.45933,1.52223,1.50209,24.61397,28.76853,0.44178,0.01537,0.29022,67.43328
"35","2019_Q3",37.226875,"Up",3.606e+10,3.2425e+10,3.635e+09,-3.1471e+10,-2.8327e+10,-3.144e+09,4.589e+09,-2.102e+09,-2.102e+09,2.487e+09,4.4e+08,-1.95e+08,-1.95e+08,2.71e+08,3.64e+08,2.927e+09,2.927e+09,-5.24e+08,2.403e+09,2.403e+09,1.5e+07,2.418e+09,2.418e+09,2.4121e+10,1.7072e+10,7.049e+09,1.0362e+10,1.1447e+10,3.5376e+10,3.5376e+10,8.1306e+10,3.8188e+10,3.8188e+10,1.14243e+11,5.457e+09,8.34e+09,7.6459e+10,1.52431e+11,2.33737e+11,5.1145e+10,2.2717e+10,2.8428e+10,8.4294e+10,7.3412e+10,2.8942e+10,1.6148e+10,1.2794e+10,1.02354e+11,1.86648e+11,2.5779e+10,2.5807e+10,-8.77e+09,4.2816e+10,4.273e+09,4.7089e+10,2.33737e+11,5.076e+09,-2.519e+09,3.385e+09,3.385e+09,-5.904e+09,-5.904e+09,-9.7e+08,5.66e+08,-1.536e+09,-9.4e+08,-4.429e+09,-5.58e+08,-1.117e+09,-2.3e+07,-1.094e+09,-9.848e+09,8.754e+09,-2.8e+07,-1.289e+09,-6.42e+08,-6.42e+08,4.2e+07,-6e+08,1.06561e+11,0.12726,0.06897,0.06705,0.05135,0.01034,0.96455,3.96373,0.4559,1.70162,1.6815,25.3765,30.13089,0.39268,0.0163,0.23077,33.14837
"36","2019_Q4",35.52625,"Down",3.5473e+10,3.1817e+10,3.656e+09,-3.1161e+10,-2.8174e+10,-2.987e+09,4.312e+09,-2.008e+09,-2.008e+09,2.304e+09,2.78e+08,-2.06e+08,-2.06e+08,3.15e+08,1.69e+08,2.582e+09,2.582e+09,-2.71e+08,2.311e+09,2.311e+09,4e+07,2.351e+09,2.351e+09,2.6776e+10,2.0051e+10,6.725e+09,6.924e+09,1.1797e+10,3.5068e+10,3.5068e+10,8.0565e+10,3.7969e+10,3.7969e+10,1.12995e+11,5.408e+09,8.496e+09,7.5308e+10,1.50964e+11,2.31529e+11,4.9478e+10,2.1406e+10,2.8072e+10,8.4252e+10,6.9692e+10,2.8814e+10,1.5524e+10,1.329e+10,9.8506e+10,1.82758e+11,2.5942e+10,2.7609e+10,-8.997e+09,4.4554e+10,4.217e+09,4.8771e+10,2.31529e+11,6.553e+09,-2.136e+09,3.539e+09,3.539e+09,-5.675e+09,-5.675e+09,4.26e+08,1.343e+09,-9.17e+08,1.59e+08,-1.551e+09,-6.08e+08,-1.663e+09,-1.8e+08,-1.483e+09,-8.807e+09,7.324e+09,8.9e+07,-2.133e+09,2.869e+09,2.869e+09,-1.51e+08,2.718e+09,1.04466e+11,0.12156,0.06495,0.06628,0.0482,0.01015,0.95624,3.74727,0.4512,1.64636,1.62924,24.84104,31.20028,0.42577,0.01625,0.25861,33.71962
"37","2020_Q1",30.17,"Down",3.0826e+10,2.7194e+10,3.632e+09,-2.9098e+10,-2.5921e+10,-3.177e+09,1.728e+09,-2.282e+09,-2.282e+09,-5.54e+08,1.99e+08,-2e+08,-2e+08,2.68e+08,1.31e+08,-3.55e+08,-3.55e+08,1.63e+08,-1.92e+08,-1.92e+08,-2e+06,-1.94e+08,-3.45e+08,2.3243e+10,1.9069e+10,4.174e+09,6.797e+09,1.0398e+10,3.4554e+10,3.4554e+10,7.4992e+10,8.0805e+10,8.0805e+10,7.224e+10,5.337e+09,8.562e+09,5.8341e+10,1.53045e+11,2.28037e+11,4.7505e+10,2.1018e+10,2.6487e+10,8.4905e+10,6.5924e+10,3.1251e+10,1.8105e+10,1.3146e+10,9.7175e+10,1.8208e+11,2.6088e+10,2.686e+10,-1.1156e+10,4.1792e+10,4.165e+09,4.5957e+10,2.28037e+11,3.473e+09,-3.337e+09,3.319e+09,3.319e+09,-6.656e+09,-6.656e+09,2.733e+09,3.678e+09,-9.45e+08,-6.04e+08,-1.208e+09,-5.58e+08,-1.69e+09,-1.068e+09,-6.22e+08,-9.724e+09,9.102e+09,-7.8e+07,-2.332e+09,-67000000.0000019,-67000000.0000019,1.11e+08,4.4e+07,6.5924e+10,0.05606,-0.01797,-0.01119,-0.00751000000000001,-0.00151,0.88325,3.96196,0.28909,-0.24126,-0.23975,21.55664,29.22517,0.39021,0.00149,-1.61739,-77.04152
"38","2020_Q2",24.2712698412698,"Down",3.2709e+10,2.915e+10,3.559e+09,-3.0082e+10,-2.6726e+10,-3.356e+09,2.627e+09,-1.97e+09,-1.97e+09,6.57e+08,-1.4e+07,-1.93e+08,-1.93e+08,-1.32e+08,3.11e+08,6.43e+08,6.43e+08,-3.57e+08,2.86e+08,2.86e+08,8e+06,2.94e+08,2.47e+08,4.6126e+10,3.8506e+10,7.62e+09,7.536e+09,1.0799e+10,3.3238e+10,3.3238e+10,9.7699e+10,3.7969e+10,3.7969e+10,1.10956e+11,5.225e+09,7.521e+09,7.3769e+10,1.48925e+11,2.46624e+11,4.6231e+10,2.0031e+10,2.62e+10,9.1292e+10,8.1439e+10,2.9576e+10,1.7271e+10,1.2305e+10,1.11015e+11,2.02307e+11,2.6028e+10,2.5885e+10,-1.18e+10,4.0113e+10,4.204e+09,4.4317e+10,2.46624e+11,1.561e+09,-1.869e+09,3.088e+09,3.088e+09,-4.957e+09,-4.957e+09,-2.978e+09,1.113e+09,-4.091e+09,-1.723e+09,-6.57e+09,-5.9e+08,2.4537e+10,1.3e+07,2.4524e+10,-1.1339e+10,3.5863e+10,-2.67e+08,2.368e+10,1.8671e+10,1.8671e+10,-4.48e+08,1.8223e+10,1.265e+11,0.08031,0.02009,0.00755000000000001,0.00557,0.001,1.07018,4.565,0.51293,0.17237,0.17153,22.82554,27.99232,0.41172,0.00418,2.38866,122.33486
"39","2020_Q3",28.030625,"Up",1.6778e+10,1.3363e+10,3.415e+09,-1.6682e+10,-1.3444e+10,-3.238e+09,9.6e+07,-1.31e+09,-1.31e+09,-1.214e+09,3.22e+08,-3.03e+08,-3.03e+08,2.12e+08,4.13e+08,-8.92e+08,-8.92e+08,1.12e+08,-7.8e+08,-7.8e+08,2.2e+07,-7.58e+08,-8.06e+08,3.7482e+10,2.8228e+10,9.254e+09,7.946e+09,1.028e+10,3.1789e+10,3.1789e+10,8.7497e+10,3.7066e+10,3.7066e+10,1.12972e+11,5.282e+09,7.724e+09,7.5312e+10,1.50038e+11,2.37535e+11,3.7881e+10,1.5154e+10,2.2727e+10,7.7904e+10,8.715e+10,2.8988e+10,1.7085e+10,1.1903e+10,1.16138e+11,1.94042e+11,2.6101e+10,2.5104e+10,-1.1901e+10,3.9304e+10,4.189e+09,4.3493e+10,2.37535e+11,-2.815e+09,-9.84e+08,2.449e+09,2.449e+09,-3.433e+09,-3.433e+09,-9.84e+08,2.581e+09,-3.565e+09,-3.798e+09,-5.766e+09,-2e+06,261999999.999996,8.33e+08,-570999999.999996,-1.8173e+10,1.7602e+10,-2.24e+08,36000000.0000038,-8.545e+09,-8.545e+09,18999999.9999999,-8.526e+09,1.27173e+11,0.00572,-0.07236,-0.04804,-0.01853,-0.00339,1.12314,4.46145,0.53539,-0.56324,-0.56601,11.72467,27.46611,0.00139999999999996,-0.00403,-0.0024800000000007,-73.88056
"40","2020_Q4",38.7853125,"Up",3.548e+10,3.2067e+10,3.413e+09,-2.9428e+10,-2.7169e+10,-2.259e+09,6.052e+09,-1.628e+09,-1.628e+09,4.424e+09,4.81e+08,-3.27e+08,-3.27e+08,3.09e+08,4.99e+08,4.905e+09,4.905e+09,-8.87e+08,4.018e+09,4.018e+09,2.7e+07,4.045e+09,4.005e+09,3.6901e+10,2.6939e+10,9.962e+09,9.939e+09,1.0934e+10,3.1403e+10,3.1403e+10,8.9177e+10,7.6347e+10,7.6347e+10,7.4147e+10,5.245e+09,8.046e+09,3.6886e+10,1.50494e+11,2.39671e+11,4.483e+10,2.0914e+10,2.3916e+10,8.0603e+10,5.532e+10,5.574e+10,1.6843e+10,3.8897e+10,1.1106e+11,1.91663e+11,2.6162e+10,2.9134e+10,-1.1955e+10,4.3341e+10,4.667e+09,4.8008e+10,2.39671e+11,1.1231e+10,-1.006e+09,4.4e+09,4.4e+09,-5.406e+09,-5.406e+09,-1.21e+09,3.324e+09,-4.534e+09,-2.267e+09,-4.483e+09,-6.1e+07,-9.947e+09,-2.66e+08,-9.681e+09,-2.1147e+10,1.1466e+10,-4.1e+07,-9.557e+09,-2.809e+09,-2.809e+09,2.5e+07,-2.784e+09,5.532e+10,0.17057,0.12469,0.11288,0.08342,0.01671,1.10637,3.99231,0.23082,2.79679,2.75637,24.77654,30.26606,0.0426,0.02556,0.01523,4.16343
"41","2021_Q1",52.9837704918033,"Up",3.7518e+10,3.4093e+10,3.425e+09,-3.2621e+10,-3.02e+10,-2.421e+09,4.897e+09,-2.13e+09,-2.13e+09,2.767e+09,6.72e+08,-2.75e+08,-2.75e+08,2.85e+08,6.62e+08,3.439e+09,3.439e+09,-6.42e+08,2.797e+09,2.797e+09,4.9e+07,2.846e+09,2.801e+09,2.9038e+10,1.9992e+10,9.046e+09,8.035e+09,1.0235e+10,3.3616e+10,3.3616e+10,8.0924e+10,7.7451e+10,7.7451e+10,7.6819e+10,5.23e+09,8.406e+09,3.9047e+10,1.5427e+11,2.35194e+11,4.2997e+10,1.9928e+10,2.3069e+10,7.991e+10,5.6788e+10,4.8819e+10,1.9179e+10,2.964e+10,1.05607e+11,1.85517e+11,2.6556e+10,3.1962e+10,-1.3488e+10,4.503e+10,4.647e+09,4.9677e+10,2.35194e+11,6.693e+09,-3.275e+09,3.462e+09,3.462e+09,-6.737e+09,-6.737e+09,9.09e+08,4.923e+09,-4.014e+09,-2.641e+09,-5.007e+09,-1.6e+07,-8.711e+09,-3.03e+08,-8.408e+09,-2.2004e+10,1.3596e+10,1.2e+08,-8.607e+09,-6.921e+09,-6.921e+09,1.82e+08,-6.739e+09,5.6788e+10,0.13052,0.07375,0.07466,0.05638,0.01191,1.01269,3.73446,0.24145,1.95056,1.93039,26.12674,31.35794,0.01114,0.01814,0.00571000000000003,10.02891
"42","2021_Q2",58.6406349206349,"Up",3.2474e+10,2.9067e+10,3.407e+09,-2.7394e+10,-2.5115e+10,-2.279e+09,5.08e+09,-1.803e+09,-1.803e+09,3.277e+09,9.14e+08,-2.5e+08,-2.5e+08,3.65e+08,7.99e+08,4.191e+09,4.191e+09,-1.177e+09,3.014e+09,3.014e+09,8e+06,3.022e+09,2.976e+09,2.938e+10,2.1609e+10,7.771e+09,9.126e+09,1.2066e+10,3.1519e+10,3.1519e+10,8.2091e+10,7.814e+10,7.814e+10,7.818e+10,5.185e+09,8.979e+09,4.0926e+10,1.5632e+11,2.38411e+11,4.1255e+10,2.0446e+10,2.0809e+10,7.6323e+10,5.9773e+10,4.7872e+10,1.83e+10,2.9572e+10,1.07645e+11,1.83968e+11,2.6681e+10,3.4988e+10,-1.3326e+10,4.8343e+10,6.1e+09,5.4443e+10,2.38411e+11,1.266e+09,-2.072e+09,4.919e+09,4.919e+09,-6.991e+09,-6.991e+09,1.266e+09,3.632e+09,-2.366e+09,-2.178e+09,-2.984e+09,-7.6e+07,2.191e+09,1.543e+09,6.48e+08,-1.2702e+10,1.335e+10,1.502e+09,3.617e+09,1.899e+09,1.899e+09,-1.4e+08,1.759e+09,9.3695e+10,0.15643,0.10091,0.09164,0.05466,0.01248,1.07557,3.37909,0.393,2.05667,2.03279,22.44229,33.40912,0.05252,0.01557,0.02554,19.62618
"43","2021_Q3",53.02796875,"Down",3.4167e+10,3.0744e+10,3.423e+09,-2.916e+10,-2.7266e+10,-1.894e+09,5.007e+09,-2.125e+09,-2.125e+09,2.882e+09,8.68e+08,-2.43e+08,-2.43e+08,3.27e+08,7.84e+08,3.75e+09,3.75e+09,-9.71e+08,2.779e+09,2.779e+09,5.7e+07,2.836e+09,2.791e+09,2.9131e+10,2.292e+10,6.211e+09,8.167e+09,1.3102e+10,3.2209e+10,3.2209e+10,8.2609e+10,7.9418e+10,7.9418e+10,7.9776e+10,5.169e+09,8.882e+09,4.3317e+10,1.59194e+11,2.41803e+11,4.0621e+10,2.1431e+10,1.919e+10,7.4811e+10,6.0276e+10,4.884e+10,1.7766e+10,3.1074e+10,1.09116e+11,1.83927e+11,2.6859e+10,3.7806e+10,-1.2996e+10,5.1669e+10,6.207e+09,5.7876e+10,2.41803e+11,7.162e+09,-1.95e+09,5.949e+09,5.949e+09,-7.899e+09,-7.899e+09,1.57e+09,3.294e+09,-1.724e+09,-3.646e+09,-4.026e+09,-1.8e+07,-905999999.999999,8.22e+08,-1.728e+09,-1.4333e+10,1.2605e+10,1.44e+08,-779999999.999998,2.356e+09,2.356e+09,1.33e+08,2.489e+09,9.357e+10,0.14654,0.08435,0.08169,0.04822,0.01154,1.10424,3.17795,0.38697,1.92882,1.90642,23.6123,35.70767,0.01244,0.01402,0.00645000000000002,22.35913
"44","2021_Q4",58.28625,"Up",2.6779e+10,2.3426e+10,3.353e+09,-2.2986e+10,-2.0672e+10,-2.314e+09,3.793e+09,-2.148e+09,-2.148e+09,1.645e+09,8.93e+08,-2.3e+08,-2.3e+08,3.23e+08,8e+08,2.538e+09,2.538e+09,-1.52e+08,2.386e+09,2.386e+09,3.4e+07,2.42e+09,2.374e+09,2.394e+10,1.7365e+10,6.575e+09,8.091e+09,1.4534e+10,3.1226e+10,3.1226e+10,7.7791e+10,7.9294e+10,7.9294e+10,8.1472e+10,5.126e+09,9.234e+09,4.4867e+10,1.60766e+11,2.38557e+11,3.7132e+10,1.8648e+10,1.8484e+10,7.1951e+10,5.7762e+10,4.8523e+10,1.6933e+10,3.159e+10,1.06285e+11,1.78236e+11,2.6941e+10,4.0212e+10,-1.3003e+10,5.415e+10,6.171e+09,6.0321e+10,2.38557e+11,-4.9e+07,-1.473e+09,4.645e+09,4.645e+09,-6.118e+09,-6.118e+09,-3.84e+08,1.31e+09,-1.694e+09,-2.072e+09,-3.929e+09,-7.6e+07,-1.505e+09,8.38e+08,-2.343e+09,-1.1231e+10,8.888e+09,-1.78e+09,-1.625e+09,-5.603e+09,-5.603e+09,-1.11e+08,-5.714e+09,9.2105e+10,0.14164,0.06143,0.08865,0.03936,0.00995,1.08117,2.95479,0.38609,1.63724,1.61827,18.46828,37.34483,0.05241,0.01219,0.03201,41.43769
"45","2022_Q1",49.8141935483871,"Down",3.3584e+10,3.0353e+10,3.231e+09,-2.9586e+10,-2.7491e+10,-2.095e+09,3.998e+09,-2.478e+09,-2.478e+09,1.52e+09,7.17e+08,-2.27e+08,-2.27e+08,2.86e+08,6.58e+08,2.237e+09,2.237e+09,-4.71e+08,1.766e+09,1.766e+09,-2.5e+07,1.741e+09,1.696e+09,2.8676e+10,2.0067e+10,8.609e+09,7.394e+09,1.2988e+10,3.3045e+10,3.3045e+10,8.2103e+10,7.9044e+10,7.9044e+10,8.3571e+10,5.087e+09,9.677e+09,4.7655e+10,1.62615e+11,2.44718e+11,4.0688e+10,2.0391e+10,2.0297e+10,9.0763e+10,5.9304e+10,2.8836e+10,5.743e+09,2.3093e+10,8.814e+10,1.78903e+11,2.7076e+10,4.1937e+10,-9.269e+09,5.9744e+10,6.071e+09,6.5815e+10,2.44718e+11,6.809e+09,-2.223e+09,-1.12e+09,-1.12e+09,-1.103e+09,-1.103e+09,-2.067e+09,1.111e+09,-3.178e+09,-1.126e+09,-5.416e+09,-1.6e+07,6.26e+08,-2.91e+08,9.17e+08,-9.54e+09,1.0457e+10,-7.8e+07,5.32e+08,1.925e+09,1.925e+09,-3.4e+07,1.891e+09,9.2561e+10,0.11904,0.04526,0.0505,0.02577,0.00693,0.90459,2.71827,0.37824,1.16324,1.1561,23.03429,40.97668,0.01097,0.00914,0.00943,42.02961
"46","2022_Q2",37.4277419354839,"Down",3.5979e+10,3.2824e+10,3.155e+09,-3.1279e+10,-2.9353e+10,-1.926e+09,4.7e+09,-2.504e+09,-2.504e+09,2.196e+09,5.83e+08,-2.26e+08,-2.26e+08,2.92e+08,5.17e+08,2.779e+09,2.779e+09,27999999.9999999,2.807e+09,2.807e+09,1.31e+08,2.938e+09,1.987e+09,2.6256e+10,1.6349e+10,9.907e+09,1.1946e+10,1.4838e+10,3.5553e+10,3.5553e+10,8.8593e+10,7.8289e+10,7.8289e+10,8.4609e+10,5.058e+09,1.0402e+10,4.7862e+10,1.62898e+11,2.51491e+11,4.6517e+10,2.524e+10,2.1277e+10,7.9554e+10,6.0613e+10,4.4549e+10,1.3504e+10,3.1045e+10,1.05162e+11,1.84716e+11,2.703e+10,4.3879e+10,-8.814e+09,6.2095e+10,4.679e+09,6.6774e+10,2.5149e+11,2.102e+09,-9.19e+08,3.732e+09,3.732e+09,-4.651e+09,-4.651e+09,-1.491e+09,1.96e+09,-3.451e+09,-1.498e+09,-3.908e+09,-7.3e+07,5.8e+08,7.22e+08,-1.42e+08,-1.0827e+10,1.0685e+10,-2.359e+09,-1.852e+09,-3.658e+09,-3.658e+09,9.3e+07,-3.565e+09,9.2913e+10,0.13063,0.06104,0.05523,0.02976,0.0079,1.11362,2.76629,0.36945,1.36846,1.35446,24.77893,42.76515,0.05028,0.01009,0.03674,30.35383
