"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",5.24412698412698,"Down",33592000,-23747000,9845000,-10734000,-9629000,-1105000,-889000,-637000,-637000,-863000,226000,-1526000,-3203000,-3223000,-3223000,-3223000,-334000,-3557000,17107000,17107000,27070000,23166000,11030000,1869000,1869000,57076000,12198000,9679000,9679000,112440000,30119000,64196000,1214000,134317000,191393000,37407000,29446000,7961000,4475000,42521000,32895000,32961000,75482000,3138000,307634000,-194861000,115911000,115911000,191393000,-3223000,2308000,848000,5826000,5759000,-1309000,-1309000,-2708000,-2755000,1695000,1695000,1695000,1419000,37370000,0.29308,-0.02646,-0.10589,-0.03069,-0.01858,1.3423,0.65121,0.19525,-0.06638,-0.06638,0.62693,2.10468,3,-0.0232,14.27977,-22.79303
"36","2019_Q1",4.48,"Down",42125000,-31647000,10478000,-10206000,-9089000,-1117000,272000,-686000,-686000,-999000,313000,-414000,-1688000,-1696000,-1696000,-1696000,1.16415321826935e-10,-1696000,83964000,83964000,20351000,15748000,8038000,929000,929000,113282000,11273000,13246000,13246000,94194000,29325000,64149000,720000,118713000,231995000,49759000,30468000,19291000,34639000,84909000,1127000,1260000,86169000,3138000,375436000,-232748000,145826000,145826000,231995000,-1696000,2243000,398000,3818000,4763000,-794000,-794000,-1604000,62940000,66909000,66909000,66909000,2515000,35766000,0.24874,0.00646,-0.04026,-0.01163,-0.00731,1.33416,0.5909,0.15417,-0.03137,-0.03137,0.77928,2.6396,6,-0.00933,-19.16421,-177.19853
"37","2019_Q2",6.19412698412698,"Up",33522000,-23412000,10110000,-10583000,-9450000,-1133000,-473000,-381000,-381000,-786000,405000,-854000,-6302000,-6320000,-6320000,-6320000,-334000,-6654000,68262000,68262000,24062000,18921000,6915000,1463000,1463000,100702000,9778000,12770000,12770000,94582000,28533000,64149000,1900000,117130000,217832000,41194000,19335000,21848000,33889000,76511000,932000,1069000,77580000,3138000,375806000,-238692000,140252000,140252000,217832000,-6320000,2147000,1169000,-11118000,-14122000,-663000,-663000,-959000,-917000,-15702000,-15702000,-15702000,1674000,34821000,0.30159,-0.01411,-0.1985,-0.04744,-0.03055,1.31618,0.55315,0.15985,-0.1108,-0.1108,0.5582,2.28318,2,-0.03798,-19.9767,70.69979
"38","2019_Q3",7.12125,"Up",34732000,-24349000,10383000,-12074000,-10931000,-1143000,-1691000,-327000,-327000,-819000,492000,-2018000,-9387000,-9406000,-9406000,-9406000,-5.82076609134674e-11,-9406000,63193000,63193000,15723000,10132000,7343000,2871000,2871000,89130000,9546000,11910000,11910000,93792000,27740000,64149000,1903000,115248000,204378000,38745000,17570000,21150000,33235000,73417000,631999.999999999,809000.000000001,74226000,3138000,376363000,-249349000,130152000,130152000,204378000,-9406000,1825000,2347000,2766000,-2468000,-1579000,-1579000,-968999.999999999,-1022000,-5068999.99999999,-5068999.99999999,-5068999.99999999,134000,33867000,0.29895,-0.04869,-0.27082,-0.07227,-0.04602,1.21402,0.5703,0.16571,-0.15661,-0.15661,0.57829,2.11479,3,-0.05729,-218.85075,17.3424
"39","2019_Q4",6.8284375,"Down",37704000,-27751000,9953000,-12239000,-11156000,-1083000,-2286000,-565000,-565000,-913000,348000,-2851000,-4283000,-4306000,-4306000,-4306000,-334000,-4640000,32788000,32788000,26611000,20492000,11488000,2878000,2878000,73765000,9116000,11362000,11362000,93027000,26956000,64149000,1922000,113505000,187270000,46074000,26058000,19974000,13202000,60598000,512000,693000,61291000,3138000,376700000,-253859000,125979000,125979000,187270000,-4306000,1927000,2374000,-9122000,-9127000,-811000,-811000,-20385000,-20467000,-30405000,-30405000,-30405000,-359000,13714000,0.26398,-0.06063,-0.12306,-0.03683,-0.02478,1.21728,0.48652,0.07323,-0.07725,-0.07725,0.62772,2.04514,1,-0.03317,53.13092,8.34383
"40","2020_Q1",7.24806451612903,"Up",38508000,-28769000,9739000,-16061000,-14990000,-1071000,-6322000,-164000,-164000,-474000,310000,-6486000,-9648000,-9850000,-9850000,-9850000,5.82076609134674e-11,-9850000,27464000,27464000,28633000,21906000,11273000,1558000,1558000,68928000,9590000,12642000,12642000,92215000,26171000,63945000,2099000,114447000,183375000,51289000,27584000,23705000,12497000,65467000,276000,347000,65814000,3138000,376853000,-262430000,117561000,117561000,183375000,-9850000,1605000,2532000,3258000,-2455000,-1706000,-1706000,-941000,-1163000,-5324000,-5324000,-5324000,-4717000,12773000,0.25291,-0.16417,-0.25579,-0.08379,-0.05372,1.05287,0.55983,0.06966,-0.16399,-0.16399,0.64109,1.90495,3,-0.07553,3.11448000000001,2.32379
"41","2020_Q2",6.09396825396825,"Down",43359000,-31943000,11416000,-18218000,-17196000,-1022000,-6802000,-171000,-171000,-465000,294000,-6973000,-11449000,-11508000,-11508000,-11508000,-334000,-11842000,25540000,25540000,24336000,17120000,9344000,1808000,1808000,61028000,7697000,12710000,12710000,97861000,25387000,64149000,8325000,118268000,179296000,56950000,27453000,29245000,10826000,70725000,184000,5587000,76312000,3138000,377143000,-277297000,102984000,102984000,179296000,-11508000,1656000,1573000,8508000,229000,-390000,-390000,-1763000,-1763000,-1924000,-1924000,-1924000,-5146000,11010000,0.26329,-0.15688,-0.27312,-0.11499,-0.06605,0.86289,0.74101,0.06141,-0.19705,-0.19705,0.72149,1.66142,4,-0.09918,2.82355,2.13614
"42","2020_Q3",7.8434375,"Up",44051000,-31289000,12762000,-15226000,-14146000,-1080000,-2464000,-550000,-550000,-833000,283000,-3014000,-8306000,-8378000,-8378000,-8378000,5.82076609134674e-11,-8378000,37505000,37505000,27136000,18904000,11324000,1789000,1789000,77754000,8961000,12127000,12127000,96878000,24602000,63945000,8331000,117966000,195720000,57896000,33142000,24496000,587000,60112000,12224000,19124000,79236000,3138000,395662000,-282316000,116484000,116484000,195720000,-8378000,1837000,3710000,-7235000,-10066000,-940000,-940000,4444000,22971000,11965000,11965000,11965000,-627000,12811000,0.28971,-0.05594,-0.19019,-0.07192,-0.04281,1.29349,0.68023,0.06546,-0.13155,-0.13155,0.6917,1.77978,3,-0.06151,39.38437,10.02192
"43","2020_Q4",9.0403125,"Up",43098000,-32100000,10998000,-16995000,-15888000,-1107000,-5997000,-272000,-272000,-683000,411000,-6269000,-9380000,-9295000,-9295000,-9295000,-334000,-9629000,25894000,25894000,26359000,18418000,9577000,2319000,2319000,64149000,8293000,11541000,11541000,95741000,23818000,63945000,7978000,115575000,179724000,52293000,24592000,27533000,381000,54295000,12297000,17858000,72153000,3138000,396044000,-291611000,107571000,107571000,179724000,-9295000,1700000,-393000,199000,-7789000,-348000,-348000,-846000,-3474000,-11611000,-11611000,-11611000,-4297000,12678000,0.25519,-0.13915,-0.22342,-0.08951,-0.05358,1.18149,0.67075,0.07054,-0.15047,-0.15047,0.67348,1.63193,2,-0.07654,3.07563,2.20377
"44","2021_Q1",10.5445901639344,"Up",32645000,-21548000,11097000,-15616000,576000,-1098000,-4519000,-8999.99999999988,-8999.99999999988,-2495117.34720278,417558.551237727,-4528000,-11459000,-11414000,-11414000,-11414000,0,-11414000,31713000,31713000,17273000,17273000,9128000,9250000,1782000,67364000,7872000,11213000,11213000,94574000,23033000,63945000,7596000,113659000,181023000,57323000,27058000,30265000,3328000,62349000,12435000,17321000,79670000,3138000,401240000,-303025000,101353000,101353000,181023000,-11414000,1824000,9664000,3413000,3487000,-816000,-816000,2956000,3148000,5819000,5819000,5819000,-2695000,15763000,0.33993,-0.13843,-0.34964,-0.11262,-0.06305,1.08043,0.78606,0.08708,-0.17794,-0.17794,0.50893,1.53114,4,-0.09356,5.91837,3.52954
"45","2021_Q2",11.7274603174603,"Up",36877000,-22637000,14240000,-17878000,-13596000,-1068000,-3638000,-2935000,-2935000,-3285000,350000,-6573000,-6573000,-6613000,-6613000,-6613000,-334000,-6947000,34690000,34690000,26531000,19175000,7005000,1545000,1545000,69771000,7526000,10385000,10385000,93767000,22249000,63945000,7573000,111678000,181449000,60671000,31791000,28880000,3871000,66181000,14066000,18678000,84859000,3138000,402742000,-309290000,96590000,96590000,181449000,-6613000,1607000,6101000,4083000,5178000,-475000,-475000,-1751000,-1726000,2977000,2977000,2977000,-2031000,17937000,0.38615,-0.09865,-0.18838,-0.07192,-0.03829,1.05425,0.87855,0.09885,-0.10711,-0.10711,0.56857,1.44085,5,-0.05831,8.24865,4.605
"46","2021_Q3",10.355625,"Down",38285000,-25984000,12301000,-14883000,-10048000,-1052000,-2582000,-271000,-271000,-596000,325000,-2853000,-2853000,-2902000,-2902000,-2902000,0,-2902000,28162000,28162000,27276000,20080000,8794000,1419000,1419000,65651000,7185000,10296000,10296000,92375000,21501000,63945000,6929000,109856000,175507000,56386000,26907000,29479000,3804000,61838000,13901000,18290000,80128000,3138000,404433000,-312192000,95379000,95379000,175507000,-2902000,1567000,2716000,-7213000,-5832000,-484000,-484000,-263000,-211999.999999996,-6528000,-6528000,-6528000,-1015000,17705000,0.3213,-0.06744,-0.0758,-0.03043,-0.01653,1.06166,0.8401,0.10088,-0.04471,-0.04471,0.58979,1.42099,2,-0.0247,10.30246,4.04996
"47","2021_Q4",9.95234375,"Down",42759000,-30056000,12703000,-14721000,-9305000,-991000,-2018000,214000,214000,-89000.0000000005,303000,-1804000,-1804000,-1848000,-1848000,-1848000,-334000,-2182000,88562000,88562000,23124000,23124000,6064000,10027000,2977000,127777000,5598000,11123000,11123000,91410000,20747000,63945000,6718000,108131000,235908000,63437000,34761000,28676000,3746000,68853000,13798000,17898000,86751000,3138000,460059000,-314040000,149157000,149157000,235908000,-1848000,992000,5149000,4196000,8489000,-310000,-310000,54818000,52221000,60400000,60400000,60400000,-1026000,17544000,0.29708,-0.04719,-0.05103,-0.01463,-0.00925,1.85579,0.58161,0.07437,-0.03253,-0.03253,0.63743,2.17679,6,-0.01278,69.21832,35.19227
"48","2022_Q1",7.58741935483871,"Down",49018000,-34236000,14782000,-15249000,-9740000,-996000,-467000,3362000,138000,-6249976.90644094,267054.294215694,2895000,2895000,2658000,2658000,2658000,-5.82076609134674e-11,2658000,88136000,88136000,27470000,27470000,5292000,10381000,2414000,131279000,5570000,11632000,11632000,89191000,19992000,63945000,5254000,106393000,237672000,63235000,36775000,26460000,675000,65673000,13644000,17468000,83141000,3138000,462775000,-311382000,154531000,154531000,237672000,2658000,1346000,1048000,-4710000,341999.999999998,-559000,-559000,-190000,-209000,-426000,-426000,-426000,879000,14319000,0.30156,-0.00953,0.05422,0.0172,0.01118,1.99898,0.53802,0.06025,0.04051,0.04051,0.74703,2.30721,6,0.01539,-83.97838,158.06638
"49","2022_Q2",5.31096774193548,"Down",45780000,-30904000,14876000,-16014000,-9603000,-1022000,-1138000,-64000,-5000,-22710430.7193228,216662.882647082,-1202000,-1202000,-1291000,-1291000,-1291000,-334000,-1625000,82511000,82511000,24184000,24184000,9537000,10324000,2293000,126556000,6722000,10832000,10832000,92831000,20923000,66194000,5714000,110385000,236941000,62360000,36153000,26207000,662000,64742000,13477000,17197000,81939000,3138000,464537000,-312673000,155002000,155002000,236941000,-1291000,1286000,1657000,-2526000,-874000,-1641000,-4541000,-210000,-210000,-5625000,-5625000,-5625000,148000,14139000,0.32495,-0.02486,-0.0355,-0.01048,-0.00686,1.95477,0.52863,0.05967,-0.02283,-0.02283,0.64319,2.13364,5,-0.0094,-461.97297,60.08084
"50","2022_Q3",5.48578125,"Up",51091000,-35101000,15990000,-16310000,-9417000,-1113000,-320000,-45999.9999999995,-30000,-53101861.4386456,151325.765294164,-366000,-366000,-468000,-468000,-468000,-2878679.91927468,-468000.000000001,76309000,76309000,24990000,24990000,11752000,10418000,2171000,123469000,8897000,10906000,10906000,91820000,19606000,66656000,5558000,111623000,235092000,60044000,31323000,28721000,848000,62637000,13124000,16468000,79105000,3138000,465990000,-313141000,155987000,155987000,235092000,-469000,1367000,3307000,-7578000,-3373000,-2718000,-2718000,-197000,-111000,-6202000,-6202000,-6202000,1047000,13972000,0.31297,-0.00626,-0.00916000000000002,-0.003,-0.00199,1.97118,0.50713,0.05943,-0.00659000000000001,-0.00659000000000001,0.7199,2.15374,4,-0.0027,-59.53868,194.80312
