"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",11.0528571428571,"Up",40628000,-7617000,33011000,-35356000,-18812000,-2669000,-2345000,443000,342000,342000,101000,-1902000,-1902000,729999.999999996,-1172000,-1172000,-1172000,-1172000,94068000,94068000,35574000,35574000,7050000,7050000,138197000,13035000,187473000,133031000,46344000,1431000,200508000,338705000,9571000,310000,9261000,38514000,32449000,48085000,9354000,8393000,9354000,57439000,92104000,191012000,281266000,281266000,338705000,-1172000,2669000,656999.999999996,2899000,5053000,-2300000,-2211000,-2461000,-9860000,-7018000,-7018000,-7360000,324000,2.64697796016969e-23,193000.000000004,0.81252,-0.05772,-0.02885,-0.00417,-0.00346,-0.16468,2.87401,0.20422,4.93038065763132e-32,-0.05934,-0.05972,2.05718,14.24174,0.00977000000000018,0.12461,0.00444,0.000660000000000004,-2.09983,-290.33333,40.11429
"33","2018_Q4",10.6234920634921,"Down",42476000,-8140000,34336000,-35896000,-19390000,-2786000,-1560000,274000,384000,384000,-110000,-1286000,-1286000,446000,-840000,-840000,-840000,-840000,95233000,95233000,34440000,34440000,7928000,7928000,139264000,12655000,187444000,133031000,46970000,1401000,200099000,339363000,12654000,1070000,11584000,38350000,32299000,51004000,9250000,8545000,9250000,60254000,92882000,188444000,279109000,279109000,339363000,-840000,2786000,1456000,2456000,5858000,-1630000,-1630000,-2430000,-3073000,1155000,1155000,788000,1226000,0,1606000,0.80836,-0.03673,-0.01978,-0.00301,-0.00248,-1.9119,2.73045,0.21588,0,-0.04318,-0.04318,2.1837,14.34905,0.08256,0.12493,0.00551,0.00557,-2.89286,-77.67781,61.04679
"34","2019_Q1",10.3003278688525,"Down",43256000,-8773000,34483000,-34335000,-16994000,-2601000,148000,35000,629000,629000,-594000,183000,183000,5000,188000,188000,188000,188000,87306000,83343000,32386000,32386000,9578000,6906000,130978000,10354000,186380000,133031000,46484000,1448000,196734000,327712000,13358000,2010000,11348000,31590000,26106000,44948000,8210000,8210000,8210000,53158000,90561000,185294000,274554000,274554000,327712000,188000,2601000,787000,-5117000,-1541000,-821000,-821000,-2433000,-5784000,-8146000,-8146000,-7230000,2749000,0,-3194000,0.79718,0.00342,0.00435,0.00068,0.00057,-16.98936,2.91399,0.19362,-6.16297582203915e-33,0.00967,0.00967,2.22476,14.121,-0.16428,0.12514,0.00927,-0.0113,12.94149,-31.75919,-589.90541
"35","2019_Q2",11.1268253968254,"Up",41764000,-7592000,34172000,-33057000,-16857000,-2359000,1115000,213000,449000,449000,-236000,1328000,1328000,-586000,742000,742000,742000,742000,81795000,62927000,36721000,36721000,8666000,8666000,128618000,9823000,202161000,133031000,45967000,18371000,211984000,340602000,12516000,3358000,9158000,38034000,28091000,50550000,19518000,19048000,19518000,70068000,88268000,183627000,270534000,270534000,340602000,742000,2359000,1419000,-3297000,1223000,-1287000,-16111000,-2647000,-5468000,-20356000,-20356000,-20416000,3474000,0,-524000,0.81822,0.0267,0.01777,0.00274,0.00218,-0.7062,2.54437,0.259,0,0.03865,0.03833,2.17555,14.09254,-0.0273,0.13789,0.01168,-0.00181,3.56739,-23.54491,-73.35874
"36","2019_Q3",9.776875,"Down",39524000,-7239000,32285000,-34278000,-17270000,-2335000,-1993000,1055000,452000,452000,603000,-938000,-938000,268000,-670000,-670000,-670000,-670000,77683000,47829000,38554000,38554000,9310000,9310000,126776000,9759000,201538000,133031000,46229000,18111000,211297000,338073000,12588000,3795000,8793000,37551000,27938000,50139000,19434000,19434000,19434000,69573000,89417000,180477000,268500000,268500000,338073000,-670000,2335000,618000,-2737000,-454000.000000001,-1496000,-12322000,-2402000,-2289000,-15065000,-15065000,-15098000,342000,1.03397576569128e-25,-4159000,0.81685,-0.05043,-0.01695,-0.0025,-0.00198,6.20746,2.52849,0.25912,0,-0.03486,-0.03455,2.05662,13.97129,-0.21641,0.12499,0.00602,-0.01444,-3.58507,-227.14327,38.97792
"37","2019_Q4",9.035,"Down",39453000,-7190000,32263000,-34954000,-17407000,-2305000,-2691000,560000,399000,399000,161000,-2131000,-2131000,804000,-1327000,-1327000,-1327000,-1327000,79189000,49319000,31071000,31071000,9975000,9975000,121230000,9603000,201198000,133031000,46961000,17664000,210801000,332031000,15070000,3605000,11465000,37107000,27668000,52177000,19057000,19057000,19057000,71234000,85616000,176680000,260797000,260797000,332031000,-1327000,2305000,567000,8434000,9979000,-1379000,-1228000,-2391000,-7156000,1595000,1595000,1490000,-386000,0,5865000,0.81776,-0.06821,-0.03363,-0.00509,-0.004,-4.41974,2.32344,0.27314,0,-0.06953,-0.07078,2.06717,13.66468,0.3073,0.12528,0.0038,0.02096,-1.80181,205.15285,29.42735
"38","2020_Q1",8.28806451612903,"Down",39548000,-10560000,28988000,-32379000,-14914000,-2250000,-3391000,558000,351000,351000,207000,-2833000,-11682000,2172000,-9510000,-9510000,-9510000,-9510000,77260000,47361000,30174000,30174000,10231000,7517000,117665000,8e+06,194207000,124182000,48983000,18125000,202207000,319872000,15295000,3615000,11680000,35888000,25944000,51183000,18595000,18595000,18595000,69778000,86876000,164819000,250094000,250094000,319872000,-9510000,2250000,7329000,876000.000000004,944999.999999998,-675000,-561000,-2379000,-2240000,-1856000,-1856000,-1958000,-1141000,0,-3112000,0.73298,-0.08574,-0.24047,-0.03803,-0.02973,0.327230000000004,2.29891,0.27901,0,-0.50432,-0.50432,2.09724,13.26254,-0.16503,0.12616,-0.02654,-0.01158,-0.25016,67.71253,22.78384
"39","2020_Q2",8.11904761904762,"Down",37267000,-8264000,29003000,-33111000,-17612000,-2146000,-4108000,226000,363000,363000,-137000,-3882000,-3882000,-657000,-4539000,-4539000,-4539000,-4539000,72190000,42284000,27216000,27216000,10844000,8411000,110250000,7655000,192897000,124182000,47486000,18937000,200552000,310802000,14406000,4003000,10403000,35549000,25265000,49955000,18067000,18067000,18067000,68022000,87155000,157446000,242780000,242780000,310802000,-4539000,2146000,1990000,1720000,1317000,-1049000,-2642000,-2629000,-3532000,-4857000,-4857000,-5077000,-1962000,0,-634000,0.77825,-0.11023,-0.1218,-0.0187,-0.0146,0.13968,2.20699,0.28018,0,-0.23941,-0.23941,1.96569,12.80572,-0.03344,0.13867,-0.00732,-0.00243,-0.5792,36.79409,17.57303
"40","2020_Q3",7.9321875,"Down",35739000,-5901000,29838000,-26678000,-14641000,-2072000,3160000,246000,146000,146000,1e+05,3406000,3406000,353000,3759000,3759000,3759000,3759000,70860000,40886000,29595000,29595000,10918000,7921000,111373000,7169000,195153000,124182000,48022000,21282000,202322000,313695000,16293000,5717000,10576000,34607000,24688000,50900000,17114000,17114000,17114000,68014000,88683000,158716000,245681000,245681000,313695000,3759000,2072000,1517000,-2206000,5142000,-846000,-4430000,-2379000,-2213000,-1501000,-1501000,-1398000,5232000,8.07793566946316e-28,1827000,0.83489,0.08842,0.10518,0.0153,0.01198,0.48603,2.18807,0.27684,1.50463276905253e-36,0.19767,0.19767,1.8794,12.91955,0.09608,0.1251,0.02336,0.00695,0.63288,-13.54358,-22.42405
"41","2020_Q4",7.93734375,"Up",37693000,-6544000,31149000,-28417000,-15266000,-2335000,2732000,277000,127000,127000,150000,3009000,3009000,155000,3164000,3164000,3164000,3164000,79229000,49235000,29671000,29671000,9701000,8056000,118601000,6933000,196739000,124182000,48308000,23207000,203672000,322273000,18957000,5112000,13845000,36959000,27174000,55916000,18335000,18335000,18335000,74251000,90299000,159379000,248022000,248022000,322273000,3164000,2335000,1582000,7414000,14495000,-929000,-3828000,-2380000,-2380000,8287000,8287000,8349000,5067000,0,11397000,0.82639,0.07248,0.08394,0.01276,0.00982,3.60209,2.12106,0.29937,0,0.16607,0.15944,1.97843,13.01818,0.59821,0.12492,0.02081,0.04279,0.75221,-15.63627,-29.00037
"42","2021_Q1",9.27409836065574,"Up",37481000,-10646000,26835000,-26277000,-12237000,-2503000,558000,146000,51000,51000,95000,704000,-24303000,-22306000,-46609000,-46609000,-46609000,-46609000,78724000,48729000,29934000,29934000,10227000,8958000,118885000,7815000,150591000,99175000,25826000,25173000,158406000,277291000,20788000,6685000,14103000,36652000,27686000,57440000,19238000,19238000,19238000,76678000,91782000,110283000,200613000,200613000,277291000,-46609000,2503000,49184000,130999.999999996,5209000,-631000,-3671000,-2383000,-2248000,-710000.000000002,-710000.000000002,-506000,3061000,5.04870979341448e-29,24867000,0.71596,0.01489,-1.24354,-0.23233,-0.16809,-0.533519999999999,2.06972,0.38222,0,-2.4417,-2.5475,1.96351,10.50948,1.3027,0.12484,-0.20116,0.11311,-0.05113,-25.71839,-141.08244
"43","2021_Q2",8.77253968253968,"Down",36036000,-7982000,28054000,-29794000,-15419000,-2727000,-1740000,34000,61000,61000,-27000,-1706000,-1706000,-591000,-2297000,-2297000,-2297000,-2297000,71642000,41646000,28675000,28675000,9965000,8284000,110282000,7421000,154973000,99175000,25223000,30575000,162394000,272676000,17535000,4451000,13084000,36703000,26743000,54238000,21866000,21866000,21866000,76104000,92577000,105433000,196572000,196572000,272676000,-2297000,2727000,2964000,-2675000,719000,-727000,-3642000,-2730000,-4174000,-7097000,-7097000,-7083000,987000,0,-1824000,0.7785,-0.04829,-0.06374,-0.01169,-0.00842,0.79408,2.0333,0.38716,0,-0.11918,-0.11918,1.86979,10.19946,-0.09464,0.14165,0.00198,-0.00835,-1.18851,-72.58561,41.17356
"44","2021_Q3",7.495625,"Down",35723000,-7858000,27865000,-29300000,-15665000,-2457000,-1435000,90000,61000,61000,29000,-1345000,-1519000,8e+05,-719000,-719000,-719000,-719000,68125000,38127000,27483000,27483000,9566000,8369000,105174000,7861000,156204000,99175000,25969000,31060000,164065000,269239000,16787000,4166000,12621000,35728000,25598000,52515000,21720000,21720000,21720000,74235000,94278000,102161000,195004000,195004000,269239000,-719000,2457000,1422000,-13000,3147000,-1471000,-4167000,-2422000,-2502000,-3522000,-3522000,-3519000,1022000,0,-1262000,0.78003,-0.04017,-0.0201299999999999,-0.00369000000000002,-0.00267,1.75522,2.00274,0.38068,0,-0.0373099999999999,-0.0373100000000001,1.85355,10.1181,-0.0654799999999999,0.12567,0.00785999999999997,-0.00582000000000001,-3.36857,-66.65851,47.47387
"45","2021_Q4",8.30140625,"Up",35851000,-8340000,27511000,-30986000,-17068000,-2568000,-3475000,151000,141000,41334.8601137302,10000,-3324000,-3406000,912000,-2494000,-2494000,-2494000,-2494000,67459000,37461000,26979000,26979000,10065000,9169000,104503000,7834000,157415000,99175000,26739000,31501000,165249000,269752000,19711000,4521000,15190000,37649000,26767000,57360000,20778000,20778000,20778000,78138000,96090000,97122000,191614000,191614000,269752000,-2494000,2568000,1508000,4080000,5662000,-905000,-3523000,-2438000,-2642000,-503000,-503000,-666000,-907000,0,1356000,0.76737,-0.09693,-0.06957,-0.01302,-0.00925,-0.5437,1.82188,0.40779,0,-0.1287,-0.1287,1.85004,9.88795,0.06997,0.12581,-0.00026,0.00638,-0.97755,74.37596,19.41266
"46","2022_Q1",7.78516129032258,"Down",34543000,-8394000,26149000,-31554000,-15869000,-2694000,-5405000,111000,57000,33749.4564360102,54000,-5294000,-20701000,4031000,-16670000,-16670000,-16670000,-16670000,59582000,44583000,26908000,26908000,7563000,6641000,94053000,6746000,147355000,99175000,31653000,16527000,154101000,248154000,19240000,5292000,13948000,35758000,25608000,54998000,19465000,19465000,19465000,74463000,97293000,77986000,173691000,173691000,248154000,-16670000,2694000,12687000,-271000,-1560000,-1290000,11107000,-2435000,-2435000,7112000,7112000,7122000,-2711000,0,-8303000,0.757,-0.15647,-0.48259,-0.09598,-0.06718,0.49808,1.71012,0.42871,0,-0.84517,-0.84517,1.75132,8.8061,-0.42096,0.12345,-0.0737,-0.04299,-0.14607,21.97787,11.0235
"47","2022_Q2",6.54403225806452,"Down",33825000,-7804000,26021000,-30194000,-15750000,-934000,-4173000,54000,67000,67000,-13000,-4119000,-8614000,1400000,-7214000,-7214000,-7214000,-7214000,46328000,31350000,23373000,23373000,8973000,8095000,78674000,6642000,147559000,99175000,32684000,15700000,154201000,232875000,19632000,3863000,15769000,34482000,24223000,54114000,18866000,18866000,18866000,72980000,97199000,64259000,159895000,159895000,232875000,-7214000,934000,685000,716000,-4879000,-679000,-646000,-6524000,-7733000,-13258000,-13258000,-13233000,-3239000,0,-4602000,0.76928,-0.12337,-0.21327,-0.04512,-0.03098,0.63793,1.45386,0.45642,0,-0.37027,-0.37027,1.73613,8.2069,-0.23621,0.33486,-0.00386,-0.02574,-0.90435,14.30318,11.10185
"48","2022_Q3",6.55234375,"Up",33710000,-6980000,26730000,-23868000,-13493000,-871000,2862000,195000,170000,170000,25000,3057000,2607000,-683000,1924000,1924000,1924000,1924000,38432000,23437000,26583000,26583000,7975000,7187000,72990000,6487000,149399000,99175000,32151000,18073000,155886000,228876000,15635000,4160000,11475000,36216000,25975000,51851000,20831000,20831000,20831000,72682000,98160000,59826000,156194000,156194000,228876000,1924000,871000,1757000,-5568000,-1016000,-513000,-513000,-6155000,-6155000,-7684000,-7684000,-7913000,3733000,0,-1665000,0.79294,0.0849,0.05708,0.01232,0.00841,-0.86538,1.40769,0.46533,4.59177480789956e-41,0.0977,0.09714,1.71172,7.93118,-0.08454,0.31254,0.04564,-0.00941,3.19906,-10.2952,-13.42837
