"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"35","2018_Q4",20.5268253968254,"Up",136764000,-36300000,100464000,-94453000,-27255000,-5058000,-62140000,6011000,-20524000,-20145000,-379000,-14513000,-14513000,1657000,-12856000,-12856000,-12856000,-14940000,381454000,381454000,73531000,73531000,22214000,20214000,20214000,497413000,3356948000,252324000,48896000,203428000,3609272000,4106685000,123956000,12855000,47866000,21195000,21195000,325151000,1856479000,325274000,259248000,4134000,2181753000,2506904000,1098248000,509294000,-7761000,1599781000,1599781000,4106685000,84450000,-79698000,-79698000,120807000,-624000.000000119,2864000,2864000,-143000.000000007,2096999.99999994,207354000,207354000,206464000,2036479000,0.73458,0.04395,-0.10924,-0.00934,-0.00364,1.52979,1.56703,0.49589,-0.13379,-0.14268,1.22476,14.32648,-0.00377,275.33272
"36","2019_Q1",21.5224590163934,"Up",132165000,-34144000,98021000,-98163000,-23830000,-7222000,-67111000,-142000,-17438000,-17854000,416000,-17580000,-24872000,17290000,-7582000,-7582000,-7582000,-9679000,273352000,273352000,71210000,71210000,27538000,18284000,18284000,390384000,3370855000,253032000,48540000,204492000,3623887000,4014271000,99290000,12869000,56990000,37429000,37429000,262719000,1829737000,320238000,241422000,4160000,2149975000,2412694000,1108550000,501712000,-8685000,1601577000,1601577000,4014271000,38171000,-96661000,-96661000,-96661000,-33164000,6585000,6585000,-21565000,-48144000,-106634000,-106634000,-107079000,1955737000,0.74166,-0.00107,-0.07323,-0.00604,-0.00241,1.48594,1.50645,0.4872,-0.08613,-0.08613,1.17605,14.25144,-0.0025,-11847.78169
"37","2019_Q2",24.8915873015873,"Up",133685000,-34952000,98733000,-100366000,-23841000,-3611000,-72914000,-1633000,-25923000,-25597000,-326000,-27556000,-27763000,9739000,-18024000,-18024000,-18024000,-20121000,275659000,275659000,68460000,68460000,35179000,17590000,17590000,396888000,3336961000,292460000,48114000,244346000,3629421000,4026309000,111644000,17564000,35088000,39798000,39798000,376442000,1737062000,326105000,231549000,30126000,2063167000,2439609000,1111083000,483688000,-8072000,1586699000,1586699000,4026308000,48120000,-34643000,-34643000,-44643000,-61504864.6970502,2126000,2126000,-3486000,-1360000,2117000,2117000,3398000,1962062000,0.73855,-0.01222,-0.15051,-0.01268,-0.005,1.05431,1.53754,0.48731,-0.178,-0.178,1.18266,14.03686,-0.00519,-1032.70239
"38","2019_Q3",23.83203125,"Down",143100000,-38977000,104123000,-100382000,-20969000,-4285000,-75128000,3741000,-29612000,-28986000,-626000,-25871000,-25871000,7765000,-18106000,-18106000,-18106000,-20203000,175846000,175846000,91628000,91628000,37256000,16011000,16011000,320741000,3303700000,292616000,47748000,244868000,3596316000,3917057000,74339000,12492000,33717000,39556000,39556000,284895000,1742814000,316397000,223681000,29336000,2059211000,2344106000,1121613000,457838000,-6500000,1572951000,1572951000,3917057000,15968000,-57938000,-57938000,-57938000,-5.4e+07,6662000,6662000,-8743000,-56081000,-98051000,-98051000,-98710000,1913814000,0.72762,0.02614,-0.14118,-0.01284,-0.00516,1.12582,1.49026,0.48858,-0.16355,-0.16355,1.15846,12.73376,-0.00531,464.573110000003
"39","2019_Q4",23.96296875,"Up",144785000,-36443000,108342000,-100331000,-22934000,-2822000,-74575000,8011000,-30467000,-30493000,26000,-22456000,-22456000,4444000,-18012000,-18012000,-18012000,-18012000,171629000,171629000,70060000,70060000,38571000,13662000,13662000,293922000,3238981000,294107000,47345000,246762000,3533088000,3827010000,66148000,13691000,35003000,40920000,40920000,323068000,1631498000,313186000,222863000,28593000,1944684000,2267752000,1126927000,439826000,-7495000,1559258000,1559258000,3827010000,78365000,-10175000,-10175000,-10175000,-7.2e+07,1153000,1153000,-395000,-71242000,-3052000,-3052000,-3221000,1847498000,0.7483,0.05533,-0.12441,-0.01155,-0.00471,0.90978,1.45438,0.48275,-0.13657,-0.13657,1.09782,11.82295,-0.00484,209.19598
"40","2020_Q1",25.8864516129032,"Up",138874000,-34772000,104102000,-104101000,-25421000,-3592000,-75088000,999.999999999069,-30527000,-30320000,-207000,-30526000,-142029000,34172000,-107857000,-107857000,-107857000,-107857000,223561000,223561000,68697000,68697000,39938000,10739000,10739000,342935000,3180799000,99823000,46977000,52846000,3280622000,3623557000,63796000,6713000,49293000,39080000,39080000,113751000,1765495000,285029000,188653000,29284000,2050524000,2164275000,1134048000,331969000,-6735000,1459282000,1459282000,3623557000,55690000,-15063000,-15063000,-15063000,-158965000,3530000,3530000,-29162000,-184597000,-143970000,-143970000,-143193000,1776370000,0.74961,1.000000000001e-05,-0.77665,-0.07391,-0.02977,3.01479,1.48311,0.49023,-0.81574,-0.81574,1.05033,11.03677,-0.03064,1552809
"41","2020_Q2",23.4480952380952,"Down",145287000,-34252000,111035000,-99213000,-20825000,-2444000,-75944000,11822000,-25997000,-26444000,447000,-14175000,-44384000,12682000,-31702000,-31702000,-31702000,-31702000,67289000,67289000,64485000,64485000,37695000,10793000,10793000,180262000,3110867000,99937000,46591000,53346000,3210804000,3391066000,35979000,8913000,26819000,36848000,36848000,89327000,1606881000,281065000,175672000,43744000,1887946000,1977273000,1136267000,300267000,-22741000,1413793000,1413793000,3391066000,40813000,-9487000,-9487000,-9487000,-181451000,1172000,1172000,-5746000,-186025000,-154699000,-154699000,-156272000,1623381000,0.76425,0.08137,-0.2182,-0.02242,-0.00935,2.018,1.39856,0.47872,-0.239,-0.239,1.09531,10.65847,-0.00955,131.6268
"42","2020_Q3",27.51828125,"Up",140173000,-35203000,104970000,-99142000,-21100000,-2380000,-75662000,5828000,-22826000,-22506000,-320000,-16998000,-16998000,4576000,-12422000,-12422000,-12422000,-12422000,119115000,119115000,60397000,60397000,37331000,12466000,12466000,229309000,3046062000,98483000,46268000,52215000,3144545000,3373854000,47173000,8519000,38407000,38269000,38269000,101942000,1603624000,259128000,170970000,34085000,1862752000,1964694000,1141744000,287845000,-20429000,1409160000,1409160000,3373854000,63719000,-9168000,-9168000,-9168000,-4125000,1439000,1439000,-372000,-3058000,51493000,51493000,51826000,1620124000,0.74886,0.04158,-0.08862,-0.00882,-0.00368,2.24941,1.39423,0.4802,-0.09332,-0.09332,1.05299,10.58572,-0.00378,257.551299999965
"43","2020_Q4",31.42140625,"Up",151472000,-39338000,112134000,-99401000,-20631000,-3116000,-75654000,12733000,-22423000,-22628000,205000,-9690000,-9690000,5685000,-4005000,-4005000,-4005000,-4005000,182702000,182702000,59340000,59340000,33309000,11188000,11188000,286539000,2981370000,97616000,45881000,51735000,3078986000,3365525000,48154000,7181000,40727000,36017000,36017000,100671000,1600387000,249004000,165053000,31351000,1849391000,1950062000,1151739000,283840000,-20116000,1415463000,1415463000,3365525000,74605000,-10612000,-10612000,-10612000,-4125000,5175000,5175000,-447000,603000,64596000,64596000,63587000,1616887000,0.7403,0.08406,-0.02644,-0.00283,-0.00119,2.84629,1.37768,0.48043,-0.02994,-0.02994,1.13236,10.58156,-0.00122,112.63528
"44","2021_Q1",43.7714754098361,"Up",146507000,-33900000,112607000,-107507000,-27496000,-4097000,-75914000,5100000,-22992000,-22693000,-299000,-17892000,-17892000,9967000,-7925000,-7925000,-7925000,-7925000,244726000,237178000,61151000,61151000,32480000,9464000,9464000,347821000,2917076000,96052000,45504000,50548000,3013128000,3360949000,63894000,14390000,49504000,32412000,32412000,113072000,1596893000,231545000,155084000,25203000,1828438000,1941510000,1160704000,275915000,-17180000,1419439000,1419439000,3360949000,70630000,-9422000,-10124944.4131764,-17203000,-4125000,4929000,4929000,-510000,294000,53721000,53721000,54476000,1613659000,0.76861,0.03481,-0.05409,-0.00558,-0.00236,3.0761,1.3678,0.48012,-0.05895,-0.05895,1.08981,10.55871,-0.00243,268.418239999997
"45","2021_Q2",38.8452380952381,"Down",146535000,-36235000,110300000,-101284000,-22657000,-2717000,-75910000,9016000,-22797000,-22769000,-28000,-13781000,-13781000,8598000,-5183000,-5183000,-5183000,-5183000,222316000,214835000,59895000,59895000,30015000,10087000,10087000,322313000,2851145000,93100000,45117000,47983000,2944245000,3266558000,44412000,9909000,34503000,27405000,27405000,88317000,1593955000,220508000,146233000,24258000,1814463000,1902780000,1152702000,225170000,-14094000,1363778000,1363778000,3266558000,50766000,-9417000,-9417000,-9417000,-4125000,-54941000,4394000,-4198000,-63264000,-21915000,-21915000,-22343000,1610455000,0.75272,0.06153,-0.03537,-0.0038,-0.00159,3.6495,1.39523,0.49301,-0.03837,-0.03837,1.0849,10.09697,-0.00162,153.96395
"46","2021_Q3",41.9709375,"Up",149919000,-36062000,113857000,-102262000,-23970000,-2624000,-75668000,11595000,-17746000,-17630000,-116000,-6151000,-6151000,9984000,3833000,3833000,3833000,3833000,219394000,213408000,63958000,63958000,28294000,10136000,10136000,321782000,2785812000,93500000,44748000,48752000,2879312000,3201094000,46274000,9866000,36408000,24719000,24719000,86914000,1590755000,209247000,136163000,23376000,1800002000,1886916000,1146292000,180563000,-12677000,1314178000,1314178000,3201094000,75201000,-9812000,-9812000,-9520000,-4704000,-62712000,421000,-542000,-67958000,-2277000,-2277000,-1427000,1606676000,0.75946,0.07734,0.02557,0.00292,0.0012,3.7023,1.43581,0.50191,0.02838,0.02838,1.10995,9.72975,0.00122,119.644850000001
"47","2021_Q4",40.39484375,"Down",162159000,-40730000,121429000,-106400000,-25897000,-2815000,-77688000,15029000,-18574000,-17695000,-312200.9139555,-3545000,-3545000,1460000,-2085000,-2085000,-2085000,-2085000,289006000,287004000,70390000,70390000,23388000,9786000,9786000,392570000,2720281000,93122000,44361000,48761000,2813403000,3205973000,50721000,10927000,39794000,26243000,26243000,93464000,1584511000,206217000,134563000,22467000,1790728000,1884192000,1155546000,176464000,-10229000,1321781000,1321781000,3205973000,87170000,-8787000,-10410616.3351982,-4807000,-3546000,-260000,2378000,-4703000,-8509000,73854000,73854000,73596000,1601011000,0.74883,0.09268,-0.01286,-0.00158,-0.00065,4.20023,1.42549,0.49938,-0.01559,-0.01559,1.21229,9.88151,-0.00067,87.29822
"48","2022_Q1",37.6575806451613,"Down",155887000,-37369000,118518000,-107844000,-27950000,-3729000,-76165000,10674000,-15206000,-15812000,-273000,-4532000,-5411000,-472999.999999999,-5884000,-5884000,-5884000,-5884000,320913000,320913000,63410000,63410000,29044000,11043000,11043000,424410000,2662336000,94049000,43999000,50050000,2756385000,3180795000,64318000,16196000,48122000,28018000,28018000,108836000,1581516000,202496000,134279000,20147000,1784012000,1892848000,1154189000,140810000,-7052000,1287947000,1287947000,3180795000,89737000,-14131000,-11438146.7587625,-12638000,-4125000,-38086000,250000,-527000,-42738000,34361000,34361000,33909000,1598016000,0.76028,0.06847,-0.03775,-0.00457,-0.00185,3.89954,1.46966,0.5024,-0.0452,-0.0452,1.19741,9.89305,-0.00191,119.64615
"49","2022_Q2",37.296935483871,"Down",168219000,-44603000,123616000,-104383000,-26103000,-2619000,-75661000,19233000,-14585000,-14577000,-8000,4648000,4648000,-1824000,2824000,2824000,2824000,2824000,232015000,232015000,80055000,80055000,28241000,11112000,11112000,351423000,2595666000,130039000,43611000,86428000,2725705000,3077128000,50274000,15099000,35175000,28912000,28912000,95686000,1578503000,211163000,144706000,19201000,1789666000,1885352000,1126514000,42919000,22343000,1191776000,1191776000,3077128000,65770000,-13568000,-13568000,-13568000,-4125000,-133643000,523000,-3558000,-141326000,-89124000,-89124000,-88898000,1595003000,0.73485,0.11433,0.01679,0.00237,0.00092,3.67267,1.58197,0.51834,0.0215,0.0192,1.28077,9.07384,0.00094,70.86716
"50","2022_Q3",43.341875,"Up",174919000,-46791000,128128000,-107329000,-28662000,-2986000,-75681000,20799000,-1.5e+07,-14780000,-220000,5799000,5799000,-1242000,4557000,4557000,4557000,4557000,227197000,227197000,75006000,75006000,27793000,12827000,12827000,342823000,2541155000,192805000,43223000,149582000,2733960000,3076783000,54673000,14114000,40559000,34817000,34817000,105990000,1575509000,214180000,149107000,18277000,1789689000,1895679000,1128103000,21011000,31990000,1181104000,1181104000,3076783000,99795000,-17450000,-17450000,-67450000,-4125000,-34851000,147000,-466000,-39442000,-7096999.99999997,-7096999.99999997,-4817999.99999997,1592009000,0.7325,0.11891,0.02605,0.00386,0.00148,3.23448,1.60501,0.51743,0.0355,0.03516,1.36282,9.20214,0.00153,65.61912
