"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2019_Q4",46.8403125,"Up",2.52e+08,-1.65e+08,-9e+07,-6.8e+07,-7e+06,8.7e+07,-3.51e+08,-3.73e+08,2.1e+07,1e+06,-2.64e+08,1e+06,-2.63e+08,1.9e+07,-2.44e+08,-2.44e+08,1.71e+08,-7.3e+07,-7.3e+07,1.95e+08,1.95e+08,1.02e+08,1.02e+08,7.35e+08,7.35e+08,1.032e+09,6.982e+09,3.231e+09,1.6e+08,1.831e+09,1.0563e+10,1.1595e+10,1.5e+08,1.13e+08,1.9e+07,3.79e+08,1.16e+08,1.16e+08,6.45e+08,4.398e+09,3.76e+08,3.76e+08,4.774e+09,5.419e+09,1.803e+09,-8e+06,2.16e+09,4.016e+09,6.176e+09,1.1595e+10,-2.44e+08,9.3e+07,2.91e+08,-1.8e+07,1.22e+08,-3.3e+07,2.15e+08,1.82e+08,-1.81e+08,-89000000.0000001,-2.72e+08,3.2e+07,3.2e+07,3.2e+07,1.8e+08,4.777e+09,1.1e+08,0.34524,-0.28968,-0.01182,-0.0063,-1.50685,1.6,0.87743,0.41199,-1.21667,-0.96306,4.2,29.91667,1.83333,-0.006,0.00971,25.45556,52.66667
"23","2020_Q1",48.1720967741935,"Up",2.06e+08,-1.63e+08,-8.9e+07,-6.7e+07,-7e+06,4.3e+07,4.4e+07,3.3e+07,9e+06,2e+06,8.7e+07,6e+06,9.3e+07,-9e+06,8.4e+07,8.4e+07,-5e+07,3.4e+07,3.4e+07,1.28e+08,1.28e+08,7.9e+07,7.9e+07,2.06e+08,2.06e+08,4.33e+08,6.97e+09,3.2e+09,1.72e+08,1.37e+08,1.1823e+10,1.2256e+10,1.83e+08,1.22e+08,4e+07,1.2e+07,1.06e+08,1.06e+08,3.01e+08,4.132e+09,7.57e+08,7.57e+08,4.889e+09,5.19e+09,2.008e+09,-8e+06,2.183e+09,4.883e+09,7.066e+09,1.2256e+10,8.4e+07,9.3e+07,-1.22e+08,3.9e+07,9.4e+07,-5.4e+07,-7.76e+08,-8.3e+08,-9e+07,7.53e+08,6.58e+08,-7.8e+07,-7.8e+07,-7.8e+07,1.36e+08,4.144e+09,1.3e+08,0.20874,0.16505,0.00481,0.00277,3.82353,1.43854,0.7345,0.33812,0.53968,4.35897,3.26984,31.74603,2.06349,0.00318,0.01086,29.52941,93.39535
"24","2020_Q2",44.51,"Down",2.12e+08,-1.63e+08,-9.2e+07,-6.6e+07,-5e+06,4.9e+07,-8.21e+08,-8.39e+08,1.8e+07,2311385.03095834,-7.72e+08,-2.3e+07,-7.95e+08,7.5e+07,-7.2e+08,-7.2e+08,4.98e+08,-2.22e+08,-2.22e+08,1.15e+08,1.15e+08,9e+07,9e+07,2.67e+08,2.67e+08,4.72e+08,6.972e+09,3.237e+09,2.44e+08,1.761e+09,1.1849e+10,1.2321e+10,1.79e+08,1.44e+08,2.4e+07,1.3e+07,1.12e+08,1.12e+08,3.04e+08,5.378e+09,3.6e+08,3.6e+08,5.738e+09,6.042e+09,1.75e+09,-8e+06,1.925e+09,4.354e+09,6.279e+09,1.2321e+10,-7.2e+08,9.2e+07,7.55e+08,-2.8e+07,9.9e+07,-5.2e+07,-35999999.9999998,-87999999.9999998,4.6e+07,-66000000.0000001,-20000000.0000002,-9e+06,-9e+06,-9e+06,1.41e+08,5.391e+09,-1.4e+07,0.23113,-1.04717,-0.03536,-0.01802,0.0630600000000001,1.55263,0.96226,0.43755,-3.38931,-3.38931,3.23664,26.59542,-0.21374,-0.01829,-0.00116,37.41844,107.67347
"25","2020_Q3",54.88109375,"Up",2.53e+08,-1.64e+08,-8.8e+07,-6.7e+07,-9e+06,8.9e+07,4.6e+07,1.6e+07,2.8e+07,2e+06,1.35e+08,5e+06,1.4e+08,-1.3e+07,1.27e+08,1.27e+08,-8.1e+07,4.6e+07,4.6e+07,9.6e+07,9.6e+07,1.13e+08,1.13e+08,2.37e+08,2.37e+08,4.71e+08,6.971e+09,3.19e+09,2.33e+08,7.45e+08,1.1814e+10,1.2285e+10,1.83e+08,1.33e+08,3.5e+07,1.3e+07,1.27e+08,1.27e+08,3.23e+08,5.318e+09,3.61e+08,3.61e+08,5.679e+09,6.002e+09,1.759e+09,-8e+06,1.934e+09,4.349e+09,6.283e+09,1.2285e+10,1.27e+08,9.2e+07,-5e+07,-9e+06,1.6e+08,-6.9e+07,8e+06,-6.1e+07,0,-1.2e+08,-1.22e+08,-2.3e+07,-2.3e+07,-2.3e+07,1.81e+08,5.331e+09,1.16e+08,0.35178,0.18182,0.00732,0.00374,2.52174,1.4582,0.95528,0.43394,0.70229,0.70229,3.8626,26.73282,1.77099,0.00401,0.00969,28.92265,58.82022
"26","2020_Q4",60.380625,"Up",2.4e+08,-1.71e+08,-9.3e+07,-6.7e+07,-1.1e+07,6.9e+07,1.4e+08,92999999.9999999,4.5e+07,2e+06,2.09e+08,1.1e+07,2.2e+08,-2.5e+07,1.95e+08,1.95e+08,-1.38e+08,5.7e+07,5.7e+07,9.5e+07,9.5e+07,8.9e+07,8.9e+07,2.71e+08,2.71e+08,4.8e+08,7.047e+09,3.188e+09,2.58e+08,7.44e+08,1.1852e+10,1.2332e+10,2.2e+08,1.79e+08,2e+07,1.3e+07,1.3e+08,1.3e+08,3.63e+08,4.891e+09,3.55e+08,3.55e+08,5.246e+09,5.609e+09,2.194e+09,-8e+06,2.298e+09,4.425e+09,6.723e+09,1.2332e+10,1.95e+08,9.3e+07,-72999999.9999999,8e+06,2.23e+08,-1.15e+08,-1.9e+07,-1.34e+08,4999999.99999997,-92999999.9999999,-9e+07,-1e+06,-1e+06,-1e+06,1.62e+08,4.904e+09,8e+07,0.2875,0.2375,0.00848000000000001,0.00462,1.40351,1.32231,0.8343,0.39766,0.8432,0.8432,3.5503,32.33728,1.18343,0.00492,0.00668,29.68519,69.69565
"27","2021_Q1",72.6027868852459,"Up",2.12e+08,-1.66e+08,-9e+07,-7.1e+07,-5e+06,4.6e+07,1.28e+08,1.1e+08,1.7e+07,1e+06,1.74e+08,4e+06,1.78e+08,-1.8e+07,1.6e+08,1.6e+08,-9.6e+07,6.4e+07,6.4e+07,1.08e+08,1.08e+08,8.3e+07,8.3e+07,1.99e+08,1.99e+08,4.14e+08,7.163e+09,3.171e+09,2.49e+08,1.31e+08,1.2148e+10,1.2562e+10,1.9e+08,1.43e+08,2.5e+07,1.2e+07,1.48e+08,1.48e+08,3.5e+08,3.376e+09,1.129e+09,1.129e+09,4.505e+09,4.855e+09,2.362e+09,-8e+06,2.354e+09,5.353e+09,7.707e+09,1.2562e+10,1.6e+08,9.7e+07,-1.04e+08,3e+07,1.83e+08,-9.8e+07,-2.7e+08,-3.68e+08,-5.22e+08,7.21e+08,1.98e+08,1.3e+07,1.3e+07,1.3e+07,1.43e+08,3.388e+09,9.3e+07,0.21698,0.30189,0.0083,0.00509,1.45312,1.18286,0.62995,0.2697,0.85333,0.85333,2.82667,31.38667,1.24,0.00532,0.00761,22.93706,71.30435
"28","2021_Q2",68.0588888888889,"Down",2.46e+08,-1.68e+08,-9.2e+07,-6.7e+07,-9e+06,7.8e+07,5.49e+08,5.04e+08,4.3e+07,2e+06,6.27e+08,1.4e+07,6.41e+08,-7e+07,5.71e+08,5.71e+08,-3.69e+08,2.02e+08,2.02e+08,1.1e+08,1.1e+08,1.01e+08,1.01e+08,2.94e+08,2.94e+08,5.29e+08,7.103e+09,3.104e+09,1.9e+08,1.53e+08,1.2037e+10,1.2566e+10,1.66e+08,1.37e+08,1.7e+07,1.2e+07,1.38e+08,1.38e+08,3.16e+08,3.541e+09,5.88e+08,5.88e+08,4.129e+09,4.445e+09,2.46e+09,-8e+06,2.452e+09,5.669e+09,8.121e+09,1.2566e+10,5.71e+08,9.3e+07,-4.86e+08,-7.4e+07,1.04e+08,-4.5e+07,-61999999.9999999,-1.07e+08,1e+08,-9.9e+07,3999999.99999988,1e+06,1e+06,1e+06,1.71e+08,3.553e+09,1.22e+08,0.31707,0.82114,0.02487,0.01608,0.60396,1.67405,0.54735,0.28275,2.6614,2.65789,3.24111,32.30567,1.60738,0.01647,0.00995,20.1345,44.14103
"29","2021_Q3",74.8996875,"Up",2.53e+08,-1.79e+08,-1e+08,-6.9e+07,-1e+07,7.4e+07,-2.93e+08,-3.35e+08,4.1e+07,1e+06,-2.19e+08,5e+06,-2.14e+08,2.2e+07,-1.92e+08,-1.92e+08,6.1e+08,4.18e+08,4.18e+08,1.13e+08,1.13e+08,9.8e+07,9.8e+07,1.23e+09,1.23e+09,1.469e+09,7.027e+09,3.226e+09,2.21e+08,2.79e+08,1.2092e+10,1.3561e+10,1.31e+08,8.7e+07,2.6e+07,1.3e+07,1.27e+08,1.27e+08,2.71e+08,3.961e+09,8.74e+08,8.74e+08,4.835e+09,5.106e+09,2.363e+09,-8e+06,2.355e+09,6.1e+09,8.455e+09,1.3561e+10,-2.02e+08,9.5e+07,2.89e+08,2.2e+07,2.04e+08,-1.9e+07,-9.98e+08,-1.017e+09,4.2e+08,3.49e+08,8.16e+08,3e+06,3e+06,3e+06,168973613.491408,3.974e+09,250109537.192827,0.304055393721555,0.657672358795187,0.0214213469378376,0.0141509682149965,-6.98159045126935,5.42066,0.6039,0.29305,2.17721509091711,2.16221473453528,3.30046920714108,34.5471766662441,3.27361058500131,0.0144042812582166,0.0164836770693039,26.269975864401,102.779645268276
"30","2021_Q4",81.01625,"Up",2.52e+08,-1.92e+08,-1.1e+08,-7.1e+07,-1.1e+07,6e+07,22999999.9999999,-2.4e+07,4.7e+07,0,8.3e+07,7e+06,89999999.9999999,-6000000.00000001,83999999.9999999,83999999.9999999,-5.58e+08,-4.74e+08,-4.74e+08,1.33e+08,1.33e+08,1.08e+08,1.08e+08,3.62e+08,3.62e+08,6.35e+08,7.159e+09,3.803e+09,2.13e+08,2.89e+08,1.281e+10,1.3445e+10,6.4e+07,2.3e+07,1.7e+07,1.4e+07,1.23e+08,1.23e+08,2.01e+08,3.969e+09,8.7e+08,8.7e+08,4.839e+09,5.04e+09,2.329e+09,-8e+06,2.321e+09,6.084e+09,8.405e+09,1.3445e+10,9.4e+07,1.01e+08,-1e+07,-1e+06,1.84e+08,-1.8e+07,72999999.9999998,55000000.0000002,-58999999.9999999,-1.59e+08,-2.18e+08,2.1e+07,2.1e+07,2.1e+07,145044168.094845,3.983e+09,328665722.315696,0.189648236232933,0.118936615277112,0.00560240816270259,0.00401218092899793,-15.1067010707616,3.1592,0.59964,0.29624,0.381313054550266,0.37280424072117,3.01299712428465,36.8565363997464,4.28999535100079,0.00399296875492996,0.0194912062415823,34.8361735186406,199.464578960966
"31","2022_Q1",75.1095161290323,"Down",2.31e+08,-2.09e+08,-1.17e+08,-8.1e+07,-1.1e+07,2.2e+07,-6.8e+07,-9.8e+07,2.9e+07,1e+06,-4.6e+07,1e+06,-4.5e+07,6e+06,-3.9e+07,-3.9e+07,3e+07,-9e+06,-9e+06,1.47e+08,1.47e+08,1.12e+08,1.12e+08,1.11e+09,1.11e+09,1.41e+09,1.1417e+10,4.253e+09,3.22e+08,2.72e+08,1.7566e+10,1.8976e+10,1.033e+09,9.82e+08,2.6e+07,3.3e+07,1.95e+08,1.95e+08,1.261e+09,5.294e+09,1.583e+09,1.583e+09,6.877e+09,8.138e+09,2.985e+09,-8e+06,2.977e+09,7.861e+09,1.0838e+10,1.8976e+10,-3.9e+07,1.16e+08,8e+07,2.8e+07,1.85e+08,-3.1e+07,-1.291e+09,-1.322e+09,1.195e+09,-4.4e+07,1.151e+09,1.4e+07,1.4e+07,1.4e+07,1.38e+08,5.327e+09,1.29e+08,0.09524,-0.0389599999999997,-0.00082999999999998,-0.000470000000000002,-14.33333,1.11816,0.75088,0.28072,-0.117489999999998,-0.117489999999999,3.01567,38.86423,1.68407,-0.00051,0.00726999999999999,37.53623,235.45455
"32","2022_Q2",70.7996774193548,"Down",2.81e+08,-2.47e+08,-1.29e+08,-1.03e+08,-1.5e+07,3.4e+07,3.3e+08,2.84e+08,4.5e+07,1e+06,3.64e+08,1.9e+07,3.83e+08,-5e+07,3.33e+08,3.33e+08,-1.89e+08,1.44e+08,1.44e+08,1.68e+08,1.68e+08,1.43e+08,1.43e+08,9.27e+08,9.27e+08,1.282e+09,1.1227e+10,4.2e+09,2.74e+08,3.67e+08,1.733e+10,1.8612e+10,6.29e+08,5.95e+08,1.7e+07,3.6e+07,1.35e+08,1.35e+08,8e+08,5.378e+09,1.178e+09,1.178e+09,6.556e+09,7.356e+09,3.07e+09,-8e+06,3.062e+09,8.194e+09,1.1256e+10,1.8612e+10,3.33e+08,1.42e+08,-3e+08,-5.5e+07,1.2e+08,-4.67e+08,3.97e+08,-7e+07,8.3e+07,-1.18e+08,-3.3e+07,1.7e+07,1.7e+07,1.7e+07,1.76e+08,5.414e+09,-2.96e+08,0.121,0.51246,0.01279,0.00774,-2.05556,1.6025,0.65352,0.29089,1.8799,1.8799,3.66841,39.97389,-3.86423,0.00807,-0.01658,29.80682,154.29412
"33","2022_Q3",79.3465,"Up",3.62e+08,-2.56e+08,-1.36e+08,-1.04e+08,-1.6e+07,1.06e+08,4.69e+08,4.14e+08,5.6e+07,-1e+06,5.75e+08,4.5e+07,6.2e+08,-8.3e+07,5.37e+08,5.37e+08,-3.18e+08,2.19e+08,2.19e+08,2.56e+08,2.56e+08,1.57e+08,1.57e+08,9.81e+08,9.48e+08,1.439e+09,1.1087e+10,4.164e+09,1.98e+08,4.4e+08,1.7172e+10,1.8611e+10,4.15e+08,3.62e+08,2.6e+07,5.12e+08,1.47e+08,1.47e+08,1.074e+09,4.782e+09,7.96e+08,7.96e+08,5.578e+09,6.652e+09,3.228e+09,-8e+06,3.22e+09,8.739e+09,1.1959e+10,1.8611e+10,5.37e+08,1.44e+08,-4.33e+08,4.1e+07,2.89e+08,-2.82e+08,-1.43e+08,-2.32e+08,-1.21e+08,1.53e+08,3.2e+07,8.9e+07,8.9e+07,8.9e+07,2.5e+08,5.294e+09,9.2e+07,0.29282,0.60497,0.01831,0.01177,0.42009,1.33985,0.55623,0.28446,2.63855,2.63855,4.36145,38.79518,1.10843,0.01213,0.0051,20.152,47.5283
