"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",86.5214285714286,"Down",799469000,-642376000,157093000,-109360000,-64555000,-44805000,47733000,-6289000,-10446000,4157000,41444000,41444000,-11544000,29900000,29900000,29900000,29900000,23906000,23906000,684862000,684862000,87785000,208709000,201047000,1005262000,423680000,523443000,325749000,25389000,947123000,1952385000,270886000,125720000,145166000,31281000,8152000,8152000,310319000,727318000,131543000,64489000,67054000,858861000,1169180000,27764000,756708000,-1267000,783205000,783205000,1952385000,29900000,44805000,8449000,-70541000,12613000,-39086000,-39086000,-7218000,314000,314000,-6999.99999999953,-6911000,-33384000,-33384000,-33384000,92538000,758599000,-5545000,0.1965,0.05971,0.0374,0.03818,0.01531,-0.18545,3.23945,1.49281,0.38855,0.95814,0.93572,25.6188,25.09762,-0.17769,0.01787,-0.00331,7.93937,15.39172
"31","2018_Q4",67.1979365079365,"Down",848237000,-687164000,161073000,-114297000,-68763000,-45534000,46776000,-8492000,-11310000,2818000,38284000,38284000,-10454000,27830000,27830000,27830000,27830000,21513000,21513000,849769000,849769000,90819000,186826000,181330000,1148927000,428305000,555980000,325749000,63681000,984285000,2133212000,296413000,134702000,161711000,0,7631000,7631000,304044000,867835000,144475000,72580000,71895000,1012310000,1316354000,33593000,784538000,-1273000,816858000,816858000,2133212000,27830000,45534000,17268000,-146159000,-55527000,-42614000,-42614000,103969000,120000,120000,-8341000,95748000,-2393000,-2393000,-2393000,92310000,867835000,-86009000,0.18989,0.05514,0.03281,0.03407,0.01305,-3.09051,3.77882,1.61148,0.40682,0.89066,0.87421,27.14655,26.14231,-2.75259,0.01521,-0.04702,9.16826,18.09308
"32","2019_Q1",54.7526229508197,"Down",748619000,-633279000,115340000,-119448000,-73539000,-45909000,-4108000,-11291000,-12447000,1156000,-15399000,-15399000,3345000,-12054000,-12054000,-12054000,-12054000,128342000,128342000,625258000,625258000,94385000,248455000,244994000,1096440000,424751000,576312000,161125000,415187000,1001063000,2097503000,264241000,119485000,144756000,5625000,15125000,15125000,284991000,867574000,140770000,65963000,74807000,1008344000,1293335000,32966000,772484000,-1282000,804168000,804168000,2097503000,-12054000,45909000,16097000,92832000,142784000,-33828000,-33828000,0,370000,370000,-3497000,-3127000,105829000,105829000,105829000,41801000,873199000,97460000,0.15407,-0.00549,-0.0161,-0.01499,-0.00575,-8.08528,3.84728,1.60829,0.4163,-0.3844,-0.37948,23.87314,25.64458,3.10796,-0.00663,0.0536,17.81912,-181.31865
"33","2019_Q2",51.1807936507937,"Down",833743000,-701767000,131976000,-104963000,-58622000,-46341000,27013000,-6535000,-12233000,5698000,20478000,20478000,-6199000,14279000,14279000,14279000,14279000,33579000,33579000,701522000,701522000,105166000,338248000,335872000,1178515000,429310000,603381000,155783000,447598000,1032691000,2211206000,292518000,138727000,153791000,11250000,37887000,37887000,341655000,867376000,180998000,71548000,109450000,1048374000,1390029000,35710000,786763000,-1296000,821177000,821177000,2211206000,14279000,46341000,5316000,-122058000,-56122000,-38406000,-38406000,106000,611684.282065479,468360.265248098,-841000,-735000,-95263000,-95263000,-95263000,73354000,878626000,-80911000,0.15829,0.0324,0.01713,0.01739,0.00646,-5.66643,3.44943,1.69273,0.39735,0.454,0.44922,26.50859,26.10905,-2.57254,0.00759,-0.04302,11.52012,31.28297
"34","2019_Q3",50.46546875,"Down",884221000,-720383000,163838000,-112361000,-65116000,-47245000,51477000,-8871000,-12878000,4007000,42606000,42606000,-12710000,29896000,29896000,29896000,29896000,12583000,12583000,796908000,796908000,107353000,391003000,389586000,1307847000,422264000,598260000,150463000,447797000,1020524000,2328371000,301066000,140279000,160787000,16875000,39023000,39023000,356964000,932277000,185697000,77574000,108123000,1117974000,1474938000,38059000,816659000,-1285000,853433000,853433000,2328371000,29896000,47245000,16724000,-147481000,-53616000,-32758000,-32452000,65076000,645983.715243103,366665.469189738,-4000,65072000,-20996000,-20996000,-20996000,98722000,949152000,-68807000,0.18529,0.05822,0.03381,0.03503,0.01284,-2.30155,3.66381,1.72824,0.40765,0.94947,0.93953,28.0821,27.1043,-2.18525,0.01504,-0.03461,9.48693,18.19393
"35","2019_Q4",48.67046875,"Down",884115000,-724377000,159738000,-117230000,-69875000,-47355000,42508000,-11722000,-13128000,1406000,30786000,30786000,-6557000,24229000,24229000,24229000,24229000,11837000,11837000,919496000,919496000,104923000,375674000,375674000,1411930000,394516000,589130000,145193000,443937000,983646000,2395576000,296655000,129531000,167124000,22500000,45632000,45632000,364787000,970243000,180396000,73158000,107238000,1150639000,1515426000,40547000,840888000,-1285000,880150000,880150000,2395576000,24229000,47355000,13075000,-108674000,-24015000,-14525000,-14525000,37818000,313000,313000,-337000,37794000,-746000,-746000,-746000,89863000,992743000,-26779000,0.18068,0.04808,0.0274,0.02753,0.01011,-1.10525,3.87056,1.72178,0.41441,0.76909,0.76125,28.06405,27.93819,-0.85003,0.0118,-0.01304,10.91557,23.0758
"36","2020_Q1",35.3475806451613,"Down",737603000,-633203000,104400000,-107592000,-60977000,-46615000,-3191999.99999999,-12066000,-12620000,554000,-15258000,-15334000,4145000,-11189000,-11189000,-11189000,-11189000,54560000,54560000,817245000,817245000,98324000,288164000,284996000,1258293000,376610000,582728000,325749000,117034000,959338000,2217631000,257612000,119612000,1.38e+08,22500000,42913000,42913000,323025000,844401000,181601000,75527000,106074000,1026002000,1349027000,40686000,829699000,-1781000,868604000,868604000,2217631000,-11189000,46615000,17015000,139311000,191752000,-15840000,-15840000,-133625000,190000,190000,246000,-133189000,42723000,42723000,42723000,43423000,866901000,162749000,0.14154,-0.00433,-0.01517,-0.01288,-0.00505,-14.54545,3.89534,1.5531,0.39091,-0.35463,-0.35127,23.37766,27.52962,5.15818,-0.00584,0.08489,18.70762,-254.49279
"37","2020_Q2",34.545873015873,"Down",814322000,-680206000,134116000,-111758000,-65887000,-45871000,22358000,-11339000,-12457000,1118000,11019000,-29741000,-2677000,-32418000,-32418000,-32418000,-32418000,643876000,643876000,870791000,870791000,92622000,323586000,323586000,1930875000,350452000,531537000,272485000,124350000,881989000,2812864000,351836000,194417000,157419000,22500000,53958000,53958000,428294000,1363857000,186819000,66041000,120778000,1550676000,1978970000,38896000,796810000,-1812000,833894000,833894000,2812864000,-32418000,45871000,45915000,25793000,85161000,-18301000,-18301000,502372000,242000,242000,19658000,522272000,589132000,589132000,589132000,68229000,1386357000,78398000,0.1647,0.02746,-0.03981,-0.03888,-0.01152,-2.41835,4.50829,2.37317,0.49286,-1.02577,-1.02577,25.76683,26.38613,2.48067,-0.01347,0.03257,10.88219,33.20874
"38","2020_Q3",48.4534375,"Up",823921000,-657953000,165968000,-111486000,-67357000,-44129000,54482000,-4756000,-7853000,3097000,49726000,49268000,-12244000,37024000,37024000,37024000,37024000,22535000,22535000,897833000,897833000,77754000,308513000,307733000,1306635000,315604000,522448000,272485000,120437000,838052000,2144687000,342824000,177275000,165549000,22500000,4.6e+07,4.6e+07,411324000,665533000,194082000,59945000,134137000,859615000,1270939000,41705000,833834000,-1791000,873748000,873748000,2144687000,37024000,44130000,4596000.00000001,-3428999.99999999,82321000,-2465000,-2465000,-715358000,3366000,3366000,10795000,-701197000,-621341000,-621341000,-621341000,98612000,688033000,104962000,0.20144,0.06613,0.04494,0.04237,0.01726,2.83497,3.17666,1.45458,0.32081,1.16609,1.14657,25.94984,27.51917,3.30583,0.02109,0.05978,6.74865,12.21501
"39","2020_Q4",68.9409375,"Up",810256000,-658355000,151901000,-104941000,-62628000,-42313000,46960000,-1002000,-4710000,3708000,45958000,45958000,-12032000,33926000,33926000,33926000,33926000,12036000,12036000,938941000,938941000,70827000,243702000,242978000,1265506000,288292000,511266000,272485000,114290000,799558000,2065064000,343107000,183679000,159428000,78121000,42487000,42487000,463715000,4.9e+08,198225000,55360000,142865000,688225000,1151940000,47146000,867760000,-1782000,913124000,913124000,2065064000,33926000,42312000,4266000,31439000,111943000,-3485000,-3485000,-120625000,1817000.00000001,1817000,-171000,-118979000,-10521000,-10521000,-10521000,89272000,568121000,129258000,0.18747,0.05796,0.04187,0.03715,0.01643,3.81,2.72906,1.26154,0.27511,1.06423,1.04628,25.41694,28.64381,4.0547,0.0202,0.07696,6.22911,11.84167
"40","2021_Q1",86.6906557377049,"Up",750666000,-645475000,105191000,-107482000,-63898000,-43584000,-2291000.00000001,-3977000,-4651000,674000.000000001,-6268000,-6268000,2073000,-4195000,-4195000,-4195000,-4195000,11770000,11770000,858123000,858123000,70849000,227888000,226182000,1168630000,273960000,501575000,272485000,109768000,775535000,1944165000,327898000,158966000,168932000,81722000,38870000,38870000,448490000,501562000,182805000,47650000,135155000,684367000,1132857000,12489000,800588000,-1769000,811308000,811308000,1944165000,-4195000,43584000,3473000,59490000,102352000,-20377000,-20377000,14375000,-99687000,313000,-228000,-85540000,-3565000,-3565000,-3565000,41293000,583284000,78333000,0.14013,-0.00304999999999999,-0.00559,-0.00517,-0.00216,-18.67294,2.6057,1.39633,0.30002,-0.13348,-0.13092,23.88517,25.81471,2.49245,-0.00266,0.04966,13.84046,-249.4605
"41","2021_Q2",86.1425396825397,"Down",727497000,-620011000,107486000,-106090000,-67011000,-39079000,1396000,-3160000,-5877000,2717000,-1764000,-1826000,2724000,898000,898000,898000,898000,330615000,330615000,867545000,867545000,71059000,228831000,225224000,1498050000,273503000,491464000,272485000,104332000,764967000,2263017000,330757000,171013000,159744000,61522000,43800000,43800000,436079000,835178000,181807000,51448000,130359000,1016985000,1453064000,14066000,797654000,-1767000,809953000,809953000,2263017000,898000,39079000,16737000,-15203000,41511000,-28585000,-28585000,323125000,366000.000000015,366000,-17572000,305919000,318845000,318845000,318845000,40475000,896700000,-6037000,0.14775,0.00192,0.00123,0.00111,0.000400000000000003,-6.72272,3.43527,1.79401,0.39624,0.02836,0.02798,22.97467,25.57866,-0.19065,0.000480000000000002,-0.0032,13.98604,405.50501
"42","2021_Q3",70.6915625,"Down",787568000,-651367000,136201000,-103192000,-64730000,-38462000,33009000,-8348000,-9334000,986000,24661000,24661000,-6496000,18165000,18165000,18165000,18165000,261947000,261947000,929120000,929120000,69685000,216956000,207247000,1477708000,276659000,487483000,272485000,105030000,764142000,2241850000,341273000,173235000,168038000,66639000,39611000,39611000,447523000,831197000,182709000,54062000,128647000,1013906000,1461429000,12366000,769823000,-1768000,780421000,780421000,2241850000,18165000,38463000,13550000,-52883000,17295000,-35532000,-35532000,5.96046447753906e-08,-5e+07,0,-431000,-50431000,-68668000,-68668000,-68668000,71472000,897836000,-10447000,0.17294,0.04191,0.02306,0.02328,0.0081,-0.575119999999999,3.30197,1.87262,0.40049,0.59453,0.584349999999999,25.77679,25.54287,-0.341929999999999,0.00976,-0.00561,8.89704,19.26411
"43","2021_Q4",84.565,"Up",853973000,-705865000,148108000,-104665000,-66899000,-37766000,43443000,-8568000,-9132000,564000,34875000,34875000,-6158000,28717000,28717000,28717000,28717000,263701000,263701000,959741000,959741000,69876000,155685000,148183000,1449003000,284246000,471446000,272485000,93097000,755692000,2204695000,341471000,173599000,167872000,13125000,38557000,38557000,393153000,827226000,173542000,56362000,117180000,1000768000,1393921000,14001000,798540000,-1767000,810774000,810774000,2204695000,28717000,37765000,12637000,25188000,104307000,-44134000,-44134000,0,-1.49011611938477e-08,0,-58419000,-58419000,1754000,1754000,1754000,81208000,840351000,68420000,0.17343,0.05087,0.03363,0.03542,0.01303,2.38256,3.6856,1.71925,0.38116,0.9399,0.92379,27.9502,26.53631,2.23936,0.01574,0.0375,7.1009,13.27371
"44","2022_Q1",91.5146774193548,"Up",761481000,-656634000,104847000,-101137000,-63792000,-37345000,3710000,-8644000,-8823000,179000,-4934000,-4934000,5728000,794000,794000,794000,794000,310757000,310757000,895898000,895898000,81291000,68144000,55415000,1356090000,294798000,467336000,272485000,93019000,762134000,2118224000,321143000,155896000,165014000,17500000,43153000,43153000,381796000,823251000,154633000,55674000,98959000,977884000,1359680000,11899000,748414000,-1769000,758544000,758544000,2118224000,794000,37345000,10064000,97339000,145542000,-43428000,-43428000,-58264000,-54238000,1895000,57444000,-55058000,47056000,47056000,47056000,41055000,840751000,89238000,0.13769,0.00487,0.00103999999999999,0.00105,0.00037,112.39043,3.55187,1.79249,0.39691,0.0260900000000055,0.0257200000000065,25.0230799999999,24.92657,2.93246,0.00045,0.05088,12.90937,142.85553
"45","2022_Q2",89.12,"Down",876300000,-745730000,130570000,-106017000,-69380000,-36637000,24553000,-4323000,-9118000,4795000,20230000,20230000,-694000,19536000,19536000,19536000,19536000,185568000,185568000,994951000,994951000,94067000,95365000,80828000,1369951000,299005000,463156000,272485000,92769000,762161000,2132112000,337621000,176447000,161174000,17500000,40560000,40560000,395681000,819311000,158782000,57794000,100988000,978093000,1373774000,12976000,747131000,-1769000,758338000,758338000,2132112000,19536000,36637000,8513000,-129601000,-64915000,-33030000,-33030000,-4375000,-17337000,1202000,-5532000,-27244000,-125189000,-125189000,-125189000,61190000,836811000,-100747000,0.149,0.02802,0.02229,0.02576,0.00916,-5.15699,3.46226,1.81156,0.39248,0.65914,0.64862,29.56594,25.5859599999993,-3.39916,0.01114,-0.05744,10.64296,26.52397
"46","2022_Q3",104.66234375,"Up",972273000,-797980000,174293000,-108681000,-73336000,-35345000,65612000,-6760000,-9347000,2587000,58852000,58852000,-14996000,43856000,43856000,43856000,43856000,120278000,120278000,1118595000,1118595000,98883000,96047000,90011000,1433803000,312805000,459762000,272485000,93257000,772567000,2206370000,373123000,187570000,185553000,17500000,41522000,41522000,432145000,815332000,161877000,62373000,99504000,977209000,1409354000,14449000,784336000,-1769000,797016000,797016000,2206370000,43856000,35344000,14432000,-105666000,-12034000,-39072000,-39072000,-4375000.00000001,-9790000,203000,-18999.9999999851,-14184000,-65290000,-65290000,-65290000,100956000,832832000,-28786000,0.17926,0.06748,0.04511,0.05503,0.01988,-0.656380000000006,3.31787,1.76829,0.37747,1479.72198,1456.09084,32804.94635,26891.6931,-971.25312,0.02448,-0.01607,7.05806,10.86012
