"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2018_Q2",12.665,"Down",3.418e+09,-1.019e+09,2.399e+09,-1.45e+09,-1.73e+08,-5.7e+08,-7.07e+08,9.49e+08,-2.11e+08,-4.67e+08,2.2e+08,3.6e+07,7.38e+08,-3.2e+07,7.06e+08,-1.64e+08,5.42e+08,5.42e+08,-1.8e+07,5.24e+08,4.85e+08,2.94e+08,2.94e+08,1.349e+09,1.349e+09,4.42e+08,5.43e+08,2.86e+08,2.628e+09,4.0333e+10,7.42e+09,2.863e+10,2.2157e+10,3.044e+09,1.543e+09,7.6383e+10,7.9011e+10,1.937e+09,1.221e+09,4.09e+08,2.494e+09,2.494e+09,9.98e+08,9.98e+08,5.429e+09,3.4723e+10,3.4723e+10,3.201e+09,3.201e+09,3.7924e+10,4.3353e+10,4.1699e+10,4.1677e+10,-7.365e+09,-6.67e+08,3.3667e+10,1.991e+09,3.5658e+10,7.9011e+10,5.42e+08,5.7e+08,2.18e+08,-3.56e+08,9.74e+08,-7.06e+08,3.4e+07,-7.25e+08,-3.16e+08,3.55e+08,2e+06,-2.09e+08,4e+07,4e+07,3.7e+07,1.519e+09,3.7217e+10,6.21e+08,0.70187,0.27765,0.1419,0.0136,0.00614,1.28041,0.48407,1.2158,0.47104,0.21976,0.21976,1.54871,15.25464,0.28138,0.14318,0.01053,0.00816,0.65155,24.30744,38.90727
"30","2018_Q3",13.9966666666667,"Up",3.428e+09,-1.068e+09,2.36e+09,-1.435e+09,-1.64e+08,-5.71e+08,-7e+08,9.25e+08,-1.54e+08,-5.16e+08,3.28e+08,3.4e+07,7.71e+08,-9.47e+08,-1.76e+08,45999999.9999998,-1.3e+08,-1.3e+08,-1.1e+07,-1.41e+08,-1.8e+08,2.71e+08,2.71e+08,1.357e+09,1.357e+09,4.2e+08,5.86e+08,3.3e+08,2.634e+09,3.9905e+10,7.293e+09,2.8483e+10,2.2153e+10,2.989e+09,1.388e+09,7.5681e+10,7.8315e+10,2.159e+09,1.269e+09,5.84e+08,2.132e+09,2.132e+09,1.088e+09,1.088e+09,5.379e+09,3.464e+10,3.464e+10,3.221e+09,3.221e+09,3.7861e+10,4.324e+10,4.1718e+10,4.1696e+10,-7.993e+09,-6.9e+08,3.3035e+10,2.04e+09,3.5075e+10,7.8315e+10,-1.3e+08,5.71e+08,8.11e+08,2.42e+08,1.494e+09,-7.61e+08,-1.2e+07,-7.07e+08,-4.81e+08,-3.65e+08,4.5e+07,-8.01e+08,-1.4e+07,-1.4e+07,-16000000.0000002,1.496e+09,3.6772e+10,9.31e+08,0.68845,0.26984,-0.05251,-0.00513,-0.0023,-5.17222,0.48968,1.23279,0.46954,-0.0816700000000001,-0.0816699999999999,1.55535,14.98866,0.42241,0.21824,0.00401,0.0124,-2.67222,24.39906,39.46054
"31","2018_Q4",13.401746031746,"Down",3.517e+09,-1.135e+09,2.382e+09,-1.455e+09,-1.54e+08,-5.69e+08,-7.32e+08,9.27e+08,-2.93e+08,-4.73e+08,1.6e+08,2e+07,6.34e+08,5.67e+08,1.201e+09,-1.96e+08,1.005e+09,1.005e+09,-2.73e+08,7.32e+08,6.93e+08,3.459e+09,3.459e+09,1.384e+09,1.384e+09,3.83e+08,5.4e+08,3.28e+08,5.766e+09,3.7795e+10,7.432e+09,2.807e+10,2.1965e+10,2.935e+09,1.296e+09,7.3297e+10,7.9063e+10,1.795e+09,1.307e+09,3.99e+08,2.337e+09,2.337e+09,1.357e+09,1.357e+09,5.489e+09,3.4625e+10,3.4625e+10,3.05e+09,3.05e+09,3.7675e+10,4.3164e+10,4.1726e+10,4.1704e+10,-7.744e+09,-4.95e+08,3.3487e+10,2.412e+09,3.5899e+10,7.9063e+10,1.005e+09,5.69e+08,-8.3e+08,1.63e+08,9.07e+08,-7.43e+08,2.861e+09,2.118e+09,-4.83e+08,6.26e+08,1.4e+07,1.57e+08,3.182e+09,3.182e+09,3.213e+09,1.496e+09,3.6962e+10,1.112e+09,0.67728,0.26358,0.19704,0.0193,0.00877,1.60462,1.05046,1.20237,0.4675,0.31429,0.31429,1.59501,15.18685,0.50431,0.21905,0.01549,0.01465,0.69697,22.39505,36.14132
"32","2019_Q1",14.9580327868852,"Up",3.781e+09,-1.199e+09,2.582e+09,-1.422e+09,-1.1e+08,-5.87e+08,-7.25e+08,1.16e+09,-5.35e+08,-4.61e+08,-9.1e+07,1.7e+07,6.25e+08,1.5e+08,7.75e+08,-2.73e+08,5.02e+08,5.02e+08,-8000000.00000006,4.94e+08,4.83e+08,3.28e+09,3.28e+09,1.498e+09,1.498e+09,3.85e+08,5.59e+08,2.99e+08,5.722e+09,3.7897e+10,7.481e+09,2.7766e+10,2.1965e+10,2.88e+09,1.355e+09,7.3144e+10,7.8866e+10,2.399e+09,1.337e+09,5.79e+08,3.388e+09,3.388e+09,8.94e+08,8.94e+08,6.681e+09,3.3105e+10,3.3105e+10,3.883e+09,3.007e+09,3.6988e+10,4.3669e+10,4.1724e+10,4.1701e+10,-7.716e+09,-3.3e+08,3.3678e+10,1.519e+09,3.5197e+10,7.8866e+10,5.02e+08,5.87e+08,2.29e+08,3.5e+08,1.668e+09,-5.9e+08,-3.11e+09,-7.54e+08,-4.94e+08,-4.56e+08,2e+06,-9.71e+08,-56999999.9999995,-56999999.9999995,-2.29e+08,1.747e+09,3.6493e+10,1.78e+09,0.68289,0.3068,0.12774,0.01372,0.00612,3.6853,0.85646,1.2407,0.46272,0.21486,0.21486,1.68194,14.98132,0.79181,0.21975,0.01293,0.02355,1.02277,19.01145,28.6319
"33","2019_Q2",16.3506349206349,"Up",3.429e+09,-9.48e+08,2.481e+09,-1.463e+09,-1.54e+08,-5.93e+08,-7.16e+08,1.018e+09,-2.58e+08,-4.6e+08,1.92e+08,1e+07,7.6e+08,-2.1e+07,7.39e+08,-1.72e+08,5.67e+08,5.67e+08,-1.1e+07,5.56e+08,5.56e+08,2.21e+08,2.21e+08,1.31e+09,1.31e+09,4.29e+08,3.02e+08,2.45e+08,2.262e+09,3.7782e+10,7.77e+09,2.8478e+10,2.1965e+10,2.826e+09,2.04e+09,7.403e+10,7.6292e+10,1.637e+09,1.012e+09,3.36e+08,2.502e+09,2.502e+09,8.7e+08,8.7e+08,5.009e+09,3.2368e+10,3.2368e+10,3.754e+09,3.754e+09,3.6122e+10,4.1131e+10,4.1739e+10,4.1716e+10,-7.619e+09,-5.08e+08,3.3612e+10,1.549e+09,3.5161e+10,7.6292e+10,5.67e+08,5.93e+08,-1.8e+07,-5.07e+08,6.35e+08,-5.4e+08,5.7e+07,-8.14e+08,-4.55e+08,-1.591e+09,-8.6e+08,-2.908e+09,-3.087e+09,-3.087e+09,-3.061e+09,1.611e+09,3.487e+10,7.36e+08,0.72353,0.29688,0.16215,0.01581,0.00729,1.32374,0.45159,1.16979,0.45706,0.2458,0.2458,1.51592,14.85942,0.32538,0.20115,0.0137,0.00997,0.81835,21.50776,34.03635
"34","2019_Q3",16.84734375,"Up",3.214e+09,-7.77e+08,2.437e+09,-1.474e+09,-1.48e+08,-5.79e+08,-7.47e+08,9.63e+08,-2.78e+08,-4.52e+08,1.61e+08,1.3e+07,6.85e+08,-9e+06,6.76e+08,-1.48e+08,5.28e+08,5.28e+08,-1e+07,5.18e+08,5.18e+08,2.13e+08,2.13e+08,1.227e+09,1.227e+09,4.5e+08,4.1e+08,3e+08,2.3e+09,3.784e+10,8.124e+09,2.8431e+10,2.1964e+10,2.782e+09,2.198e+09,7.4395e+10,7.6695e+10,1.729e+09,9e+08,5.31e+08,3.054e+09,3.054e+09,8.76e+08,8.76e+08,5.659e+09,3.1848e+10,3.1848e+10,3.929e+09,3.929e+09,3.5777e+10,4.1436e+10,4.1757e+10,4.1734e+10,-7.671e+09,-4.48e+08,3.3638e+10,1.621e+09,3.5259e+10,7.6695e+10,5.28e+08,5.79e+08,1.08e+08,2.48e+08,1.463e+09,-6.35e+08,-6.74e+08,-9.81e+08,-5.69e+08,1.1e+07,5.3e+07,-5.05e+08,-2.3e+07,-2.3e+07,-2.1e+07,1.542e+09,3.4902e+10,1.303e+09,0.75825,0.29963,0.16117,0.01469,0.00675,2.51544,0.40643,1.17519,0.45508,0.229,0.229,1.42087,14.87091,0.57604,0.25155,0.01467,0.01759,1.09846,22.49611,36.02181
"35","2019_Q4",16.811875,"Down",3.214e+09,-7.62e+08,2.452e+09,-1.504e+09,-1.54e+08,-5.78e+08,-7.72e+08,9.48e+08,-2.62e+08,-4.47e+08,1.73e+08,1.2e+07,6.86e+08,-1.8e+07,6.68e+08,-1.51e+08,5.17e+08,5.17e+08,-1.1e+07,5.06e+08,5.06e+08,2.41e+08,2.41e+08,1.273e+09,1.273e+09,4.05e+08,4.46e+08,3.02e+08,2.365e+09,3.7934e+10,8.387e+09,2.8245e+10,2.1964e+10,2.729e+09,2.228e+09,7.4566e+10,7.6931e+10,1.66e+09,9.16e+08,3.6e+08,4.406e+09,4.406e+09,7.6e+08,7.6e+08,6.826e+09,3.0849e+10,3.0849e+10,3.981e+09,3.981e+09,3.483e+10,4.1656e+10,4.175e+10,4.1727e+10,-7.733e+09,-3.84e+08,3.3633e+10,1.642e+09,3.5275e+10,7.6931e+10,5.17e+08,5.78e+08,1.03e+08,-1.75e+08,1.023e+09,-5.44e+08,-3.54e+08,-8.15e+08,-5.69e+08,3.95e+08,-1.3e+07,-1.87e+08,2.1e+07,2.1e+07,1.9e+07,1.526e+09,3.5255e+10,9.58e+08,0.76291,0.29496,0.15744,0.01434,0.00658,1.89328,0.34647,1.18089,0.45827,0.2234,0.2234,1.41898,14.84901,0.42296,0.25121,0.01443,0.01286,1.12451,22.94495,36.9346
"36","2020_Q1",15.9935483870968,"Down",3.352e+09,-7.76e+08,2.576e+09,-1.577e+09,-2.725e+09,-6.61e+08,1.809e+09,9.99e+08,-8.24e+08,-4.42e+08,-4.25e+08,4.3e+07,1.75e+08,9.07e+08,1.082e+09,-4.55e+08,6.27e+08,6.27e+08,-1.7e+07,6.1e+08,6.1e+08,1.11e+09,1.85e+08,1.379e+09,1.379e+09,3.71e+08,3.78e+08,2.94e+08,3.238e+09,3.6419e+10,7.759e+09,2.6741e+10,2.1451e+10,2.676e+09,1.757e+09,7.0919e+10,7.4157e+10,1.915e+09,9.14e+08,5.48e+08,2.477e+09,2.477e+09,7.08e+08,7.08e+08,5.1e+09,3.0883e+10,3.0883e+10,3.285e+09,3.285e+09,3.4168e+10,3.9268e+10,4.1768e+10,4.1745e+10,-7.693e+09,-3.33e+08,3.3742e+10,1.147e+09,3.4889e+10,7.4157e+10,6.27e+08,6.61e+08,1.68e+08,1.71e+08,1.627e+09,-4.69e+08,-2999999.99999994,8.96e+08,1.593e+09,-2.003e+09,-2.175e+09,-2.585e+09,-6.2e+07,-6.2e+07,-59000000.0000001,1.66e+09,3.336e+10,1.817e+09,0.7685,0.29803,0.18198,0.01748,0.00823,2.97869,0.6349,1.12551,0.44986,0.26908,0.26908,1.47861,14.88399,0.8015,-0.70269,-0.01374,0.0254,-2.61148,19.42771,32.28228
"37","2020_Q2",12.9873015873016,"Down",3.106e+09,-6.63e+08,2.443e+09,-1.43e+09,-7.73e+08,-5.65e+08,-9.2e+07,1.013e+09,-2.41e+08,-4.36e+08,1.92e+08,3e+06,7.72e+08,-1.003e+09,-2.31e+08,-6e+07,-2.91e+08,-2.91e+08,-1.5e+07,-3.06e+08,-3.06e+08,3.6e+08,3.6e+08,1.186e+09,1.186e+09,3.07e+08,1.243e+09,7.95e+08,3.096e+09,3.6041e+10,7.886e+09,2.6507e+10,2.0851e+10,2.616e+09,2.195e+09,7.0434e+10,7.353e+10,1.384e+09,7.52e+08,3.37e+08,3.54e+09,3.54e+09,6.84e+08,6.84e+08,5.608e+09,2.9955e+10,2.9955e+10,3.71e+09,3.71e+09,3.3665e+10,3.9273e+10,4.1736e+10,4.1713e+10,-8.568e+09,-6.2e+07,3.3106e+10,1.151e+09,3.4257e+10,7.353e+10,-2.91e+08,5.65e+08,8.7e+08,-2.51e+08,8.93e+08,-4.4e+08,-1.32e+08,3.35e+08,-5.64e+08,1.56e+08,-2.9e+07,-4.87e+08,7.41e+08,7.41e+08,7.33e+08,1.578e+09,3.3495e+10,9.47e+08,0.78654,0.32614,-0.09852,-0.00893,-0.00416,-3.09477,0.55207,1.14642,0.45553,-0.13516,-0.13516,1.37191,14.62279,0.41829,0.24912,0.00361000000000001,0.01325,-1.84314,20.9981,32.70977
"38","2020_Q3",12.12,"Down",2.56e+09,-4.41e+08,2.119e+09,-1.396e+09,-7.61e+08,-5.32e+08,-1.03e+08,7.23e+08,-2.03e+08,-3.95e+08,1.76e+08,1.6e+07,5.2e+08,-1.04e+09,-5.2e+08,-1.04e+08,-6.24e+08,-6.24e+08,-1.3e+07,-6.37e+08,-6.37e+08,5.26e+08,5.26e+08,1.073e+09,1.073e+09,3.36e+08,5.55e+08,2.6e+08,2.49e+09,3.6027e+10,7.892e+09,2.5375e+10,1.9851e+10,2.567e+09,2.167e+09,6.9294e+10,7.1784e+10,1.534e+09,6.98e+08,5.01e+08,3.006e+09,3.006e+09,6.62e+08,6.62e+08,5.202e+09,2.9976e+10,2.9976e+10,3.714e+09,3.714e+09,3.369e+10,3.8892e+10,4.1754e+10,4.1731e+10,-9.802e+09,-1.99e+08,3.1753e+10,1.139e+09,3.2892e+10,7.1784e+10,-6.24e+08,5.32e+08,1.15e+09,2.81e+08,1.339e+09,-5.23e+08,-5.3e+07,-5.76e+08,-5.93e+08,-5.41e+08,-28000000.0000002,-1.162e+09,-3.99e+08,-3.99e+08,-3.96e+08,1.255e+09,3.2982e+10,1.117e+09,0.82773,0.28242,-0.24883,-0.01937,-0.00887,-1.75353,0.47866,1.18242,0.45946,-0.28161,-0.28161,1.13174,14.03758,0.49381,0.26216,-0.00063,0.01605,-0.93093,25.86135,44.89073
"39","2020_Q4",11.89375,"Down",2.919e+09,-6.55e+08,2.264e+09,-1.435e+09,-7.96e+08,-5.39e+08,-1e+08,8.29e+08,-1.74e+08,-3.83e+08,1.94e+08,1.5e+07,6.55e+08,-4.3e+07,6.12e+08,-1.4e+08,4.72e+08,4.72e+08,-1.7e+07,4.55e+08,4.55e+08,6.32e+08,6.32e+08,1.142e+09,1.142e+09,3.17e+08,5.81e+08,3.24e+08,2.672e+09,3.5958e+10,8.014e+09,2.5177e+10,1.9851e+10,2.51e+09,2.145e+09,6.9149e+10,7.1821e+10,1.775e+09,7.74e+08,3.51e+08,2.057e+09,2.057e+09,5.44e+08,5.44e+08,4.376e+09,3.1281e+10,3.1281e+10,3.472e+09,3.472e+09,3.4753e+10,3.9129e+10,4.1759e+10,4.1736e+10,-9.945e+09,-2.55e+08,3.1559e+10,1.133e+09,3.2692e+10,7.1821e+10,4.72e+08,5.39e+08,1.55e+08,-1.16e+08,1.05e+09,-3.88e+08,-1.31e+08,-5.35e+08,-6.07e+08,2.82e+08,-3.9e+07,-3.64e+08,1.51e+08,1.51e+08,1.53e+08,1.368e+09,3.3338e+10,1.004e+09,0.77561,0.284,0.15588,0.01392,0.00634,2.20659,0.6106,1.1969,0.46418,0.20106,0.20106,1.28988,13.94565,0.44366,0.26823,0.01528,0.01445,1.33407,23.90789,39.45235
"40","2021_Q1",13.8422950819672,"Up",3.115e+09,-7.86e+08,2.329e+09,-1.404e+09,-7.93e+08,-5.28e+08,-8.3e+07,9.25e+08,-1.39e+08,-3.81e+08,2.18e+08,2.4e+07,7.86e+08,13999999.9999999,8e+08,-1.77e+08,6.23e+08,6.23e+08,-1.6e+07,6.07e+08,6.07e+08,1.184e+09,1.184e+09,1.293e+09,1.293e+09,3.48e+08,3.78e+08,1.93e+08,3.203e+09,3.5836e+10,7.917e+09,2.5017e+10,1.9851e+10,2.453e+09,2.177e+09,6.877e+10,7.1973e+10,1.669e+09,8.37e+08,5.25e+08,2.558e+09,2.558e+09,8.47e+08,5.8e+08,5.074e+09,3.0838e+10,3.0838e+10,3.495e+09,3.495e+09,3.4333e+10,3.9407e+10,4.1779e+10,4.1756e+10,-9.936e+09,-4.07e+08,3.1436e+10,1.13e+09,3.2566e+10,7.1973e+10,6.23e+08,5.28e+08,5e+06,1.12e+08,1.268e+09,7.13e+08,5.9e+07,-1.35e+08,1.764e+09,-5e+06,-2.384e+09,-6.25e+08,5.08e+08,5.08e+08,5.1e+08,1.453e+09,3.3396e+10,2.455e+09,0.74767,0.29695,0.19486,0.01864,0.00843,4.04448,0.63126,1.21007,0.46401,0.26823,0.26823,1.37649,13.89129,1.08484,-0.7795,-0.01666,0.03535,-2.9061,22.1693,34.82378
"41","2021_Q2",16.4271428571429,"Up",5.211e+09,-2.009e+09,3.202e+09,-1.321e+09,-6.7e+08,-5.41e+08,-1.1e+08,1.881e+09,-8.7e+07,-3.77e+08,6.6e+07,2.24e+08,1.794e+09,-1.8e+07,1.776e+09,-3.51e+08,1.425e+09,1.425e+09,-1.6e+07,1.409e+09,1.409e+09,1.377e+09,1.377e+09,1.425e+09,1.425e+09,3.89e+08,5.43e+08,3.25e+08,3.734e+09,3.5605e+10,7.693e+09,2.4176e+10,1.9851e+10,2.396e+09,1.716e+09,6.7474e+10,7.1208e+10,1.634e+09,9.68e+08,3.04e+08,2.173e+09,2.173e+09,8.11e+08,8.11e+08,4.618e+09,3.0007e+10,3.0007e+10,3.275e+09,3.275e+09,3.3282e+10,3.79e+10,4.1775e+10,4.1775e+10,-9.124e+09,-4.87e+08,3.2187e+10,1.121e+09,3.3308e+10,7.1208e+10,1.425e+09,5.41e+08,2.91e+08,-3.84e+08,1.873e+09,-2.67e+08,-1.6e+07,1.3e+08,-5.97e+08,-1.158e+09,-3.4e+07,-1.789e+09,2.14e+08,2.14e+08,2.14e+08,2.422e+09,3.218e+10,2.122e+09,0.61447,0.36097,0.27039,0.0423,0.01979,1.50603,0.80858,1.13786,0.45192,0.62235,0.62235,2.30168,14.20671,0.93728,0.26369,0.02917,0.03086,0.4237,12.718,16.37586
"42","2021_Q3",15.8853125,"Down",3.15e+09,-9.36e+08,2.214e+09,-1.378e+09,-7.42e+08,-5.28e+08,-1.08e+08,8.36e+08,-1.98e+08,-3.77e+08,1.57e+08,21999999.9999999,6.38e+08,-1.615e+09,-9.77e+08,2.37e+08,-7.4e+08,-7.4e+08,-1.7e+07,-7.57e+08,-7.57e+08,1.365e+09,1.365e+09,1.416e+09,1.416e+09,3.96e+08,1.106e+09,8.85e+08,4.283e+09,3.457e+10,7.65e+09,2.3672e+10,1.9851e+10,1.585e+09,1.744e+09,6.5892e+10,7.0175e+10,1.877e+09,9.49e+08,4.79e+08,2.183e+09,2.183e+09,9.99e+08,9.99e+08,5.059e+09,3.0008e+10,3.0008e+10,3.285e+09,3.285e+09,3.3293e+10,3.8352e+10,4.1793e+10,4.1793e+10,-1.0496e+10,-6.09e+08,3.0711e+10,1.112e+09,3.1823e+10,7.0175e+10,-7.4e+08,5.28e+08,1.364e+09,2.86e+08,1.438e+09,-2.78e+08,3.7e+07,-2.41e+08,-6.12e+08,-5e+06,-3.4e+07,-6.51e+08,5.46e+08,5.46e+08,5.46e+08,1.364e+09,3.2191e+10,1.135e+09,0.70286,0.2654,-0.24032,-0.02379,-0.01079,-1.49934,0.84661,1.20517,0.45872,-0.33436,-0.33436,1.39134,13.55477,0.50133,0.27032,-0.00215,0.01687,-0.80845,22.59971,36.87321
"43","2021_Q4",15.80796875,"Down",3.824e+09,-1.559e+09,2.265e+09,-1.42e+09,-7.88e+08,-5.26e+08,-1.06e+08,8.45e+08,-1.75e+08,-3.68e+08,1.69e+08,2.4e+07,6.7e+08,-2.5e+07,6.45e+08,-1.34e+08,5.11e+08,5.11e+08,-1.6e+07,4.95e+08,4.95e+08,1.02e+08,1.02e+08,1.433e+09,1.433e+09,4.57e+08,6.94e+08,4.95e+08,2.686e+09,3.5576e+10,7.62e+09,2.3758e+10,2.0033e+10,1.744e+09,1.678e+09,6.6954e+10,6.964e+10,1.767e+09,1.189e+09,3.32e+08,2.822e+09,2.822e+09,1.236e+09,9.52e+08,5.825e+09,2.8988e+10,2.8988e+10,3.174e+09,3.174e+09,3.2162e+10,3.7987e+10,4.1811e+10,4.1788e+10,-1.0617e+10,-6.42e+08,3.0552e+10,1.101e+09,3.1653e+10,6.964e+10,5.11e+08,5.26e+08,1.76e+08,-8.4e+07,1.129e+09,-3.49e+08,6.3e+07,-1.8e+09,-6.19e+08,-3.46e+08,-5.4e+07,-1.019e+09,-1.69e+09,-1.69e+09,-1.69e+09,1.371e+09,3.181e+10,1.072e+09,0.59231,0.22097,0.12945,0.01564,0.00711,2.16566,0.46112,1.20011,0.45678,0.21835,0.21835,1.68681,13.47684,0.47287,0.27305,0.01672,0.01609,1.25051,23.12764,37.52426
"44","2022_Q1",16.9975806451613,"Up",4.425e+09,-1.989e+09,2.436e+09,-1.465e+09,-8.23e+08,-5.4e+08,-1.02e+08,9.71e+08,-1.52e+08,-3.7e+08,1.99e+08,1.9e+07,8.19e+08,-4.4e+07,7.75e+08,-1.21e+08,6.54e+08,6.54e+08,-1.7e+07,6.37e+08,6.37e+08,1.14e+09,1.14e+09,1.611e+09,1.611e+09,5.62e+08,5.16e+08,2.96e+08,3.829e+09,3.5653e+10,7.578e+09,2.3356e+10,1.9914e+10,1.678e+09,1.649e+09,6.6587e+10,7.0416e+10,1.763e+09,1.259e+09,5.04e+08,2.646e+09,2.646e+09,1.412e+09,9.64e+08,5.821e+09,2.9772e+10,2.9772e+10,2.902e+09,2.902e+09,3.2674e+10,3.8495e+10,4.1829e+10,4.1806e+10,-1.0595e+10,-4.11e+08,3.0823e+10,1.098e+09,3.1921e+10,7.0416e+10,6.54e+08,5.4e+08,1.1e+08,-3.6e+07,1.268e+09,1.9e+07,3.3e+07,-3.94e+08,1.828e+09,6.37e+08,-2.471e+09,-6000000.00000012,8.68e+08,8.68e+08,8.68e+08,1.511e+09,3.2418e+10,1.615e+09,0.55051,0.21944,0.14395,0.01996,0.00905,2.53532,0.65779,1.20595,0.46038,0.28099,0.28099,1.95192,13.59638,0.7124,-0.80635,-0.01771,0.02402,-2.8697,20.7002,32.21215
"45","2022_Q2",18.3527419354839,"Up",4.293e+09,-1.894e+09,2.399e+09,-1.39e+09,-7.41e+08,-5.38e+08,-1.11e+08,1.009e+09,-1.22e+08,-3.33e+08,1.87e+08,2.4e+07,8.87e+08,-9e+06,8.78e+08,-1.94e+08,6.84e+08,6.84e+08,-1.7e+07,6.67e+08,6.67e+08,8.4e+07,84000000.0000002,1.661e+09,1.661e+09,5.91e+08,6.97e+08,5.5e+08,3.033e+09,3.5557e+10,7.545e+09,2.3e+10,1.9914e+10,1.618e+09,1.46e+09,6.6102e+10,6.9135e+10,1.506e+09,1.204e+09,3.02e+08,3.324e+09,3.324e+09,1.62e+09,8.74e+08,6.45e+09,2.8175e+10,2.8175e+10,2.803e+09,2.803e+09,3.0978e+10,3.7428e+10,4.1836e+10,4.1813e+10,-1.0544e+10,-6.74e+08,3.0618e+10,1.089e+09,3.1707e+10,6.9135e+10,6.84e+08,5.38e+08,2.54e+08,-3.92e+08,1.084e+09,-4.07e+08,3.6e+07,-3.71e+08,-6.16e+08,-8.65e+08,-3e+07,-1.512e+09,-7.99e+08,-7.99e+08,-7.99e+08,1.547e+09,3.1499e+10,9.42e+08,0.55882,0.23503,0.15537,0.02104,0.00965,1.41229,0.47023,1.18043,0.45562,0.29422,0.29422,1.89369,13.50596,0.41553,0.27172,0.01944,0.01427,0.92354,20.30705,31.13479
"46","2022_Q3",17.6765,"Down",5.151e+09,-2.683e+09,2.468e+09,-1.474e+09,-8.15e+08,-5.43e+08,-1.16e+08,9.94e+08,-1.49e+08,-3.55e+08,1.82e+08,2.4e+07,8.45e+08,-8e+06,8.37e+08,-1.84e+08,6.53e+08,6.53e+08,-1.8e+07,6.35e+08,6.35e+08,1e+08,1e+08,2.063e+09,2.063e+09,6.9e+08,7.55e+08,6.14e+08,3.608e+09,3.553e+10,7.47e+09,2.2782e+10,1.9914e+10,1.557e+09,1.311e+09,6.5782e+10,6.939e+10,2.133e+09,1.691e+09,4.42e+08,2.97e+09,2.97e+09,1.789e+09,1.051e+09,6.892e+09,2.814e+10,2.814e+10,2.733e+09,2.537e+09,3.0873e+10,3.7765e+10,4.1677e+10,4.1654e+10,-1.054e+10,-5.92e+08,3.0545e+10,1.08e+09,3.1625e+10,6.939e+10,2121711001.73609,486867352.43377,-660379280.617749,-2180093582.62515,-231894509.07304,-3005612821.5616,162169417.252676,-6631824599.10411,-15980122251.838,-9166466021.4286,15197606948.5687,-9953075658.11935,-16816794766.2965,-16816794766.2965,-16816867119.3175,1371480032.9515,3.111e+10,-2830345082.70268,0.47913,0.19297,0.12328,0.02008,0.00915,1.53165881046031,0.52351,1.19415,0.44834,0.28035,0.28035,2.27417,13.48565,-1.24930318504721,7.04862221940715,0.0097,-0.0404457014702718,28.4370342876851,26.0552789537677,31.19718
