"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",84.2815873015873,"Up",428962000,-333226000,95736000,-52768000,-52768000,42968000,-7988000,-9425000,1437000,34980000,32539000,-7772000,24767000,24767000,24767000,24767000,57436000,50186000,131398000,131398000,113547000,27987000,330368000,216300000,1050345000,732000,34338000,1266645000,1597013000,156199000,60876000,95323000,4264000,160463000,747381000,79262000,9338000,826643000,987106000,294343000,-48762000,609907000,609907000,1597013000,24767000,23018000,344000,4808000,52937000,-16482000,76000,-16406000,-63516000,5e+05,-1739000,-64755000,-28224000,-28224000,-28224000,65986000,751645000,62084000,0.22318,0.10017,0.05774,0.04061,0.01551,2.50672,2.05884,1.61845,0.47066,1.4125,1.4057,24.46442,34.78402,3.54075,0.01719,0.04309,10.52055,16.15642
"34","2019_Q3",82.61328125,"Down",424878000,-338116000,86762000,-51704000,-51704000,35058000,-10055000,-8943000,-1112000,25003000,25409000,-6921000,18488000,18488000,18488000,18488000,62362000,57862000,131217000,131217000,115953000,16949000,326481000,213423000,1037212000,710000,32946000,1250635000,1577116000,161831000,66237000,95594000,4437000,166268000,717937000,76572000,9598000,794509000,960777000,303234000,-48455000,616339000,616339000,1577116000,18488000,23708000,-1399000,13933000,54730000,-5420000,2109000,-3311000,-30544000,-13199000,0,-43743000,7676000,7676000,7676000,58766000,722374000,74200000,0.2042,0.08251,0.04351,0.03,0.01172,4.01341,1.96358,1.55885,0.45803,1.05311,1.05281,24.20187,35.10786,4.22658,0.01306,0.05243,11.23119,18.82629
"35","2019_Q4",100.4815625,"Up",384080000,-307227000,76853000,-49677000,-49677000,27176000,-3024000,-8836000,5812000,24152000,24126000,-5717000,18409000,18409000,18409000,18409000,44509000,42009000,117198000,117198000,116116000,14675000,292498000,211977000,1028361000,726000,35495000,1240338000,1532836000,140212000,56988000,83224000,2300000,142512000,709818000,72534000,6250000,782352000,924864000,302233000,-48148000,607972000,607972000,1532836000,18409000,23558000,-10065000,-1619000,30283000,-11515000,-67000,-11582000,-6571000,-27751000,-232000,-34554000,-15853000,-15853000,-15853000,50734000,712118000,43317000,0.2001,0.07076,0.04793,0.03028,0.01201,2.35303,2.05244,1.52123,0.46458,1.07121,1.06897,22.34933,35.37744,2.52058,0.01322,0.0311,13.15901,24.56612
"36","2020_Q1",92.428064516129,"Down",407399000,-320277000,87122000,-48643000,-48643000,38479000,-9739000,-8448000,-1291000,28740000,28814000,-6790000,22024000,22024000,22024000,22024000,59156000,57656000,125901000,125901000,108528000,12450000,306035000,208263000,1015633000,773000,34137000,1223896000,1529931000,147304000,61277000,86027000,2286000,149590000,689205000,70783000,6034000,759988000,909578000,317420000,-49491000,620353000,620353000,1529931000,22024000,24162000,1870000,4839000,52895000,1353000,-8795000,-6624000,-21574000,-9050000,0,-30624000,15647000,15647000,15647000,62641000,691491000,75623000,0.21385,0.09445,0.05406,0.0355,0.0144,3.43366,2.04583,1.46623,0.45198,1.30466,1.30172,24.13358,36.74859,4.47977,0.01593,0.0547,10.09459,16.43325
"37","2020_Q2",57.2279365079365,"Down",427365000,-332846000,94519000,-50119000,-50119000,44400000,-8081000,-8088000,7000,36319000,36338000,-9457000,26881000,26881000,26881000,26881000,71549000,71049000,119999000,119999000,115341000,11308000,318197000,204960000,1100259000,773000,130180000,1305219000,1623416000,148221000,67167000,81054000,32206000,180427000,647697000,144124000,80922000,791821000,972248000,344301000,-49176000,651168000,651168000,1623416000,26881000,24113000,9061000,2557000,62612000,-4347000,-1233000,-5580000,-42589000,0,-1050000,-43639000,13393000,13393000,13393000,68513000,679903000,76180000,0.22117,0.10389,0.0629,0.04128,0.01656,2.83397,1.76358,1.49308,0.41881,1.5939,1.58989,25.34055,38.61091,4.51708,0.01822,0.05164,8.8794,13.70167
"38","2020_Q3",81.6321875,"Up",428016000,-340966000,87050000,-50351000,-50351000,36699000,-6909000,-7436000,527000,29790000,29978000,-7815000,22163000,22163000,22163000,22163000,51435000,51435000,120118000,120118000,119758000,17713000,309024000,206899000,1082741000,766000,124085000,1289640000,1598664000,147636000,62850000,84786000,21773000,169409000,617930000,136417000,76781000,754347000,923756000,366464000,-48860000,674908000,674908000,1598664000,22163000,24414000,5852000,-28809000,23620000,-11258000,-1450000,-12708000,-30609000,83000,0,-30526000,-19614000,-19614000,-19614000,61113000,639703000,28861000,0.20338,0.08574,0.05178,0.03284,0.01386,1.30222,1.82413,1.36871,0.40015,1.3099,1.30701,25.29696,39.88897,1.70577,0.01527,0.01989,9.62591,16.02954
"39","2020_Q4",90.91421875,"Up",395755000,-323407000,72348000,-48315000,-48315000,24033000,-6759000,-6924000,165000,17274000,17274000,-4470000,12804000,12804000,12804000,12804000,47063000,47063000,122353000,122353000,121930000,20865000,312211000,208780000,1072843000,783000,125587000,1281623000,1593834000,146056000,66378000,79678000,23146000,169202000,600573000,134774000,78140000,735347000,904549000,379268000,-48545000,689285000,689285000,1593834000,12804000,24835000,4239000,-15902000,25976000,-9637000,-2288000,-11925000,-18635000,212000,-1.16415321826935e-10,-18423000,-4372000,-4372000,-4372000,48868000,623719000,27799000,0.18281,0.06073,0.03235,0.01858,0.00803,2.17112,1.8452,1.3123,0.39133,0.75664,0.75416,23.38669,40.73251,1.64275,0.00884,0.0192,11.80028,23.99434
"40","2021_Q1",96.2240983606557,"Up",399197000,-326552000,72645000,-47660000,-47660000,24985000,-9458000,-6579000,-2879000,15527000,15338000,-3533000,11805000,11805000,11805000,11805000,97059000,97059000,106344000,106344000,111836000,9933000,325172000,203824000,1093810000,915000,155617000,1297634000,1622806000,134494000,56342000,78152000,21112000,155606000,594921000,171741000,118806000,766662000,922268000,392281000,308257000,700538000,700538000,1622806000,11805000,25151000,7979000,20399000,65334000,-6105000,-4098000,-8703000,-6635000,0,0,-6635000,49996000,49996000,49996000,50136000,616033000,67963000,0.18198,0.06259,0.02957,0.01685,0.00727,5.75714,2.08971,1.31651,0.37961,0.69748,0.69582,23.58591,41.39015,4.01548,0.00793,0.04566,10.35132,20.77142
"41","2021_Q2",93.5660317460317,"Down",390087000,-310520000,79567000,-49881000,-49881000,29686000,-4342000,-6030000,1688000,25344000,21884000,-5825000,16059000,16059000,16059000,16059000,91071000,91071000,146866000,146866000,158167000,13861000,409965000,204002000,1040432000,1118000,149924000,1244434000,1654399000,192131000,91622000,100509000,28316000,220447000,513450000,164264000,121373000,677714000,898161000,448282000,307956000,756238000,756238000,1654399000,16059000,26352000,10589000,-1.3e+07,4e+07,-5177000,-2659000,-7836000,-634000,-1806814.27255563,-534000,-1168000,30996000,30996000,30996000,56038000,541766000,43686000,0.20397,0.0761,0.04117,0.02124,0.00971,2.72034,1.8597,1.18767,0.32747,0.94817,0.9439,23.03188,44.6505,2.57935,0.01098,0.02988,8.04267,15.18207
"42","2021_Q3",73.425,"Down",448583000,-357911000,90672000,-51837000,-51837000,38835000,-5e+06,-5981000,981000,33835000,31044000,-7922000,23122000,23122000,23122000,23122000,112560000,112560000,149165000,149165000,127715000,14913000,404353000,198895000,1069630000,1044000,156363000,1268525000,1672878000,173533000,78401000,95132000,21615000,195148000,555911000,176625000,128924000,732536000,927684000,431022000,314172000,745194000,745194000,1672878000,23122000,25427000,3039000,-15020000,36568000,-8771000,-2323000,-11094000,-40621000,-5593337.08326299,-348000,-40969000,-15495000,-15495000,-15495000,64262000,577526000,48393000,0.20213,0.08657,0.05154,0.03103,0.01382,2.09294,2.07203,1.24489,0.34523,1.36073,1.35535,26.3992,43.85481,2.84794,0.01542,0.03228,7.23547,11.97286
"43","2021_Q4",67.6965625,"Down",431954000,-354458000,77496000,-48064000,-48064000,29432000,-5487000,-5746000,259000,23945000,24792000,-6347000,18445000,18445000,18445000,18445000,91792000,91792000,147834000,147834000,144592000,19836000,404054000,200885000,1051929000,1101000,150022000,1252814000,1656868000,190404000,88765000,101639000,20479000,210883000,516556000,166038000,120429000,682594000,893477000,448217000,315174000,763391000,763391000,1656868000,18445000,24703000,4114000,-16321000,30941000,-7659000,-2775000,-10434000,-40634000,-11583191.3523389,-641000,-41275000,-20768000,-20768000,-20768000,54135000,537035000,36502000,0.17941,0.06814,0.0427,0.02416,0.01113,1.97896,1.91601,1.17041,0.32413,1.08532,1.08268,25.41657,44.91864,2.14781,0.01258,0.02489,8.22468,15.12785
"44","2022_Q1",57.5074193548387,"Down",473390000,-399007000,74383000,-51750000,-51750000,22633000,-19216000,-5371000,-13845000,3417000,2973000,594000,3567000,3567000,3567000,3567000,91071000,91071000,146866000,146866000,158167000,13861000,409965000,204002000,1040432000,1118000,149924000,1244434000,1654399000,192131000,91622000,100509000,28316000,220447000,513450000,164264000,121373000,677714000,898161000,448282000,307956000,756238000,756238000,1654399000,3567000,23807000,20416000,-3536000,44254000,-10238000,-2827000,-13065000,-619000,-2e+07,-11291000,-31910000,-721000.000000007,-721000.000000007,-721000.000000007,46440000,541766000,32072000,0.15713,0.04781,0.00754,0.00472,0.00216,8.99131,1.8597,1.18767,0.32747,0.21014,0.20937,27.88797,44.55089,1.8894,0.00244,0.02193,9.70489,19.91318
"45","2022_Q2",48.3098387096774,"Down",442581000,-389235000,53346000,-46622000,-46622000,6724000,-2201000,-2173000,-28000,4523000,4210000,-1229000,2981000,2981000,2981000,2981000,27818000,27818000,130736000,130736000,181794000,15072000,355420000,206932000,1027233000,1557000,147703000,1234165000,1589585000,176051000,87214000,88837000,22766000,198817000,491412000,162255000,118807000,653667000,852484000,432137000,304964000,737101000,737101000,1589585000,2981000,24442000,10372000,-31207000,6588000,-11866000,-2840000,-14706000,-29105000,-2.5e+07,-1030000,-55135000,-63253000,-63253000,-63253000,31166000,514178000,-10678000,0.12053,0.01519,0.00674,0.00404,0.00188,-3.58202,1.78767,1.15654,0.32347,0.17892,0.17833,26.56416,44.24155,-0.6409,0.00211,-0.00755,15.60547,72.33195
"46","2022_Q3",48.760625,"Up",453163000,-401549000,51614000,-46107000,-46107000,5507000,-3200000,-2360000,-840000,2307000,2310000,-280000,2030000,2030000,2030000,2030000,8007000,8007000,149191000,149191000,190998000,23512000,371708000,208696000,1015335000,1520000,147259000,1224031000,1595739000,171436000,87109000,84327000,23698000,195134000,501434000,156032000,115391000,657466000,852600000,434167000,308972000,743139000,743139000,1595739000,2030000,24338000,6481000,-49613000,-16764000,-10238000,-2154000,-12392000,9400000.00000001,0,-55000,9345000,-19811000,-19811000,-19811000,29845000,525132000,-29726000,0.1139,0.01215,0.00448,0.00273,0.00127,-14.64335,1.90489,1.1473,0.32908,0.12184,0.12144,27.1993,44.60395,-1.78418,0.00143,-0.02087,17.32702,93.90321
