"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q2",43.5693650793651,"Up",5.028e+09,-3.364e+09,1.664e+09,-9.32e+08,-3.56e+08,-5.76e+08,7.32e+08,-1.03e+08,-1.01e+08,6.29e+08,5.83e+08,-7.2e+07,5.11e+08,5.11e+08,5.11e+08,5.11e+08,4.646e+09,4.646e+09,2.219e+09,2.219e+09,3.119e+09,5.87e+08,5.87e+08,1.0571e+10,3.054e+09,1.508e+10,1.0072e+10,2.404e+09,2.604e+09,1.8134e+10,2.8705e+10,4.172e+09,2.081e+09,2.091e+09,2.13e+08,4.385e+09,1.093e+10,2.015e+09,2.015e+09,1.2945e+10,1.733e+10,4.088e+09,9.172e+09,-7.6e+07,1.1375e+10,1.1375e+10,2.8705e+10,5.11e+08,4.8e+08,3.11e+08,-5.97e+08,7.05e+08,-2.77e+08,-2.59e+08,-3.8e+07,-5.55e+08,-6.6e+07,-8.07e+08,-3.61e+08,-3.61e+08,-3.59e+08,1.212e+09,1.1143e+10,4.1e+08,0.33095,0.14558,0.10163,0.04492,0.0178,0.80235,2.41072,1.52352,0.38819,1.75,1.71477,17.21918,38.95548,1.40411,0.02686,0.01671,5.36056,8.87568
"38","2019_Q3",54.84796875,"Up",4.233e+09,-3.189e+09,1.044e+09,-8.48e+08,-3.09e+08,-5.39e+08,1.96e+08,-9.5e+07,-1.03e+08,1.01e+08,8.1e+07,-5.68e+08,-4.87e+08,-4.87e+08,-4.87e+08,-4.87e+08,4.013e+09,4.013e+09,1.715e+09,1.715e+09,3.427e+09,5.87e+08,5.87e+08,9.742e+09,3.077e+09,1.512e+10,1.0074e+10,2.148e+09,2.898e+09,1.8197e+10,2.7939e+10,4.106e+09,1.925e+09,2.181e+09,2.44e+08,4.35e+09,1.037e+10,2.307e+09,2.307e+09,1.2677e+10,1.7027e+10,4.065e+09,8.532e+09,-3.5e+07,1.0912e+10,1.0912e+10,2.7939e+10,-4.87e+08,4.72e+08,1.85e+08,2.99e+08,4.69e+08,-2.2e+08,-4.66e+08,-5.37e+08,5.3e+07,-3e+06,-6.31e+08,-6.28e+08,-6.28e+08,-6.33e+08,6.68e+08,1.0614e+10,1.315e+09,0.24663,0.0463,-0.11505,-0.04463,-0.01743,-2.70021,2.23954,1.56039,0.3799,-1.67931,-1.67931,14.59655,37.62759,4.53448,-0.01439,0.05518,9.88174,33.67857
"39","2019_Q4",54.055625,"Down",3.674e+09,-3.095e+09,5.79e+08,-8.97e+08,-3.53e+08,-5.44e+08,-3.18e+08,-8.3e+07,-1.05e+08,-4.01e+08,-4.77e+08,-1.04e+08,-5.81e+08,-5.81e+08,-5.81e+08,-5.81e+08,3.682e+09,3.682e+09,1.223e+09,1.223e+09,3.44e+09,5.57e+08,5.57e+08,8.902e+09,3.031e+09,1.498e+10,1.0075e+10,1.918e+09,2.987e+09,1.8011e+10,2.6913e+10,3.936e+09,1.577e+09,2.359e+09,2.76e+08,4.212e+09,1.0309e+10,2.178e+09,2.178e+09,1.2487e+10,1.6699e+10,3.894e+09,7.799e+09,-5.5e+07,1.0214e+10,1.0214e+10,2.6913e+10,-5.81e+08,4.44e+08,5e+07,2.91e+08,2.04e+08,-2.22e+08,-3.17e+08,-3.8e+07,5e+06,-4e+07,-2.19e+08,-3.32e+08,-3.32e+08,-3.31e+08,1.26e+08,1.0585e+10,2.99e+08,0.15759,-0.08655,-0.15814,-0.05688,-0.02159,-0.51463,2.11349,1.63491,0.3933,-1.99656,-2.0386,12.62543,35.09966,1.02749,-0.01893,0.01301,54.78571,-21.70755
"40","2020_Q1",57.8370967741935,"Up",3.634e+09,-3.169e+09,4.65e+08,-8.22e+08,-2.99e+08,-5.23e+08,-3.57e+08,-9.3e+07,-1.03e+08,-4.5e+08,-4.74e+08,2.77e+08,-1.97e+08,-1.97e+08,-1.97e+08,-1.97e+08,3.048e+09,3.048e+09,2.379e+09,2.379e+09,3.07e+09,5.51e+08,5.51e+08,9.048e+09,2.854e+09,1.376e+10,1.0067e+10,9.41e+08,2.752e+09,1.6614e+10,2.5662e+10,4.12e+09,1.945e+09,2.175e+09,2.86e+08,4.406e+09,9.289e+09,2.416e+09,2.416e+09,1.1705e+10,1.6111e+10,3.72e+09,6.725e+09,-1.57e+08,9.551e+09,9.551e+09,2.5662e+10,-1.97e+08,4.16e+08,2.03e+08,-2.53e+08,1.69e+08,-3.8e+07,-2.3e+08,-68000000.0000001,5.2e+07,-1e+07,-1.72e+08,-2.33e+08,-2.33e+08,-2.27e+08,5.9e+07,9.575e+09,-5.09e+08,0.12796,-0.09824,-0.05421,-0.02063,-0.00768,2.58376,2.05356,1.68684,0.37312,-0.6678,-0.6678,12.31864,32.37627,-1.72542,-0.00237,-0.02363,110.62712,-18.28291
"41","2020_Q2",42.8534920634921,"Down",4.04e+09,-3.282e+09,7.58e+08,-8.79e+08,-3.05e+08,-5.74e+08,-1.21e+08,-1.08e+08,-1.1e+08,-2.29e+08,-2.37e+08,-3.9e+07,-2.76e+08,-2.76e+08,-2.76e+08,-2.76e+08,3.248e+09,3.248e+09,1.448e+09,1.448e+09,3.287e+09,5.17e+08,5.17e+08,8.5e+09,2.796e+09,1.4984e+10,1.009e+10,1.514e+09,3.38e+09,1.778e+10,2.628e+10,4.037e+09,1.724e+09,2.313e+09,2.51e+08,4.288e+09,9.961e+09,2.465e+09,2.465e+09,1.2426e+10,1.6714e+10,3.731e+09,7.012e+09,-9e+07,9.566e+09,9.566e+09,2.628e+10,-2.76e+08,4.06e+08,4.1e+07,8.2e+07,2.53e+08,-1.45e+08,3.4e+07,-3.19e+08,2.6e+07,-5.2e+07,-4.92e+08,-2.05e+08,-2.05e+08,-2.07e+08,2.85e+08,1.0212e+10,2.61e+08,0.18762,-0.02995,-0.06832,-0.02885,-0.0105,-0.94565,1.98228,1.74723,0.38858,-0.93243,-0.93243,13.64865,32.31757,0.88176,-0.0058,0.01173,24.43509,-57.55372
"42","2020_Q3",39.32234375,"Down",5.844e+09,-3.354e+09,2.49e+09,-8.44e+08,-2.65e+08,-5.79e+08,1.646e+09,-4.7e+07,-4.1e+07,1.599e+09,1.587e+09,-1.37e+08,1.45e+09,1.45e+09,1.45e+09,1.45e+09,3.137e+09,3.137e+09,1.791e+09,1.791e+09,3.122e+09,5.77e+08,5.77e+08,8.627e+09,2.722e+09,1.4511e+10,1.0069e+10,1.311e+09,3.131e+09,1.7233e+10,2.586e+10,4.196e+09,1.736e+09,2.46e+09,2.86e+08,4.482e+09,9.547e+09,2.452e+09,2.452e+09,1.1999e+10,1.6481e+10,3.734e+09,6.717e+09,-1.1e+08,9.379e+09,9.379e+09,2.586e+10,-1.39e+08,3.99e+08,5.9e+07,-62000000.0000001,2.57e+08,-1.6e+08,1.26e+08,-3.88e+08,4.6e+07,-1999999.99999999,-4.93e+08,-1.1e+08,-1.1e+08,-1.11e+08,2.045e+09,9.833e+09,1.96e+09,0.42608,0.28166,0.24812,0.1546,0.05607,1.35172,1.92481,1.75722,0.38024,4.86577,4.86577,19.61074,31.47315,6.57718,0.07381,0.09047,3.27433,4.06804
"43","2020_Q4",43.9234375,"Up",2.565e+09,-3.115e+09,-5.5e+08,-8.76e+08,-3.14e+08,-5.62e+08,-1.426e+09,-1.5e+08,-1.49e+08,-1.576e+09,-1.581e+09,9e+06,-1.572e+09,-1.572e+09,-1.572e+09,-1.572e+09,2.943e+09,2.943e+09,1.978e+09,1.978e+09,3.091e+09,5.41e+08,5.41e+08,8.553e+09,2.735e+09,1.4221e+10,1.0066e+10,1.126e+09,3.029e+09,1.6956e+10,2.5509e+10,4.185e+09,1.786e+09,2.399e+09,2.86e+08,4.471e+09,9.343e+09,2.452e+09,2.452e+09,1.1795e+10,1.6266e+10,3.746e+09,6.578e+09,-1.83e+08,9.243e+09,9.243e+09,2.5509e+10,1.7e+07,3.84e+08,9.2e+07,-3.51e+08,1.42e+08,-1.27e+08,3.2e+07,-2.12e+08,7e+06,-1.5e+07,-3.69e+08,-1.95e+08,-1.95e+08,-1.94e+08,-1.042e+09,9.629e+09,-1.529e+09,-0.21442,-0.55595,-0.61287,-0.17007,-0.06163,0.97265,1.91299,1.75982,0.37747,-5.24,-5.24,8.55,30.81,-5.09667,-0.06673,-0.0717,-6.41651,-4.68864
"44","2021_Q1",61.8591803278688,"Up",4.287e+09,-3.204e+09,1.083e+09,-8.15e+08,-2.69e+08,-5.46e+08,2.68e+08,-7.6e+07,-8.5e+07,1.92e+08,1.85e+08,-3.7e+07,1.48e+08,1.48e+08,1.48e+08,1.48e+08,3.048e+09,3.048e+09,2.379e+09,2.379e+09,3.07e+09,5.51e+08,5.51e+08,9.048e+09,2.854e+09,1.376e+10,1.0067e+10,9.41e+08,2.752e+09,1.6614e+10,2.5662e+10,4.12e+09,1.945e+09,2.175e+09,2.86e+08,4.406e+09,9.289e+09,2.416e+09,2.416e+09,1.1705e+10,1.6111e+10,3.72e+09,6.725e+09,-1.57e+08,9.551e+09,9.551e+09,2.5662e+10,1.48e+08,3.77e+08,7.3e+07,-4.26e+08,1.72e+08,-2.15e+08,8.6e+07,-6.3e+07,6.2e+07,-2999999.99999999,-1.54e+08,1.04e+08,1.04e+08,1.05e+08,6.45e+08,9.575e+09,4.1e+07,0.25262,0.0625100000000002,0.03452,0.0155,0.00577000000000002,0.27703,2.05356,1.68684,0.37312,0.49664,0.49664,14.38591,32.05034,0.137579999999998,0.01383,0.0019,10.11938,24.35448
"45","2021_Q2",71.5444444444445,"Up",3.922e+09,-3.018e+09,9.04e+08,-8.11e+08,-2.56e+08,-5.55e+08,9.3e+07,-7.3e+07,-8.2e+07,2e+07,-3e+06,-5.7e+07,-6e+07,-6e+07,-6e+07,-6e+07,2.995e+09,2.995e+09,2.097e+09,2.097e+09,3.355e+09,5.58e+08,5.58e+08,9.005e+09,2.897e+09,1.35e+10,1.0069e+10,7.58e+08,2.673e+09,1.6397e+10,2.5402e+10,4.143e+09,1.949e+09,2.194e+09,2.86e+08,4.429e+09,9.086e+09,2.311e+09,2.311e+09,1.1397e+10,1.5826e+10,3.54e+09,6.658e+09,-1.01e+08,9.576e+09,9.576e+09,2.5402e+10,-6e+07,3.74e+08,9.2e+07,-4.3e+07,3.63e+08,-3.3e+08,-1.66e+08,-2.13e+08,1e+06,-4.1e+07,-2.53e+08,-5.6e+07,-5.6e+07,-5.3e+07,4.67e+08,9.372e+09,1.51e+08,0.23049,0.02371,-0.0153,-0.00627,-0.00236,-2.51667,2.03319,1.65267,0.36895,-0.19802,-0.19802,12.94389,31.60396,0.49835,-0.00282,0.0071,13.65525,68.56989
"46","2021_Q3",62.85390625,"Down",3.943e+09,-2.983e+09,9.6e+08,-8e+08,-2.65e+08,-5.35e+08,1.6e+08,-7.3e+07,-7.9e+07,87000000.0000001,8.5e+07,-2.3e+07,62000000.0000001,62000000.0000001,62000000.0000001,62000000.0000001,2.956e+09,2.956e+09,1.833e+09,1.833e+09,3.576e+09,7.44e+08,7.44e+08,9.109e+09,2.918e+09,1.3525e+10,1.0071e+10,5.96e+08,2.858e+09,1.6443e+10,2.5552e+10,4.275e+09,1.939e+09,2.336e+09,2.51e+08,4.526e+09,8.882e+09,2.315e+09,2.315e+09,1.1197e+10,1.5723e+10,3.549e+09,6.72e+09,-5e+07,9.829e+09,9.829e+09,2.5552e+10,6.2e+07,3.36e+08,6.2e+07,-3.5e+07,4.25e+08,-2.07e+08,-2.7e+08,-2.48e+08,6.2e+07,-1.1e+07,-1.97e+08,-4.2e+07,-4.2e+07,-3.9e+07,4.96e+08,9.133e+09,2.77e+08,0.24347,0.04058,0.01572,0.00631,0.00243,4.46774,2.01259,1.59965,0.35743,0.20328,0.201299999999999,12.92787,32.22623,0.9082,0.00291000000000001,0.01302,12.45363,38.60625
"47","2021_Q4",57.48921875,"Down",4.137e+09,-3.046e+09,1.091e+09,-8.42e+08,-2.87e+08,-5.55e+08,2.49e+08,-6.8e+07,-7.9e+07,1.81e+08,2.49e+08,-5.2e+07,1.97e+08,1.97e+08,1.97e+08,1.97e+08,2.734e+09,2.734e+09,1.905e+09,1.905e+09,3.683e+09,7.1e+08,7.1e+08,9.032e+09,3.061e+09,1.3316e+10,1.0066e+10,5.19e+08,2.731e+09,1.6377e+10,2.5409e+10,4.25e+09,1.807e+09,2.443e+09,2.51e+08,4.501e+09,8.678e+09,2.281e+09,2.281e+09,1.0959e+10,1.546e+10,3.606e+09,6.917e+09,-2.1e+08,9.949e+09,9.949e+09,2.5409e+10,1.97e+08,2.51e+08,-1.7e+07,-3.15e+08,1.16e+08,-1.62e+08,-1.26e+08,-2.12e+08,8e+06,-8e+06,-2.12e+08,-2.22e+08,-2.22e+08,-2.22e+08,5e+08,8.929e+09,7.5e+07,0.26372,0.06019,0.04762,0.0198,0.00775,0.38071,2.00667,1.55393,0.35141,0.6459,0.63961,13.56393,32.61967,0.2459,0.00931,0.00354,12.39,24.87952
"48","2022_Q1",54.3104838709677,"Down",4.92e+09,-3.354e+09,1.566e+09,-8.95e+08,-2.97e+08,-5.98e+08,6.71e+08,-7.9e+07,-7.9e+07,5.92e+08,5.96e+08,2.6e+07,6.22e+08,6.22e+08,6.22e+08,6.22e+08,3.37e+09,3.37e+09,2.257e+09,2.257e+09,3.616e+09,5.14e+08,5.14e+08,9.757e+09,3.188e+09,1.3187e+10,1.0066e+10,4.42e+08,2.679e+09,1.6375e+10,2.6132e+10,4.619e+09,1.934e+09,2.422e+09,2.51e+08,4.87e+09,8.474e+09,2.067e+09,2.067e+09,1.0541e+10,1.5411e+10,3.611e+09,7.539e+09,-1.97e+08,1.0721e+10,1.0721e+10,2.6132e+10,6.22e+08,2.51e+08,-9.7e+07,2.18e+08,9.94e+08,-3.04e+08,-2.03e+08,-2.13e+08,6.3e+07,-5e+06,-1.55e+08,6.36e+08,6.36e+08,6.36e+08,9.22e+08,8.725e+09,8.1e+08,0.31829,0.13638,0.12642,0.05802,0.0238,1.30225,2.00349,1.43746,0.33388,2.03934,1.99359,16.13115,35.15082,2.65574,0.02891,0.03765,5.80803,7.98063
"49","2022_Q2",53.1314516129032,"Down",5.051e+09,-3.386e+09,1.665e+09,-8.69e+08,-2.91e+08,-5.78e+08,7.96e+08,-7.4e+07,-7.6e+07,7.22e+08,7.04e+08,-9.4e+07,6.1e+08,6.1e+08,6.1e+08,6.1e+08,3.29e+09,3.29e+09,2.446e+09,2.446e+09,3.544e+09,5.76e+08,5.76e+08,9.856e+09,3.26e+09,1.3275e+10,1.0066e+10,3.64e+08,2.845e+09,1.6535e+10,2.6391e+10,4.458e+09,1.896e+09,2.562e+09,2.51e+08,4.709e+09,8.27e+09,2.051e+09,2.051e+09,1.0321e+10,1.503e+10,3.404e+09,8.149e+09,-1.67e+08,1.1361e+10,1.1361e+10,2.6391e+10,6.1e+08,2.5e+08,1.01e+08,-4.4e+08,5.21e+08,-2.45e+08,-3.12e+08,-2.13e+08,2e+06,-7.8e+07,-2.89e+08,-8e+07,-8e+07,-8e+07,1.046e+09,8.521e+09,4.55e+08,0.32964,0.15759,0.12077,0.05369,0.02311,0.7459,2.09301,1.32295,0.32288,1.96774,1.93038,16.29355,36.64839,1.46774,0.02781,0.02074,5.00096,6.57161
"50","2022_Q3",43.91875,"Down",4.833e+09,-3.25e+09,1.583e+09,-8.54e+08,-2.79e+08,-5.75e+08,7.29e+08,-8.1e+07,-7.5e+07,6.48e+08,6.46e+08,-8.2e+07,5.64e+08,5.64e+08,5.64e+08,5.64e+08,2.531e+09,2.531e+09,2.743e+09,2.743e+09,3.647e+09,6.14e+08,6.14e+08,9.535e+09,3.367e+09,1.3123e+10,1.0065e+10,3e+08,2.758e+09,1.649e+10,2.6025e+10,4.678e+09,2.022e+09,2.656e+09,2.51e+08,4.929e+09,7.057e+09,2.021e+09,2.021e+09,9.078e+09,1.4007e+10,3.522e+09,8.713e+09,-2.17e+08,1.2018e+10,1.2018e+10,2.6025e+10,5.64e+08,2.42e+08,1.35e+08,-2.75e+08,6.66e+08,-2.94e+08,-2.57e+08,-1.214e+09,5.8e+07,-1.1e+07,-1.167e+09,-7.58e+08,-7.58e+08,-7.59e+08,9.71e+08,7.308e+09,4.84e+08,0.32754,0.15084,0.1167,0.04693,0.02167,0.85816,1.93447,1.1655,0.28081,1.80769,1.79048,15.49038,38.51923,1.55128,0.02642,0.02267,4.91967,6.55281
