"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",19.5644444444444,"Up",188444000,-131384000,57060000,-53071000,-46203000,-6868000,3989000,-2601000,-3526000,64000,1388000,1388000,-5e+05,888000,888000,888000,888000,270683000,165621000,105062000,53345000,53345000,7455000,31163000,31163000,362646000,167876000,25096000,52388000,19876000,245360000,608006000,55556000,55556000,7529000,68978000,68978000,132063000,208670000,27099000,235769000,367832000,412861000,-175591000,2904000,240174000,240174000,608006000,888000,8534000,16049000,-22434000,3037000,-4351000,11020000,-61285000,-54616000,-9174000,14792000,721000,721000,-1115000,5224000,-46355000,-46355000,-46355000,12523000,216199000,-13762000,0.3028,0.02117,0.00471,0.0037,0.00146,-15.49775,2.74601,1.53152,0.35559,0.01162,0.01136,2.46522,3.14195,-0.18003,0.12001,0.02081,-0.02846,10.33108,-4.35071,-13.65856
"30","2017_Q3",20.4215873015873,"Up",214586000,-158034000,56552000,-45857000,-39480000,-6377000,10695000,-2920000,-3639000,-17000,7775000,7775000,-2690000,5085000,5085000,5085000,5085000,262263000,132815000,129448000,55548000,55548000,8375000,27665000,27665000,353851000,170077000,25087000,50321000,17753000,245485000,599336000,60396000,60396000,7230000,57749000,57749000,125375000,208719000,22921000,231640000,357015000,419095000,-179685000,2911000,242321000,242321000,599336000,5085000,8071000,15428000,-17825000,10759000,-8111000,2640000,-27411000,-32998000,-9175000,-1455000.00000003,102000,102000,-39000,-10567000,-32806000,-32806000,-32806000,18766000,215949000,-4480000,0.26354,0.04984,0.0237,0.02098,0.00848,-0.881020000000003,2.82234,1.47331,0.36031,0.06651,0.06472,2.8067,3.16946,-0.0586,0.12001,0.02963,-0.00931,1.80433,-2.46797,-4.33043
"31","2017_Q4",25.8265079365079,"Up",186325000,-111804000,74521000,-40541000,-34106000,-6435000,33980000,-2827000,-3569000,2339000,31153000,31153000,-9299000,21854000,21854000,21854000,21854000,263008000,109163000,153845000,72057000,72057000,8479000,29300000,29300000,372844000,172194000,27121000,46030000,17990000,245345000,618189000,66396000,66396000,7255000,65538000,65538000,139189000,208780000,18587000,227367000,366556000,416682000,-167949000,2900000,251633000,251633000,618189000,21854000,7676000,16750000,-19113000,27167000,-5190000,10330000,-35110000,-31970000,-9252000,-1138000,670000,670000,-9129000,-18849000,-23652000,-23652000,-23652000,41656000,216035000,26652000,0.39995,0.18237,0.11729,0.08685,0.03535,1.21955,2.67869,1.45671,0.34946,0.28395,0.27875,2.42094,3.26949,0.34629,0.12021,0.06397,0.05481,0.42335,-1.12764,-1.38237
"32","2018_Q1",33.7550819672131,"Up",211604000,-137303000,74301000,-47387000,-41017000,-6370000,26914000,-3170000,-4002000,832000,23744000,23744000,-18931000,4813000,4813000,4813000,4813000,297444000,137700000,159744000,65245000,65245000,8332000,19961000,19961000,390982000,160917000,27367000,35241000,16257000,223525000,614507000,77738000,77738000,4638000,55818000,55818000,138194000,208858000,14496000,223354000,361548000,422979000,-172391000,2371000,252959000,252959000,614507000,4813000,7749000,33052000,10011000,55625000,-7058000,11670000,-18567000,-14155000,-9253000,-3786000,85000.0000000001,85000,21000.0000000019,-12933000,28537000,28537000,28537000,34663000,213496000,56547000,0.35113,0.12719,0.02275,0.01903,0.00783,11.74881,2.82923,1.42928,0.34743,0.06242,0.06113,2.74411,3.28041,0.73331,0.11999,0.02925,0.11757,1.9225,-2.42183,-3.11912
"33","2018_Q2",48.67765625,"Up",187721000,-120061000,67660000,-45910000,-39571000,-6339000,21750000,-1698000,-3513000,305000,20052000,20052000,-5217000,14835000,14835000,14835000,14835000,284871000,105583000,179288000,78517000,78517000,9983000,30795000,30795000,404166000,157531000,27403000,29644000,15634000,214578000,618744000,56928000,56928000,4663000,62402000,62402000,123993000,208950000,10180000,219130000,343123000,430780000,-156730000,1571000,275621000,275621000,618744000,14835000,7916000,15236000,-35365000,2622000,-4452000,18498000,-39103000,-25057000,-9258000,-1150000,750000,750000,-24000,-9682000,-32117000,-32117000,-32117000,29666000,213613000,-4934000,0.36043,0.11586,0.07903,0.05382,0.02398,-0.33259,3.25959,1.24491,0.34524,0.19231,0.17992,2.43345,3.5729,-0.06396,0.12001,0.04824,-0.00988000000000001,0.62406,-2.40201,-3.27623
"34","2018_Q3",79.651746031746,"Up",281542000,-198891000,82651000,-61437000,-54622000,-6815000,21214000,-3710000,-4734000,-350000,17504000,14504000,-4559000,9945000,9945000,9945000,9945000,341550000,154796000,186754000,83077000,83077000,8592000,24815000,24815000,458034000,157589000,24284000,28971000,12794000,210844000,668878000,89911000,89911000,185470000,66563000,66563000,341944000,28262000,5813000,34075000,376019000,447543000,-156053000,1369000,292859000,292859000,668878000,9945000,8699000,30115000,25370000,74129000,-7768000,17675000,-24441000,-14534000,-9259000,-1156000,140000,140000,-106999.999999998,-10382000,49213000,49213000,49213000,29913000,213732000,52074000,0.29357,0.07535,0.03532,0.03396,0.01487,5.2362,1.3395,1.28396,0.31954,0.12889,0.11301,3.6489,3.79558,0.6749,0.12,0.03748,0.10163,0.93102,-4.27299,-6.02517
"35","2018_Q4",72.4530158730159,"Down",188391000,-120797000,67594000,-49467000,-43562000,-5905000,18127000,-3135000,-3581000,3330000,14992000,17992000,15598000,33590000,33590000,33590000,33590000,315589000,126117000,189472000,84367000,84367000,8910000,40019000,40019000,448885000,159071000,27593000,29707000,10904000,216371000,665256000,94508000,94508000,186842000,75912000,75912000,357262000,26984000,1752000,28736000,385998000,410966000,-133178000,1470000,279258000,279258000,665256000,33590000,7476000,17698000,-14034000,44730000,-9225000,14660000,-17520000,-13123000,-9363000,-1218000,884000,884000,-50589000,-60286000,-28679000,-28679000,-28679000,25603000,213826000,-13254000,0.3588,0.09622,0.1783,0.12028,0.05049,-0.39458,1.25646,1.38223,0.32142,0.43168,0.35972,2.42107,3.58883,-0.17033,0.12033,0.0868,-0.02678,0.27874,-3.97465,-5.61389
"36","2019_Q1",81.3072131147541,"Up",272506000,-169433000,103073000,-49686000,-43676000,-6010000,53387000,102000,-3577000,3679000,53489000,53489000,-12271000,41218000,41218000,41218000,41218000,359143000,167457000,191686000,78925000,78925000,7753000,28187000,28187000,474008000,169120000,30196000,26975000,9837000,226291000,700299000,120158000,120158000,188208000,49173000,49173000,357539000,25696000,827000,26523000,384062000,416061000,-101326000,1502000,316237000,316237000,700299000,41218000,7676000,18104000,-1760000.00000001,65238000,-10830000,9265000,-12846000,-13373000,-9363000,-1258000,174000,174000,-78000,-10525000,41340000,41340000,41340000,61063000,213904000,60744000,0.37824,0.19591,0.15126,0.13034,0.05886,1.47373,1.32575,1.21448,0.30545,0.52823,0.45472,3.49228,4.05271,0.77846,0.11999,0.09526,0.1144,0.22716,-2.37851,-2.72049
"37","2019_Q2",79.2573015873016,"Down",182448000,-135450000,46998000,-53857000,-47437000,-6420000,-6859000,-4490000,-6339000,1849000,-11349000,-11349000,2953000,-8396000,-8396000,-8396000,-8396000,338208000,152764000,185444000,54983000,54983000,8771000,37641000,37641000,439603000,172424000,30193000,6.1e+07,43082000,263617000,703220000,78501000,78501000,189596000,76491000,60867000,344588000,24398000,21065000,45463000,390051000,429997000,-119090000,2262000,313169000,313169000,703220000,-8396000,8003000,24965000,-17823000,6749000,-16831000,20478000,-13398000,-9871000,-9366000,-3311000,1157000,1157000,-51000,-11571000,-14693000,-14693000,-14693000,1144000,213994000,-36463000,0.2576,-0.03759,-0.04602,-0.02681,-0.01194,4.3429,1.27574,1.2455,0.30431,-0.10759,-0.10759,2.33788,4.01293,-0.46723,0.12002,0.00177000000000001,-0.06651,-1.11553,-108.57867,18.10964
"38","2019_Q3",69.44078125,"Down",268809000,-197363000,71446000,-54336000,-48498000,-5838000,17110000,-3228000,-4009000,781000,13882000,13882000,-3468000,10414000,10414000,10414000,10414000,296051000,98237000,197814000,132052000,132052000,7611000,26350000,26350000,462064000,195368000,28564000,56887000,40254000,280819000,742883000,112230000,112230000,191009000,70894000,55463000,374133000,23097000,20367000,43464000,417597000,441576000,-118849000,2559000,325286000,325286000,742883000,10414000,8019000,24675000,-50703000,-7595000,-19902000,38370000,-50249000,-32667000,-9366000,-3336000,-699999.999999999,221000,-863000.000000004,-14265000,-54527000,-54527000,-54527000,25129000,214106000,-42008000,0.26579,0.06365,0.03874,0.03201,0.01402,-4.0338,1.23503,1.28378,0.28821,0.13343,0.09997,3.44415,4.16777,-0.53823,0.12,0.03534,-0.07505,0.89937,-3.26097,-4.7893
"39","2019_Q4",61.40453125,"Down",186383000,-133842000,52541000,-46102000,-34857000,-11245000,6439000,-7628000,-7834000,206000,-1189000,-1189000,6979000,5790000,5790000,5790000,5790000,231347000,76473000,154874000,142906000,142906000,8527000,36738000,36738000,419518000,195736000,27856000,379009000,362329000,602601000,1022119000,82879000,82879000,192039000,83183000,68008000,358101000,22196000,348826000,371022000,729123000,420309000,-129944000,2631000,292996000,292996000,1022119000,5790000,11754000,28847000,-43270000,3121000,-19557000,54414000,-10427000,24430000,-9425000,-3386000,-6585000,946000,-29919000,-49315000,-21764000,-21764000,-21764000,18193000,214235000,-51613000,0.2819,0.03455,0.03107,0.01976,0.00565999999999999,-8.91416,1.17151,2.48851,0.2096,0.07379,0.06426,2.3754,3.73415,-0.65779,0.12012,0.01777,-0.06029,1.62781,-0.940580000000011,-2.65756
"40","2020_Q1",47.1335483870968,"Down",322802000,-171544000,151258000,-51438000,-40814000,-10624000,99820000,-6486000,-7939000,1453000,93334000,93334000,-24081000,69253000,69253000,69253000,69253000,250481000,90447000,160034000,124771000,124771000,8252000,20806000,20806000,404310000,194797000,28106000,365020000,357803000,587923000,992233000,80592000,80592000,192280000,71472000,56941000,344344000,22098000,350465000,372563000,716907000,406126000,-133664000,2864000,275326000,275326000,992233000,69253000,25681000,8036000,16447000,119417000,-12796000,-114628000,108717000,-17701000,-9274000,-3422000,-74988000,1000.00000000023,-57999.9999999925,-87742000,13974000,13974000,13974000,125501000,214378000,153233000,0.46858,0.30923,0.21454,0.25153,0.0698,2.21266,1.17415,2.60385,0.21606,0.88699,0.78154,4.13446,3.52638,1.96261,0.11878,0.09347,0.18238,0.13391,-0.28767,-0.36168
"41","2020_Q2",41.9106349206349,"Down",291009000,-175389000,115620000,-62327000,-51427000,-10900000,53293000,-18571000,-8151000,-10420000,34722000,34722000,-8549000,26173000,26173000,26173000,26173000,291519000,158520000,132999000,136315000,136315000,8259000,25759000,25759000,461852000,190386000,16374000,389034000,380977000,595794000,1057646000,84294000,84294000,192574000,75373000,62406000,352241000,2.2e+07,381318000,403318000,755559000,418031000,-116780000,836000,302087000,302087000,1057646000,26173000,16361000,37390000,-14028000,65896000,-8318000,-98768169.7097588,24850000,16532000,-9289000,-3906000,1412000,1412000,-2572000,-14355000,68073000,68073000,68073000,69654000,214574000,55857000,0.39731,0.18313,0.08994,0.08664,0.02475,2.13415,1.31118,2.50113,0.20288,0.33843,0.30756,3.76292,3.90616,0.72226,0.12011,0.03949,0.0622,0.35491,-1.10467,-1.44381
"42","2020_Q3",42.9059375,"Up",223405000,-117395000,106010000,-50262000,-39494000,-10768000,55748000,-696000,-9179000,8483000,55052000,55052000,-11263000,43789000,43789000,43789000,43789000,547874000,424612000,123262000,120305000,120305000,7453000,25748000,25748000,701380000,188569000,24663000,380514000,375968000,593746000,1295126000,75099000,75099000,392852000,76393000,64048000,544344000,21899000,383428000,405327000,949671000,424976000,-82285000,2764000,345455000,345455000,1295126000,43789000,16797000,10489000,3732000,74807000,-7051000,-80000,11848000,4717000,-9290000,195906000,-7.45058059692383e-09,2.3283064365387e-10,-48000.0000000009,186568000,266092000,266092000,266092000,72545000,414751000,80489000,0.47452,0.24954,0.19601,0.12676,0.03381,1.83811,1.28849,2.74904,0.32024,0.56563,0.52174,2.88577,4.46232,1.03969,0.12,0.04641,0.07038,0.21215,-1.83504,-2.38794
"43","2020_Q4",41.20890625,"Down",221595000,-107999000,113596000,-50214000,-39657000,-10557000,63382000,-2144000,-9147000,7003000,61238000,61238000,-12960000,48278000,48278000,48278000,48278000,638251000,519461000,118790000,69262000,69262000,8170000,43517000,43517000,759200000,185766000,31215000,378086000,378086000,595067000,1354267000,86316000,86316000,393556000,77575000,64226000,557447000,21801000,392796000,414597000,972044000,423175000,-43923000,2971000,382223000,382223000,1354267000,48278000,16864000,14660000,37041000,116843000,-6066000,-120000,4428000,-1758000,-9335000,-3700000,1219000,1219000,-8420000,-20236000,94849000,94849000,94849000,80246000,415357000,124181000,0.51263,0.28603,0.21787,0.12631,0.03565,2.57221,1.36192,2.54313,0.3067,0.62127,0.57362,2.8516,4.91865,1.59803,0.12013,0.0484,0.10432,0.19336,-2.77763,-3.51668
"44","2021_Q1",51.7768852459016,"Up",238198000,-123434829.400564,122078804.700023,-602860000,-41232404.2509564,-10632336.545798,36121000,-16024000,-9124000,-6900000,20097000,20097000,-6566000,13531000,13531000,13531000,13531000,593397000,462102000,131295000,52007000,52007000,8386000,73062000,73062000,726852000,161545000,11148000,397777000,387725000,570470000,1297322000,124742000,124742000,295095000,76437000,62887000,496274000,21700000,390554000,412254000,908528000,425536000,-39727000,2985000,388794000,388794000,1297322000,13531000,16509000,16862000,15426000,62328000,-6227000,11326000,-12714000,-7615000,-9335000,-102694000,-1000.00000000373,-1000,-42000.0000000037,-112072000,-57359000,-57359000,-57359000,52630000,316795000,68395000,0.500339111557176,0.15164,0.05681,0.0348,0.01043,5.05469,1.46462,2.33679,0.24419,0.17393,0.16169,3.06187,4.99767,0.87917,0.11999,0.02086,0.0624,0.6899,-5.2556,-7.65765
"45","2021_Q2",56.054126984127,"Up",263524000,-142154000,121370000,-56314000,-45472000,-10842000,65056000,-7952000,-8508000,556000,57104000,57104000,-13272000,43832000,43832000,43832000,43832000,461114000,300418000,160696000,83760000,83760000,8401000,60941000,60941000,614216000,155942000,11284000,395614000,385107000,562840000,1177056000,134205000,134205000,196661000,75951000,61596000,406817000,21594000,391364000,412958000,819775000,420778000,-66415000,2918000,357281000,357281000,1177056000,43832000,16865000,14167000,-14958000,59906000,-6167000,-210000,-29563000,-35940000,-9160000,-102824000,-73037000,1963000,-629000,-185650000,-161684000,-161684000,-161684000,81921000,218255000,74068000,0.46057,0.24687,0.16633,0.12268,0.03724,1.68982,1.50981,2.29448,0.18542,0.56648,0.51154,3.40576,4.61747,0.95725,0.11838,0.05481,0.0766,0.20898,-2.96455,-3.73308
"46","2021_Q3",51.48625,"Down",265540000,-155999000,109541000,-63190000,-52348000,-10842000,46351000,-8618000,-8492000,-126000,37733000,37733000,-8532000,29201000,29201000,29201000,29201000,442792000,322603000,120189000,113869000,113869000,7042000,57454000,57454000,621157000,152029000,10758000,381993000,370066000,544780000,1165937000,128121000,128121000,198254000,69948000,55399000,396323000,21493000,387182000,408675000,804998000,4.2e+08,-61970000,2909000,360939000,360939000,1165937000,29201000,17465000,12071000,-39225000,19512000,-6135000,-4e+05,39928000,33393000,-9129000,-2769000,-18746000,4000,-76000,-30720000,22185000,22185000,22185000,63816000,219747000,26988000,0.41252,0.17455,0.10997,0.0809,0.02505,0.92421,1.5673,2.23029,0.18847,0.37739,0.34079,3.43181,4.66474,0.34879,0.11798,0.0396,0.02788,0.31263,-3.49513,-4.81209
"47","2021_Q4",53.92140625,"Up",255853000,-164490063.356995,119340687.261457,-191917000,-42717000,-10161000,63936000,-8168000,-8508000,340000,55768000,55768000,-12282000,43486000,43486000,43486000,43486000,448766000,271034000,177732000,125448000,125448000,7314000,28501000,28501000,610029000,160726000,11278000,384580000,364761000,556584000,1166613000,115333000,115333000,199873000,71944000,57709000,387150000,21390000,385310000,406700000,793850000,415812000,-45822000,2773000,372763000,372763000,1166613000,43486000,17063000,-1578000,-2035000,56936000,-12098000,-520000,-58327000,-70945000,-9105000,-2677000,-20874000,1006000,-4904000,-37560000,-51569000,-51569000,-51569000,80999000,221263000,79148000,0.41616199700553,0.24989,0.16996,0.11666,0.03728,1.82008,1.57569,2.12964,0.18966,0.56801,0.51066,3.34191,4.86896,1.03382,0.11893,0.0537,0.08082,0.20938,-2.80871,-3.55829
"48","2022_Q1",54.8137096774194,"Up",310257000,-171297158.499906,141389782.802745,-527736000,-43044655.3643735,-9803681.52129524,80674000,-1417000,-8102000,6685000,79257000,79257000,-18368000,60889000,60889000,60889000,60889000,415785000,134828000,280957000,171196000,171196000,8033000,32242000,32242000,627256000,172677000,11618000,392516000,379416000,576811000,1204067000,122716000,122716000,430000,91578000,74633000,214724000,222377000,392306000,614683000,829407000,423633000,-51393000,2420000,374660000,374660000,1204067000,60889000,16241000,8653000,-39212000,46571000,-14831000,-340000,-104480000,-119651000,-9019000,-4076000,-5e+07,-4.65661287307739e-10,-30999.9999999981,-63126000,-136206000,-136206000,-136206000,96915000,222807000,61240000,0.447664543548974,0.26002,0.19625,0.16252,0.05057,1.00576,2.92122,2.21376,0.18505,0.8167,0.7463,4.16145,5.02528,0.82141,0.12097,0.07063,0.06187,0.14812,-1.99121,-2.39207
"49","2022_Q2",61.4975806451613,"Up",333448000,-180685000,152763000,-60354000,-50647000,-9707000,92409000,-6024000,-6345000,321000,86385000,86385000,-20344000,66041000,66041000,66041000,66041000,447813000,105594000,342219000,163192000,163192000,9200000,30716000,30716000,650921000,183793000,11618000,399016000,382271000,594427000,1245348000,111121000,111121000,213831000,100195000,83947000,425147000,21173000,393184000,414357000,839504000,387306000,17841000,697000,405844000,405844000,1245348000,66041000,15496000,20080000,-6167000,95450000,-21487000,47044.8808796443,-61926000,-83413000,-8931000,-3541000,-28767000,1239000,-32000,-41271000,-29234000,-29234000,-29234000,107905000,235004000,100595000,0.45813,0.27713,0.19805,0.16273,0.05303,1.52322,1.53105,2.06854,0.18871,0.84886,0.78902,4.28596,5.2165,1.29299,0.11479,0.0725,0.09728,0.13523,-1.97219,-2.3029
"50","2022_Q3",67.960625,"Up",328135000,-196887000,131248000,-61920000,-52470000,-9450000,69328000,-4901000,-4635000,-266000,64427000,64427000,-15328000,49099000,49099000,49099000,49099000,443512000,110126000,333386000,176680000,176680000,4837000,53497000,53497000,678526000,226132000,11697000,362699000,343680000,600528000,1279054000,123979000,123979000,440000,87154000,70827000,211573000,234698000,391951000,626649000,838222000,411109000,29964000,-241000,440832000,440832000,1279054000,49099000,14889000,17144000,-24200000,56932000,-47453000,-95000,18210000,-29338000,-8901000,-3565000,-1e+07,0,-596000,-23062000,4531999.99999999,4531999.99999999,4531999.99999999,84217000,235138000,27892000,0.39998,0.21128,0.14963,0.11138,0.03839,0.56808,3.20705,1.90145,0.18384,0.63109,0.58661,4.21767,5.66622,0.35851,0.11441,0.05431,0.02612,0.18129,-2.47425,-3.00563
