"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",129.611746031746,"Up",566100000,-3.57e+08,209100000,-154300000,-154300000,54800000,-17500000,-8200000,-9300000,37300000,40600000,-10100000,30500000,30500000,30500000,30500000,69700000,69700000,444800000,444800000,415600000,5.5e+07,5.5e+07,985100000,4.43e+08,2244900000,402700000,1.671e+09,75500000,2687900000,3.673e+09,496100000,182100000,3.14e+08,103500000,599600000,1209600000,259700000,259700000,1469300000,2068900000,335800000,1942900000,-443900000,1604100000,1604100000,3.673e+09,30500000,30500000,22800000,-2e+06,2100000,53400000,-12300000,-12600000,-12600000,-752900000,6.64e+08,6300000,6300000,668900000,-30600000,-30600000,-28900000,77600000,1313100000,77500000,0.36937,0.0968,0.05388,0.01901,0.0083,2.54098,1.64293,1.28976,0.3575,0.86895,0.84488,16.12821,45.70085,2.20798,3,0.0096,0.02439,16.0232,22.68978
"30","2017_Q3",145.30253968254,"Up",671100000,-421200000,249900000,-167100000,-167100000,82800000,-9800000,-9100000,-7e+05,7.3e+07,76400000,-16300000,60100000,60100000,60100000,60100000,81700000,81700000,467100000,467100000,435700000,54200000,54200000,1038700000,446900000,2294500000,403600000,1705600000,82400000,2741400000,3780100000,517500000,197400000,320100000,102300000,619800000,1153500000,275300000,275300000,1428800000,2048600000,337100000,2.003e+09,-386700000,1731500000,1731500000,3780100000,60100000,60100000,33200000,2100000,-8400000,8.7e+07,-1.2e+07,-12300000,-12300000,-13800000.0000001,-73499999.9999998,5400000,5400000,-69299999.9999999,3899999.99999999,3899999.99999999,1.2e+07,1.16e+08,1255800000,111900000,0.37237,0.12338,0.08955,0.03471,0.0159,1.8619,1.67586,1.18314,0.33221,1.71225,1.66482,19.11966,49.33048,3.18803,4,0.01842,0.0343,10.12155,14.17995
"31","2017_Q4",175.677142857143,"Up",662200000,-408600000,253600000,-164100000,-164100000,89500000,-11200000,-8200000,-3e+06,78300000,81700000,-12700000,6.9e+07,6.9e+07,6.9e+07,6.9e+07,82500000,82500000,4.66e+08,4.66e+08,431900000,60600000,60600000,1.041e+09,452100000,2354400000,408200000,1748900000,87500000,2806500000,3847500000,522600000,1.86e+08,336600000,2500000,525100000,1193200000,275800000,275800000,1.469e+09,1994100000,337500000,2.072e+09,-344800000,1853400000,1853400000,3847500000,6.9e+07,6.9e+07,31400000,19300000,-11800000,107900000,-15100000,-15600000,-15600000,-46500000,-69200000,7e+06,7e+06,-6.4e+07,-2600000,-2600000,8e+05,120900000,1195700000,106700000,0.38297,0.13516,0.1042,0.03723,0.01793,1.54638,1.98248,1.07591,0.31077,1.96023,1.90608,18.8125,52.65341,3.03125,5,0.02075,0.03209,9.20761,12.43799
"32","2018_Q1",188.958360655738,"Up",704400000,-437200000,267200000,-172600000,-172600000,94600000,-10100000,-7600000,-2500000,84500000,88300000,-20700000,67600000,67600000,67600000,67600000,70900000,70900000,478100000,388300000,400200000,62700000,62700000,1011900000,442800000,2391700000,398900000,1776700000,88900000,2834500000,3846400000,5.37e+08,191700000,345300000,3600000.00000001,540600000,1069300000,289200000,289200000,1358500000,1899100000,337700000,2139600000,-329300000,1947300000,1947300000,3846400000,67600000,67600000,25600000,11300000,21900000,126400000,-19100000,-1.8e+07,-1.8e+07,-1.8e+07,-127600000,6200000,6200000,-121500000,-13100000,-13100000,-11600000,120200000,1072900000,143700000,0.37933,0.1343,0.09597,0.03471,0.01757,2.12574,1.87181,0.97525,0.27894,1.92045,1.84699,20.01136,55.32102,4.08239,6,0.02043,0.04342,8.33611,10.59197
"33","2018_Q2",197.37765625,"Up",695600000,-438200000,257400000,-1.69e+08,-1.69e+08,88400000,-9600000,-7100000,-2500000,78800000,82200000,-15700000,66500000,66500000,66500000,66500000,79900000,79900000,534800000,386600000,381800000,63700000,63700000,1060200000,441900000,2.418e+09,390700000,1802600000,87200000,2859900000,3920100000,5.46e+08,1.98e+08,3.48e+08,9200000,555200000,1019200000,289800000,289800000,1.309e+09,1864200000,336200000,2209400000,-309400000,2055900000,2055900000,3920100000,71650602.3776696,71650602.3776875,23406721.3622259,7228895.38730426,36721822.2335817,139007873.597581,-22210793.45695,-20682054.2306553,-20682054.2306553,5684487.50616957,-167554312.710756,10975663.5389684,10981182.8229101,-155948975.089254,-11256613.9855029,-11256613.9855029,-6191224.443735,120278908.047148,1028400000,154905572.321902,0.37004,0.12708,0.0956,0.03235,0.01696,2.17962159063183,1.90958,0.90676,0.26234,1.86798,1.80707,19.53933,57.75,4.40447282217056,6.46475599312185,0.01971,0.0462265269347244,7.37708465389394,10.72964
"34","2018_Q3",228.001587301587,"Up",732500000,-4.47e+08,285500000,-1.74e+08,-1.74e+08,111500000,-10400000,-6700000,-3700000,101100000,104400000,-18500000,85900000,85900000,85900000,85900000,101400000,101400000,539100000,383800000,3.8e+08,5.7e+07,5.7e+07,1077500000,446100000,2359300000,368600000,1758900000,8.4e+07,2805400000,3882900000,536800000,2.13e+08,323800000,12200000,5.49e+08,939800000,291400000,291400000,1231200000,1780200000,3.37e+08,2295300000,-366500000,2102700000,2102700000,3882900000,80282413.8829664,80282413.8829771,24523827.3838958,5701681.33289324,33280156.63535,143787979.004765,-22866293.7625075,-22106930.6540755,-22106930.6540755,-28262667.1817994,-131250478.821219,16242482.7047486,16245780.2080726,-114580881.010594,944430.812371481,944430.812371481,8885410.45584553,122959511.376665,9.52e+08,146100748.360465,0.38976,0.15222,0.11727,0.04085,0.02212,1.84556588552814,1.96266,0.84663,0.24518,2.39944,2.32162,20.46089,58.73464,4.14116959111216,6.37894433794459,0.02567,0.0429191931573245,6.61675396987506,7.6287
"35","2018_Q4",218.790317460317,"Down",725300000,-446200000,279100000,-173600000,-173600000,105500000,-8700000,-6e+06,-2700000,96800000,100200000,-9900000,90300000,90300000,90300000,90300000,126100000,126100000,551800000,387400000,377600000,54100000,54100000,1109600000,446100000,2357500000,357800000,1755500000,86200000,2803600000,3913200000,573700000,205400000,368300000,14300000,5.88e+08,8.23e+08,285400000,285400000,1108400000,1696400000,338300000,2432500000,-407600000,2216800000,2216800000,3913200000,90300000,90300000,27300000,-9099999.99999999,33400000,141900000,-20900000,-20900000,-20900000,-20400000,-111900000,12300000,12300000,-99600000,21900000,21900000,24700000,132800000,837300000,155200000,0.38481,0.14546,0.1245,0.04073,0.02308,1.71872,1.88707,0.76525,0.21397,2.52941,2.42742,20.31653,62.09524,4.34734,6,0.02704,0.04647,5.35542,6.74123
"36","2019_Q1",226.528196721311,"Up",748400000,-459600000,288800000,-177600000,-177600000,111200000,-7500000,-5700000,-1800000,103700000,107100000,-1.6e+07,91100000,91100000,91100000,91100000,142500000,142500000,561800000,416500000,364300000,45800000,45800000,1114400000,442600000,2252300000,344300000,1735200000,84600000,2694900000,3809300000,583400000,227800000,355600000,137400000,720800000,610100000,248700000,248700000,858800000,1579600000,344100000,2523700000,-493200000,2229700000,2229700000,3809300000,91100000,91100000,29300000,-17600000,22700000,125500000,-18700000,-18700000,-18700000,-21700000,-81900000,1100000,1100000,-80800000,2.3e+07,2.3e+07,16400000,140500000,747500000,160500000,0.38589,0.14858,0.12173,0.04086,0.02392,1.7618,1.54606,0.70844,0.19623,2.52355,2.46216,20.7313,61.76454,4.44598,6,0.02824,0.04975,4.30605,5.44065
"37","2019_Q2",249.226666666667,"Up",745200000,-463900000,281300000,-1.84e+08,-1.84e+08,97300000,-6600000,-5400000,-1200000,90700000,92900000,-17600000,75300000,75300000,75300000,75300000,106200000,106200000,564400000,410400000,3.93e+08,53900000,53900000,1117500000,450700000,2593500000,3.89e+08,1885100000,224600000,3044200000,4161700000,591900000,227300000,364600000,131800000,723700000,724600000,363900000,363900000,1088500000,1812200000,350200000,2.599e+09,-469800000,2349500000,2349500000,4161700000,75300000,75300000,27600000,30900000,-53700000,80100000,-21300000,-21300000,-21300000,-243800000,114100000,10200000,10200000,124300000,-39400000,-39400000,-36300000,124900000,856400000,67500000,0.37748,0.13057,0.10105,0.03205,0.01809,0.89641,1.54415,0.77131,0.20578,2.08587,2.02419,20.64266,65.0831,1.86981,7,0.02109,0.01891,6.00641,7.71017
"38","2019_Q3",298.5659375,"Up",7.82e+08,-463600000,318400000,-186500000,-186500000,131900000,-6e+06,-5400000,-6e+05,125900000,127900000,-23300000,104600000,104600000,104600000,104600000,108100000,108100000,608800000,432300000,390400000,53700000,53700000,1.161e+09,450900000,2588300000,379900000,1.888e+09,2.19e+08,3039200000,4200200000,575500000,221700000,353800000,135500000,7.11e+08,656200000,3.6e+08,3.6e+08,1016200000,1727200000,352800000,2703600000,-468200000,2.473e+09,2.473e+09,4200200000,104600000,104600000,27100000,-54300000,5800000,83200000,-18100000,-18100000,-18100000,-17800000,-68800000,10500000,10500000,-59700000,5700000,5700000,1900000,1.59e+08,791700000,1.7e+08,0.40716,0.16867,0.13376,0.0423,0.0249,1.62524,1.63291,0.69842,0.18849,2.88154,2.79679,21.5427,68.12672,4.6832,6,0.02886,0.0469,4.29937,5.18271
"39","2019_Q4",336.16125,"Up",802200000,-487700000,314500000,-185800000,-185800000,128700000,-7200000,-5500000,-1700000,121500000,123400000,-16700000,106700000,106700000,106700000,106700000,128500000,128500000,643700000,448400000,404400000,61500000,61500000,1238100000,468200000,2773300000,439900000,2007800000,217600000,3241500000,4479600000,629400000,244900000,384500000,206100000,835500000,719300000,353800000,353800000,1073100000,1908600000,357100000,2810300000,-491800000,2.571e+09,2.571e+09,4479600000,106700000,106700000,27900000,-20300000,36600000,150900000,-25100000,-25100000,-25100000,-286200000,143600000,8500000,8500000,152100000,16800000,16800000,20400000,156600000,925400000,184800000,0.39205,0.16043,0.13301,0.0415,0.02382,1.73196,1.48187,0.74236,0.20658,2.94751,2.83777,22.16022,71.0221,5.10497,7,0.02771,0.048,5.08876,6.19192
"40","2020_Q1",343.510806451613,"Up",834200000,-505100000,329100000,-195300000,-158800000,133800000,-6200000,-4700000,-1500000,127600000,129500000,-13800000,115700000,115700000,115700000,115700000,199500000,199500000,660900000,460400000,393400000,59900000,59900000,1313700000,487900000,2778200000,430800000,2050500000,225100000,3266100000,4579800000,662600000,271100000,391500000,100600000,763200000,7.5e+08,351900000,351900000,1101900000,1865100000,360900000,2.926e+09,-475800000,2714700000,2714700000,4579800000,115700000,115700000,29300000,74400000,-51500000,167900000,-23900000,-23900000,-23900000,-24100000,-80100000,5400000,5400000,-7.5e+07,68800000,68800000,7.1e+07,163100000,850600000,101500000,0.39451,0.16039,0.1387,0.04262,0.02526,0.87727,1.72131,0.68704,0.18573,3.1612,3.06085,22.79235,74.17213,2.77322,7,0.02954,0.02591,3.99203,4.86622
"41","2020_Q2",328.710793650794,"Down",784600000,-492600000,2.92e+08,-1.88e+08,-1.88e+08,1.04e+08,-5499999,-4099999,-1400000,98500001,101000001,-18800000,82200001,82200001,82200001,82200001,231400000,231400000,668100000,450200000,401100000,63200000,63200000,1363800000,475500000,2745700000,411800000,2053700000,202800000,3221200000,4.585e+09,6.59e+08,263400000,395600000,100600000,759600000,749100000,323300000,323300000,1072400000,1.832e+09,371300000,3008200000,-539500000,2.753e+09,2.753e+09,4.585e+09,82200000,82200000,29300000,9600000,-44699999,76400001,-20200000,-20200000,-20200000,-49100000,-300000.00000006,10200000,10200000,9899999.99999997,37200001,37200001,31900001,133300000,849700000,87200001,0.37216,0.13255,0.10477,0.02986,0.01793,1.06083,1.79542,0.66546,0.18532,2.2459,2.1746,21.43716,75.21858,2.38251,4,0.02094,0.02221,4.63841,5.94519
"42","2020_Q3",315.48375,"Down",743300000,-460600000,282700000,-172900000,-153600000,109800000,-5100001,-3700001,-1400000,104699999,107899999,-14200000,93699999,93699999,93699999,93699999,382800000,382800000,6.53e+08,432400000,392300000,55700000,55700000,1483800000,475400000,2.779e+09,409200000,2061300000,225400000,3254400000,4738200000,651600000,2.45e+08,406600000,100600000,752200000,750800000,355300000,355300000,1106100000,1858300000,376600000,3101900000,-5.31e+08,2879900000,2879900000,4738200000,93700000,93700000,2.9e+07,6600000,26499999,155799999,-16600000,-16600000,-16600000,-16600000,-1e+05,1.8e+07,1.8e+07,17900000,157099999,157099999,151399999,138800000,851400000,162899999,0.38033,0.14772,0.12606,0.03254,0.01978,1.73853,1.97261,0.64527,0.17969,2.56011,2.47884,20.30874,78.68579,4.45082,4,0.02293,0.03986,3.37608,4.26776
"43","2020_Q4",358.76171875,"Up",7.49e+08,-458500000,290500000,-1.68e+08,-158100000,122500000,-6e+06,-4100000,-1900000,116500000,119700000,-25800000,93900000,93900000,93900000,93900000,454500000,454500000,650200000,411400000,365400000,6.5e+07,6.5e+07,1535100000,475700000,2826200000,408800000,2091300000,237400000,3301900000,4.837e+09,645600000,216600000,4.29e+08,25600000,671200000,761100000,378700000,378700000,1139800000,1.811e+09,383300000,3195800000,-486800000,3.026e+09,3.026e+09,4.837e+09,93900000,93900000,29200000,6800000,20400000,150300000,-15200000,-15200000,-15200000,-15200000,-7.5e+07,1300000,1300000,-73700000,61400000,61400000,71700000,151700000,786700000,182700000,0.38785,0.16355,0.12537,0.03103,0.01941,1.94569,2.2871,0.59848,0.16264,2.54472,2.48413,20.2981,82.00542,4.95122,5,0.0224,0.04359,2.18985,2.71184
"44","2021_Q1",385.972131147541,"Up",809300000,-493600000,315700000,-171900000,-162300000,143800000,-5900000,-3400000,-2500000,137900000,141100000,-9e+06,132100000,132100000,132100000,132100000,673100000,673100000,4.02e+08,4.02e+08,347300000,300200000,78100000,1722600000,489300000,2872900000,409700000,2.15e+09,245300000,3362200000,5084800000,663300000,229100000,434200000,97600000,760900000,680900000,414400000,414400000,1095300000,1856200000,390300000,3327900000,-430100000,3228600000,3228600000,5084800000,132100000,132100000,28700000,7e+06,68600000,236400000,-19400000,-19400000,-19400000,-18500000,-22700000,6800000,6800000,-15900000,2.02e+08,2.02e+08,218600000,172500000,778500000,230700000,0.39009,0.17768,0.16323,0.04092,0.02598,1.7464,2.2639,0.57492,0.1531,3.59946,3.45812,22.05177,87.97275,6.2861,6,0.02988,0.05218,0.61101,0.73296
"45","2021_Q2",424.727936507937,"Up",805700000,-492500000,313200000,-1.78e+08,-168200000,135200000,-36700000,-35700000,-1e+06,98500000,101300000,-16600000,84700000,84700000,84700000,84700000,3234200000,3234200000,435500000,435500000,3.28e+08,282900000,79200000,4280600000,484700000,2853100000,397100000,2140100000,241600000,3337800000,7618400000,652400000,249900000,402500000,185696079.455864,652400000,3243300000,386400000,386400000,3629700000,4282100000,398800000,3412600000,-424900000,3336300000,3336300000,7618400000,84700000,84700000,29300000,37500000,-26599999,124900001,-17600000,-17600000,-17600000,-17600000,2448800000,10800000,10800000,2.454e+09,2561300001,2561300001,2561100001,164500000,3243300000,136900001,0.38873,0.1678,0.10513,0.02539,0.01112,1.61629,6.56131,1.28349,0.42572,2.28919,2.22895,21.77568,90.17027,3.7,5,0.01216,0.01965,0.0553200000000001,0.06731
"46","2021_Q3",441.895625,"Up",1.121e+09,-663100000,457900000,-353500000,-320700000,104400000,-1699999.99999999,-7800000.00000001,6100000,102700000,118900000,-27400000,91500000,91500000,91500000,91500000,695100000,695100000,679500000,679500000,867200000,409100000,125300000,2650900000,8.73e+08,1.0699e+10,2765800000,7515900000,336700000,1.1572e+10,14222900000,1053300000,399600000,653700000,243537749.697494,1053300000,4.742e+09,1115200000,1115200000,5857200000,6910500000,4297900000,3477300000,-416700000,7312400000,7312400000,14222900000,64700000,64700000,83100000,9300000,54199999,211299999,-20800000,-20800000,-20800000,-3744200000,1e+09,5100000,5100000,997400000,-2535500001,-2535500001,-2539100001,210208228.753377,4.742e+09,286297666.255994,0.381802292733222,0.148009275911567,0.0662596427618369,0.014386956283896,0.00270681696322018,2.47621504692817,2.51676,0.94504,0.33341,1.19131040535544,1.2014870397857,20.3604811506959,90.3563396768651,5.61226848499725,4.25109526937968,0.0024321877579174,0.0166813646581197,2.73278490788646,5.52954740779378
"47","2021_Q4",434.96421875,"Down",1311900000,-787700000,524200000,-334600000,-279300000,189600000,-37900000,-37200000,-7e+05,151700000,141100000,-33800000,107300000,107300000,107300000,107300000,551800000,551800000,759600000,759600000,833200000,390300000,118600000,2534900000,858100000,11054500000,2705200000,7899500000,362800000,11912600000,14447500000,1421800000,427600000,994200000,277571380.211191,1421800000,4441700000,1167400000,1167400000,5609100000,7030900000,4.308e+09,3611400000,-460800000,7416600000,7416600000,14447500000,134100000,134100000,125400000,8700000,-75400000,192800000,-29200000,-29200000,-29200000,-28600000.0000005,-300100000,5500000,5500000,-304100000,-139900000.000001,-139900000.000001,-143300000,285742937.252026,4441700000,475344599.573597,0.379877175639933,0.13478336554694,0.0758975856571021,0.0147911737703376,0.00504689017793211,3.1413372281569,1.78288,0.948,0.30744,1.30723224321326,1.32009282387142,19.9720056904175,98.4453444061191,8.58793729099835,4.09065716162781,0.00544011265475044,0.0321188187948718,7.19433454473188,13.6459292446763
"48","2022_Q1",430.128870967742,"Down",1375700000,-829600000,546100000,-3.51e+08,-299600000,195100000,-25400000,-23500000,-1900000,169700000,172500000,-10700000,161800000,161800000,161800000,161800000,474700000,474700000,767700000,767700000,752900000,434100000,1.18e+08,2429400000,827500000,11173400000,2741600000,7986700000,321400000,12000900000,14430300000,1498400000,469500000,1028900000,294243340.483259,1498400000,4099399999,1210500000,1210500000,5309899999,6808299999,4317600000,3773200000,-4.3e+08,7.622e+09,7.622e+09,14430299999,161800000,161800000,1.34e+08,8900000,-9100000,295600000,-3.4e+07,-3.4e+07,-3.4e+07,-33900000,-3.45e+08,4e+06,4e+06,-340200000,-78500000,-78500000,-77100000,329100000,4099399999,296700000,0.39696,0.14182,0.11761,0.02123,0.01121,1.83375,1.62133,0.89324,0.28408,2.66906,2.63089,22.69357,125.73262,4.89437,4,0.01251,0.02294,11.01398,18.57868
"49","2022_Q2",416.870322580645,"Down",1.321e+09,-752600000,568400000,-344900000,-291300000,223500000,-23300000,-22300000,-1e+06,200200000,2.03e+08,9600000,212600000,212600000,212600000,212600000,284300000,284300000,783900000,783900000,801300000,467900000,119400000,2337400000,807300000,11106399999,2682800000,7.977e+09,316900000,11913699999,14251099999,1108300000,496100000,612200000,3e+08,1408300000,3831800000,1178600000,1178600000,5010400000,6418700000,4325700000,3985800000,-451900000,7832400000,7832400000,14251100000,212600000,212600000,86900000,9e+06,-525200000,-216700000,-2.1e+07,-2.1e+07,-2.1e+07,-19600000.0000001,3.2e+07,12700000,12700000,42600000,-193700000,-193700000,-190400000,310400000,4131800000,-245400000,0.43028,0.16919,0.16094,0.02714,0.01492,-1.15428,1.65973,0.81951,0.28993,4.55321,4.45702,28.29161,167.74502,-5.25569,4,0.01618,-0.01867,12.3953,17.21477
"50","2022_Q3",390.51625,"Down",1355800000,-788600000,567200000,-337700000,-286400000,229500000,-21500000,-22500000,1e+06,2.08e+08,221500000,-50200000,171300000,171300000,171300000,171300000,278800000,278800000,814700000,814700000,821500000,422400000,107800000,2337400000,774200000,10935900000,2618800000,7894600000,2.87e+08,11710100000,14047500000,1.103e+09,4.83e+08,6.2e+08,3e+08,1.403e+09,3645700000,1136900000,1136900000,4782600000,6185600000,4334100000,4157100000,-6.05e+08,7861900000,7861900000,14047500000,171300000,171300000,82700000,-4200000,-52900001,196899999,-15700000,-20800000,-20800000,-15800000,-158200000,4800000,4800000,-153200000,27899999,27899999,-5500001,312200000,3945700000,293799999,0.41835,0.16927,0.12635,0.02179,0.01219,1.71512,1.666,0.78678,0.28088,3.59119,3.59119,28.42348,164.81971,6.15933,6,0.01323,0.0227,11.74536,15.97778
