"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q4",1936.5546875,"Down",8740000,-6238000,2502000,-6850000,-4947000,-1903000,-4348000,-318000,-318000,-4666000,-4565000,-4565000,-4565000,-4565000,-4565000,1016000,1016000,4129000,4129000,9575000,470000,470000,15190000,1053000,658000,576000,1711000,16901000,6666000,5525000,1141000,51000,7079000,7079000,13796000,762000,762000,5313000,19109000,94000,70423000,-72725000,-2208000,-2208000,16901000,-4565000,-13000,509000,961000,-3108000,-152000,-152000,2801000,2672000,-588000,-588000,-588000,-4361000,4602000,0.28627,-0.49748,-0.52231,2.06748,-0.2701,1.10104,-8.65444,0.27229,-338.22995,-338.22995,647.56403,-170.55977,-1.44645,-0.82229,-0.82475
"38","2020_Q1",2187.54032258064,"Up",7151000,-6554000,597000,-4088000,-2464000,-1624000,-3491000,-339000,-339000,-3830000,-3823000,-3823000,-3823000,-3823000,-3823000,913000,913000,2099000,2099000,10508000,776000,420000,14296000,1053000,643000,576000,1696000,15992000,6185000,5357000,828000,69375.227570327,3226000,3226000,9411000,745000,745000,5434000,14845000,94000,77601000,-76548000,1147000,1147000,15992000,-3823000,49000,-539000,780000,-3533000,-34000,-34000,-3815000,3464000,-103000,-103000,-103000,-3442000,4689000,0.08348,-0.48818,-0.53461,-3.33304,-0.23906,1.51907,12.94246,0.29321,-218.73383,-218.73383,409.14612,60.24764,-0.58091,-1.09704,-1.08164
"39","2020_Q2",1774.7380952381,"Down",9523000,-6653000,2870000,-5120000,-3857000,-1263000,-2250000,-336000,-336000,-2586000,-2580000,-2580000,-2580000,-2580000,-2580000,28000,28000,4018000,4018000,7990000,1141000,911000,13177000,1026000,643000,576000,1669000,14846000,5124000,4500000,624000,95000,4785000,4785000,10004000,664000,664000,5495000,15499000,94000,78381000,-79128000,-653000,-653000,14846000,-2580000,12000,430000,-214000,-2352000,-22000,-22000,1489000,1489000,-885000,-885000,-885000,-2238000,4926000,0.30138,-0.23627,-0.27092,3.951,-0.17378,1.31717,-23.73507,0.33181,-135.51785,-135.51785,500.20794,-39.23715,-0.52258,-2.18856,-2.17689
"40","2020_Q3",2600.953125,"Up",10853000,-7865000,2988000,-4422000,-2942000,-1480000,-1434000,-303000,-303000,-1737000,-1750000,-1750000,-1750000,-1750000,-1755000,1112000,1112000,5295000,5295000,8411000,1169000,939000,15987000,1023000,657000,590000,1680000,17667000,6026000,5129000,897000,89000,7615000,7615000,13730000,15000,15000,1071000,14801000,94000,83655000,-80883000,2866000,2866000,17667000,-1750000,12000,526000,-1464000,-2676000,-94000,-94000,-1456000,3854000,1084000,1084000,1084000,-1422000,1145000,0.27532,-0.13213,-0.16171,-0.612349999999998,-0.09934,1.16438,5.16434,0.06481,-73.72138,-73.72138,455.89638,116.44198,-0.43592,-0.0232100000000002,-0.0230100000000006
"41","2020_Q4",1953.98046875,"Down",10562000,-7176000,3386000,-5662000,-3455000,-2207000,-2276000,-322000,-322000,-2598000,-2590000,-2590000,-2590000,-2590000,-2590000,875000,875000,4647000,4647000,9436000,1095000,704000,16053000,984000,680000,613000,1664000,17717000,6746000,5441000,1305000,114000,9400000,9400000,16260000,7000,7000,899000,17159000,94000,83937000,-83473000,558000,558000,17717000,-2590000,32000,682000,136000,-1740000,-42000,-42000,1661000,1545000,-237000,-237000,-237000,-2244000,1006000,0.32058,-0.21549,-0.24522,-4.64158,-0.14619,0.98727,30.7509,0.05678,-102.76375,-102.76375,419.0698,18.41019,-1.64863,-0.05838,-0.05756
"42","2021_Q1",2519.77868852459,"Up",10677000,-7155000,3522000,-6178000,-4272000,-1906000,-2656000,-346000,-346000,-3002000,-3257000,-3257000,-3257000,-3257000,-3257000,595000,595000,4718000,4718000,11119000,2023000,1341000,18455000,920000,682000,615000,1602000,20057000,8198000,6746000,1452000,599000,130000,130000,8927000,555000,555000,726000,9653000,94000,97040000,-86730000,10404000,10404000,20057000,-3257000,32000,766000,-269000,-2728000,-3000.00000000001,-3000.00000000001,-8808000,2451000,-280000,-280000,-280000,-2624000,770000,0.32987,-0.24876,-0.30505,-0.31305,-0.16239,2.06732,0.92782,0.03839,-112.37088,-112.37088,368.37085,355.70886,-0.27769,-0.06669,-0.06589
"43","2021_Q2",2569.76984126984,"Up",12146000,-8293000,3853000,-8104000,-4818000,-3286000,-4251000,-256000,-256000,-4507000,-4507000,-4507000,-4507000,-4507000,-4507000,155000,155000,5032000,5032000,12445000,2811000,2110000,20443000,949000,684000,617000,1633000,22076000,9617000,8134000,1483000,872000,4256000,4256000,14745000,648379.593073743,648379.593073743,561000,15306000,94000,97913000,-91237000,6770000,6770000,22076000,-4507000,32000,493000,-1077000,-5059000,-95000,-95000,4254000,4714000,-440000,-440000,-440000,-4219000,1433000,0.31722,-0.34999,-0.37107,-0.66573,-0.20416,1.38644,2.26086,0.06491,-130.06268,-130.06268,350.5084,192.65553,-0.54943,-0.30292,-0.30064
"44","2021_Q3",1866.10546875,"Down",11270000,-8001000,3269000,-6979000,-4470000,-2509000,-3710000,-202000,-202000,-3912000,-3142000,-3142000,-3142000,-3142000,-3147000,654000,654000,4543000,4543000,13701000,2727000,1987000,21625000,886000,688000,621000,1574000,23199000,8067000,6545000,1522000,2939000,149000,149000,11155000,478000,478000,478000,11633000,94000,105856000,-94384000,11566000,11566000,23199000,-3142000,37000,-24000.0000000001,-2121000,-5250000,-5999.99999999997,-5999.99999999997,-1317000,5755000,499000,499000,499000,-3673000,2939000,0.29006,-0.32919,-0.27924,-0.27209,-0.13565,1.93859,1.00579,0.12669,-86.57736,-86.57736,310.04984,315.60707,-0.21004,-0.62211,-0.6159
"45","2021_Q4",1293.7578125,"Down",13402000,-9530000,3872000,-7525000,-4432000,-3093000,-3653000,-234000,-234000,-3887000,-3887000,-3887000,-3887000,-3887000,-3887000,941000,941000,6945000,6945000,15514000,2821000,1995000,26221000,824000,688000,621000,1512000,27733000,10709000,8870000,1839000,8255000,155000,155000,19119000,437000,437000,437000,19556000,94000,106354000,-98271000,8177000,8177000,27733000,-3887000,37000,407000,-1559000,-5002000,6000,6000,5316000,5283000,287000,287000,287000,-3616000,8255000,0.28891,-0.27257,-0.29003,-0.47536,-0.14016,1.37146,2.39159,0.29766,-103.71008,-103.71008,357.58232,215.66467,-0.23042,-2.02268,-2.00219
"46","2022_Q1",772.83064516129,"Down",12781000,-10177000,2604000,-6961000,-3910000,-3051000,-4357000,-509000,-509000,-4866000,-4866000,-4866000,-4866000,-4866000,-4866000,48999.9999999999,48999.9999999999,5183000,5183000,17049000,2424000,1491000,24705000,992000,624000,624000,1616000,26321000,11334000,10434000,9e+05,10229000,161000,161000,21724000,394000,394000,394000,22118000,94000,107246000,-103137000,4203000,4203000,26321000,3887000,-37000,-455000,1601000,4996000,0,0,-5316000,-5283000,-287000,-287000,-287000,-4394000,10229000,0.20374,-0.3409,-0.38072,-1.15774,-0.18487,1.13722,5.26243,0.38863,-200.59414,-200.59414,526.8791,169.38786,-0.32821,-2.3168,-2.33647
"47","2022_Q2",546.907258064516,"Down",12182000,-9250000,2932000,-7111000,-4299000,-2812000,-4179000,-801000,-801000,-4980000,-4980000,-4980000,-4980000,-4980000,-4980000,122000,122000,5161000,5161000,20848000,2696000,1561000,28827000,940000,624000,624000,1564000,30391000,17783000,16359000,1424000,7475000,167000,167000,25425000,350000,350000,350000,25775000,94000,112639000,-108117000,4616000,4616000,30391000,-4980000,25000,896000,1852000,-2207000,63224.6344805097,63224.6344805097,-2704000,2280000,73000,73000,73000,-4154000,7475000,0.24068,-0.34305,-0.4088,-1.07886,-0.16386,1.13381,5.58384,0.24596,-132.949,-132.949,325.2178,120.72196,-0.40029,-1.7701,-1.75951
"48","2022_Q3",447.62109375,"Down",13725000,-10426000,3299000,-7835000,-4003000,-3832000,-4536000,-541000,-541000,-5077000,-5077000,-5077000,-5077000,-5077000,-5082000,280000,280000,7704000,7704000,24193000,2440000,1440000,34617000,885000,624000,624000,1509000,36126000,14746000,12681000,2065000,12880000,174000,174000,27800000,304000,304000,8745000,36545000,94000,112686000,-113199000,-419000,-419000,36126000,-5077000,26000,114000,-9186000,-14123000,254673.903441529,254673.903441529,14070000,14281000,158000,158000,158000,-4510000,21321000,0.24036,-0.33049,-0.37027,12.12888,-0.14067,1.24522,-87.21957,0.59018,-135.67205,-135.67205,366.41063,-13.69535,-0.23965,-4.66541,-4.63867
