"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"33","2018_Q4",21.504126984127,"Down",1129666000,-560434000,569232000,-179656000,-164406000,-15250000,389576000,833288000,128312000,666731000,38245000,1222864000,1222864000,129405000,1352269000,1352269000,-703730000,648539000,640198000,47348245000,3228652000,44119593000,747956000,747956000,48096201000,2247747000,2247747000,2247747000,50343948000,3685318000,3685318000,252547000,252547000,3937865000,20266172000,20266172000,24204037000,8005338000,9006767000,17133144000,26139911000,50343948000,1352269000,-1454286000,-599723000,-701740000,-24766000,0,-24766000,-45291000,311758000,568547000,754352000,27846000,27846000,12964000,20266172000,0.50389,0.34486,0.56671,0.02449,0.01272,12.21378,0.92594,0.40255,1.21887,1.17323,2.15076,16.21339,0.08623,0.01477,0.07075,-69.51679
"34","2019_Q1",21.5262295081967,"Up",-178056000,-43293000,-221349000,-194443000,-179524000,-14919000,-415792000,-798115000,165670000,-1001286000,37501000,-1213907000,-1213907000,143294000,-1070613000,-1070613000,685972000,-384641000,-392982000,47353129000,2445147000,44907982000,853554000,853554000,48206683000,2536692000,2536692000,2536692000,50743375000,2743990000,2743990000,275584000,275584000,3019574000,22341192000,22341192000,25360766000,8114748000,8649610000,16732999000,25382609000,50743375000,-1070613000,-1812389000,516574000,-2366428000,-35273000,1.45519152283669e-11,-35273000,-41078000,1837193000,42865000,1746500000,-655201000,-655201000,-653089000,22341192000,1.24314,2.33518,2.20707,-0.01548,-0.00774,15.96473,0.99914,0.44028,-0.73747,-0.77897,-0.33414,15.3263,0.07709,-0.00737,-0.10453,60.15493
"35","2019_Q2",22.7444444444444,"Up",1187480000,-544562000,642918000,-184205000,-169515000,-14690000,458713000,1335926000,109423000,1203878000,22625000,1794639000,1794639000,-167593000,1627046000,1627046000,-917727000,709319000,700978000,48515072000,2719818000,45795254000,801145000,801145000,49316217000,2687802000,2687802000,2687802000,52004019000,3279028000,3279028000,254781000,254781000,3533809000,22262369000,22262369000,25796178000,8153459000,9322371000,16885470000,26207841000,52004019000,1627046000,-1682239000,211471000,156278000,-19455000,-451000,-19906000,-74960000,-225160000,335934000,7248000,143620000,143620000,145256000,22262369000,0.54141,0.38629,0.59031,0.02675,0.01348,13.95554,0.98429,0.42809,1.31296,1.2744,2.22419,16.5573,0.1404,0.01601,0.10694,-57.23122
"36","2019_Q3",25.19796875,"Up",1179864000,-608967000,570897000,-199844000,-182651000,-17193000,371053000,1156076000,100961000,1037985000,17130000,1527129000,1527129000,-165399000,1361730000,1361730000,-838996000,522734000,514393000,54341911000,3098821000,51243090000,767687000,767687000,55109598000,2414467000,2414467000,2414467000,57524065000,3279777000,3279777000,276440000,276440000,3556217000,25685785000,25685785000,29242002000,8260444000,9875478000,18406585000,28282063000,57524065000,1361730000,-5136400000,504548000,-3270122000,-124582000,-626000,-125208000,-76292000,3270672000,603997000,3798377000,403047000,403047000,403790000,25685785000,0.48387,0.31449,0.43598,0.01819,0.00894,15.49669,1.03394,0.44652,0.94456,0.92733,2.16653,17.24777,0.14009,0.01095,0.14831,-77.2292
"37","2019_Q4",27.32890625,"Up",790485000,-427527000,362958000,-192006000,-177112000,-14894000,170952000,218792000,75393000,-4590000,147989000,389744000,389744000,-53132000,336612000,336612000,-87058000,249554000,241213000,54387057000,3542400000,50844657000,741651000,741651000,55128708000,2516341000,2516341000,2516341000,57645049000,3511513000,3511513000,267137000,267137000,3778650000,25281202000,25281202000,29059852000,8340465000,10117754000,18467443000,28585197000,57645049000,336612000,-1061310000,325756000,-398942000,-16542000,-2169000,-18711000,-76480000,972089000,-21184000,874425000,456772000,456772000,435012000,25281202000,0.45916,0.21626,0.30515,0.00844,0.00418,14.58952,1.0166,0.43857,0.44145,0.43104,1.44668,17.63349,0.13997,0.0059,0.31706,-170.25747
"38","2020_Q1",27.6609677419355,"Up",1063071000,-535834000,527237000,-215486000,-199535000,-15951000,311751000,1145027000,89188000,924611000,131228000,1456778000,1456778000,-142626000,1314152000,1314152000,-790710000,523442000,515101000,58099422000,3163154000,54936268000,791661000,791661000,58891083000,2008236000,2008236000,2008236000,60899319000,3097563000,3097563000,286098000,286098000,3383661000,27013284000,27013284000,30396945000,8571519000,10807490000,19694884000,30502374000,60899319000,1314152000,-3503725000,20204000,-2169369000,-46783000,3246000,-43537000,-77118000,1483331000,442284000,1804939000,-407967000,-407967000,-388154000,27013284000,0.49596,0.29326,0.48454,0.01689,0.00846,17.40455,0.99654,0.44357,0.92729,0.90944,1.91374,18.58175,0.13883,0.0103,0.14971,-99.71464
"39","2020_Q2",25.9985714285714,"Down",-1001505000,262137000,-739368000,-165445000,-149123000,-16322000,-904813000,-3683819000,91986000,-3944504000,168699000,-4588632000,-4588632000,360679000,-4227953000,-4227953000,2947429000,-1280524000,-1288865000,51754664000,3153537000,48601127000,968990000,968990000,52723654000,2877421000,2877421000,2877421000,55601075000,2483944000,2483944000,261720000,261720000,2745664000,26265381000,26265381000,29011045000,8464556000,9325962000,17264068000,26590030000,55601075000,-4227953000,4093803000,-1272256000,-1406406000,-41371000,-4073000,-45444000,-78082000,1248347000,586112000,1510217000,58367000,58367000,32627000,26265381000,0.73826,0.90345,1.28693,-0.04847,-0.02318,19.20251,1.09105,0.47239,-2.30504,-2.30504,-1.79112,15.81581,0.13964,-0.02291,-0.06058,28.17077
"40","2020_Q3",33.99546875,"Up",1331994000,-591324000,740670000,-165744000,-148165000,-17579000,574926000,1582503000,91665000,1480869000,9969000,2157429000,2157429000,-206264000,1951165000,1951165000,-1244196000,706969000,698628000,58030256000,3605103000,54425153000,1063629000,1063629000,59093885000,3016497000,3016497000,3016497000,62110382000,3777047000,3777047000,261774000,261774000,4038821000,28676899000,28676899000,32715720000,8465505000,9954868000,19439794000,29394662000,62110382000,1951165000,-3770683000,487985000,-1331533000,-26671000,-3514000,-30185000,-83597000,1030556000,863938000,1810897000,449179000,449179000,468586000,28676899000,0.55606,0.43163,0.5245,0.02377,0.01125,14.63147,1.11298,0.46171,1.25029,1.25029,2.38378,16.94684,0.14961,0.01347,0.11966,-51.05589
"41","2020_Q4",36.8596875,"Up",1895238000,-882339000,1012899000,-211360000,-194039000,-17321000,801539000,2532137000,131156000,2284602000,116379000,3333676000,3333676000,-359375000,2974301000,2974301000,-1909458000,1064843000,1056502000,66734243000,5744081000,60990162000,912733000,912733000,67646976000,3008357000,3008357000,3008357000,70655333000,4861118000,4861118000,298944000,298944000,5160062000,31451641000,31451641000,36611703000,8599668000,12197656000,21845974000,34043630000,70655333000,2974301000,-5281924000,898217000,-1409406000,-43427000,7587000,-35840000,-83826000,1881752000,1768317000,3566243000,2120997000,2120997000,2149298000,31451641000,0.53444,0.42292,0.55745,0.03103,0.01495,13.10972,1.07543,0.44514,1.89011,1.89011,3.39064,18.9575,0.14997,0.01741,0.07934,-44.01857
"42","2021_Q1",43.7859016393443,"Up",2005164000,-940964000,1064200000,-238093000,-217215000,-20878000.0000001,826107000,3998115000,118762000,3821837000,57516000,4824222000,4824222000,-404137000,4420085000,4420085000,-2908864000,1511221000,1479689000,75782589000,6507874000,69274715000,4023913000,4023913000,79806502000,15380655773.6227,14827383668.2044,65116446520.9935,79806502000,5257813000,5257813000,325177000.000004,325177000.000004,5582990000,33423596000,33423596000,39006586000,8693546000,13716818000,27083098000,40799916000,79806502000,4420085000,-6523064000,296631000,-1806348000,-41917000,387583708.493002,-41917000,-108374000,1166113000,1858608000,2916347000,1068082000,1068082000,1105530000,33423596000,0.53073,0.41199,0.73794,0.03627,0.01854,14.29458,0.95605,0.41881,2.64721,2.64721,3.5873,21.67538,0.19388,0.0214,0.07324,-51.27543
"43","2021_Q2",54.4614285714286,"Up",4563006000,-1306797000,3256209000,-1779076000,-246952000,-1532124000,1477133000,2876973000,105027000,2696200000,75746000,4354106000,4354106000,-438739000,3915367000,3915367000,-2245531000,1669836000,1644245000,86654965000,10498736000,76156229000,4306998000,4306998000,90961963000,27212105000,26122275000,125483151000,216445114000,25250816000,25250816000,108821900000,108821900000,134072716000,36069768000,36069768000,170142484000,8714122000,14676056000,31626574000,46302630000,216445114000,3915367000,-5621664000,1633131000,-73166000,-27727000,67331000,-376036000,-103395000,1557428000,3076475000,4459142000,4009940000,4009940000,3984218000,36069768000,0.71361,0.32372,0.36034,0.03551,0.0076,0.67845,3.67457,0.16665,2.9416,2.9416,8.16336,23.39153,0.18498,0.02122,0.06288,-34.24553
"44","2021_Q3",61.773125,"Up",3136181000,-1099423000,2036758000,-880916000,-370124000,-510792000,1155842000,3450699000,104825000,3220053000,125821000,4606541000,4606541000,-343667000,4262874000,4262874000,-2947599000,1315275000,1277672000,95103922000,11662284000,83441638000,4361606000,4361606000,99465528000,28725068000,27530926000,129769335000,229234863000,27000767000,27000767000,111982413000,111982413000,138983180000,37752422000,37752422000,176735602000,8706054000,16068359000,36430902000,52499261000,229234863000,4262874000,-6328781000,831765000,-1234142000,-21838000,-2092553000,-2172530000,-109901000,1541631000,3068443000,4435609000,1028937000,1028937000,1040651000,37752422000,0.64944,0.36855,0.4074,0.02434,0.00557,0.715669999999998,3.36644,0.16469,2.19143,2.00446,5.3791,25.38511,0.1885,0.01537,0.08602,-49.61881
"45","2021_Q4",72.71859375,"Up",4483365000,-1012837000,3470528000,-2149968000,-362850000,-1787118000,1320560000,2340367000,102236000,2116647000,121484000,3660927000,3660927000,-379282000,3281645000,3281645000,-2125088000,1156557000,1131354000,101882192000,11973622000,89908570000,4596394000,4596394000,106478586000,38106494000,36827424000,159321064000,265799650000,36972511000,36972511000,130618451000,130618451000,167590962000,41151135000,41151135000,208742097000,8741507000,16932970000,40124583000,57057553000,265799650000,3281645000,-6450289000,917453000,-2251191000,-32950000,-4435722000,-4468672000,-104308000,3634812000,3700859000,7231363000,511500000,511500000,494486000,41151135000,0.77409,0.29455,0.25234,0.01983,0.00426,0.63535,3.65845,0.15482,1.94047,1.77491,7.68976,27.1246,0.17891,0.01258,0.0922,-45.98887
"46","2022_Q1",62.1635483870968,"Down",4053596000,-1009686000,3043910000,-2122160000,-534472000,-1587688000,921750000,105125000,41353000,-311977000,375749000,1026875000,1026875000,-191582000,835293000,835293000,-310485000,524808000,507558000,98867116000,10091602000,88775514000,4545298000,4545298000,103412414000,37109351000,37109351000,160873026000,264285440000,34620716000,34620716000,127361315000,127361315000,161982031000,38577761000,44164189000,206146220000,10119184000,17582164000,40557056000,58139220000,264285440000,835293000,-4615392000,161890000,-3618209000,-19534000,-2568776000,-2588310000,-102026000,2161709000,2311977000,4237880000,-1968639000,-1968639000,-1986508000,38577761000,0.75092,0.22739,0.12521,0.00873,0.00192,0.63842,3.54573,0.14597,0.87055,0.79627,6.95263,30.15207,0.17499,0.00596,0.20101,-65.40749
"47","2022_Q2",51.9638709677419,"Down",1004017000,-283672000,720345000,-1255098000,-401879000,-853219000,-534753000,1634189000,57578000,914261000,662350000,1099436000,1099436000,3166000,1102602000,1102602000,-1159122000,-56520000,-73770000,101685409000,12914929000,88770480000,4312752000,4312752000,105998161000,37492949000,36011665000,160292820000,266290981000,33639358000,33639358000,137211111000,137211111000,170850469000,38142641000,38142641000,208993110000,8735449000,15714287000,41583584000,57297871000,266290981000,1102602000,-666903000,481119000,916818000,-11888000,-1985941000,-1997829000,-102991000,31534000,4564584000,4146476000,3065465000,3065465000,3016089000,38142641000,0.71746,-0.53261,-0.07347,-0.00129,-0.00028,0.62041,3.64748,0.14324,-0.12653,-0.11573,1.72207,25.03455,0.17665,0.00031,-1.39611,118.82639
"48","2022_Q3",50.195625,"Down",330070000,-250876000,79194000,-542447000,-424724000,-117723000,-463253000,-1694261000,43853000,-1885469000,147355000,-2157514000,-2157514000,153104000,-2004410000,-2004410000,1193726000,-810684000,-827934000,100042704000,11851176000,88191528000,6871491000,6871491000,106914195000,39653121000,38104214000,159160903000,266075098000,35093133000,35093133000,139010627000,139010627000,174103760000,39152947000,39152947000,213256707000,15956624000,19072683000,33745708000,52818391000,266075098000,-2004410000,-1013634000,-1045445000,-4063489000,-22285000,-3381222000,-5094209000,-109104000,3166732000,5100901000,8158529000,-999169000.000001,-999169000.000001,-1170143000,39152947000,0.23993,-1.4035,-2.50836,-0.01568,-0.00311,0.61408,4.03755,0.14715,-1.42005,-1.29889,0.56613,30.79923,0.18713,-0.00782,-0.13178,131.43953
