"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2020_Q2",13.8050793650794,"Down",375431000,-289943000,85488000,-102546000,-17058000,-5124000,-5124000,-22182000,-22182000,8097000,-14085000,-14085000,-14085000,-14085000,193517000,193517000,144263000,144263000,129999000,24914000,24914000,492693000,125635000,488586000,145752000,212510000,130324000,614221000,1106914000,130270000,92621000,37649000,22160000,152430000,495860000,139007000,130024000,634867000,787297000,210691000,111352000,319617000,319617000,1106914000,-14085000,8060000,11618000,16392000,21985000,-3093000,-66543000,99313000,-1338000,97975000,53417000,53417000,53284000,-8998000,518020000,-3796000,0.22771,-0.04544,-0.03752,-0.04407,-0.01272,0.26951,3.23226,2.46325,0.46799,-0.4755,-0.4755,12.6743,10.79006,-0.12815,-0.01442,-0.00389,-36.0639,-19.02351
"36","2020_Q3",14.23453125,"Up",200496000,-157070000,43426000,-68835000,-25409000,-5772000,-5772000,-31181000,-31181000,10847000,-20334000,-20334000,-20334000,-20334000,201824000,201824000,105125000,105125000,96627000,27711000,27711000,431287000,121175000,482938000,142355000,214561000,126022000,604113000,1035400000,97796000,60878000,36918000,23873000,121669000,397818000,128596000,123527000,526414000,648083000,298608000,91018000,387317000,387317000,1035400000,-20334000,8335000,364000,37229000,25594000,-1307000,-1307000.00000001,-96752000,-5172000,-15983000,8304000.00000001,8304000.00000001,8307000.00000001,-17074000,421691000,8001000,0.21659,-0.12673,-0.10142,-0.0525,-0.01964,-0.393480000000001,3.54476,1.67326,0.40727,-0.56919,-0.56919,5.61231,10.84183,0.22397,-0.02169,0.00853,-12.8773,-8.65311999999999
"37","2020_Q4",19.668125,"Up",254030000,-193668000,60362000,-72287000,-11925000,-4706000,-4706000,-16631000,-16631000,5204000,-11427000,-11427000,-11427000,-11427000,208545000,208545000,100576000,100576000,98185000,31466000,31466000,438772000,116964000,476040000,138993000,214581000,122466000,593004000,1031776000,111767000,73969000,37798000,23376000,135143000,396636000,121989000,117632000,518625000,653768000,300633000,79591000,378008000,378008000,1031776000,-11427000,8430000,-1548000,10835000,6290000,-1009000,2004000,-1485000,-50000,-1535000,6759000,6759000,6721000,-3495000,420012000,1127000,0.23762,-0.04694,-0.04498,-0.03023,-0.01108,-0.09863,3.24672,1.72951,0.40708,-0.34358,-0.34358,7.63799,11.36568,0.03389,-0.01242,0.00122,-60.50558,-17.73308
"38","2021_Q1",29.695737704918,"Up",281674000,-222799000,58875000,-107143000,-48268000,-5344000,-5344000,-53612000,-53612000,16555000,-37057000,-37057000,-37057000,-37057000,193281000,193281000,96383000,96383000,82519000,33479000,33479000,405662000,115448000,453215000,111717000,214864000,119099000,568663000,974325000,94840000,57515000,37325000,23262000,118102000,398084000,113549000,113549000,511633000,629735000,304107000,42534000,344590000,344590000,974325000,-37057000,8451000,18799000,-1181000,-10988000,-1627000,-2122000,-1508000,-893000,-2401000,-15511000,-15511000,-15264000,-39817000,421346000,-59180000,0.20902,-0.17136,-0.13156,-0.10754,-0.03803,1.597,3.43484,1.82749,0.43245,-1.02198,-1.02198,7.76814,9.50327,-1.6321,-0.04213,-0.06729,-5.72783,-4.72497
"39","2021_Q2",31.9603174603175,"Up",280217000,-221270000,58947000,-79075000,-20128000,-4763000,-4763000,-24891000,-24891000,6970000,-17921000,-17921000,-17921000,-17921000,1.75e+08,1.75e+08,99459000,99459000,91814000,32631000,32631000,398904000,113450000,450228000,108219000,214888000,114561000,563678000,962582000,106893000,69461000,37432000,22941000,129834000,396489000,108243000,108243000,504732000,634566000,305373000,24613000,328016000,328016000,962582000,-17921000,8646000,-3348000,960000,-11663000,-2896000,-2896000,-1084000,-2642000,-3726000,-18285000,-18285000,-18281000,-11482000,419430000,-20388000,0.21036,-0.07183,-0.06395,-0.05463,-0.01862,1.13766,3.07242,1.93456,0.43573,-0.49231,-0.49231,7.6979,9.011,-0.56008,-0.02094,-0.02383,-21.2881,-12.14378
"40","2021_Q3",29.32390625,"Down",422968000,-327094000,95874000,-91215000,4659000,-4408000,-4408000,251000,251000.000000004,846999.999999999,1098000,1098000,1098000,1098000,146920000,146920000,136072000,136072000,122936000,33654000,33654000,439582000,114982000,456034000,108799000,220575000,111370000,571016000,1010598000,152918000,107918000,4.5e+07,22965000,175883000,395543000,106123000,106123000,501666000,677549000,309232000,25711000,333049000,333049000,1010598000,1098000,8657000,2793000,-24807000,-12259000,-6678000,-13843000,-1538000,-378000,-1916000,-28018000,-28018000,-28080000,13316000,418508000,-19016000,0.22667,0.01102,0.0026,0.0033,0.00109,-17.31876,2.49929,2.03438,0.41412,0.03016,0.03016,11.61944,9.14926,-0.52239,0.00128,-0.02217,20.39561,58.2932
"41","2021_Q4",32.97203125,"Up",484321000,-374346000,109975000,-99536000,10439000,-4191000,-4191000,6248000,6248000,-2792000,3456000,3456000,3456000,3456000,134217000,134217000,151720000,151720000,132802000,37759000,37759000,456498000,118143000,457371000,105696000,220376000,118909000,575514000,1032012000,161342000,108972000,52370000,22560000,183902000,394979000,114065000,114065000,509044000,692946000,311883000,29167000,339066000,339066000,1032012000,3456000,8745000,5236000,-19845000,-2408000,-8298000,-8413000,-1546000,-305000,-1851000,-12672000,-12672000,-12703000,19184000,417539000,-6167000,0.22707,0.02155,0.00714,0.01019,0.00335,-1.78443,2.48229,2.04369,0.40459,0.09372,0.09314,13.13385,9.19481,-0.16724,0.00397,-0.00708,14.76866,27.14072
"42","2022_Q1",31.4283870967742,"Down",558251000,-432562000,125689000,-109848000,15841000,-4225000,-4225000,11616000,11616000,-3172000,8444000,8444000,8444000,8444000,115155000,115155000,172540000,172540000,144491000,37774000,37774000,469960000,133622000,470213000,104743000,221775000,134315000,603835000,1073795000,175995000,118284000,57711000,21023000,197018000,394160000,132406000,132406000,526566000,723584000,314622000,37611000,350211000,350211000,1073795000,8444000,8917000,7726000,-18656000,6431000,-20929000,-23839000,-1692000,-37000.0000000002,-1729000,-19137000,-19137000,-19062000,24758000,415183000,-11655000,0.22515,0.02838,0.01513,0.02411,0.00786,-1.38027,2.38537,2.06614,0.38665,0.22898,0.22757,15.13869,9.49705,-0.31606,0.00941,-0.01298,12.11843,18.93997
"43","2022_Q2",35.1172580645161,"Up",512103000,-394590000,117513000,-111249000,6264000,-4365000,-4365000,1899000,1899000,-514000,1385000,1385000,1385000,1385000,79439000,79439000,169792000,169792000,152443000,37002000,37002000,438676000,151751000,501142000,108832000,230988000,152446000,652893000,1091569000,171365000,121444000,49921000,22806000,194171000,393565000,149408000,149408000,542973000,737144000,317326000,38996000,354425000,354425000,1091569000,1385000,9245000,5026000,-5373000,10283000,-14206000,-42206000,-1405000,-2446000,-3851000,-35774000,-35774000,-35716000,15509000,416371000,-3556000,0.22947,0.01223,0.0027,0.00391,0.00127,-2.56751,2.25923,2.07983,0.38144,0.03756,0.03314,13.88594,9.61042,-0.09642,0.00151,-0.00386,21.72493,53.78863
"44","2022_Q3",34.9453125,"Down",648104000,-492100000,156004000,-128370000,27634000,-4465000,-4465000,23169000,23169000,-6254000,16915000,16915000,16915000,16915000,51806000,51806000,208229000,208229000,181594000,36323000,36323000,477952000,155564000,503362000,118526000,237788000,142672000,658926000,1136878000,208656000,144547000,64109000,22273000,230929000,392980000,139282000,139282000,532262000,763191000,319747000,55911000,373687000,373687000,1136878000,16915000,9329000,13507000,-30253000,9498000,-9284000,-33291000,-1364000,-2518000,-3882000,-27675000,-27675000,-27633000,36963000,415253000,3680000,0.24071,0.04264,0.0261,0.04527,0.01488,0.21756,2.06969,2.04233,0.36526,0.45592,0.40223,17.46865,10.07216,0.09919,0.01822,0.00396,9.83272,13.15217
