"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",11.61453125,"Down",2.04776e+11,1.90404e+11,7.57e+09,6.802e+09,2.724e+09,4.078e+09,-1.16252e+11,-7.8424e+10,-1.1199e+10,-1.099e+09,-2.506e+09,-2.527e+09,2.1e+07,-3.605e+09,-3.605e+09,8.08e+08,-2.797e+09,-2.797e+09,-2.903e+09,-2.903e+09,9.75351e+11,2.76068e+11,1.24662e+11,1.179226e+12,2.703729e+12,1.331145e+12,5.93052e+11,5.7519e+10,2.141241e+12,3.90723e+11,-4.31e+08,1.41973e+11,9.648e+09,5.41913e+11,5.62488e+11,2.703729e+12,-2.797e+09,2.329e+09,-3.38434e+11,5.29701e+11,1.90799e+11,-6.702e+09,-9.822e+09,-2.57e+09,-3.8e+08,-1.2007e+10,1.6897e+11,1.6897e+11,1.6897e+11,1.23e+09,1.59525e+11,-0.00537,-0.01418,-0.00516000000000001,-0.00106999999999994,3.80673,0.059,-67.8861400000001,-67.1866300000001,4788.65043,12672.53936,60.09899,-0.00016000000000001,-0.885290000000026,-94.75041,106.04459
"37","2019_Q4",11.50875,"Down",-406482305000,-370561954000,-14842332000,-21078019000,-13062295000,-8015724000,220430076000,151018795000,21376423000,-13657011000,4901621000,4928621000,-2.7e+07,-8755390000,-8755390000,1952956000,-6802434000,-6802434000,-6587434000,-6587434000,1035865000,270563000,115158000,1304211000,2754671000,1550444000,457956000,50230000,2058630000,391437000,-430999.99999994,111122000,173237000,675365000,696041000,2754671000,-6802434000,-4640016000,266789316000,-434397328000,-179050462000,-15214899000,-5709687000,5131290000,761151000,5892441000,-178867708000,-178867708000,-178867708000,-18297027000,0,0.0336,0.01621,-9.46415,-2.39137,2.95763,0,-153.93837,-156.6287,-9498.87691,15.78226,-119.91049,-5.10238,0.77895,0.01479,0.01981
"38","2020_Q1",9.16322580645161,"Down",824501305000,751835954000,30122332000,42543019000,25973295000,16569724000,-499124076000,-304024795000,-44276423000,-22923989000,-9654621000,-9773621000,1.19e+08,-32578610000,-32578610000,3115044000,-29463566000,-29463566000,-29850566000,-29850566000,1011722999.99988,215468999.999969,104571999.999969,1016158000,2467218000,1434411999.99988,302278000.000061,47730999.9999924,1784421000.00024,391856000,-431000,100393999.999985,170250999.999999,662070000,682797000.000061,2467218000,-29463566000,11988016000,-21368315999.9999,187631328000,148787462000,-12291101000,-33921313000,-10272290000,-1522151000,-12090441000,102775708000,102775708000,102775708000,-10935973000,-1.52587890625e-05,-0.0278,-0.0362,-43.71807,-12.09888,2.6134,0,-697.41768,-697.41768,19263.34616,15.4683599999999,239.99802,-9.04333,-0.344120000000006,0.019699999999974,0.00940000000005659
"39","2020_Q2",7.43904761904762,"Down",176304000,191596000,6917000,-22209000,-26524000,4315000,-102837000,-77176000,-9704000,-13413000,-2391000,-2419000,28000,-15804000,-15804000,3288000,-12516000,-12516000,-12723000,-12723000,995266000,218355000,104882000,978301000,2331759000,1375661000,227925000,63380000,1666966000,392556000,-431000,84838000,167129000,644092000,664793000,2331759000,-12516000,2510000,66956000,-62049000,-5099000,64976000,3407000,-2571000,-381000,-2952000,-4644000,-4644000,-4644000,-10903000,0,-0.07608,-0.07217,-0.01914,-0.00546,2.5075,0,-0.29723,-0.29723,4.11872,15.04694,0.06006,-0.00483,-0.20207,20.02706,16.27936
"40","2020_Q3",7.08765625,"Down",216396999.999756,185482000,5906999.99999619,25007999.9999924,20611000,4396999.99999619,-101693000,-68694000,-13976999.9999924,32033000,-2550999.99999809,-2565000,14000,29482000,29482000,-5040000.00000095,24442000,24442000,24274000,24274000,1.158304e+12,2.29631e+11,1.20182e+11,1.284366e+12,2.830432e+12,1.443602e+12,5.9442e+11,8.4553e+10,2.280915e+12,3.92637e+11,-4.31e+08,1.06534e+11,2.9527e+10,5.28267e+11,5.49517e+11,2.830432e+12,24442000,2236000,-355702999.999985,468919999.999939,139895000,41560000.0000038,-111315999.999992,-2578000.00000191,-381000,-29422000,-843000,-843000,-843000,34269000,1.5834e+11,0.14803,0.11217,3.99999999986418e-05,1.00000000007525e-05,4.15076,0.05594,0.566340000000095,0.560889999999985,5.0488200000014,12325.14288,0.0601500000000001,1.00000000015097e-05,0.1062,-2080.335,-2225.54865
"41","2020_Q4",4.7071875,"Down",605041299000,565441922000,18821176000,20778201000,7508913000,13269288000,-422977470000,-223683130000,-38140319000,-79759620000,-7129058000,-7189016000,59958000,-86888678000,-86888678000,24934752000,-61953926000,-61953926000,-62532551000,-62532551000,1101279000,323314000,119089000,1486225000,3064787000,1854085000,505873000,71388000,2431346000,392758000,-431000.000000119,29881000,189775000,611983000,633441000,3064787000,-61953926000,7870254000,-3053253000,221594129000,164457204000,-30162536000,-66034091000,-7724851000,-1142238000,-8926626000,89496487000,89496487000,89496487000,-71889366000,0,-0.13183,-0.10335,-98.71882,-20.40356,3.83831,0,-1457.85128,-1472.15617,14105.61731,14.26745,180.09315,-21.41834,-0.12353,0.0045,0.00405
"42","2021_Q1",5.99180327868852,"Up",2.41222e+11,1.99844e+11,5.291e+09,3.6087e+10,3.1626e+10,4.461e+09,-1.85134e+11,-8.423e+10,-1.4712e+10,-4.2854e+10,-2.374e+09,-2.388e+09,1.4e+07,-4.5228e+10,-4.5228e+10,1.1672e+10,-3.3556e+10,-3.3556e+10,-3.3933e+10,-3.3933e+10,9.95051e+11,2.3942e+11,7.4414e+10,1.41853e+12,2.848941e+12,1.813904e+12,4.10721e+11,4.8676e+10,2.273301e+12,3.93126e+11,-4.31e+08,-6.635e+09,1.67734e+11,5.53794e+11,5.7564e+11,2.848941e+12,-3.3556e+10,3.171e+09,-3.4253e+10,-1.10425e+11,-1.75063e+11,1.16932e+11,1.02708e+11,-2.583e+09,-8.6e+07,-2.695e+09,-7.505e+10,-7.505e+10,-7.505e+10,-3.9683e+10,1.52587890625e-05,-0.17765,-0.14067,-0.0589500000000243,-0.0119100000000003,3.94917,6.93889390390723e-18,-791.04223,-791.04223,5623.33979,12909.98264,60.2146,-0.0128599999999999,-0.07612,6.03331000000002,5.58688000000006
"43","2021_Q2",5.81428571428571,"Down",1.61789e+11,1.45949e+11,3.583e+09,1.2257e+10,3.067e+09,9.19e+09,-1.15781e+11,-5.6703e+10,-1.3222e+10,-2.3917e+10,-2.365e+09,-2.375e+09,1e+07,-2.6282e+10,-2.6282e+10,7.822e+09,-1.846e+10,-1.846e+10,-1.7771e+10,-1.7771e+10,936756000,228454000,71747000,1454704000,2803324000,1896704000,307157000,62075000,2265936000,393386000,-430999.999999881,-27001000,150505000,516459000,537388000,2803324000,-1.846e+10,3.207e+09,-1.2873e+10,-3.8526e+10,-6.6652e+10,3.5832e+10,4.098e+10,-2.595e+09,-6.75e+08,-3.27e+09,-2.8942e+10,-2.8942e+10,-2.8942e+10,-2.071e+10,0,-0.14783,-0.10984,-33.06922,-6.33926,4.21657,0,-414.25702,-414.25702,3771.43828,12.0391,60.49164,-6.07972,-0.14602,0.01103,0.00955
"44","2021_Q3",3.86921875,"Down",1.55454e+11,1.4546e+11,3.683e+09,6.311e+09,2.314e+09,3.997e+09,-1.18064e+11,-5.4439e+10,-1.3482e+10,-3.0531e+10,-2.242e+09,-2.257e+09,1.5e+07,-3.2773e+10,-3.2773e+10,9.352e+09,-2.3421e+10,-2.3421e+10,-2.351e+10,-2.351e+10,932359000,276382000,86858000,1723918000.00024,3148672000,1885279000,681074000,64743000,2631096000,393528000,-431000,-53102000.0000019,156491999.999969,496487000.000122,517576000,3148672000,-2.3421e+10,3.048e+09,-1.0234e+10,6.8998e+10,3.8391e+10,3.0625e+10,1.1198e+10,2.595e+09,-3.81e+08,-2.972e+09,4.6617e+10,4.6617e+10,4.6617e+10,-2.7483e+10,0,-0.1964,-0.15123,-45.42328,-7.46664,5.0835,-8.67361737988404e-19,-548.03796,-548.03796,3623.76408,11.5735299999997,-60.49164,-10.57911,0.11038,0.0100600000000047,0.00904999999999761
"45","2021_Q4",4.18875,"Up",1.6274e+11,1.53271e+11,3.471e+09,5.998e+09,2.244e+09,3.754e+09,-1.02769e+11,-6.0865e+10,-1.5429e+10,-1.6323e+10,-2.277e+09,-2.378e+09,1.01e+08,-1.86e+10,-1.86e+10,3.482e+09,-1.5118e+10,-1.5118e+10,-1.4322e+10,-1.4322e+10,9.41998e+11,1.88275e+11,7.7679e+10,2.025495e+12,3.328586e+12,2.227413e+12,5.44436e+11,5.8929e+10,2.830778e+12,3.93848e+11,-4.31e+08,-7e+10,1.54146e+11,4.77563e+11,4.97808e+11,3.328586e+12,-1.5118e+10,2.79e+09,-2.72e+09,-6.6235e+10,-8.1283e+10,-4.6191e+10,-1.4154e+10,-7.762e+09,-8.7e+07,-2.679e+09,-9.8116e+10,-9.8116e+10,-9.8116e+10,-1.3533e+10,0,-0.1003,-0.08801,-0.02877,-0.0043,5.68649,0,-333.2732,-333.2732,3786.96271,11112.89954,180.62188,-0.00236,-0.54196,13.91229,11.53434
"46","2022_Q1",3.73322580645161,"Down",1.54544e+11,1.45081e+11,3.035e+09,6.428e+09,-8.21e+08,7.249e+09,-8.552e+10,-5.8779e+10,-1.4124e+10,-3.879e+09,-2.323e+09,-2.381e+09,5.8e+07,-6.202e+09,-6.202e+09,3.333e+09,-2.869e+09,-2.869e+09,-2.316e+09,-2.316e+09,7.19566e+11,2.12024e+11,3.852e+10,1.617736e+12,2.698573e+12,1.72939e+12,4.39407e+11,4.1258e+10,2.366616e+12,3.94272e+11,-4.31e+08,-7.4904e+10,-6530999999.99994,3.12406e+11,3.31957e+11,2.698573e+12,-2.869e+09,2.723e+09,-1.245e+09,-1.84456e+11,-1.85847e+11,2.06056e+11,2.13353e+11,-2.588e+09,-6.74e+08,-3.285e+09,2.4221e+10,2.4221e+10,2.4221e+10,-1.156e+09,1.56561e+11,-0.0251,-0.01499,-0.00698000000000069,-0.000859999999999668,7.12928,0.05802,-53.89336,-53.89336,3596.24164,7269.6932,60.22281,0.000119999999999371,-1.11744,47.97837,14.29827
"47","2022_Q2",2.12177419354839,"Down",1.02366e+11,1.00857e+11,2.478e+09,-9.69e+08,-4.037e+09,3.068e+09,-9.1368e+10,-4.2021e+10,-1.2248e+10,-4.3271e+10,-1.036e+09,-2.379e+09,1.343e+09,-4.4307e+10,-4.4307e+10,1.105e+10,-3.3257e+10,-3.3257e+10,-3.3172e+10,-3.3172e+10,6.17842e+11,2.57871e+11,4.5713e+10,1.402663e+12,2.429455e+12,1.572423e+12,3.74523e+11,4.9366e+10,1.996312e+12,3.94724e+11,-4.31e+08,-1.10665e+11,1.30607e+11,4.14235e+11,4.33143e+11,2.429455e+12,-3.3257e+10,2.606e+09,-1.996e+09,1.1754e+10,-2.0893e+10,6.953e+10,6.9458e+10,-2.589e+09,-3.81e+08,-2.97e+09,4.5595e+10,4.5595e+10,4.5595e+10,-4.0665e+10,0,-0.42271,-0.32405,-0.07658,-0.01365,4.6089,0,-771.91303,-771.91303,2382.05865,9639.25585,60.24608,-0.01488,-0.07805,6.34135,5.95944
"48","2022_Q3",1.06296875,"Down",1.15793e+11,1.11405e+11,3.14e+09,1.248e+09,-5.162e+09,6.41e+09,-9.0074e+10,-4.3482e+10,-1.3019e+10,-3.0782e+10,-2.123e+09,-2.394e+09,2.71e+08,-3.2905e+10,-3.2905e+10,-3.615e+10,-6.9055e+10,-6.9055e+10,-6.9029e+10,-6.9029e+10,5.81233e+11,2.83785e+11,7.7191e+10,1.422409e+12,2.494054e+12,1.509591e+12,6.15212e+11,4.6311e+10,2.171114e+12,3.94906e+11,-4.31e+08,-1.78642e+11,1.07107e+11,3.2294e+11,3.2294e+11,2.494054e+12,-6.9055e+10,2.436e+09,4.2478e+10,5.332e+10,2.9179e+10,1.3507e+10,1.5809e+10,2.589e+09,-3.8e+08,-1.8715e+10,2.6273e+10,2.6273e+10,2.6273e+10,-2.8346e+10,0,-0.26584,-0.59614,-0.21375,-0.02768,6.72296,-1.38777878078145e-17,-1603.48988,-1603.48988,2689.78117,7501.64457,-60.14045,-0.03812,0.03751,10.01147,9.21919
