"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",30.6745901639344,"Up",78085000,-28648000,49437000,-36267000,-31651000,-14252000,-17399000,-4616000,13170000,142000,142000,13312000,12777000,-1825000,8417000,8417000,8417000,8417000,179205000,179205000,7136000,7136000,4792000,4792000,191133000,95249000,40175000,6276000,147905000,339038000,23977000,8844000,13423000,19374000,19374000,43351000,6281000,6281000,6281000,49632000,180837000,163000,180674000,108569000,289406000,289406000,339038000,8417000,8417000,4616000,2145000,2145000,3501000,18679000,-8253000,-5548000,-185000,-183000,-185000,12946000,12946000,12946000,17786000,5.55111512312578e-17,14859000,0.63312,0.16866,0.10779,0.02908,0.02483,1.76536,4.40896,0.1715,5.16987882845642e-26,0.51745,0.5112,4.80039,17.79165,0.91348,6,0.02847,0.05025,-10.07562,-13.60706
"33","2018_Q2",41.8109375,"Up",74967000,-29686000,45281000,-38991000,-34469000,-15581000,-18888000,-4522000,6290000,493000,493000,6783000,6655000,-1865000,4589000,4589000,4589000,4589000,186168000,186168000,7924000,7924000,7409000,7409000,201501000,90247000,42203000,8304000,144730000,346231000,23364000,4952000,15744000,21957000,21957000,45321000,7131000,7131000,7131000,52452000,180899000,164000,180735000,112880000,293779000,293779000,346231000,4589000,4589000,4522000,3060000,3060000,-1927000,10244000,-1666000,-1666000,-1615000,-1615000,-1615000,6963000,6963000,6963000,10812000,0,9084000,0.60401,0.0839,0.06121,0.01562,0.01325,1.97952,4.44608,0.17854,0,0.2805,0.27755,4.58233,17.95715,0.55526,4,0.01525,0.03019,-17.21865,-29.59746
"34","2018_Q3",38.2873015873016,"Down",72798000,-28967000,43831000,-35225000,-30878000,-13284000,-17594000,-4347000,8606000,661000,661000,9267000,8709000,-2280000,6458000,6458000,6458000,6458000,193597000,193597000,6999000,6999000,9768000,6312000,210364000,87460000,41605000,7706000,141374000,351738000,21442000,6546000,14896000,19934000,19934000,41376000,7253000,7253000,7253000,48629000,183771000,164000,183607000,119338000,303109000,303109000,351738000,6458000,6458000,4347000,2469000,2469000,-3952000,9322000,-1893000,-1893000,0,-2.3283064365387e-10,0,7429000,7429000,7429000,12953000,-8.88178419700125e-16,9388000,0.60209,0.11822,0.08871,0.02131,0.01836,1.4537,5.0842,0.16043,1.65436122510606e-24,0.39359,0.38699,4.43674,18.47324,0.57216,6,0.02081,0.03025,-14.94611,-22.49558
"35","2018_Q4",30.6552380952381,"Down",72992000,-28186000,44806000,-37726000,-33437000,-14139000,-19298000,-4289000,7080000,774000,774000,7854000,7658000,-1848000,5499000,5499000,5499000,5499000,197596000,197596000,13274000,13274000,8861000,5664000,219731000,84849000,41447000,7548000,138294000,358025000,18770000,4303000,14467000,22191000,22191000,40961000,7013000,7013000,7013000,47974000,185214000,164000,185050000,124837000,310051000,310051000,358025000,5499000,5499000,4289000,2372000,2372000,-6171000,5989000,-1790000,-1790000,-2e+05,-2e+05,-2e+05,3999000,3999000,3999000,11369000,0,5256000,0.61385,0.097,0.07534,0.01774,0.01536,0.95581,5.3644,0.15473,0,0.33481,0.33006,4.44411,18.87741,0.32001,6,0.01734,0.01658,-17.38024,-27.90904
"36","2019_Q1",30.8277049180328,"Up",76930000,-28441000,48489000,-37057000,-32714000,-14038000,-18676000,-4343000,11432000,987000,987000,12419000,12419000,-3294000,9093000,9093000,9093000,9093000,212131000,212131000,14059000,14059000,6380000,5482000,232570000,86881000,39541000,5642000,138388000,370958000,26018000,9110000,16908000,18310000,18310000,44328000,5364000,5364000,5364000,49692000,187336000,164000,187172000,133930000,321266000,321266000,370958000,9093000,9093000,4343000,61000.0000000005,61000,5127000,18624000,-4081000,-4081000,-7999.99999999988,-8000,-8000.00000000023,14535000,14535000,14535000,15775000,1.4210854715202e-14,20115000,0.6303,0.1486,0.1182,0.0283,0.02451,2.21214,5.24657,0.15468,0,0.55366,0.54601,4.68413,19.5613,1.22477,4,0.02784,0.06158,-13.44729,-18.5559
"37","2019_Q2",30.6247619047619,"Down",73441000,-27915000,45526000,-38163000,-34112000,-15047000,-19065000,-4051000,7363000,1053000,1053000,8416000,2435000,63000,1011000,1011000,1011000,1011000,215928000,215928000,14103000,14103000,8413000,6692000,238444000,84156000,44668000,16624000,139303000,377747000,17582000,2403000,15179000,22948000,21023000,40530000,15764000,6076000,15764000,56294000,186512000,166000,186346000,134941000,321453000,321453000,377747000,1011000,1011000,4051000,9906000,9906000,-7073000,7895000,-1585000,-1585000,-2513000,-2513000,-2513000,3797000,3797000,3797000,11414000,0,2693000,0.6199,0.10026,0.01377,0.00315,0.00268,2.6637,5.88315,0.17512,0,0.06115,0.06068,4.44203,19.44287,0.16288,5,0.003,0.00799,-18.91782,-29.32609
"38","2019_Q3",27.44875,"Down",70560000,-28725000,41835000,-36153000,-32210000,-14087000,-18123000,-3943000,5682000,1135000,1135000,6817000,6813000,-1898000,4921000,4921000,4921000,4921000,220833000,220833000,6413000,6413000,12705000,7943000,239951000,81666000,43982000,15938000,136133000,376084000,21174000,4923000,16251000,21017000,19054000,42191000,15437000,6255000,15437000,57628000,188142000,163000,187979000,130314000,318456000,318456000,376084000,4921000,4921000,3943000,1832000,1832000,5129000,15825000,-1372000,-1372000,-9548000,-9548000,-9548000,4905000,4905000,4905000,9625000,0,15280000,0.5929,0.08053,0.06974,0.01545,0.01308,3.10506,5.68726,0.18096,2.11758236813575e-22,0.29805,0.29502,4.27357,19.28774,0.92546,5,0.01474,0.04576,-22.94369,-38.86536
"39","2019_Q4",24.434375,"Down",67888000,-27268000,40620000,-41658000,-37894000,-15873000,-22021000,-3764000,-1038000,1019000,1019000,-19000,-1894000,239000,-1638000,-1638000,-1638000,-1638000,210103000,210103000,7942000,7942000,11965000,6316000,230010000,78674000,41920000,15357000,131096000,361106000,23088000,3965000,19123000,22609000,20608000,45697000,14631000,5963000,14631000,60328000,189847000,156000,189691000,110931000,300778000,300778000,361106000,-1638000,-1638000,3764000,3299000,3299000,2791000,8216000,-1194000,-1194000,-17752000,-17752000,-17752000,-10730000,-10730000,-10730000,2726000,0,4084000,0.59834,-0.01529,-0.02413,-0.00545,-0.00454,-2.49328,5.03337,0.20057,0,-0.10263,-0.10162,4.25337,18.84456,0.25587,3,-0.00519,0.01295,-77.07373,202.41137
"40","2020_Q1",24.3422580645161,"Down",74381000,-28008000,46373000,-37732000,-33894000,-15021000,-18873000,-3838000,8641000,701000,701000,9342000,9310000,-3591000,5719000,5719000,5719000,5719000,202740000,202740000,11325000,11325000,8844000,7087000,222909000,78495000,42991000,16428000,131988000,354897000,25569000,3546000,22023000,19709000,17426000,45278000,12886000,3391000,12886000,58164000,190772000,152000,190620000,105961000,296733000,296733000,354897000,5719000,5719000,3838000,-1549000,-1549000,-1574000,6434000,-3104000,-3104000,-10693000,-10693000,-10693000,-7363000,-7363000,-7363000,12479000,3.63797880709171e-12,11392000,0.62345,0.11617,0.07689,0.01927,0.01611,1.99196,4.92312,0.19601,-3.3881317890172e-21,0.38066,0.37834,4.95081,19.7506,0.75825,4,0.01847,0.03679,-16.24649,-23.46256
"41","2020_Q2",27.9834920634921,"Up",74616000,-29230000,45386000,-42527000,-39189000,-18186000,-21003000,-3338000,2859000,702000,702000,3561000,3395000,-974000,2420000,2420000,2420000,2420000,196839000,196839000,6497000,6497000,12169000,9489000,215505000,76366000,42887000,16324000,129754000,345259000,23445000,5006000,18439000,22306000,19974000,45751000,14159000,5269000,14159000,59910000,190571000,148000,190423000,94778000,285349000,285349000,345259000,2420000,2420000,3338000,3801000,3801000,1963000,11522000,-1869000,-1869000,-15554000,-15554000,-15554000,-5901000,-5901000,-5901000,6197000,0,7265000,0.60826,0.03832,0.03243,0.00848,0.00701,3.00207,4.71039,0.20995,0,0.16108,0.1601,4.96645,18.99288,0.48356,6,0.00808,0.02426,-31.7636,-68.8489
"42","2020_Q3",30.39640625,"Up",82127000,-30744000,51383000,-42184000,-38793000,-17056000,-21737000,-3391000,9199000,179000,179000,9378000,9220000,-2532000,6689000,6689000,6689000,6689000,216038000,216038000,6922000,6922000,12027000,9426000,234987000,74079000,42133000,15570000,126714000,361701000,30690000,5034000,25656000,23162000,20783000,53852000,14238000,5961000,14238000,68090000,192144000,148000,191996000,101467000,293611000,293611000,361701000,6689000,6689000,3391000,2426000,2426000,7717000,20223000,-1024000,-1024000,0,0,1.86264514923096e-09,19199000,19199000,19199000,12590000,2.91038304567337e-11,21815000,0.62565,0.11201,0.08145,0.02278,0.01849,3.26132,4.36357,0.23191,2.71050543121376e-20,0.45227,0.44784,5.55287,19.85199,1.47498,7,0.02173,0.07086,-17.15949,-23.48494
"43","2020_Q4",30.7465625,"Up",79133000,-31084000,48049000,-44323000,-41097000,-18523000,-22574000,-3226000,3726000,121000,121000,3847000,3429000,-785000,2642000,2642000,2642000,2642000,228009000,228009000,9560000,9560000,10063000,7563000,247632000,70930000,41137000,14574000,122567000,370199000,31828000,4489000,27339000,27965000,25491000,59793000,12362000,5365000,12362000,72155000,193935000,148000,193787000,104109000,298044000,298044000,370199000,2642000,2642000,3226000,1780000,1780000,5340000,12988000,-866000,-866000,-151000,-151000,-151000,11971000,11971000,11971000,6952000,0,12211000,0.60719,0.04709,0.03339,0.00886,0.00714,4.62188,4.14149,0.2421,0,0.17856,0.176,5.34827,20.14355,0.82529,7,0.00851,0.03934,-32.79761,-61.19404
"44","2021_Q1",31.3077049180328,"Up",85909000,-31103000,54806000,-44982000,-41953000,-19224000,-22729000,-3029000,9824000,90000,90000,9914000,9805000,-2729000,7071000,7071000,7071000,7071000,227686000,227686000,17652000,17652000,6472000,6472000,251810000,68434000,50774000,20490000,119208000,371018000,30562000,3757000,26627000,24496000,22104000,55058000,9035000,2580000,9035000,64093000,195745000,148000,195597000,111180000,306925000,306925000,371018000,7071000,7071000,3029000,-861000,-861000,-9162000,77000.0000000019,-4e+05,-399999.999999999,3.72529029846191e-09,0,3.72529029846191e-09,-323000.000000007,-323000.000000007,-323000.000000007,12853000,0,6020000,0.63795,0.11435,0.08231,0.02304,0.01906,0.85136,4.57354,0.20882,-4.33680868994202e-19,0.43619,0.43058,5.29943,18.93313,0.37135,5,0.02238,0.01905,-17.71462,-23.17651
"45","2021_Q2",30.194126984127,"Down",88541000,-32319000,56222000,-45577000,-42926000,-19402000,-23524000,-2651000,10645000,114000,114000,10759000,10751000,-2639000,8107000,8107000,8107000,8107000,320816000,320816000,13442000,13442000,9298000,9298000,343556000,67136000,42017000,15454000,119643000,463199000,26649000,2681000,22885000,23841000,21676000,50490000,12065000,4226000,12065000,62555000,281357000,187000,281170000,119287000,400644000,400644000,463199000,8107000,8107000,2651000,3842000,3842000,-3374000,11226000,-1528000,-1528000,83432000,-2773000,83432000,93130000,93130000,93130000,13296000,0,11033000,0.63498,0.12023,0.09156,0.02023,0.0175,1.36092,6.80444,0.15614,0,0.50009,0.49367,5.46179,24.71433,0.68059,7,0.01964,0.02673,-24.12876,-30.13772
"46","2021_Q3",27.39140625,"Down",78014000,-30394000,47620000,-45471000,-42947000,-17490000,-25457000,-2524000,2149000,24000,24000,2173000,1999000,-646000,531000,531000,531000,531000,316953000,316953000,18949000,18949000,14565000,9466000,350467000,65823000,42958000,16395000,118449000,468916000,30562000,3047000,27515000,23768000,21625000,54330000,11461000,4228000,11461000,65791000,283307000,187000,283120000,119818000,403125000,403125000,468916000,531000,530999.999999999,2524000,2983000,2983000,-8366000,-2328000,-1500000,-1500000.00000001,-35000,-39000.0000000005,-35000.0000000149,-3863000,-3863000,-3863000,4673000,-3.72529029846191e-09,-4547000,0.6104,0.02755,0.00681,0.00132,0.00113,-8.56309,6.45071,0.1632,-6.93889390390723e-18,0.0284,0.02812,4.17254,21.56095,-0.24319,2,0.00128,-0.01097,-67.82645,-147.4886
"47","2021_Q4",23.76140625,"Down",98248000,-42544000,55704000,-54442000,-50056000,-22936481.9276981,-27302045.5625711,-4386000,1262000,-1305000,-1305000,-43000,-43000,-224000,-267000,-267000,-267000,-267000,141487000,141487000,29447000,29447000,18974000,13152000,189908000,102565000,421046000,88344000,533279000,723187000,41513000,9066000,32447000,39866000,25990000,90129000,75284000,1864000,228620000,318749000,284887000,187000,284700000,119551000,404438000,404438000,723187000,-267000,17524416.7875628,4386000,2871000,-17550688.6617893,-15309000,-8319000,-2785000,-328294000,-224000,-220000,161147000,-175466000,-175466000,-175466000,5648000,162086000,-12222000,0.56697,0.01285,-0.00272,-0.00066,-0.00037,45.77528,2.10707,0.78813,0.22413,-0.01427,-0.01417,5.24997,21.61152,-0.65309,0,-0.00042,-0.01904,3.64713,16.3225
"48","2022_Q1",21.0651612903226,"Down",1.54e+08,-67365000,86635000,-69038000,-60767000,-32651388.4994442,-28694565.3579998,-8271000,17597000,-3110000,-3110000,14487000,13387000,-4002000,9381000,9381000,9381000,9381000,149627000,149627000,36026000,36026000,16984000,11681000,202637000,102417000,420554000,91986000,522971000,725608000,39447000,9531910.89939876,39447000,35481000,28179244.0997159,83678000,74547000,5059000,226318000,309996000,286572000,188658.305593149,287472068.470112,128932000,415612000,415612000,725608000,9381000,33646937.9557218,8271000,6501000,-30937556.4211387,-8467000,15686000,-5343000,-5343000,0,-1.16415321826935e-10,-2203000,8140000.00000003,8140000.00000003,8140000.00000003,25868000,160521000,16060000,0.56256,0.11427,0.06092,0.02257,0.01293,1.71197,2.42163,0.74588,0.22122,0.44296,0.44092,7.2717,19.6247,0.75833,4,0.01442,0.02468,0.421139999999997,0.619079999999979
"49","2022_Q2",17.0396774193548,"Down",154747000,-71698000,83049000,-77056000,-68908000,-39319000,-29589000,-8148000,5993000,-3355000,-3355000,2638000,6378000,-1040000,5333000,5333000,5333000,5333000,170943000,170943000,33664000,33664000,20293000,15527000,224900000,100052000,446458000,120371000,546510000,771410000,42616000,11273000,31343000,42336000,27920000,93702000,104315000,7456000,254527000,348229000,287484000,189000,287295000,134265000,423181000,423181000,771410000,5333000,5333000,8148000,181000,181000,11593000,25255000,-2211000,-2495000,-1444000,-1444000,-1444000,21316000,21316000,21316000,14141000,158962000,24563000,0.53668,0.03873,0.03446,0.0126,0.00691,4.60585,2.40016,0.82288,0.20607,0.285,0.28286,8.26993,22.61549,1.31269,4,0.00777,0.03578,-0.84725,-1.99917
"50","2022_Q3",12.41875,"Down",149608000,-72089000,77519000,-73888000,-65769000,-35846000,-29923000,-8119000,3631000,-3390000,-3390000,241000,-145355000,35332000,-110029000,-110029000,-110029000,-110029000,184519000,184519000,26820000,26820000,19397000,14632000,230736000,100164000,331168000,125398000,431332000,662068000,44214000,26550000,17664000,42091000,27389000,95055000,102366000,1796143.97765917,251011000,346066000,289824000,189000,289635000,24236000,316002000,316002000,662068000,-110029000,-110029000,8119000,112609000,112609000,9437000,20136000,-4333000,-6550000,-10000,-10000,-10000,13576000,13576000,13576000,11750000,157395000,-18478000,0.51815,0.02427,-0.73545,-0.34819,-0.16619,0.167939999999998,2.42739,1.09514,0.23773,-5.88013,-5.83584,7.9953,16.88767,-0.98749,4,-0.1911,-0.03209,-2.30843,-7.47012
