"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",10.2336507936508,"Up",55686000,-35829000,19857000,-15823000,-15773000,4034000,-201000,-303000,-303000,102000,3833000,3811000,316000,4127000,4127000,4127000,4127000,3005000,3005000,39295000,39295000,60840000,4405000,4362000,107545000,22971000,81580000,62001000,1489000,104551000,212096000,21752000,21504000,21793000,3654000,101000,26309000,48102000,487822000,-17124000,-307378000,674000,163994000,163994000,212096000,4127000,2071000,673000,-7174000,-303000,-333000,-333000,6591000,1092000,456000,456000,-22000,434000,6105000,22696000,-1718000,0.35659,0.07244,0.07411,0.02517,0.01946,-0.41628,4.93484,0.29332,0.10701,0.13852,0.13547,1.869,5.50418,-0.05766,0.02557,-0.00903,3.22539,4.88126
"34","2019_Q1",11.0480327868852,"Up",57307000,-36889000,20418000,-16579000,-16459000,3839000,-709000,-319000,-319000,-390000,3130000,3079000,469000,3548000,3548000,3548000,3548000,2486000,2486000,35943000,35943000,64933000,5139000,5115000,108501000,23401000,81226000,61110000,2026000,104627000,213128000,21699000,21489000,21740000,3078000,159000,25183000,46923000,488407000,-18102000,-304577000,477000,166205000,166205000,213128000,3548000,2080000,122000,-1969000,3781000,-1510000,-1885000,-549000,-2274000,-378000,-378000,-141000,-519000,5919000,22146000,1971000,0.35629,0.06699,0.06191,0.02135,0.01665,0.55552,4.99085,0.28232,0.10391,0.11865,0.11597,1.91645,5.5582,0.06591,0.02244,0.0103,3.32151,5.12113
"35","2019_Q2",13.0946031746032,"Up",61218000,-39162000,22056000,-17626000,-17580000,4430000,-333000,-310000,-140921.984098358,-23000,4097000,4084000,-297000,3787000,3787000,3787000,3787000,2522000,2522000,37634000,37634000,62091000,5245000,5245000,107492000,23163000,81506000,60116000,3300000,104669000,212161000,20482000,20293000,20482000,3839000,860000,22110000,42592000,489192000,-18102000,-301536000,15000,169569000,169569000,212161000,3787000,1992000,1201000,-1275000,5705000,-1045000,-1045000,-3822000,-4568000,92000,92000,-56000,36000,6422000,18271000,4399000,0.36029,0.07236,0.06186,0.02233,0.01785,1.16161,5.24812,0.25118,0.08612,0.12705,0.12322,2.05378,5.6888,0.14758,0.02365,0.02295,2.45235,3.55508
"36","2019_Q3",12.1990625,"Down",46994000,-31002000,15992000,-17233000,-17192000,-1241000,-132000,-315000,7513.67905665329,183000,-1373000,-1373000,679000,-694000,-694000,-694000,-694000,1969000,1969000,32545000,32545000,73024000,4875000,4475000,112413000,23007000,81284000,59297000,3897000,104291000,216704000,28373000,28373000,28373000,3741000,1012000,20391000,48764000,490779000,-19607000,-302978000,-254000,167940000,167940000,216704000,-694000,2027000,931000,1703000,3967000,-948000,-948000,-1621000,-3627000,-608000,-608000,55000,-553000,786000,16650000,862000,0.3403,-0.02641,-0.01477,-0.00413,-0.0032,-1.24207,3.96197,0.29037,0.07683,-0.02316,-0.02216,1.56857,5.60551,0.02877,0.000289999999999999,0.00458,18.67812,-11.82998
"37","2019_Q4",12.1565625,"Down",60203000,-39646000,20557000,-16480000,-16443000,4077000,-773000,-353000,-353000,-420000,3304000,3304000,188000,3492000,3492000,3492000,3492000,1851000,1851000,41717000,41717000,73535000,5171000,5171000,122274000,22640000,80034000,58196000,3748000,102674000,224948000,28275000,28275000,28275000,2941000,797000,27849000,56124000,491549000,-22269000,-300235000,-221000,168824000,168824000,224948000,3492000,1978000,332000,-9839000,-4037000,-825000,-825000,8258000,4816000,-46000,-46000,-72000,-118000,6055000,24908000,-4797000,0.34146,0.06772,0.058,0.02068,0.01552,-1.37371,4.32446,0.33244,0.11073,0.11665,0.11215,2.01114,5.63973,-0.16025,0.02156,-0.02439,3.80793,5.65538
"38","2020_Q1",11.9138709677419,"Down",61022000,-39336000,21686000,-17341000,-17465000,4345000,-213000,-380000,-1005000,167000,4132000,3966000,8421000,12387000,12387000,12387000,12387000,1703000,1703000,41628000,41628000,73432000,4109000,3787000,120872000,22919000,86474000,57446000,3034000,109393000,230265000,24564000,24304000,24564000,1839000,615000,24509000,49073000,492356000,-22269000,-288592000,-303000,181192000,181192000,230265000,12387000,2105000,-7437000,-3168000,3887000,-1278000,-1278000,-2238000,-2907000,-298000,-298000,150000,-148000,6450000,22670000,-6417000,0.35538,0.0712,0.20299,0.06836,0.05379,-0.518040000000004,4.9207,0.27083,0.09845,0.41544,0.3991,2.04658,6.0769,-0.21522,0.06384,-0.0312,3.2507,4.82555
"39","2020_Q2",10.0190476190476,"Down",53555000,-35043000,18512000,-17620000,-17370000,892000,-842000,-311000,-311000,-531000,50000,50000,-14000,36000,36000,36000,36000,12796000,12796000,38834000,38834000,69084000,6207000,5881000,126921000,22781000,85414000,56576000,3100000,108195000,235116000,19905000,19817000,19905000,1639000,451000,33702000,53607000,492969000,-22269000,-289300000,109000,181509000,181509000,235116000,36000,1889000,862000,712000,3499000,-1299000,-1299000,9393000,8649000,10849000,10849000,244000,11093000,2781000,32063000,2208000,0.34566,0.01666,0.00067,2e-04,0.00015,61.33333,6.37634,0.29534,0.13637,0.00121,0.00116,1.79597,6.08692,0.07405,0.00362,0.01026,6.92808,21.59978
"40","2020_Q3",12.3415625,"Up",30014000,-19378000,10636000,-14493000,-14493000,-3857000,149000,-257000,-257000,406000,-3708000,-3888000,1145000,-2743000,-2743000,-2743000,-2743000,21538000,21538000,23895000,23895000,72514000,4750000,4363000,122697000,22720000,85316000,55913000,2570000,108036000,230733000,19247000,19151000,23247000,1405000,334000,27926000,51173000,494796000,-22406000,-292757000,-73000,179560000,179560000,230733000,-2743000,1913000,-197000,11970000,10943000,-719000,-719000,-1568000,-1252000,8972000,8972000,-230000,8742000,-1944000,30521000,8162000,0.35437,-0.12851,-0.09139,-0.01528,-0.01189,-2.97557000000001,5.27797,0.28499,0.13228,-0.0921799999999999,-0.096,1.00859,6.03391,0.27427,-0.01297,0.03859,-4.62088,-2.32901
"41","2020_Q4",15.031875,"Up",64491000,-42822000,21669000,-18674000,-18674000,2995000,217000,-232000,-232000,449000,3212000,1772000,-589000,1183000,1183000,1183000,1183000,17027000,17027000,42582000,42582000,64897000,5076000,4544000,129582000,22691000,115565000,55382000,33365000,138256000,267838000,29646000,29157000,33646000,1843000,624000,38905000,72551000,511335000,-23789000,-292393000,134000,195287000,195287000,267838000,1183000,1893000,4708000,-1178000,6606000,-1261000,-31761000,10426000,20559000,-4596000,-4596000,85000,-4511000,4888000,41062000,3038000,0.336,0.04644,0.01834,0.00606,0.00442,2.56805,3.85133,0.37151,0.15331,0.03945,0.03945,2.15085,6.51304,0.10132,0.00497,0.01275,4.91714,8.02504
"42","2021_Q1",16.8326229508197,"Up",75947000,-48969000,26978000,-20641000,-20891000,6337000,127000,-461000,-461000,588000,6464000,5651000,1418000,7069000,7069000,7069000,7069000,17789000,17789000,50475000,50475000,68356000,5502000,5385000,142122000,26956000,111613000,47523000,6845999.99999999,138569000,280691000,35621000,34665000,39621000,5855000,4628000,36476000,76097000,513983000,-23789000,-286100000,5e+05,204594000,204594000,280691000,7069000,3176000,-470000,-1431000,8344000,-1805000,-1803000,-6181000,-5702000,838999.999999998,838999.999999998,-77000.0000000001,761999.999999998,9513000,34621000,4859000,0.35522,0.08344,0.09308,0.03455,0.02518,0.687370000000002,3.58704,0.37194,0.12334,0.22702,0.20004,2.43905,6.57056,0.15605,0.03201,0.01983,1.76937,2.65615
"43","2021_Q2",21.157619047619,"Up",75331000,-48281000,27050000,-20885000,-20885000,6165000,-378000,-238000,-238000,-140000,5787000,5311000,366000,5677000,5677000,5677000,5677000,6525000,6525000,49788000,49788000,69980000,12526000,12526000,138819000,27027000,113709000,47373000,9815000,140736000,279555000,31664000,30350000,36661000,8756000,7332000,32407000,69068000,515753000,-24440000,-281206000,380000,210487000,210487000,279555000,5677000,2553000,1240000,-11988000,-2518000,-1347000,-1347000,-5928000,-7196000,-11061000,-11061000,-203000,-11264000,8718000,28648000,-4983000,0.35908,0.08184,0.07536,0.02697,0.02031,-0.87775,3.78656,0.32813,0.10248,0.18147,0.17334,2.40805,6.72848,-0.15929,0.02606,-0.0201,2.53762,3.58848
"44","2021_Q3",27.40078125,"Up",73309000,-45288000,28021000,-20704000,-20704000,7317000,-4673000,-212000,-212000,-4461000,2644000,1995000,-155000,1840000,1840000,1840000,1840000,6782000,6782000,51235000,51235000,82656000,13377000,13123000,154050000,27495000,112664000,47415000,10229000,140159000,294209000,43368000,42167000,48378000,8539000,7324000,30651000,79029000,518985000,-24440000,-280148000,783000,215180000,215180000,294209000,1840000,2546000,2252000,-3758000,2880000,-1853000,-1852999.99999999,-1539000,-835000.000000007,192000,192000,65000,256999.999999998,9863000,27122000,4407000,0.38223,0.09981,0.0251,0.00855,0.00625,2.39511,3.1843,0.36727,0.09219,0.05882,0.05618,2.34341,6.8785,0.14088,0.01045,0.01757,2.06225,2.77983
"45","2021_Q4",27.42234375,"Up",108971000,-69792000,39179000,-31314000,-31314000,7865000,-1138000,-1476000,-373061.11445563,338000,6727000,-1420000,5950000,4530000,4530000,4530000,4530000,10170000,10170000,68045000,68045000,118706000,13763000,13478000,210684000,32444000,328615000,116997000,23616000,361059000,571743000,58639000,54389000,67629000,54475000,19450000,235517000,303146000,577382000,-24440000,-276463000,-7882000,268597000,268597000,571743000,4530000,5208000,-2244000,-24957000,-17463000,-2354000,-137981000,160639000,159072000,3628000,3628000,-240000,3388000,13073000,190032000,-20188000,0.35954,0.07218,0.04157,0.01687,0.00792,-4.45651,3.11529,1.12863,0.33237,0.14086,0.13306,3.38851,8.35216,-0.62776,0.01048,-0.03934,13.75828,22.86866
"46","2022_Q1",23.0275806451613,"Down",118183000,-75501000,42682000,-32591000,-32591000,10091000,-1132000,-1013000,-668766.163744492,-118999.999999999,8959000,7993000,6053000,14046000,14046000,14046000,14046000,19465000,19465000,66180000,66180000,129354000,11947000,11831000,226946000,42826000,362055000,128271000,19578000,404881000,631827000,63398000,27473000,72983000,56728000,21448000,188676000,261659000,6.63e+08,-24440000,-263342000,-5050000,370168000,370168000,631827000,14046000,5512000,-5043000,2282000,16797000,-11600000,-36961000,-48561000,29636000,9472000,9472000,-177000,9295000,15603000,141533000,232000,0.36115,0.08538,0.11885,0.03794,0.02223,0.0165199999999981,3.10957,0.70687,0.22401,0.36273,0.33031,3.05201,9.55938,0.00599000000000005,0.02634,0.000410000000000015,7.82337,12.09672
"47","2022_Q2",20.791935483871,"Down",113276000,-69024000,44252000,-34175000,-34175000,10077000,-1183000,-1116000,-1116000,-67000,8894000,6930000,-1621000,5309000,5309000,5309000,5309000,16451000,16451000,69530000,69530000,152718000,13096000,12838000,251795000,43168000,366119000,131115000,20157000,409287000,661082000,66118000,64274000,78221000,59926000,23034000,199755000,277976000,666493000,-25537000,-258963000,1113000,383106000,383106000,661082000,5309000,5952000,5518000,-27574000,-10795000,-1900000,-1900000,10368000,8467000,-4228000,-4228000,1214000,-3014000,16029000,151932000,-11824000,0.39066,0.08896,0.04687,0.01386,0.00803,-2.22716,3.21902,0.72559,0.22982,0.14732,0.1362,3.14332,10.63091,-0.32811,0.01049,-0.01987,8.45224,13.44458
"48","2022_Q3",19.40859375,"Down",114933000,-71251000,43682000,-35444000,-35444000,8238000,-3071000,-1728000,-1728000,-1343000,5167000,4720000,-956000,3764000,3764000,3764000,3764000,13888000,13888000,70560000,70560000,153056000,13357000,12733000,250861000,42916000,344234000,123851000,19329000,387150000,638011000,60302000,58579000,69173000,55073000,21628000,195812000,264985000,670590000,-25537000,-256130000,-15897000,373026000,373026000,638011000,3764000,5814000,4076000,-9135000,4518999.99999999,-1874000,-1874000,-1938000,-3537000,-892000,-892000,-1671000,-2563000,14052000,149610000,3999000,0.38006,0.07168,0.03275,0.01009,0.0059,1.06243,3.62657,0.71037,0.23449,0.10109,0.09482,3.08669,10.01815,0.1074,0.00813,0.00692000000000001,9.65855,16.47512
