"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","loans_mortgages","equity_securities","real_estate_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",40.37078125,"Up",1.475e+09,1.004e+09,4.38e+08,3.3e+07,-1.3e+07,4.6e+07,-5.81e+08,-3.34e+08,-3.07e+08,2.53e+08,-9.7e+07,-1.8e+07,-7.9e+07,1.56e+08,1.56e+08,-5.2e+07,1.04e+08,1.04e+08,1.01e+08,1.01e+08,3.8206e+10,3.417e+10,1.295e+09,1.648e+09,1.093e+09,1.231e+09,9.36e+08,1.055e+09,9.61e+09,5.1038e+10,3.8679e+10,3.656e+09,5.01e+08,9.98e+08,2.267e+09,4.6101e+10,1.305e+09,3.002e+09,4.48e+08,4.755e+09,4.937e+09,5.1038e+10,1.04e+08,2.8e+07,1.78e+08,9.8e+07,4.08e+08,-9.78e+08,-2.91e+08,-1.269e+09,-2.4e+07,-6.3e+07,9.59e+08,8.72e+08,1.1e+07,1.1e+07,1.1e+07,2.81e+08,4.654e+09,0.17153,0.06847,0.02046,0.00198,9.33786,0.09119,1.16226,1.14124,16.97353,54.71807,0.27618,0.00247,0.23762,12.18149,13.52964
"26","2016_Q3",42.1990625,"Up",1.581e+09,1.033e+09,4.55e+08,9.3e+07,1.1e+07,8.2e+07,-6.87e+08,-3.48e+08,-3.1e+08,2.36e+08,-1e+08,-1.9e+07,-8.1e+07,1.36e+08,1.36e+08,-7.3e+07,6.3e+07,6.3e+07,5.4e+07,5.4e+07,3.9091e+10,3.4909e+10,1.354e+09,1.558e+09,1.27e+09,1.548e+09,9.92e+08,8.81e+08,1.0221e+10,5.2733e+10,3.961e+10,4.192e+09,5.88e+08,9.98e+08,2.152e+09,4.754e+10,1.315e+09,3.016e+09,6.69e+08,5e+09,5.193e+09,5.2733e+10,6.3e+07,2.5e+07,1.2e+07,-1.2e+07,8.8e+07,-1.51e+08,-3.97e+08,-5.48e+08,-2.4e+07,-1.5e+07,8.16e+08,7.77e+08,3.17e+08,3.17e+08,3.17e+08,2.61e+08,5.19e+09,0.14927,0.03416,0.0104,0.00102,9.15463,0.09842,0.62212,0.61086,18.21429,57.60369,0.2765,0.0015,0.44444,13.95402,15.4322
"27","2016_Q4",46.3460317460317,"Up",1.705e+09,1.165e+09,4.83e+08,5.7e+07,1.1e+07,4.6e+07,-7.65e+08,-3.56e+08,-2.89e+08,2.95e+08,-1.17e+08,-1.9e+07,-9.8e+07,1.78e+08,1.78e+08,-6.5e+07,1.13e+08,1.13e+08,1.09e+08,1.09e+08,4.0166e+10,3.5742e+10,1.374e+09,1.639e+09,1.411e+09,1.639e+09,1.029e+09,8.67e+08,1.1144e+10,5.4845e+10,4.0911e+10,4.067e+09,8.35e+08,1.3e+09,2.374e+09,4.9487e+10,1.329e+09,3.079e+09,7.53e+08,5.161e+09,5.358e+09,5.4845e+10,1.13e+08,3.8e+07,8e+07,1.9e+07,2.5e+08,-6.21e+08,-8.1e+07,-7.02e+08,-2.4e+07,-1.2e+07,2.77e+08,5.43e+08,9.1e+07,9.1e+07,9.1e+07,3.33e+08,5.367e+09,0.17302,0.06393,0.02034,0.00199,9.2361,0.09786,1.25432,1.23164,19.62025,59.3901,0.27618,0.00246,0.22018,11.1952,12.63729
"28","2017_Q1",53.5056451612903,"Up",1.737e+09,1.15e+09,5.29e+08,5.8e+07,6e+06,5.2e+07,-7.29e+08,-3.11e+08,-2.64e+08,4.33e+08,-1.16e+08,-2.1e+07,-9.5e+07,3.17e+08,3.17e+08,7.1e+07,3.88e+08,3.88e+08,3.85e+08,3.85e+08,3.9326e+10,3.4903e+10,1.339e+09,1.558e+09,1.034e+09,2.107e+09,9.97e+08,1.239e+09,1.1403e+10,5.5072e+10,4.1332e+10,4.549e+09,6.34e+08,1.283e+09,2.355e+09,5.0153e+10,1.198e+09,3.343e+09,3.75e+08,4.916e+09,4.919e+09,5.5072e+10,3.88e+08,4.3e+07,1.9e+07,-4.6e+07,4.04e+08,-3e+07,-4.32e+08,-4.62e+08,-1.13e+08,-8e+06,6.65e+08,5.26e+08,4.68e+08,4.68e+08,4.68e+08,4.76e+08,5.832e+09,0.24928,0.22165,0.07827,0.00699,10.19577,0.1059,4.42529,4.34537,19.96552,56.50575,1.29885,0.00915,0.29351,7.82563,8.60277
"29","2017_Q2",57.8447619047619,"Up",1.576e+09,1.028e+09,4.89e+08,5.9e+07,0,5.9e+07,-6.09e+08,-3.39e+08,-2.99e+08,3.29e+08,-1.06e+08,-2.1e+07,-8.5e+07,2.23e+08,2.23e+08,-6.8e+07,1.55e+08,1.55e+08,1.53e+08,1.53e+08,4.146e+10,3.6815e+10,1.349e+09,1.637e+09,1.086e+09,1.89e+09,9.89e+08,1.205e+09,1.192e+10,5.7464e+10,4.2484e+10,5.101e+09,6.21e+08,1.283e+09,2.78e+09,5.2269e+10,1.226e+09,3.466e+09,4.99e+08,5.191e+09,5.195e+09,5.7464e+10,1.55e+08,3.8e+07,-3.63e+08,9.4e+07,-7.6e+07,-1.326e+09,1.32e+08,-1.194e+09,-2.7e+07,1.5e+07,1.065e+09,1.053e+09,-2.17e+08,-2.17e+08,-2.17e+08,3.67e+08,6.384e+09,0.20876,0.09708,0.02945,0.00266,10.06141,0.1111,1.75459,1.71333,18.07339,59.52982,0.30963,0.00317,0.17647,12.24523,13.65957
"30","2017_Q3",60.6406349206349,"Up",1.646e+09,1.07e+09,5.18e+08,5.8e+07,1.1e+07,4.7e+07,-6.35e+08,-3.66e+08,-3.29e+08,3.16e+08,-1.11e+08,-2.3e+07,-8.8e+07,2.05e+08,2.05e+08,-6e+07,1.45e+08,1.45e+08,1.45e+08,1.45e+08,4.2572e+10,3.7843e+10,1.372e+09,1.64e+09,1.128e+09,2.207e+09,1.124e+09,1.156e+09,1.1559e+10,5.8618e+10,4.3714e+10,4.685e+09,6.81e+08,1.405e+09,2.821e+09,5.3306e+10,1.246e+09,3.451e+09,6.15e+08,5.312e+09,5.312e+09,5.8618e+10,1.45e+08,3.1e+07,5.77e+08,-1.03e+08,6.5e+08,-5.1e+08,-2.9e+08,-8e+08,-1.58e+08,1.2e+07,4.98e+08,4.67e+08,3.17e+08,3.17e+08,3.17e+08,3.47e+08,6.09e+09,0.19198,0.08809,0.0273,0.00247,10.03502,0.10389,1.65148,1.6147,18.74715,60.50114,1.79954,0.00523,1.08966,11.1902,12.28797
"31","2017_Q4",63.3877777777778,"Up",1.835e+09,1.273e+09,5.13e+08,4.9e+07,1e+06,4.8e+07,-9.95e+08,-3.57e+08,-3.21e+08,1.62e+08,-1.33e+08,-2.1e+07,-1.12e+08,2.9e+07,2.9e+07,-1.8e+07,1.1e+07,1.1e+07,1.1e+07,1.1e+07,4.2904e+10,3.8168e+10,1.229e+09,1.639e+09,1.239e+09,2.349e+09,1.173e+09,1.119e+09,1.2618e+10,6.0163e+10,4.5468e+10,4.506e+09,9.06e+08,1.284e+09,2.62e+09,5.4784e+10,1.255e+09,3.435e+09,6.89e+08,5.379e+09,5.379e+09,6.0163e+10,1.1e+07,3.6e+07,2.45e+08,1.27e+08,4.19e+08,-2.43e+08,7e+06,-2.36e+08,-2.7e+07,3e+06,1.08e+08,-4.1e+07,1.42e+08,1.42e+08,1.42e+08,1.98e+08,5.79e+09,0.08828,0.00599,0.00204,0.00018,10.18479,0.09624,0.12486,0.12222,20.8286,61.05562,0.30647,0.000639999999999999,2.45455,17.37879,21.24074
"32","2018_Q1",68.4618032786885,"Up",1.808e+09,1.23e+09,5.26e+08,5.2e+07,0,5.2e+07,-7.16e+08,-3.45e+08,-3.23e+08,4.24e+08,-1.57e+08,-2e+07,-1.37e+08,2.67e+08,2.67e+08,-1.01e+08,1.66e+08,1.66e+08,1.66e+08,1.66e+08,4.371e+10,3.8727e+10,1.309e+09,1.662e+09,3.12e+08,2.338e+09,1.146e+09,1.216e+09,1.2248e+10,6.0658e+10,4.6062e+10,4.687e+09,7.43e+08,1.301e+09,2.531e+09,5.5324e+10,1.269e+09,3.248e+09,8.13e+08,5.33e+09,5.334e+09,6.0658e+10,1.66e+08,2e+06,2.99e+08,3.44e+08,8.11e+08,-6.6e+08,-4.02e+08,-1.062e+09,-2.05e+08,7e+06,4.61e+08,2.4e+08,-11000000.0000001,-11000000.0000001,-11000000.0000001,4.26e+08,5.988e+09,0.23451,0.09181,0.03112,0.00274,10.37195,0.09872,1.88422,1.8424,20.52213,60.49943,2.3269,0.00619,1.23494,8.56808,8.60849
"33","2018_Q2",68.49984375,"Up",1.619e+09,1.113e+09,4.6e+08,4.6e+07,-3e+06,4.9e+07,-6.41e+08,-3.81e+08,-3.23e+08,2.74e+08,-1e+08,-1.5e+07,-8.5e+07,1.74e+08,1.74e+08,-3.3e+07,1.41e+08,1.41e+08,1.45e+08,1.45e+08,4.429e+10,3.9285e+10,1.263e+09,1.786e+09,2.68e+08,1.659e+09,1.113e+09,1.417e+09,1.2177e+10,6.0656e+10,4.6163e+10,4.869e+09,6.61e+08,1.301e+09,2.479e+09,5.5473e+10,1.294e+09,3.584e+09,3.05e+08,5.183e+09,5.183e+09,6.0656e+10,1.41e+08,7.1e+07,2.9e+08,-1.11e+08,3.91e+08,-1.534e+09,-1.22e+08,-1.656e+09,-3.1e+07,1.4e+07,6.03e+08,5.86e+08,-6.79e+08,-6.79e+08,-6.79e+08,3.45e+08,6.17e+09,0.16924,0.08956,0.02798,0.00239,10.70287,0.10172,1.63657,1.60398,18.27314,58.49887,0.34989,0.00293,0.21379,13.07536,16.4635
"34","2018_Q3",69.4746031746032,"Up",1.833e+09,1.167e+09,6.25e+08,4.1e+07,-2e+06,4.3e+07,-6.93e+08,-4e+08,-3.75e+08,3.65e+08,-1.05e+08,-1.6e+07,-8.9e+07,2.6e+08,2.6e+08,-5.2e+07,2.08e+08,2.08e+08,2.1e+08,2.1e+08,4.4969e+10,3.9785e+10,1.326e+09,1.777e+09,2.72e+08,1.81e+09,1.266e+09,1.582e+09,1.2207e+10,6.1834e+10,4.7165e+10,4.84e+09,7.21e+08,1.301e+09,2.723e+09,5.675e+10,1.309e+09,3.628e+09,1.47e+08,5.084e+09,5.084e+09,6.1834e+10,2.08e+08,3.5e+07,2.57e+08,-68000000.0000001,4.32e+08,-6.03e+08,-2.26e+08,-8.29e+08,-1.63e+08,7e+06,7.04e+08,5.48e+08,1.51e+08,1.51e+08,1.51e+08,4e+08,6.141e+09,0.19913,0.11457,0.04131,0.0034,11.16247,0.09931,2.35955,2.31533,20.59551,57.1236,1.83146,0.0061,0.77619,10.8275,11.86575
"35","2018_Q4",63.2790476190476,"Down",2.008e+09,1.333e+09,6.26e+08,4.9e+07,-5e+06,5.4e+07,-8.72e+08,-4.24e+08,-3.55e+08,3.57e+08,-1.13e+08,-1.5e+07,-9.8e+07,2.44e+08,2.44e+08,-4.1e+07,2.03e+08,2.03e+08,2.04e+08,2.04e+08,4.5832e+10,4.0347e+10,1.328e+09,1.827e+09,2.82e+08,2.009e+09,1.299e+09,1.669e+09,1.3381e+10,6.419e+10,4.9011e+10,4.807e+09,9.32e+08,1.302e+09,2.974e+09,5.9026e+10,1.32e+09,3.8e+09,4.4e+07,5.164e+09,5.164e+09,6.419e+10,2.03e+08,5.7e+07,9.8e+07,9.6e+07,4.54e+08,-8.77e+08,-1.3e+07,-8.9e+08,-3.1e+07,5e+06,6.61e+08,6.35e+08,1.99e+08,1.99e+08,1.99e+08,4.14e+08,6.109e+09,0.17779,0.10159,0.0395,0.00318,11.43029,0.09517,2.28956,2.24917,22.53648,57.95735,0.34792,0.00371,0.15196,9.90338,11.48459
"36","2019_Q1",61.1501639344262,"Down",1.69e+09,1.252e+09,3.72e+08,6.6e+07,-1.1e+07,7.7e+07,-7.97e+08,-3.78e+08,-8.1e+08,-2.95e+08,2.56e+08,-1.6e+07,2.72e+08,-39000000.0000001,-39000000.0000001,3999999.99999999,-3.5e+07,-3.5e+07,-2.9e+07,-2.9e+07,4.6983e+10,4.2102e+10,1.242e+09,1.814e+09,2.67e+08,1.515e+09,1.234e+09,1.682e+09,1.2042e+10,6.3456e+10,4.9587e+10,4.512e+09,7.52e+08,1.302e+09,2.331e+09,5.8484e+10,1.334e+09,3.588e+09,4.8e+07,4.97e+09,4.972e+09,6.3456e+10,-3.5e+07,4.7e+07,5.32e+08,2.62e+08,8.06e+08,-2.009e+09,3.4e+07,-1.975e+09,-1.69e+08,1e+06,8.43e+08,6.75e+08,-4.94e+08,-4.94e+08,-4.94e+08,-2.48e+08,5.814e+09,-0.17456,-0.01716,-0.00583,-0.00046,11.76267,0.09162,-0.324749999999999,-0.32009,18.92497,55.6551,1.8925,0.00223,-5.82759,-17.33468,-14.57288
"37","2019_Q2",64.9952380952381,"Up",2.024e+09,1.179e+09,7.95e+08,5e+07,0,5e+07,-6.92e+08,-3.99e+08,-4.03e+08,5.3e+08,-1.17e+08,-1.6e+07,-1.01e+08,4.13e+08,4.13e+08,-8.7e+07,3.26e+08,3.26e+08,3.29e+08,3.29e+08,4.904e+10,4.3538e+10,1.25e+09,1.93e+09,2.62e+08,2e+09,1.283e+09,1.447e+09,1.2362e+10,6.6132e+10,5.0866e+10,4.593e+09,7.3e+08,1.423e+09,2.855e+09,6.0467e+10,1.346e+09,3.875e+09,4.44e+08,5.665e+09,5.665e+09,6.6132e+10,3.26e+08,3.4e+07,6.7e+07,2.7e+07,4.54e+08,-4.79e+08,-2.05e+08,-6.84e+08,-3.6e+07,7e+06,6.23e+08,7.15e+08,4.85e+08,4.85e+08,4.85e+08,5.64e+08,6.016e+09,0.26186,0.16255,0.05808,0.00497,10.67379,0.09097,3.68009,3.62734,22.63982,63.36689,0.40268,0.00558,0.10942,7.12057,7.57736
"38","2019_Q3",67.64234375,"Up",1.96e+09,1.205e+09,7.06e+08,4.9e+07,-2e+06,5.1e+07,-7.23e+08,-4.26e+08,-4.39e+08,3.72e+08,-1.13e+08,-1.7e+07,-96000000.0000001,2.59e+08,2.59e+08,-5e+07,2.09e+08,2.09e+08,2.1e+08,2.1e+08,5.0533e+10,4.4816e+10,1.243e+09,1.985e+09,2.71e+08,2.374e+09,1.398e+09,1.203e+09,1.2189e+10,6.7697e+10,5.1923e+10,4.59e+09,7.55e+08,1.423e+09,2.916e+09,6.1607e+10,1.367e+09,3.914e+09,8.09e+08,6.09e+09,6.09e+09,6.7697e+10,2.09e+08,3.8e+07,1.76e+08,0,4.23e+08,-3.79e+08,1.1e+07,-3.68e+08,-1.69e+08,1.2e+07,4.76e+08,3.19e+08,3.74e+08,3.74e+08,3.74e+08,4.1e+08,6.013e+09,0.1898,0.10714,0.03448,0.0031,10.11609,0.08882,2.33853,2.31023,21.82628,67.81737,1.88196,0.00566,0.80476,8.87561,9.78226
"39","2019_Q4",70.8165625,"Up",2.123e+09,1.431e+09,6.37e+08,5.5e+07,-1.4e+07,6.9e+07,-9.44e+08,-4.5e+08,-4.07e+08,3.22e+08,-1.45e+08,-1.7e+07,-1.28e+08,1.77e+08,1.77e+08,-3.4e+07,1.43e+08,1.43e+08,1.47e+08,1.47e+08,5.1514e+10,4.5611e+10,1.34e+09,2.004e+09,2.74e+08,2.693e+09,1.403e+09,9.64e+08,1.2493e+10,6.9067e+10,5.3097e+10,4.523e+09,8.67e+08,1.423e+09,2.836e+09,6.2746e+10,1.382e+09,4.022e+09,9.17e+08,6.321e+09,6.321e+09,6.9067e+10,1.43e+08,1.23e+08,1.79e+08,3.69e+08,8.14e+08,-5.57e+08,-1.69e+08,-7.26e+08,-3.6e+07,1e+07,2.57e+08,2.31e+08,3.19e+08,3.19e+08,3.19e+08,4.45e+08,5.946e+09,0.15167,0.06924,0.02326,0.00213,9.92659,0.08609,1.63515,1.61361,23.61513,70.31146,0.40044,0.00268,0.2449,7.31011,10.10248
"40","2020_Q1",64.6443548387097,"Down",1.06e+08,1.37e+09,-1.182e+09,-8.2e+07,2000000.00000003,-8.4e+07,-9.12e+08,-4.5e+08,1.01e+09,-2.46e+08,3.1e+07,-1.8e+07,4.9e+07,-2.15e+08,-2.15e+08,2.8e+07,-1.87e+08,1.91e+08,2.11e+08,2.11e+08,5.2938e+10,4.6618e+10,1.493e+09,1.937e+09,2.78e+08,2.314e+09,1.335e+09,1.037e+09,1.2506e+10,7.013e+10,5.408e+10,4.571e+09,8.14e+08,1.473e+09,2.923e+09,6.3861e+10,1.397e+09,4.009e+09,8.63e+08,6.269e+09,6.269e+09,7.013e+10,1.91e+08,6.4e+07,2.3e+08,2.8e+08,7.65e+08,2.69e+08,-1.556e+09,-1.287e+09,-2.03e+08,7e+06,2.95e+08,1.43e+08,-3.79e+08,-3.79e+08,-3.79e+08,-1.82e+08,6.044e+09,-2.32075,1.99057,0.03366,0.00301,10.18679,0.08618,2.33149,2.31106,1.17127,69.27072,2.24309,0.00597,0.96209,-20.49451,-15.1626
"41","2020_Q2",43.4088888888889,"Down",1.055e+09,1.209e+09,1.63e+08,-3.17e+08,-3.41e+08,2.4e+07,-7.07e+08,-4.2e+08,-5.3e+07,-1.25e+08,-6e+07,-1.7e+07,-4.3e+07,-1.85e+08,-1.85e+08,4.1e+07,-1.44e+08,-3.04e+08,-3.01e+08,-3.01e+08,5.1548e+10,4.623e+10,1.507e+09,1.559e+09,2.8e+08,1.673e+09,1.302e+09,1.573e+09,1.1547e+10,6.7643e+10,5.3984e+10,3.865e+09,7.79e+08,1.473e+09,2.495e+09,6.2596e+10,1.399e+09,3.616e+09,32000000.0000001,5.047e+09,5.047e+09,6.7643e+10,-3.04e+08,1.13e+08,7.85e+08,-6.2e+07,5.32e+08,-1.629e+09,-2.4e+07,-1.653e+09,-4e+07,-5.1e+07,5.71e+08,4.8e+08,-6.41e+08,-6.41e+08,-6.41e+08,-1.2e+07,5.338e+09,-0.11848,-0.28531,-0.05964,-0.00445,12.40262,0.07891,-3.33333,-3.33333,11.68328,55.89147,0.44297,-0.0039,-0.13289,-305.41667,-29.32
"42","2020_Q3",43.71046875,"Up",1.445e+09,1.184e+09,-82999999.9999998,3.44e+08,3.25e+08,1.9e+07,-7.71e+08,-4.09e+08,-42000000.0000001,2.23e+08,-8.3e+07,-2.3e+07,-6e+07,1.4e+08,1.4e+08,-3.7e+07,1.03e+08,1.67e+08,1.77e+08,1.77e+08,5.4043e+10,4.8143e+10,1.633e+09,1.602e+09,2.79e+08,2.698e+09,1.366e+09,8.18e+08,1.1942e+10,7.0867e+10,5.5097e+10,4.236e+09,7.46e+08,1.912e+09,2.75e+09,6.4741e+10,1.388e+09,3.685e+09,1.053e+09,6.126e+09,6.126e+09,7.0867e+10,1.67e+08,-3.4e+07,1.95e+08,2.27e+08,5.55e+08,5.83e+08,-2.26e+08,3.57e+08,-4.1e+07,-7.4e+07,-2.11e+08,1.13e+08,1.025e+09,1.025e+09,1.025e+09,1.89e+08,6.148e+09,0.15433,0.12249,0.02889,0.0025,10.56823,0.08675,1.97324,1.97324,16.10925,68.29431,0.45708,0.00311,0.23164,18.25397,15.47085
"43","2020_Q4",56.2390625,"Up",1.556e+09,1.381e+09,1.91e+08,-1.6e+07,-5e+06,-1.1e+07,-9.63e+08,-4.06e+08,-3.4e+07,1.53e+08,-1.13e+08,-2.4e+07,-8.9e+07,4e+07,4e+07,4.8e+07,8.8e+07,1.64e+08,1.64e+08,1.64e+08,5.434e+10,4.8285e+10,1.636e+09,1.606e+09,2.75e+08,3.747e+09,1.384e+09,4.97e+08,1.3142e+10,7.311e+10,5.631e+10,4.541e+09,9.77e+08,2.108e+09,2.834e+09,6.677e+10,1.37e+09,3.737e+09,1.233e+09,6.34e+09,6.34e+09,7.311e+10,1.64e+08,1.69e+08,1.63e+08,1.13e+08,6.09e+08,4.73e+08,5.1e+07,5.24e+08,-3.8e+07,-9.3e+07,-1.49e+08,-8.4e+07,1.049e+09,1.049e+09,1.049e+09,3.22e+08,6.649e+09,0.09833,0.1054,0.02587,0.00224,10.53155,0.09095,1.85941,1.82832,17.64172,71.88209,0.43084,0.0028,0.23171,9.01241999999998,18.96732
"44","2021_Q1",72.7031147540984,"Up",1.713e+09,1.325e+09,3.16e+08,7.2e+07,1000000.00000006,7.1e+07,-8.3e+08,-3.9e+08,-3.8e+07,4.55e+08,-1.11e+08,-2.4e+07,-8.7e+07,3.44e+08,3.44e+08,-7.7e+07,2.67e+08,6.94e+08,6.92e+08,6.92e+08,1.1829e+10,9.108e+09,3.77e+08,8.89e+08,2.2e+08,1.665e+09,1.229e+09,2.44e+08,5.8743e+10,7.371e+10,1.3195e+10,4.914e+09,8.07e+08,1.963e+09,4.6042e+10,6.6921e+10,1.367e+09,4.149e+09,1.273e+09,6.789e+09,6.789e+09,7.371e+10,6.94e+08,5.1e+07,-3.98e+08,1.4e+08,4.87e+08,1.189e+09,-1.981e+09,-7.92e+08,-2.15e+08,-7.3e+07,-1.93e+08,-6.32e+08,-9.37e+08,-9.37e+08,-9.37e+08,5.06e+08,6.877e+09,0.26562,0.40397,0.10193,0.00939,9.85727,0.0933,7.99076,7.94489,19.7806,78.39492,2.48268,0.01244,0.31069,10.3004,11.45495
"45","2021_Q2",91.2368253968254,"Up",1.509e+09,1.173e+09,2.34e+08,1.02e+08,7.9e+07,2.3e+07,-6.67e+08,-3.8e+08,-3.9e+07,4.23e+08,-8.8e+07,-2.4e+07,-6.4e+07,3.35e+08,3.35e+08,-6.8e+07,2.67e+08,4.19e+08,4.19e+08,4.19e+08,1.2209e+10,9.315e+09,4.08e+08,9.44e+08,2.18e+08,1.691e+09,1.209e+09,2.44e+08,5.8844e+10,7.4197e+10,1.3205e+10,5.045e+09,7.53e+08,1.963e+09,4.6546e+10,6.7512e+10,1.364e+09,4.354e+09,9.67e+08,6.685e+09,6.685e+09,7.4197e+10,4.19e+08,9.9e+07,-4.9e+07,1.58e+08,6.27e+08,-4.83e+08,-4.55e+08,-9.38e+08,-4.3e+07,-1.72e+08,4.3e+07,-1.72e+08,-4.83e+08,-4.83e+08,-4.83e+08,5.22e+08,7.008e+09,0.28032,0.27767,0.06268,0.00565,10.09903,0.09445,4.87776,4.83834,17.56694,77.82305,0.50058,0.00629,0.10263,10.18582,12.56974
"46","2021_Q3",104.964375,"Up",1.531e+09,1.25e+09,3.28e+08,-4.7e+07,-7.1e+07,2.4e+07,-7.14e+08,-3.9e+08,-3.9e+07,3.88e+08,-1e+08,-2.3e+07,-7.7e+07,2.88e+08,2.88e+08,-4.8e+07,2.4e+08,1.002e+09,1.002e+09,1.002e+09,1.276e+10,9.758e+09,4.61e+08,9.65e+08,1.98e+08,3.365e+09,1.423e+09,2.58e+08,1.0974e+10,2.878e+10,1.3552e+10,5.029e+09,8.29e+08,1.963e+09,1.806e+09,2.3179e+10,1.388e+09,4.023e+09,1.9e+08,5.601e+09,5.601e+09,2.878e+10,1.002e+09,3.4e+07,-8.14e+08,1.21e+08,3.43e+08,4.88e+08,1.111e+09,1.599e+09,-1.228e+09,-8.2e+07,4.06e+08,-9.04e+08,1.038e+09,1.038e+09,1.038e+09,4.22e+08,6.992e+09,0.25343,0.65447,0.1789,0.03482,4.13837,0.24295,11.66473,11.57044,17.82305,65.20373,14.29569,0.07978,1.22555,8.59479,9.34794
"47","2021_Q4",116.4746875,"Up",1.754e+09,1.529e+09,2.14e+08,1.1e+07,-1.6e+07,2.7e+07,-9.54e+08,-4.17e+08,-9.2e+07,2.91e+08,-2.4e+07,-2.4e+07,-118759480.175154,2.67e+08,2.67e+08,-4.8e+07,2.19e+08,2.19e+08,2.19e+08,2.19e+08,1.3554e+10,1.0456e+10,5.37e+08,9.93e+08,1.61e+08,2.833e+09,1.492e+09,2.62e+08,1.1801e+10,2.9942e+10,1.4406e+10,5.034e+09,1.146e+09,1.964e+09,2.152e+09,2.4702e+10,1.4e+09,3.68e+09,1.6e+08,5.24e+09,5.24e+09,2.9942e+10,2.19e+08,2.7e+07,2.5e+07,1.84e+08,4.55e+08,-2.16e+08,-4.95e+08,-7.64e+08,-2.11e+08,-4e+06,-8e+06,-2.23e+08,-5.32e+08,-5.32e+08,-5.32e+08,3.18e+08,6.998e+09,0.16591,0.12486,0.04179,0.00731,4.71412,0.23372,2.58255,2.57042,20.68396,61.79245,2.48821,0.01493,0.96347,13.09748,14.31271
"48","2022_Q1",119.52064516129,"Up",1.758e+09,1.452e+09,2.45e+08,6.1e+07,1.8e+07,4.3e+07,-8.22e+08,-3.6e+08,1.5e+07,5.91e+08,-1.46e+08,-2.3e+07,-1.23e+08,4.45e+08,4.45e+08,-9e+07,3.55e+08,3.55e+08,3.55e+08,3.55e+08,1.3614e+10,11140205347.6302,688044909.953187,1016244369.59876,153534021.154224,2.131e+09,1.265e+09,2.67e+08,1.1654e+10,2.8931e+10,1.4115e+10,5.22e+09,9.2e+08,1.964e+09,1.7e+09,2.3919e+10,1.415e+09,3.478e+09,1.19e+08,5.012e+09,5.012e+09,2.8931e+10,3.55e+08,2.7e+07,-1.9e+07,-7.4e+07,2.89e+08,4.55e+08,-8.41e+08,-3.33e+08,-8.92e+08,5e+06,2.29e+08,-6.58e+08,-7.02e+08,-7.02e+08,-7.02e+08,6.18e+08,7.184e+09,0.33618,0.20193,0.07083,0.01227,4.77235,0.24831,4.18632,4.16667,20.73113,59.10377,10.51887,0.04452,2.51268,8.17638,8.54992
"49","2022_Q2",128.514516129032,"Up",1.588e+09,1.302e+09,2.76e+08,1e+07,-2e+07,3e+07,-6.93e+08,-4.14e+08,-3.9e+07,4.42e+08,-8.1e+07,-2.3e+07,-5.8e+07,3.61e+08,3.61e+08,-7.1e+07,2.9e+08,2.9e+08,2.9e+08,2.9e+08,1.442e+10,1.0839e+10,7.84e+08,1.022e+09,1.56e+08,1.181e+09,1.391e+09,2.71e+08,1.1499e+10,2.8762e+10,1.4192e+10,5.112e+09,9.1e+08,1.917e+09,1.796e+09,2.3927e+10,1.425e+09,3.541e+09,-1.31e+08,4.835e+09,4.835e+09,2.8762e+10,2.9e+08,2.6e+07,1.4e+07,1.73e+08,5.03e+08,-4.74e+08,-6.37e+08,-1.111e+09,-2.16e+08,0,-7.6e+07,-3.42e+08,-9.5e+08,-9.5e+08,-9.5e+08,4.68e+08,7.029e+09,0.27834,0.18262,0.05998,0.01008,4.94871,0.24438,3.41494,3.40376,18.69974,56.93529,2.54354,0.01817,0.74483,12.49573,13.23077
