"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",44.4715873015873,"Up",72821000,47229000,54430000,-7201000,25592000,6211000,18374000,-1620000,71201000,-44460000,-1765000,-42695000,26741000,26741000,26741000,-9559000,17182000,17182000,17182000,17182000,64636000,34788000,919926000,4343346000,-93372000,4436718000,53324000,83795000,306920000,5806735000,4573712000,3554606000,1019106000,316765000,129246000,76515000,5096238000,436538000,-54643000,327149000,1453000,710497000,710497000,5806735000,17182000,1821000,1620000,41218000,-20893000,40948000,-1065000,-47743000,-63715000,-1561000,-114084000,-5107000,9957000,0,85797000,5878999.99999997,96526000,23390000,23390000,23390000,28562000,446011000,16163000,0.36722,0.23595,0.02418,0.00296,0.94069,7.17278,0.07681,0.66248,0.66248,2.80773,27.39438,0.62319,0.19691,0.00384,0.00278,0.29723,13.35253,14.26181
"32","2018_Q1",45.1170491803279,"Up",74485000,48814000,56185000,-7371000,25671000,5748000,18340000,-3622000,70863000,-47313000,-2296000,-45017000,23550000,23550000,23550000,-5556000,17994000,17994000,17994000,17994000,73635000,4398000.00000001,929986000,4432795000,-94883000,4527678000,54612000,83742000,308116000,5887284000,4752730000,3688459000,1064271000,214595000,128824000,72598000,5168747000,436538000,-54628000,339959000,-3332000,718537000,718537000,5887284000,17994000,1620000,3622000,37730000,-42307000,18659000,790000,-17870000,-112505000,18675000,-110910000,-5375000,-102783000,0,33701000,145317000,70860000,-21391000,-21391000,-21391000,25170000,343419000,-10791000,0.31617,0.24158,0.02504,0.00306,-0.5997,7.19343,0.05833,0.69376,0.69376,2.87177,27.70318,-0.41605,0.20723,0.00397,-0.00183,0.29871,10.71847,11.4558
"33","2018_Q2",47.14140625,"Up",74339000,50532000,59238000,-8706000,23807000,5587000,18565000,-3786000,70553000,-45557000,-2017000,-43540000,24996000,24996000,24996000,-5880000,19116000,19116000,19116000,19116000,29404000,21748000,969341000,4592766000,-98331000,4691097000,54841000,84124000,299239000,6051463000,4781325000,3750423000,1030902000,355964000,130099000,58466000,5325854000,436538000,-54602000,354608000,-10935000,725609000,725609000,6051463000,19116000,1557000,3786000,22417000,-12606000,34270000,-1124000,-47665000,-178326000,3334000,-223781000,-5913000,140733000,-785000,110422000,-81827000,162630000,-26881000,-26881000,-26881000,26553000,486063000,18703000,0.33624,0.25715,0.02634,0.00316,0.9784,7.33984,0.08032,0.73664,0.73664,2.86466,27.9614,0.72072,0.22786,0.00414,0.00309,0.30932,17.19802,18.26928
"34","2018_Q3",49.4588888888889,"Up",78192000,53169000,63865000,-10696000,25023000,5507000,19516000,-4817000,73375000,-45877000,-1728000,-44149000,27498000,27498000,27498000,-5534000,21964000,21964000,21964000,21964000,71102000,73358000,996508000,4736816000,-103007000,4839823000,53363000,84104000,304807000,6320058000,5108439000,4001944000,1106495000,277094000,129958000,64290000,5579781000,436538000,-54367000,370521000,-12415000,740277000,740277000,6320058000,21964000,1562000,4817000,30285000,-23138000,35490000,1692000,-30317000,-149476000,-5579000,-183680000,-6418000,-79342000,144000,126458000,200656000,241498000,93308000,93308000,93308000,29060000,407052000,13148000,0.35167,0.2809,0.02967,0.00348,0.59862,7.53742,0.06441,0.84613,0.84613,3.01224,28.51812,0.50651,0.24724,0.00449,0.00208,0.29221,11.56056,12.21725
"35","2018_Q4",41.501746031746,"Down",78422000,54362000,65696000,-11334000,24060000,6489000,17571000,-6157000,72265000,-47342000,-1883000,-45459000,24923000,24923000,24923000,-5035000,19888000,19888000,19888000,19888000,68362000,45514000,1000331000,4727253000,-98300000,4825553000,53479000,84097000,314133000,6293169000,5061977000,3910404000,1151573000,290707000,129683000,60365000,5542732000,436538000,-54369000,383943000,-15675000,750437000,750437000,6293169000,19888000,1744000,6157000,29410000,-34603000,22596000,1185000,-9015000,-4284000,-1048000,-13162000,-6687000,13162000,-31000,-25157000,-21305000,-40018000,-30584000,-30584000,-30584000,26667000,420390000,-1716000,0.31781,0.2536,0.0265,0.00316,-0.08628,7.38601,0.0668,0.76593,0.76593,3.02022,28.9011,-0.06609,0.25753,0.00422,-0.00027,0.33623,13.20088,14.12462
"36","2019_Q1",40.7690163934426,"Down",80003000,55843000,68517000,-12674000,24160000,6240000,17920000,-4702000,75301000,-47691000,-2052000,-45639000,27610000,27610000,27610000,-6164000,21446000,21446000,21446000,21446000,94907000,4172000,1018533000,4734995000,-100469000,4835464000,52139000,83998000,305001000,6293745000,5122322000,3905202000,1217120000,199344000,129887000,78602000,5530155000,436538000,-62760000,398980000,-10676000,762082000,763590000,6293745000,21446000,1713000,4702000,31116000,8362000,67339000,8838000,-14100000,-73875000,41809000,-37328000,-6668000,-91539000,-8454000,-13930000,75783000,-44808000,-14797000,-14797000,-14797000,29323000,329231000,52687000,0.34511,0.26806,0.02809,0.00341,2.45673,7.24231,0.05231,0.82879,0.82879,3.09176,29.45109,2.03612,0.25769,0.00447,0.00837,0.31092,7.99113,8.48693
"37","2019_Q2",41.3244444444444,"Up",79072000,54948000,69021000,-14073000,24124000,5718000,18406000,-4918000,74154000,-45204000,-1598000,-43606000,28950000,28950000,28950000,-6754000,22196000,22196000,22196000,22196000,64619000,3062000,1031213000,4824335000,-101852000,4926187000,51357000,83992000,320508000,6379086000,5124091000,3977444000,1146647000,255388000,130203000,88303000,5597985000,436538000,-69136000,414428000,-3408000,778422000,781101000,6379086000,22196000,1699000,4918000,29223000,-25810000,32226000,4649000,-4232000,-106059000,-816000,-106458000,-7174000,54326000,-7258000,97274000,-94334000,42834000,-31398000,-31398000,-31398000,30649000,385591000,16242000,0.36612,0.28071,0.02842,0.00348,0.73175,7.16679,0.06045,0.86167,0.86167,3.06966,30.2192,0.63053,0.2785,0.0046,0.00255,0.32321,10.47251,11.08712
"38","2019_Q3",41.17984375,"Down",82091000,56427000,71637000,-15210000,25664000,6454000,19210000,-4247000,77844000,-47353000,-1706000,-45647000,30491000,30491000,30491000,-7074000,23417000,23417000,23385000,23385000,71910000,24578000,1050190000,5004426000,-104911000,5109337000,51570000,83985000,363446000,6650105000,5403845000,4165241000,1238604000,186009000,130306000,125259000,5845419000,436538000,-75380000,431091000,2413000,794662000,804686000,6650105000,23417000,1785000,4247000,28430000,-34120000,23759000,216000.000000004,-12222000,-199238000,12447000,-198797000,-7137000,-69713000,-6372000,124623000,162444000,203845000,28807000,28807000,28807000,32276000,316315000,5445999.99999999,0.37143,0.28487,0.02906,0.00352,0.23288,7.26422,0.04757,0.91294,0.91294,3.20481,31.0234,0.21261,0.27863,0.00459,0.00082,0.3052,7.57234,8.01564
"39","2019_Q4",45.84109375,"Up",82960000,57195000,72676000,-15481000,25765000,6619000,19146000,-3717000,79243000,-47106000,-1603000,-45503000,32137000,32137000,32137000,-7689000,24448000,24448000,24438000,24438000,94160000,33325000,1060589000,4990605000,-108941000,5099546000,51680000,83978000,376733000,6691070000,5391679000,4145616000,1246063000,197151000,130284000,138914000,5858028000,436538000,-76716000,448715000,4630000,813167000,833042000,6691070000,24448000,1807000,3717000,46407000,-19278000,57101000,58791000,-8599000,-80873000,4711000,-25970000,-7098000,10695000,-1406000,29942000,-32266999.9999999,-134000,30997000,30997000,30997000,33944000,327435000,81146000,0.38738,0.29458,0.02934,0.00365,3.32048,7.03209,0.04894,0.95767,0.95767,3.25101,31.86616,3.17993,0.27815,0.00471,0.01213,0.29045,6.87235,7.25877
"40","2020_Q1",39.6758064516129,"Down",80873000,55296000,69543000,-14247000,25577000,6428000,19149000,-2951000,77922000,-49346000,-2045000,-47301000,28576000,28576000,28576000,-6622000,21954000,21954000,21941000,21941000,67215000,16150000,1068997000,4974273000,-111254000,5085527000,52219000,83971000,359951000,6622776000,5357326000,4140492000,1216834000,145893000,130403000,140518000,5774140000,436538000,-76702000,463269000,5172000,828277000,848636000,6622776000,21954000,495000,2951000,61334000,-35214000,51520000,-57416000,-8851000,-6305000.00000001,69880000,-2692000,-7612000,-51454000,-4.65661287307739e-10,-71107000,37225000,-92948000,-44120000,-44120000,-44120000,29071000,276296000,-56937000,0.35334,0.2713,0.02585,0.00331,-2.595,6.80402,0.04172,0.86015,0.86015,3.17047,32.47096,-2.2321,0.29841,0.00446,-0.0086,0.34693,7.19208,7.31666
"41","2020_Q2",30.6234920634921,"Down",79466000,54844000,67686000,-12842000,24622000,5978000,18364000,-11353000,68113000,-46535000,-1442000,-45093000,21578000,21578000,21578000,-5160000,16418000,16418000,16413000,16413000,72756000,49543000,1085583000,5008716000,-120798000,5129514000,52431000,83964000,382125000,6735118000,5275911000,4056584000,1219327000,282845000,140641000,158419000,5857816000,436538000,-76203000,472911000,17651000,850897000,877302000,6735118000,16418000,1435000,11353000,44704000,-40605000,33305000,-883000,-586000,-59609000,4660000,-56418000,-7614000,145035000,-408483.120788452,-23939000,-51435000.0000001,62047000,38934000,38934000,38934000,23013000,423486000,-13315000,0.27154,0.20654,0.01871,0.00244,-0.81125,6.67708,0.06288,0.64306,0.64306,3.11346,33.33797,-0.52168,0.29832,0.00357,-0.00198,0.4639,15.24052,16.25406
"42","2020_Q3",31.45234375,"Up",79242000,54001000,63850000,-9849000,25241000,5511000,19731000,-10375000,68867000,-44825000,-1258000,-43567000,24042000,24042000,24042000,-5516000,18526000,18526000,18502000,18502000,67591000,112645000,1086416000,5561039000,-131283000,5692322000,51486000,83959000,402010000,7365146000,5993456000,4309354000,1684102000,177019000,140524000,152494000,6463493000,436538000,-75922000,484491000,19888000,864995000,901653000,7365146000,18526000,1412000,10375000,102715000,-121976000,11052000,3315999.99999999,2679000,-584250000,10953000,-567302000,-7375000,-106252000,39000,-124511000,852286000,614187000,57937000,57937000,57937000,25454000,317543000,-87690000,0.3034,0.23349,0.02052,0.00251,-4.73949,7.16849,0.04311,0.72441,0.72441,3.10256,33.86711,-3.43332,0.28875,0.00351,-0.01191,0.39861,9.81975,10.39647
"43","2020_Q4",34.36953125,"Up",82909000,54868000,62917000,-8049000,28041000,6355000,21686000,-9303000,73606000,-47043000,-2041000,-45002000,26563000,26563000,26563000,-6509000,20054000,20054000,20058000,20058000,62575000,91641000,1111101000,5490219000,-136817000,5627036000,49933000,83953000,401527000,7290949000,5896855000,4176087000,1720768000,165574000,140423000,173082000,6375934000,436538000,-75861000,497419000,19658000,877754000,915015000,7290949000,20054000,1408000,9303000,116277000,-94387000,52655000,1901000,-29075000,47807000,15886000,36519000,-7387000,-11812000,0,-202052000,106057000,-115194000,-26020000,-26020000,-26020000,27971000,305997000,-58006000,0.32039,0.24193,0.02192,0.00275,-2.89191,6.96812,0.04197,0.78497,0.78497,3.24465,34.35098,-2.27007,0.28909,0.00376,-0.00796,0.36828,8.70266,9.16395
"44","2021_Q1",42.163606557377,"Up",88092000,62107000,68578000,-6471000,25985000,6624000,19361000,-4970000,83122000,-48964000,-1576000,-47388000,34158000,34158000,34158000,-7695000,26463000,26463000,26464000,26464000,74186000,168861000,1224896000,5348647000,-140654000,5489301000,49373000,83948000,366500000,7316411000,5946028000,4309344000,1636684000,150641000,140628000,148444000,6385741000,436538000,-82240000,514176000,18371000,886845000,930670000,7316411000,26463000,1418000,4970000,85816000,-61186000,57481000,3110000,-117309000,106575000,12167000,4543000.00000006,-7388000,-15128000,-6415000,939204000,-883466000,26807000,88831000,88831000,88831000,35576000,291269000,-14805000,0.38775,0.30041,0.02844,0.00362,-0.55944,6.86144,0.03981,1.03813,1.03813,3.45569,34.78931,-0.58077,0.28982,0.00463,-0.00202,0.27917,6.10195,6.35526
"45","2021_Q2",45.7161904761905,"Up",83281000,57412000,62292000,-4880000,25869000,6629000,19240000,-2398000,80883000,-44140000,-1613000,-42527000,36743000,36743000,36743000,-8637000,28106000,28106000,28105000,28105000,69683000,266271000,1318769000,5383535000,-139550000,5523085000,48288000,83942000,341443000,7511931000,6131341000,4298225000,1833116000,180601000,140486000,123744000,6576172000,436538000,-88223000,535737000,7243000,891295000,935759000,7511931000,28106000,1361000,2398000,99722000,-89098000,42489000,422000,-110265000,-49255000,9860000,-149238000,-7600000,27925000,-6621000,-86337000,272289000,199656000,92907000,92907000,92907000,38104000,321087000,-41935000,0.44119,0.33747,0.03003,0.00374,-1.49208,7.02763,0.04274,1.10995,1.10995,3.28902,35.19993,-1.65614,0.30015,0.00475,-0.00558,0.27041,6.59784,6.84223
"46","2021_Q3",43.73859375,"Down",81833000,56935000,61770000,-4835000,24898000,7262000,18316000,3025000,84858000,-45198000,-2146000,-43052000,39660000,39660000,39660000,-9425000,30235000,30235000,30223000,30223000,69101000,400346000,1440451000,5346684000,-136361000,5483045000,47617000,83937000,330558000,7718694000,6345410000,4493478000,1851932000,172344000,140094000,115389000,6773237000,436538000,-101711000,558795000,7604000,901226000,945457000,7718694000,30235000,1314000,-3025000,65866000,-50323000,44067000,899000,-123524000,14736000,14079000,-93810000,-7808000,-9091999.99999999,-13687000,-88395000,302218000,183236000,133493000,133493000,133493000,40974000,312438000,975000.000000007,0.48465,0.36933,0.03197,0.00392,0.0322600000000004,7.16398,0.04048,1.1936,1.1936,3.23183,35.59214,0.0385100000000003,0.30836,0.00493,0.00013,0.25835,5.93881,6.13558
"47","2021_Q4",47.024375,"Up",87721000,62224000,66729000,-4505000,25497000,9199000,16298000,2559000,90280000,-48064000,-1815000,-46249000,42216000,42216000,42216000,-9735000,32481000,32481000,32483000,32483000,77740000,559542000,1610429000,5225042000,-133755000,5358797000,46748000,83931000,360660000,7964092000,6522505000,4510116000,2012389000,215665000,140065000,129460000,7007695000,436538000,-111253000,583631000,2417000,911333000,956397000,7964092000,32481000,1216000,-2559000,58442000,-71062000,18518000,942000,-178463000,106714000,16957000,-53850000,-7997000,42903000,-9669000,751209000,-573279000,203167000,167835000,167835000,167835000,43432000,355730000,-16953000,0.48125,0.3703,0.03396,0.00408,-0.5219,7.32718,0.04467,1.3111,1.3111,3.54067,36.78395,-0.68427,0.32278,0.00508,-0.00213,0.24619,6.40058,6.58494
"48","2022_Q1",48.0393548387097,"Up",83895000,60067000,63981000,-3914000,23828000,5624000,18204000,1117000,85012000,-48746000,-3102000,-45644000,36266000,36266000,36266000,-8531000,27735000,27735000,27723000,27723000,54420000,470767000,2251816000,4369830000,-127492000,4497322000,547628000,83926000,317902000,8096289000,6679065000,4626084000,2052981000,200027000,130015000,117718000,7126825000,436538000,-114209000,603787000,-9861000,916255000,969464000,8096289000,27735000,1202000,-1117000,82197000,-48330000,61687000,-741000,-297633000,-35781000,32494000,-301661000,-7935000,-25810000,-3069000,156560000,8133000,127879000,-112095000,-112095000,-112095000,37468000,330042000,-3072000,0.43228,0.33045,0.0286,0.00342,-0.11081,7.3513,0.04076,1.11898,1.11898,3.38624,36.98262,-0.12399,0.32028,0.0044,-0.000380000000000001,0.28622,7.3562,7.60001
"49","2022_Q2",44.1801612903226,"Down",82763000,59618000,62049000,-2431000,23145000,6986000,16159000,-2233000,80530000,-45336000,-1608000,-43728000,35194000,35194000,35194000,-7793000,27401000,27401000,27390000,27390000,69195000,347697000,1882969000,5264044000,-129959000,5394003000,45960000,83921000,318677000,8012463000,6673092000,4611981000,2061111000,199158000,128327000,92416000,7092993000,436538000,-115654000,624503000,-80537000,864850000,919470000,8012463000,27401000,1177000,2233000,46801000,-35809000,41803000,1884000,-86800000,-66069000,18862000,-132123000,-7918000,-3309000,-2175000,-32116000,27542999.9999999,-17975000,-108295000,-108295000,-108295000,36371000,327485000,10239000,0.42524,0.33094,0.02979,0.00342,0.37382,7.71422,0.04087,1.10554,1.10554,3.34055,34.90777,0.41327,0.31959,0.00441,0.00128,0.28908,7.10154,7.33904
"50","2022_Q3",46.85890625,"Up",86292000,63462000,68029000,-4567000,22830000,7503000,15327000,-2503000,83789000,-45655000,-2094000,-43561000,38134000,38134000,38134000,-8804000,29330000,29330000,29314000,29314000,116915000,164848000,1861927000,3572414000,-132865000,3705279000,1891187000,83916000,338152000,8029359000,6744896000,4712330000,2032566000,167839000,107223000,98734000,7118692000,436538000,-119876000,646600000,-107011000,856251000,910667000,8029359000,29330000,1145000,2503000,15172000,-1.3e+07,35150000,-113000,-14793000,-171156000,8813000,-177249000,-7912000,-52293000,-4409000,-67072000,138656000,6970000,-135129000,-135129000,-135129000,39279000,275062000,34970000,0.44192,0.33971,0.03219,0.00365,1.19295,7.81701,0.03426,1.1872,1.1872,3.49477,34.67762,1.41626,0.32043,0.00464,0.00436,0.26991,4.02625,4.14714
