"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",32.7683606557377,"Down",179629000,-115541000,64088000,-31766000,-6932000,-24834000,32322000,-9284000,-9284000,23038000,-11106000,11932000,0,11932000,11932000,-33000,11899000,-4024000,7875000,25410000,25410000,29206000,29206000,7123000,7123000,61739000,2456450000,2456450000,2529129000,2590868000,143363000,141290000,2073000,58742000,58742000,1087342000,0,1087342000,1e+05,1686125000,-191013000,1498901000,4625000,1503526000,2590868000,11932000,24834000,3837000,1955000,42558000,-17281000,-17281000,-26290000,22179000,-1000,-1000,-9290000,-13402000,11875000,11875000,11875000,57156000,885237000,41830000,0.35678,0.17994,0.04384,0.00524,0.00304,5.31175,0.05678,0.72319,0.34168,0.11451,0.11351,2.6119,21.79335,0.60823,0.38227,0.0143,3.33841,15.04351,26.60191
"31","2018_Q2",34.305,"Up",181055000,-114143000,66912000,-27512000,-2610000,-24902000,39400000,-9748000,-9748000,29652000,-5565000,24087000,429000,24516000,24516000,-107000,24409000,-4023000,20386000,173728000,15969000,33798000,33798000,7254000,7254000,214780000,2446670000,2446670000,2527146000,2741926000,139090000,135747000,3343000,59568000,59568000,939198000,302398000,1241596000,1e+05,1683735000,-197359000,1495412000,4918000,1500330000,2741926000,24516000,24902000,1427000,-9554000,41291000,-16184000,-174522000,-26753000,157204000,-2507000,-2507000,-4023000,123921000,-9310000,-9310000,-9310000,64302000,943540000,38135000,0.36957,0.21761,0.1126,0.01359,0.00743,1.87065,0.22868,0.82755,0.34412,0.29598,0.29456,2.62869,21.71006,0.55367,0.38842,0.01853,1.31232,11.97182,19.53838
"32","2018_Q3",35.1319047619048,"Up",206501000,-120008000,86493000,-33131000,-8569000,-24562000,53362000,-10757000,-10757000,42605000,18028000,60633000,-2338000,58295000,58295000,-192000,58103000,-4024000,54079000,387252000,17253000,34971000,34971000,8263000,8263000,430486000,2439140000,2439140000,2523644000,2954130000,141020000,138750000,2270000,57862000,57862000,939074000,482422000,1421496000,1e+05,1685327000,-169600000,1527354000,5280000,1532634000,2954130000,58295000,24562000,-16766000,-4893000,61198000,-19143000,-210327000,-26325000,181813000,0,0,-4066000,151422000,2293000,2293000,2293000,77924000,1123192000,56226000,0.41885,0.25841,0.26188,0.03529,0.01831,1.0397,0.45842,0.92749,0.38021,0.78475,0.78144,2.99658,22.16232,0.81591,0.38201,0.02918,0.48679,9.44433,13.79146
"33","2018_Q4",30.9444444444444,"Down",205480000,-119663000,85817000,-35051000,-10286000,-24765000,50766000,-12607000,-12607000,38159000,-6523000,31636000,-1719000,29917000,29917000,-125000,29792000,-4023000,25769000,391917000,18026000,36317000,36317000,8485000,8485000,436719000,2437679000,2437679000,2639744000,3076463000,151023000,147564000,3459000,57194000,57194000,1048035000,493445000,1541480000,1e+05,1687219000,-170284000,1529391000,5592000,1534983000,3076463000,29917000,24765000,1930000,11713000,68325000,-21642000,-133642000,-26325000,112342000,0,-2.3283064365387e-10,-19705000,66312000,995000,995000,995000,75531000,1233818000,67321000,0.41764,0.24706,0.12541,0.01679,0.00838,2.61248,0.4167,1.00423,0.40105,0.37394,0.37208,2.98177,22.19188,0.97691,0.38201,0.01816,1.02158,11.14643,16.58395
"34","2019_Q1",29.6924590163934,"Down",235642000,-158020000,77622000,-22791000,519999.999999998,-34246000,54831000,-20811000,-20811000,34020000,-135249000,-101229000,1886000,-99343000,-99343000,432000,-98911000,-5396000,-104307000,83366000,83366000,59897000,59897000,24445000,24445000,167708000,6534193000,6534193000,6810640000,6978348000,363020000,360279000,2741000,98500000,98500000,3208418000,0,3208418000,204000,4067107000,-308806000,3759835000,10095000,3769930000,6978348000,-99343000,34246000,49019000,-19039000,-35117000,-4248999.99999999,-1264833000,-26326000,1425242000,0,0,-17666000,1381250000,81300000,81300000,81300000,89077000,2746898000,63903000,0.32941,0.23269,-0.44265,-0.02767,-0.01495,-0.61264,0.05227,0.85106,0.39363,-1.15327,-1.16574,2.60538,41.56842,0.70654,0.29107,-0.01197,-0.25239,29.90146,48.57712
"35","2019_Q2",28.811746031746,"Down",367169000,-236807000,130362000,-66491000,-8629000,-54302000,63871000,-29328000,-29328000,34543000,-33925000,618000,5037000,5655000,5655000,-20000,5635000,-8139000,-2504000,51417000,51417000,71971000,71971000,25654000,25654000,149042000,6615258000,6615258000,6684155000,6833197000,509626000,503826000,5800000,109414000,58179000,3126398000,0,3126398000,204000,4065135000,-361081000,3696549000,10250000,3706799000,6833197000,5655000,54302000,7078000,-10697000,56338000,201746000,201746000,-35493000,-241078000,-4009000,-4009000,-8244000,-288824000,-30740000,-30740000,-30740000,118173000,2507358000,304185000,0.35505,0.17396,-0.00682,-0.00068,-0.00037,-121.47963,0.04767,0.84342,0.36694,-0.0192,-0.0192,2.81504,28.33945,2.33215,0.27212,0.00531,-14.17452,20.78259,38.45158
"36","2019_Q3",26.49859375,"Down",442083000,-251008000,191075000,-63238000,-8809000,-53299000,127837000,-28719000,-28719000,99118000,-32021000,67097000,-6579000,60518000,60518000,-145000,60373000,-8139000,52234000,41988000,41988000,75394000,75394000,142440000,28274000,259822000,6421038000,6421038000,6470892000,6730714000,529129000,524145000,4984000,112585000,59469000,3040440000,2.98023223876953e-08,3040440000,204000,4066977000,-358615000,3679768000,10506000,3690274000,6730714000,60518000,53299000,8575000,15390000,137782000,24272000,24272000,-49780000,-110812000,0,0,-8271000,-168863000,-6809000,-6809000,-6809000,181136000,2398726000,227377000,0.43222,0.28917,0.11815,0.01415,0.00776,4.35305,0.08546,0.82391,0.35639,0.40031,0.39906,3.38799,28.19908,1.74255,0.3815,0.01675,0.95302,13.01088,18.43549
"37","2019_Q4",25.8196875,"Down",423552000,-247490000,176062000,-79619000,-8315000,-69775000,96443000,-26465000,-26465000,69978000,-35616000,34362000,-4382000,29980000,29980000,-89000,29891000,-8139000,21752000,29758000,29758000,70990000,70990000,55899000,27048000,156647000,6329968000,6329968000,6387966000,6544613000,542690000,537016000,5674000,115729000,58734000,2888147000,0,2888147000,204000,4068834000,-386631000,3645735000,10731000,3656466000,6544613000,29980000,69775000,11216000,11010000,121981000,93304000,93304000,-49781000,-170740000,0,-4.65661287307739e-10,-8220000,-228741000,-13456000,-13456000,-13456000,166218000,2229728000,274914000,0.41568,0.2277,0.05136,0.00595,0.00332,12.63856,0.05424,0.78987,0.3407,0.1667,0.16637,3.24598,27.93826,2.10686,0.38151,0.01215,2.28857,13.23545,22.81109
"38","2020_Q1",20.19,"Down",379409000,-238863000,140546000,-68482000,-8294000,-57504000,72064000,-23933000,-23962000,48131000,-29311000,18820000,752000,19572000,19572000,-29000,19543000,-8139000,11404000,30098000,30098000,49619000,49619000,86251000,26777000,165968000,6332587000,6332587000,6332587000,6498555000,264860000,260166000,4694000,372539000,314835000,637399000,2229220000,2866619000,204000,4070715000,-424996000,3621208000,10728000,3631936000,6498555000,19572000,57504000,4660000,-2635000,79101000,-18602000,-19354000,-49782000,-1488999.99999994,0,0,-8407000,-59678000,69000.0000000298,69000.0000000298,69000.0000000298,129568000,2229220000,107579000,0.37043,0.18994,0.0300600000000001,0.00314,0.00175,9.43344,0.26038,0.78928,0.34303,0.0874,0.08719,2.90768,27.75033,0.82445,0.38151,0.01044,4.36531,16.97272,30.51624
"39","2020_Q2",12.3092063492063,"Down",269107000,-201454000,67653000,-79838000,-22577000,-55828000,-12185000,-23567000,-23591000,-35752000,67076000,31324000,10744000,42068000,42068000,-119000,41949000,-8139000,33810000,727372000,727372000,24707000,24707000,19396000,19396000,771475000,6106943000,6106943000,6166468000,6937943000,551882000,546196000,5686000,50037000,9304000,3310177000,0,3310177000,204000,4077033000,-391950000,3606307000,21459000,3627766000,6937943000,42068000,55828000,-73927000,-22477000,1492000,269937000,269937000,-50027000,477885000,-1255000,-1255000,-8139000,418464000,689893000,689893000,689893000,43643000,2708258000,280359000,0.2514,-0.04528,0.12564,0.00932,0.00487,8.29219,0.23306,0.91246,0.39035,0.25897,0.25873,2.06124,27.62115,2.14743,0.38318,0.01323,1.47965,45.3884,-162.56758
"40","2020_Q3",11.92703125,"Down",22592000,-40585000,-17993000,-65139000,-8216000,-55520000,-83132000,-23788000,-24091000,-106920000,-27559000,-134479000,3565000,-130914000,-130914000,401000,-130513000,-8139000,-138652000,339810000,339810000,8678000,8678000,69901000,13027000,418389000,6021473000,6021473000,6076714000,6495103000,250586000,247094000,3492000,302801000,267424000,3006357000,0,3006357000,204000,4078803000,-531914000,3467708000,21038000,3488746000,6495103000,-130914000,55520000,6864000.00000001,-19544000,-88074000,-39537000.0000001,-39537000.0000001,-1311000,-253252000,4.65661287307739e-10,0,-11757000,-266320000,-393931000,-393931000,-393931000,-27612000,2452970000,-90258000.0000001,-0.79643,-3.67971,-6.13722,-0.03974,-0.02135,0.650970000000001,0.13917,0.86173,0.37766,-1.06195,-1.06295,0.17303,26.55792,-0.69129,0.01004,-0.02311,-0.00946,-76.53049,-25.41933
"41","2020_Q4",16.10578125,"Up",76980000,-70951000,6029000,-65079000,-7466000,-56696000,-59050000,-27399000,-27514000,-86449000,-38333000,-124782000,-5778000,-130560000,-130560000,253000,-130307000,-8139000,-138446000,204553000,204553000,11312000,11312000,12422000,12422000,228287000,5980580000,5980580000,6037502000,6265789000,253156000,247623000,5533000,298448000,264483000,2905670000,1276594732.9851,2905670000,204000,4093909000,-671667000,3352783000,7336000,3360119000,6265789000,-130560000,56696000,6887000,6701000,-60276000,34288000,34288000,-1311000,-100424000,0,1.16415321826935e-10,-8139000,-109874000,-135862000,-135862000,-135862000,-2354000,2354066000,44413000,0.07832,-0.76708,-1.79847,-0.0412,-0.0221,-0.3208,0.07857,0.86475,0.3757,-1.0597,-1.0597,0.58922,25.66143,0.33995,0.01003,-0.024,-0.00947000000000001,-913.13212,-36.40157
"42","2021_Q1",21.8790163934426,"Up",74209000,-66436000,7773000,-64083000,-6899000,-56516000,-56310000,-28827000,-28902000,-85137000,-83216000,-168353000,-4834000,-173187000,-173187000,329000,-172858000,-8139000,-180997000,124274000,124274000,10225000,10225000,59845000,12026000,194344000,5882022000,5882022000,5882022000,6076366000,231099000,226446000,4653000,300470000,264413000,531569000,2280471000,2812040000,204000,4171177000,-853973000,3257337000,6989000,3264326000,6076366000,-173187000,56516000,63855000,-2102000,-54918000,-14571000,-14571000,-1311000,49318000,0,0,-59193000,-11186000,-80675000,-80675000,-80675000,206000,2280471000,-11633000,0.10474,-0.7588,-2.43902,-0.05545,-0.02979,0.0642699999999998,0.3656,0.86145,0.3753,-1.38511,-1.38511,0.5679,24.92568,-0.0890199999999998,0.01003,-0.03241,-0.00724,10466.97573,-38.29155
"43","2021_Q2",23.4539682539683,"Up",83643000,-72681000,10962000,-63651000,-7646000,-55443000,-52689000,-25302000,-25331000,-77991000,-43446000,-121437000,-3000,-121440000,-121440000,858000,-120582000,-8139000,-128721000,113338000,113338000,16647000,16647000,147197000,101678000,277182000,5731727000,5731727000,5731727000,6008909000,248365000,239278000,9087000,307408000,266206000,555773000,2433980000,2989753000,204000,4040168000,-983771000,3012684000,6472000,3019156000,6008909000,-121440000,55443000,23372000,35489000,-7136000,-9623000,-9670000,-1312000,45870000,-720000,-720000,-38700000,5138000,-11668000,-11668000,-11668000,2754000,2433980000,28623000,0.13106,-0.62993,-1.53893,-0.04263,-0.02142,-0.22236,0.49873,0.99026,0.40506,-0.98429,-0.98429,0.63959,23.03544,0.21887,0.01003,-0.02336,-0.01019,842.64415,-44.04415
"44","2021_Q3",22.06984375,"Down",163314000,-107235000,56079000,-64946000,-9724000,-54701000,-8867000,-24775000,-24804000,-33642000,35122000,1480000,-52000,1428000,1428000,102000,1530000.00000001,-10094000,-8563999.99999999,312064000,312064000,27476000,27476000,67102000,10946000,406642000,5667707000,5667707000,5667707000,6074349000,248058000,243812000,4246000,312729000,265609000,560787000,2274916000,2835703000,296000,4264781000,-993654000,3231603000,7043000,3238646000,6074349000,1428000,54701000,-55773000,4496999.99999999,4853000,137479000,137462000,-1322000,-156781000,2.3e+08,0,-15834000,56063000,198378000,198378000,198378000,45834000,2274916000,187862000,0.34338,-0.05429,-0.05244,-0.00264,-0.00141,-21.93624,0.72513,0.87558,0.37451,-0.06549,-0.06549,1.24881,24.70874,1.43652,0.01011,-0.00131,-0.15437,42.8252400000009,-221.36596
"45","2021_Q4",22.46515625,"Up",238810000,-148051000,90759000,-65356000,-9433000,-55492000,25403000,-22903000,-22930000,2500000,-26033000,-23533000,-5000,-23538000,-23538000,125000,-23413000,-20571000,-43984000,157554000,157554000,31523000,31523000,75513000,25114000,264590000,5962878000,5962878000,5962878000,6227468000,271871000,263424000,8447000,369065000,315943000,640936000,2384230000,3025166000,296000,4267003000,-1038955000,3194915000,7387000,3202302000,6227468000,-23538000,55492000,7890000,6692000,46536000,-116695000,-116727000,-1323000,-50362000,2.5e+08,0,-268466000,-70151000,-140342000,-140342000,-140342000,80895000,2384230000,-29103000,0.38005,0.10637,-0.18418,-0.01374,-0.00706,0.66167,0.41282,0.94468,0.38286,-0.33623,-0.33623,1.82557,24.42113,-0.22248,0.01011,-0.00764,-0.03008,27.52551,87.65406
"46","2022_Q1",22.9053225806452,"Up",247277000,-168613000,78664000,-70400000,-11363000,-58615000,8264000,-23540000,-23568000,-15276000,-27545000,-42821000,-999.999999999942,-42822000,-42822000,429000,-42393000,-11356000,-53749000,58518000,58518000,37045000,37045000,86294000,33729000,181857000,6079333000,6079333000,6079333000,6261190000,255151000,250584000,4567000,400246000,331182000,655397000,2441888000,3097285000,296000,4269350000,-1094023000,3156181000,7724000,3163905000,6261190000,-42822000,58615000,7806000.00000001,2914000,26513000,-92602000,-92634000,-1322000,-21050000,0,0,-1927999.99999994,-24300000,-90421000,-90421000,-90421000,66879000,2441888000,-22808000,0.31812,0.03342,-0.21736,-0.01699,-0.00858,0.42434,0.27748,0.97894,0.39,-0.41088,-0.41088,1.8903,24.12503,-0.17435,0.01011,-0.00935,-0.0246,35.63705,288.40392
"47","2022_Q2",22.0398387096774,"Down",258068000,-174360000,83708000,-69931000,-9708000,-59100000,13777000,-22553000,-22572000,-8776000,-91440000,-100216000,-670530.461996409,-100216000,-100216000,686000,-99530000,-11344000,-110874000,69446000,69446000,40645000,40645000,93425000,26507000,203516000,5975857000,5975857000,5975857000,6179373000,241653000,233298000,8355000,409696000,330940000,651349000,2443090000,3094439000,296000,4270631000,-1206019000,3.077e+09,7934000,3084934000,6179373000,-100216000,59100000,67409000,12539000,38832000,-19906000,-19953000,-1322000,-1362000,-1113000,-1113000,-11376000,-15173000,3706000,3706000,3706000,72877000,2443090000,873209498.013642,0.32436,0.05339,-0.42963,-0.03594,-0.01794,-98.7178721068205,0.31245,1.00308,0.39536,-0.84757,-0.84757,1.97279,23.51973,6.67695063226543,0.01011,-0.01982,-0.01192,32.57055,172.29034
"48","2022_Q3",17.96625,"Down",397524000,-228396000,169128000,-71893000,-9686000,-60274000,97235000,-23147000,-23161000,74088000,-45291000,28797000,-2152591.38598923,28797000,28797000,-808000,27989000,-11343000,16646000,32046000,32046000,54899000,54899000,262503000,177549000,349448000,6039477000,6039477000,6039477000,6388925000,265990000,261169000,4821000,412508000,337168000,678498000,2517751000,3196249000,296000,4272478000,-1190693000,3105829000,86847000,3192676000,6388925000,28797000,60274000,19704000,-4978000,103797000,-196699000,-196738000,-1322000,72583000,0,0,-11483000,59778000,-33163000,-33163000,-33163000,157509000,2517751000,3258413494.04093,0.42545,0.2446,0.04187,0.00521,0.00261,-363.911996320461,0.51503,1.00112,0.39408,0.12716,0.10357,3.03674,23.72359,24.9152018967963,0.0101,0.00315,0.07942,15.78135,25.56389
