"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","current_income_tax","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",42.652380952381,"Down",641387000,-532880000,108507000,-36968000,-36968000,71539000,-6533000,-6533000,65006000,65006000,-15944000,-15944000,-12823000,36239000,36239000,-3288000,32951000,32951000,589969000,589969000,322328000,322328000,396518000,167398000,167398000,1476213000,726109000,228261000,70347000,954370000,2430583000,885660000,447827000,102919000,102919000,988579000,36657000,36657000,56994000,1045573000,438560000,808202000,-21250000,1225512000,159498000,1385010000,2430583000,36239000,18707000,14340000,17993000,87279000,-40467000,2405000,-41778000,8949000,-30172000,-29543000,15958000,15958000,-11997000,3961000,90246000,20337000,83716000,0.16918,0.11154,0.05137,0.02379,0.01356,2.54062,1.49327,0.75492,0.00837,1.02766,1.00106,20.00334,38.22081,2.6109,0.02862,0.05806,-6.31199,-7.96254
"32","2019_Q1",34.6983606557377,"Down",689206000,-583319000,105887000,-46753000,-46753000,59134000,-8786000,-8786000,50348000,50348000,-10115000,-10115000,-3075000,37158000,37158000,-6223000,30935000,30935000,530655000,530655000,348406000,348406000,432314000,139745000,139745000,1451120000,780051000,234293000,78211000,1014344000,2465464000,886062000,449857000,105954000,105954000,992016000,31740000,31740000,59465000,1051481000,442569000,830898000,-23366000,1250101000,163882000,1413983000,2465464000,37158000,19195000,9544000.00000001,-42182000,23715000,-34796000,1032000,-73638000,4415000,-3627000,-7260000,-57183000,-57183000,-2204000,-59387000,78329000,27725000,11466000,0.15364,0.0858,0.04488,0.02188,0.01255,0.37065,1.4628,0.74363,0.01125,0.94666,0.93691,21.09083,38.25513,0.35088,0.02646,0.00778,-6.42074,-8.50492
"33","2019_Q2",27.8644444444444,"Down",604523000,-531990000,72533000,-36079000,-36079000,36454000,-4404000,-4404000,32050000,32050000,-9135000,-9135000,467000,23382000,23382000,-5426000,17956000,17956000,462797000,462797000,306917000,306917000,492573000,242287000,242287000,1504574000,778402000,232148000,77508000,1010550000,2515124000,926068000,438304000,108566000,108566000,1034634000,30631000,30631000,52820000,1087454000,440958000,846018000,-29345000,1257631000,170039000,1427670000,2515124000,23382000,20700000,-8629000,-132572000,-97119000,5820000,1784000,-3789000,46707000,-10698000,35542000,-65366000,-65366000,-2439000,-67805000,57154000,22189000,-60463000,0.11998,0.0603,0.0297,0.01258,0.00714,-3.36729,1.45421,0.7617,0.00882,0.55012,0.54259,18.52093,38.53036,-1.85242,0.01244,-0.04084,-7.70914,-12.08668
"34","2019_Q3",23.91453125,"Down",658671000,-604827000,53844000,-35790000,-35790000,18054000,-9237000,-9237000,8817000,8817000,-2248000,-2248000,-786000,5783000,5783000,-3018000,2765000,2765000,341500000,341500000,335732000,335732000,574146000,185056000,185056000,1436434000,854075000,242712000,82743000,1096787000,2533221000,960970000,474863000,91533000,91533000,1052503000,29481000,29481000,51804000,1104307000,444962000,840478000,-27622000,1257818000,171096000,1428914000,2533221000,5783000,20115000,-90314000,16899000,-47517000,-40117000,-1784000,-41901000,-4355000,-1892000,-22431000,-111849000,-111849000,3264000,-108585000,38169000,22323000,17199000,0.08175,0.02741,0.0042,0.00194,0.00109,6.22025,1.36478,0.77283,0.00881,0.08474,0.08327,20.18729,38.55026,0.52712,0.0128,0.01162,-8.3622,-17.67902
"35","2019_Q4",26.675,"Up",856152000,-749580000,106572000,-53383000,-53383000,53189000,-9770000,-9770000,43419000,43419000,-13008000,-13008000,-4564000,25847000,25847000,-10599000,15248000,15248000,359625000,359625000,330385000,330385000,592099000,151960000,151960000,1434069000,854743000,224376000,74318000,1079119000,2513188000,957024000,473106000,76170000,76170000,1033194000,12089000,12089000,38041000,1071235000,449002000,847433000,-34120000,1262315000,179638000,1441953000,2513188000,25847000,20018000,27993000,-23345000,50513000,-14918000,1986000,-12932000,963000,-8420000,-15878000,21703000,21703000,-3691000,18012000,73207000,25952000,47952000,0.12448,0.06213,0.01781,0.01057,0.00607,3.14481,1.388,0.74291,0.01033,0.46772,0.45948,26.26153,38.72013,1.47088,0.01599,0.0324,-4.55794,-6.27335
"36","2020_Q1",21.371935483871,"Down",914245000,-780708000,133537000,-88056000,-88056000,45481000,-7501000,-7501000,37980000,68918000,-17197000,-17197000,-922000,50799000,50799000,-15692000,35107000,35107000,329684000,329684000,373383000,373383000,664693000,191072000,191072000,1558832000,1084661000,347144000,129947000,1431805000,2990637000,1391245000,568360000,85070000,85070000,1476315000,13946000,13946000,41061000,1517376000,453943000,867602000,-44815000,1276730000,196531000,1473261000,2990637000,50799000,22898000,42945000,-43760000,72882000,-23591000,109999.999999999,-385359000,298609000,-10820000,279668000,-32809000,-32809000,-9800000,-42609000,68379000,27115000,18225000,0.14606,0.04975,0.0384,0.02383,0.01174,0.519130000000001,1.05589,1.02994,0.00907,1.0772,1.05817,28.05207,39.17431,0.5592,0.02855,0.01204,-4.42488,-6.65265
"37","2020_Q2",17.825873015873,"Down",769359000,-677170000,92189000,-54364000,-54364000,37825000,-12852000,-12852000,24973000,28932000,-5994000,-5994000,1073000,24011000,24011000,-16342000,7669000,7669000,253602000,253602000,313786000,313786000,733806000,143967000,143967000,1445161000,1126917000,376698000,129468000,1503615000,2948776000,1345619000,527789000,59657000,59657000,1405276000,9417000,9417000,38919000,1444195000,454900000,871300000,-44392000,1281808000,222773000,1504581000,2948776000,24011000,29335000,-4622000,-119043000,-70319000,4247000,4452000,7199000,-7350000,-6405000,-14098000,-77218000,-77218000,981000,-76237000,67160000,29502000,-41642000,0.11983,0.04916,0.00997,0.0051,0.0026,-5.42991,1.02838,0.95987,0.01,0.23504,0.23041,23.57899,39.28432,-1.27623,0.00519,-0.02698,-3.33681,-5.92465
"38","2020_Q3",24.98046875,"Up",623848000,-537512000,86336000,-54597000,-54597000,31739000,-12609000,-12609000,19130000,25827000,-7463000,-7463000,1651000,20015000,20015000,-6386000,13629000,13629000,169899000,169899000,326229000,326229000,709115000,263642000,263642000,1468885000,1109300000,369475000,129684000,1478775000,2947660000,1311758000,499898000,70869000,70869000,1382627000,9173000,9173000,46369000,1428996000,458908000,875885000,-48321000,1286472000,232192000,1518664000,2947660000,20015000,30003000,6206000,-119079000,-62855000,-3254000,6821000,3566999.99999994,476000,-4196000,-20689000.0000001,-79977000,-79977000,-3805000,-83782000,61742000,37196000,-53128000,0.13839,0.05088,0.02185,0.00897,0.00462,-3.89816000000004,1.06239,0.94096,0.01262,0.41729,0.40708,19.1007,39.38863,-1.62665,0.01955,-0.03395,-2.14931,-4.18107
"39","2020_Q4",30.82921875,"Up",762557000,-655026000,107531000,-49494000,-49494000,58037000,-7562000,-7562000,50475000,59250000,-24421000,-24421000,1040000,35869000,35869000,-8097000,27772000,27772000,735258000,735258000,261629000,261629000,675442000,144848000,144848000,1817177000,1074996000,386858000,130035000,1461854000,3279031000,1295888000,488969000,63536000,63536000,1359424000,4354000,4354000,420889000,1780313000,459668000,894619000,-63066000,1291221000,207497000,1498718000,3279031000,35869000,23114000,-16704000,179927000,222206000,22202000,0,22202000,372804000,-27817000,335955000,580363000,580363000,-14869000,565494000,81151000,416535000,307701000,0.14101,0.07611,0.03642,0.01853,0.00847,11.07954,1.33673,1.18789,0.12703,0.84956,0.82956,23.32692,39.49896,9.4127,0.01917,0.16029,-3.92753,-5.49172
"40","2021_Q1",40.2793442622951,"Up",636436000,-569392000,67044000,-46245000,-46245000,40799000,-10577000,-10577000,30222000,10791000,-2322000,-16271531.2215699,-764000,7704999.99999999,7704999.99999999,-7775000,-70000.0000000037,-70000.0000000037,833745000,833745000,230488000,230488000,529529000,125122000,116013000,1718884000,1061966000,392984000,130308000,1454950000,3173834000,463880000,463880000,42467000,42467000,506347000,7701000,7701000,1163315000,1669662000,460400000,885460000,-52817000,1293043000,211129000,1504172000,3173834000,7705000,27448000,2520000,145495000,183168000,-6595000,1427000,-5468000,-73130000,-2682000,-84668000.0000001,93032000,93032000,5093000,98125000,68247000,1155614000,209469000,0.10534,0.06411,-0.000109999999999999,-5e-05,-2e-05,-2992.41429,3.39468,1.11002,0.36411,-0.00214000000000003,-0.00209000000000004,19.46287,39.5426,6.40578,0.00329,0.07853,4.71624,7.88914
"41","2021_Q2",43.8603174603175,"Up",402999999,-362300000,40699999,-43700000,-43700000,-3000001,-11100000,-11100000,-14100001,-13200001,7300000,7299999.99999999,-8e+05,-6700001,-6700001,-3300000,-10000001,-10000001,724547000,724547000,240668000,240668000,490282000,59634000,59634000,1515131000,1141875000,389078000,130315000,1530953000,3046084000,1231227000,434138000,36916000,36916000,1268143000,10120000,10120000,286368000,1554511000,462498000,866367000,-48458000,1280407000,211166000,1491573000,3046084000,-6700000,2.6e+07,6500000,-17200000,8600000,-29900000,5e+06,-24900000,-83600000,-5100000,-97900000,-114200000,-114200000,5200000,-1.09e+08,22999999,276248000,-31400001,0.10099,-0.00744,-0.02481,-0.0067,-0.00328,3.14,1.19476,1.0422,0.0906899999999999,-0.3056,-0.3056,12.3155,39.12866,-0.95957,-0.000449999999999999,-0.01766,-19.49126,149.43295
"42","2021_Q3",41.16828125,"Down",295600001,-277999999,17600002,-43400000,-43400000,-25799998,-9600000,-9600000,-35399998,-35299998,21800000,21800000,-4e+05,-13899998,-13899998,4800000,-9099998,-9099998,593499000,593499000,236171000,236171000,522984000,180004000,117901000,1532658000,1132919000,393788000,132685000,1526707000,3059365000,1241760000,448571000,42572000,42572000,1284332000,24798000,24798000,300637000,1584969000,466994000,848192000,-46684000,1268502000,205894000,1474396000,3059365000,-13900000,24900000,21200000,-135600000,-103400000,-9100000,0,-9100000,-6999999.99999999,-9e+05,-16700000,-129200000,-129200000,-1800000,-1.31e+08,-899998,275839000,-167399998,0.05954,-0.08728,-0.03078,-0.00617,-0.00297,18.3956100000002,1.19335,1.075,0.09016,-0.27809,-0.27809,9.0334,38.76484,-5.11567,-0.00017,-0.09431,352.95634,12.3124
"43","2021_Q4",41.62515625,"Up",450200000,-375000001,75199999,-49300000,-49300000,25899999,-10200000,-10200000,15699999,10699999,6900000,6900000,2500000,20099999,20099999,-3e+05,19799999,19799999,628200000,628200000,274792000,274792000,553137000,237841000,162706000,1693970000,1122898000,393299000,133050000,1516197000,3210167000,1315400000,480373000,43676000,43676000,1359076000,44900000,44900000,370050000,1729126000,467806000,858947000,-39990000,1286763000,194278000,1481041000,3210167000,20100000,24700000,15700000,-89500000,-2.9e+07,-11700000,-3600000,-15300000,129500000,-2.8e+07,72600000,28300000,28300000,6500000,34800000,50599999,325150000,-57500001,0.16704,0.05753,0.04398,0.01337,0.00617,-2.90404,1.24641,1.16751,0.10129,0.60508,0.60508,13.75791,39.32289,-1.75717,0.0155,-0.03106,-5.98912999999999,-11.70077
"44","2022_Q1",43.596935483871,"Up",599100000,-5.01e+08,98100000,-55400000,-55400000,43900000,-12400000,-12400000,31500000,29200000,4200000,-58331315.8014443,2200000,35600000,35600000,-3900000,31700000,31700000,646800000,646800000,306400000,306400000,573600000,188300000,76200000,1715100000,1.28e+09,395600000,132100000,1675600000,3390700000,569800000,569800000,42800000,42800000,612600000,73300000,73300000,1.272e+09,1884600000,469700000,881700000,-43700000,1307700000,198400000,1506100000,3390700000,35600000,25100000,39300000,-16700000,83300000,-72400000,3900000,-68500000,37600000,-9600000,19300000,34100000,34100000,4e+05,34500000,6.9e+07,1198700000,-24300000,0.16375,0.07328,0.05291,0.02105,0.00935,-0.76655999999999,2.79971,1.25131,0.35353,0.97508,0.9443,18.42818,40.22455,-0.74746,0.01454,-0.00875,7.99855,12.57175
"45","2022_Q2",40.665,"Down",550700000,-492800000,57900000,-54600000,-44300000,3300000,-12600000,-12600000,-9300000,-8e+05,1400000,-195263697.404333,5e+06,5600000,5600000,5200000,10800000,10800000,410800000,410800000,393300000,393300000,631400000,232400000,126200000,1667900000,1405700000,396400000,130300000,1802100000,3.47e+09,540400000,540400000,36600000,36600000,5.77e+08,51300000,51300000,1463299999,2040299999,408500000,888700000,-59900000,1237300000,192400000,1429700000,3469999999,5600000,25400000,-11800000,-215900000,-196700000,-158900000,2e+05,-158700000,145600000,-5600000,130700000,-224700000,-224700000,-8800000,-233500000,28700000,1411999999,-347500000,0.10514,0.00599,0.01961,0.00755,0.00311,-32.17593,2.89064,1.42708,0.40692,0.33221,0.32172,16.9394,38.05906,-10.68902,0.00695,-0.12012,34.88502,303.39394
"46","2022_Q3",29.556875,"Down",682800000,-638300000,44500000,-44400000,-54700000,1e+05,-11800000,-11800000,-11700000,13400000,-3200000,-425266894.808666,1e+06,11200000,11200000,1600000,12800000,12800000,586800000,586800000,3.99e+08,3.99e+08,728500000,201700000,95700000,1.916e+09,1296900000,399800000,1.3e+08,1696700000,3612700000,581200000,581200000,4.3e+07,4.3e+07,624200000,51900000,51900000,1553300000,2177500000,413400000,892500000,-53300000,1252600000,182600000,1435200000,3612700000,11200000,25500000,-18400000,-41900000,-23600000,109500000,-3200000,106300000,94500000,-11600000,74100000,156800000,156800000,7800000,164600000,25600000,1501400000,96400000,0.06517,0.000150000000000009,0.01875,0.00892,0.00354,7.53125000000001,3.06953,1.51721,0.41559,0.39373,0.38129,21.00277,38.52968,2.96524,0.00723,0.03226,35.72656,9146
