"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2020_Q2",0.831111111111111,"Down",2876000,-134000,-134000,2742000,-2276000,-1363000,-866000,466000,-27000,-27000,439000,310000,-73000,237000,237000,237000,237000,2421000,2421000,1523000,1523000,571000,3e+05,4752000,482000,8204000,4031000,8686000,13438000,1052000,290000,762000,1404000,266000,2456000,4720000,3275000,6249000,8705000,33516000,-24537000,-4246000,4733000,4733000,13438000,237000,47000,324000,-476000,132000,44000,27000,-2000,157000,157000,157000,513000,1529000,0.95341,0.16203,0.08241,0.0500699999999998,0.01764,1.93485,1.83921,0.11378,0.01569,0.01488,0.19039,0.31332,0.02158,-1.73879,-1.91416
"38","2020_Q3",0.56359375,"Down",2830000,-115000,-115000,2715000,-2452000,-1565000,-838000,263000,-24000,-24000,239000,10000,4000,14000,14000,14000,14000,1971000,1971000,1592000,1592000,330000,286000,4096000,473000,8312000,4138000,8785000,12881000,1172000,365000,807000,1183000,169000,2355000,4328000,3186000,5863000,8218000,33432000,-24537000,-4232000,4663000,4663000,12881000,14000,49000,254000,-802000,-485000,64000,34000,1000,-450000,-450000,-450000,312000,1535000,0.95936,0.09293,0.00495000000000002,0.003,0.00109,1.73928,1.76238,0.11917,0.000930000000000004,0.000880000000000002,0.18734,0.30869,0.00133,-1.39744,-1.65779
"39","2020_Q4",0.8146875,"Up",2705000,-104000,-104000,2601000,-2560000,-1655000,-860000,41000,-24000,-24000,17000,-507000,-4008000,-4515000,-4515000,-4515000,-4515000,1535000,1535000,2016000,2016000,461000,413000,4012000,399000,4557000,4393000,4956000,8968000,1453000,299000,1154000,1150000,154000,2603000,4682000,3686000,6224000,8827000,33425000,-24537000,-8747000,141000,141000,8968000,-4515000,45000,3886000,134000,-450000,9000,3000,11000,-436000,-436000,-436000,86000,1542000,0.96155,0.01516,-1.66913,-32.02128,-0.50346,1.5413,62.60284,0.17194,-0.29788,-0.33393,0.17847,0.00929999999999997,-0.70935,0.0813999999999999,0.17073
"40","2021_Q1",1.28360655737705,"Up",1617000,-86000,-86000,1531000,-1452000,-920000,-487000,79000,-20000,-20000,59000,32000,-1000,31000,30999.9999999991,30999.9999999991,30999.9999999991,2969000,2969000,965000,965000,998000,174000,4932000,366000,4407000,4252000,4773000,9705000,1221000,446000,775000,1293000,254000,2514000,4482000,3522000,6688000,9202000,33756000,-24537000,-8716000,503000,503000,9705000,30999.9999999991,45000,901000,-534000,443000,5999.99999999999,2999.99999999999,989000,1435000,1435000,1435000,124000,2206000,0.94682,0.04886,0.0191699999999999,0.06163,0.00319,1.96181,18.29423,0.22731,0.00203999999999999,0.00203999999999999,0.10633,0.03308,0.00431,-6.15323,-9.65823
"41","2021_Q2",1.38460317460317,"Up",1903000,-78000,-78000,1825000,-1680000,-1089000,-547000,145000,-23000,-23000,122000,78000,-2000,76000,76000,76000,76000,2936000,2936000,1012000,1012000,972000,218000,4920000,358000,4254000,4108000,4612000,9532000,1154000,469000,685000,1358000,293000,2512000,4888000,4015000,6444000,8956000,33753000,-24537000,-8640000,576000,576000,9532000,76000,44000,197000,-324000,-7000,4000,-23000,-3000,-33000,-33000,-33000,189000,1556000,0.95901,0.0762,0.03994,0.131939999999999,0.00797000000000001,1.9586,15.54861,0.16324,0.00492,0.00468,0.12316,0.03728,0.0108300000000001,-7.30159,-9.51724
"42","2021_Q3",1.3034375,"Down",2128000,-75000,-75000,2053000,-1834000,-1185000,-606000,219000,-23000,-23000,196000,104000,-2000,102000,102000,102000,102000,6292000,6292000,919000,919000,1537000,261000,8748000,324000,3707000,3571000,4031000,12779000,1440000,649000,791000,813000,155000,2253000,4652000,3846000,6214000,8467000,37387000,-24537000,-8538000,4312000,4312000,12779000,102000,43000,244000,-689000,-3e+05,22000,23000,3634000,3357000,3357000,3357000,262000,1562000,0.96476,0.10291,0.0479299999999999,0.02365,0.00798,3.88282,1.96359,0.12223,0.00575,0.00549999999999999,0.11995,0.24305,0.00969,-18.05344,-21.59817
"43","2021_Q4",1.235,"Down",2183000,-76000,-76000,2107000,-1920000,-1250000,-629000,187000,-23000,-23000,164000,417000,-1000,416000,416000,416000,416000,6487000,6487000,1192000,1192000,1305000,231000,8984000,295000,3177000,3050000,3472000,12456000,1421000,445000,976000,755000,169000,2176000,3945000,3189000,5514000,7690000,37425000,-24537000,-8122000,4766000,4766000,12456000,416000,41000,-64000,-443000,-50000,14000,11000,-1000,-40000,-40000,-40000,228000,1569000,0.96519,0.08566,0.19056,0.0872800000000001,0.0334,4.12868,1.61351,0.12596,0.02312,0.02214,0.12134,0.26491,0.04047,-21.57018,-26.29947
"44","2022_Q1",1.03693548387097,"Down",2379000,-35000,-35000,2344000,-1837000,-1186000,-612000,507000,-23000,-23000,484000,892000,34000,926000,926000,926000,926000,8330000,8330000,911000,911000,1132000,196000,10373000,445000,2527000,2344000,2972000,13345000,1568000,644000,924000,1137000,626000,4531000,3081000,1911000,3081000,7612000,37466000,-24537000,-7196000,5733000,5733000,13345000,926000,3000,-190000,1103000,1842000,7000,-249000,250000,1843000,1843000,1843000,510000,1826000,0.98529,0.21311,0.38924,0.16152,0.06939,2.28934,1.32775,0.13683,0.05428,0.05185,0.13944,0.33603,0.08703,-12.75294,-12.8284
"45","2022_Q2",0.990322580645161,"Down",2553000,96592.9662046385,96592.9662046385,3108280.25028955,-2236000,-1206000,-986000,317000,-24000,-24000,293000,288000,-3000,285000,285000,285000,285000,7876000,7876000,832000,832000,751000,150000,9459000,420000,2697000,2495000,3117000,12576000,1021000,521000,5e+05,1164000,694000,3888000,2628000,1792000,2628000,6516000,37508000,-24537000,-6911000,6060000,6060000,12576000,285000,36000,166000,-830000,-343000,57000,19000,-130000,-454000,-454000,-454000,353000,1703000,1.05045359143033,0.12417,0.11163,0.04703,0.02266,2.43287,1.07525,0.13542,0.01583,0.01516,0.14179,0.33657,0.02743,-17.48725,-19.47319
"46","2022_Q3",1.28734375,"Up",2696000,364778.898613915,364778.898613915,4756840.75086867,-2209000,-1377000,-784000,487000,-23000,-23000,464000,461000,-4000,457000,457000,457000,457000,8232000,8232000,977000,977000,673000,86000,9882000,385000,2553000,2356000,2938000,12820000,1131000,601000,530000,912000,437000,3723000,2537000,1671000,2537000,6260000,37551000,-24537000,-6454000,6560000,6560000,12820000,457000,56000,150000,-306000,357000,37000,29000.0000000001,-30000,356000,356000,356000,543000,1680000,1.18567077429099,0.18064,0.16951,0.06966,0.03565,2.65431,0.95427,0.13105,0.02538,0.0243,0.14974,0.36434,0.04241,-12.0663,-13.4538
