"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q2",1.90952380952381,"Down",19765000,-8219000,11546000,-6e+06,-4439000,-1553000,5546000,-51000,187000,-238000,5495000,3583000,-2753000,830000,6501000,6501000,6501000,46195000,46195000,1274000,5521000,3580000,1941000,62026000,52067000,87407000,50386000,139474000,201500000,23837000,4174000,43267000,41935000,41935000,41935000,85202000,79150000,-37932000,75080000,116298000,116298000,201500000,830000,1553000,6455000,4748000,13485000,-788000,-788000,-58000,12639000,12639000,12639000,7099000,0,13812000,0.58416,0.2806,0.32891,0.0559,0.03226,2.1246,1.43356,0.73262,0,0.10902,0.10713,0.33146,1.95033,0.23163,0.04108,0.08729,-6.50725,-8.32943
"36","2019_Q3",1.7215625,"Down",25230000,-9819000,15411000,-9041000,-2728000,-1909000,6370000,56000,201000,-145000,6426000,8339000,-9208000,-869000.000000002,-1031000,-1031000,-1031000,48557000,48557000,553000,6976000,4808000,2168000,69914000,51869000,80284000,49338000,132153000,202067000,28008000,8016000,47136000,39259000,39259000,39259000,86395000,79804000,-37870000,73738000,115672000,115672000,202067000,-870999.999999998,1909000,4230000,-2182000,3096000,-375000,-375000,-187000,2534000,2534000,2534000,8279000,0,14930000,0.61082,0.25248,-0.04086,-0.00890999999999997,-0.00509999999999999,-14.48109,1.48324,0.7469,0,-0.01724,-0.01755,0.42189,1.93425,0.24966,-0.00665,0.09637,-5.86508,-7.62276
"37","2019_Q4",1.93484375,"Up",17603000,-9836000,7767000,-6266000,-4738000,-1509000,1501000,55000,193000,-138000,1556000,3821000,-7681000,-3860000,-3921000,-3921000,-3921000,57227000,57227000,775000,9038000,6996000,2042000,74543000,56617000,77826000,51923000,134443000,208986000,33755000,6658000,58341000,40758000,40758000,40758000,99099000,80011000,-39943000,69819000,109887000,109887000,208986000,-3858000,1509000,4479000,14922000,12470000,-2219000,-2219000,-2047000,8204000,8204000,8204000,3010000,0,23394000,0.44123,0.08527,-0.22275,-0.03568,-0.01876,-5.96634,1.27771,0.90183,0,-0.06653,-0.06653,0.29866,1.86442,0.39692,-0.02603,0.15529,-19.01229,-38.12592
"38","2020_Q1",1.84822580645161,"Down",21923000,-9815000,12108000,-4711000,-2950000,-2112000,7397000,235000,152000,82999.9999999999,7632000,5299000,-4248000,1051000,1014000,1014000,1014000,45917000,45917000,1072000,8434000,3292000,5142000,69758000,68258000,73521000,49362000,141779000,211537000,51410000,15897000,63750000,38067000,38067000,38067000,101817000,80316000,-41429000,70833000,109720000,109720000,211537000,1051000,2353000,4573000,-10543000,-2579000,-6966000,-6966000,-1363000,-10908000,-10908000,-10908000,9750000,9.09494701772928e-13,-3511000,0.5523,0.33741,0.0462499999999998,0.00924000000000007,0.00479,-3.46252,1.09424,0.92797,0,0.01742,0.0174200000000001,0.37668,1.88519,-0.0603299999999999,0.00686000000000003,-0.02376,-4.70944,-6.20752
"39","2020_Q2",0.981269841269841,"Down",18389000,-9749000,8640000,-4698000,-754000,-3103000,3942000,85000,116000,-31000,4027000,-19259000,-33478000,-52737000,-52800000,-52800000,-52800000,60973000,60973000,3865000,14211000,10859000,3352000,79049000,43500000,46143000,46143000,89643000,168692000,41971000,14804000,65687000,46592000,34834000,46592000,112279000,80461000,-42081000,18033000,56413000,56413000,168692000,-52737000,3163000,58439000,18780000,27627000,-11980000,-11980000,-652000,14995000,14995000,14995000,7105000,0,47383000,0.46985,0.21437,-2.87128,-0.93595,-0.313,-0.89741,1.20342,1.9903,0,-0.91074,-0.91074,0.31719,0.97306,0.8173,-0.5126,0.46001,-8.5817,-15.46753
"40","2020_Q3",1.09890625,"Up",17974000,-12126000,5848000,-6814000,-3019000,-2801000,-966000.000000001,58000,11000,47000,-908000,-1664000,2249000,585000,596000.000000007,596000.000000007,596000.000000007,44841000,44841000,853000,7019000,3445000,3574000,62234000,41348000,44075000,44075000,85423000,147657000,28917000,9250000,50498000,40428000,32330000,40428000,90926000,80521000,-42419000,18629000,56731000,56731000,147657000,585000,2862000,5333999.99999999,-15833000,-7388000.00000001,-8117000,-8117000,-338000,-15843000,-15843000,-15843000,1896000,5.6843418860808e-14,-24303000,0.32536,-0.0537400000000001,0.0331599999999992,0.0105099999999999,0.00403999999999999,-40.77685,1.23241,1.60276,-8.470329472543e-22,0.01037,0.0103700000000002,0.31283,0.98736,-0.42298,0.00612999999999986,-0.25014,-23.65032,46.41925
"41","2020_Q4",1.255,"Up",18256000,-8984000,9272000,-4594000,-2178000,-2212000,4678000,170000,23000,147000,4848000,4848000,2759000,7607000,7618000,7618000,7618000,41986000,41986000,781000,5551000,4264000,163000,54398000,38845000,42194000,42194000,81039000,135437000,19128000,4702000,37823000,32943000,30141000,32943000,70766000,80843000,-42419000,26247000,64671000,64671000,135437000,7607000,2272000,-5059000,-5976000,-1178000,-2220000,-2220000,0,-3398000,-3398000,-3398000,6950000,0,-4005000,0.50789,0.25624,0.41729,0.1178,0.05625,-0.52573,1.43823,1.09425,0,0.1326,0.1326,0.31776,1.12565,-0.06971,0.07804,-0.04103,-6.04115,-8.9752
"42","2021_Q1",2.57508196721311,"Up",12557000,-6456000,6101000,-10393000,-4744000,-1266000,-4292000,-28999.9999999998,5000,-33999.9999999998,-4321000,-4327000,789000,-3538000,-3595000,-3595000,-3595000,47853000,47853000,3906000,12219000,4215000,8004000,63978000,37036000,40218000,40218000,77254000,141232000,34734000,16690000,52576000,27198000,27198000,27198000,79774000,81227000,-42421000,22652000,61458000,61458000,141232000,-3538000,1266000,274000,10452000,8389000,-2011000,-2011000,61000,6439000,6439000,6439000,-3026000,2.27373675443232e-13,4626000,0.48586,-0.3418,-0.28629,-0.0585,-0.02545,-1.28678999999999,1.21687,1.29802,-8.470329472543e-22,-0.06253,-0.06253,0.21841,1.06898,0.08046,-0.04055,0.05218,15.81395,11.14935
"43","2021_Q2",2.68952380952381,"Up",39774000,-16133000,23641000,-9298000,-4547000,-4148000,14343000,4585000,5000,4580000,18928000,12974000,-3086000,9888000,9869000,9869000,9869000,19251000,19251000,820000,5438000,5175000,263000,49312000,78192000,49633000,49633000,127825000,177137000,50282000,10121000,65104000,40439000,38630000,40439000,105543000,81897000,-42824000,32521000,71594000,71594000,177137000,9888000,4148000,-943000,-11338000,1742000,-19056000,-19056000,-56000,-17370000,-17370000,-17370000,18491000,0,-8817000,0.59438,0.36061,0.24813,0.13785,0.05571,-0.8934,0.75743,1.47419,0,0.17123,0.16881,0.69009,1.24218,-0.15298,0.08809,-0.0787,-1.0411,-1.34219
"44","2021_Q3",2.58171875,"Down",47023000,-16419000,30604000,-11730000,-4734000,-5810000,18874000,-163000,1000,-164000,18711000,8742000,-2825000,5917000,5884000,5884000,5884000,22884000,22884000,3107000,4532000,4348000,184000,59324000,74202000,47977000,46466000,122179000,181503000,53058000,5545000,68366000,35601000,35601000,35601000,103967000,82720000,-43589000,38405000,77536000,77536000,181503000,5917000,5810000,1550000,-1820000,11418000,-7750000,-7750000,-59000,3609000,3609000,3609000,24684000,-3.63797880709171e-12,17939000,0.65083,0.40138,0.12513,0.07589,0.03242,3.04878,0.86774,1.34089,1.35525271560688e-20,0.10209,0.10065,0.81586,1.34527,0.31125,0.05201,0.15856,-0.927080000000002,-1.21246
"45","2021_Q4",3.2421875,"Up",55899000,-25208000,30691000,-10343000,-2940000,-6970000,20348000,-325000,3000,-328000,20023000,14558000,17183000,31741000,31721000,31721000,31721000,52839000,52839000,2556000,8689000,5416000,1217000,64084000,74102000,68074000,43863000,142176000,206260000,48290000,8433000,63293000,33389000,33389000,33389000,96682000,83299000,-43847000,70126000,109578000,109578000,206260000,31741000,6970000,-20794000,15664000,33561000,-4158000,-4158000,-6000,29397000,29397000,29397000,27318000,0,21641000,0.54904,0.36401,0.56747,0.28948,0.15379,0.68223,1.0125,0.88231,0,0.54595,0.54082,0.96208,1.88596,0.37247,0.22188,0.15137,-1.93422,-2.59677
"46","2022_Q1",5.13193548387097,"Up",56379000,-23495000,32884000,-7349000,-2545000,-4132000,25535000,-593000,999.999999999998,-594000,24942000,23504000,10884000,34388000,34362000,34362000,34362000,48675000,48675000,1593000,15557000,5156000,10401000,88289000,94324000,80477000,40499000,174801000,263090000,71369000,18797000,84257000,34536000,34536000,34536000,118793000,83656000,-43847000,104488000,144297000,144297000,263090000,34388000,4132000,-20009000,-15095000,3396000,-8099000,-8099000,64000,-4639000,-4639000,-4639000,29667000,-5.82076609134674e-11,-4411000,0.58327,0.45292,0.60948,0.23813,0.13061,-0.12837,1.04785,0.82325,0,0.57234,0.57556,0.93906,2.40343,-0.07347,0.19215,-0.02467,-1.64071,-1.90621
"47","2022_Q2",7.04790322580645,"Up",68656000,-18360000,50296000,-10291000,-4994000,-4673000,40005000,-699000,-3000,-696000,39306000,7548000,4628000,12176000,12164000,12164000,12164000,18939000,18939000,4634000,28014000,8408000,19606000,96203000,121935000,90372000,38281000,212307000,308510000,110737000,10509000,117514000,34838000,34838000,36249000,153763000,84258000,-44234000,114723000,154747000,154747000,308510000,12176000,4673000,11005000,-28594000,-758000,-23148000,-23148000,-2118000,-26024000,-26024000,-26024000,44678000,1752000,-11692000,0.73258,0.58269,0.17717,0.07861,0.03943,-0.9612,0.81865,0.99364,0.00568,0.20753,0.20616,1.17134,2.64015,-0.19948,0.06357,-0.06111,-0.38469,-0.42962
"48","2022_Q3",5.0809375,"Down",110985000,-25475000,85510000,-12363000,-3534000,-8191000,73147000,-2229000,-118000,-2111000,70918000,61376000,-46252000,15124000,15104000,15104000,15104000,53062000,53062000,13867000,19671000,8064000,11607000,156874000,151718000,60972000,34812000,212690000,369564000,147592000,19151000,164911000,35141000,35141000,36472000,201383000,84932000,-44635000,127884000,168181000,168181000,369564000,15124000,8191000,15867000,30603000,69765000,-37130000,-37130000,-3804000,28831000,28831000,28831000,81338000,1657000,121063000,0.77046,0.65907,0.13609,0.08981,0.04087,8.01529,0.95126,1.19742,0.00448,0.25633,0.25444,1.8835,2.85415,2.05453,0.07369,0.59061,-0.63199,-0.70276
