"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"32","2018_Q1",27.1786885245902,"Down",2.408e+09,-6.74e+08,1.734e+09,-1.29e+09,-8.86e+08,-2.63e+08,-1.41e+08,4.44e+08,-1.1e+08,-5.7e+07,-5.3e+07,3.34e+08,-1.08e+08,2.26e+08,-8.41e+08,-6.15e+08,-6.15e+08,-6.15e+08,-6.15e+08,1.88e+08,1.88e+08,1.548e+09,1.548e+09,1.078e+09,1.008e+09,9.42e+08,3.822e+09,1.697e+09,1.3523e+10,6.998e+09,5.837e+09,6.88e+08,1.522e+10,1.9042e+10,2.986e+09,5.3e+08,2.456e+09,1.801e+09,8.67e+08,8.67e+08,5.654e+09,3.815e+09,2.561e+09,1.91e+08,2.37e+09,6.376e+09,1.203e+10,1.7177e+10,1.6e+07,1.7161e+10,-8.39e+09,-5.9e+07,7.011e+09,7.011e+09,1.9041e+10,6.83e+08,-7.9e+07,-7.9e+07,-7.9e+07,-1.68e+08,-4.2e+07,-2.89e+08,-7e+07,6e+06,6e+06,-4e+06,-68000000.0000001,3.26e+08,3.26e+08,1e+06,3.27e+08,5.616e+09,0.7201,0.18439,-0.2554,-0.08772,-0.0323,0.67598,1.71588,0.29493,-0.44786,-0.44073,1.75357,5.10559,6,-0.04049,12.22523
"33","2018_Q2",30.160625,"Up",2.379e+09,-6.72e+08,1.707e+09,-1.262e+09,-8.6e+08,-2.61e+08,-1.41e+08,4.45e+08,-1.02e+08,-6.1e+07,-4.1e+07,3.43e+08,-1.9e+07,3.24e+08,-2.6e+07,2.98e+08,2.98e+08,2.98e+08,2.98e+08,2.87e+08,2.87e+08,1.58e+09,1.58e+09,1.113e+09,1.098e+09,1.048e+09,4.078e+09,1.7e+09,1.3422e+10,6.984e+09,5.713e+09,7.25e+08,1.5122e+10,1.92e+10,2.851e+09,4.04e+08,2.447e+09,9.62e+08,1.174e+09,1.174e+09,4.987e+09,4.803e+09,2.382e+09,1.28e+08,2.254e+09,7.185e+09,1.2172e+10,1.72e+10,1.6e+07,1.7184e+10,-8.326e+09,-1.28e+08,7.029e+09,7.029e+09,1.9201e+10,1.93e+08,-6e+07,-6e+07,-6e+07,-9e+06,-1.03e+08,-1.72e+08,1.42e+08,3.8e+07,3.8e+07,-5e+07,1.3e+08,1.51e+08,1.51e+08,1e+06,1.52e+08,5.765e+09,0.71753,0.18705,0.12526,0.0424,0.01552,0.81773,1.73168,0.30026,0.21649,0.21334,1.7283,5.10643,5,0.01964,12.31011
"34","2018_Q3",34.9268253968254,"Up",2.491e+09,-7.39e+08,1.752e+09,-1.308e+09,-8.86e+08,-2.75e+08,-1.47e+08,4.44e+08,-6.3e+07,-5.8e+07,-5e+06,3.81e+08,-3.5e+07,3.46e+08,2.09e+08,5.55e+08,5.55e+08,5.55e+08,5.55e+08,2.08e+08,2.08e+08,1.587e+09,1.587e+09,1.087e+09,1.047e+09,1.001e+09,3.929e+09,1.715e+09,1.3972e+10,7.242e+09,5.934e+09,7.96e+08,1.5687e+10,1.9616e+10,2.669e+09,4.03e+08,2.266e+09,1.685e+09,3.99e+08,3.99e+08,4.753e+09,4.808e+09,2.309e+09,3.64e+08,1.945e+09,7.117e+09,1.187e+10,1.7247e+10,1.6e+07,1.7231e+10,-7.77e+09,-1.6e+07,7.744e+09,7.744e+09,1.9614e+10,-4.01e+08,-7.4e+07,-7.4e+07,-7.4e+07,-4.09e+08,-9e+06,-4.92e+08,7.17e+08,1.5e+07,1.5e+07,-7e+06,7.25e+08,-1.68e+08,-1.68e+08,-6e+06,-1.74e+08,6.493e+09,0.70333,0.17824,0.2228,0.07167,0.02829,0.82664,1.5328,0.33101,0.40203,0.39674,1.80442,5.60956,5,0.03354,14.15541
"35","2018_Q4",36.2687301587302,"Up",2.392e+09,-6.73e+08,1.719e+09,-1.308e+09,-8.7e+08,-2.89e+08,-1.49e+08,4.11e+08,5.2e+07,-5.8e+07,1.1e+08,4.63e+08,-7e+06,4.56e+08,-2.4e+07,4.32e+08,4.32e+08,4.32e+08,4.32e+08,1.68e+08,1.68e+08,1.58e+09,1.58e+09,1.134e+09,1.088e+09,1.045e+09,3.97e+09,1.73e+09,1.4679e+10,7.588e+09,6.297e+09,7.94e+08,1.6409e+10,2.0379e+10,2.922e+09,4.53e+08,2.469e+09,1.82e+09,3.4e+08,3.4e+08,5.082e+09,4.806e+09,2.202e+09,4.28e+08,1.774e+09,7.008e+09,1.209e+10,1.732e+10,1.6e+07,1.7304e+10,-7.339e+09,2.5e+07,8.289e+09,8.289e+09,2.0379e+10,5.02e+08,-7.6e+07,-7.6e+07,-7.6e+07,-5.5e+08,-3.6e+07,-6.62e+08,1.24e+08,4.1e+07,4.1e+07,-1.3e+07,1.52e+08,-8e+06,-8e+06,-4e+06,-1.2e+07,6.626e+09,0.71865,0.17182,0.1806,0.05212,0.0212,0.78119,1.45856,0.32514,0.31241,0.30771,1.72982,5.99436,8,0.02524,15.7129
"36","2019_Q1",38.1931147540984,"Up",2.561e+09,-7.29e+08,1.832e+09,-1.382e+09,-9.53e+08,-2.88e+08,-1.62e+08,4.5e+08,-4.2e+07,-6.4e+07,2.2e+07,4.08e+08,-1.13e+08,2.95e+08,9e+07,3.85e+08,3.85e+08,3.85e+08,3.85e+08,1.46e+08,1.46e+08,1.608e+09,1.608e+09,1.166e+09,1.082e+09,9.21e+08,4.002e+09,1.782e+09,1.5215e+10,7.911e+09,6.372e+09,9.32e+08,1.6997e+10,2.0999e+10,2.595e+09,3.49e+08,2.246e+09,2.253e+09,4.12e+08,4.12e+08,5.26e+09,4.803e+09,2.21e+09,3.28e+08,1.882e+09,7.013e+09,1.2273e+10,1.7362e+10,1.6e+07,1.7346e+10,-6.953e+09,3.3e+07,8.725e+09,8.725e+09,2.0998e+10,16999999.9999998,-9.2e+07,-1.06e+08,-1.06e+08,-4.8e+08,-2.4e+07,-5.96e+08,4.22e+08,7e+06,7e+06,-5e+06,4.24e+08,-1.55e+08,-1.55e+08,1e+06,-1.54e+08,7.056e+09,0.71535,0.17571,0.15033,0.04413,0.01833,0.76084,1.40665,0.33602,0.27814,0.27383,1.85017,6.30328,4,0.0214,15.35556
"37","2019_Q2",38.4634920634921,"Up",2.493e+09,-7.3e+08,1.763e+09,-1.309e+09,-8.69e+08,-2.8e+08,-1.6e+08,4.54e+08,-1e+08,-1.09e+08,9e+06,3.54e+08,1.03e+08,4.57e+08,-3.3e+07,4.24e+08,4.24e+08,4.24e+08,4.24e+08,1.39e+08,1.39e+08,1.621e+09,1.621e+09,1.228e+09,3.246e+09,3.083e+09,6.234e+09,1.782e+09,1.5785e+10,8.179e+09,6.448e+09,1.158e+09,1.7567e+10,2.3801e+10,2.461e+09,4.98e+08,1.963e+09,1.638e+09,3.8e+08,3.8e+08,4.479e+09,7.59e+09,2.5e+09,4.41e+08,2.059e+09,1.009e+10,1.4569e+10,1.739e+10,1.6e+07,1.7374e+10,-6.528e+09,8.7e+07,9.232e+09,9.232e+09,2.3801e+10,3.5e+08,-6.1e+07,-6.3e+07,-6.3e+07,-3.21e+08,-2.8e+07,-4.1e+08,2.141e+09,5.3e+07,5.3e+07,-6.7e+07,2.127e+09,2.067e+09,2.067e+09,0,2.067e+09,9.228e+09,0.70718,0.18211,0.17008,0.04593,0.01781,1.39183,1.5781,0.38771,0.30554,0.30105,1.7965,6.65273,4,0.02023,20.01982
"38","2019_Q3",42.368125,"Up",2.631e+09,-7.58e+08,1.873e+09,-1.408e+09,-9.68e+08,-2.79e+08,-1.61e+08,4.65e+08,-2.55e+08,-8.9e+07,-1.66e+08,2.1e+08,-6.4e+07,1.46e+08,8999999.99999994,1.55e+08,1.55e+08,1.55e+08,1.55e+08,1.23e+08,1.23e+08,1.712e+09,1.712e+09,1.3e+09,3.199e+09,3.024e+09,6.334e+09,1.82e+09,1.6154e+10,8.451e+09,6.486e+09,1.217e+09,1.7974e+10,2.4308e+10,2.456e+09,5.24e+08,1.932e+09,1.949e+09,4.45e+08,4.45e+08,4.85e+09,7.591e+09,2.443e+09,4.16e+08,2.027e+09,1.0034e+10,1.4884e+10,1.7438e+10,1.6e+07,1.7422e+10,-6.375e+09,7.8e+07,9.424e+09,9.424e+09,2.4308e+10,2.92e+08,-9.1e+07,-9.1e+07,-9.1e+07,-4.42e+08,-8.7e+07,-6.2e+08,3.05e+08,1e+07,1e+07,-5.8e+07,2.57e+08,-7.1e+07,-7.1e+07,9.31322574615479e-10,-7.1e+07,9.54e+09,0.7119,0.17674,0.05891,0.01645,0.00638,1.30598,1.57937,0.39246,0.11142,0.11004,1.89131,6.7745,5,0.00724,20.25161
"39","2019_Q4",41.84359375,"Down",2.707e+09,-7.77e+08,1.93e+09,-1.487e+09,-1.012e+09,-3.07e+08,-1.77e+08,4.43e+08,-3.09e+08,-9.6e+07,-2.13e+08,1.34e+08,-4.6e+07,8.8e+07,3.5e+07,1.23e+08,1.23e+08,1.23e+08,1.23e+08,2.77e+08,2.77e+08,1.796e+09,1.796e+09,1.566e+09,1.209e+09,1.02e+09,4.848e+09,1.942e+09,1.9968e+10,1.0015e+10,8.074e+09,1.879e+09,2.191e+10,2.6758e+10,2.444e+09,5.12e+08,1.932e+09,1.297e+09,5.13e+08,5.13e+08,4.254e+09,9.59e+09,3.213e+09,8.07e+08,2.406e+09,1.2803e+10,1.7057e+10,1.7526e+10,1.6e+07,1.751e+10,-6.249e+09,1.38e+08,9.698e+09,9.698e+09,2.6755e+10,5.02e+08,-1.18e+08,-1.21e+08,-1.21e+08,-3.529e+09,-3.16e+08,-3.963e+09,1.338e+09,5e+07,5e+07,-7.4e+07,1.314e+09,-2.147e+09,-2.147e+09,-2e+06,-2.149e+09,1.0887e+10,0.71297,0.16365,0.04544,0.01268,0.0046,1.13963,1.75882,0.40687,0.0883,0.0871,1.94329,6.96195,4,0.00517,23.95034
"40","2020_Q1",39.0653225806452,"Down",2.904e+09,-8.51e+08,2.053e+09,-1.675e+09,-1.092e+09,-3.08e+08,-2.01e+08,3.78e+08,-1.67e+08,-1.79e+08,1.2e+07,2.11e+08,-2.16e+08,-5e+06,4.002e+09,3.997e+09,3.997e+09,3.997e+09,3.997e+09,2.17e+08,2.17e+08,1.828e+09,1.828e+09,1.579e+09,1.075e+09,8.8e+08,4.699e+09,2.079e+09,2.3787e+10,1.0176e+10,7.886e+09,1.529e+09,2.5866e+10,3.0565e+10,2.651e+09,5.42e+08,2.109e+09,1.416e+09,8e+08,8e+08,4.867e+09,8.592e+09,3.23e+09,5.95e+08,2.635e+09,1.1822e+10,1.6689e+10,1.7577e+10,1.6e+07,1.7561e+10,-2.253e+09,2.7e+08,1.3877e+10,1.3877e+10,3.0566e+10,6.94e+08,-1.84e+08,-1.86e+08,-1.86e+08,9.5367431640625e-07,1.35e+08,-4.9e+07,-7.34e+08,1e+07,1e+07,-1e+06,-7.25e+08,-80000000.0000002,-80000000.0000002,1.2e+07,-6.8e+07,1.0008e+10,0.70696,0.13017,1.37638,0.28803,0.13077,0.96548,1.20264,0.32743,2.86688,2.82813,2.08291,9.95338,4,0.14741,25.90212
"41","2020_Q2",36.0126984126984,"Down",2.543e+09,-8.06e+08,1.737e+09,-1.371e+09,-9.78e+08,-3e+08,-2.01e+08,3.66e+08,-1.36e+08,-8.8e+07,-4.8e+07,2.3e+08,-2.08e+08,2.2e+07,-1.2e+07,1e+07,1e+07,1e+07,1e+07,3.7e+08,3.7e+08,1.577e+09,1.577e+09,1.628e+09,1.248e+09,1.043e+09,4.823e+09,2.098e+09,2.3191e+10,1.0098e+10,7.393e+09,1.538e+09,2.5289e+10,3.0112e+10,2.167e+09,6.05e+08,1.562e+09,1.004e+09,8.04e+08,8.04e+08,3.975e+09,9.331e+09,3.001e+09,5.89e+08,2.412e+09,1.2332e+10,1.6307e+10,1.7605e+10,1.6e+07,1.7589e+10,-2.252e+09,1.68e+08,1.3804e+10,1.3804e+10,3.0111e+10,-7.7e+07,-9.7e+07,-1e+08,-1e+08,1079302167.17568,2.1e+07,-7.6e+07,3.46e+08,4.2e+07,4.2e+07,-1.32e+08,2.56e+08,1.03e+08,1.03e+08,-9e+06,9.4e+07,1.0335e+10,0.68305,0.14392,0.00393,0.00072,0.00033,1.21333,1.18132,0.34322,0.00716,0.00707,1.81981,9.87835,2,0.00037,27.22678
"42","2020_Q3",38.53453125,"Up",2.003e+09,-7.9e+08,1.213e+09,-1.345e+09,-7.98e+08,-2.42e+08,-1.97e+08,-1.32e+08,-1.17e+08,-9.1e+07,-2.6e+07,-2.49e+08,7e+07,-1.79e+08,3.4e+07,-1.45e+08,-1.45e+08,-1.45e+08,-1.5e+08,1.724e+09,1.724e+09,1.457e+09,1.457e+09,1.516e+09,1.106e+09,9.25e+08,5.803e+09,2.079e+09,2.2943e+10,1.0101e+10,7.16e+09,1.5e+09,2.5022e+10,3.0825e+10,2.126e+09,4.08e+08,1.718e+09,2.54e+08,7.29e+08,7.29e+08,3.109e+09,9.278e+09,2.821e+09,5.85e+08,2.236e+09,1.2099e+10,1.5208e+10,1.9607e+10,1.7e+07,1.959e+10,-2.405e+09,1.31e+08,1.5616e+10,1.5616e+10,3.0824e+10,2.69e+08,-6.7e+07,-6.8e+07,-6.8e+07,12000000.000001,-5e+06,-59999999.9999999,-8.35e+08,1.956e+09,1.956e+09,-1.5e+07,1.106e+09,1.315e+09,1.315e+09,-3.72529029846191e-09,1.315e+09,9.532e+09,0.60559,-0.0659,-0.0748899999999999,-0.00961000000000001,-0.00486999999999998,1.86652,0.97387,0.30923,-0.10632,-0.10755,1.41976,11.0689,5,-0.00536000000000001,-59.15152
"43","2020_Q4",36.04171875,"Down",2.658e+09,-8.69e+08,1.789e+09,-1.528e+09,-9.84e+08,-3.15e+08,-1.97e+08,2.61e+08,-3e+06,-8.6e+07,8.3e+07,2.58e+08,-4.88e+08,-2.3e+08,7.2e+07,-1.58e+08,-1.58e+08,-1.58e+08,-1.72e+08,2.022e+09,2.022e+09,1.598e+09,1.598e+09,1.472e+09,1.068e+09,8.94e+08,6.16e+09,2.064e+09,2.2622e+10,1.0137e+10,6.797e+09,1.516e+09,2.4686e+10,3.0846e+10,2.647e+09,4.52e+08,2.195e+09,1.1e+07,6.44e+08,6.44e+08,3.302e+09,9.325e+09,2.654e+09,5.22e+08,2.132e+09,1.1979e+10,1.5281e+10,1.9704e+10,1.7e+07,1.9687e+10,-2.574e+09,1.51e+08,1.5564e+10,1.5564e+10,3.0845e+10,6.45e+08,-4.7e+07,-4.9e+07,-4.9e+07,0,-8e+07,-1.27e+08,-2.5e+08,5.9e+07,5.9e+07,-4.4e+07,-2.49e+08,2.69e+08,2.69e+08,1e+06,2.7e+08,9.336e+09,0.67306,0.09819,-0.06471,-0.01105,-0.00558,1.86554,0.98182,0.30266,-0.12021,-0.12021,1.8577,10.87783,4,-0.00573,28.02299
"44","2021_Q1",37.8483606557377,"Up",2.709e+09,-1e+09,1.709e+09,-1.52e+09,-1.027e+09,-2.86e+08,-1.94e+08,1.89e+08,2.57e+08,-9.6e+07,3.53e+08,4.46e+08,-1.37e+08,3.09e+08,-9.6e+07,2.13e+08,2.13e+08,2.13e+08,1.99e+08,1.734e+09,1.734e+09,1.531e+09,1.531e+09,1.351e+09,2.078e+09,7.51e+08,6.694e+09,2.084e+09,2.1999e+10,9.951e+09,5.917e+09,1.921e+09,2.4083e+10,3.0777e+10,2.71e+09,5.13e+08,2.197e+09,1.3e+07,9.58e+08,9.58e+08,3.681e+09,9.13e+09,2.639e+09,3.3e+08,2.309e+09,1.1769e+10,1.545e+10,1.9749e+10,1.7e+07,1.9732e+10,-2.378e+09,2.07e+08,1.5327e+10,1.5327e+10,3.0777e+10,6.72e+08,-1.53e+08,-1.59e+08,-1.59e+08,0,5e+06,-1.48e+08,-2.6e+08,-5.31e+08,4e+06,-1.4e+07,-8.19e+08,-2.95e+08,-2.95e+08,6e+06,-2.89e+08,9.143e+09,0.63086,0.06977,0.07346,0.01298,0.00647,1.81853,1.00803,0.29707,0.13938,0.13938,1.89732,10.7347,4,0.00786,39.20106
"45","2021_Q2",42.0709523809524,"Up",2.752e+09,-8.94e+08,1.858e+09,-1.492e+09,-1.019e+09,-2.76e+08,-1.85e+08,3.66e+08,-4.5e+07,-8.2e+07,3.7e+07,3.21e+08,3e+06,3.24e+08,1.6e+07,3.4e+08,3.4e+08,3.4e+08,3.26e+08,2.016e+09,2.016e+09,1.631e+09,1.631e+09,1.407e+09,1.047e+09,8.55e+08,6.101e+09,2.053e+09,2.2746e+10,1.0868e+10,5.991e+09,1.714e+09,2.4799e+10,3.09e+10,2.675e+09,6.15e+08,2.06e+09,1.3e+07,7.05e+08,7.05e+08,3.393e+09,9.082e+09,2.706e+09,3.36e+08,2.37e+09,1.1788e+10,1.5181e+10,1.9767e+10,1.7e+07,1.975e+10,-2.05e+09,2.54e+08,1.572e+10,1.572e+10,3.0901e+10,2.85e+08,-7.1e+07,-7.5e+07,-7.5e+07,1.2e+08,2.2e+07,7.1e+07,-398463173.975917,1.8e+07,316679433.889777,-9.9e+07,-9.5e+07,2.61e+08,2.61e+08,-3e+06,2.58e+08,9.095e+09,0.67515,0.13299,0.11846,0.02074,0.01055,1.79811,0.96571,0.29434,0.22979,0.22784,1.9398,11.08057,5,0.01235,19.34153
"46","2021_Q3",44.24109375,"Up",3.077e+09,-9.45e+08,2.132e+09,-1.61e+09,-1.12e+09,-2.98e+08,-1.8e+08,5.22e+08,-1.12e+08,-8.6e+07,-2.6e+07,4.1e+08,-2.58e+08,1.52e+08,3.7e+07,1.89e+08,1.89e+08,1.89e+08,1.75e+08,2.675e+09,2.675e+09,1.675e+09,1.675e+09,1.43e+09,9.79e+08,7.77e+08,6.759e+09,2.082e+09,2.2327e+10,1.0874e+10,5.788e+09,1.629e+09,2.4409e+10,3.1168e+10,3.131e+09,6.89e+08,2.442e+09,2.62e+08,6.8e+08,6.8e+08,4.073e+09,8.847e+09,2.305e+09,1.15e+08,2.19e+09,1.1152e+10,1.5225e+10,1.9834e+10,1.7e+07,1.9817e+10,-1.878e+09,2.37e+08,1.5942e+10,1.5942e+10,3.1167e+10,6.4e+08,-1.03e+08,-1.06e+08,-1.06e+08,6.7e+07,3.6e+07,0,-334043628.153616,19999999.9999999,268605094.293494,-4e+06,2e+06,6.42e+08,6.42e+08,1e+06,6.43e+08,9.109e+09,0.69288,0.16965,0.05687,0.01098,0.00561,1.65946,0.95502,0.29225,0.12335,0.12231,2.16889,11.23705,7,0.00691,12.32567
"47","2021_Q4",42.02125,"Down",2.932e+09,-9e+08,2.032e+09,-1.574e+09,-1.066e+09,-3.1e+08,-1.84e+08,4.58e+08,9.5e+07,-8.6e+07,1.81e+08,5.53e+08,-7.1e+07,4.82e+08,-6.4e+07,4.18e+08,4.18e+08,4.18e+08,4.04e+08,1.947e+09,1.947e+09,1.669e+09,1.669e+09,1.603e+09,1.009e+09,7.92e+08,6.228e+09,2.109e+09,2.354e+10,1.182e+10,6.227e+09,1.444e+09,2.5649e+10,3.1877e+10,3.092e+09,6.74e+08,2.418e+09,2.61e+08,6.69e+08,6.69e+08,4.022e+09,8.824e+09,2.57e+09,2.74e+08,2.296e+09,1.1394e+10,1.5416e+10,1.9947e+10,1.7e+07,1.993e+10,-1.473e+09,2.38e+08,1.6461e+10,1.6461e+10,3.1877e+10,4.67e+08,6.97e+08,-1.07e+08,-1.07e+08,-2.201e+09,2.98e+08,-1.206e+09,-168392495.343356,6.4e+07,1.02e+08,-4.4e+07,6e+06,-7.33e+08,-7.33e+08,-3e+06,-7.36e+08,9.085e+09,0.69304,0.15621,0.13779,0.02454,0.01267,1.54848,0.93652,0.285,0.28425,0.28193,2.0629,11.58165,7,0.01487,15.58515
"48","2022_Q1",43.338064516129,"Up",3.127e+09,-9.72e+08,2.155e+09,-1.677e+09,-1.154e+09,-3.2e+08,-1.92e+08,4.78e+08,-6.1e+07,-8.7e+07,2.6e+07,4.17e+08,-3e+08,1.17e+08,-2.5e+07,92000000.0000001,92000000.0000001,92000000.0000001,7.9e+07,1.925e+09,1.925e+09,1.778e+09,1.778e+09,1.61e+09,1.004e+09,7.99e+08,6.317e+09,2.252e+09,2.3661e+10,1.1988e+10,6.121e+09,1.41e+09,2.5913e+10,3.223e+10,3.23e+09,7.94e+08,2.436e+09,2.61e+08,7.83e+08,7.83e+08,4.274e+09,8.804e+09,2.53e+09,3.1e+08,2.22e+09,1.1334e+10,1.5608e+10,2.0003e+10,1.7e+07,1.9986e+10,-1.392e+09,2.63e+08,1.6623e+10,1.6623e+10,3.2231e+10,4.79e+08,-1.063e+09,-2.66e+08,-2.66e+08,5.82e+08,2e+07,-4.61e+08,-3160908.35539722,8000000.00000001,8e+06,-3e+06,-8e+06,1e+07,1e+07,-999999.999999999,9e+06,9.065e+09,0.68916,0.15286,0.02526,0.00475,0.00245,1.47801,0.93894,0.28126,0.05498,0.05464,2.17621,11.56865,6,0.00326,14.93724
"49","2022_Q2",40.7059677419355,"Down",3.026e+09,-9.55e+08,2.071e+09,-1.589e+09,-1.06e+09,-3.19e+08,-1.98e+08,4.82e+08,-3.1e+08,-2.79e+08,-3.1e+07,1.72e+08,-1.6e+07,1.56e+08,-4.5e+07,1.11e+08,1.11e+08,1.11e+08,9.7e+07,3.25e+08,3.25e+08,1.866e+09,1.866e+09,1.736e+09,1.138e+09,8.89e+08,5.065e+09,2.265e+09,2.5007e+10,1.2949e+10,6.581e+09,1.375e+09,2.7272e+10,3.2337e+10,3.002e+09,6.96e+08,2.306e+09,2.38e+08,1.034e+09,1.034e+09,4.274e+09,9.067e+09,2.261e+09,2.61e+08,2e+09,1.1328e+10,1.5602e+10,2.006e+10,1.7e+07,2.0043e+10,-1.296e+09,2.22e+08,1.6735e+10,1.6735e+10,3.2337e+10,-5.8e+07,-1.13e+08,-1.21e+08,-1.21e+08,-1.481e+09,1.9e+07,-1.575e+09,6e+07,5.2e+07,-26607735.9083646,-1.05e+08,-7e+06,-1.64e+09,-1.64e+09,851521.687690933,-1.64e+09,9.305e+09,0.6844,0.15929,0.03206,0.0058,0.003,1.18507,0.9323,0.28775,0.06794,0.06744,2.11934,11.72083,4,0.00392,18.63071
"50","2022_Q3",40.1159375,"Down",3.244e+09,-1.011e+09,2.233e+09,-1.715e+09,-1.165e+09,-3.35e+08,-2.04e+08,5.18e+08,-7.9e+07,-6.4e+07,-1.5e+07,4.39e+08,-95000000.0000001,3.44e+08,-8.6e+07,2.58e+08,2.58e+08,2.58e+08,2.44e+08,2.76e+08,2.76e+08,1.917e+09,1.917e+09,1.752e+09,1.138e+09,8.74e+08,5.083e+09,2.246e+09,2.486e+10,1.2883e+10,6.349e+09,1.569e+09,2.7106e+10,3.2189e+10,2.929e+09,7.32e+08,2.197e+09,1.7e+08,7.84e+08,7.84e+08,3.883e+09,8.802e+09,2.253e+09,2.65e+08,1.988e+09,1.1055e+10,1.4938e+10,2.012e+10,1.7e+07,2.0103e+10,-1.05e+09,4.33e+08,1.7252e+10,1.7252e+10,3.219e+10,3.06e+08,-1.04e+08,-1.05e+08,-1.05e+08,1e+06,7.3e+07,-3e+07,-7e+07,6e+06,-66123207.7250938,-2.64e+08,-3.42e+08,-6.6e+07,-6.6e+07,-6e+06,-7.2e+07,8.972e+09,0.68835,0.15968,0.07522,0.01414,0.00758,1.30904,0.86587,0.27873,0.17067,0.1697,2.26901,12.06687,6,0.00906,16.78764
