"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",0.766229508196721,"Down",12682000,-11708000,974000,-2095000,-2095000,-1121000,3000.00000000012,-8000,11000.0000000001,-1118000,-3204000,-79000,-3283000,-3283000,-3283000,-3283000,6060000,6060000,10211000,10211000,4271000,3175000,20542000,677000,1087000,720000,367000,1764000,22306000,5473000,3172000,2301000,1344000,1344000,6817000,-2.91038304567337e-11,6817000,36961000,-21472000,15489000,15489000,22306000,-3283000,74000,2021000,2024000,836000,-18000,-18000,-13000,3.63797880709171e-12,-15000,808000,808000,808000,-1047000,-2.91038304567337e-11,1038000,0.0768,-0.08839,-0.25887,-0.21196,-0.14718,-0.31617,3.01335,0.44012,0,-0.11935,-0.11935,0.46105,0.56309,0.03774,-0.21196,0.06702,5.78796999999999,5.40589
"35","2019_Q2",0.755873015873016,"Down",12163000,-10825000,1338000,-2304000,-2304000,-966000,12000,-3000,15000,-954000,-954000,-20000,-974000,-974000,-974000,-974000,7297000,7297000,10182000,10182000,2977000,2e+06,20456000,610000,2416000,720000,1696000,3026000,23482000,5105000,3201000,1904000,3014000,3014000,8119000,892000,9011000,36917000,-22446000,14471000,14471000,23482000,-974000,84000,16000,2172000,1298000,-5000,-5000,0,-1000,-61000,1237000,1237000,1237000,-882000,892000,1305000,0.11001,-0.07942,-0.08008,-0.06731,-0.04148,-1.33984,2.51952,0.62269,0.03799,-0.03551,-0.03551,0.4434,0.52754,0.04757,-0.0634,0.08494,7.2619,6.63043
"36","2019_Q3",1.04734375,"Up",13621000,-11679000,1942000,-2451000,-2451000,-509000,23000,-3000,26000,-486000,-486000,-31000,-517000,-517000,-517000,-517000,9896000,9896000,8189000,8189000,2860000,2190000,20945000,604000,3635000,720000,2915000,4239000,25184000,5649000,3156000,2493000,3846000,3846000,9495000,1718000,11213000,36933000,-22962000,13971000,13971000,25184000,-517000,93000,16000.0000000002,3075000,2667000,-67000,-67000,-67000,-3.63797880709171e-12,-1000,2599000,2599000,2599000,-416000,1718000,2623000,0.14257,-0.03737,-0.03796,-0.03701,-0.02053,-5.0735,2.2059,0.80259,0.06822,-0.0188600000000001,-0.0188599999999999,0.496950000000001,0.509720000000001,0.0957,-0.03295,0.16719,19.65865,16.0668
"37","2019_Q4",1.01625,"Down",13974000,-12299000,1675000,-2370000,-2370000,-695000,1000,-6000,7000,-694000,-694000,-22000,-716000,-716000,-716000,-716000,6088000,6088000,7463000,7463000,4312000,4128000,17863000,878000,3397000,720000,2677000,4275000,22138000,5119000,2944000,2175000,293000,293000,6406000,2465000,8871000,36945000,-23678000,13267000,13267000,22138000,-716000,81000,13000,-3086000,-3708000,-119000,-119000,-1e+05,0,0,-3808000,-3808000,-3808000,-614000,2646000,-3797000,0.11987,-0.04974,-0.05124,-0.05397,-0.03234,5.30307,2.78848,0.66865,0.11952,-0.02612,-0.02612,0.5098,0.484,-0.13852,-0.04281,-0.22701,5.60586,4.95252
"38","2020_Q1",0.908548387096774,"Down",16688000,-13727000,2961000,-2192000,-2192000,769000,-18000,-19000,1000,751000,751000,-10000,741000,741000,741000,741000,8307000,8307000,11435000,11435000,4751000,3862000,24493000,1033000,3160000,720000,2440000,4193000,28686000,6044000,3261000,2783000,6119000,6119000,13204000,1458000,14662000,36961000,-22937000,14024000,14024000,28686000,741000,131000,16000,1520000,2408000,-154000,-154000,-154000,-35000,-35000,2219000,2219000,2219000,9e+05,2499000,2276000,0.17743,0.04608,0.0444,0.05284,0.02583,3.07152,1.85497,1.04549,0.08712,0.0270400000000001,0.0270400000000019,0.608939999999977,0.511730000000005,0.0830499999999998,0.04485,0.13775,-6.45333,-7.55267
"39","2020_Q2",0.973809523809524,"Up",19260000,-1.6e+07,3260000,-2133000,-2133000,1127000,-4000,-5000,1000,1123000,1123000,-22000,1101000,1101000,1101000,1101000,6769000,6769000,10780000,10780000,6472000,5774000,24021000,981000,3786000,720000,3066000,4767000,28788000,6080000,3705000,2375000,4480000,4480000,12113000,1535000,13648000,36976000,-21836000,15140000,15140000,28788000,1101000,96000,15000,-2696000,-1484000,-34000,-34000,-34000,-20000,-20000,-1538000,-1538000,-1538000,1223000,3088000,-1485000,0.16926,0.05852,0.05717,0.07272,0.03825,-1.34877,1.98308,0.90145,0.10727,40.16196,40.16196,702.56074,552.27256,-54.1694,0.0604,-0.08147,-3.00981,-3.26619
"40","2020_Q3",0.973125,"Down",17882000,-15429000,2453000,-2314000,-2314000,139000,-35000,-36000,999.999999999993,104000,104000,-36000,68000,68000,68000,68000,14401000,14401000,9866000,9866000,5509000,5118000,29776000,1192000,3548000,720000,2828000,4740000,34516000,6855000,3095000,3760000,3038000,3038000,13710000,5481000,19191000,37093000,-21768000,15325000,15325000,34516000,68000,109000,117000,1082000,1376000,-92000,-92000,-92000,6348000,6348000,7632000,7632000,7632000,248000,9298000,1274000,0.13718,0.00777,0.0038,0.00444,0.00197,18.73529,2.17185,1.25227,0.26938,2.48067,2.48067,652.34204,559.06172,46.476,0.00276,0.05174,-20.57661,-36.71223
"41","2020_Q4",1.4315625,"Up",15729000,-14585000,1144000,-2174000,-2174000,-1030000,-58000,-62000,4000,-1088000,-1088000,-22000,-1110000,-1110000,-1110000,-1110000,12699000,12699000,12703000,12703000,3240000,3055000,28642000,1193000,3110000,720000,2390000,4303000,32945000,5959000,3084000,2875000,2976000,2976000,13590000,5094000,18684000,37139000,-22878000,14261000,14261000,32945000,-1110000,108000,45000,-664000,-1621000,-102000,-102000,-102000,21000,21000,-1702000,-1702000,-1702000,-922000,8958000,-1666000,0.07273,-0.06548,-0.07057,-0.07783,-0.03369,1.5009,2.10758,1.31015,0.27191,-0.01345,-0.01345,0.19058,0.17279,-0.02019,-0.04623,-0.06939,4.05748,3.63204
"42","2021_Q1",5.86672131147541,"Up",11578000,-9984000,1594000,-2213000,-2213000,-619000,-42000.0000000001,-50000,7999.99999999988,-661000,-661000,-23000,-684000,-684000,-684000,-684000,13706000,13706000,7789000,7789000,4981000,4090000,26476000,1263000,2699000,720000,1979000,3962000,30438000,5186000,2138000,3048000,2003000,2003000,12437000,4378000,16815000,37185000,-23562000,13623000,13623000,30438000,-684000,136000,46000,1712000,1210000,-2e+05,-2e+05,-2e+05,-2999.99999999907,-2999.99999999953,1007000,1007000,1007000,-483000,8589000,1052000,0.13767,-0.05346,-0.05908,-0.05021,-0.02247,-1.53801,2.12881,1.23431,0.28218,-0.0250500000000005,-0.0250500000000005,0.423960000000068,0.498850000000041,0.0385199999999907,-0.02942,0.04525,10.5942,8.26656
"43","2021_Q2",3.14126984126984,"Down",12449000,-11445000,1004000,-2561000,-2561000,-1557000,1626000,-58000,1684000,69000,69000,-23000,46000,46000,46000,46000,13927000,13927000,9111000,9111000,3529000,2998000,26567000,1223000,2601000,720000,1881000,3824000,30391000,4323000,2151000,2172000,3350000,3350000,13546000,3131000,16677000,37230000,-23516000,13714000,13714000,30391000,46000,82000,45000,104000,277000,-57000,-57000,-57000,1000,1000,221000,221000,221000,-1475000,8485000,-1405000,0.08065,-0.12507,0.0037,0.00335,0.00151,-30.54348,1.96124,1.21606,0.27919,0.00167,0.00167,0.45175,0.49766,-0.05099,0.00202,-0.06185,3.68949,3.49518
"44","2021_Q3",2.32296875,"Down",11079000,-10997000,82000,-4264000,-4264000,-4182000,-50999.9999999995,-57000,5999.99999999953,-4233000,-4233000,-23000,-4256000,-4256000,-4256000,-4256000,29175000,29175000,6572000,6572000,4974000,2900000,40721000,1135000,2332000,720000,1612000,3467000,44188000,4453000,1974000,2479000,1423000,1423000,12030000,2586000,14616000,57344000,-27772000,29572000,29572000,44188000,-4256000,105000,62000,-763000,-4852000,-31000,-31000,-31000,79000,20131000,15248000,15248000,15248000,-4077000,8221000,-4848000,0.0074,-0.37747,-0.38415,-0.14392,-0.09632,1.1391,3.38495,0.49425,0.18605,-0.15444,-0.15444,0.402039999999995,1.07312,-0.17593,-0.11109,-0.12654,5.13956,5.01052
"45","2021_Q4",2.08875,"Down",5921000,-6735000,-814000,-3089000,-3089000,-3903000,6325000,-46000,6371000,2422000,2422000,-21000,2401000,2401000,2401000,2401000,24699000,24699000,5310000,5310000,6937000,6720000,36946000,1117000,4274000,720000,3554000,5391000,42337000,3402000,1439000,1963000,1438000,1438000,5966000,4398000,10364000,57344000,-25371000,31973000,31973000,42337000,2401000,168000,-4915000,-1710000,-4056000,-99000,-30034.0454871469,-99000,-262000,-321000,-4476000,-4476000,-4476000,-3735000,5005000,-5523000,-0.13748,-0.65918,0.40551,0.07509,0.05671,-2.30029,6.19276,0.32415,0.11822,0.06829,0.06829,0.16841,0.90938,-0.15709,0.06403,-0.14729,5.27282,5.04586
"46","2022_Q1",1.21887096774194,"Down",6961000,-7876000,-915000,-2919000,-2919000,-3834000,-48999.9999999991,-51000,2000.00000000186,-3883000,-3883000,6999.99999999999,-3876000,-3876000,-3876000,-3876000,19202000,19202000,7692000,7692000,8200000,7242000,35094000,1698000,5277000,720000,4557000,6975000,42069000,4184000,2001000,2183000,3258000,3258000,8831000,5047000,13878000,57438000,-29247000,28191000,28191000,42069000,-3876000,206000,129000,-1492000,-5033000,-53000,-18130.7562190935,-53000,-402000,-411000,-5497000,-5497000,-5497000,-3628000,6436000,-5180000,-0.13145,-0.55078,-0.55682,-0.13749,-0.09213,1.33643,3.97396,0.49228,0.15299,-0.11024,-0.11024,0.19799,0.80181,-0.14733,-0.11194,-0.14959,3.51874,3.32968
"47","2022_Q2",1.13822580645161,"Down",7366000,-8024000,-658000,-2843000,-2843000,-3501000,-41000,-51000,10000,-3542000,-3542000,-78000,-3620000,-3620000,-3620000,-3620000,17698000,17698000,6688000,6688000,5783000,5164000,30169000,1571000,5302000,720000,4582000,6873000,37042000,3274000,1574000,1700000,2701000,2701000,7388000,5079000,12467000,57442000,-32867000,24575000,24575000,37042000,-3620000,201000,56000,1968000,-1395000,-23000,-23000,-23000,-34000,-86000,-1504000,-1504000,-1504000,-3300000,6492000,-1277000,-0.08933,-0.47529,-0.49145,-0.1473,-0.09773,0.35276,4.08351,0.5073,0.17526,-0.10296,-0.10296,0.20951,0.69897,-0.03632,-0.11652,-0.0411,3.39576,3.2008
"48","2022_Q3",1.41046875,"Up",11355000,-10023000,1332000,-2890000,-2890000,-1558000,-31000,-52000,20999.9999999995,-1589000,-1589000,56000,-1533000,-1533000,-1533000,-1533000,14139000,14139000,7310000,7310000,8084000,7648000,29533000,1500000,7749000,720000,4283000,9249000,38782000,4550000,2298000,2252000,3076000,3076000,10137000,5037000,15174000,58008000,-34400000,23608000,23608000,38782000,-1533000,167000,55000.0000000002,-1262000,-2573000,-69000,-69000,-1006000,35000,20000,-3559000,-3559000,-3559000,-1391000,6193000,-2778000,0.11731,-0.13721,-0.13501,-0.06494,-0.03953,1.81213,2.91339,0.64275,0.15969,-0.04325,-0.04325,0.32036,0.66606,-0.07838,-0.0492,-0.08916,5.71244,5.10013
